sequence,v115@OhB8GeC8BeC8BeD8JeZEJvhFUgBFhBXiB6oBWqBTrB,v115@OhB8GeC8BeC8BeD8JeZEJvhFGgB/mBFiB6oBzkBUrB,v115@OhB8GeC8BeC8BeD8JeZEJvhFukBclBXiB6oBVrBTrB
TILJSZO,O,X,O
TILJSOZ,O,X,X
TILJZSO,O,X,O
TILJZOS,O,X,O
TILJOSZ,O,X,X
TILJOZS,O,X,X
TILSJZO,O,X,O
TILSJOZ,O,X,X
TILSZJO,O,X,O
TILSZOJ,X,X,O
TILSOJZ,O,X,X
TILSOZJ,X,X,O
TILZJSO,X,O,O
TILZJOS,X,X,O
TILZSJO,X,O,O
TILZSOJ,X,O,O
TILZOJS,X,O,O
TILZOSJ,X,O,O
TILOJSZ,O,X,X
TILOJZS,O,O,X
TILOSJZ,O,X,X
TILOSZJ,O,X,O
TILOZJS,O,O,O
TILOZSJ,O,O,O
TIJLSZO,O,X,O
TIJLSOZ,O,X,X
TIJLZSO,O,X,O
TIJLZOS,O,X,O
TIJLOSZ,O,X,X
TIJLOZS,O,X,X
TIJSLZO,O,X,O
TIJSLOZ,O,X,X
TIJSZLO,O,X,O
TIJSZOL,O,X,O
TIJSOLZ,O,X,X
TIJSOZL,O,X,X
TIJZLSO,O,X,O
TIJZLOS,O,X,O
TIJZSLO,O,X,O
TIJZSOL,O,X,O
TIJZOLS,O,X,O
TIJZOSL,O,X,O
TIJOLSZ,O,X,X
TIJOLZS,O,X,X
TIJOSLZ,O,X,X
TIJOSZL,O,X,X
TIJOZLS,O,X,X
TIJOZSL,O,X,X
TISLJZO,O,X,O
TISLJOZ,O,X,X
TISLZJO,O,X,O
TISLZOJ,X,X,O
TISLOJZ,O,X,X
TISLOZJ,X,X,O
TISJLZO,O,X,O
TISJLOZ,O,X,X
TISJZLO,O,X,O
TISJZOL,O,X,O
TISJOLZ,O,X,X
TISJOZL,O,X,X
TISZLJO,O,X,O
TISZLOJ,X,X,O
TISZJLO,O,X,O
TISZJOL,O,X,O
TISZOLJ,X,X,O
TISZOJL,X,X,O
TISOLJZ,O,X,X
TISOLZJ,X,X,O
TISOJLZ,O,X,X
TISOJZL,O,X,X
TISOZLJ,X,X,O
TISOZJL,X,X,O
TIZLJSO,X,O,O
TIZLJOS,X,X,O
TIZLSJO,X,O,O
TIZLSOJ,X,O,O
TIZLOJS,X,O,O
TIZLOSJ,X,O,O
TIZJLSO,X,O,O
TIZJLOS,X,X,O
TIZJSLO,X,O,O
TIZJSOL,X,O,O
TIZJOLS,X,X,O
TIZJOSL,X,X,O
TIZSLJO,X,O,O
TIZSLOJ,X,O,O
TIZSJLO,X,O,O
TIZSJOL,X,O,O
TIZSOLJ,X,O,O
TIZSOJL,X,O,O
TIZOLJS,X,O,O
TIZOLSJ,X,O,O
TIZOJLS,X,O,O
TIZOJSL,X,O,O
TIZOSLJ,X,O,O
TIZOSJL,X,O,O
TIOLJSZ,O,X,X
TIOLJZS,O,O,X
TIOLSJZ,O,X,X
TIOLSZJ,O,X,O
TIOLZJS,O,O,O
TIOLZSJ,O,O,O
TIOJLSZ,O,X,X
TIOJLZS,O,O,X
TIOJSLZ,O,X,X
TIOJSZL,O,X,X
TIOJZLS,O,O,X
TIOJZSL,O,O,X
TIOSLJZ,O,X,X
TIOSLZJ,O,X,O
TIOSJLZ,O,X,X
TIOSJZL,O,X,X
TIOSZLJ,O,X,O
TIOSZJL,O,X,O
TIOZLJS,O,O,O
TIOZLSJ,O,O,O
TIOZJLS,O,O,O
TIOZJSL,O,O,O
TIOZSLJ,O,O,O
TIOZSJL,O,O,O
TLIJSZO,O,X,O
TLIJSOZ,O,X,X
TLIJZSO,O,X,O
TLIJZOS,O,X,O
TLIJOSZ,O,X,X
TLIJOZS,O,X,X
TLISJZO,O,X,O
TLISJOZ,O,X,X
TLISZJO,O,X,O
TLISZOJ,X,X,O
TLISOJZ,O,X,X
TLISOZJ,X,X,O
TLIZJSO,X,O,O
TLIZJOS,X,X,O
TLIZSJO,X,O,O
TLIZSOJ,X,O,O
TLIZOJS,X,O,O
TLIZOSJ,X,O,O
TLIOJSZ,O,X,X
