sequence,v115@QhA8FeD8AeF8BeA8JeZEJvhFukBamBtmBXjBTlB0sB,v115@QhA8FeD8AeF8BeA8JeZEJvhFqkBTgBemBtmBXoB0sB,v115@QhA8FeD8AeF8BeA8JeyEJvhFzgBtmB0iBOpBRqBXtB
IJTSOLZ,O,O,X
IJTSOZL,O,X,X
IJTZLSO,X,O,X
IJTZLOS,X,O,O
IJTZSLO,X,O,X
IJTZSOL,O,X,X
IJTZOLS,O,X,O
IJTZOSL,O,X,X
IJTOLSZ,O,O,X
IJTOLZS,O,O,O
IJTOSLZ,O,O,X
IJTOSZL,O,X,X
IJTOZLS,O,X,O
IJTOZSL,O,X,X
IJLTSZO,X,O,X
IJLTSOZ,O,O,X
IJLTZSO,X,O,X
IJLTZOS,X,O,O
IJLTOSZ,O,O,X
IJLTOZS,O,O,O
IJLSTZO,X,O,X
IJLSTOZ,O,O,X
IJLSZTO,X,O,X
IJLSZOT,X,O,X
IJLSOTZ,O,O,X
IJLSOZT,O,O,X
IJLZTSO,X,O,X
IJLZTOS,X,O,O
IJLZSTO,X,O,X
IJLZSOT,X,O,X
IJLZOTS,X,O,X
IJLZOST,X,O,X
IJLOTSZ,O,O,X
IJLOTZS,O,O,O
IJLOSTZ,O,O,X
IJLOSZT,O,O,X
IJLOZTS,O,O,X
IJLOZST,O,O,X
IJSTLZO,X,O,X
IJSTLOZ,O,O,X
IJSTZLO,X,O,X
IJSTZOL,O,X,X
IJSTOLZ,O,O,X
IJSTOZL,O,X,X
IJSLTZO,X,O,X
IJSLTOZ,O,O,X
IJSLZTO,X,O,X
IJSLZOT,X,O,X
IJSLOTZ,O,O,X
IJSLOZT,O,O,X
IJSZTLO,X,O,X
IJSZTOL,O,X,X
IJSZLTO,X,O,X
IJSZLOT,X,O,X
IJSZOTL,O,X,X
IJSZOLT,O,X,X
IJSOTLZ,O,O,X
IJSOTZL,O,X,X
IJSOLTZ,O,O,X
IJSOLZT,O,O,X
IJSOZTL,O,X,X
IJSOZLT,O,X,X
IJZTLSO,X,O,X
IJZTLOS,X,O,O
IJZTSLO,X,O,X
IJZTSOL,O,X,X
IJZTOLS,O,X,O
IJZTOSL,O,X,X
IJZLTSO,X,O,X
IJZLTOS,X,O,O
IJZLSTO,X,O,X
IJZLSOT,X,O,X
IJZLOTS,X,O,X
IJZLOST,X,O,X
IJZSTLO,X,O,X
IJZSTOL,O,X,X
IJZSLTO,X,O,X
IJZSLOT,X,O,X
IJZSOTL,O,X,X
IJZSOLT,O,X,X
IJZOTLS,O,X,X
IJZOTSL,O,X,X
IJZOLTS,O,X,X
IJZOLST,O,X,X
IJZOSTL,O,X,X
IJZOSLT,O,X,X
IJOTLSZ,O,O,X
IJOTLZS,O,O,O
IJOTSLZ,O,O,X
IJOTSZL,O,X,X
IJOTZLS,O,X,O
IJOTZSL,O,X,X
IJOLTSZ,O,O,X
IJOLTZS,O,O,O
IJOLSTZ,O,O,X
IJOLSZT,O,O,X
IJOLZTS,O,O,X
IJOLZST,O,O,X
IJOSTLZ,O,O,X
IJOSTZL,O,X,X
IJOSLTZ,O,O,X
IJOSLZT,O,O,X
IJOSZTL,O,X,X
IJOSZLT,O,X,X
IJOZTLS,O,X,X
IJOZTSL,O,X,X
IJOZLTS,O,X,X
IJOZLST,O,X,X
IJOZSTL,O,X,X
IJOZSLT,O,X,X
ISTLJZO,X,O,X
ISTLJOZ,O,O,X
ISTLZJO,X,O,X
ISTLZOJ,O,X,O
ISTLOJZ,O,O,X
ISTLOZJ,O,X,O
ISTJLZO,X,O,X
ISTJLOZ,O,O,X
ISTJZLO,X,O,X
ISTJZOL,O,X,X
ISTJOLZ,O,O,X
ISTJOZL,O,X,X
ISTZLJO,X,O,X
ISTZLOJ,O,X,O
ISTZJLO,X,O,X
ISTZJOL,O,X,X
ISTZOLJ,O,X,O
ISTZOJL,O,X,X
ISTOLJZ,O,O,X
ISTOLZJ,O,X,O
ISTOJLZ,O,O,X
ISTOJZL,O,X,X
ISTOZLJ,O,X,O
ISTOZJL,O,X,X
ISLTJZO,X,O,X
ISLTJOZ,O,O,X
ISLTZJO,X,O,X
ISLTZOJ,O,X,O
ISLTOJZ,O,O,X
ISLTOZJ,O,X,O
ISLJTZO,X,O,X
ISLJTOZ,O,O,X
ISLJZTO,X,O,X
ISLJZOT,X,O,X
ISLJOTZ,O,O,X
ISLJOZT,O,O,X
ISLZTJO,X,O,X
ISLZTOJ,O,X,O
ISLZJTO,X,O,X
ISLZJOT,X,O,X
ISLZOTJ,O,X,X
ISLZOJT,O,O,X
ISLOTJZ,O,O,X
ISLOTZJ,O,X,O
ISLOJTZ,O,O,X
ISLOJZT,O,O,X
ISLOZTJ,O,X,X
ISLOZJT,O,O,X
ISJTLZO,X,O,X
ISJTLOZ,O,O,X
ISJTZLO,X,O,X
ISJTZOL,O,X,X
ISJTOLZ,O,O,X
ISJTOZL,O,X,X
ISJLTZO,X,O,X
ISJLTOZ,O,O,X
ISJLZTO,X,O,X
ISJLZOT,X,O,X
ISJLOTZ,O,O,X
ISJLOZT,O,O,X
ISJZTLO,X,O,X
ISJZTOL,O,X,X
ISJZLTO,X,O,X
ISJZLOT,X,O,X
ISJZOTL,O,X,X
ISJZOLT,O,X,X
ISJOTLZ,O,O,X
ISJOTZL,O,X,X
ISJOLTZ,O,O,X
ISJOLZT,O,O,X
ISJOZTL,O,X,X
ISJOZLT,O,X,X
ISZTLJO,X,O,X
ISZTLOJ,O,X,O
ISZTJLO,X,O,X
ISZTJOL,O,X,X
ISZTOLJ,O,X,O
ISZTOJL,O,X,X
ISZLTJO,X,O,X
ISZLTOJ,O,X,O
ISZLJTO,X,O,X
ISZLJOT,X,O,X
ISZLOTJ,O,X,X
ISZLOJT,O,O,X
ISZJTLO,X,O,X
ISZJTOL,O,X,X
ISZJLTO,X,O,X
ISZJLOT,X,O,X
ISZJOTL,O,X,X
ISZJOLT,O,X,X
ISZOTLJ,O,X,X
ISZOTJL,O,X,X
ISZOLTJ,O,X,X
ISZOLJT,O,X,X
ISZOJTL,O,X,X
ISZOJLT,O,X,X
ISOTLJZ,O,O,X
ISOTLZJ,O,X,O
ISOTJLZ,O,O,X
ISOTJZL,O,X,X
ISOTZLJ,O,X,O
ISOTZJL,O,X,X
ISOLTJZ,O,O,X
ISOLTZJ,O,X,O
ISOLJTZ,O,O,X
ISOLJZT,O,O,X
ISOLZTJ,O,X,X
ISOLZJT,O,O,X
ISOJTLZ,O,O,X
ISOJTZL,O,X,X
ISOJLTZ,O,O,X
ISOJLZT,O,O,X
ISOJZTL,O,X,X
ISOJZLT,O,X,X
ISOZTLJ,O,X,X
ISOZTJL,O,X,X
ISOZLTJ,O,X,X
ISOZLJT,O,X,X
ISOZJTL,O,X,X
ISOZJLT,O,X,X
IZTLJSO,X,O,X
IZTLJOS,X,O,O
IZTLSJO,X,O,X
IZTLSOJ,O,X,O
IZTLOJS,O,X,O
IZTLOSJ,O,X,O
IZTJLSO,X,O,X
IZTJLOS,X,O,O
IZTJSLO,X,O,X
IZTJSOL,O,X,X
IZTJOLS,O,X,O
IZTJOSL,O,X,X
IZTSLJO,X,O,X
IZTSLOJ,O,X,O
IZTSJLO,X,O,X
IZTSJOL,O,X,X
IZTSOLJ,O,X,O
IZTSOJL,O,X,X
IZTOLJS,O,X,O
IZTOLSJ,O,X,O
IZTOJLS,O,X,O
IZTOJSL,O,X,X
IZTOSLJ,O,X,O
IZTOSJL,O,X,X
IZLTJSO,X,O,X
IZLTJOS,X,O,O
IZLTSJO,X,O,X
IZLTSOJ,O,X,O
IZLTOJS,O,X,O
IZLTOSJ,O,X,O
IZLJTSO,X,O,X
IZLJTOS,X,O,O
IZLJSTO,X,O,X
IZLJSOT,X,O,X
IZLJOTS,X,O,X
IZLJOST,X,O,X
IZLSTJO,X,O,X
IZLSTOJ,O,X,O
IZLSJTO,X,O,X
IZLSJOT,X,O,X
IZLSOTJ,O,X,X
IZLSOJT,O,O,X
IZLOTJS,O,X,O
IZLOTSJ,O,X,O
IZLOJTS,O,O,X
IZLOJST,O,O,X
IZLOSTJ,O,X,X
IZLOSJT,O,O,X
IZJTLSO,X,O,X
IZJTLOS,X,O,O
IZJTSLO,X,O,X
IZJTSOL,O,X,X
IZJTOLS,O,X,O
IZJTOSL,O,X,X
IZJLTSO,X,O,X
IZJLTOS,X,O,O
IZJLSTO,X,O,X
IZJLSOT,X,O,X
IZJLOTS,X,O,X
IZJLOST,X,O,X
IZJSTLO,X,O,X
IZJSTOL,O,X,X
IZJSLTO,X,O,X
IZJSLOT,X,O,X
IZJSOTL,O,X,X
IZJSOLT,O,X,X
IZJOTLS,O,X,X
IZJOTSL,O,X,X
IZJOLTS,O,X,X
IZJOLST,O,X,X
IZJOSTL,O,X,X
IZJOSLT,O,X,X
IZSTLJO,X,O,X
IZSTLOJ,O,X,O
IZSTJLO,X,O,X
IZSTJOL,O,X,X
IZSTOLJ,O,X,O
IZSTOJL,O,X,X
IZSLTJO,X,O,X
IZSLTOJ,O,X,O
IZSLJTO,X,O,X
IZSLJOT,X,O,X
IZSLOTJ,O,X,X
IZSLOJT,O,O,X
IZSJTLO,X,O,X
IZSJTOL,O,X,X
IZSJLTO,X,O,X
IZSJLOT,X,O,X
IZSJOTL,O,X,X
IZSJOLT,O,X,X
IZSOTLJ,O,X,X
IZSOTJL,O,X,X
IZSOLTJ,O,X,X
IZSOLJT,O,X,X
IZSOJTL,O,X,X
IZSOJLT,O,X,X
IZOTLJS,O,X,O
IZOTLSJ,O,X,O
IZOTJLS,O,X,O
IZOTJSL,O,X,X
IZOTSLJ,O,X,O
IZOTSJL,O,X,X
IZOLTJS,O,X,O
IZOLTSJ,O,X,O
IZOLJTS,O,X,X
IZOLJST,O,X,X
IZOLSTJ,O,X,X
IZOLSJT,O,X,X
IZOJTLS,O,X,X
IZOJTSL,O,X,X
IZOJLTS,O,X,X
IZOJLST,O,X,X
IZOJSTL,O,X,X
IZOJSLT,O,X,X
IZOSTLJ,O,X,X
IZOSTJL,O,X,X
IZOSLTJ,O,X,X
IZOSLJT,O,X,X
IZOSJTL,O,X,X
IZOSJLT,O,X,X
IOTLJSZ,O,O,X
IOTLJZS,O,O,O
IOTLSJZ,O,O,X
IOTLSZJ,O,X,O
IOTLZJS,O,X,O
IOTLZSJ,O,X,O
IOTJLSZ,O,O,X
IOTJLZS,O,O,O
IOTJSLZ,O,O,X
IOTJSZL,O,X,X
IOTJZLS,O,X,O
IOTJZSL,O,X,X
IOTSLJZ,O,O,X
IOTSLZJ,O,X,O
IOTSJLZ,O,O,X
IOTSJZL,O,X,X
IOTSZLJ,O,X,O
IOTSZJL,O,X,X
IOTZLJS,O,X,O
IOTZLSJ,O,X,O
IOTZJLS,O,X,O
IOTZJSL,O,X,X
IOTZSLJ,O,X,O
IOTZSJL,O,X,X
IOLTJSZ,O,O,X
IOLTJZS,O,O,O
IOLTSJZ,O,O,X
IOLTSZJ,O,X,O
IOLTZJS,O,X,O
IOLTZSJ,O,X,O
IOLJTSZ,O,O,X
IOLJTZS,O,O,O
IOLJSTZ,O,O,X
IOLJSZT,O,O,X
IOLJZTS,O,O,X
IOLJZST,O,O,X
IOLSTJZ,O,O,X
IOLSTZJ,O,X,O
IOLSJTZ,O,O,X
IOLSJZT,O,O,X
IOLSZTJ,O,X,X
IOLSZJT,O,O,X
IOLZTJS,O,X,O
IOLZTSJ,O,X,O
IOLZJTS,O,O,X
IOLZJST,O,O,X
IOLZSTJ,O,X,X
IOLZSJT,O,O,X
IOJTLSZ,O,O,X
IOJTLZS,O,O,O
IOJTSLZ,O,O,X
IOJTSZL,O,X,X
IOJTZLS,O,X,O
IOJTZSL,O,X,X
IOJLTSZ,O,O,X
IOJLTZS,O,O,O
IOJLSTZ,O,O,X
IOJLSZT,O,O,X
IOJLZTS,O,O,X
IOJLZST,O,O,X
IOJSTLZ,O,O,X
IOJSTZL,O,X,X
IOJSLTZ,O,O,X
IOJSLZT,O,O,X
IOJSZTL,O,X,X
IOJSZLT,O,X,X
IOJZTLS,O,X,X
IOJZTSL,O,X,X
IOJZLTS,O,X,X
IOJZLST,O,X,X
IOJZSTL,O,X,X
IOJZSLT,O,X,X
IOSTLJZ,O,O,X
IOSTLZJ,O,X,O
IOSTJLZ,O,O,X
IOSTJZL,O,X,X
IOSTZLJ,O,X,O
IOSTZJL,O,X,X
IOSLTJZ,O,O,X
IOSLTZJ,O,X,O
IOSLJTZ,O,O,X
IOSLJZT,O,O,X
IOSLZTJ,O,X,X
IOSLZJT,O,O,X
IOSJTLZ,O,O,X
IOSJTZL,O,X,X
IOSJLTZ,O,O,X
IOSJLZT,O,O,X
IOSJZTL,O,X,X
IOSJZLT,O,X,X
IOSZTLJ,O,X,X
IOSZTJL,O,X,X
IOSZLTJ,O,X,X
IOSZLJT,O,X,X
IOSZJTL,O,X,X
IOSZJLT,O,X,X
IOZTLJS,O,X,O
IOZTLSJ,O,X,O
IOZTJLS,O,X,O
IOZTJSL,O,X,X
IOZTSLJ,O,X,O
IOZTSJL,O,X,X
IOZLTJS,O,X,O
IOZLTSJ,O,X,O
IOZLJTS,O,X,X
IOZLJST,O,X,X
IOZLSTJ,O,X,X
IOZLSJT,O,X,X
IOZJTLS,O,X,X
IOZJTSL,O,X,X
IOZJLTS,O,X,X
IOZJLST,O,X,X
IOZJSTL,O,X,X
IOZJSLT,O,X,X
IOZSTLJ,O,X,X
IOZSTJL,O,X,X
IOZSLTJ,O,X,X
IOZSLJT,O,X,X
IOZSJTL,O,X,X
IOZSJLT,O,X,X
LTIJSZO,X,O,X
LTIJSOZ,O,O,X
LTIJZSO,X,O,X
LTIJZOS,X,O,O
LTIJOSZ,O,O,X
LTIJOZS,O,O,O
LTISJZO,X,O,X
LTISJOZ,O,O,X
LTISZJO,X,O,X
LTISZOJ,O,X,O
LTISOJZ,O,O,X
LTISOZJ,O,X,O
LTIZJSO,X,O,X
LTIZJOS,X,O,O
LTIZSJO,X,O,X
LTIZSOJ,O,X,O
LTIZOJS,O,X,O
LTIZOSJ,O,X,O
LTIOJSZ,O,O,X
LTIOJZS,O,O,O
LTIOSJZ,O,O,X
LTIOSZJ,O,X,O
LTIOZJS,O,X,O
LTIOZSJ,O,X,O
LTJISZO,X,O,X
LTJISOZ,O,O,X
LTJIZSO,X,O,X
LTJIZOS,X,O,X
LTJIOSZ,O,O,X
LTJIOZS,O,O,X
LTJSIZO,X,O,X
LTJSIOZ,O,O,X
LTJSZIO,X,O,X
LTJSZOI,X,O,X
LTJSOIZ,O,O,X
LTJSOZI,O,O,X
LTJZISO,X,O,X
LTJZIOS,X,O,X
LTJZSIO,X,O,X
LTJZSOI,X,O,X
LTJZOIS,X,O,X
LTJZOSI,X,O,X
LTJOISZ,O,O,X
LTJOIZS,O,O,X
LTJOSIZ,O,O,X
LTJOSZI,O,O,X
LTJOZIS,O,O,X
LTJOZSI,O,O,X
LTSIJZO,X,O,X
LTSIJOZ,O,O,X
LTSIZJO,X,O,X
LTSIZOJ,O,X,X
LTSIOJZ,O,O,X
LTSIOZJ,O,X,X
LTSJIZO,X,O,X
LTSJIOZ,O,O,X
LTSJZIO,X,O,X
LTSJZOI,X,O,X
LTSJOIZ,O,O,X
LTSJOZI,O,O,X
LTSZIJO,X,O,X
LTSZIOJ,O,X,X
LTSZJIO,X,O,X
LTSZJOI,X,O,X
LTSZOIJ,O,X,X
LTSZOJI,O,X,X
LTSOIJZ,O,O,X
LTSOIZJ,O,X,X
LTSOJIZ,O,O,X
LTSOJZI,O,O,X
LTSOZIJ,O,X,X
LTSOZJI,O,X,X
LTZIJSO,X,O,X
LTZIJOS,X,O,O
LTZISJO,X,O,X
LTZISOJ,O,X,O
LTZIOJS,O,X,O
LTZIOSJ,O,X,O
LTZJISO,X,O,X
LTZJIOS,X,O,X
LTZJSIO,X,O,X
LTZJSOI,X,O,X
LTZJOIS,X,O,X
LTZJOSI,X,O,X
LTZSIJO,X,O,X
LTZSIOJ,O,X,X
LTZSJIO,X,O,X
LTZSJOI,X,O,X
LTZSOIJ,O,X,X
LTZSOJI,O,X,X
LTZOIJS,O,X,X
LTZOISJ,O,X,X
LTZOJIS,O,X,X
LTZOJSI,O,X,X
LTZOSIJ,O,X,X
LTZOSJI,O,X,X
LTOIJSZ,O,O,X
LTOIJZS,O,O,X
LTOISJZ,O,O,X
LTOISZJ,O,X,X
LTOIZJS,O,X,X
LTOIZSJ,O,X,X
LTOJISZ,O,O,X
LTOJIZS,O,O,X
LTOJSIZ,O,O,X
LTOJSZI,O,O,X
LTOJZIS,O,O,X
LTOJZSI,O,O,X
LTOSIJZ,O,O,X
LTOSIZJ,O,X,X
LTOSJIZ,O,O,X
LTOSJZI,O,O,X
LTOSZIJ,O,X,X
LTOSZJI,O,X,X
LTOZIJS,O,X,X
LTOZISJ,O,X,X
LTOZJIS,O,X,X
LTOZJSI,O,X,X
LTOZSIJ,O,X,X
LTOZSJI,O,X,X
LITJSZO,X,O,X
LITJSOZ,O,O,X
LITJZSO,X,O,X
LITJZOS,X,O,O
LITJOSZ,O,O,X
LITJOZS,O,O,O
LITSJZO,X,O,X
LITSJOZ,O,O,X
LITSZJO,X,O,X
LITSZOJ,O,X,O
LITSOJZ,O,O,X
LITSOZJ,O,X,O
LITZJSO,X,O,X
LITZJOS,X,O,O
LITZSJO,X,O,X
LITZSOJ,O,X,O
LITZOJS,O,X,O
LITZOSJ,O,X,O
LITOJSZ,O,O,X
LITOJZS,O,O,O
LITOSJZ,O,O,X
LITOSZJ,O,X,O
LITOZJS,O,X,O
LITOZSJ,O,X,O
LIJTSZO,X,O,X
LIJTSOZ,O,O,X
LIJTZSO,X,O,X
LIJTZOS,X,O,O
LIJTOSZ,O,O,X
LIJTOZS,O,O,O
LIJSTZO,X,O,X
LIJSTOZ,O,O,X
LIJSZTO,X,O,X
LIJSZOT,X,O,X
LIJSOTZ,O,O,X
LIJSOZT,O,O,X
LIJZTSO,X,O,X
LIJZTOS,X,O,O
LIJZSTO,X,O,X
LIJZSOT,X,O,X
LIJZOTS,X,O,X
LIJZOST,X,O,X
LIJOTSZ,O,O,X
LIJOTZS,O,O,O
LIJOSTZ,O,O,X
LIJOSZT,O,O,X
LIJOZTS,O,O,X
LIJOZST,O,O,X
LISTJZO,X,O,X
LISTJOZ,O,O,X
LISTZJO,X,O,X
LISTZOJ,O,X,O
LISTOJZ,O,O,X
LISTOZJ,O,X,O
LISJTZO,X,O,X
LISJTOZ,O,O,X
LISJZTO,X,O,X
LISJZOT,X,O,X
LISJOTZ,O,O,X
LISJOZT,O,O,X
LISZTJO,X,O,X
LISZTOJ,O,X,O
LISZJTO,X,O,X
LISZJOT,X,O,X
LISZOTJ,O,X,X
LISZOJT,O,O,X
LISOTJZ,O,O,X
LISOTZJ,O,X,O
LISOJTZ,O,O,X
LISOJZT,O,O,X
LISOZTJ,O,X,X
LISOZJT,O,O,X
LIZTJSO,X,O,X
LIZTJOS,X,O,O
LIZTSJO,X,O,X
LIZTSOJ,O,X,O
LIZTOJS,O,X,O
LIZTOSJ,O,X,O
LIZJTSO,X,O,X
LIZJTOS,X,O,O
LIZJSTO,X,O,X
LIZJSOT,X,O,X
LIZJOTS,X,O,X
LIZJOST,X,O,X
LIZSTJO,X,O,X
LIZSTOJ,O,X,O
LIZSJTO,X,O,X
LIZSJOT,X,O,X
LIZSOTJ,O,X,X
LIZSOJT,O,O,X
LIZOTJS,O,X,O
LIZOTSJ,O,X,O
LIZOJTS,O,O,X
LIZOJST,O,O,X
LIZOSTJ,O,X,X
LIZOSJT,O,O,X
LIOTJSZ,O,O,X
LIOTJZS,O,O,O
LIOTSJZ,O,O,X
LIOTSZJ,O,X,O
LIOTZJS,O,X,O
LIOTZSJ,O,X,O
LIOJTSZ,O,O,X
LIOJTZS,O,O,O
LIOJSTZ,O,O,X
LIOJSZT,O,O,X
LIOJZTS,O,O,X
LIOJZST,O,O,X
LIOSTJZ,O,O,X
LIOSTZJ,O,X,O
LIOSJTZ,O,O,X
LIOSJZT,O,O,X
LIOSZTJ,O,X,X
LIOSZJT,O,O,X
LIOZTJS,O,X,O
LIOZTSJ,O,X,O
LIOZJTS,O,O,X
LIOZJST,O,O,X
LIOZSTJ,O,X,X
LIOZSJT,O,O,X
LJTISZO,X,O,X
LJTISOZ,O,O,X
LJTIZSO,X,O,X
LJTIZOS,X,O,X
LJTIOSZ,O,O,X
LJTIOZS,O,O,X
LJTSIZO,X,O,X
LJTSIOZ,O,O,X
LJTSZIO,X,O,X
LJTSZOI,X,O,X
LJTSOIZ,O,O,X
LJTSOZI,O,O,X
LJTZISO,X,O,X
LJTZIOS,X,O,X
LJTZSIO,X,O,X
LJTZSOI,X,O,X
LJTZOIS,X,O,X
LJTZOSI,X,O,X
LJTOISZ,O,O,X
LJTOIZS,O,O,X
LJTOSIZ,O,O,X
LJTOSZI,O,O,X
LJTOZIS,O,O,X
LJTOZSI,O,O,X
LJITSZO,X,O,X
LJITSOZ,O,O,X
LJITZSO,X,O,X
LJITZOS,X,O,X
LJITOSZ,O,O,X
LJITOZS,O,O,X
LJISTZO,X,O,X
LJISTOZ,O,O,X
LJISZTO,X,O,X
LJISZOT,X,O,X
LJISOTZ,O,O,X
LJISOZT,O,O,X
LJIZTSO,X,O,X
LJIZTOS,X,O,X
LJIZSTO,X,O,X
LJIZSOT,X,O,X
LJIZOTS,X,O,X
LJIZOST,X,O,X
LJIOTSZ,O,O,X
LJIOTZS,O,O,X
LJIOSTZ,O,O,X
LJIOSZT,O,O,X
LJIOZTS,O,O,X
LJIOZST,O,O,X
LJSTIZO,X,O,X
LJSTIOZ,O,O,X
LJSTZIO,X,O,X
LJSTZOI,X,O,X
LJSTOIZ,O,O,X
LJSTOZI,O,O,X
LJSITZO,X,O,X
LJSITOZ,O,O,X
LJSIZTO,X,O,X
LJSIZOT,X,O,X
LJSIOTZ,O,O,X
LJSIOZT,O,O,X
LJSZTIO,X,O,X
LJSZTOI,X,O,X
LJSZITO,X,O,X
LJSZIOT,X,O,X
LJSZOTI,X,O,X
LJSZOIT,X,O,X
LJSOTIZ,O,O,X
LJSOTZI,O,O,X
LJSOITZ,O,O,X
LJSOIZT,O,O,X
LJSOZTI,O,O,X
LJSOZIT,O,O,X
LJZTISO,X,O,X
LJZTIOS,X,O,X
LJZTSIO,X,O,X
LJZTSOI,X,O,X
LJZTOIS,X,O,X
LJZTOSI,X,O,X
LJZITSO,X,O,X
LJZITOS,X,O,X
LJZISTO,X,O,X
LJZISOT,X,O,X
LJZIOTS,X,O,X
LJZIOST,X,O,X
LJZSTIO,X,O,X
LJZSTOI,X,O,X
LJZSITO,X,O,X
LJZSIOT,X,O,X
LJZSOTI,X,O,X
LJZSOIT,X,O,X
LJZOTIS,X,O,X
LJZOTSI,X,O,X
LJZOITS,X,O,X
LJZOIST,X,O,X
LJZOSTI,X,O,X
LJZOSIT,X,O,X
LJOTISZ,O,O,X
LJOTIZS,O,O,X
LJOTSIZ,O,O,X
LJOTSZI,O,O,X
LJOTZIS,O,O,X
LJOTZSI,O,O,X
LJOITSZ,O,O,X
LJOITZS,O,O,X
LJOISTZ,O,O,X
LJOISZT,O,O,X
LJOIZTS,O,O,X
LJOIZST,O,O,X
LJOSTIZ,O,O,X
LJOSTZI,O,O,X
LJOSITZ,O,O,X
LJOSIZT,O,O,X
LJOSZTI,O,O,X
LJOSZIT,O,O,X
LJOZTIS,O,O,X
LJOZTSI,O,O,X
LJOZITS,O,O,X
LJOZIST,O,O,X
LJOZSTI,O,O,X
LJOZSIT,O,O,X
LSTIJZO,X,O,X
LSTIJOZ,O,O,X
LSTIZJO,X,O,X
LSTIZOJ,O,X,X
LSTIOJZ,O,O,X
LSTIOZJ,O,X,X
LSTJIZO,X,O,X
LSTJIOZ,O,O,X
LSTJZIO,X,O,X
LSTJZOI,X,O,X
LSTJOIZ,O,O,X
LSTJOZI,O,O,X
LSTZIJO,X,O,X
LSTZIOJ,O,X,X
LSTZJIO,X,O,X
LSTZJOI,X,O,X
LSTZOIJ,O,X,X
LSTZOJI,O,X,X
LSTOIJZ,O,O,X
LSTOIZJ,O,X,X
LSTOJIZ,O,O,X
LSTOJZI,O,O,X
LSTOZIJ,O,X,X
LSTOZJI,O,X,X
LSITJZO,X,O,X
LSITJOZ,O,O,X
LSITZJO,X,O,X
LSITZOJ,O,X,X
LSITOJZ,O,O,X
LSITOZJ,O,X,X
LSIJTZO,X,O,X
LSIJTOZ,O,O,X
LSIJZTO,X,O,X
LSIJZOT,X,O,X
LSIJOTZ,O,O,X
LSIJOZT,O,O,X
LSIZTJO,X,O,X
LSIZTOJ,O,X,X
LSIZJTO,X,O,X
LSIZJOT,X,O,X
LSIZOTJ,O,X,X
LSIZOJT,O,O,X
LSIOTJZ,O,O,X
LSIOTZJ,O,X,X
LSIOJTZ,O,O,X
LSIOJZT,O,O,X
LSIOZTJ,O,X,X
LSIOZJT,O,O,X
LSJTIZO,X,O,X
LSJTIOZ,O,O,X
LSJTZIO,X,O,X
LSJTZOI,X,O,X
LSJTOIZ,O,O,X
LSJTOZI,O,O,X
LSJITZO,X,O,X
LSJITOZ,O,O,X
LSJIZTO,X,O,X
LSJIZOT,X,O,X
LSJIOTZ,O,O,X
LSJIOZT,O,O,X
LSJZTIO,X,O,X
LSJZTOI,X,O,X
LSJZITO,X,O,X
LSJZIOT,X,O,X
LSJZOTI,X,O,X
LSJZOIT,X,O,X
LSJOTIZ,O,O,X
LSJOTZI,O,O,X
LSJOITZ,O,O,X
LSJOIZT,O,O,X
LSJOZTI,O,O,X
LSJOZIT,O,O,X
LSZTIJO,X,O,X
LSZTIOJ,O,X,X
LSZTJIO,X,O,X
LSZTJOI,X,O,X
LSZTOIJ,O,X,X
LSZTOJI,O,X,X
LSZITJO,X,O,X
LSZITOJ,O,X,X
LSZIJTO,X,O,X
LSZIJOT,X,O,X
LSZIOTJ,O,X,X
LSZIOJT,O,O,X
LSZJTIO,X,O,X
LSZJTOI,X,O,X
LSZJITO,X,O,X
LSZJIOT,X,O,X
LSZJOTI,X,O,X
LSZJOIT,X,O,X
LSZOTIJ,O,X,X
LSZOTJI,O,X,X
LSZOITJ,O,X,X
LSZOIJT,O,O,X
LSZOJTI,O,O,X
LSZOJIT,O,O,X
LSOTIJZ,O,O,X
LSOTIZJ,O,X,X
LSOTJIZ,O,O,X
LSOTJZI,O,O,X
LSOTZIJ,O,X,X
LSOTZJI,O,X,X
LSOITJZ,O,O,X
LSOITZJ,O,X,X
LSOIJTZ,O,O,X
LSOIJZT,O,O,X
LSOIZTJ,O,X,X
LSOIZJT,O,O,X
LSOJTIZ,O,O,X
LSOJTZI,O,O,X
LSOJITZ,O,O,X
LSOJIZT,O,O,X
LSOJZTI,O,O,X
LSOJZIT,O,O,X
LSOZTIJ,O,X,X
LSOZTJI,O,X,X
LSOZITJ,O,X,X
LSOZIJT,O,O,X
LSOZJTI,O,O,X
LSOZJIT,O,O,X
LZTIJSO,X,O,X
LZTIJOS,X,O,O
LZTISJO,X,O,X
LZTISOJ,O,X,O
LZTIOJS,O,X,O
LZTIOSJ,O,X,O
LZTJISO,X,O,X
LZTJIOS,X,O,X
LZTJSIO,X,O,X
LZTJSOI,X,O,X
LZTJOIS,X,O,X
LZTJOSI,X,O,X
LZTSIJO,X,O,X
LZTSIOJ,O,X,X
LZTSJIO,X,O,X
LZTSJOI,X,O,X
LZTSOIJ,O,X,X
LZTSOJI,O,X,X
LZTOIJS,O,X,X
LZTOISJ,O,X,X
LZTOJIS,O,X,X
LZTOJSI,O,X,X
LZTOSIJ,O,X,X
LZTOSJI,O,X,X
LZITJSO,X,O,X
LZITJOS,X,O,O
LZITSJO,X,O,X
LZITSOJ,O,X,O
