sequence,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFlgB3hBGjB6sBRq?BzrB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgBVnBGjBSqB/r?BTsB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgB/nBGjBSqBTm?BVxB,v115@HhA8GeA8AeA8GeG8CeB8Jex/IvhF8lBGjBzkBFnB3m?BSxB
TLSOIJZ,O,O,O,O
TLSOIZJ,O,O,O,O
TLSOJIZ,O,O,O,O
TLSOJZI,O,O,O,O
TLSOZIJ,X,O,O,O
TLSOZJI,O,O,O,O
TLZIJSO,O,X,O,X
TLZIJOS,O,X,X,O
TLZISJO,O,O,O,X
TLZISOJ,O,O,O,X
TLZIOJS,O,X,O,O
TLZIOSJ,O,X,O,O
TLZJISO,O,X,O,X
TLZJIOS,O,X,X,O
TLZJSIO,O,O,O,X
TLZJSOI,O,O,O,O
TLZJOIS,O,O,O,O
TLZJOSI,O,O,O,O
TLZSIJO,O,O,O,X
TLZSIOJ,O,O,O,X
TLZSJIO,O,O,O,X
TLZSJOI,O,O,O,O
TLZSOIJ,X,O,O,O
TLZSOJI,O,O,O,O
TLZOIJS,O,O,O,O
TLZOISJ,O,O,O,O
TLZOJIS,O,O,O,O
TLZOJSI,O,O,O,O
TLZOSIJ,X,O,O,O
TLZOSJI,O,O,O,O
TLOIJSZ,X,O,O,O
TLOIJZS,X,O,O,O
TLOISJZ,X,O,O,O
TLOISZJ,X,O,O,O
TLOIZJS,X,O,O,O
TLOIZSJ,X,O,O,O
TLOJISZ,X,O,O,O
TLOJIZS,X,O,O,O
TLOJSIZ,X,O,O,O
TLOJSZI,X,O,O,O
TLOJZIS,X,O,O,O
TLOJZSI,X,O,O,O
TLOSIJZ,X,O,O,O
TLOSIZJ,X,O,O,O
TLOSJIZ,X,O,O,O
TLOSJZI,X,O,O,O
TLOSZIJ,X,O,O,O
TLOSZJI,X,O,O,O
TLOZIJS,X,O,O,O
TLOZISJ,X,O,O,O
TLOZJIS,X,O,O,O
TLOZJSI,X,O,O,O
TLOZSIJ,X,O,O,O
TLOZSJI,X,O,O,O
TJILSZO,O,X,X,X
TJILSOZ,O,X,X,X
TJILZSO,O,X,X,X
TJILZOS,O,X,X,X
TJILOSZ,O,X,X,O
TJILOZS,O,X,X,O
TJISLZO,O,X,X,X
TJISLOZ,O,X,X,X
TJISZLO,O,X,X,X
TJISZOL,O,X,X,X
TJISOLZ,O,X,X,X
TJISOZL,O,X,X,X
TJIZLSO,O,X,X,X
TJIZLOS,O,X,X,X
TJIZSLO,O,X,X,X
TJIZSOL,O,X,X,X
TJIZOLS,O,X,X,X
TJIZOSL,O,X,X,X
TJIOLSZ,O,X,X,O
TJIOLZS,O,X,X,O
TJIOSLZ,O,X,X,X
TJIOSZL,O,X,X,X
TJIOZLS,O,X,X,O
TJIOZSL,O,X,X,X
TJLISZO,O,X,O,X
TJLISOZ,O,X,O,X
TJLIZSO,O,X,O,X
TJLIZOS,O,X,X,O
TJLIOSZ,O,X,X,O
TJLIOZS,O,X,X,O
TJLSIZO,O,O,O,X
TJLSIOZ,O,O,O,X
TJLSZIO,O,O,O,X
TJLSZOI,O,O,O,O
TJLSOIZ,O,O,O,O
TJLSOZI,O,O,O,O
TJLZISO,O,X,O,X
TJLZIOS,O,X,X,O
TJLZSIO,O,O,O,X
TJLZSOI,O,O,O,O
TJLZOIS,O,O,O,O
TJLZOSI,O,O,O,O
TJLOISZ,X,O,O,O
TJLOIZS,X,O,O,O
TJLOSIZ,X,O,O,O
TJLOSZI,X,O,O,O
TJLOZIS,X,O,O,O
TJLOZSI,X,O,O,O
TJSILZO,X,O,O,X
TJSILOZ,X,O,O,X
TJSIZLO,X,O,O,X
TJSIZOL,X,O,O,X
TJSIOLZ,X,O,O,X
TJSIOZL,X,O,O,X
TJSLIZO,X,O,O,X
TJSLIOZ,X,O,O,X
TJSLZIO,X,O,O,X
TJSLZOI,X,O,O,X
TJSLOIZ,X,O,O,X
TJSLOZI,X,O,O,X
TJSZILO,X,O,O,X
TJSZIOL,X,O,O,X
TJSZLIO,X,O,O,X
TJSZLOI,X,O,O,X
TJSZOIL,X,O,O,X
TJSZOLI,X,O,O,X
TJSOILZ,X,O,O,X
TJSOIZL,X,O,O,X
TJSOLIZ,X,O,O,X
TJSOLZI,X,O,O,X
TJSOZIL,X,O,O,X
TJSOZLI,X,O,O,X
TJZILSO,O,X,O,X
TJZILOS,O,X,X,X
TJZISLO,O,X,O,X
TJZISOL,O,X,O,X
TJZIOLS,O,X,X,X
TJZIOSL,O,X,X,X
TJZLISO,O,X,O,X
TJZLIOS,O,X,X,O
TJZLSIO,O,O,O,X
TJZLSOI,O,O,O,O
TJZLOIS,O,O,O,O
TJZLOSI,O,O,O,O
TJZSILO,O,O,O,X
TJZSIOL,O,O,O,X
TJZSLIO,O,O,O,X
TJZSLOI,O,O,O,X
TJZSOIL,O,O,O,X
TJZSOLI,O,O,O,X
TJZOILS,O,O,X,O
TJZOISL,O,O,O,X
TJZOLIS,O,O,O,O
TJZOLSI,O,O,O,O
TJZOSIL,O,O,O,X
TJZOSLI,O,O,O,X
TJOILSZ,O,O,O,O
TJOILZS,O,O,O,O
TJOISLZ,O,O,O,X
TJOISZL,O,O,O,X
TJOIZLS,O,O,X,O
TJOIZSL,O,O,O,X
TJOLISZ,X,O,O,O
TJOLIZS,X,O,O,O
TJOLSIZ,X,O,O,O
TJOLSZI,X,O,O,O
TJOLZIS,X,O,O,O
TJOLZSI,X,O,O,O
TJOSILZ,O,O,O,X
TJOSIZL,O,O,O,X
TJOSLIZ,O,O,O,X
