sequence,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhFxgBXiB8nBmlBFq?BSwB,v115@GhA8IeB8EeA8AeD8DeD8Jei/IvhFfmBxhB8nBzkBur?B1vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBamBRiB+rBln?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgBFiB8nBKqBzl?B+rB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFFgBxhB8nBarBur?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBRiB6rBlnBzl?B2vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgB8nBOqBlmBzq?BCsB,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhF3gB8nBlmBRqB2v?BCsB
TILJSZO,O,O,O,X,X,O,X,X
TILJSOZ,O,X,O,X,X,O,X,X
TILJZSO,O,O,O,X,X,O,X,X
TILJZOS,O,X,O,X,X,X,X,X
TILJOSZ,O,X,O,X,X,O,X,X
TILJOZS,O,X,O,X,X,X,X,X
TILSJZO,X,O,O,X,X,O,X,X
TILSJOZ,X,X,O,X,X,O,X,X
TILSZJO,X,O,X,X,X,O,X,X
TILSZOJ,X,O,X,X,X,O,X,O
TILSOJZ,X,X,X,X,X,O,X,X
TILSOZJ,X,X,X,X,X,O,X,O
TILZJSO,O,O,X,X,X,O,X,X
TILZJOS,O,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,O,X,X
TILZSOJ,O,O,X,X,X,O,X,O
TILZOJS,O,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,O
TILOJSZ,O,X,X,X,X,O,X,X
TILOJZS,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,O,X,X
TILOSZJ,X,X,X,X,X,O,X,O
TILOZJS,O,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,O
TIJLSZO,X,O,O,X,X,O,X,X
TIJLSOZ,X,X,O,X,X,O,X,X
TIJLZSO,O,O,O,X,X,O,X,X
TIJLZOS,O,X,O,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,O,X,X
TIJLOZS,O,X,O,X,X,X,X,X
TIJSLZO,X,O,O,X,X,O,X,X
TIJSLOZ,X,X,O,X,X,O,X,X
TIJSZLO,O,O,O,X,X,O,X,X
TIJSZOL,O,O,O,X,X,X,O,O
TIJSOLZ,X,O,O,X,X,O,X,X
TIJSOZL,O,O,O,X,X,X,X,O
TIJZLSO,O,O,O,X,X,O,X,X
TIJZLOS,O,X,O,X,X,X,X,X
TIJZSLO,O,O,O,X,X,O,X,X
TIJZSOL,O,O,O,X,X,X,O,O
TIJZOLS,O,O,O,X,X,X,X,X
TIJZOSL,O,O,O,X,X,X,X,O
TIJOLSZ,X,O,O,X,X,O,X,X
TIJOLZS,O,O,O,X,X,X,X,X
TIJOSLZ,X,O,O,X,X,O,X,X
TIJOSZL,O,O,O,X,X,X,X,O
TIJOZLS,O,O,O,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,X,O
TISLJZO,X,O,O,X,X,O,X,X
TISLJOZ,X,X,O,X,X,O,X,X
TISLZJO,X,O,X,X,X,O,X,X
TISLZOJ,X,O,X,X,X,O,X,O
TISLOJZ,X,X,X,X,X,O,X,X
TISLOZJ,X,X,X,X,X,O,X,O
TISJLZO,X,O,O,X,X,O,X,X
TISJLOZ,X,X,O,X,X,O,X,X
TISJZLO,X,O,O,X,X,O,X,X
TISJZOL,X,O,O,X,X,X,O,O
TISJOLZ,X,O,O,X,X,O,X,X
TISJOZL,X,O,O,X,X,X,X,O
TISZLJO,X,O,X,X,X,O,X,X
