sequence,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhF0hB6nBupBzlBFl?B3rB,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhFThB6nBupBfrB8r?BFqB,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhFXhB6nBupBzmBFl?BUrB,v115@FhB8HeB8HeB8BeB8BeD8JeZEJvhF8lBfnB6nBupBFl?BTrB,v115@FhB8HeB8HeB8BeB8BeD8JeXAJvhFxhBSrBTnBlpBOp?BUrB,v115@FhB8HeB8HeB8BeB8BeD8Jex/IvhFXhBTiBWsBlpBUr?BipB,v115@FhB8HeB8HeB8BeB8BeD8Jex/IvhFXhB+nBypBFrB8r?BTpB,v115@FhB8HeB8HeB8BeB8BeD8JeRAJvhFGiB0lBVsBipB/p?BTrB,v115@FhB8HeB8HeB8BeB8BeD8JeFAJvhF8lBTiBipBxrB/p?B+rB,v115@FhB8HeB8HeB8BeB8BeD8JeFBJvhFxkBGnBypBXnBUr?BTpB
TILJSZO,X,O,X,O,X,X,O,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,O,O,X,X
TILJZOS,X,X,X,X,X,X,O,X,X,X
TILJOSZ,X,X,O,X,X,X,O,X,X,X
TILJOZS,O,X,O,X,X,X,O,X,X,X
TILSJZO,X,O,X,O,X,X,O,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,O,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X,X
TILZJSO,X,O,X,X,X,X,O,O,O,X
TILZJOS,X,X,X,X,X,X,O,X,O,X
TILZSJO,X,O,X,X,X,X,X,O,O,X
TILZSOJ,X,O,X,X,X,X,X,O,O,X
TILZOJS,X,X,X,X,X,X,X,O,X,X
TILZOSJ,X,X,X,X,X,X,X,O,X,X
TILOJSZ,X,X,O,X,O,X,X,X,X,X
