sequence,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigB3hB?GjBcqBlnBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGiB?TjBcqBlmBXsB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGjB?cqBlmB3nBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeuEJvhF1lB0hB?xiBCoBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFXiBTjB?llBSsBOqB0rB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFGjBClB?0mBlnBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFFiBTjB?WqB6rBcsBXqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JexBJvhFTjBfqB?llBurBcsBCqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeTDJvhFRlBGnB?XnBFqBCqB0rB
TSZIJOL,O,O,O,O,X,X,X,O,X
TSZIOLJ,O,O,O,X,X,X,X,X,X
TSZIOJL,O,O,O,O,X,X,X,O,X
TSZLIJO,O,O,O,O,X,O,X,X,X
TSZLIOJ,O,O,O,O,X,O,X,X,X
TSZLJIO,O,O,O,O,X,O,X,O,X
TSZLJOI,O,O,O,O,X,O,X,O,X
TSZLOIJ,O,O,O,O,X,O,X,X,X
TSZLOJI,O,O,O,O,X,O,X,O,X
TSZJILO,O,O,O,O,X,O,X,O,X
TSZJIOL,O,O,O,O,X,X,X,O,X
TSZJLIO,O,O,O,O,X,O,X,O,X
TSZJLOI,O,O,O,O,X,O,X,O,X
TSZJOIL,O,O,O,O,X,X,X,O,X
TSZJOLI,O,O,O,O,X,O,X,O,X
TSZOILJ,O,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,O,X,X,X,O,X
TSZOLIJ,O,O,O,O,X,O,X,X,X
TSZOLJI,O,O,O,O,X,O,X,O,X
TSZOJIL,O,O,O,O,X,X,X,O,X
TSZOJLI,O,O,O,O,X,O,X,O,X
TSOILJZ,X,O,X,O,O,X,X,X,X
TSOILZJ,X,O,X,O,O,X,X,X,X
TSOIJLZ,X,O,X,O,X,X,X,X,O
TSOIJZL,O,O,O,O,X,X,X,X,O
TSOIZLJ,O,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,O,X,X,X,O,X
TSOLIJZ,X,O,X,O,O,O,X,X,X
TSOLIZJ,X,O,X,O,O,O,X,X,X
TSOLJIZ,X,O,X,O,O,O,X,X,X
TSOLJZI,X,O,X,O,X,O,X,X,X
TSOLZIJ,X,O,X,O,O,O,X,X,X
TSOLZJI,X,O,X,O,X,O,X,O,X
TSOJILZ,X,O,X,O,X,X,X,X,O
TSOJIZL,O,O,O,O,X,X,X,X,O
TSOJLIZ,X,O,X,O,X,O,X,X,X
TSOJLZI,X,O,X,O,X,O,X,X,X
TSOJZIL,O,O,O,O,X,X,X,O,X
TSOJZLI,O,O,O,O,X,O,X,O,X
TSOZILJ,O,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,O,X,X,X,O,X
TSOZLIJ,O,O,O,O,X,O,X,X,X
TSOZLJI,O,O,O,O,X,O,X,O,X
TSOZJIL,O,O,O,O,X,X,X,O,X
TSOZJLI,O,O,O,O,X,O,X,O,X
TZILJSO,O,O,O,O,X,X,X,X,X
TZILJOS,O,O,X,O,X,X,X,X,X
TZILSJO,O,O,O,O,X,X,X,X,X
TZILSOJ,O,O,O,O,O,X,X,X,X
TZILOJS,O,O,X,O,X,X,X,X,X
TZILOSJ,O,O,O,O,O,X,X,X,X
TZIJLSO,O,O,O,O,X,X,X,X,X
TZIJLOS,O,O,X,O,X,X,O,X,X
TZIJSLO,O,O,O,O,X,O,X,X,X
TZIJSOL,O,O,O,O,X,X,O,X,X
TZIJOLS,O,O,X,O,X,X,O,X,X
TZIJOSL,O,O,X,X,X,X,O,X,O
TZISLJO,O,O,O,O,X,O,X,X,X
TZISLOJ,O,O,O,O,X,O,X,X,X
TZISJLO,O,O,O,O,X,O,X,X,X
TZISJOL,O,O,O,O,X,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X,X,X
TZISOJL,O,O,O,O,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,X
TZIOLSJ,O,O,O,X,O,X,X,X,X
TZIOJLS,O,O,X,O,X,X,O,X,X
TZIOJSL,O,O,X,X,X,X,O,X,O
TZIOSLJ,O,O,O,X,X,X,X,X,X
TZIOSJL,O,O,O,O,X,X,X,X,X
TZLIJSO,O,O,O,O,X,X,O,X,X
TZLIJOS,O,O,X,O,X,X,O,X,X
TZLISJO,O,O,O,O,X,X,X,X,X
TZLISOJ,O,O,O,O,O,X,O,X,X
TZLIOJS,O,O,X,O,X,X,O,X,X
TZLIOSJ,O,O,O,O,O,X,O,X,X
TZLJISO,O,O,O,O,X,X,O,X,X
TZLJIOS,O,O,X,O,X,X,O,X,X
TZLJSIO,O,O,O,O,X,O,O,X,X
TZLJSOI,O,O,O,O,X,O,O,X,X
TZLJOIS,O,O,X,O,X,X,O,X,X
TZLJOSI,O,O,X,O,X,X,O,X,X
TZLSIJO,O,O,O,O,X,O,X,X,X
TZLSIOJ,O,O,O,O,O,O,O,X,X
TZLSJIO,O,O,O,O,X,O,O,X,X
TZLSJOI,O,O,O,O,X,O,O,X,X
TZLSOIJ,O,O,O,O,O,O,O,X,X
TZLSOJI,O,O,O,O,X,O,O,X,X
TZLOIJS,O,O,X,O,X,X,O,X,X
TZLOISJ,O,O,O,O,O,X,O,X,X
TZLOJIS,O,O,X,O,X,X,O,X,X
TZLOJSI,O,O,X,O,X,X,O,X,X
TZLOSIJ,O,O,O,O,O,X,O,X,X
TZLOSJI,O,O,O,O,X,X,O,X,X
TZJILSO,O,O,O,O,X,X,X,X,X
TZJILOS,O,O,X,O,X,X,O,X,X
TZJISLO,O,O,O,O,X,O,X,O,X
TZJISOL,O,O,O,O,X,X,O,O,X
TZJIOLS,O,O,X,O,X,X,O,X,X
TZJIOSL,O,O,X,X,X,X,O,O,O
TZJLISO,O,O,O,O,X,X,O,X,X
TZJLIOS,O,O,X,O,X,X,O,X,X
TZJLSIO,O,O,O,O,X,O,O,X,X
TZJLSOI,O,O,O,O,X,O,O,X,X
TZJLOIS,O,O,X,O,X,X,O,X,X
TZJLOSI,O,O,X,O,X,X,O,X,X
TZJSILO,O,O,O,O,X,O,X,O,X
TZJSIOL,O,O,O,O,X,X,O,O,X
TZJSLIO,O,O,O,O,X,O,X,O,X
TZJSLOI,O,O,O,O,X,O,X,O,X
TZJSOIL,O,O,O,O,X,X,O,O,X
TZJSOLI,O,O,O,O,X,O,X,O,X
TZJOILS,O,O,X,O,X,X,O,X,X
TZJOISL,O,O,X,O,X,X,O,O,O
TZJOLIS,O,O,X,O,X,X,O,X,X
TZJOLSI,O,O,X,O,X,X,O,X,X
TZJOSIL,O,O,X,O,X,X,O,O,X
TZJOSLI,O,O,X,O,X,O,X,O,X
TZSILJO,O,O,O,O,X,O,X,X,X
TZSILOJ,O,O,O,O,X,O,X,X,X
TZSIJLO,O,O,O,O,X,O,X,O,X
TZSIJOL,O,O,O,O,X,X,X,O,X
TZSIOLJ,O,O,O,X,X,X,X,X,X
TZSIOJL,O,O,O,O,X,X,X,O,X
TZSLIJO,O,O,O,O,X,O,X,X,X
TZSLIOJ,O,O,O,O,X,O,X,X,X
TZSLJIO,O,O,O,O,X,O,X,O,X
TZSLJOI,O,O,O,O,X,O,X,O,X
TZSLOIJ,O,O,O,O,X,O,X,X,X
TZSLOJI,O,O,O,O,X,O,X,O,X
TZSJILO,O,O,O,O,X,O,X,O,X
TZSJIOL,O,O,O,O,X,X,O,O,X
TZSJLIO,O,O,O,O,X,O,X,O,X
TZSJLOI,O,O,O,O,X,O,X,O,X
TZSJOIL,O,O,O,O,X,X,O,O,X
TZSJOLI,O,O,O,O,X,O,X,O,X
TZSOILJ,O,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,O,X,X,X,O,X
TZSOLIJ,O,O,O,O,X,O,X,X,X
TZSOLJI,O,O,O,O,X,O,X,O,X
TZSOJIL,O,O,O,O,X,X,O,O,X
TZSOJLI,O,O,O,O,X,O,X,O,X
TZOILJS,O,O,X,O,X,X,X,X,X
TZOILSJ,O,O,O,O,O,X,X,X,X
TZOIJLS,O,O,X,O,X,X,O,X,X
TZOIJSL,O,O,X,O,X,X,O,X,O
TZOISLJ,O,O,O,O,X,X,X,X,X
TZOISJL,O,O,O,O,X,X,X,X,X
TZOLIJS,O,O,X,O,X,X,O,X,X
TZOLISJ,O,O,O,O,O,X,O,X,X
TZOLJIS,O,O,X,O,X,X,O,X,X
TZOLJSI,O,O,X,O,X,X,O,X,X
TZOLSIJ,O,O,O,O,O,X,O,X,X
TZOLSJI,O,O,O,O,X,X,O,X,X
TZOJILS,O,O,X,O,X,X,O,X,X
TZOJISL,O,O,X,O,X,X,O,O,O
TZOJLIS,O,O,X,O,X,X,O,X,X
TZOJLSI,O,O,X,O,X,X,O,X,X
TZOJSIL,O,O,X,O,X,X,O,O,X
TZOJSLI,O,O,X,O,X,O,X,O,X
TZOSILJ,O,O,O,O,X,X,X,X,X
TZOSIJL,O,O,O,O,X,X,X,O,X
TZOSLIJ,O,O,O,O,X,O,X,X,X
TZOSLJI,O,O,O,O,X,O,X,O,X
TZOSJIL,O,O,O,O,X,X,O,O,X
TZOSJLI,O,O,O,O,X,O,X,O,X
TOILJSZ,O,X,X,O,O,X,X,X,O
TOILJZS,O,O,X,O,X,X,X,X,X
TOILSJZ,O,X,X,O,O,X,X,X,X
TOILSZJ,O,X,X,O,O,X,X,X,X
TOILZJS,O,O,X,O,X,X,X,X,X
TOILZSJ,O,O,X,O,O,X,X,X,X
TOIJLSZ,O,X,X,O,O,X,X,X,O
TOIJLZS,O,O,X,O,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,X,X,X,O
TOIJSZL,O,O,X,X,X,X,X,X,O
TOIJZLS,O,O,X,O,X,X,X,X,X
TOIJZSL,O,O,X,O,X,X,X,X,O
TOISLJZ,O,O,X,O,O,X,X,X,X
TOISLZJ,O,O,X,O,O,X,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X,O
TOISJZL,O,O,O,O,X,X,X,X,O
TOISZLJ,O,O,O,O,X,X,X,X,X
TOISZJL,O,O,O,O,X,X,X,X,X
TOIZLJS,O,O,X,O,X,X,X,X,X
TOIZLSJ,O,O,O,O,O,X,X,X,X
TOIZJLS,O,O,X,O,X,X,X,X,X
TOIZJSL,O,O,X,O,X,X,X,X,O
TOIZSLJ,O,O,O,O,X,X,X,X,X
TOIZSJL,O,O,O,O,X,X,X,X,X
TOLIJSZ,O,X,X,O,O,X,X,X,O
TOLIJZS,O,O,X,O,X,X,X,X,X
TOLISJZ,O,X,X,O,O,X,X,X,X
TOLISZJ,O,X,X,O,O,X,X,X,X
TOLIZJS,O,O,X,O,X,X,O,X,X
TOLIZSJ,O,O,X,O,O,X,O,X,X
TOLJISZ,O,X,X,O,O,X,X,X,O
TOLJIZS,O,O,X,O,X,X,O,X,X
TOLJSIZ,O,X,X,O,O,X,X,X,X
TOLJSZI,O,X,X,O,X,X,X,X,X
TOLJZIS,O,O,X,O,X,X,O,X,X
TOLJZSI,O,O,X,O,X,X,O,X,X
TOLSIJZ,O,X,X,O,O,X,X,X,X
TOLSIZJ,O,X,X,O,O,X,X,X,X
TOLSJIZ,O,X,X,O,O,X,X,X,X
TOLSJZI,O,X,X,O,X,X,X,X,X
TOLSZIJ,O,X,X,O,O,X,X,X,X
TOLSZJI,O,X,X,O,X,X,X,X,X
TOLZIJS,O,O,X,O,X,X,O,X,X
TOLZISJ,O,O,X,O,O,X,O,X,X
TOLZJIS,O,O,X,O,X,X,O,X,X
TOLZJSI,O,O,X,O,X,X,O,X,X
TOLZSIJ,O,O,X,O,O,X,O,X,X
TOLZSJI,O,O,X,O,X,X,O,X,X
TOJILSZ,O,X,X,O,O,X,X,X,O
TOJILZS,O,O,X,O,X,X,O,X,X
TOJISLZ,O,X,X,X,X,X,X,X,O
TOJISZL,O,O,X,X,X,X,X,X,O
TOJIZLS,O,O,X,O,X,X,O,X,X
TOJIZSL,O,O,X,O,X,X,O,X,O
TOJLISZ,O,X,X,O,O,X,X,X,O
TOJLIZS,O,O,X,O,X,X,O,X,X
TOJLSIZ,O,X,X,O,O,X,X,X,X
TOJLSZI,O,X,X,O,X,X,X,X,X
TOJLZIS,O,O,X,O,X,X,O,X,X
TOJLZSI,O,O,X,O,X,X,O,X,X
TOJSILZ,O,X,X,O,X,X,X,X,O
TOJSIZL,O,O,X,O,X,X,X,X,O
TOJSLIZ,O,X,X,O,X,O,X,X,X
TOJSLZI,O,X,X,O,X,O,X,X,X
TOJSZIL,O,O,X,O,X,X,X,X,X
TOJSZLI,O,O,X,O,X,O,X,X,X
TOJZILS,O,O,X,O,X,X,O,X,X
TOJZISL,O,O,X,O,X,X,O,X,O
TOJZLIS,O,O,X,O,X,X,O,X,X
TOJZLSI,O,O,X,O,X,X,O,X,X
TOJZSIL,O,O,X,O,X,X,O,X,X
TOJZSLI,O,O,X,O,X,O,X,X,X
TOSILJZ,O,O,X,O,O,X,X,X,X
TOSILZJ,O,O,X,O,O,X,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X,O
TOSIJZL,O,O,O,O,X,X,X,X,O
TOSIZLJ,O,O,O,O,X,X,X,X,X
TOSIZJL,O,O,O,O,X,X,X,O,X
TOSLIJZ,O,O,X,O,O,O,X,X,X
TOSLIZJ,O,O,X,O,O,O,X,X,X
TOSLJIZ,O,O,X,O,O,O,X,X,X
TOSLJZI,O,O,X,O,X,O,X,X,X
TOSLZIJ,O,O,X,O,O,O,X,X,X
TOSLZJI,O,O,X,O,X,O,X,O,X
TOSJILZ,O,O,X,O,X,X,X,X,O
TOSJIZL,O,O,O,O,X,X,X,X,O
TOSJLIZ,O,O,X,O,X,O,X,X,X
TOSJLZI,O,O,X,O,X,O,X,X,X
TOSJZIL,O,O,O,O,X,X,X,O,X
TOSJZLI,O,O,O,O,X,O,X,O,X
TOSZILJ,O,O,O,O,X,X,X,X,X
TOSZIJL,O,O,O,O,X,X,X,O,X
TOSZLIJ,O,O,O,O,X,O,X,X,X
TOSZLJI,O,O,O,O,X,O,X,O,X
TOSZJIL,O,O,O,O,X,X,X,O,X
TOSZJLI,O,O,O,O,X,O,X,O,X
TOZILJS,O,O,X,O,X,X,X,X,X
TOZILSJ,O,O,O,O,O,X,X,X,X
TOZIJLS,O,O,X,O,X,X,O,X,X
TOZIJSL,O,O,X,O,X,X,O,X,O
TOZISLJ,O,O,O,O,X,X,X,X,X
TOZISJL,O,O,O,O,X,X,X,X,X
TOZLIJS,O,O,X,O,X,X,O,X,X
TOZLISJ,O,O,O,O,O,X,O,X,X
TOZLJIS,O,O,X,O,X,X,O,X,X
TOZLJSI,O,O,X,O,X,X,O,X,X
TOZLSIJ,O,O,O,O,O,X,O,X,X
TOZLSJI,O,O,O,O,X,X,O,X,X
TOZJILS,O,O,X,O,X,X,O,X,X
TOZJISL,O,O,X,O,X,X,O,O,O
TOZJLIS,O,O,X,O,X,X,O,X,X
TOZJLSI,O,O,X,O,X,X,O,X,X
TOZJSIL,O,O,X,O,X,X,O,O,X
TOZJSLI,O,O,X,O,X,O,X,O,X
TOZSILJ,O,O,O,O,X,X,X,X,X
TOZSIJL,O,O,O,O,X,X,X,O,X
TOZSLIJ,O,O,O,O,X,O,X,X,X
TOZSLJI,O,O,O,O,X,O,X,O,X
TOZSJIL,O,O,O,O,X,X,O,O,X
TOZSJLI,O,O,O,O,X,O,X,O,X
ITLJSZO,O,X,X,O,X,X,X,X,X
ITLJSOZ,X,X,X,O,O,X,X,X,X
ITLJZSO,O,O,X,O,X,X,X,X,X
ITLJZOS,O,O,X,O,X,X,X,X,X
ITLJOSZ,X,X,X,O,O,X,X,X,O
ITLJOZS,X,O,X,O,X,X,X,X,X
ITLSJZO,O,X,O,O,X,X,X,X,X
ITLSJOZ,X,X,X,O,O,X,X,X,X
ITLSZJO,O,X,O,O,X,X,X,X,X
ITLSZOJ,O,X,O,O,O,X,X,X,X
ITLSOJZ,X,X,X,O,O,X,X,X,X
ITLSOZJ,X,X,X,O,O,X,X,X,X
ITLZJSO,O,O,O,O,X,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X,X
ITLZSJO,O,O,O,O,X,X,X,X,X
ITLZSOJ,O,O,O,O,O,X,X,X,X
ITLZOJS,O,O,X,O,X,X,X,X,X
ITLZOSJ,O,O,O,O,O,X,X,X,X
ITLOJSZ,X,X,X,O,O,X,X,X,O
ITLOJZS,X,O,X,O,X,X,X,X,X
ITLOSJZ,X,X,X,O,O,X,X,X,X
ITLOSZJ,X,X,X,O,O,X,X,X,X
ITLOZJS,X,O,X,O,X,X,X,X,X
ITLOZSJ,X,O,X,O,O,X,X,X,X
ITJLSZO,O,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,X,X,O,X,X,X,X
ITJLZSO,O,O,X,O,X,X,X,X,X
ITJLZOS,O,O,X,O,X,X,X,X,X
ITJLOSZ,X,X,X,O,O,X,X,X,O
ITJLOZS,X,O,X,O,X,X,X,X,X
ITJSLZO,O,X,O,X,X,O,X,X,X
ITJSLOZ,X,X,X,X,X,O,X,X,X
ITJSZLO,O,O,O,X,X,O,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,X,X,X,O
ITJSOZL,O,O,O,X,X,X,X,X,O
ITJZLSO,O,O,O,O,X,X,X,X,X
ITJZLOS,O,O,X,O,X,X,X,X,X
ITJZSLO,O,O,O,O,X,O,X,X,X
ITJZSOL,O,O,O,X,X,X,X,X,X
ITJZOLS,O,O,X,O,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X,O
ITJOLSZ,X,X,X,O,O,X,X,X,O
ITJOLZS,X,O,X,O,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,X,O
ITJOSZL,O,O,X,X,X,X,X,X,O
ITJOZLS,O,O,X,O,X,X,X,X,X
ITJOZSL,O,O,X,O,X,X,X,X,O
ITSLJZO,O,O,O,O,X,O,X,X,X
ITSLJOZ,X,O,X,O,O,O,X,X,X
ITSLZJO,O,O,O,O,X,O,X,X,X
ITSLZOJ,O,O,O,O,O,O,X,X,X
ITSLOJZ,X,O,X,O,O,O,X,X,X
ITSLOZJ,X,O,X,O,O,O,X,X,X
ITSJLZO,O,O,O,O,X,O,X,X,X
ITSJLOZ,X,O,X,O,X,O,X,X,X
ITSJZLO,O,O,O,O,X,O,X,X,X
ITSJZOL,O,O,O,O,X,X,X,X,X
ITSJOLZ,X,O,X,O,X,X,X,X,O
ITSJOZL,O,O,O,O,X,X,X,X,O
ITSZLJO,O,O,O,O,X,O,X,X,X
ITSZLOJ,O,O,O,O,X,O,X,X,X
ITSZJLO,O,O,O,O,X,O,X,X,X
ITSZJOL,O,O,O,O,X,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X,X
ITSOLJZ,X,O,X,O,O,X,X,X,X
ITSOLZJ,X,O,X,O,O,X,X,X,X
ITSOJLZ,X,O,X,O,X,X,X,X,O
ITSOJZL,O,O,O,O,X,X,X,X,O
ITSOZLJ,O,O,O,O,X,X,X,X,X
ITSOZJL,O,O,O,O,X,X,X,X,X
ITZLJSO,O,O,O,O,X,X,X,X,X
ITZLJOS,O,O,X,O,X,X,X,X,X
ITZLSJO,O,O,O,O,X,X,X,X,X
ITZLSOJ,O,O,O,O,O,X,X,X,X
ITZLOJS,O,O,X,O,X,X,X,X,X
ITZLOSJ,O,O,O,O,O,X,X,X,X
ITZJLSO,O,O,O,O,X,X,X,X,X
ITZJLOS,O,O,X,O,X,X,X,X,X
ITZJSLO,O,O,O,O,X,O,X,X,X
ITZJSOL,O,O,O,O,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X,O
ITZSLJO,O,O,O,O,X,O,X,X,X
ITZSLOJ,O,O,O,O,X,O,X,X,X
ITZSJLO,O,O,O,O,X,O,X,X,X
ITZSJOL,O,O,O,O,X,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X
ITZSOJL,O,O,O,O,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X,X
ITZOLSJ,O,O,O,X,O,X,X,X,X
ITZOJLS,O,O,X,O,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X,O
ITZOSLJ,O,O,O,X,X,X,X,X,X
ITZOSJL,O,O,O,O,X,X,X,X,X
ITOLJSZ,O,X,X,O,O,X,X,X,O
ITOLJZS,O,O,X,O,X,X,X,X,X
ITOLSJZ,O,X,X,O,O,X,X,X,X
ITOLSZJ,O,X,X,O,O,X,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X,X
ITOLZSJ,O,O,X,O,O,X,X,X,X
ITOJLSZ,O,X,X,O,O,X,X,X,O
ITOJLZS,O,O,X,O,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,X,X,O
ITOJSZL,O,O,X,X,X,X,X,X,O
ITOJZLS,O,O,X,O,X,X,X,X,X
ITOJZSL,O,O,X,O,X,X,X,X,O
ITOSLJZ,O,O,X,O,O,X,X,X,X
ITOSLZJ,O,O,X,O,O,X,X,X,X
ITOSJLZ,O,O,X,O,X,X,X,X,O
ITOSJZL,O,O,O,O,X,X,X,X,O
ITOSZLJ,O,O,O,O,X,X,X,X,X
ITOSZJL,O,O,O,O,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X,X,X
ITOZLSJ,O,O,O,O,O,X,X,X,X
ITOZJLS,O,O,X,O,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X,O
ITOZSLJ,O,O,O,O,X,X,X,X,X
ITOZSJL,O,O,O,O,X,X,X,X,X
ILTJSZO,O,X,X,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,O,X,X,X,X
ILTJZSO,O,O,X,O,X,X,X,X,X
ILTJZOS,O,O,X,O,X,X,X,X,X
ILTJOSZ,X,X,X,O,O,X,X,X,X
ILTJOZS,X,O,X,O,X,X,X,X,X
ILTSJZO,O,X,O,O,X,X,X,X,X
ILTSJOZ,X,X,X,O,O,X,X,X,X
ILTSZJO,O,X,O,O,X,X,X,X,X
ILTSZOJ,O,X,O,O,O,X,X,X,X
ILTSOJZ,X,X,X,O,O,X,X,X,X
ILTSOZJ,X,X,X,O,O,X,X,X,X
ILTZJSO,O,O,O,O,X,X,X,X,X
ILTZJOS,O,O,X,O,X,X,O,X,X
ILTZSJO,O,O,O,O,X,X,X,X,X
ILTZSOJ,O,O,O,O,O,X,O,X,X
ILTZOJS,O,O,X,O,X,X,O,X,X
ILTZOSJ,O,O,O,O,O,X,O,X,X
ILTOJSZ,X,X,X,O,O,X,X,X,X
ILTOJZS,X,O,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,O,O,X,X,X,X
ILTOSZJ,X,X,X,O,O,X,X,X,X
ILTOZJS,X,O,X,O,X,X,O,X,X
ILTOZSJ,X,O,X,O,O,X,O,X,X
ILJTSZO,O,X,X,O,X,X,X,X,X
ILJTSOZ,X,X,X,O,O,X,X,X,X
ILJTZSO,O,X,X,O,X,X,O,X,X
ILJTZOS,O,X,X,O,X,X,O,X,X
ILJTOSZ,X,X,X,X,O,X,X,X,X
ILJTOZS,X,X,X,O,X,X,O,X,X
ILJSTZO,X,X,O,O,X,X,X,X,X
ILJSTOZ,X,X,X,O,O,X,X,X,X
ILJSZTO,O,X,O,O,X,X,O,X,X
ILJSZOT,O,X,O,X,X,X,O,X,X
ILJSOTZ,X,X,X,O,O,X,X,X,X
ILJSOZT,X,X,X,X,X,X,O,X,X
ILJZTSO,O,X,O,X,X,X,O,X,X
ILJZTOS,O,X,X,X,X,X,O,X,X
ILJZSTO,O,X,O,X,X,X,O,X,X
ILJZSOT,O,X,O,X,X,X,O,X,X
ILJZOTS,O,X,X,X,X,X,O,X,X
ILJZOST,O,X,O,X,X,X,O,X,X
ILJOTSZ,X,X,X,X,O,X,X,X,O
ILJOTZS,X,X,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,O
ILJOSZT,O,X,X,X,X,X,O,X,X
ILJOZTS,O,X,X,X,X,X,O,X,X
ILJOZST,O,X,X,X,X,X,O,X,X
ILSTJZO,O,O,O,O,X,X,X,X,X
ILSTJOZ,X,O,X,O,O,X,X,X,X
ILSTZJO,O,O,O,O,X,X,X,X,X
ILSTZOJ,O,O,O,O,O,X,X,X,X
ILSTOJZ,X,O,X,O,O,X,X,X,X
ILSTOZJ,X,O,X,O,O,X,X,X,X
ILSJTZO,X,X,O,O,X,X,X,X,X
ILSJTOZ,X,X,X,O,O,X,X,X,X
ILSJZTO,O,O,O,O,X,X,X,X,X
ILSJZOT,O,O,O,X,X,X,X,X,X
ILSJOTZ,X,X,X,O,O,X,X,X,X
ILSJOZT,X,O,X,O,X,X,X,X,X
ILSZTJO,O,O,O,O,X,X,X,X,X
ILSZTOJ,O,O,O,O,O,X,O,X,X
ILSZJTO,O,O,O,O,X,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X,X,X
ILSZOTJ,O,O,O,X,O,X,O,X,X
ILSZOJT,O,O,O,X,X,X,X,X,X
ILSOTJZ,X,O,X,O,O,X,X,X,X
ILSOTZJ,X,O,X,O,O,X,X,X,X
ILSOJTZ,X,X,X,O,O,X,X,X,X
ILSOJZT,X,O,X,O,X,X,X,X,X
ILSOZTJ,X,O,X,O,O,X,O,X,X
ILSOZJT,X,O,X,O,X,X,X,X,X
ILZTJSO,O,O,O,O,X,X,O,X,X
ILZTJOS,O,O,X,O,X,X,O,X,X
ILZTSJO,O,O,O,O,X,X,X,X,X
ILZTSOJ,O,O,O,O,O,X,O,X,X
ILZTOJS,O,O,X,O,X,X,O,X,X
ILZTOSJ,O,O,O,O,O,X,O,X,X
ILZJTSO,O,O,O,X,X,X,O,X,X
ILZJTOS,O,O,X,X,X,X,O,X,X
ILZJSTO,O,O,O,X,X,X,O,X,X
ILZJSOT,O,O,O,X,X,X,O,X,X
ILZJOTS,O,O,X,X,X,X,O,X,X
ILZJOST,O,O,O,X,X,X,O,X,X
ILZSTJO,O,O,O,O,X,X,X,X,X
ILZSTOJ,O,O,O,O,O,X,O,X,X
ILZSJTO,O,O,O,O,X,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X,X,X
ILZSOTJ,O,O,O,X,O,X,O,X,X
ILZSOJT,O,O,O,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,O,X,X
ILZOTSJ,O,O,O,X,O,X,O,X,X
ILZOJTS,O,O,X,X,X,X,O,X,X
ILZOJST,O,O,O,X,X,X,O,X,X
ILZOSTJ,O,O,O,X,O,X,O,X,X
ILZOSJT,O,O,O,X,X,X,X,X,X
ILOTJSZ,O,X,X,O,O,X,X,X,X
ILOTJZS,O,O,X,O,X,X,X,X,X
ILOTSJZ,O,X,X,O,O,X,X,X,X
ILOTSZJ,O,X,X,O,O,X,X,X,X
ILOTZJS,O,O,X,O,X,X,O,X,X
ILOTZSJ,O,O,X,O,O,X,O,X,X
ILOJTSZ,X,X,X,O,O,X,X,X,O
ILOJTZS,X,X,X,O,X,X,O,X,X
ILOJSTZ,X,X,X,O,O,X,X,X,O
ILOJSZT,O,X,X,O,X,X,O,X,X
ILOJZTS,O,X,X,O,X,X,O,X,X
ILOJZST,O,X,X,O,X,X,O,X,X
ILOSTJZ,O,O,X,O,O,X,X,X,X
