sequence,v115@QhF8DeA8BeB8BeA8AeB8JeCBJvhFFjBRsBOpB8pB/s?BTrB,v115@QhF8DeA8BeB8BeA8AeB8JezAJvhFWnBxiB8sB3rBip?BlpB,v115@QhF8DeA8BeB8BeA8AeB8Jez/IvhFGhBFjBRsBKpB/s?BUrB,v115@QhF8DeA8BeB8BeA8AeB8Jem/IvhFSmBFjBRsB/sBTp?BUrB,v115@QhF8DeA8BeB8BeA8AeB8JeyEJvhFlhB5nBOoB8rBfr?BTpB,v115@QhF8DeA8BeB8BeA8AeB8JezAJvhFxiBXnB8sB+rBip?BlpB,v115@QhF8DeA8BeB8BeA8AeB8JeyEJvhFxiBXnB8sBFrBTp?BGrB,v115@QhF8DeA8BeB8BeA8AeB8JeyEJvhFxiBXnB8sBGrBTp?BFrB,v115@QhF8DeA8BeB8BeA8AeB8Jez/IvhFlhB5nBOoB8rBKp?BfrB,v115@QhF8DeA8BeB8BeA8AeB8JeWGJvhFxiBXnB8sBlpBip?BTrB,v115@QhF8DeA8BeB8BeA8AeB8Je2EJvhFRhB8rBznBFrB3p?BCtB,v115@QhF8DeA8BeB8BeA8AeB8Je2EJvhFRmBznB8rB3pBFr?BCtB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,O,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,O,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,O,X,X,X,X,X,X,X
TILZJOS,X,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,O,O,X,X,X,X
TILZSOJ,O,X,O,X,X,X,O,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,O,X,X,X,X,X,X,X,X
TILOSZJ,X,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,O,X,X,X,O,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,X,X,X,X,O,X,X,X,O,X,X,X
TIJZSOL,X,X,X,X,O,X,X,X,O,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X,X,X,X,O
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,O
TISLJZO,O,X,O,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,O,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,O,O,X,X,X,X,X,X,X,X
TISLOJZ,O,X,O,O,X,X,X,X,X,X,X,X
TISLOZJ,O,X,O,O,X,X,X,X,X,X,X,X
TISJLZO,O,X,O,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,O,O,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,O,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,O,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,O,O,X,X,X,X,X,X,X,X
TISZOJL,O,X,O,O,X,X,X,X,X,X,X,X
TISOLJZ,O,X,O,O,X,X,X,X,X,X,X,X
TISOLZJ,O,X,O,O,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,O,X,O,O,X,X,X,X,X,X,X,X
TISOZJL,O,X,O,O,X,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,O,X,X,X,X,X,X,X
TIZLJOS,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,O,O,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,O,X,X,X,X,X
