sequence,v115@MhB8CeA8EeB8BeB8CeE8JeT/IvhF2lBRhBfoB6oBUq?BFrB,v115@MhB8CeA8EeB8BeB8CeE8JeT/IvhF2lBRhBSoBUoBFq?BXrB,v115@MhB8CeA8EeB8BeB8CeE8Jei/IvhFRhBziB+oBfqBVr?B0qB,v115@MhB8CeA8EeB8BeB8CeE8Jex/IvhFihBziB+oBlkBcq?BXrB,v115@MhB8CeA8EeB8BeB8CeE8Jei/IvhFRhBGjBzkBUoBFr?B3qB,v115@MhB8CeA8EeB8BeB8CeE8Jem/IvhFRhBCjB0kBToBFr?B3qB,v115@MhB8CeA8EeB8BeB8CeE8Je/EJvhFihBziB+oBxqB0q?BFqB,v115@MhB8CeA8EeB8BeB8CeE8Je/EJvhFUgBRhBCjBVrBTo?B2vB,v115@MhB8CeA8EeB8BeB8CeE8JeRBJvhFCjB0kBllBToBXr?BmpB
TILJSZO,O,X,O,X,X,X,O,O,X
TILJSOZ,O,O,O,X,X,X,O,O,X
TILJZSO,X,X,X,O,O,O,X,O,X
TILJZOS,X,O,O,O,O,O,X,X,X
TILJOSZ,O,O,O,X,X,X,O,O,X
TILJOZS,X,O,O,O,X,X,X,X,X
TILSJZO,O,O,O,X,X,X,O,O,X
TILSJOZ,O,O,O,X,X,X,O,O,X
TILSZJO,O,O,O,X,O,O,X,O,X
TILSZOJ,O,O,X,X,X,X,X,O,X
TILSOJZ,O,O,O,X,X,X,X,O,X
TILSOZJ,O,O,X,X,X,X,X,O,X
TILZJSO,X,X,X,O,O,O,X,X,X
TILZJOS,X,O,O,O,O,O,X,X,X
TILZSJO,X,X,X,O,O,O,X,O,X
TILZSOJ,X,X,X,X,X,X,X,O,X
TILZOJS,X,O,X,O,O,O,X,X,X
TILZOSJ,X,X,X,X,O,O,X,X,X
TILOJSZ,O,O,O,X,X,X,X,O,X
TILOJZS,X,O,O,X,O,O,X,X,X
TILOSJZ,O,O,X,X,X,X,X,O,X
TILOSZJ,O,O,X,X,O,O,X,O,X
TILOZJS,X,O,X,X,O,O,X,X,X
TILOZSJ,X,X,X,X,O,O,X,O,X
TIJLSZO,O,X,O,X,X,X,O,O,X
TIJLSOZ,O,O,O,X,X,X,O,O,X
TIJLZSO,X,X,X,O,O,O,X,O,X
TIJLZOS,X,O,O,O,O,O,X,X,X
TIJLOSZ,O,O,O,X,X,X,O,O,X
TIJLOZS,X,O,O,O,X,X,X,O,X
TIJSLZO,O,X,O,X,X,X,O,O,X
TIJSLOZ,O,O,O,X,X,X,O,O,X
TIJSZLO,O,X,O,O,X,X,O,O,X
