sequence,v115@ShC8FeG8AeB8JeOEJvhFXgBxhBTjBUmBFnBCtB,v115@ShC8FeG8AeB8JeOEJvhFXgB0iB6oBRmBTmBlsB,v115@ShC8FeG8AeB8JeOEJvhFXgBxiBFmB6sBTtB0rB,v115@ShC8FeG8AeB8JeOEJvhFXgBVmBUiBToBxrBCtB
TIOJZSL,X,X,X,O
TIOSLJZ,X,X,X,X
TIOSLZJ,X,X,X,X
TIOSJLZ,X,X,X,X
TIOSJZL,X,X,X,O
TIOSZLJ,X,X,X,X
TIOSZJL,X,X,X,O
TIOZLJS,X,X,X,X
TIOZLSJ,X,X,X,X
TIOZJLS,X,X,X,X
TIOZJSL,X,X,X,O
TIOZSLJ,X,X,X,X
TIOZSJL,X,X,X,O
TLIJSZO,X,O,X,X
TLIJSOZ,O,X,X,X
TLIJZSO,X,O,X,X
TLIJZOS,X,X,X,X
TLIJOSZ,O,X,X,X
TLIJOZS,X,X,X,X
TLISJZO,X,O,X,X
TLISJOZ,O,X,X,X
TLISZJO,X,O,X,X
TLISZOJ,X,X,X,X
TLISOJZ,O,X,X,X
TLISOZJ,X,X,X,X
TLIZJSO,X,O,X,X
TLIZJOS,X,X,X,X
TLIZSJO,X,O,X,X
TLIZSOJ,X,X,X,X
TLIZOJS,X,X,X,X
TLIZOSJ,X,X,X,X
TLIOJSZ,O,X,X,X
TLIOJZS,X,X,X,X
TLIOSJZ,O,X,X,X
TLIOSZJ,X,X,X,X
TLIOZJS,X,X,X,X
TLIOZSJ,X,X,X,X
TLJISZO,X,O,X,X
TLJISOZ,O,X,X,X
TLJIZSO,X,O,X,X
TLJIZOS,X,X,X,X
TLJIOSZ,O,X,X,X
TLJIOZS,X,X,X,X
TLJSIZO,X,O,X,X
TLJSIOZ,O,X,X,X
TLJSZIO,O,O,X,X
TLJSZOI,O,X,X,X
TLJSOIZ,O,X,O,X
TLJSOZI,O,X,O,X
TLJZISO,O,O,X,X
TLJZIOS,O,X,X,X
TLJZSIO,O,O,X,X
TLJZSOI,O,X,X,X
TLJZOIS,O,X,X,X
TLJZOSI,O,X,X,X
TLJOISZ,O,X,O,X
TLJOIZS,X,X,X,X
TLJOSIZ,O,X,O,X
TLJOSZI,O,X,O,X
TLJOZIS,O,X,X,X
TLJOZSI,O,X,X,X
TLSIJZO,X,O,X,X
TLSIJOZ,O,X,X,X
TLSIZJO,X,O,X,X
TLSIZOJ,X,X,X,X
TLSIOJZ,O,X,X,X
TLSIOZJ,X,X,X,X
TLSJIZO,X,O,X,X
TLSJIOZ,O,X,X,X
TLSJZIO,O,O,X,X
TLSJZOI,O,X,X,X
TLSJOIZ,O,X,O,X
TLSJOZI,O,X,O,X
TLSZIJO,O,O,X,X
TLSZIOJ,O,X,X,X
TLSZJIO,O,O,X,X
TLSZJOI,O,X,X,X
TLSZOIJ,O,X,X,X
TLSZOJI,O,X,X,X
TLSOIJZ,O,X,O,X
TLSOIZJ,X,X,X,X
TLSOJIZ,O,X,O,X
TLSOJZI,O,X,O,X
TLSOZIJ,O,X,X,X
TLSOZJI,O,X,X,X
TLZIJSO,O,O,X,X
TLZIJOS,O,X,X,X
TLZISJO,O,O,X,X
TLZISOJ,O,X,X,X
TLZIOJS,O,X,X,X
TLZIOSJ,O,X,X,X
TLZJISO,O,O,X,X
TLZJIOS,O,X,X,X
TLZJSIO,O,O,X,X
TLZJSOI,O,X,X,X
TLZJOIS,O,X,X,X
TLZJOSI,O,X,X,X
TLZSIJO,O,O,X,X
TLZSIOJ,O,X,X,X
TLZSJIO,O,O,X,X
TLZSJOI,O,X,X,X
TLZSOIJ,O,X,X,X
TLZSOJI,O,X,X,X
TLZOIJS,O,X,X,X
TLZOISJ,O,X,X,X
TLZOJIS,O,X,X,X
TLZOJSI,O,X,X,X
TLZOSIJ,O,X,X,X
TLZOSJI,O,X,X,X
TLOIJSZ,O,X,O,X
TLOIJZS,X,X,X,X
TLOISJZ,O,X,O,X
TLOISZJ,X,X,X,X
TLOIZJS,X,X,X,X
TLOIZSJ,X,X,X,X
TLOJISZ,O,X,O,X
TLOJIZS,X,X,X,X
TLOJSIZ,O,X,O,X
TLOJSZI,O,X,O,X
TLOJZIS,O,X,X,X
TLOJZSI,O,X,X,X
TLOSIJZ,O,X,O,X
TLOSIZJ,X,X,X,X
TLOSJIZ,O,X,O,X
TLOSJZI,O,X,O,X
TLOSZIJ,O,X,X,X
TLOSZJI,O,X,X,X
TLOZIJS,O,X,X,X
TLOZISJ,O,X,X,X
TLOZJIS,O,X,X,X
TLOZJSI,O,X,X,X
TLOZSIJ,O,X,X,X
TLOZSJI,O,X,X,X
TJILSZO,X,O,X,X
TJILSOZ,O,X,X,X
TJILZSO,X,O,X,X
TJILZOS,X,X,X,X
TJILOSZ,O,X,X,X
TJILOZS,X,X,X,X
TJISLZO,X,O,X,X
TJISLOZ,O,X,X,X
TJISZLO,X,O,X,X
TJISZOL,X,X,X,O
TJISOLZ,X,X,X,X
TJISOZL,X,X,X,O
TJIZLSO,X,O,X,X
TJIZLOS,X,X,X,X
