sequence,v115@GhB8HeD8FeD8CeA8BeA8Jel/IvhFUhBGiBZoB6qB/s?BTrB,v115@GhB8HeD8FeD8CeA8BeA8Je0/IvhFlgBGiBZoB6rB/s?BzqB,v115@GhB8HeD8FeD8CeA8BeA8Je0/IvhFxgBmiBqqB/rBFn?BzsB,v115@GhB8HeD8FeD8CeA8BeA8Jel/IvhF3gBRiB8qB+rBin?BzsB,v115@GhB8HeD8FeD8CeA8BeA8Je0/IvhFxgBmiBCmBXnBVw?BzsB,v115@GhB8HeD8FeD8CeA8BeA8Jel/IvhF3gBRiB6rBmnBzq?B0sB
TIJZLSO,X,X,O,O,X,X
TIJZLOS,X,X,X,O,X,X
TIJZSLO,X,X,X,O,X,X
TIJZSOL,X,X,X,O,X,X
TIJZOLS,X,X,X,O,X,X
TIJZOSL,X,X,X,O,X,X
TIJOLSZ,X,X,X,O,X,X
TIJOLZS,X,X,X,O,X,X
TIJOSLZ,O,X,X,X,X,X
TIJOSZL,O,X,X,O,X,X
TIJOZLS,X,X,X,O,X,X
TIJOZSL,O,X,X,O,X,X
TISLJZO,O,O,O,X,O,O
TISLJOZ,O,O,O,X,O,X
TISLZJO,O,O,O,X,O,O
TISLZOJ,O,O,O,X,O,O
TISLOJZ,O,O,O,X,O,X
TISLOZJ,O,O,O,X,O,O
TISJLZO,O,O,O,X,O,X
TISJLOZ,O,O,O,X,O,X
TISJZLO,O,O,X,X,O,X
TISJZOL,O,O,X,X,O,X
TISJOLZ,O,O,X,X,X,X
TISJOZL,O,O,X,X,X,X
TISZLJO,O,O,X,X,O,X
TISZLOJ,O,O,X,X,O,X
TISZJLO,O,O,X,O,O,O
TISZJOL,O,O,X,O,O,O
TISZOLJ,O,O,X,X,X,X
TISZOJL,O,O,X,O,O,X
TISOLJZ,O,O,X,X,X,X
TISOLZJ,O,O,X,X,X,X
TISOJLZ,O,O,X,X,X,X
TISOJZL,O,O,X,X,X,X
TISOZLJ,O,O,X,X,X,X
TISOZJL,O,O,X,O,X,O
TIZLJSO,O,O,O,X,O,O
TIZLJOS,X,X,X,X,O,O
TIZLSJO,O,O,X,X,O,O
TIZLSOJ,O,O,X,X,O,O
TIZLOJS,O,X,X,X,O,X
TIZLOSJ,O,O,X,X,O,O
TIZJLSO,X,O,O,O,X,O
TIZJLOS,X,X,X,O,X,O
TIZJSLO,X,O,X,O,O,O
TIZJSOL,X,O,X,O,O,O
TIZJOLS,X,X,X,O,O,O
TIZJOSL,X,O,X,O,O,O
TIZSLJO,O,O,X,X,O,X
TIZSLOJ,O,O,X,X,O,X
TIZSJLO,O,O,X,O,O,O
TIZSJOL,O,O,X,O,O,O
TIZSOLJ,O,O,X,X,O,X
TIZSOJL,O,O,X,O,O,X
TIZOLJS,X,O,X,X,O,O
TIZOLSJ,O,O,X,X,O,O
TIZOJLS,X,X,X,O,O,O
TIZOJSL,O,O,X,O,O,O
TIZOSLJ,O,O,X,X,O,X
TIZOSJL,O,O,X,O,O,O
TIOLJSZ,O,O,X,O,O,O
TIOLJZS,O,O,X,O,O,X
TIOLSJZ,O,O,X,O,O,O
TIOLSZJ,O,O,X,X,O,O
TIOLZJS,O,O,X,O,O,O
TIOLZSJ,O,O,X,X,O,O
TIOJLSZ,X,X,X,O,O,X
TIOJLZS,X,X,X,O,O,X
TIOJSLZ,O,O,X,X,O,X
TIOJSZL,O,O,X,O,O,X
TIOJZLS,X,X,X,O,O,X
TIOJZSL,O,O,X,O,O,X
TIOSLJZ,O,O,X,X,O,X
TIOSLZJ,O,O,X,X,O,X
TIOSJLZ,O,O,X,X,O,X
TIOSJZL,O,O,X,X,O,X
TIOSZLJ,O,O,X,X,O,X
TIOSZJL,O,O,X,O,O,O
TIOZLJS,X,O,X,X,O,O
TIOZLSJ,O,O,X,X,O,O
TIOZJLS,X,X,X,O,O,O
TIOZJSL,O,O,X,O,O,O
TIOZSLJ,O,O,X,X,O,X
TIOZSJL,O,O,X,O,O,O
TLIJSZO,O,O,O,O,O,O
TLIJSOZ,O,O,O,X,O,X
TLIJZSO,O,O,O,O,O,X
TLIJZOS,X,X,X,O,O,X
TLIJOSZ,O,X,X,X,O,X
TLIJOZS,O,X,X,O,O,X
TLISJZO,O,O,O,O,O,O
TLISJOZ,O,O,O,X,O,X
TLISZJO,O,O,O,X,O,O
TLISZOJ,O,O,O,X,O,O
TLISOJZ,O,O,O,X,O,X
TLISOZJ,O,O,O,X,O,O
TLIZJSO,O,O,O,O,O,O
TLIZJOS,X,X,X,O,O,O
TLIZSJO,O,O,O,X,O,O
TLIZSOJ,O,O,O,X,O,O
TLIZOJS,O,X,O,X,O,X
TLIZOSJ,O,O,O,X,O,O
TLIOJSZ,O,X,X,X,O,X
TLIOJZS,O,X,O,O,O,X
TLIOSJZ,O,O,O,X,O,X
TLIOSZJ,O,O,O,X,O,O
TLIOZJS,O,X,O,X,O,X
TLIOZSJ,O,O,O,X,O,X
TLJISZO,O,O,O,O,O,O
TLJISOZ,O,O,O,X,O,X
TLJIZSO,O,O,O,O,O,X
TLJIZOS,X,X,X,O,O,X
TLJIOSZ,O,X,X,X,O,X
TLJIOZS,O,X,X,O,O,X
TLJSIZO,O,O,O,O,O,O
TLJSIOZ,O,O,O,X,O,X
TLJSZIO,O,O,O,O,O,O
TLJSZOI,O,O,O,O,O,O
TLJSOIZ,O,O,O,X,O,X
TLJSOZI,O,O,O,X,O,X
TLJZISO,O,O,O,O,O,O
TLJZIOS,X,X,X,O,O,O
TLJZSIO,O,O,O,O,O,O
TLJZSOI,O,O,O,O,O,O
TLJZOIS,X,X,X,O,O,O
TLJZOSI,X,X,O,O,O,O
TLJOISZ,O,X,X,O,O,X
TLJOIZS,O,X,X,O,O,X
TLJOSIZ,O,X,O,O,O,X
TLJOSZI,O,X,O,O,O,X
TLJOZIS,O,X,X,O,O,X
TLJOZSI,O,X,O,O,O,X
TLSIJZO,O,O,O,O,O,O
TLSIJOZ,O,O,O,X,O,X
TLSIZJO,O,O,O,X,O,O
TLSIZOJ,O,O,O,X,O,O
TLSIOJZ,O,O,O,X,O,X
TLSIOZJ,O,O,O,X,O,O
TLSJIZO,O,O,O,O,O,O
TLSJIOZ,O,O,O,X,O,X
TLSJZIO,O,O,O,O,O,O
TLSJZOI,O,O,O,O,O,O
TLSJOIZ,O,O,O,X,O,X
TLSJOZI,O,O,O,X,O,X
TLSZIJO,O,O,O,X,O,O
TLSZIOJ,O,O,O,X,O,O
TLSZJIO,O,O,O,O,O,O
TLSZJOI,O,O,O,O,O,O
TLSZOIJ,O,O,O,X,O,O
TLSZOJI,O,O,O,O,O,O
TLSOIJZ,O,O,O,X,O,X
TLSOIZJ,O,O,O,X,O,O
TLSOJIZ,O,O,O,X,O,X
TLSOJZI,O,O,O,X,O,X
TLSOZIJ,O,O,O,X,O,O
TLSOZJI,O,O,O,O,O,O
TLZIJSO,O,O,O,O,O,O
TLZIJOS,X,X,X,O,O,O
TLZISJO,O,O,O,X,O,O
TLZISOJ,O,O,O,X,O,O
TLZIOJS,O,X,O,X,O,X
TLZIOSJ,O,O,O,X,O,O
TLZJISO,O,O,O,O,O,O
TLZJIOS,X,X,X,O,O,O
TLZJSIO,O,O,O,O,O,O
TLZJSOI,O,O,O,O,O,O
TLZJOIS,X,X,X,O,O,O
TLZJOSI,X,X,O,O,O,O
TLZSIJO,O,O,O,X,O,O
TLZSIOJ,O,O,O,X,O,O
TLZSJIO,O,O,O,O,O,O
TLZSJOI,O,O,O,O,O,O
TLZSOIJ,O,O,O,X,O,O
TLZSOJI,O,O,O,O,O,O
TLZOIJS,O,X,O,X,O,O
TLZOISJ,O,O,O,X,O,O
TLZOJIS,O,X,O,O,O,O
TLZOJSI,O,X,O,O,O,O
TLZOSIJ,O,O,O,X,O,O
TLZOSJI,O,O,O,O,O,O
TLOIJSZ,O,X,O,O,O,O
TLOIJZS,O,X,O,O,O,X
TLOISJZ,O,O,O,O,O,O
TLOISZJ,O,O,O,X,O,O
TLOIZJS,O,X,O,O,O,O
TLOIZSJ,O,O,O,X,O,O
TLOJISZ,O,X,O,O,O,O
TLOJIZS,O,X,O,O,O,X
TLOJSIZ,O,X,O,O,O,O
TLOJSZI,O,X,O,O,O,O
TLOJZIS,O,X,O,O,O,O
TLOJZSI,O,X,O,O,O,O
TLOSIJZ,O,O,O,O,O,O
TLOSIZJ,O,O,O,X,O,O
TLOSJIZ,O,O,O,O,O,O
TLOSJZI,O,O,O,O,O,O
TLOSZIJ,O,O,O,X,O,O
TLOSZJI,O,O,O,O,O,O
TLOZIJS,O,X,O,O,O,O
TLOZISJ,O,O,O,X,O,O
TLOZJIS,O,X,O,O,O,O
TLOZJSI,O,X,O,O,O,O
TLOZSIJ,O,O,O,X,O,O
TLOZSJI,O,O,O,O,O,O
TJILSZO,O,X,O,O,X,X
TJILSOZ,O,X,O,X,X,X
TJILZSO,O,X,O,O,X,X
TJILZOS,X,X,X,O,X,X
TJILOSZ,O,X,X,X,X,X
TJILOZS,O,X,X,O,X,X
TJISLZO,O,X,O,X,X,X
TJISLOZ,O,X,O,X,X,X
TJISZLO,O,X,X,O,X,X
TJISZOL,O,X,X,O,X,X
TJISOLZ,O,X,X,X,X,X
TJISOZL,O,X,X,X,X,X
TJIZLSO,X,X,O,O,X,X
TJIZLOS,X,X,X,O,X,X
TJIZSLO,X,X,X,O,X,X
TJIZSOL,X,X,X,O,X,X
TJIZOLS,X,X,X,O,X,X
TJIZOSL,X,X,X,O,X,X
TJIOLSZ,X,X,X,O,X,X
TJIOLZS,X,X,X,O,X,X
TJIOSLZ,O,X,X,X,X,X
TJIOSZL,O,X,X,O,X,X
TJIOZLS,X,X,X,O,X,X
TJIOZSL,O,X,X,O,X,X
TJLISZO,O,X,O,O,O,O
TJLISOZ,O,X,O,X,O,X
TJLIZSO,O,X,O,O,O,X
TJLIZOS,X,X,X,O,O,X
TJLIOSZ,O,X,X,X,O,X
TJLIOZS,O,X,X,O,O,X
TJLSIZO,O,X,O,O,O,O
TJLSIOZ,O,X,O,X,O,X
TJLSZIO,O,X,O,O,O,O
TJLSZOI,O,X,O,O,O,O
TJLSOIZ,O,X,O,X,O,X
TJLSOZI,O,X,O,X,O,X
TJLZISO,O,X,O,O,O,O
TJLZIOS,X,X,X,O,O,O
TJLZSIO,O,X,O,O,O,O
TJLZSOI,O,X,O,O,O,O
TJLZOIS,X,X,X,O,O,O
TJLZOSI,X,X,O,O,O,O
TJLOISZ,O,X,X,O,O,X
TJLOIZS,O,X,X,O,O,X
TJLOSIZ,O,X,O,O,O,X
TJLOSZI,O,X,O,O,O,X
TJLOZIS,O,X,X,O,O,X
TJLOZSI,O,X,O,O,O,X
TJSILZO,O,X,O,X,O,X
TJSILOZ,O,X,O,X,O,X
TJSIZLO,O,X,X,O,O,X
TJSIZOL,O,X,X,O,O,X
TJSIOLZ,O,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X
TJSLIZO,O,X,O,O,O,O
TJSLIOZ,O,X,O,X,O,X
TJSLZIO,O,X,O,O,O,O
TJSLZOI,O,X,O,O,O,O
TJSLOIZ,O,X,O,X,O,X
TJSLOZI,O,X,O,X,O,X
TJSZILO,O,X,X,O,O,O
TJSZIOL,O,X,X,O,O,O
TJSZLIO,O,X,O,O,O,O
TJSZLOI,O,X,O,O,O,X
TJSZOIL,O,X,X,O,O,O
TJSZOLI,O,X,X,O,O,X
TJSOILZ,O,X,X,X,X,X
TJSOIZL,O,X,X,O,X,X
TJSOLIZ,O,X,O,O,O,X
TJSOLZI,O,X,O,O,O,X
TJSOZIL,O,X,X,O,O,O
TJSOZLI,O,X,X,O,O,O
TJZILSO,X,X,O,O,X,O
TJZILOS,X,X,X,O,X,O
TJZISLO,X,X,X,O,O,O
TJZISOL,X,X,X,O,O,O
TJZIOLS,X,X,X,O,O,O
TJZIOSL,X,X,X,O,O,O
TJZLISO,X,X,O,O,O,O
TJZLIOS,X,X,X,O,O,O
TJZLSIO,X,X,O,O,O,O
TJZLSOI,X,X,O,O,O,O
TJZLOIS,X,X,X,O,O,O
TJZLOSI,X,X,O,O,O,O
TJZSILO,X,X,X,O,O,O
TJZSIOL,X,X,X,O,O,O
TJZSLIO,X,X,O,O,O,O
TJZSLOI,X,X,O,O,O,O
TJZSOIL,X,X,X,O,O,O
TJZSOLI,X,X,X,O,O,O
TJZOILS,X,X,X,O,O,O
TJZOISL,X,X,X,O,O,O
TJZOLIS,X,X,X,O,O,O
TJZOLSI,X,X,O,O,O,O
TJZOSIL,X,X,X,O,O,O
TJZOSLI,X,X,X,O,O,O
TJOILSZ,X,X,X,O,O,X
TJOILZS,X,X,X,O,O,X
TJOISLZ,O,X,X,X,O,X
TJOISZL,O,X,X,O,O,X
TJOIZLS,X,X,X,O,O,X
TJOIZSL,O,X,X,O,O,X
TJOLISZ,X,X,X,O,O,O
TJOLIZS,X,X,X,O,O,X
TJOLSIZ,X,X,O,O,O,O
TJOLSZI,X,X,O,O,O,O
TJOLZIS,X,X,X,O,O,O
TJOLZSI,X,X,O,O,O,O
TJOSILZ,O,X,X,X,O,X
TJOSIZL,O,X,X,O,O,X
TJOSLIZ,O,X,O,O,O,X
TJOSLZI,O,X,O,O,O,X
TJOSZIL,O,X,X,O,O,O
TJOSZLI,O,X,X,O,O,O
TJOZILS,X,X,X,O,O,O
TJOZISL,O,X,X,O,O,O
TJOZLIS,X,X,X,O,O,O
TJOZLSI,X,X,O,O,O,O
TJOZSIL,O,X,X,O,O,O
TJOZSLI,O,X,X,O,O,O
TSILJZO,O,O,O,X,O,O
TSILJOZ,O,O,O,X,O,X
TSILZJO,O,O,O,X,O,O
TSILZOJ,O,O,O,X,O,O
TSILOJZ,O,O,O,X,O,X
TSILOZJ,O,O,O,X,O,O
TSIJLZO,O,O,O,X,O,X
TSIJLOZ,O,O,O,X,O,X
TSIJZLO,O,O,X,X,O,X
TSIJZOL,O,O,X,X,O,X
TSIJOLZ,O,O,X,X,X,X
TSIJOZL,O,O,X,X,X,X
TSIZLJO,O,O,X,X,O,X
TSIZLOJ,O,O,X,X,O,X
TSIZJLO,O,O,X,O,O,O
TSIZJOL,O,O,X,O,O,O
TSIZOLJ,O,O,X,X,X,X
TSIZOJL,O,O,X,O,O,X
TSIOLJZ,O,O,X,X,X,X
TSIOLZJ,O,O,X,X,X,X
TSIOJLZ,O,O,X,X,X,X
TSIOJZL,O,O,X,X,X,X
TSIOZLJ,O,O,X,X,X,X
TSIOZJL,O,O,X,O,X,O
TSLIJZO,O,O,O,O,O,O
TSLIJOZ,O,O,O,X,O,X
TSLIZJO,O,O,O,X,O,O
TSLIZOJ,O,O,O,X,O,O
TSLIOJZ,O,O,O,X,O,X
TSLIOZJ,O,O,O,X,O,O
TSLJIZO,O,O,O,O,O,O
TSLJIOZ,O,O,O,X,O,X
TSLJZIO,O,O,O,O,O,O
TSLJZOI,O,O,O,O,O,O
TSLJOIZ,O,O,O,X,O,X
TSLJOZI,O,O,O,X,O,X
TSLZIJO,O,O,O,X,O,O
TSLZIOJ,O,O,O,X,O,O
TSLZJIO,O,O,O,O,O,O
TSLZJOI,O,O,O,O,O,O
TSLZOIJ,O,O,O,X,O,O
TSLZOJI,O,O,O,O,O,O
TSLOIJZ,O,O,O,X,O,X
TSLOIZJ,O,O,O,X,O,O
TSLOJIZ,O,O,O,X,O,X
TSLOJZI,O,O,O,X,O,X
TSLOZIJ,O,O,O,X,O,O
TSLOZJI,O,O,O,O,O,O
TSJILZO,O,O,O,X,O,X
TSJILOZ,O,O,O,X,O,X
TSJIZLO,O,O,X,O,O,X
TSJIZOL,O,O,X,O,O,X
TSJIOLZ,O,O,X,X,X,X
TSJIOZL,O,O,X,X,X,X
TSJLIZO,O,O,O,O,O,O
TSJLIOZ,O,O,O,X,O,X
TSJLZIO,O,O,O,O,O,O
TSJLZOI,O,O,O,O,O,O
TSJLOIZ,O,O,O,X,O,X
TSJLOZI,O,O,O,X,O,X
TSJZILO,O,O,X,O,O,O
TSJZIOL,O,O,X,O,O,O
TSJZLIO,O,O,O,O,O,O
TSJZLOI,O,O,O,O,O,X
TSJZOIL,O,O,X,O,O,O
TSJZOLI,O,O,X,O,O,X
TSJOILZ,O,O,X,X,X,X
TSJOIZL,O,O,X,O,X,X
TSJOLIZ,O,O,O,O,O,X
TSJOLZI,O,O,O,O,O,X
TSJOZIL,O,O,X,O,O,O
TSJOZLI,O,O,X,O,O,O
TSZILJO,O,O,X,X,O,X
TSZILOJ,O,O,X,X,O,X
TSZIJLO,O,O,X,O,O,O
TSZIJOL,O,O,X,O,O,O
TSZIOLJ,O,O,X,X,O,X
TSZIOJL,O,O,X,O,O,X
TSZLIJO,O,O,O,X,O,O
TSZLIOJ,O,O,O,X,O,O
TSZLJIO,O,O,O,O,O,O
TSZLJOI,O,O,O,O,O,O
TSZLOIJ,O,O,O,X,O,O
TSZLOJI,O,O,O,O,O,O
TSZJILO,O,O,X,O,O,O
TSZJIOL,O,O,X,O,O,O
TSZJLIO,O,O,O,O,O,O
TSZJLOI,O,O,O,O,O,O
TSZJOIL,O,O,X,O,O,O
TSZJOLI,O,O,X,O,O,O
TSZOILJ,O,O,X,X,O,X
TSZOIJL,O,O,X,O,O,O
TSZOLIJ,O,O,X,X,O,O
TSZOLJI,O,O,X,O,O,O
TSZOJIL,O,O,X,O,O,O
TSZOJLI,O,O,X,O,O,O
TSOILJZ,O,O,O,X,O,X
TSOILZJ,O,O,O,X,O,X
TSOIJLZ,O,O,O,X,O,X
TSOIJZL,O,O,X,X,O,X
TSOIZLJ,O,O,X,X,O,X
TSOIZJL,O,O,X,O,O,O
TSOLIJZ,O,O,O,O,O,O
TSOLIZJ,O,O,O,X,O,O
TSOLJIZ,O,O,O,O,O,O
TSOLJZI,O,O,O,O,O,O
TSOLZIJ,O,O,O,X,O,O
TSOLZJI,O,O,O,O,O,O
TSOJILZ,O,O,O,X,O,X
TSOJIZL,O,O,X,O,O,X
TSOJLIZ,O,O,O,O,O,X
TSOJLZI,O,O,O,O,O,X
TSOJZIL,O,O,X,O,O,O
TSOJZLI,O,O,O,O,O,O
TSOZILJ,O,O,X,X,O,X
TSOZIJL,O,O,X,O,O,O
TSOZLIJ,O,O,O,X,O,O
TSOZLJI,O,O,O,O,O,O
TSOZJIL,O,O,X,O,O,O
TSOZJLI,O,O,O,O,O,O
TZILJSO,O,O,O,X,O,O
TZILJOS,X,X,X,X,O,O
TZILSJO,O,O,O,X,O,O
TZILSOJ,O,O,O,X,O,O
TZILOJS,O,X,O,X,O,X
TZILOSJ,O,O,O,X,O,O
TZIJLSO,X,O,O,O,X,O
TZIJLOS,X,X,X,O,X,O
TZIJSLO,X,O,X,O,O,O
TZIJSOL,X,O,X,O,O,O
TZIJOLS,X,X,X,O,O,O
TZIJOSL,X,O,X,O,O,O
TZISLJO,O,O,X,X,O,X
TZISLOJ,O,O,X,X,O,X
TZISJLO,O,O,X,O,O,O
TZISJOL,O,O,X,O,O,O
TZISOLJ,O,O,X,X,O,X
TZISOJL,O,O,X,O,O,X
TZIOLJS,X,O,O,X,O,O
TZIOLSJ,O,O,O,X,O,O
TZIOJLS,X,X,O,O,O,O
TZIOJSL,O,O,X,O,O,O
TZIOSLJ,O,O,X,X,O,X
TZIOSJL,O,O,X,O,O,O
TZLIJSO,O,O,O,O,O,O
TZLIJOS,X,X,X,O,O,O
TZLISJO,O,O,O,X,O,O
TZLISOJ,O,O,O,X,O,O
TZLIOJS,O,X,O,X,O,X
TZLIOSJ,O,O,O,X,O,O
TZLJISO,O,O,O,O,O,O
TZLJIOS,X,X,X,O,O,O
TZLJSIO,O,O,O,O,O,O
TZLJSOI,O,O,O,O,O,O
TZLJOIS,X,X,X,O,O,O
TZLJOSI,X,X,O,O,O,O
TZLSIJO,O,O,O,X,O,O
TZLSIOJ,O,O,O,X,O,O
TZLSJIO,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,O
TZLSOIJ,O,O,O,X,O,O
TZLSOJI,O,O,O,O,O,O
TZLOIJS,O,X,O,X,O,O
TZLOISJ,O,O,O,X,O,O
TZLOJIS,O,X,O,O,O,O
TZLOJSI,O,X,O,O,O,O
TZLOSIJ,O,O,O,X,O,O
TZLOSJI,O,O,O,O,O,O
TZJILSO,X,O,O,O,X,O
TZJILOS,X,X,X,O,X,O
TZJISLO,X,O,X,O,O,O
TZJISOL,X,O,X,O,O,O
TZJIOLS,X,X,X,O,O,O
TZJIOSL,X,O,X,O,O,O
TZJLISO,X,O,O,O,O,O
TZJLIOS,X,X,X,O,O,O
TZJLSIO,X,O,O,O,O,O
TZJLSOI,X,O,O,O,O,O
TZJLOIS,X,X,X,O,O,O
TZJLOSI,X,X,O,O,O,O
TZJSILO,X,O,X,O,O,O
TZJSIOL,X,O,X,O,O,O
TZJSLIO,X,O,O,O,O,O
TZJSLOI,X,X,O,O,O,O
TZJSOIL,X,O,X,O,O,O
TZJSOLI,X,X,X,O,O,O
TZJOILS,X,X,X,O,O,O
TZJOISL,X,O,X,O,O,O
TZJOLIS,X,X,X,O,O,O
TZJOLSI,X,X,O,O,O,O
TZJOSIL,X,O,X,O,O,O
TZJOSLI,X,O,X,O,O,O
TZSILJO,O,O,X,X,O,X
TZSILOJ,O,O,X,X,O,X
TZSIJLO,O,O,X,O,O,O
TZSIJOL,O,O,X,O,O,O
TZSIOLJ,O,O,X,X,O,X
TZSIOJL,O,O,X,O,O,X
TZSLIJO,O,O,O,X,O,O
TZSLIOJ,O,O,O,X,O,O
TZSLJIO,O,O,O,O,O,O
TZSLJOI,O,O,O,O,O,O
TZSLOIJ,O,O,O,X,O,O
TZSLOJI,O,O,O,O,O,O
TZSJILO,O,O,X,O,O,O
TZSJIOL,O,O,X,O,O,O
TZSJLIO,O,O,O,O,O,O
TZSJLOI,O,O,O,O,O,O
TZSJOIL,O,O,X,O,O,O
TZSJOLI,O,O,X,O,O,O
TZSOILJ,O,O,X,X,O,X
TZSOIJL,O,O,X,O,O,O
TZSOLIJ,O,O,X,X,O,O
TZSOLJI,O,O,X,O,O,O
TZSOJIL,O,O,X,O,O,O
TZSOJLI,O,O,X,O,O,O
TZOILJS,X,O,O,X,O,O
TZOILSJ,O,O,O,X,O,O
TZOIJLS,X,X,O,O,O,O
TZOIJSL,O,O,X,O,O,O
TZOISLJ,O,O,X,X,O,X
TZOISJL,O,O,X,O,O,O
TZOLIJS,X,O,O,O,O,O
TZOLISJ,O,O,O,X,O,O
TZOLJIS,X,O,O,O,O,O
TZOLJSI,X,O,O,O,O,O
TZOLSIJ,O,O,O,X,O,O
TZOLSJI,O,O,O,O,O,O
TZOJILS,X,X,O,O,O,O
TZOJISL,O,O,X,O,O,O
TZOJLIS,X,X,O,O,O,O
TZOJLSI,X,X,O,O,O,O
TZOJSIL,O,O,X,O,O,O
TZOJSLI,O,O,O,O,O,O
TZOSILJ,O,O,X,X,O,X
TZOSIJL,O,O,X,O,O,O
TZOSLIJ,O,O,X,X,O,O
TZOSLJI,O,O,O,O,O,O
TZOSJIL,O,O,X,O,O,O
TZOSJLI,O,O,O,O,O,O
TOILJSZ,O,O,O,O,O,O
TOILJZS,O,O,O,O,O,X
TOILSJZ,O,O,X,O,O,O
TOILSZJ,O,O,X,X,O,O
TOILZJS,O,O,O,O,O,O
TOILZSJ,O,O,X,X,O,O
TOIJLSZ,X,X,O,O,O,X
TOIJLZS,X,X,O,O,O,X
TOIJSLZ,O,O,O,X,O,X
TOIJSZL,O,O,X,O,O,X
TOIJZLS,X,X,O,O,O,X
TOIJZSL,O,O,X,O,O,X
TOISLJZ,O,O,O,X,O,X
TOISLZJ,O,O,O,X,O,X
TOISJLZ,O,O,O,X,O,X
TOISJZL,O,O,X,X,O,X
TOISZLJ,O,O,X,X,O,X
TOISZJL,O,O,X,O,O,O
TOIZLJS,X,O,O,X,O,O
TOIZLSJ,O,O,X,X,O,O
TOIZJLS,X,X,O,O,O,O
TOIZJSL,O,O,X,O,O,O
TOIZSLJ,O,O,X,X,O,X
TOIZSJL,O,O,X,O,O,O
TOLIJSZ,O,O,O,O,O,O
TOLIJZS,O,O,O,O,O,X
TOLISJZ,O,O,O,O,O,O
TOLISZJ,O,O,O,X,O,O
TOLIZJS,O,O,O,O,O,O
TOLIZSJ,O,O,O,X,O,O
TOLJISZ,O,O,O,O,O,O
TOLJIZS,O,O,O,O,O,X
TOLJSIZ,O,O,O,O,O,O
TOLJSZI,O,O,O,O,O,O
TOLJZIS,O,O,O,O,O,O
TOLJZSI,O,O,O,O,O,O
TOLSIJZ,O,O,O,O,O,O
TOLSIZJ,O,O,O,X,O,O
TOLSJIZ,O,O,O,O,O,O
TOLSJZI,O,O,O,O,O,O
TOLSZIJ,O,O,O,X,O,O
TOLSZJI,O,O,O,O,O,O
TOLZIJS,O,O,O,O,O,O
TOLZISJ,O,O,O,X,O,O
TOLZJIS,O,O,O,O,O,O
TOLZJSI,O,O,O,O,O,O
TOLZSIJ,O,O,O,X,O,O
TOLZSJI,O,O,O,O,O,O
TOJILSZ,X,X,O,O,O,X
TOJILZS,X,X,O,O,O,X
TOJISLZ,O,O,O,X,O,X
TOJISZL,O,O,X,O,O,X
TOJIZLS,X,X,O,O,O,X
TOJIZSL,O,O,X,O,O,X
TOJLISZ,X,X,O,O,O,O
TOJLIZS,X,X,O,O,O,X
TOJLSIZ,X,X,O,O,O,O
TOJLSZI,X,X,O,O,O,O
TOJLZIS,X,X,O,O,O,O
TOJLZSI,X,X,O,O,O,O
TOJSILZ,O,O,O,X,O,X
TOJSIZL,O,O,X,O,O,X
TOJSLIZ,O,O,O,O,O,X
TOJSLZI,O,O,O,O,O,X
TOJSZIL,O,O,X,O,O,O
TOJSZLI,O,O,O,O,O,O
