sequence,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hB6?sBXqBzrB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hBX?qBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je/EJvhFRgBFiBTlB0?mB2uBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFCgB0hBllBz?pBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je2EJvhFRgB1mBcqBX?nBTpBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBTkBllBy?uBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lB6?sBzrBFqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBlkB3lB2?uBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeT/IvhFxhBllBUnBi?pBWxBXqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lBC?sBFqBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBfqBllBT?nBWxBCqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBKpBfqBl?lBTnBWxB
TJZILOS,O,X,X,X,O,O,X,X,O,X,X,X
TJZISLO,O,O,O,X,O,X,X,X,O,X,O,X
TJZISOL,O,O,O,X,X,X,X,X,X,X,O,X
TJZIOLS,O,X,X,O,O,X,X,X,O,X,X,X
TJZIOSL,O,X,O,O,X,X,X,X,X,X,X,X
TJZLISO,O,X,X,X,O,X,X,O,O,X,X,X
TJZLIOS,O,X,X,X,O,O,X,X,O,X,X,X
TJZLSIO,X,X,O,X,O,X,X,O,O,X,O,O
TJZLSOI,X,X,O,X,O,O,X,O,O,X,X,O
TJZLOIS,X,X,X,O,O,O,X,X,O,X,X,X
TJZLOSI,X,X,O,O,O,O,X,O,O,X,X,X
TJZSILO,O,O,O,X,O,X,X,O,O,X,O,X
TJZSIOL,O,O,O,X,X,X,X,O,X,X,O,X
TJZSLIO,O,O,O,X,O,X,X,O,O,X,O,X
TJZSLOI,X,X,O,X,O,O,X,O,O,X,X,X
TJZSOIL,O,O,O,O,X,X,X,O,X,X,O,X
TJZSOLI,X,X,O,O,X,X,X,O,X,X,X,X
TJZOILS,O,X,X,O,O,X,X,X,O,X,X,X
TJZOISL,O,X,O,O,O,X,X,X,X,X,X,X
TJZOLIS,O,X,X,O,O,O,X,X,O,X,X,X
TJZOLSI,X,X,O,O,O,O,X,X,O,X,X,X
TJZOSIL,O,X,O,O,O,X,X,X,X,X,O,X
TJZOSLI,X,X,O,O,O,X,X,X,X,X,X,X
TJOILSZ,X,X,X,O,X,X,X,X,X,X,X,X
TJOILZS,O,X,X,O,X,X,X,X,X,X,X,X
TJOISLZ,O,X,O,O,X,X,X,X,X,X,X,X
TJOISZL,O,X,O,O,X,X,O,X,X,X,X,X
TJOIZLS,O,X,X,O,X,X,X,X,X,X,X,X
TJOIZSL,O,X,X,O,X,X,O,X,X,X,X,X
TJOLISZ,X,X,O,O,X,O,X,X,X,X,X,X
TJOLIZS,O,X,X,O,X,O,X,X,O,X,X,X
TJOLSIZ,X,X,O,O,X,O,X,O,X,X,X,X
TJOLSZI,X,X,O,O,X,O,X,O,O,X,X,X
TJOLZIS,O,X,O,O,X,O,X,X,O,X,X,X
TJOLZSI,X,X,O,O,X,O,X,O,O,X,X,X
TJOSILZ,O,X,O,O,X,X,X,O,X,X,X,X
TJOSIZL,O,X,O,O,X,X,O,O,X,X,O,X
TJOSLIZ,O,X,O,O,X,X,X,O,X,X,X,X
TJOSLZI,O,X,O,O,X,X,X,O,X,X,X,X
TJOSZIL,O,X,O,O,X,X,O,O,X,X,O,X
TJOSZLI,O,X,O,O,X,X,X,O,X,X,X,X
TJOZILS,O,X,X,O,O,X,X,X,O,X,X,X
TJOZISL,O,X,O,O,O,X,O,X,X,X,X,X
TJOZLIS,O,X,X,O,O,O,X,X,O,X,X,X
TJOZLSI,X,X,O,O,O,O,X,X,O,X,X,X
TJOZSIL,O,X,O,O,O,X,O,X,X,X,O,X
TJOZSLI,O,X,O,O,O,X,X,X,X,X,X,X
TSILJZO,O,O,X,X,X,X,X,X,X,O,O,X
TSILJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,O,X,O,O,X
TSILZOJ,X,O,X,X,X,X,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X,X,O,O,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X,O,O,X
TSIJZOL,O,O,X,X,X,X,O,X,X,X,O,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,O,X,X,X,O,X
TSIZLJO,O,O,X,X,X,X,X,O,X,X,O,X
TSIZLOJ,X,O,X,X,X,X,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,O,X,O,O,X
TSIZJOL,O,O,X,X,X,X,O,O,X,X,O,X
TSIZOLJ,O,X,X,X,X,X,X,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X,X,X,O,X
TSIOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,O,X,X,X,O,X
TSIOZLJ,O,X,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,O,X,X,X,O,X
TSLIJZO,O,O,X,X,X,X,X,X,X,O,O,X
TSLIJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,O,X,O,O,X
TSLIZOJ,X,O,X,X,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSLJIZO,O,O,X,X,X,X,X,O,X,O,O,X
TSLJIOZ,O,O,X,X,X,X,X,O,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X,O,O,O,O,X
TSLJZOI,X,O,X,X,X,O,X,O,O,X,X,X
TSLJOIZ,O,O,X,X,X,O,X,O,X,X,X,X
TSLJOZI,O,O,X,X,X,O,X,O,O,X,X,X
TSLZIJO,O,O,X,X,X,X,X,O,X,O,O,X
TSLZIOJ,X,O,X,X,X,X,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,O,X,O,X,X
TSLZJOI,X,O,X,X,X,X,X,O,X,X,X,X
TSLZOIJ,X,O,X,X,X,O,X,X,X,X,X,X
TSLZOJI,X,O,X,X,X,O,X,O,X,X,X,X
TSLOIJZ,O,O,X,X,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,O,X,X,X,X,X,X
TSLOJZI,O,O,X,X,X,O,X,X,O,X,X,X
TSLOZIJ,O,O,X,X,X,O,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,O,X,O,X,X,X,X
TSJILZO,O,O,O,X,X,X,X,O,X,O,O,X
TSJILOZ,O,O,O,X,X,X,X,O,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,O,X,O,O,X
TSJIZOL,O,O,O,X,X,X,O,O,X,X,O,X
TSJIOLZ,O,O,O,X,X,X,X,O,X,X,X,X
TSJIOZL,O,O,O,X,X,X,O,O,X,X,O,X
TSJLIZO,O,O,O,X,X,X,X,O,X,O,O,X
TSJLIOZ,O,O,O,X,X,X,X,O,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X,O,O,O,O,X
TSJLZOI,X,O,X,X,X,O,X,O,O,X,X,X
TSJLOIZ,O,O,O,X,X,O,X,O,X,X,X,X
TSJLOZI,O,O,X,X,X,O,X,O,O,X,X,X
TSJZILO,O,O,O,X,X,X,X,O,O,O,O,X
TSJZIOL,O,O,O,X,X,X,O,O,X,X,O,X
TSJZLIO,O,O,X,X,X,X,X,O,O,X,O,X
TSJZLOI,X,O,X,X,X,O,X,O,O,X,X,X
TSJZOIL,O,O,O,O,X,X,X,O,X,X,O,X
TSJZOLI,O,X,X,O,X,X,X,O,X,X,X,X
TSJOILZ,O,O,O,O,X,X,X,O,X,X,X,X
TSJOIZL,O,O,O,O,X,X,O,O,X,X,O,X
TSJOLIZ,O,O,O,O,X,X,X,O,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,O,X,X,X,X
TSJOZIL,O,O,O,O,X,X,O,O,X,X,O,X
TSJOZLI,O,X,X,O,X,X,X,O,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,O,X,X,O,X
TSZILOJ,X,O,X,X,X,X,X,X,X,X,X,X
TSZIJLO,O,O,X,X,O,X,X,O,X,O,O,X
TSZIJOL,O,O,X,X,X,X,O,O,X,X,O,X
TSZIOLJ,O,X,X,X,X,X,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X,X,X,O,X
TSZLIJO,O,O,X,X,X,X,X,O,X,X,O,X
TSZLIOJ,X,O,X,X,X,X,X,X,X,X,X,X
TSZLJIO,O,O,X,X,X,X,X,O,X,X,X,X
TSZLJOI,X,O,X,X,X,X,X,O,X,X,X,X
TSZLOIJ,X,O,X,X,X,O,X,X,X,X,X,X
TSZLOJI,X,O,X,X,X,O,X,O,X,X,X,X
TSZJILO,O,O,X,X,O,X,X,O,X,O,O,X
TSZJIOL,O,O,X,X,X,X,O,O,X,X,O,X
TSZJLIO,O,O,X,X,O,X,X,O,X,X,O,X
TSZJLOI,X,O,X,X,O,X,X,O,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X,O,X,X,O,X
TSZJOLI,O,X,X,X,X,X,X,O,X,X,X,X
TSZOILJ,O,X,X,O,X,X,X,X,X,X,X,X
TSZOIJL,O,O,X,X,O,X,X,X,X,X,O,X
TSZOLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TSZOLJI,O,X,X,X,X,X,X,O,X,X,X,X
TSZOJIL,O,O,X,X,O,X,X,O,X,X,X,X
TSZOJLI,O,X,X,X,O,X,X,O,X,X,X,X
TSOILJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSOILZJ,O,O,X,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,O,X,X,O,X,X,X,O,X
TSOIZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,O,X,X,X,O,X
TSOLIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,O,X,X,X,X,X,X,X,X
TSOLJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,O,X,X,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,O,X,X,X,X
TSOJILZ,O,O,O,O,X,X,X,X,X,X,X,X
TSOJIZL,O,O,O,O,X,X,O,X,X,X,O,X
TSOJLIZ,O,O,O,O,X,X,X,X,X,X,X,X
TSOJLZI,O,O,X,O,X,X,X,X,X,X,X,X
TSOJZIL,O,O,O,O,X,X,O,X,X,X,O,X
TSOJZLI,O,X,X,O,X,X,X,X,X,X,X,X
TSOZILJ,O,X,X,O,X,X,X,X,X,X,X,X
TSOZIJL,O,O,X,X,O,X,O,X,X,X,O,X
TSOZLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TSOZLJI,O,X,X,X,X,X,X,O,X,X,X,X
TSOZJIL,O,O,X,X,O,X,O,O,X,X,X,X
TSOZJLI,O,X,X,X,O,X,X,O,X,X,X,X
TZILJSO,O,O,X,X,O,X,X,X,X,X,X,X
TZILJOS,O,X,X,X,O,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,O,X,X,X,X,X,X,X
TZILSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TZILOJS,X,X,X,X,O,O,X,X,X,X,X,X
TZILOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TZIJLSO,O,X,X,X,O,X,X,X,X,X,X,X
TZIJLOS,O,X,X,X,O,X,X,X,X,X,X,X
TZIJSLO,O,O,O,X,O,X,X,X,X,X,X,X
TZIJSOL,O,O,O,X,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,X,O,X,X,X,X,X,X,X
TZIJOSL,O,X,O,X,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,X,X,X,O,X
TZISLOJ,X,O,X,X,X,X,X,X,X,X,X,X
TZISJLO,O,O,X,X,O,X,X,X,X,X,O,X
TZISJOL,O,O,X,X,X,X,X,X,X,X,O,X
TZISOLJ,O,X,X,X,X,X,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X,X,X,O,X
TZIOLJS,O,X,X,O,O,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TZIOJLS,O,X,X,O,O,X,X,X,X,X,X,X
TZIOJSL,O,X,O,X,O,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TZIOSJL,O,O,X,X,O,X,X,X,X,X,X,X
TZLIJSO,O,O,X,X,O,X,X,X,X,X,X,X
TZLIJOS,O,X,X,X,O,X,X,X,X,X,X,X
TZLISJO,O,O,X,X,O,X,X,X,X,X,X,X
TZLISOJ,X,O,X,X,X,X,X,X,X,X,X,X
TZLIOJS,X,X,X,X,O,O,X,X,X,X,X,X
TZLIOSJ,X,O,X,X,O,O,X,X,X,X,X,X
TZLJISO,O,O,X,X,O,X,X,X,O,X,X,X
TZLJIOS,O,X,X,X,O,O,X,X,O,X,X,X
TZLJSIO,X,O,O,X,O,X,X,X,O,X,X,X
TZLJSOI,X,O,O,X,O,O,X,X,O,X,X,X
TZLJOIS,X,X,X,X,O,O,X,X,O,X,X,X
TZLJOSI,X,X,O,X,O,O,X,X,O,X,X,X
TZLSIJO,O,O,X,X,O,X,X,X,X,X,O,X
TZLSIOJ,X,O,X,X,X,X,X,X,X,X,X,X
TZLSJIO,O,O,X,X,O,X,X,X,X,X,X,X
TZLSJOI,X,O,X,X,O,X,X,X,X,X,X,X
TZLSOIJ,X,O,X,X,O,O,X,X,X,X,X,X
TZLSOJI,X,O,X,X,O,O,X,X,X,X,X,X
TZLOIJS,X,X,X,O,O,O,X,X,X,X,X,X
TZLOISJ,X,O,X,O,O,O,X,X,X,X,X,X
TZLOJIS,X,X,X,O,O,O,X,X,O,X,X,X
TZLOJSI,X,X,O,X,O,O,X,X,O,X,X,X
TZLOSIJ,X,O,X,O,O,O,X,X,X,X,X,X
TZLOSJI,X,O,X,X,O,O,X,X,X,X,X,X
TZJILSO,O,X,X,X,O,X,X,X,O,X,X,X
TZJILOS,O,X,X,X,O,O,X,X,O,X,X,X
TZJISLO,O,O,O,X,O,X,X,X,O,X,O,X
TZJISOL,O,O,O,X,X,X,X,X,X,X,O,X
TZJIOLS,O,X,X,O,O,X,X,X,O,X,X,X
TZJIOSL,O,X,O,O,X,X,X,X,X,X,X,X
TZJLISO,O,X,X,X,O,X,X,X,O,X,X,X
TZJLIOS,O,X,X,X,O,O,X,X,O,X,X,X
TZJLSIO,X,X,O,X,O,X,X,X,O,X,O,X
TZJLSOI,X,X,O,X,O,O,X,X,O,X,X,X
TZJLOIS,X,X,X,O,O,O,X,X,O,X,X,X
TZJLOSI,X,X,O,O,O,O,X,X,O,X,X,X
TZJSILO,O,O,O,X,O,X,X,X,O,X,O,X
TZJSIOL,O,O,O,X,X,X,X,X,X,X,O,X
TZJSLIO,O,O,O,X,O,X,X,X,O,X,O,X
TZJSLOI,X,X,O,X,O,O,X,X,O,X,X,X
TZJSOIL,O,O,O,O,X,X,X,X,X,X,O,X
TZJSOLI,X,X,O,O,X,X,X,X,X,X,X,X
TZJOILS,O,X,X,O,O,X,X,X,O,X,X,X
TZJOISL,O,X,O,O,O,X,X,X,X,X,X,X
TZJOLIS,O,X,X,O,O,O,X,X,O,X,X,X
TZJOLSI,X,X,O,O,O,O,X,X,O,X,X,X
TZJOSIL,O,X,O,O,O,X,X,X,X,X,O,X
TZJOSLI,X,X,O,O,O,X,X,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X,X,X,O,X
TZSILOJ,X,O,X,X,X,X,X,X,X,X,X,X
TZSIJLO,O,O,X,X,O,X,X,X,X,X,O,X
TZSIJOL,O,O,X,X,X,X,X,X,X,X,O,X
TZSIOLJ,O,X,X,X,X,X,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X,X,X,O,X
TZSLIJO,O,O,X,X,X,X,X,X,X,X,O,X
TZSLIOJ,X,O,X,X,X,X,X,X,X,X,X,X
TZSLJIO,O,O,X,X,X,X,X,X,X,X,X,X
TZSLJOI,X,O,X,X,X,X,X,X,X,X,X,X
TZSLOIJ,X,O,X,X,X,O,X,X,X,X,X,X
TZSLOJI,X,O,X,X,X,O,X,X,X,X,X,X
TZSJILO,O,O,O,X,O,X,X,X,X,X,O,X
TZSJIOL,O,O,O,X,X,X,X,X,X,X,O,X
TZSJLIO,O,O,O,X,O,X,X,X,X,X,O,X
TZSJLOI,X,O,O,X,O,X,X,X,X,X,X,X
TZSJOIL,O,O,O,X,X,X,X,X,X,X,O,X
TZSJOLI,O,X,O,X,X,X,X,X,X,X,X,X
TZSOILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZSOIJL,O,O,X,X,O,X,X,X,X,X,O,X
TZSOLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TZSOLJI,O,X,X,X,X,X,X,X,X,X,X,X
TZSOJIL,O,O,O,X,O,X,X,X,X,X,X,X
TZSOJLI,O,X,O,X,O,X,X,X,X,X,X,X
TZOILJS,O,X,X,O,O,X,X,X,X,X,X,X
TZOILSJ,O,X,X,O,O,X,X,X,X,X,X,X
TZOIJLS,O,X,X,O,O,X,X,X,X,X,X,X
TZOIJSL,O,X,O,O,O,X,X,X,X,X,X,X
TZOISLJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOISJL,O,O,X,X,O,X,X,X,X,X,X,X
TZOLIJS,O,X,X,O,O,O,X,X,X,X,X,X
TZOLISJ,O,X,X,O,O,O,X,X,X,X,X,X
TZOLJIS,O,X,X,O,O,O,X,X,X,X,X,X
TZOLJSI,X,X,O,O,O,O,X,X,X,X,X,X
TZOLSIJ,O,X,X,O,O,O,X,X,X,X,X,X
TZOLSJI,O,X,X,X,O,O,X,X,X,X,X,X
TZOJILS,O,X,X,O,O,X,X,X,X,X,X,X
TZOJISL,O,X,O,O,O,X,X,X,X,X,X,X
TZOJLIS,O,X,X,O,O,X,X,X,X,X,X,X
TZOJLSI,X,X,O,O,O,X,X,X,X,X,X,X
TZOJSIL,O,X,O,O,O,X,X,X,X,X,X,X
TZOJSLI,O,X,O,O,O,X,X,X,X,X,X,X
TZOSILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOSIJL,O,O,X,X,O,X,X,X,X,X,O,X
TZOSLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOSLJI,O,X,X,X,X,X,X,X,X,X,X,X
TZOSJIL,O,O,O,X,O,X,X,X,X,X,X,X
TZOSJLI,O,X,O,X,O,X,X,X,X,X,X,X
TOILJSZ,X,X,X,O,X,X,X,X,X,X,X,X
TOILJZS,O,X,X,O,X,X,X,X,X,X,X,X
TOILSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOILSZJ,O,O,X,O,X,X,X,X,X,X,X,X
TOILZJS,O,X,X,O,X,X,X,X,X,X,X,X
TOILZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,O,X,X,X,X,X,X,X,X
TOIJLZS,O,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,X,O,O,X,X,X,X,X,X,X,X
TOIJSZL,O,X,O,O,X,X,O,X,X,X,X,X
TOIJZLS,O,X,X,O,X,X,X,X,X,X,X,X
TOIJZSL,O,X,X,O,X,X,O,X,X,X,X,X
TOISLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,O,X,X,X,X,X,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOISJZL,O,O,X,O,X,X,O,X,X,X,X,X
TOISZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,O,X,X,X,X,X
TOIZLJS,O,X,X,O,O,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIZJLS,O,X,X,O,O,X,X,X,X,X,X,X
TOIZJSL,O,X,X,O,O,X,O,X,X,X,X,X
TOIZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSJL,O,O,X,X,O,X,O,X,X,X,X,X
TOLIJSZ,X,X,O,O,X,O,X,X,X,X,X,X
TOLIJZS,O,X,X,O,X,O,X,X,O,X,X,X
TOLISJZ,O,O,X,O,X,O,X,X,X,X,X,X
TOLISZJ,O,O,X,O,X,O,X,X,X,X,X,X
TOLIZJS,O,X,X,O,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,O,O,O,X,X,X,X,X,X
TOLJISZ,X,X,O,O,X,O,X,X,X,X,X,X
TOLJIZS,O,X,X,O,X,O,X,X,O,X,X,X
TOLJSIZ,X,X,O,O,X,O,X,X,X,X,X,X
TOLJSZI,X,X,O,O,X,O,X,X,O,X,X,X
TOLJZIS,O,X,O,O,O,O,X,X,O,X,X,X
TOLJZSI,X,X,O,O,O,O,X,X,O,X,X,X
TOLSIJZ,O,O,X,O,X,O,X,X,X,X,X,X
TOLSIZJ,O,O,X,O,X,O,X,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,X,X,X,X,X,X
TOLSJZI,O,O,O,O,X,O,X,X,O,X,X,X
TOLSZIJ,O,O,X,O,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,X,O,O,X,X,X,X,X,X
TOLZIJS,O,X,O,O,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,O,O,O,X,X,X,X,X,X
TOLZJIS,O,X,O,O,O,O,X,X,O,X,X,X
TOLZJSI,X,X,O,O,O,O,X,X,O,X,X,X
TOLZSIJ,O,O,X,O,O,O,X,X,X,X,X,X
TOLZSJI,O,O,O,X,O,O,X,X,X,X,X,X
TOJILSZ,X,X,X,O,X,X,X,X,X,X,X,X
TOJILZS,O,X,X,O,X,X,X,X,X,X,X,X
TOJISLZ,O,X,O,O,X,X,X,X,X,X,X,X
TOJISZL,O,X,O,O,X,X,O,X,X,X,X,X
TOJIZLS,O,X,X,O,X,X,X,X,X,X,X,X
TOJIZSL,O,X,X,O,X,X,O,X,X,X,X,X
TOJLISZ,X,X,O,O,X,O,X,X,X,X,X,X
TOJLIZS,O,X,X,O,X,O,X,X,O,X,X,X
TOJLSIZ,X,X,O,O,X,O,X,X,X,X,X,X
TOJLSZI,X,X,O,O,X,O,X,X,O,X,X,X
TOJLZIS,O,X,O,O,X,O,X,X,O,X,X,X
TOJLZSI,X,X,O,O,X,O,X,X,O,X,X,X
TOJSILZ,O,X,O,O,X,X,X,X,X,X,X,X
TOJSIZL,O,X,O,O,X,X,O,X,X,X,O,X
TOJSLIZ,O,X,O,O,X,X,X,X,X,X,X,X
TOJSLZI,O,X,O,O,X,X,X,X,X,X,X,X
TOJSZIL,O,X,O,O,X,X,O,X,X,X,O,X
TOJSZLI,O,X,O,O,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,O,O,X,X,X,O,X,X,X
TOJZISL,O,X,O,O,O,X,O,X,X,X,X,X
TOJZLIS,O,X,X,O,O,O,X,X,O,X,X,X
TOJZLSI,X,X,O,O,O,O,X,X,O,X,X,X
TOJZSIL,O,X,O,O,O,X,O,X,X,X,O,X
TOJZSLI,O,X,O,O,O,X,X,X,X,X,X,X
TOSILJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSILZJ,O,O,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSIJZL,O,O,X,O,X,X,O,X,X,X,O,X
TOSIZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,O,X,X,X,O,X
TOSLIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,O,X,X,X,X,X,X,X,X
TOSLJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,O,X,X,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,X,X,X,X
TOSJILZ,O,O,O,O,X,X,X,X,X,X,X,X
TOSJIZL,O,O,O,O,X,X,O,X,X,X,O,X
TOSJLIZ,O,O,O,O,X,X,X,X,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X,X,X,X
TOSJZIL,O,O,O,O,X,X,O,X,X,X,O,X
TOSJZLI,O,X,X,O,X,X,X,X,X,X,X,X
TOSZILJ,O,X,X,O,X,X,X,X,X,X,X,X
TOSZIJL,O,O,X,X,O,X,O,X,X,X,O,X
TOSZLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TOSZLJI,O,X,X,X,X,X,X,X,X,X,X,X
TOSZJIL,O,O,X,X,O,X,O,X,X,X,X,X
TOSZJLI,O,X,X,X,O,X,X,X,X,X,X,X
TOZILJS,O,X,X,O,O,X,X,X,X,X,X,X
TOZILSJ,O,X,X,O,O,X,X,X,X,X,X,X
TOZIJLS,O,X,X,O,O,X,X,X,X,X,X,X
TOZIJSL,O,X,O,O,O,X,O,X,X,X,X,X
TOZISLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOZISJL,O,O,X,X,O,X,O,X,X,X,X,X
TOZLIJS,O,X,X,O,O,O,X,X,X,X,X,X
TOZLISJ,O,X,X,O,O,O,X,X,X,X,X,X
TOZLJIS,O,X,X,O,O,O,X,X,X,X,X,X
TOZLJSI,X,X,O,O,O,O,X,X,X,X,X,X
TOZLSIJ,O,X,X,O,O,O,X,X,X,X,X,X
TOZLSJI,O,X,X,X,O,O,X,X,X,X,X,X
TOZJILS,O,X,X,O,O,X,X,X,X,X,X,X
TOZJISL,O,X,O,O,O,X,O,X,X,X,X,X
TOZJLIS,O,X,X,O,O,X,X,X,X,X,X,X
TOZJLSI,X,X,O,O,O,X,X,X,X,X,X,X
TOZJSIL,O,X,O,O,O,X,O,X,X,X,X,X
TOZJSLI,O,X,O,O,O,X,X,X,X,X,X,X
TOZSILJ,O,X,X,O,X,X,X,X,X,X,X,X
TOZSIJL,O,O,X,X,O,X,O,X,X,X,O,X
TOZSLIJ,O,X,X,O,X,X,X,X,X,X,X,X
TOZSLJI,O,X,X,X,X,X,X,X,X,X,X,X
TOZSJIL,O,O,O,X,O,X,O,X,X,X,X,X
TOZSJLI,O,X,O,X,O,X,X,X,X,X,X,X
ITLJSZO,X,O,X,X,X,X,X,X,X,O,X,X
ITLJSOZ,X,O,X,X,X,X,X,X,X,X,X,X
ITLJZSO,O,O,X,X,X,X,X,X,O,O,X,X
ITLJZOS,O,X,X,X,X,O,X,X,O,X,X,X
ITLJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
ITLJOZS,O,X,X,X,X,O,X,X,O,X,X,X
ITLSJZO,O,O,X,X,X,X,X,X,X,O,X,X
ITLSJOZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,O,X,X
