sequence,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hB6?sBXqBzrB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hBX?qBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je/EJvhFRgBFiBTlB0?mB2uBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFCgB0hBllBz?pBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je2EJvhFRgB1mBcqBX?nBTpBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBTkBllBy?uBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lB6?sBzrBFqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBlkB3lB2?uBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeT/IvhFxhBllBUnBi?pBWxBXqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lBC?sBFqBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBfqBllBT?nBWxBCqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBKpBfqBl?lBTnBWxB
TIZJSLO,O,O,X,X,O,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,O,X,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,O,X
TIZSLOJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X,X,X,X,O,X
TIZSJOL,O,O,X,X,X,X,X,X,X,X,O,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X,X,O,X
TIZOLJS,O,X,X,O,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,O,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,X,X,X,X,X
TIOJSZL,O,X,O,O,X,X,O,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X,X,X
