sequence,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeqEJvhFTgB0hB?liB5oB3qB2wB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8Kez/IvhFqlBlhB?3iB5oBUqB2wB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhF3gBcmB?liB5oBTqBywB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeGAJvhFliB5oB?zkB3qBirB0rB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhFliB5oB?KqBzlBfsBUrB,v115@9gA8IeA8GeA8AeA8DeD8AeB8EeB8KeuEJvhFzgBliB?5oBKqBUrBfsB
TOJSLIZ,X,X,X,O,X,X
TOJSLZI,X,X,X,X,X,X
TOJSZIL,X,X,O,O,X,X
TOJSZLI,X,X,O,X,X,X
TOJZILS,X,X,O,X,X,X
TOJZISL,X,X,O,X,X,X
TOJZLIS,X,X,O,X,X,X
TOJZLSI,X,X,O,X,X,X
TOJZSIL,X,X,O,X,X,X
TOJZSLI,X,X,O,X,X,X
TOSILJZ,O,X,X,O,X,X
TOSILZJ,O,X,X,O,X,X
TOSIJLZ,X,X,X,O,X,X
TOSIJZL,X,X,O,O,X,X
TOSIZLJ,O,O,O,O,X,X
TOSIZJL,X,O,O,O,X,X
TOSLIJZ,O,X,X,O,X,X
TOSLIZJ,O,X,X,O,X,X
TOSLJIZ,O,X,X,O,X,X
TOSLJZI,O,X,X,X,X,X
TOSLZIJ,O,X,X,X,X,X
TOSLZJI,O,X,X,X,X,X
TOSJILZ,X,X,X,O,X,X
TOSJIZL,X,X,O,O,X,X
TOSJLIZ,X,X,X,O,X,X
TOSJLZI,X,X,X,X,X,X
TOSJZIL,X,X,O,O,X,X
TOSJZLI,X,X,O,X,X,X
TOSZILJ,O,O,O,O,X,X
TOSZIJL,X,O,O,O,X,X
TOSZLIJ,O,O,O,X,X,X
TOSZLJI,O,O,O,X,X,X
TOSZJIL,X,O,O,O,X,X
TOSZJLI,X,O,O,X,X,X
TOZILJS,X,O,O,X,X,X
TOZILSJ,O,O,O,X,X,X
TOZIJLS,X,O,O,X,X,X
TOZIJSL,X,O,O,X,X,X
TOZISLJ,O,O,O,O,X,X
TOZISJL,X,O,O,O,X,X
TOZLIJS,X,O,O,X,X,X
TOZLISJ,O,O,O,X,X,X
TOZLJIS,X,O,O,X,X,X
TOZLJSI,X,O,O,X,X,X
TOZLSIJ,O,O,O,X,X,X
TOZLSJI,O,O,O,X,X,X
TOZJILS,X,O,O,X,X,X
TOZJISL,X,O,O,X,X,X
TOZJLIS,X,O,O,X,X,X
TOZJLSI,X,O,O,X,X,X
TOZJSIL,X,O,O,X,X,X
TOZJSLI,X,O,O,X,X,X
TOZSILJ,O,O,O,O,X,X
TOZSIJL,X,O,O,O,X,X
TOZSLIJ,O,O,O,X,X,X
TOZSLJI,O,O,O,X,X,X
TOZSJIL,X,O,O,O,X,X
TOZSJLI,X,O,O,X,X,X
ITLJSZO,O,X,X,X,X,X
ITLJSOZ,O,X,X,X,O,X
ITLJZSO,O,X,X,X,X,O
ITLJZOS,X,X,X,X,O,O
ITLJOSZ,X,X,X,X,O,X
ITLJOZS,X,X,O,X,O,X
ITLSJZO,O,X,X,X,X,X
ITLSJOZ,O,X,X,X,O,X
ITLSZJO,O,O,X,X,X,X
ITLSZOJ,O,O,X,X,X,X
ITLSOJZ,O,X,X,O,O,X
ITLSOZJ,O,X,X,O,X,X
ITLZJSO,O,O,X,X,X,O
ITLZJOS,X,O,X,X,O,O
ITLZSJO,O,O,X,X,X,X
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,X,O,O,X,O,O
ITLZOSJ,O,O,O,X,X,X
ITLOJSZ,X,X,X,X,O,X
ITLOJZS,X,X,O,X,O,X
ITLOSJZ,O,X,X,O,O,X
ITLOSZJ,O,X,X,O,X,X
ITLOZJS,X,X,O,X,O,X
ITLOZSJ,O,X,O,X,X,X
ITJLSZO,O,X,X,X,X,X
ITJLSOZ,O,X,X,X,O,X
ITJLZSO,O,X,X,X,X,O
ITJLZOS,X,X,X,X,O,O
ITJLOSZ,X,X,X,X,O,X
ITJLOZS,X,X,O,X,O,X
ITJSLZO,O,X,X,X,X,X
ITJSLOZ,O,X,X,X,O,X
ITJSZLO,O,O,X,X,X,X
ITJSZOL,X,O,X,X,X,X
ITJSOLZ,X,X,X,O,X,X
ITJSOZL,X,X,O,O,X,X
ITJZLSO,O,O,X,X,X,X
ITJZLOS,X,O,X,X,O,X
ITJZSLO,O,O,X,X,X,X
ITJZSOL,X,O,X,X,X,X
ITJZOLS,X,O,O,X,X,X
ITJZOSL,X,O,O,X,X,X
ITJOLSZ,X,X,X,X,O,X
ITJOLZS,X,X,O,X,O,X
ITJOSLZ,X,X,X,O,X,X
ITJOSZL,X,X,O,O,X,X
ITJOZLS,X,X,O,X,X,X
ITJOZSL,X,X,O,X,X,X
ITSLJZO,O,X,X,X,X,X
ITSLJOZ,O,X,X,X,O,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,O,O,X,X,X,X
ITSLOJZ,O,X,X,O,O,X
ITSLOZJ,O,X,X,O,X,X
ITSJLZO,O,X,X,X,X,X
ITSJLOZ,O,X,X,X,O,X
ITSJZLO,O,O,X,X,X,X
ITSJZOL,X,O,X,X,X,X
ITSJOLZ,X,X,X,O,X,X
ITSJOZL,X,X,O,O,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,O,O,X,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,X,O,X,X,X,X
ITSZOLJ,O,O,O,O,X,X
ITSZOJL,X,O,O,O,X,X
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,X,O,X,X
ITSOJLZ,X,X,X,O,X,X
ITSOJZL,X,X,O,O,X,X
ITSOZLJ,O,O,O,O,X,X
ITSOZJL,X,O,O,O,X,X
ITZLJSO,O,O,X,X,X,O
ITZLJOS,X,O,X,X,O,O
ITZLSJO,O,O,X,X,X,X
ITZLSOJ,O,O,X,X,X,X
ITZLOJS,X,O,O,X,O,O
ITZLOSJ,O,O,O,X,X,X
ITZJLSO,O,O,X,X,X,X
ITZJLOS,X,O,X,X,O,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,X,O,X,X,X,X
ITZJOLS,X,O,O,X,X,X
ITZJOSL,X,O,O,X,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,X,O,X,X,X,X
ITZSOLJ,O,O,O,O,X,X
ITZSOJL,X,O,O,O,X,X
ITZOLJS,X,O,O,X,X,O
ITZOLSJ,O,O,O,X,X,X
ITZOJLS,X,O,O,X,X,X
ITZOJSL,X,O,O,X,X,X
ITZOSLJ,O,O,O,O,X,X
ITZOSJL,X,O,O,O,X,X
ITOLJSZ,X,X,X,X,O,X
ITOLJZS,X,X,O,X,O,X
ITOLSJZ,O,X,X,O,O,X
ITOLSZJ,O,X,X,O,X,X
ITOLZJS,X,X,O,X,O,X
ITOLZSJ,O,X,O,X,X,X
ITOJLSZ,X,X,X,X,O,X
ITOJLZS,X,X,O,X,O,X
ITOJSLZ,X,X,X,O,X,X
ITOJSZL,X,X,O,O,X,X
ITOJZLS,X,X,O,X,X,X
ITOJZSL,X,X,O,X,X,X
ITOSLJZ,O,X,X,O,X,X
ITOSLZJ,O,X,X,O,X,X
ITOSJLZ,X,X,X,O,X,X
ITOSJZL,X,X,O,O,X,X
ITOSZLJ,O,O,O,O,X,X
ITOSZJL,X,O,O,O,X,X
ITOZLJS,X,O,O,X,X,X
ITOZLSJ,O,O,O,X,X,X
ITOZJLS,X,O,O,X,X,X
ITOZJSL,X,O,O,X,X,X
ITOZSLJ,O,O,O,O,X,X
ITOZSJL,X,O,O,O,X,X
ILTJSZO,O,X,X,X,X,X
ILTJSOZ,O,X,X,X,O,X
ILTJZSO,O,X,X,X,X,O
ILTJZOS,X,X,X,X,O,O
ILTJOSZ,X,X,X,X,O,X
ILTJOZS,X,X,O,X,O,X
ILTSJZO,O,X,X,X,X,X
ILTSJOZ,O,X,X,X,O,X
ILTSZJO,O,O,X,X,X,X
ILTSZOJ,O,O,X,X,X,X
ILTSOJZ,O,X,X,O,O,X
ILTSOZJ,O,X,X,O,X,X
ILTZJSO,O,O,X,X,X,O
ILTZJOS,X,O,X,X,O,O
ILTZSJO,O,O,X,X,X,X
ILTZSOJ,O,O,X,X,X,X
ILTZOJS,X,O,O,X,O,O
ILTZOSJ,O,O,O,X,X,X
ILTOJSZ,X,X,X,X,O,X
ILTOJZS,X,X,O,X,O,X
ILTOSJZ,O,X,X,O,O,X
ILTOSZJ,O,X,X,O,X,X
ILTOZJS,X,X,O,X,O,X
ILTOZSJ,O,X,O,X,X,X
ILJTSZO,O,X,X,X,X,X
ILJTSOZ,O,X,X,X,O,X
ILJTZSO,O,X,X,X,X,O
ILJTZOS,X,X,X,X,O,O
ILJTOSZ,X,X,X,X,O,X
ILJTOZS,X,X,O,X,O,X
ILJSTZO,O,X,X,X,X,X
ILJSTOZ,O,X,X,X,O,X
ILJSZTO,O,X,X,X,X,O
ILJSZOT,O,X,X,X,X,O
ILJSOTZ,O,X,X,X,O,X
ILJSOZT,O,X,X,X,O,X
ILJZTSO,O,X,X,X,X,O
ILJZTOS,X,X,X,X,O,O
ILJZSTO,O,X,X,X,X,O
ILJZSOT,O,X,X,X,X,O
ILJZOTS,X,X,X,X,O,O
ILJZOST,X,X,X,X,O,O
ILJOTSZ,X,X,X,X,O,X
ILJOTZS,X,X,O,X,O,X
ILJOSTZ,X,X,X,X,O,X
ILJOSZT,X,X,X,X,O,X
ILJOZTS,X,X,O,X,O,O
ILJOZST,X,X,O,X,O,O
ILSTJZO,O,X,X,X,X,X
ILSTJOZ,O,X,X,X,O,X
ILSTZJO,O,O,X,X,X,X
ILSTZOJ,O,O,X,X,X,X
ILSTOJZ,O,X,X,O,O,X
ILSTOZJ,O,X,X,O,X,X
ILSJTZO,O,X,X,X,X,X
ILSJTOZ,O,X,X,X,O,X
ILSJZTO,O,X,X,X,X,O
ILSJZOT,O,X,X,X,X,O
ILSJOTZ,O,X,X,X,O,X
ILSJOZT,O,X,X,X,O,X
ILSZTJO,O,O,X,X,X,X
ILSZTOJ,O,O,X,X,X,X
ILSZJTO,O,O,X,X,X,O
ILSZJOT,O,O,X,X,X,O
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,O,O,X,X,X,O
ILSOTJZ,O,X,X,O,O,X
ILSOTZJ,O,X,X,O,X,X
ILSOJTZ,O,X,X,O,O,X
ILSOJZT,O,X,X,O,O,X
ILSOZTJ,O,X,X,O,X,X
ILSOZJT,O,X,X,O,X,X
ILZTJSO,O,O,X,X,X,O
ILZTJOS,X,O,X,X,O,O
ILZTSJO,O,O,X,X,X,X
ILZTSOJ,O,O,X,X,X,X
ILZTOJS,X,O,O,X,O,O
ILZTOSJ,O,O,O,X,X,X
ILZJTSO,O,O,X,X,X,O
ILZJTOS,X,O,X,X,O,O
ILZJSTO,O,O,X,X,X,O
ILZJSOT,O,O,X,X,X,O
ILZJOTS,X,O,X,X,O,O
ILZJOST,X,O,X,X,O,O
ILZSTJO,O,O,X,X,X,X
ILZSTOJ,O,O,X,X,X,X
ILZSJTO,O,O,X,X,X,O
ILZSJOT,O,O,X,X,X,O
ILZSOTJ,O,O,X,X,X,X
ILZSOJT,O,O,X,X,X,O
ILZOTJS,X,O,O,X,O,O
ILZOTSJ,O,O,O,X,X,X
ILZOJTS,X,O,O,X,O,O
ILZOJST,X,O,O,X,O,O
ILZOSTJ,O,O,O,X,X,X
ILZOSJT,O,O,O,X,X,O
ILOTJSZ,X,X,X,X,O,X
ILOTJZS,X,X,O,X,O,X
ILOTSJZ,O,X,X,O,O,X
ILOTSZJ,O,X,X,O,X,X
ILOTZJS,X,X,O,X,O,X
ILOTZSJ,O,X,O,X,X,X
ILOJTSZ,X,X,X,X,O,X
ILOJTZS,X,X,O,X,O,X
ILOJSTZ,X,X,X,X,O,X
ILOJSZT,X,X,X,X,O,X
ILOJZTS,X,X,O,X,O,O
ILOJZST,X,X,O,X,O,O
ILOSTJZ,O,X,X,O,O,X
ILOSTZJ,O,X,X,O,X,X
ILOSJTZ,O,X,X,O,O,X
ILOSJZT,O,X,X,O,O,X
ILOSZTJ,O,X,X,O,X,X
ILOSZJT,O,X,X,O,X,X
ILOZTJS,X,X,O,X,O,O
ILOZTSJ,O,X,O,X,X,X
ILOZJTS,X,X,O,X,O,O
ILOZJST,X,X,O,X,O,O
ILOZSTJ,O,X,O,X,X,X
ILOZSJT,O,X,O,X,X,O
IJTLSZO,O,X,X,X,X,X
IJTLSOZ,O,X,X,X,O,X
IJTLZSO,O,X,X,X,X,O
IJTLZOS,X,X,X,X,O,O
IJTLOSZ,X,X,X,X,O,X
IJTLOZS,X,X,O,X,O,X
IJTSLZO,O,X,X,X,X,X
IJTSLOZ,O,X,X,X,O,X
IJTSZLO,O,O,X,X,X,X
IJTSZOL,X,O,X,X,X,X
IJTSOLZ,X,X,X,O,X,X
IJTSOZL,X,X,O,O,X,X
IJTZLSO,O,O,X,X,X,X
IJTZLOS,X,O,X,X,O,X
IJTZSLO,O,O,X,X,X,X
IJTZSOL,X,O,X,X,X,X
IJTZOLS,X,O,O,X,X,X
IJTZOSL,X,O,O,X,X,X
IJTOLSZ,X,X,X,X,O,X
IJTOLZS,X,X,O,X,O,X
IJTOSLZ,X,X,X,O,X,X
IJTOSZL,X,X,O,O,X,X
IJTOZLS,X,X,O,X,X,X
IJTOZSL,X,X,O,X,X,X
IJLTSZO,O,X,X,X,X,X
IJLTSOZ,O,X,X,X,O,X
IJLTZSO,O,X,X,X,X,O
IJLTZOS,X,X,X,X,O,O
IJLTOSZ,X,X,X,X,O,X
IJLTOZS,X,X,O,X,O,X
IJLSTZO,O,X,X,X,X,X
IJLSTOZ,O,X,X,X,O,X
IJLSZTO,O,X,X,X,X,O
IJLSZOT,O,X,X,X,X,O
IJLSOTZ,O,X,X,X,O,X
IJLSOZT,O,X,X,X,O,X
IJLZTSO,O,X,X,X,X,O
IJLZTOS,X,X,X,X,O,O
IJLZSTO,O,X,X,X,X,O
IJLZSOT,O,X,X,X,X,O
IJLZOTS,X,X,X,X,O,O
IJLZOST,X,X,X,X,O,O
IJLOTSZ,X,X,X,X,O,X
IJLOTZS,X,X,O,X,O,X
IJLOSTZ,X,X,X,X,O,X
IJLOSZT,X,X,X,X,O,X
IJLOZTS,X,X,O,X,O,O
IJLOZST,X,X,O,X,O,O
IJSTLZO,O,X,X,X,X,X
IJSTLOZ,O,X,X,X,O,X
IJSTZLO,O,O,X,X,X,X
IJSTZOL,X,O,X,X,X,X
IJSTOLZ,X,X,X,O,X,X
IJSTOZL,X,X,O,O,X,X
IJSLTZO,O,X,X,X,X,X
IJSLTOZ,O,X,X,X,O,X
IJSLZTO,O,X,X,X,X,O
IJSLZOT,O,X,X,X,X,O
IJSLOTZ,O,X,X,X,O,X
IJSLOZT,O,X,X,X,O,X
IJSZTLO,O,O,X,X,X,X
IJSZTOL,X,O,X,X,X,X
IJSZLTO,O,O,X,X,X,X
IJSZLOT,O,O,X,X,X,X
IJSZOTL,X,O,X,X,X,X
IJSZOLT,X,O,X,X,X,X
IJSOTLZ,X,X,X,O,X,X
IJSOTZL,X,X,O,O,X,X
IJSOLTZ,X,X,X,O,X,X
IJSOLZT,X,X,X,O,X,X
IJSOZTL,X,X,O,O,X,X
IJSOZLT,X,X,O,O,X,X
IJZTLSO,O,O,X,X,X,X
IJZTLOS,X,O,X,X,O,X
IJZTSLO,O,O,X,X,X,X
IJZTSOL,X,O,X,X,X,X
IJZTOLS,X,O,O,X,X,X
IJZTOSL,X,O,O,X,X,X
IJZLTSO,O,O,X,X,X,O
IJZLTOS,X,O,X,X,O,O
IJZLSTO,O,O,X,X,X,O
IJZLSOT,O,O,X,X,X,O
IJZLOTS,X,O,X,X,O,O
IJZLOST,X,O,X,X,O,O
IJZSTLO,O,O,X,X,X,X
IJZSTOL,X,O,X,X,X,X
IJZSLTO,O,O,X,X,X,X
IJZSLOT,O,O,X,X,X,X
IJZSOTL,X,O,X,X,X,X
IJZSOLT,X,O,X,X,X,X
IJZOTLS,X,O,O,X,X,X
IJZOTSL,X,O,O,X,X,X
IJZOLTS,X,O,O,X,X,O
IJZOLST,X,O,O,X,X,O
IJZOSTL,X,O,O,X,X,X
IJZOSLT,X,O,O,X,X,X
IJOTLSZ,X,X,X,X,O,X
IJOTLZS,X,X,O,X,O,X
IJOTSLZ,X,X,X,O,X,X
IJOTSZL,X,X,O,O,X,X
IJOTZLS,X,X,O,X,X,X
IJOTZSL,X,X,O,X,X,X
IJOLTSZ,X,X,X,X,O,X
IJOLTZS,X,X,O,X,O,X
IJOLSTZ,X,X,X,X,O,X
IJOLSZT,X,X,X,X,O,X
IJOLZTS,X,X,O,X,O,O
IJOLZST,X,X,O,X,O,O
IJOSTLZ,X,X,X,O,X,X
IJOSTZL,X,X,O,O,X,X
IJOSLTZ,X,X,X,O,X,X
IJOSLZT,X,X,X,O,X,X
IJOSZTL,X,X,O,O,X,X
IJOSZLT,X,X,O,O,X,X
IJOZTLS,X,X,O,X,X,X
IJOZTSL,X,X,O,X,X,X
IJOZLTS,X,X,O,X,X,X
IJOZLST,X,X,O,X,X,X
IJOZSTL,X,X,O,X,X,X
IJOZSLT,X,X,O,X,X,X
ISTLJZO,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,O,X
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,O,O,X,X,X,X
ISTLOJZ,O,X,X,O,O,X
ISTLOZJ,O,X,X,O,X,X
ISTJLZO,O,X,X,X,X,X
ISTJLOZ,O,X,X,X,O,X
ISTJZLO,O,O,X,X,X,X
ISTJZOL,X,O,X,X,X,X
ISTJOLZ,X,X,X,O,X,X
ISTJOZL,X,X,O,O,X,X
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,O,O,X,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,X,O,X,X,X,X
ISTZOLJ,O,O,O,O,X,X
ISTZOJL,X,O,O,O,X,X
ISTOLJZ,O,X,X,O,X,X
ISTOLZJ,O,X,X,O,X,X
ISTOJLZ,X,X,X,O,X,X
ISTOJZL,X,X,O,O,X,X
ISTOZLJ,O,O,O,O,X,X
ISTOZJL,X,O,O,O,X,X
ISLTJZO,O,X,X,X,X,X
ISLTJOZ,O,X,X,X,O,X
ISLTZJO,O,O,X,X,X,X
ISLTZOJ,O,O,X,X,X,X
ISLTOJZ,O,X,X,O,O,X
ISLTOZJ,O,X,X,O,X,X
ISLJTZO,O,X,X,X,X,X
ISLJTOZ,O,X,X,X,O,X
ISLJZTO,O,X,X,X,X,O
ISLJZOT,O,X,X,X,X,O
ISLJOTZ,O,X,X,X,O,X
ISLJOZT,O,X,X,X,O,X
ISLZTJO,O,O,X,X,X,X
ISLZTOJ,O,O,X,X,X,X
ISLZJTO,O,O,X,X,X,O
ISLZJOT,O,O,X,X,X,O
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,O,O,X,X,X,O
ISLOTJZ,O,X,X,O,O,X
ISLOTZJ,O,X,X,O,X,X
ISLOJTZ,O,X,X,O,O,X
ISLOJZT,O,X,X,O,O,X
ISLOZTJ,O,X,X,O,X,X
ISLOZJT,O,X,X,O,X,X
ISJTLZO,O,X,X,X,X,X
ISJTLOZ,O,X,X,X,O,X
ISJTZLO,O,O,X,X,X,X
ISJTZOL,X,O,X,X,X,X
ISJTOLZ,X,X,X,O,X,X
ISJTOZL,X,X,O,O,X,X
ISJLTZO,O,X,X,X,X,X
ISJLTOZ,O,X,X,X,O,X
ISJLZTO,O,X,X,X,X,O
ISJLZOT,O,X,X,X,X,O
ISJLOTZ,O,X,X,X,O,X
ISJLOZT,O,X,X,X,O,X
ISJZTLO,O,O,X,X,X,X
ISJZTOL,X,O,X,X,X,X
ISJZLTO,O,O,X,X,X,X
ISJZLOT,O,O,X,X,X,X
ISJZOTL,X,O,X,X,X,X
ISJZOLT,X,O,X,X,X,X
ISJOTLZ,X,X,X,O,X,X
ISJOTZL,X,X,O,O,X,X
ISJOLTZ,X,X,X,O,X,X
ISJOLZT,X,X,X,O,X,X
ISJOZTL,X,X,O,O,X,X
ISJOZLT,X,X,O,O,X,X
ISZTLJO,O,O,X,X,X,X
ISZTLOJ,O,O,X,X,X,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,X,O,X,X,X,X
ISZTOLJ,O,O,O,O,X,X
ISZTOJL,X,O,O,O,X,X
ISZLTJO,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,X,X
ISZLJTO,O,O,X,X,X,O
ISZLJOT,O,O,X,X,X,O
ISZLOTJ,O,O,X,X,X,X
ISZLOJT,O,O,X,X,X,O
ISZJTLO,O,O,X,X,X,X
ISZJTOL,X,O,X,X,X,X
ISZJLTO,O,O,X,X,X,X
ISZJLOT,O,O,X,X,X,X
ISZJOTL,X,O,X,X,X,X
ISZJOLT,X,O,X,X,X,X
ISZOTLJ,O,O,O,O,X,X
ISZOTJL,X,O,O,O,X,X
ISZOLTJ,O,O,O,O,X,X
ISZOLJT,O,O,O,O,X,O
ISZOJTL,X,O,O,O,X,X
ISZOJLT,X,O,O,O,X,X
ISOTLJZ,O,X,X,O,X,X
ISOTLZJ,O,X,X,O,X,X
ISOTJLZ,X,X,X,O,X,X
ISOTJZL,X,X,O,O,X,X
ISOTZLJ,O,O,O,O,X,X
ISOTZJL,X,O,O,O,X,X
ISOLTJZ,O,X,X,O,X,X
ISOLTZJ,O,X,X,O,X,X
ISOLJTZ,O,X,X,O,X,X
ISOLJZT,O,X,X,O,X,X
ISOLZTJ,O,X,X,O,X,X
ISOLZJT,O,X,X,O,X,X
ISOJTLZ,X,X,X,O,X,X
ISOJTZL,X,X,O,O,X,X
ISOJLTZ,X,X,X,O,X,X
ISOJLZT,X,X,X,O,X,X
ISOJZTL,X,X,O,O,X,X
ISOJZLT,X,X,O,O,X,X
ISOZTLJ,O,O,O,O,X,X
ISOZTJL,X,O,O,O,X,X
ISOZLTJ,O,O,O,O,X,X
ISOZLJT,O,O,O,O,X,X
ISOZJTL,X,O,O,O,X,X
ISOZJLT,X,O,O,O,X,X
IZTLJSO,O,O,X,X,X,O
IZTLJOS,X,O,X,X,O,O
IZTLSJO,O,O,X,X,X,X
IZTLSOJ,O,O,X,X,X,X
IZTLOJS,X,O,O,X,O,O
IZTLOSJ,O,O,O,X,X,X
IZTJLSO,O,O,X,X,X,X
IZTJLOS,X,O,X,X,O,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,X,O,X,X,X,X
IZTJOLS,X,O,O,X,X,X
IZTJOSL,X,O,O,X,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,O,X,X,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,X,O,X,X,X,X
IZTSOLJ,O,O,O,O,X,X
IZTSOJL,X,O,O,O,X,X
IZTOLJS,X,O,O,X,X,O
IZTOLSJ,O,O,O,X,X,X
IZTOJLS,X,O,O,X,X,X
IZTOJSL,X,O,O,X,X,X
IZTOSLJ,O,O,O,O,X,X
IZTOSJL,X,O,O,O,X,X
IZLTJSO,O,O,X,X,X,O
IZLTJOS,X,O,X,X,O,O
IZLTSJO,O,O,X,X,X,X
IZLTSOJ,O,O,X,X,X,X
IZLTOJS,X,O,O,X,O,O
IZLTOSJ,O,O,O,X,X,X
IZLJTSO,O,O,X,X,X,O
IZLJTOS,X,O,X,X,O,O
IZLJSTO,O,O,X,X,X,O
IZLJSOT,O,O,X,X,X,O
IZLJOTS,X,O,X,X,O,O
IZLJOST,X,O,X,X,O,O
IZLSTJO,O,O,X,X,X,X
IZLSTOJ,O,O,X,X,X,X
IZLSJTO,O,O,X,X,X,O
IZLSJOT,O,O,X,X,X,O
IZLSOTJ,O,O,X,X,X,X
IZLSOJT,O,O,X,X,X,O
IZLOTJS,X,O,O,X,O,O
IZLOTSJ,O,O,O,X,X,X
IZLOJTS,X,O,O,X,O,O
IZLOJST,X,O,O,X,O,O
IZLOSTJ,O,O,O,X,X,X
IZLOSJT,O,O,O,X,X,O
IZJTLSO,O,O,X,X,X,X
IZJTLOS,X,O,X,X,O,X
IZJTSLO,O,O,X,X,X,X
IZJTSOL,X,O,X,X,X,X
IZJTOLS,X,O,O,X,X,X
IZJTOSL,X,O,O,X,X,X
IZJLTSO,O,O,X,X,X,O
IZJLTOS,X,O,X,X,O,O
IZJLSTO,O,O,X,X,X,O
IZJLSOT,O,O,X,X,X,O
IZJLOTS,X,O,X,X,O,O
IZJLOST,X,O,X,X,O,O
IZJSTLO,O,O,X,X,X,X
IZJSTOL,X,O,X,X,X,X
IZJSLTO,O,O,X,X,X,X
IZJSLOT,O,O,X,X,X,X
IZJSOTL,X,O,X,X,X,X
IZJSOLT,X,O,X,X,X,X
IZJOTLS,X,O,O,X,X,X
IZJOTSL,X,O,O,X,X,X
IZJOLTS,X,O,O,X,X,O
IZJOLST,X,O,O,X,X,O
IZJOSTL,X,O,O,X,X,X
IZJOSLT,X,O,O,X,X,X
IZSTLJO,O,O,X,X,X,X
IZSTLOJ,O,O,X,X,X,X
IZSTJLO,O,O,X,X,X,X
IZSTJOL,X,O,X,X,X,X
IZSTOLJ,O,O,O,O,X,X
IZSTOJL,X,O,O,O,X,X
IZSLTJO,O,O,X,X,X,X
IZSLTOJ,O,O,X,X,X,X
IZSLJTO,O,O,X,X,X,O
IZSLJOT,O,O,X,X,X,O
IZSLOTJ,O,O,X,X,X,X
IZSLOJT,O,O,X,X,X,O
IZSJTLO,O,O,X,X,X,X
IZSJTOL,X,O,X,X,X,X
IZSJLTO,O,O,X,X,X,X
IZSJLOT,O,O,X,X,X,X
IZSJOTL,X,O,X,X,X,X
IZSJOLT,X,O,X,X,X,X
IZSOTLJ,O,O,O,O,X,X
IZSOTJL,X,O,O,O,X,X
IZSOLTJ,O,O,O,O,X,X
IZSOLJT,O,O,O,O,X,O
IZSOJTL,X,O,O,O,X,X
IZSOJLT,X,O,O,O,X,X
IZOTLJS,X,O,O,X,X,O
IZOTLSJ,O,O,O,X,X,X
IZOTJLS,X,O,O,X,X,X
IZOTJSL,X,O,O,X,X,X
IZOTSLJ,O,O,O,O,X,X
IZOTSJL,X,O,O,O,X,X
IZOLTJS,X,O,O,X,X,O
IZOLTSJ,O,O,O,X,X,X
IZOLJTS,X,O,O,X,X,O
IZOLJST,X,O,O,X,X,O
IZOLSTJ,O,O,O,X,X,X
IZOLSJT,O,O,O,X,X,O
IZOJTLS,X,O,O,X,X,X
IZOJTSL,X,O,O,X,X,X
IZOJLTS,X,O,O,X,X,O
IZOJLST,X,O,O,X,X,O
IZOJSTL,X,O,O,X,X,X
IZOJSLT,X,O,O,X,X,X
IZOSTLJ,O,O,O,O,X,X
IZOSTJL,X,O,O,O,X,X
IZOSLTJ,O,O,O,O,X,X
IZOSLJT,O,O,O,O,X,O
IZOSJTL,X,O,O,O,X,X
IZOSJLT,X,O,O,O,X,X
IOTLJSZ,X,X,X,X,O,X
IOTLJZS,X,X,O,X,O,X
IOTLSJZ,O,X,X,O,O,X
IOTLSZJ,O,X,X,O,X,X
IOTLZJS,X,X,O,X,O,X
IOTLZSJ,O,X,O,X,X,X
IOTJLSZ,X,X,X,X,O,X
IOTJLZS,X,X,O,X,O,X
IOTJSLZ,X,X,X,O,X,X
IOTJSZL,X,X,O,O,X,X
IOTJZLS,X,X,O,X,X,X
IOTJZSL,X,X,O,X,X,X
IOTSLJZ,O,X,X,O,X,X
IOTSLZJ,O,X,X,O,X,X
IOTSJLZ,X,X,X,O,X,X
