sequence,v115@IhB8GeC8FeE8DeB8Jei/IvhFRhBGjBzlB8sB3rBFsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFGhBcoBzlBXnBlnBxwB,v115@IhB8GeC8FeE8DeB8Jei/IvhFzgBRiBcoBFrBXsBGsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFxhBTjB1sBGrBfrBUsB,v115@IhB8GeC8FeE8DeB8Jei/IvhFFhBTjBfrBRsB8rB+sB,v115@IhB8GeC8FeE8DeB8Jei/IvhFzgBGjB8sBRrBFsB3rB
TILJSZO,X,X,X,O,X,X
TILJSOZ,X,X,X,O,X,X
TILJZSO,X,X,X,O,X,X
TILJZOS,X,X,X,O,X,X
TILJOSZ,X,X,X,O,X,X
TILJOZS,X,X,X,O,X,X
TILSJZO,X,X,X,X,O,X
TILSJOZ,X,X,X,X,O,X
TILSZJO,X,X,O,X,O,X
TILSZOJ,X,O,O,X,O,X
TILSOJZ,X,O,X,X,O,X
TILSOZJ,X,O,O,X,O,X
TILZJSO,X,X,X,X,X,O
TILZJOS,X,X,O,X,X,O
TILZSJO,X,X,O,X,X,O
TILZSOJ,X,O,O,X,X,O
TILZOJS,X,O,O,X,X,O
TILZOSJ,X,O,O,X,X,O
TILOJSZ,X,O,X,O,X,X
TILOJZS,X,O,X,O,X,X
TILOSJZ,X,O,X,X,O,X
TILOSZJ,X,O,O,X,X,X
TILOZJS,X,O,O,X,X,O
TILOZSJ,X,O,O,X,X,O
TIJLSZO,X,X,X,O,X,X
TIJLSOZ,X,X,X,O,X,X
TIJLZSO,X,X,X,O,X,X
TIJLZOS,X,X,X,O,X,X
TIJLOSZ,X,X,X,O,X,X
TIJLOZS,X,X,X,O,X,X
TIJSLZO,X,X,X,O,X,X
TIJSLOZ,X,X,X,O,X,X
TIJSZLO,X,X,X,O,X,X
TIJSZOL,X,X,X,O,X,X
TIJSOLZ,X,X,X,O,X,X
TIJSOZL,X,X,X,O,X,X
TIJZLSO,X,X,X,O,X,X
TIJZLOS,X,X,X,O,X,X
TIJZSLO,X,X,X,O,X,X
TIJZSOL,X,X,X,O,X,X
TIJZOLS,X,X,X,O,X,X
TIJZOSL,X,X,X,O,X,X
TIJOLSZ,X,X,X,O,X,X
TIJOLZS,X,X,X,O,X,X
TIJOSLZ,X,X,X,O,X,X
TIJOSZL,X,X,X,O,X,X
TIJOZLS,X,X,X,O,X,X
TIJOZSL,X,X,X,O,X,X
TISLJZO,X,X,X,X,O,X
TISLJOZ,X,X,X,X,O,X
TISLZJO,X,X,O,X,O,X
TISLZOJ,X,O,O,X,O,X
TISLOJZ,X,O,X,X,O,X
TISLOZJ,X,O,O,X,O,X
TISJLZO,X,X,X,X,O,X
TISJLOZ,X,X,X,X,O,X
TISJZLO,X,X,X,X,O,X
TISJZOL,X,X,X,X,O,X
TISJOLZ,X,X,X,X,O,X
TISJOZL,X,X,X,X,O,X
TISZLJO,X,X,O,X,O,X
TISZLOJ,X,O,O,X,O,X
TISZJLO,X,X,O,X,O,X
TISZJOL,X,X,O,X,O,X
TISZOLJ,X,O,O,X,O,X
TISZOJL,X,O,O,X,O,X
TISOLJZ,X,O,X,X,O,X
TISOLZJ,X,O,O,X,O,X
TISOJLZ,X,O,X,X,O,X
TISOJZL,X,O,X,X,O,X
TISOZLJ,X,O,O,X,O,X
TISOZJL,X,O,O,X,O,X
TIZLJSO,X,X,X,X,X,O
TIZLJOS,X,X,O,X,X,O
TIZLSJO,X,X,O,X,X,O
TIZLSOJ,X,O,O,X,X,O
TIZLOJS,X,O,O,X,X,O
TIZLOSJ,X,O,O,X,X,O
TIZJLSO,X,X,X,X,X,O
TIZJLOS,X,X,O,X,X,O
TIZJSLO,X,X,X,X,X,O
TIZJSOL,X,X,X,X,X,O
TIZJOLS,X,X,O,X,X,O
TIZJOSL,X,X,X,X,X,O
TIZSLJO,X,X,O,X,X,O
TIZSLOJ,X,O,O,X,X,O
TIZSJLO,X,X,O,X,X,O
TIZSJOL,X,X,O,X,X,O
TIZSOLJ,X,O,O,X,X,O
TIZSOJL,X,O,O,X,X,O
TIZOLJS,X,O,O,X,X,O
TIZOLSJ,X,O,O,X,X,O
TIZOJLS,X,O,O,X,X,O
TIZOJSL,X,O,X,X,X,O
TIZOSLJ,X,O,O,X,X,O
TIZOSJL,X,O,O,X,X,O
TIOLJSZ,X,O,X,O,X,X
TIOLJZS,X,O,X,O,X,X
TIOLSJZ,X,O,X,X,O,X
TIOLSZJ,X,O,O,X,X,X
TIOLZJS,X,O,O,X,X,O
TIOLZSJ,X,O,O,X,X,O
TIOJLSZ,X,O,X,O,X,X
TIOJLZS,X,O,X,O,X,X
TIOJSLZ,X,O,X,O,X,X
TIOJSZL,X,O,X,O,X,X
TIOJZLS,X,O,X,O,X,X
TIOJZSL,X,O,X,O,X,X
TIOSLJZ,X,O,X,X,O,X
TIOSLZJ,X,O,O,X,X,X
TIOSJLZ,X,O,X,X,O,X
TIOSJZL,X,O,X,X,O,X
TIOSZLJ,X,O,O,X,X,X
TIOSZJL,X,O,O,X,X,X
TIOZLJS,X,O,O,X,X,O
TIOZLSJ,X,O,O,X,X,O
TIOZJLS,X,O,O,X,X,O
TIOZJSL,X,O,X,X,X,O
TIOZSLJ,X,O,O,X,X,O
TIOZSJL,X,O,O,X,X,O
TLIJSZO,X,X,X,O,X,X
TLIJSOZ,X,X,X,O,X,X
TLIJZSO,X,X,X,O,X,X
TLIJZOS,X,X,X,O,X,X
TLIJOSZ,X,X,X,O,X,X
TLIJOZS,X,X,X,O,X,X
TLISJZO,X,X,X,X,O,X
TLISJOZ,X,X,X,X,O,X
TLISZJO,X,X,O,X,O,X
TLISZOJ,X,O,O,X,O,X
TLISOJZ,X,O,X,X,O,X
TLISOZJ,X,O,O,X,O,X
TLIZJSO,X,X,X,X,X,O
TLIZJOS,X,X,O,X,X,O
TLIZSJO,X,X,O,X,X,O
TLIZSOJ,X,O,O,X,X,O
TLIZOJS,X,O,O,X,X,O
TLIZOSJ,X,O,O,X,X,O
TLIOJSZ,X,O,X,O,X,X
TLIOJZS,X,O,X,O,X,X
TLIOSJZ,X,O,X,X,O,X
TLIOSZJ,X,O,O,X,X,X
TLIOZJS,X,O,O,X,X,O
TLIOZSJ,X,O,O,X,X,O
TLJISZO,X,X,X,O,X,X
TLJISOZ,X,X,X,O,X,X
TLJIZSO,X,X,X,O,X,X
TLJIZOS,X,X,X,O,X,X
TLJIOSZ,X,X,X,O,X,X
TLJIOZS,X,X,X,O,X,X
TLJSIZO,X,X,X,O,X,X
TLJSIOZ,X,X,X,O,X,X
TLJSZIO,X,X,O,O,X,X
TLJSZOI,X,X,O,O,X,X
TLJSOIZ,O,X,X,O,X,X
TLJSOZI,X,X,O,O,X,X
TLJZISO,X,X,X,O,X,O
TLJZIOS,X,X,O,O,X,O
TLJZSIO,X,X,O,O,X,X
TLJZSOI,O,X,O,O,X,X
TLJZOIS,O,X,O,O,X,X
TLJZOSI,O,X,O,O,X,X
TLJOISZ,O,X,X,O,X,X
TLJOIZS,O,X,X,O,X,X
TLJOSIZ,O,X,X,O,X,X
TLJOSZI,X,X,O,O,X,X
TLJOZIS,O,X,O,O,X,X
TLJOZSI,O,X,O,O,X,X
TLSIJZO,X,X,X,X,O,X
TLSIJOZ,X,X,X,X,O,X
TLSIZJO,X,X,O,X,O,X
TLSIZOJ,X,X,O,X,O,X
TLSIOJZ,X,X,X,X,O,X
TLSIOZJ,X,X,O,X,O,X
TLSJIZO,X,X,X,O,O,X
TLSJIOZ,X,X,X,O,X,X
TLSJZIO,X,X,O,O,X,X
TLSJZOI,X,X,O,O,X,X
TLSJOIZ,O,X,X,O,X,X
TLSJOZI,X,X,O,O,X,X
TLSZIJO,X,X,O,X,O,X
TLSZIOJ,X,X,O,X,O,X
TLSZJIO,X,X,O,X,X,X
TLSZJOI,O,X,O,X,X,X
TLSZOIJ,O,X,O,X,X,X
TLSZOJI,O,X,O,X,X,X
TLSOIJZ,O,X,X,X,O,X
TLSOIZJ,O,X,O,X,O,X
TLSOJIZ,O,X,X,O,X,X
TLSOJZI,X,X,O,O,X,X
TLSOZIJ,O,X,O,X,X,X
TLSOZJI,O,X,O,X,X,X
TLZIJSO,X,X,X,X,X,O
TLZIJOS,X,X,O,X,X,O
TLZISJO,X,X,O,X,X,O
TLZISOJ,X,O,O,X,X,O
TLZIOJS,X,O,O,X,X,O
TLZIOSJ,X,O,O,X,X,O
TLZJISO,X,X,X,O,X,O
TLZJIOS,X,X,O,O,X,O
TLZJSIO,X,X,O,O,X,X
TLZJSOI,O,X,O,O,X,X
TLZJOIS,O,X,O,O,X,X
TLZJOSI,O,X,O,O,X,X
TLZSIJO,X,X,O,X,X,X
TLZSIOJ,X,X,O,X,X,X
TLZSJIO,X,X,O,X,X,X
TLZSJOI,O,X,O,X,X,X
TLZSOIJ,O,X,O,X,X,X
TLZSOJI,O,X,O,X,X,X
TLZOIJS,O,O,O,X,X,X
TLZOISJ,X,O,O,X,X,X
TLZOJIS,O,O,O,O,X,X
TLZOJSI,O,X,O,O,X,X
TLZOSIJ,O,X,O,X,X,X
TLZOSJI,O,X,O,X,X,X
TLOIJSZ,O,O,X,O,X,X
TLOIJZS,O,O,X,O,X,X
TLOISJZ,O,O,X,X,O,X
TLOISZJ,O,O,O,X,X,X
TLOIZJS,O,O,O,X,X,X
TLOIZSJ,X,O,O,X,X,X
TLOJISZ,O,O,X,O,X,X
TLOJIZS,O,O,X,O,X,X
TLOJSIZ,O,X,X,O,X,X
TLOJSZI,X,X,O,O,X,X
