sequence,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhFXiBTjBllBq?sBUqBmrB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhF6nBTjBllB3?mBUqB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFChBTjBxmB3?qBFsB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeFCJvhFTjBfsBqsBR?qBOqB8qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBTmBi?nBUqB1xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBimBU?qBFsBzsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFFhBSnBTjBU?qBxrB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFWnBTjBRqBF?sB3qB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFTjBWsBRqB3?qB0sBFsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je2FJvhFCiBTjBRqBF?sB0sB3qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFRhBcnBTjBS?rB1xB3qB
TILJSZO,X,X,X,X,X,X,X,O,X,O,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,X,X,X,X,X,O,X,X,X,O,X
TILJZOS,X,X,X,X,X,X,X,X,X,O,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,O,X
TILSJZO,X,X,O,O,X,X,X,O,X,O,X
TILSJOZ,X,X,O,O,X,X,X,O,X,X,X
TILSZJO,X,X,X,O,X,X,X,O,X,O,X
TILSZOJ,X,X,X,O,X,X,X,O,X,O,X
TILSOJZ,X,X,O,O,X,X,X,O,X,X,X
TILSOZJ,X,X,X,O,X,X,X,O,X,X,X
TILZJSO,X,X,X,X,X,O,X,X,X,O,X
TILZJOS,X,X,X,X,X,X,X,X,X,O,X
TILZSJO,X,X,X,X,X,O,O,X,X,O,X
TILZSOJ,X,X,X,X,X,O,O,X,X,O,X
TILZOJS,X,X,X,X,X,X,X,X,X,O,X
TILZOSJ,X,X,X,X,X,X,O,X,X,O,X
TILOJSZ,X,X,X,X,X,X,X,O,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,O,X
TILOSJZ,X,X,O,O,X,X,X,O,X,X,X
TILOSZJ,X,X,X,O,X,X,X,O,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X,O,X
TILOZSJ,X,X,X,X,X,X,O,X,X,O,X
TIJLSZO,X,X,X,X,X,X,X,O,X,O,X
TIJLSOZ,X,X,X,X,X,X,X,O,X,X,X
TIJLZSO,X,X,X,X,X,O,X,X,X,O,X
TIJLZOS,X,X,X,X,X,X,X,X,X,O,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,O,X
TIJSLZO,X,X,O,X,X,X,X,O,O,O,X
TIJSLOZ,X,X,O,X,X,X,X,O,O,X,X
TIJSZLO,X,X,O,X,X,X,X,O,O,O,X
TIJSZOL,X,X,O,X,X,X,X,O,O,O,X
TIJSOLZ,X,X,O,X,X,X,X,O,O,X,X
TIJSOZL,X,X,O,X,X,X,X,O,O,X,X
TIJZLSO,X,X,X,X,X,O,X,X,X,O,X
TIJZLOS,X,X,X,X,X,X,X,X,X,O,X
TIJZSLO,X,X,X,X,X,O,X,O,O,O,X
TIJZSOL,X,X,X,X,X,O,X,O,O,O,X
TIJZOLS,X,X,X,X,X,X,X,X,X,O,X
TIJZOSL,X,X,X,X,X,X,X,O,O,O,X
TIJOLSZ,X,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,O,X
TIJOSLZ,X,X,O,X,X,X,X,O,O,X,X
TIJOSZL,X,X,O,X,X,X,X,O,O,X,X
TIJOZLS,X,X,X,X,X,X,X,X,X,O,X
TIJOZSL,X,X,X,X,X,X,X,O,O,O,X
TISLJZO,X,X,O,O,X,X,X,O,X,O,X
TISLJOZ,X,X,O,O,X,X,X,O,X,X,X
TISLZJO,X,X,X,O,X,X,X,O,X,O,X
TISLZOJ,X,X,X,O,X,X,X,O,X,O,X
TISLOJZ,X,X,O,O,X,X,X,O,X,X,X
TISLOZJ,X,X,X,O,X,X,X,O,X,X,X
TISJLZO,X,X,O,X,X,X,X,O,X,O,X
TISJLOZ,X,X,O,X,X,X,X,O,X,X,X
TISJZLO,X,X,O,X,X,X,X,O,X,O,X
TISJZOL,X,X,O,X,X,X,X,O,X,O,X
TISJOLZ,X,X,O,X,X,X,X,O,X,X,X
TISJOZL,X,X,O,X,X,X,X,O,X,X,X
TISZLJO,X,X,X,X,X,X,X,O,X,O,X
TISZLOJ,X,X,X,X,X,X,X,O,X,O,X
TISZJLO,X,X,O,X,X,X,X,O,X,O,X
TISZJOL,X,X,O,X,X,X,X,O,X,O,X
TISZOLJ,X,X,X,X,X,X,X,O,X,O,X
TISZOJL,X,X,O,X,X,X,X,O,X,O,X
TISOLJZ,X,X,O,O,X,X,X,O,X,X,X
TISOLZJ,X,X,X,O,X,X,X,O,X,X,X
