sequence,v115@GhA8IeA8AeA8AeB8DeA8AeD8CeB8JeZEJvhFflB0gB?mhBziBqrBlsB,v115@GhA8IeA8AeA8AeB8DeA8AeD8CeB8JeZEJvhFflB0gB?6mBTiBeoBVxB,v115@GhA8IeA8AeA8AeB8DeA8AeD8CeB8Jex/IvhFlhB3iB?OpBilB8sBzrB,v115@GhA8IeA8AeA8AeB8DeA8AeD8CeB8JeZEJvhFflB0gB?lhBaoBTnBWxB,v115@GhA8IeA8AeA8AeB8DeA8AeD8CeB8JeZEJvhFflBlgB?iiB0mBznBWxB,v115@GhA8IeA8AeA8AeB8DeA8AeD8CeB8Je1GJvhFxkBznB?OpBilB8rB3sB
TOJSLIZ,O,O,O,X,X,X
TOJSLZI,O,O,O,X,X,X
TOJSZIL,X,O,O,X,X,X
TOJSZLI,X,O,O,X,X,X
TOJZILS,X,O,O,X,X,X
TOJZISL,X,O,O,X,X,X
TOJZLIS,X,O,O,X,X,X
TOJZLSI,X,O,O,X,X,X
TOJZSIL,X,O,O,X,X,X
TOJZSLI,X,O,O,X,X,X
TOSILJZ,O,O,X,X,X,O
TOSILZJ,O,O,X,X,O,O
TOSIJLZ,O,O,X,X,X,O
TOSIJZL,X,O,X,X,O,O
TOSIZLJ,O,O,X,X,O,O
TOSIZJL,X,O,X,X,O,O
TOSLIJZ,O,O,X,X,X,X
TOSLIZJ,O,O,X,X,O,X
TOSLJIZ,O,O,X,X,X,X
TOSLJZI,O,O,X,X,X,X
TOSLZIJ,O,O,X,X,O,X
TOSLZJI,O,O,X,X,O,X
TOSJILZ,O,O,X,X,X,X
TOSJIZL,X,O,O,X,O,X
TOSJLIZ,O,O,O,X,X,X
TOSJLZI,O,O,O,X,X,X
TOSJZIL,X,O,O,X,O,X
TOSJZLI,X,O,O,X,O,X
TOSZILJ,O,O,X,X,O,X
TOSZIJL,X,O,O,X,O,X
TOSZLIJ,O,O,X,X,O,X
TOSZLJI,O,O,O,X,O,X
TOSZJIL,X,O,O,X,O,X
TOSZJLI,X,O,O,X,O,X
TOZILJS,O,X,X,X,X,O
TOZILSJ,O,X,X,X,O,O
TOZIJLS,X,X,O,X,X,O
TOZIJSL,X,X,O,X,X,O
TOZISLJ,O,X,X,X,O,O
TOZISJL,X,X,O,X,O,O
TOZLIJS,O,X,O,X,X,X
TOZLISJ,O,X,O,X,O,X
TOZLJIS,O,X,O,X,X,X
TOZLJSI,O,X,O,X,X,X
TOZLSIJ,O,X,O,X,O,X
TOZLSJI,O,X,O,X,O,X
TOZJILS,X,X,O,X,X,X
TOZJISL,X,X,O,X,X,X
TOZJLIS,X,X,O,X,X,X
TOZJLSI,X,X,O,X,X,X
TOZJSIL,X,X,O,X,X,X
TOZJSLI,X,X,O,X,X,X
TOZSILJ,O,X,X,X,O,X
TOZSIJL,X,X,O,X,O,X
TOZSLIJ,O,X,O,X,O,X
TOZSLJI,O,X,O,X,O,X
TOZSJIL,X,X,O,X,O,X
TOZSJLI,X,X,O,X,O,X
ITLJSZO,O,O,X,O,X,X
ITLJSOZ,O,O,X,O,X,X
ITLJZSO,O,O,X,O,X,X
ITLJZOS,O,O,X,X,X,X
ITLJOSZ,O,O,X,O,X,X
ITLJOZS,O,O,X,X,X,X
ITLSJZO,O,O,X,O,X,X
ITLSJOZ,O,O,X,O,X,X
ITLSZJO,O,O,X,O,X,X
ITLSZOJ,O,O,X,O,X,X
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X
ITLZJSO,O,O,X,X,X,X
ITLZJOS,O,O,X,X,X,X
ITLZSJO,O,O,X,X,X,X
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,O,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,O
ITLOJZS,O,O,X,X,X,O
ITLOSJZ,O,O,X,X,X,O
ITLOSZJ,O,O,X,X,X,O
ITLOZJS,O,X,X,X,X,O
ITLOZSJ,O,X,X,X,X,O
ITJLSZO,O,O,X,O,X,X
ITJLSOZ,O,O,X,O,X,X
ITJLZSO,O,O,X,O,X,X
ITJLZOS,O,O,X,X,X,X
ITJLOSZ,O,O,X,O,X,X
ITJLOZS,O,O,X,O,X,X
ITJSLZO,O,O,X,O,X,X
ITJSLOZ,O,O,X,O,X,X
ITJSZLO,X,O,X,O,X,X
ITJSZOL,X,O,X,O,X,X
ITJSOLZ,O,O,X,O,X,X
ITJSOZL,X,O,X,O,X,X
ITJZLSO,X,O,X,O,X,X
ITJZLOS,X,O,X,X,X,X
ITJZSLO,X,O,X,O,X,X
ITJZSOL,X,O,X,O,X,X
ITJZOLS,X,O,X,O,X,X
ITJZOSL,X,O,X,O,X,X
ITJOLSZ,O,O,X,O,X,O
ITJOLZS,O,O,X,O,X,O
ITJOSLZ,O,O,X,O,X,O
ITJOSZL,X,O,X,O,X,O
ITJOZLS,X,O,X,O,X,O
ITJOZSL,X,O,X,O,X,O
ITSLJZO,O,O,X,O,X,X
ITSLJOZ,O,O,X,O,X,X
ITSLZJO,O,O,X,O,X,X
ITSLZOJ,O,O,X,O,O,X
ITSLOJZ,O,O,X,X,X,X
ITSLOZJ,O,O,X,X,O,X
ITSJLZO,O,O,X,O,X,X
ITSJLOZ,O,O,X,O,X,X
ITSJZLO,X,O,X,O,X,X
ITSJZOL,X,O,X,O,O,X
ITSJOLZ,O,O,X,O,X,X
ITSJOZL,X,O,X,O,O,X
ITSZLJO,O,O,X,O,X,X
ITSZLOJ,O,O,X,O,O,X
ITSZJLO,O,O,X,O,X,X
ITSZJOL,X,O,X,O,O,X
ITSZOLJ,O,O,X,O,O,X
ITSZOJL,X,O,X,O,O,X
ITSOLJZ,O,O,X,X,X,O
ITSOLZJ,O,O,X,X,O,O
ITSOJLZ,O,O,X,X,X,O
ITSOJZL,X,O,X,X,O,O
ITSOZLJ,O,O,X,X,O,O
ITSOZJL,X,O,X,X,O,O
ITZLJSO,O,O,X,X,X,X
ITZLJOS,O,O,X,X,X,X
ITZLSJO,O,O,X,X,X,X
ITZLSOJ,O,O,X,X,X,X
ITZLOJS,O,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X
ITZJLSO,X,O,X,X,X,X
ITZJLOS,X,O,X,X,X,X
ITZJSLO,X,O,X,X,X,X
ITZJSOL,X,O,X,X,X,X
ITZJOLS,X,O,X,X,X,X
ITZJOSL,X,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,X,X,O,X
ITZSJLO,X,O,X,X,X,X
ITZSJOL,X,O,X,X,O,X
ITZSOLJ,O,O,X,X,O,X
ITZSOJL,X,O,X,X,O,X
ITZOLJS,O,X,X,X,X,O
ITZOLSJ,O,X,X,X,O,O
ITZOJLS,X,X,X,X,X,O
ITZOJSL,X,X,X,X,X,O
ITZOSLJ,O,X,X,X,O,O
ITZOSJL,X,X,X,X,O,O
ITOLJSZ,O,O,X,X,X,O
ITOLJZS,O,O,X,X,X,O
ITOLSJZ,O,O,X,X,X,O
ITOLSZJ,O,O,X,X,X,O
ITOLZJS,O,X,X,X,X,O
ITOLZSJ,O,X,X,X,X,O
ITOJLSZ,O,O,X,X,X,O
ITOJLZS,O,O,X,X,X,O
ITOJSLZ,O,O,X,X,X,O
ITOJSZL,X,O,X,X,X,O
ITOJZLS,X,O,X,X,X,O
ITOJZSL,X,O,X,X,X,O
ITOSLJZ,O,O,X,X,X,O
ITOSLZJ,O,O,X,X,O,O
ITOSJLZ,O,O,X,X,X,O
ITOSJZL,X,O,X,X,O,O
ITOSZLJ,O,O,X,X,O,O
ITOSZJL,X,O,X,X,O,O
ITOZLJS,O,X,X,X,X,O
ITOZLSJ,O,X,X,X,O,O
ITOZJLS,X,X,X,X,X,O
ITOZJSL,X,X,X,X,X,O
ITOZSLJ,O,X,X,X,O,O
ITOZSJL,X,X,X,X,O,O
ILTJSZO,O,O,O,O,X,X
ILTJSOZ,O,O,O,O,X,X
ILTJZSO,O,O,O,O,X,X
ILTJZOS,O,O,O,X,X,X
ILTJOSZ,O,O,O,O,X,X
ILTJOZS,O,O,O,X,X,X
ILTSJZO,O,O,X,O,X,X
ILTSJOZ,O,O,X,O,X,X
ILTSZJO,O,O,O,O,X,X
ILTSZOJ,O,O,O,O,X,X
ILTSOJZ,O,O,X,X,X,X
ILTSOZJ,O,O,O,X,X,X
ILTZJSO,O,O,O,X,X,X
ILTZJOS,O,O,O,X,X,X
ILTZSJO,O,O,O,X,X,X
ILTZSOJ,O,O,O,X,X,X
ILTZOJS,O,X,O,X,X,X
ILTZOSJ,O,X,O,X,X,X
ILTOJSZ,O,O,O,X,X,O
ILTOJZS,O,O,O,X,X,O
ILTOSJZ,O,O,X,X,X,O
ILTOSZJ,O,O,O,X,X,O
ILTOZJS,O,X,O,X,X,O
ILTOZSJ,O,X,O,X,X,O
ILJTSZO,O,O,O,O,X,X
ILJTSOZ,O,O,O,O,X,X
ILJTZSO,O,O,O,O,X,X
ILJTZOS,O,O,O,X,X,X
ILJTOSZ,O,O,O,O,X,X
ILJTOZS,O,O,O,O,X,X
ILJSTZO,O,O,O,O,X,X
ILJSTOZ,O,O,O,O,X,X
ILJSZTO,O,O,O,O,X,X
ILJSZOT,O,X,O,O,X,X
ILJSOTZ,O,X,O,O,X,X
ILJSOZT,O,X,O,O,X,X
ILJZTSO,O,X,O,O,X,X
ILJZTOS,O,X,O,X,X,X
ILJZSTO,O,X,O,O,X,X
ILJZSOT,O,X,O,O,X,X
ILJZOTS,X,X,O,X,X,X
ILJZOST,X,X,O,X,X,X
ILJOTSZ,O,X,O,O,X,X
ILJOTZS,O,X,O,O,X,X
ILJOSTZ,O,X,O,O,X,X
ILJOSZT,O,X,O,O,X,X
ILJOZTS,X,X,O,O,X,X
ILJOZST,X,X,O,O,X,X
ILSTJZO,O,O,X,O,X,X
ILSTJOZ,O,O,X,O,X,X
ILSTZJO,O,O,O,O,X,X
ILSTZOJ,O,O,O,O,O,X
ILSTOJZ,O,O,X,X,X,X
ILSTOZJ,O,O,O,X,O,X
ILSJTZO,O,O,X,O,X,X
ILSJTOZ,O,O,X,O,X,X
ILSJZTO,O,O,X,O,X,X
ILSJZOT,O,X,X,O,X,X
ILSJOTZ,O,X,X,O,X,X
ILSJOZT,O,X,X,O,X,X
ILSZTJO,O,O,O,O,X,X
ILSZTOJ,O,O,O,O,O,X
ILSZJTO,O,O,O,O,X,X
ILSZJOT,O,X,X,O,X,X
ILSZOTJ,O,X,O,O,O,X
ILSZOJT,O,X,O,O,O,X
ILSOTJZ,O,X,X,X,X,X
ILSOTZJ,O,X,O,X,O,X
ILSOJTZ,O,X,X,O,X,X
ILSOJZT,O,X,X,O,X,X
ILSOZTJ,O,X,O,O,O,X
ILSOZJT,O,X,O,O,O,X
ILZTJSO,O,X,O,X,X,X
ILZTJOS,O,X,O,X,X,X
ILZTSJO,O,X,O,X,X,X
ILZTSOJ,O,X,O,X,X,X
ILZTOJS,O,X,O,X,X,X
ILZTOSJ,O,X,O,X,X,X
ILZJTSO,O,X,O,O,X,X
ILZJTOS,O,X,O,X,X,X
ILZJSTO,O,X,O,O,X,X
ILZJSOT,O,X,O,O,X,X
ILZJOTS,X,X,O,X,X,X
ILZJOST,X,X,O,X,X,X
ILZSTJO,O,X,O,O,X,X
ILZSTOJ,O,X,O,O,O,X
ILZSJTO,O,X,O,O,X,X
ILZSJOT,O,X,O,O,X,X
ILZSOTJ,O,X,O,O,O,X
ILZSOJT,O,X,O,O,O,X
ILZOTJS,X,X,O,X,X,X
ILZOTSJ,X,X,O,X,O,X
ILZOJTS,X,X,O,X,X,X
ILZOJST,X,X,O,X,O,X
ILZOSTJ,X,X,O,X,O,X
ILZOSJT,X,X,O,X,O,X
ILOTJSZ,O,X,O,X,X,O
ILOTJZS,O,X,O,X,X,O
ILOTSJZ,O,X,X,X,X,O
ILOTSZJ,O,X,O,X,X,O
ILOTZJS,O,X,O,X,X,O
ILOTZSJ,O,X,O,X,X,O
ILOJTSZ,O,X,O,O,X,X
ILOJTZS,O,X,O,X,X,X
ILOJSTZ,O,X,O,O,X,X
ILOJSZT,O,X,O,O,X,X
ILOJZTS,X,X,O,X,X,X
ILOJZST,X,X,O,X,X,X
ILOSTJZ,O,X,X,X,X,X
ILOSTZJ,O,X,O,X,O,X
ILOSJTZ,O,X,X,O,X,X
ILOSJZT,O,X,X,O,X,X
ILOSZTJ,O,X,O,O,O,X
ILOSZJT,O,X,O,O,O,X
ILOZTJS,X,X,O,X,X,X
ILOZTSJ,X,X,O,X,O,X
ILOZJTS,X,X,O,X,X,X
ILOZJST,X,X,O,X,O,X
ILOZSTJ,X,X,O,X,O,X
ILOZSJT,X,X,O,X,O,X
IJTLSZO,O,O,O,O,X,X
IJTLSOZ,O,O,O,O,X,X
IJTLZSO,O,O,O,O,X,X
IJTLZOS,O,O,O,X,X,X
IJTLOSZ,O,O,O,O,X,X
IJTLOZS,O,O,O,O,X,X
IJTSLZO,O,O,X,O,X,X
IJTSLOZ,O,O,X,O,X,X
IJTSZLO,X,O,X,O,X,X
IJTSZOL,X,O,X,O,X,X
IJTSOLZ,O,O,X,O,X,X
IJTSOZL,X,O,X,O,X,X
IJTZLSO,X,O,O,O,X,X
IJTZLOS,X,O,O,X,X,X
IJTZSLO,X,O,O,O,X,X
IJTZSOL,X,O,O,O,X,X
IJTZOLS,X,O,O,O,X,X
IJTZOSL,X,O,O,O,X,X
IJTOLSZ,O,O,O,O,X,O
IJTOLZS,O,O,O,O,X,O
IJTOSLZ,O,O,X,O,X,O
IJTOSZL,X,O,O,O,X,O
IJTOZLS,X,O,O,O,X,O
IJTOZSL,X,O,O,O,X,O
IJLTSZO,O,O,O,O,X,X
IJLTSOZ,O,O,O,O,X,X
IJLTZSO,O,O,O,O,X,X
IJLTZOS,O,O,O,X,X,X
IJLTOSZ,O,O,O,O,X,X
IJLTOZS,O,O,O,O,X,X
IJLSTZO,O,O,O,O,X,X
IJLSTOZ,O,O,O,O,X,X
IJLSZTO,O,O,O,O,X,X
IJLSZOT,O,X,O,O,X,X
IJLSOTZ,O,X,O,O,X,X
IJLSOZT,O,X,O,O,X,X
IJLZTSO,O,X,O,O,X,X
IJLZTOS,O,X,O,X,X,X
IJLZSTO,O,X,O,O,X,X
IJLZSOT,O,X,O,O,X,X
IJLZOTS,X,X,O,X,X,X
IJLZOST,X,X,O,X,X,X
IJLOTSZ,O,X,O,O,X,X
IJLOTZS,O,X,O,O,X,X
IJLOSTZ,O,X,O,O,X,X
IJLOSZT,O,X,O,O,X,X
IJLOZTS,X,X,O,O,X,X
IJLOZST,X,X,O,O,X,X
IJSTLZO,O,O,X,O,X,X
IJSTLOZ,O,O,X,O,X,X
IJSTZLO,X,O,X,O,X,X
IJSTZOL,X,O,X,O,O,X
IJSTOLZ,O,O,X,O,X,X
IJSTOZL,X,O,X,O,O,X
IJSLTZO,O,O,O,O,X,X
IJSLTOZ,O,O,O,O,X,X
IJSLZTO,O,O,O,O,X,X
IJSLZOT,O,X,O,O,X,X
IJSLOTZ,O,X,O,O,X,X
IJSLOZT,O,X,O,O,X,X
IJSZTLO,O,O,O,O,X,X
IJSZTOL,X,O,O,O,O,X
IJSZLTO,O,O,O,O,X,X
IJSZLOT,O,X,O,O,X,X
IJSZOTL,X,O,O,O,O,X
IJSZOLT,O,X,O,O,O,X
IJSOTLZ,X,O,X,O,X,X
IJSOTZL,X,O,O,O,O,X
IJSOLTZ,X,X,O,O,X,X
IJSOLZT,X,X,O,O,X,X
IJSOZTL,X,O,O,O,O,X
IJSOZLT,X,X,O,O,O,X
IJZTLSO,X,O,O,O,X,X
IJZTLOS,X,O,O,X,X,X
IJZTSLO,X,O,O,O,X,X
IJZTSOL,X,O,O,O,X,X
IJZTOLS,X,O,O,O,X,X
IJZTOSL,X,O,O,O,X,X
IJZLTSO,X,X,O,O,X,X
IJZLTOS,X,X,O,X,X,X
IJZLSTO,X,X,O,O,X,X
IJZLSOT,X,X,O,O,X,X
IJZLOTS,X,X,O,X,X,X
IJZLOST,X,X,O,X,X,X
IJZSTLO,X,O,O,O,X,X
IJZSTOL,X,O,O,O,O,X
IJZSLTO,X,O,O,O,X,X
IJZSLOT,X,X,O,O,X,X
IJZSOTL,X,O,O,O,O,X
IJZSOLT,X,X,O,O,O,X
IJZOTLS,X,X,O,O,X,X
IJZOTSL,X,X,O,O,X,X
IJZOLTS,X,X,O,O,X,X
IJZOLST,X,X,O,O,O,X
IJZOSTL,X,X,O,O,O,X
IJZOSLT,X,X,O,O,O,X
IJOTLSZ,X,O,O,O,X,O
IJOTLZS,X,O,O,O,X,O
IJOTSLZ,X,O,X,O,X,O
IJOTSZL,X,O,O,O,X,O
IJOTZLS,X,O,O,O,X,O
IJOTZSL,X,O,O,O,X,O
IJOLTSZ,X,X,O,O,X,X
IJOLTZS,X,X,O,O,X,X
IJOLSTZ,X,X,O,O,X,X
IJOLSZT,X,X,O,O,X,X
IJOLZTS,X,X,O,O,X,X
IJOLZST,X,X,O,O,X,X
IJOSTLZ,X,O,X,O,X,X
IJOSTZL,X,O,O,O,O,X
IJOSLTZ,X,X,O,O,X,X
IJOSLZT,X,X,O,O,X,X
IJOSZTL,X,O,O,O,O,X
IJOSZLT,X,X,O,O,O,X
IJOZTLS,X,X,O,O,X,X
IJOZTSL,X,X,O,O,X,X
IJOZLTS,X,X,O,O,X,X
IJOZLST,X,X,O,O,O,X
IJOZSTL,X,X,O,O,O,X
IJOZSLT,X,X,O,O,O,X
ISTLJZO,O,O,X,O,X,X
ISTLJOZ,O,O,X,O,X,X
ISTLZJO,O,O,X,O,X,X
ISTLZOJ,O,O,X,O,O,X
ISTLOJZ,O,O,X,X,X,X
ISTLOZJ,O,O,X,X,O,X
ISTJLZO,O,O,X,O,X,X
ISTJLOZ,O,O,X,O,X,X
ISTJZLO,X,O,X,O,X,X
ISTJZOL,X,O,X,O,O,X
ISTJOLZ,O,O,X,O,X,X
ISTJOZL,X,O,X,O,O,X
ISTZLJO,O,O,X,O,X,X
ISTZLOJ,O,O,X,O,O,X
ISTZJLO,O,O,X,O,X,X
ISTZJOL,X,O,X,O,O,X
ISTZOLJ,O,O,X,O,O,X
ISTZOJL,X,O,X,O,O,X
ISTOLJZ,O,O,X,X,X,O
ISTOLZJ,O,O,X,X,O,O
ISTOJLZ,O,O,X,X,X,O
ISTOJZL,X,O,X,X,O,O
ISTOZLJ,O,O,X,X,O,O
ISTOZJL,X,O,X,X,O,O
ISLTJZO,O,O,X,O,X,X
ISLTJOZ,O,O,X,O,X,X
ISLTZJO,O,O,X,O,X,X
ISLTZOJ,O,O,X,O,O,X
ISLTOJZ,O,O,X,X,X,X
ISLTOZJ,O,O,X,X,O,X
ISLJTZO,O,O,X,O,X,X
ISLJTOZ,O,O,X,O,X,X
ISLJZTO,O,O,X,O,X,X
ISLJZOT,O,X,X,O,X,X
ISLJOTZ,O,X,X,O,X,X
ISLJOZT,O,X,X,O,X,X
ISLZTJO,O,O,X,O,X,X
ISLZTOJ,O,O,X,O,O,X
ISLZJTO,O,O,X,O,X,X
ISLZJOT,O,X,X,O,X,X
ISLZOTJ,O,X,X,O,O,X
ISLZOJT,O,X,X,O,O,X
ISLOTJZ,O,X,X,X,X,X
ISLOTZJ,O,X,X,X,O,X
ISLOJTZ,O,X,X,O,X,X
ISLOJZT,O,X,X,O,X,X
ISLOZTJ,O,X,X,O,O,X
ISLOZJT,O,X,X,O,O,X
ISJTLZO,O,O,X,O,X,X
ISJTLOZ,O,O,X,O,X,X
ISJTZLO,X,O,X,O,X,X
ISJTZOL,X,O,X,O,O,X
ISJTOLZ,O,O,X,O,X,X
ISJTOZL,X,O,X,O,O,X
ISJLTZO,O,O,X,O,X,X
ISJLTOZ,O,O,X,O,X,X
ISJLZTO,O,O,X,O,X,X
ISJLZOT,O,X,X,O,X,X
ISJLOTZ,O,X,X,O,X,X
ISJLOZT,O,X,X,O,X,X
ISJZTLO,O,O,X,O,X,X
ISJZTOL,X,O,X,O,O,X
ISJZLTO,O,O,X,O,X,X
ISJZLOT,O,X,X,O,X,X
ISJZOTL,X,O,X,O,O,X
ISJZOLT,O,X,X,O,O,X
ISJOTLZ,X,O,X,O,X,X
ISJOTZL,X,O,X,O,O,X
ISJOLTZ,X,X,X,O,X,X
ISJOLZT,X,X,X,O,X,X
ISJOZTL,X,O,X,O,O,X
ISJOZLT,X,X,X,O,O,X
ISZTLJO,O,O,X,O,X,X
ISZTLOJ,O,O,X,O,O,X
ISZTJLO,O,O,X,O,X,X
ISZTJOL,X,O,X,O,O,X
ISZTOLJ,O,O,X,O,O,X
ISZTOJL,X,O,X,O,O,X
ISZLTJO,O,O,X,O,X,X
ISZLTOJ,O,O,X,O,O,X
ISZLJTO,O,O,X,O,X,X
ISZLJOT,O,X,X,O,X,X
ISZLOTJ,O,X,X,O,O,X
ISZLOJT,O,X,X,O,O,X
ISZJTLO,O,O,X,O,X,X
ISZJTOL,X,O,X,O,O,X
ISZJLTO,O,O,X,O,X,X
ISZJLOT,O,X,X,O,X,X
ISZJOTL,X,O,X,O,O,X
ISZJOLT,O,X,X,O,O,X
ISZOTLJ,X,O,X,O,O,X
ISZOTJL,X,O,X,O,O,X
ISZOLTJ,O,X,X,O,O,X
ISZOLJT,O,X,X,O,O,X
ISZOJTL,X,O,X,O,O,X
ISZOJLT,O,X,X,O,O,X
ISOTLJZ,O,O,X,X,X,O
ISOTLZJ,O,O,X,X,O,O
ISOTJLZ,O,O,X,X,X,O
ISOTJZL,X,O,X,X,O,O
ISOTZLJ,O,O,X,X,O,O
ISOTZJL,X,O,X,X,O,O
ISOLTJZ,O,X,X,X,X,X
ISOLTZJ,O,X,X,X,O,X
ISOLJTZ,O,X,X,O,X,X
ISOLJZT,O,X,X,O,X,X
ISOLZTJ,O,X,X,O,O,X
ISOLZJT,O,X,X,O,O,X
ISOJTLZ,X,O,X,O,X,X
ISOJTZL,X,O,X,O,O,X
ISOJLTZ,X,X,X,O,X,X
ISOJLZT,X,X,X,O,X,X
ISOJZTL,X,O,X,O,O,X
ISOJZLT,X,X,X,O,O,X
ISOZTLJ,X,O,X,O,O,X
ISOZTJL,X,O,X,O,O,X
ISOZLTJ,O,X,X,O,O,X
ISOZLJT,O,X,X,O,O,X
ISOZJTL,X,O,X,O,O,X
ISOZJLT,O,X,X,O,O,X
IZTLJSO,O,O,X,X,X,X
IZTLJOS,O,O,X,X,X,X
IZTLSJO,O,O,X,X,X,X
IZTLSOJ,O,O,X,X,X,X
IZTLOJS,O,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X
IZTJLSO,X,O,X,X,X,X
IZTJLOS,X,O,X,X,X,X
IZTJSLO,X,O,X,X,X,X
IZTJSOL,X,O,X,X,X,X
IZTJOLS,X,O,X,X,X,X
IZTJOSL,X,O,X,X,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,O,X,X,O,X
IZTSJLO,X,O,X,X,X,X
IZTSJOL,X,O,X,X,O,X
IZTSOLJ,O,O,X,X,O,X
IZTSOJL,X,O,X,X,O,X
IZTOLJS,O,X,X,X,X,O
IZTOLSJ,O,X,X,X,O,O
IZTOJLS,X,X,X,X,X,O
IZTOJSL,X,X,X,X,X,O
IZTOSLJ,O,X,X,X,O,O
IZTOSJL,X,X,X,X,O,O
IZLTJSO,O,X,O,X,X,X
IZLTJOS,O,X,O,X,X,X
IZLTSJO,O,X,O,X,X,X
IZLTSOJ,O,X,O,X,X,X
IZLTOJS,O,X,O,X,X,X
IZLTOSJ,O,X,O,X,X,X
IZLJTSO,O,X,O,O,X,X
IZLJTOS,O,X,O,X,X,X
IZLJSTO,O,X,O,O,X,X
IZLJSOT,O,X,O,O,X,X
IZLJOTS,X,X,O,X,X,X
IZLJOST,X,X,O,X,X,X
IZLSTJO,O,X,O,O,X,X
IZLSTOJ,O,X,O,O,O,X
IZLSJTO,O,X,O,O,X,X
IZLSJOT,O,X,O,O,X,X
IZLSOTJ,O,X,O,O,O,X
IZLSOJT,O,X,O,O,O,X
IZLOTJS,X,X,O,X,X,X
IZLOTSJ,X,X,O,X,O,X
IZLOJTS,X,X,O,X,X,X
IZLOJST,X,X,O,X,O,X
IZLOSTJ,X,X,O,X,O,X
IZLOSJT,X,X,O,X,O,X
IZJTLSO,X,O,O,O,X,X
IZJTLOS,X,O,O,X,X,X
IZJTSLO,X,O,O,O,X,X
IZJTSOL,X,O,O,O,X,X
IZJTOLS,X,O,O,O,X,X
IZJTOSL,X,O,O,O,X,X
IZJLTSO,X,X,O,O,X,X
IZJLTOS,X,X,O,X,X,X
IZJLSTO,X,X,O,O,X,X
IZJLSOT,X,X,O,O,X,X
IZJLOTS,X,X,O,X,X,X
IZJLOST,X,X,O,X,X,X
IZJSTLO,X,O,O,O,X,X
IZJSTOL,X,O,O,O,O,X
IZJSLTO,X,O,O,O,X,X
IZJSLOT,X,X,O,O,X,X
IZJSOTL,X,O,O,O,O,X
IZJSOLT,X,X,O,O,O,X
IZJOTLS,X,X,O,O,X,X
IZJOTSL,X,X,O,O,X,X
IZJOLTS,X,X,O,O,X,X
IZJOLST,X,X,O,O,O,X
IZJOSTL,X,X,O,O,O,X
IZJOSLT,X,X,O,O,O,X
IZSTLJO,O,O,X,O,X,X
IZSTLOJ,O,O,X,O,O,X
IZSTJLO,O,O,O,O,X,X
IZSTJOL,X,O,O,O,O,X
IZSTOLJ,O,O,X,O,O,X
IZSTOJL,X,O,X,O,O,X
IZSLTJO,O,O,O,O,X,X
IZSLTOJ,O,O,O,O,O,X
IZSLJTO,O,O,O,O,X,X
IZSLJOT,O,X,O,O,X,X
IZSLOTJ,O,X,O,O,O,X
IZSLOJT,O,X,X,O,O,X
IZSJTLO,O,O,O,O,X,X
IZSJTOL,X,O,O,O,O,X
IZSJLTO,O,O,O,O,X,X
IZSJLOT,O,X,O,O,X,X
IZSJOTL,X,O,O,O,O,X
IZSJOLT,O,X,O,O,O,X
IZSOTLJ,X,O,X,O,O,X
IZSOTJL,X,O,X,O,O,X
IZSOLTJ,O,X,X,O,O,X
IZSOLJT,O,X,X,O,O,X
IZSOJTL,X,O,X,O,O,X
IZSOJLT,O,X,X,O,O,X
IZOTLJS,X,X,X,X,X,O
IZOTLSJ,X,X,X,X,O,O
IZOTJLS,X,X,O,X,X,O
IZOTJSL,X,X,O,X,X,O
IZOTSLJ,X,X,X,X,O,O
IZOTSJL,X,X,O,X,O,O
IZOLTJS,X,X,O,X,X,X
IZOLTSJ,X,X,O,X,O,X
IZOLJTS,X,X,O,X,X,X
IZOLJST,X,X,O,X,O,X
IZOLSTJ,X,X,O,X,O,X
IZOLSJT,X,X,O,X,O,X
IZOJTLS,X,X,O,X,X,X
IZOJTSL,X,X,O,X,X,X
IZOJLTS,X,X,O,X,X,X
IZOJLST,X,X,O,X,O,X
IZOJSTL,X,X,O,X,O,X
IZOJSLT,X,X,O,X,O,X
IZOSTLJ,X,X,X,X,O,X
IZOSTJL,X,X,O,X,O,X
IZOSLTJ,X,X,O,X,O,X
IZOSLJT,X,X,O,X,O,X
IZOSJTL,X,X,O,X,O,X
IZOSJLT,X,X,O,X,O,X
IOTLJSZ,O,O,X,X,X,O
IOTLJZS,O,O,X,X,X,O
IOTLSJZ,O,O,X,X,X,O
IOTLSZJ,O,O,X,X,X,O
IOTLZJS,O,X,X,X,X,O
IOTLZSJ,O,X,X,X,X,O
IOTJLSZ,O,O,O,X,X,O
IOTJLZS,O,O,O,X,X,O
IOTJSLZ,O,O,X,X,X,O
IOTJSZL,X,O,O,X,X,O
IOTJZLS,X,O,O,X,X,O
IOTJZSL,X,O,O,X,X,O
IOTSLJZ,O,O,X,X,X,O
IOTSLZJ,O,O,X,X,O,O
IOTSJLZ,O,O,X,X,X,O
