sequence,v115@UhC8DeI8Ke0/IvhFlgB3hBaoB5oB2uBTsB,v115@UhC8DeI8KeOEJvhF0gBlhB3iB5oBzpByxB,v115@UhC8DeI8KeT/IvhFlgB3hBcnBeoB5oByuB,v115@UhC8DeI8KeKEJvhFflB0gBlhBziB5oB2xB
TLSOJZI,X,O,X,X
TLSOZIJ,X,O,X,X
TLSOZJI,X,O,O,X
TLZIJSO,X,O,X,X
TLZIJOS,X,X,X,X
TLZISJO,X,O,X,X
TLZISOJ,X,O,X,X
TLZIOJS,X,O,X,X
TLZIOSJ,X,O,X,X
TLZJISO,X,O,O,X
TLZJIOS,X,X,O,X
TLZJSIO,X,O,O,X
TLZJSOI,X,X,O,X
TLZJOIS,X,X,O,X
TLZJOSI,X,X,O,X
TLZSIJO,X,O,X,X
TLZSIOJ,X,O,X,X
TLZSJIO,X,O,O,X
TLZSJOI,X,X,O,X
TLZSOIJ,X,O,X,X
TLZSOJI,X,O,O,X
TLZOIJS,X,O,X,X
TLZOISJ,X,O,X,X
TLZOJIS,X,O,O,X
TLZOJSI,X,O,O,X
TLZOSIJ,X,O,X,X
TLZOSJI,X,O,O,X
TLOIJSZ,X,O,X,X
TLOIJZS,X,O,O,X
TLOISJZ,X,O,X,X
TLOISZJ,X,O,X,X
TLOIZJS,X,O,X,X
TLOIZSJ,X,O,X,X
TLOJISZ,X,O,X,X
TLOJIZS,X,O,O,X
TLOJSIZ,X,O,X,X
TLOJSZI,X,O,X,X
TLOJZIS,X,O,O,X
TLOJZSI,X,O,O,X
TLOSIJZ,X,O,X,X
TLOSIZJ,X,O,X,X
TLOSJIZ,X,O,X,X
TLOSJZI,X,O,X,X
TLOSZIJ,X,O,X,X
TLOSZJI,X,O,O,X
TLOZIJS,X,O,X,X
TLOZISJ,X,O,X,X
TLOZJIS,X,O,O,X
TLOZJSI,X,O,O,X
TLOZSIJ,X,O,X,X
TLOZSJI,X,O,O,X
TJILSZO,O,O,X,O
TJILSOZ,X,X,X,O
TJILZSO,O,O,O,X
TJILZOS,X,X,O,X
TJILOSZ,X,X,X,O
TJILOZS,X,X,O,X
TJISLZO,O,X,X,X
TJISLOZ,X,X,X,X
TJISZLO,O,X,X,X
TJISZOL,O,X,X,X
TJISOLZ,O,X,X,X
TJISOZL,O,X,X,X
TJIZLSO,O,O,O,X
TJIZLOS,X,X,O,X
TJIZSLO,O,X,O,X
TJIZSOL,O,X,X,X
TJIZOLS,O,X,X,X
TJIZOSL,O,X,X,X
TJIOLSZ,O,X,X,O
TJIOLZS,O,X,X,X
TJIOSLZ,O,X,X,X
TJIOSZL,O,X,X,X
TJIOZLS,O,X,X,X
TJIOZSL,O,X,X,X
TJLISZO,O,O,X,O
TJLISOZ,X,X,X,O
TJLIZSO,O,O,O,X
TJLIZOS,X,X,O,X
TJLIOSZ,X,X,X,O
TJLIOZS,X,X,O,X
TJLSIZO,O,O,X,O
TJLSIOZ,X,X,X,O
TJLSZIO,O,O,X,O
TJLSZOI,X,X,X,O
TJLSOIZ,X,X,X,O
TJLSOZI,X,X,X,O
TJLZISO,O,O,O,X
TJLZIOS,X,X,O,X
TJLZSIO,O,O,O,X
TJLZSOI,X,X,O,X
TJLZOIS,X,X,O,X
TJLZOSI,X,X,O,X
TJLOISZ,X,X,X,O
TJLOIZS,X,X,O,X
TJLOSIZ,X,X,X,O
TJLOSZI,X,X,X,O
TJLOZIS,X,X,O,X
TJLOZSI,X,X,O,X
TJSILZO,O,X,X,X
TJSILOZ,X,X,X,X
TJSIZLO,O,X,X,X
TJSIZOL,O,X,X,X
TJSIOLZ,O,X,X,X
TJSIOZL,O,X,X,X
TJSLIZO,O,X,X,X
TJSLIOZ,X,X,X,X
TJSLZIO,O,X,X,X
TJSLZOI,X,X,X,X
TJSLOIZ,X,X,X,X
TJSLOZI,X,X,X,X
TJSZILO,O,X,X,X
TJSZIOL,O,X,X,X
TJSZLIO,O,X,X,X
TJSZLOI,X,X,X,X
TJSZOIL,O,X,X,X
TJSZOLI,O,X,X,X
TJSOILZ,O,X,X,X
TJSOIZL,O,X,X,X
TJSOLIZ,O,X,X,X
TJSOLZI,O,X,X,X
TJSOZIL,O,X,X,X
TJSOZLI,O,X,X,X
TJZILSO,O,O,O,X
TJZILOS,X,X,O,X
TJZISLO,O,X,O,X
TJZISOL,O,X,X,X
TJZIOLS,O,X,X,X
TJZIOSL,O,X,X,X
TJZLISO,O,O,O,X
TJZLIOS,X,X,O,X
TJZLSIO,O,O,O,X
TJZLSOI,X,X,O,X
TJZLOIS,X,X,O,X
TJZLOSI,X,X,O,X
TJZSILO,O,X,O,X
TJZSIOL,O,X,X,X
TJZSLIO,O,X,O,X
TJZSLOI,X,X,O,X
TJZSOIL,O,X,X,X
TJZSOLI,O,X,X,X
TJZOILS,O,X,X,X
TJZOISL,O,X,X,X
TJZOLIS,O,X,X,X
TJZOLSI,O,X,X,X
TJZOSIL,O,X,X,X
TJZOSLI,O,X,X,X
TJOILSZ,O,X,X,O
TJOILZS,O,X,X,X
TJOISLZ,O,X,X,X
TJOISZL,O,X,X,X
TJOIZLS,O,X,X,X
TJOIZSL,O,X,X,X
TJOLISZ,O,X,X,O
TJOLIZS,O,X,X,X
TJOLSIZ,O,X,X,O
TJOLSZI,O,X,X,O
TJOLZIS,O,X,X,X
TJOLZSI,O,X,X,X
TJOSILZ,O,X,X,X
TJOSIZL,O,X,X,X
TJOSLIZ,O,X,X,X
TJOSLZI,O,X,X,X
TJOSZIL,O,X,X,X
TJOSZLI,O,X,X,X
TJOZILS,O,X,X,X
TJOZISL,O,X,X,X
TJOZLIS,O,X,X,X
TJOZLSI,O,X,X,X
TJOZSIL,O,X,X,X
TJOZSLI,O,X,X,X
TSILJZO,O,X,X,X
TSILJOZ,X,X,X,X
TSILZJO,X,X,X,X
TSILZOJ,X,X,X,X
TSILOJZ,X,X,X,X
TSILOZJ,X,X,X,X
TSIJLZO,O,X,X,X
TSIJLOZ,X,X,X,X
TSIJZLO,O,X,X,X
TSIJZOL,O,X,X,X
TSIJOLZ,O,X,X,X
TSIJOZL,O,X,X,X
TSIZLJO,X,X,X,X
TSIZLOJ,X,X,X,X
TSIZJLO,X,X,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,X
TSIZOJL,X,X,X,X
TSIOLJZ,O,X,X,X
TSIOLZJ,X,X,X,X
TSIOJLZ,O,X,X,X
TSIOJZL,O,X,X,X
TSIOZLJ,X,X,X,X
TSIOZJL,X,X,X,X
TSLIJZO,O,X,X,X
TSLIJOZ,X,X,X,X
TSLIZJO,X,X,X,X
TSLIZOJ,X,X,X,X
TSLIOJZ,X,X,X,X
TSLIOZJ,X,X,X,X
TSLJIZO,O,X,X,X
TSLJIOZ,X,X,X,X
TSLJZIO,O,X,X,X
TSLJZOI,X,X,X,X
TSLJOIZ,X,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,X,X,X,X
TSLZIOJ,X,X,X,X
TSLZJIO,X,X,O,X
TSLZJOI,X,X,O,X
TSLZOIJ,X,X,X,X
TSLZOJI,X,X,O,X
TSLOIJZ,X,X,X,X
TSLOIZJ,X,X,X,X
TSLOJIZ,X,X,X,X
TSLOJZI,X,X,X,X
TSLOZIJ,X,X,X,X
TSLOZJI,X,X,O,X
TSJILZO,O,X,X,X
TSJILOZ,X,X,X,X
TSJIZLO,O,X,X,X
TSJIZOL,O,X,X,X
TSJIOLZ,O,X,X,X
TSJIOZL,O,X,X,X
TSJLIZO,O,X,X,X
TSJLIOZ,X,X,X,X
TSJLZIO,O,X,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,X,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,O,X,X,X
TSJZIOL,O,X,X,X
TSJZLIO,O,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,O,X,X,X
TSJZOLI,O,X,X,X
TSJOILZ,O,X,X,X
TSJOIZL,O,X,X,X
TSJOLIZ,O,X,X,X
TSJOLZI,O,X,X,X
TSJOZIL,O,X,X,X
TSJOZLI,O,X,X,X
TSZILJO,X,X,X,X
TSZILOJ,X,X,X,X
TSZIJLO,X,X,X,X
TSZIJOL,X,X,X,X
TSZIOLJ,X,X,X,X
TSZIOJL,X,X,X,X
TSZLIJO,X,X,X,X
TSZLIOJ,X,X,X,X
TSZLJIO,X,X,O,X
TSZLJOI,X,X,O,X
