sequence,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlBliB5oB3mBys?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlB/nBaoB5oB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOEJvhFXgBynB5oB1rB0n?BzpB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhF/nBaoB5oBTkB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhFliB5oBTkB3mBys?B0pB
TOZSJIL,X,O,O,O,X
TOZSJLI,X,O,O,O,X
ITLJSZO,O,O,O,O,X
ITLJSOZ,X,O,O,O,X
ITLJZSO,O,O,O,X,X
ITLJZOS,O,O,X,X,X
ITLJOSZ,X,X,O,O,X
ITLJOZS,O,X,O,X,X
ITLSJZO,O,O,O,O,X
ITLSJOZ,X,O,O,O,X
ITLSZJO,O,O,O,O,X
ITLSZOJ,O,O,X,O,X
ITLSOJZ,X,O,O,O,X
ITLSOZJ,X,O,O,O,X
ITLZJSO,O,O,O,X,X
ITLZJOS,O,O,X,X,X
ITLZSJO,O,O,O,X,X
ITLZSOJ,O,O,X,X,X
ITLZOJS,O,O,O,X,X
ITLZOSJ,O,O,O,X,X
ITLOJSZ,X,X,O,O,X
ITLOJZS,O,X,O,X,X
ITLOSJZ,X,X,O,O,X
ITLOSZJ,X,X,O,O,X
ITLOZJS,O,X,O,X,X
ITLOZSJ,O,X,O,X,X
ITJLSZO,O,O,O,O,X
ITJLSOZ,X,O,O,O,X
ITJLZSO,O,O,O,X,X
ITJLZOS,O,O,X,X,X
ITJLOSZ,X,X,O,O,X
ITJLOZS,O,X,O,X,X
ITJSLZO,O,O,O,O,O
ITJSLOZ,O,O,O,O,O
ITJSZLO,O,O,O,O,X
ITJSZOL,O,O,X,O,X
ITJSOLZ,X,O,O,O,O
ITJSOZL,O,O,X,O,X
ITJZLSO,O,O,O,X,X
ITJZLOS,O,O,X,X,X
ITJZSLO,O,O,O,O,X
ITJZSOL,O,O,X,O,X
ITJZOLS,O,O,X,X,X
ITJZOSL,O,O,X,O,X
ITJOLSZ,X,X,O,O,X
ITJOLZS,X,X,O,X,X
ITJOSLZ,X,O,O,O,O
ITJOSZL,X,O,O,O,X
ITJOZLS,X,O,O,X,X
ITJOZSL,X,O,O,O,X
ITSLJZO,O,O,O,O,O
ITSLJOZ,O,O,O,O,O
ITSLZJO,O,O,O,O,O
ITSLZOJ,O,O,X,O,O
ITSLOJZ,O,O,O,O,O
ITSLOZJ,O,O,O,O,O
ITSJLZO,O,O,O,O,O
ITSJLOZ,O,O,O,O,O
ITSJZLO,O,O,O,O,X
ITSJZOL,O,O,X,O,X
ITSJOLZ,X,O,O,O,O
ITSJOZL,O,O,X,O,X
ITSZLJO,O,O,O,O,X
ITSZLOJ,O,O,X,O,X
ITSZJLO,O,O,O,O,X
ITSZJOL,O,O,X,O,X
ITSZOLJ,O,O,X,O,X
ITSZOJL,O,O,X,O,X
ITSOLJZ,X,O,O,O,O
ITSOLZJ,X,O,O,O,O
ITSOJLZ,X,O,O,O,O
ITSOJZL,O,O,O,O,X
ITSOZLJ,O,O,O,O,X
ITSOZJL,O,O,O,O,X
ITZLJSO,O,O,O,X,X
ITZLJOS,O,O,X,X,X
ITZLSJO,O,O,O,X,X
ITZLSOJ,O,O,X,X,X
ITZLOJS,O,O,O,X,X
ITZLOSJ,O,O,O,X,X
ITZJLSO,O,O,O,X,X
ITZJLOS,O,O,X,X,X
ITZJSLO,O,O,O,O,X
ITZJSOL,O,O,X,O,X
ITZJOLS,O,O,X,X,X
ITZJOSL,O,O,X,O,X
ITZSLJO,O,O,O,O,X
ITZSLOJ,O,O,X,O,X
ITZSJLO,O,O,O,O,X
ITZSJOL,O,O,X,O,X
ITZSOLJ,O,O,X,O,X
ITZSOJL,O,O,X,O,X
ITZOLJS,O,O,O,X,X
ITZOLSJ,O,O,O,X,X
ITZOJLS,O,O,O,X,X
ITZOJSL,O,O,O,O,X
ITZOSLJ,O,O,O,O,X
ITZOSJL,O,O,O,O,X
ITOLJSZ,X,X,O,O,X
ITOLJZS,X,X,O,X,X
ITOLSJZ,X,X,O,O,X
ITOLSZJ,X,X,O,O,X
ITOLZJS,X,X,O,X,X
ITOLZSJ,X,X,O,X,X
ITOJLSZ,X,X,O,O,X
ITOJLZS,X,X,O,X,X
ITOJSLZ,X,O,O,O,O
ITOJSZL,X,O,O,O,X
ITOJZLS,X,O,O,X,X
ITOJZSL,X,O,O,O,X
ITOSLJZ,X,O,O,O,O
ITOSLZJ,X,O,O,O,O
ITOSJLZ,X,O,O,O,O
ITOSJZL,X,O,O,O,X
ITOSZLJ,X,O,O,O,X
ITOSZJL,X,O,O,O,X
ITOZLJS,X,O,O,X,X
ITOZLSJ,X,O,O,X,X
ITOZJLS,X,O,O,X,X
ITOZJSL,X,O,O,O,X
ITOZSLJ,X,O,O,O,X
ITOZSJL,X,O,O,O,X
ILTJSZO,O,O,O,O,X
ILTJSOZ,X,O,O,O,X
ILTJZSO,O,O,O,X,X
ILTJZOS,O,O,X,X,X
ILTJOSZ,X,X,O,O,X
ILTJOZS,O,X,O,X,X
ILTSJZO,O,O,O,O,X
ILTSJOZ,X,O,O,O,X
ILTSZJO,O,O,O,O,X
ILTSZOJ,O,O,X,O,X
ILTSOJZ,X,O,O,O,X
ILTSOZJ,X,O,O,O,X
ILTZJSO,O,O,O,X,X
ILTZJOS,O,O,X,X,X
ILTZSJO,O,O,O,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,O,O,O,X,X
ILTZOSJ,O,O,O,X,X
ILTOJSZ,X,X,O,O,X
ILTOJZS,O,X,O,X,X
ILTOSJZ,X,X,O,O,X
ILTOSZJ,X,X,O,O,X
ILTOZJS,O,X,O,X,X
ILTOZSJ,O,X,O,X,X
ILJTSZO,O,O,O,O,X
ILJTSOZ,X,O,O,O,X
ILJTZSO,O,O,O,X,X
ILJTZOS,O,O,X,X,X
ILJTOSZ,X,X,O,O,X
ILJTOZS,O,X,X,X,X
ILJSTZO,O,X,O,X,O
ILJSTOZ,O,X,O,X,O
ILJSZTO,O,X,X,X,O
ILJSZOT,O,X,X,X,O
ILJSOTZ,O,X,X,X,O
ILJSOZT,O,X,X,X,O
ILJZTSO,O,O,X,X,X
ILJZTOS,O,O,X,X,X
ILJZSTO,O,X,X,X,X
ILJZSOT,O,X,X,X,X
ILJZOTS,O,O,X,X,X
ILJZOST,O,X,X,X,X
ILJOTSZ,X,X,X,O,X
ILJOTZS,O,X,X,X,X
ILJOSTZ,X,X,X,X,O
ILJOSZT,X,X,X,X,O
ILJOZTS,O,X,X,X,X
ILJOZST,O,X,X,X,X
ILSTJZO,O,X,O,X,O
ILSTJOZ,O,X,O,X,O
ILSTZJO,O,X,O,X,O
ILSTZOJ,O,X,X,X,O
ILSTOJZ,O,X,O,X,O
ILSTOZJ,O,X,X,X,O
ILSJTZO,O,X,O,X,O
ILSJTOZ,O,X,O,X,O
ILSJZTO,O,X,X,X,O
ILSJZOT,O,X,X,X,O
ILSJOTZ,O,X,X,X,O
ILSJOZT,O,X,X,X,O
ILSZTJO,O,X,X,X,O
ILSZTOJ,O,X,X,X,O
ILSZJTO,O,X,X,X,O
ILSZJOT,O,X,X,X,O
ILSZOTJ,O,X,X,X,O
ILSZOJT,O,X,X,X,O
ILSOTJZ,O,X,X,X,O
ILSOTZJ,O,X,X,X,O
ILSOJTZ,O,X,X,X,O
ILSOJZT,O,X,X,X,O
ILSOZTJ,O,X,X,X,O
ILSOZJT,O,X,X,X,O
ILZTJSO,O,O,X,X,X
ILZTJOS,O,O,X,X,X
ILZTSJO,O,O,X,X,X
ILZTSOJ,O,O,X,X,X
ILZTOJS,O,O,X,X,X
ILZTOSJ,O,O,X,X,X
ILZJTSO,O,O,X,X,X
ILZJTOS,O,O,X,X,X
ILZJSTO,O,X,X,X,X
ILZJSOT,O,X,X,X,X
ILZJOTS,O,O,X,X,X
ILZJOST,O,X,X,X,X
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,X,X,X,X
ILZSJTO,O,X,X,X,X
ILZSJOT,O,X,X,X,X
ILZSOTJ,O,X,X,X,X
ILZSOJT,O,X,X,X,X
ILZOTJS,O,O,X,X,X
ILZOTSJ,O,O,X,X,X
ILZOJTS,O,O,X,X,X
ILZOJST,O,X,X,X,X
ILZOSTJ,O,X,X,X,X
ILZOSJT,O,X,X,X,X
ILOTJSZ,X,X,O,O,X
ILOTJZS,O,X,O,X,X
ILOTSJZ,X,X,O,O,X
ILOTSZJ,X,X,O,O,X
ILOTZJS,O,X,O,X,X
ILOTZSJ,O,X,O,X,X
ILOJTSZ,X,X,O,O,X
ILOJTZS,O,X,O,X,X
ILOJSTZ,X,X,O,X,O
ILOJSZT,X,X,X,X,O
ILOJZTS,O,X,X,X,X
ILOJZST,O,X,X,X,X
ILOSTJZ,X,X,O,X,O
ILOSTZJ,X,X,O,X,O
ILOSJTZ,X,X,O,X,O
ILOSJZT,X,X,X,X,O
ILOSZTJ,X,X,X,X,O
ILOSZJT,X,X,X,X,O
ILOZTJS,O,X,X,X,X
ILOZTSJ,O,X,X,X,X
ILOZJTS,O,X,X,X,X
ILOZJST,O,X,X,X,X
ILOZSTJ,O,X,X,X,X
ILOZSJT,O,X,X,X,X
IJTLSZO,O,O,O,O,X
IJTLSOZ,X,O,O,O,X
IJTLZSO,O,O,O,X,X
IJTLZOS,O,O,X,X,X
IJTLOSZ,X,X,O,O,X
IJTLOZS,O,X,O,X,X
IJTSLZO,O,O,O,O,O
IJTSLOZ,O,O,O,O,O
IJTSZLO,O,O,O,O,X
IJTSZOL,O,O,X,O,X
IJTSOLZ,X,O,O,O,O
IJTSOZL,O,O,X,O,X
IJTZLSO,O,O,O,X,X
IJTZLOS,O,O,X,X,X
IJTZSLO,O,O,O,O,X
IJTZSOL,O,O,X,O,X
IJTZOLS,O,O,X,X,X
IJTZOSL,O,O,X,O,X
IJTOLSZ,X,X,O,O,X
IJTOLZS,X,X,O,X,X
IJTOSLZ,X,O,O,O,O
IJTOSZL,X,O,O,O,X
IJTOZLS,X,O,O,X,X
IJTOZSL,X,O,O,O,X
IJLTSZO,O,O,O,O,X
IJLTSOZ,X,O,O,O,X
IJLTZSO,O,O,O,X,X
IJLTZOS,O,O,X,X,X
IJLTOSZ,X,X,O,O,X
IJLTOZS,O,X,X,X,X
IJLSTZO,O,X,O,X,O
IJLSTOZ,O,X,O,X,O
IJLSZTO,O,X,X,X,O
IJLSZOT,O,X,X,X,O
IJLSOTZ,O,X,X,X,O
IJLSOZT,O,X,X,X,O
IJLZTSO,O,O,X,X,X
IJLZTOS,O,O,X,X,X
IJLZSTO,O,X,X,X,X
IJLZSOT,O,X,X,X,X
IJLZOTS,O,O,X,X,X
IJLZOST,O,X,X,X,X
IJLOTSZ,X,X,X,O,X
IJLOTZS,O,X,X,X,X
IJLOSTZ,X,X,X,X,O
IJLOSZT,X,X,X,X,O
IJLOZTS,O,X,X,X,X
IJLOZST,O,X,X,X,X
IJSTLZO,O,O,O,O,O
IJSTLOZ,O,O,O,O,O
IJSTZLO,O,O,O,O,X
IJSTZOL,O,O,X,O,X
IJSTOLZ,X,O,O,O,O
IJSTOZL,O,O,X,O,X
IJSLTZO,O,X,O,X,O
IJSLTOZ,O,X,O,X,O
IJSLZTO,O,X,X,X,O
IJSLZOT,O,X,X,X,O
IJSLOTZ,O,X,X,X,O
IJSLOZT,O,X,X,X,O
IJSZTLO,O,O,O,X,X
IJSZTOL,O,O,X,X,X
IJSZLTO,O,X,X,X,O
IJSZLOT,O,X,X,X,O
IJSZOTL,O,O,X,X,X
IJSZOLT,O,X,X,X,O
IJSOTLZ,X,X,O,O,O
IJSOTZL,O,X,X,O,X
IJSOLTZ,O,X,X,X,O
IJSOLZT,O,X,X,X,O
IJSOZTL,O,X,X,X,X
IJSOZLT,O,X,X,X,O
IJZTLSO,O,O,O,X,X
IJZTLOS,O,O,X,X,X
IJZTSLO,O,O,O,O,X
IJZTSOL,O,O,X,O,X
IJZTOLS,O,O,X,X,X
IJZTOSL,O,O,X,O,X
IJZLTSO,O,O,X,X,X
IJZLTOS,O,O,X,X,X
IJZLSTO,O,X,X,X,X
IJZLSOT,O,X,X,X,X
IJZLOTS,O,O,X,X,X
IJZLOST,O,X,X,X,X
IJZSTLO,O,O,O,X,X
IJZSTOL,O,O,X,X,X
IJZSLTO,O,X,X,X,O
IJZSLOT,O,X,X,X,O
IJZSOTL,O,O,X,X,X
IJZSOLT,O,X,X,X,O
IJZOTLS,O,O,X,X,X
IJZOTSL,O,O,X,O,X
IJZOLTS,O,O,X,X,X
IJZOLST,O,X,X,X,X
IJZOSTL,O,O,X,X,X
IJZOSLT,O,X,X,X,O
IJOTLSZ,X,X,O,O,X
IJOTLZS,X,X,O,X,X
IJOTSLZ,X,O,O,O,O
IJOTSZL,X,O,O,O,X
IJOTZLS,X,O,O,X,X
IJOTZSL,X,O,O,O,X
IJOLTSZ,X,X,O,O,X
IJOLTZS,O,X,O,X,X
IJOLSTZ,X,X,O,X,O
IJOLSZT,X,X,X,X,O
IJOLZTS,O,X,X,X,X
IJOLZST,O,X,X,X,X
IJOSTLZ,X,X,O,O,O
IJOSTZL,O,X,O,O,X
IJOSLTZ,O,X,O,X,O
IJOSLZT,O,X,X,X,O
IJOSZTL,O,X,O,X,X
IJOSZLT,O,X,X,X,O
IJOZTLS,O,O,O,X,X
IJOZTSL,O,O,O,O,X
IJOZLTS,O,O,X,X,X
IJOZLST,O,X,X,X,X
IJOZSTL,O,O,O,X,X
IJOZSLT,O,X,X,X,O
ISTLJZO,O,O,O,O,O
ISTLJOZ,O,O,O,O,O
ISTLZJO,O,O,O,O,O
ISTLZOJ,O,O,X,O,O
ISTLOJZ,O,O,O,O,O
ISTLOZJ,O,O,O,O,O
ISTJLZO,O,O,O,O,O
ISTJLOZ,O,O,O,O,O
ISTJZLO,O,O,O,O,X
ISTJZOL,O,O,X,O,X
ISTJOLZ,X,O,O,O,O
ISTJOZL,O,O,X,O,X
ISTZLJO,O,O,O,O,X
ISTZLOJ,O,O,X,O,X
ISTZJLO,O,O,O,O,X
ISTZJOL,O,O,X,O,X
ISTZOLJ,O,O,X,O,X
ISTZOJL,O,O,X,O,X
ISTOLJZ,X,O,O,O,O
ISTOLZJ,X,O,O,O,O
ISTOJLZ,X,O,O,O,O
ISTOJZL,O,O,O,O,X
ISTOZLJ,O,O,O,O,X
ISTOZJL,O,O,O,O,X
ISLTJZO,O,X,O,X,O
ISLTJOZ,O,X,O,X,O
ISLTZJO,O,X,O,X,O
ISLTZOJ,O,X,X,X,O
ISLTOJZ,O,X,O,X,O
ISLTOZJ,O,X,X,X,O
ISLJTZO,O,X,O,X,O
ISLJTOZ,O,X,O,X,O
ISLJZTO,O,X,X,X,O
ISLJZOT,O,X,X,X,O
ISLJOTZ,O,X,X,X,O
ISLJOZT,O,X,X,X,O
ISLZTJO,O,X,X,X,O
ISLZTOJ,O,X,X,X,O
ISLZJTO,O,X,X,X,O
ISLZJOT,O,X,X,X,O
ISLZOTJ,O,X,X,X,O
ISLZOJT,O,X,X,X,O
ISLOTJZ,O,X,X,X,O
ISLOTZJ,O,X,X,X,O
ISLOJTZ,O,X,X,X,O
ISLOJZT,O,X,X,X,O
ISLOZTJ,O,X,X,X,O
ISLOZJT,O,X,X,X,O
ISJTLZO,O,O,O,O,O
ISJTLOZ,O,O,O,O,O
ISJTZLO,O,O,O,O,X
ISJTZOL,O,O,X,O,X
ISJTOLZ,X,O,O,O,O
ISJTOZL,O,O,X,O,X
ISJLTZO,O,X,O,X,O
ISJLTOZ,O,X,O,X,O
ISJLZTO,O,X,X,X,O
ISJLZOT,O,X,X,X,O
ISJLOTZ,O,X,X,X,O
ISJLOZT,O,X,X,X,O
ISJZTLO,O,O,O,X,X
ISJZTOL,O,O,X,X,X
ISJZLTO,O,X,X,X,O
ISJZLOT,O,X,X,X,O
ISJZOTL,O,O,X,X,X
ISJZOLT,O,X,X,X,O
ISJOTLZ,X,X,O,O,O
ISJOTZL,O,X,X,O,X
ISJOLTZ,O,X,X,X,O
ISJOLZT,O,X,X,X,O
ISJOZTL,O,X,X,X,X
ISJOZLT,O,X,X,X,O
ISZTLJO,O,O,O,X,X
ISZTLOJ,O,O,X,X,X
ISZTJLO,O,O,O,X,X
ISZTJOL,O,O,X,X,X
ISZTOLJ,O,O,X,X,X
ISZTOJL,O,O,X,X,X
ISZLTJO,O,X,X,X,O
ISZLTOJ,O,X,X,X,O
ISZLJTO,O,X,X,X,O
ISZLJOT,O,X,X,X,O
ISZLOTJ,O,X,X,X,O
ISZLOJT,O,X,X,X,O
ISZJTLO,O,O,O,X,X
ISZJTOL,O,O,X,X,X
ISZJLTO,O,X,X,X,O
ISZJLOT,O,X,X,X,O
ISZJOTL,O,O,X,X,X
ISZJOLT,O,X,X,X,O
ISZOTLJ,O,O,X,X,X
ISZOTJL,O,O,X,X,X
ISZOLTJ,O,X,X,X,O
ISZOLJT,O,X,X,X,O
ISZOJTL,O,O,X,X,X
ISZOJLT,O,X,X,X,O
ISOTLJZ,X,X,O,O,O
ISOTLZJ,X,X,O,O,O
ISOTJLZ,X,X,O,O,O
ISOTJZL,O,X,O,O,X
ISOTZLJ,O,X,O,O,X
ISOTZJL,O,X,O,O,X
ISOLTJZ,O,X,O,X,O
ISOLTZJ,O,X,O,X,O
ISOLJTZ,O,X,O,X,O
ISOLJZT,O,X,X,X,O
ISOLZTJ,O,X,X,X,O
ISOLZJT,O,X,X,X,O
ISOJTLZ,X,X,O,O,O
ISOJTZL,O,X,O,O,X
ISOJLTZ,O,X,O,X,O
ISOJLZT,O,X,X,X,O
ISOJZTL,O,X,O,X,X
ISOJZLT,O,X,X,X,O
ISOZTLJ,O,X,O,X,X
ISOZTJL,O,X,O,X,X
ISOZLTJ,O,X,X,X,O
ISOZLJT,O,X,X,X,O
ISOZJTL,O,X,O,X,X
ISOZJLT,O,X,X,X,O
IZTLJSO,O,O,O,X,X
IZTLJOS,O,O,X,X,X
IZTLSJO,O,O,O,X,X
IZTLSOJ,O,O,X,X,X
IZTLOJS,O,O,O,X,X
IZTLOSJ,O,O,O,X,X
IZTJLSO,O,O,O,X,X
IZTJLOS,O,O,X,X,X
IZTJSLO,O,O,O,O,X
IZTJSOL,O,O,X,O,X
IZTJOLS,O,O,X,X,X
IZTJOSL,O,O,X,O,X
IZTSLJO,O,O,O,O,X
IZTSLOJ,O,O,X,O,X
IZTSJLO,O,O,O,O,X
IZTSJOL,O,O,X,O,X
IZTSOLJ,O,O,X,O,X
IZTSOJL,O,O,X,O,X
IZTOLJS,O,O,O,X,X
IZTOLSJ,O,O,O,X,X
IZTOJLS,O,O,O,X,X
IZTOJSL,O,O,O,O,X
IZTOSLJ,O,O,O,O,X
IZTOSJL,O,O,O,O,X
IZLTJSO,O,O,X,X,X
IZLTJOS,O,O,X,X,X
IZLTSJO,O,O,X,X,X
IZLTSOJ,O,O,X,X,X
IZLTOJS,O,O,X,X,X
IZLTOSJ,O,O,X,X,X
IZLJTSO,O,O,X,X,X
IZLJTOS,O,O,X,X,X
IZLJSTO,O,X,X,X,X
IZLJSOT,O,X,X,X,X
IZLJOTS,O,O,X,X,X
IZLJOST,O,X,X,X,X
IZLSTJO,O,X,X,X,X
IZLSTOJ,O,X,X,X,X
IZLSJTO,O,X,X,X,X
IZLSJOT,O,X,X,X,X
IZLSOTJ,O,X,X,X,X
IZLSOJT,O,X,X,X,X
IZLOTJS,O,O,X,X,X
IZLOTSJ,O,O,X,X,X
IZLOJTS,O,O,X,X,X
IZLOJST,O,X,X,X,X
IZLOSTJ,O,X,X,X,X
IZLOSJT,O,X,X,X,X
IZJTLSO,O,O,O,X,X
IZJTLOS,O,O,X,X,X
IZJTSLO,O,O,O,O,X
IZJTSOL,O,O,X,O,X
IZJTOLS,O,O,X,X,X
IZJTOSL,O,O,X,O,X
IZJLTSO,O,O,X,X,X
IZJLTOS,O,O,X,X,X
IZJLSTO,O,X,X,X,X
IZJLSOT,O,X,X,X,X
IZJLOTS,O,O,X,X,X
IZJLOST,O,X,X,X,X
IZJSTLO,O,O,O,X,X
IZJSTOL,O,O,X,X,X
IZJSLTO,O,X,X,X,O
IZJSLOT,O,X,X,X,O
IZJSOTL,O,O,X,X,X
IZJSOLT,O,X,X,X,O
IZJOTLS,O,O,X,X,X
IZJOTSL,O,O,X,O,X
IZJOLTS,O,O,X,X,X
IZJOLST,O,X,X,X,X
IZJOSTL,O,O,X,X,X
IZJOSLT,O,X,X,X,O
IZSTLJO,O,O,O,X,X
IZSTLOJ,O,O,X,X,X
IZSTJLO,O,O,O,X,X
IZSTJOL,O,O,X,X,X
IZSTOLJ,O,O,X,X,X
IZSTOJL,O,O,X,X,X
IZSLTJO,O,X,X,X,O
IZSLTOJ,O,X,X,X,O
IZSLJTO,O,X,X,X,O
IZSLJOT,O,X,X,X,O
IZSLOTJ,O,X,X,X,O
IZSLOJT,O,X,X,X,O
IZSJTLO,O,O,O,X,X
IZSJTOL,O,O,X,X,X
IZSJLTO,O,X,X,X,O
IZSJLOT,O,X,X,X,O
IZSJOTL,O,O,X,X,X
IZSJOLT,O,X,X,X,O
IZSOTLJ,O,O,X,X,X
IZSOTJL,O,O,X,X,X
IZSOLTJ,O,X,X,X,O
IZSOLJT,O,X,X,X,O
IZSOJTL,O,O,X,X,X
IZSOJLT,O,X,X,X,O
IZOTLJS,O,O,O,X,X
IZOTLSJ,O,O,O,X,X
IZOTJLS,O,O,O,X,X
IZOTJSL,O,O,O,O,X
IZOTSLJ,O,O,O,O,X
IZOTSJL,O,O,O,O,X
IZOLTJS,O,O,X,X,X
IZOLTSJ,O,O,X,X,X
IZOLJTS,O,O,X,X,X
IZOLJST,O,X,X,X,X
IZOLSTJ,O,X,X,X,X
IZOLSJT,O,X,X,X,X
IZOJTLS,O,O,O,X,X
IZOJTSL,O,O,O,O,X
IZOJLTS,O,O,X,X,X
IZOJLST,O,X,X,X,X
IZOJSTL,O,O,O,X,X
IZOJSLT,O,X,X,X,O
IZOSTLJ,O,O,O,X,X
IZOSTJL,O,O,O,X,X
IZOSLTJ,O,X,X,X,O
IZOSLJT,O,X,X,X,O
IZOSJTL,O,O,O,X,X
IZOSJLT,O,X,X,X,O
IOTLJSZ,X,X,O,O,X
IOTLJZS,X,X,O,X,X
IOTLSJZ,X,X,O,O,X
IOTLSZJ,X,X,O,O,X
IOTLZJS,X,X,O,X,X
IOTLZSJ,X,X,O,X,X
IOTJLSZ,X,X,O,O,X
IOTJLZS,X,X,O,X,X
IOTJSLZ,X,O,O,O,O
IOTJSZL,X,O,O,O,X
IOTJZLS,X,O,O,X,X
IOTJZSL,X,O,O,O,X
IOTSLJZ,X,O,O,O,O
IOTSLZJ,X,O,O,O,O
IOTSJLZ,X,O,O,O,O
IOTSJZL,X,O,O,O,X
IOTSZLJ,X,O,O,O,X
IOTSZJL,X,O,O,O,X
IOTZLJS,X,O,O,X,X
IOTZLSJ,X,O,O,X,X
IOTZJLS,X,O,O,X,X
IOTZJSL,X,O,O,O,X
IOTZSLJ,X,O,O,O,X
IOTZSJL,X,O,O,O,X
IOLTJSZ,X,X,O,O,X
IOLTJZS,O,X,O,X,X
IOLTSJZ,X,X,O,O,X
IOLTSZJ,X,X,O,O,X
IOLTZJS,O,X,O,X,X
IOLTZSJ,O,X,O,X,X
IOLJTSZ,X,X,O,O,X
IOLJTZS,O,X,O,X,X
IOLJSTZ,X,X,O,X,O
IOLJSZT,X,X,X,X,O
IOLJZTS,O,X,X,X,X
IOLJZST,O,X,X,X,X
IOLSTJZ,X,X,O,X,O
IOLSTZJ,X,X,O,X,O
IOLSJTZ,X,X,O,X,O
IOLSJZT,X,X,X,X,O
IOLSZTJ,X,X,X,X,O
IOLSZJT,X,X,X,X,O
IOLZTJS,O,X,X,X,X
IOLZTSJ,O,X,X,X,X
IOLZJTS,O,X,X,X,X
IOLZJST,O,X,X,X,X
IOLZSTJ,O,X,X,X,X
IOLZSJT,O,X,X,X,X
IOJTLSZ,X,X,O,O,X
IOJTLZS,X,X,O,X,X
IOJTSLZ,X,O,O,O,O
IOJTSZL,X,O,O,O,X
IOJTZLS,X,O,O,X,X
IOJTZSL,X,O,O,O,X
IOJLTSZ,X,X,O,O,X
IOJLTZS,O,X,O,X,X
IOJLSTZ,X,X,O,X,O
IOJLSZT,X,X,X,X,O
IOJLZTS,O,X,X,X,X
IOJLZST,O,X,X,X,X
IOJSTLZ,X,X,O,O,O
IOJSTZL,O,X,O,O,X
IOJSLTZ,O,X,O,X,O
IOJSLZT,O,X,X,X,O
IOJSZTL,O,X,O,X,X
IOJSZLT,O,X,X,X,O
IOJZTLS,O,O,O,X,X
IOJZTSL,O,O,O,O,X
IOJZLTS,O,O,X,X,X
IOJZLST,O,X,X,X,X
IOJZSTL,O,O,O,X,X
IOJZSLT,O,X,X,X,O
IOSTLJZ,X,X,O,O,O
IOSTLZJ,X,X,O,O,O
IOSTJLZ,X,X,O,O,O
IOSTJZL,O,X,O,O,X
IOSTZLJ,O,X,O,O,X
IOSTZJL,O,X,O,O,X
IOSLTJZ,O,X,O,X,O
IOSLTZJ,O,X,O,X,O
IOSLJTZ,O,X,O,X,O
IOSLJZT,O,X,X,X,O
IOSLZTJ,O,X,X,X,O
IOSLZJT,O,X,X,X,O
IOSJTLZ,X,X,O,O,O
IOSJTZL,O,X,O,O,X
IOSJLTZ,O,X,O,X,O
IOSJLZT,O,X,X,X,O
IOSJZTL,O,X,O,X,X
IOSJZLT,O,X,X,X,O
IOSZTLJ,O,X,O,X,X
IOSZTJL,O,X,O,X,X
IOSZLTJ,O,X,X,X,O
IOSZLJT,O,X,X,X,O
IOSZJTL,O,X,O,X,X
IOSZJLT,O,X,X,X,O
IOZTLJS,O,O,O,X,X
IOZTLSJ,O,O,O,X,X
IOZTJLS,O,O,O,X,X
IOZTJSL,O,O,O,O,X
IOZTSLJ,O,O,O,O,X
IOZTSJL,O,O,O,O,X
IOZLTJS,O,O,X,X,X
IOZLTSJ,O,O,X,X,X
IOZLJTS,O,O,X,X,X
IOZLJST,O,X,X,X,X
IOZLSTJ,O,X,X,X,X
IOZLSJT,O,X,X,X,X
IOZJTLS,O,O,O,X,X
IOZJTSL,O,O,O,O,X
IOZJLTS,O,O,X,X,X
IOZJLST,O,X,X,X,X
IOZJSTL,O,O,O,X,X
IOZJSLT,O,X,X,X,O
IOZSTLJ,O,O,O,X,X
IOZSTJL,O,O,O,X,X
IOZSLTJ,O,X,X,X,O
IOZSLJT,O,X,X,X,O
IOZSJTL,O,O,O,X,X
IOZSJLT,O,X,X,X,O
LTIJSZO,O,O,O,O,X
LTIJSOZ,X,O,O,O,X
LTIJZSO,O,O,O,X,X
LTIJZOS,O,O,X,X,X
LTIJOSZ,X,X,O,O,X
LTIJOZS,O,X,O,X,X
LTISJZO,O,O,O,O,X
LTISJOZ,X,O,O,O,X
LTISZJO,O,O,O,O,X
LTISZOJ,O,O,X,O,X
LTISOJZ,X,O,O,O,X
LTISOZJ,X,O,O,O,X
LTIZJSO,O,O,O,X,X
LTIZJOS,O,O,X,X,X
LTIZSJO,O,O,O,X,X
LTIZSOJ,O,O,X,X,X
LTIZOJS,O,O,O,X,X
LTIZOSJ,O,O,O,X,X
LTIOJSZ,X,X,O,O,X
LTIOJZS,O,X,O,X,X
LTIOSJZ,X,X,O,O,X
LTIOSZJ,X,X,O,O,X
LTIOZJS,O,X,O,X,X
LTIOZSJ,O,X,O,X,X
LTJISZO,O,O,O,O,X
LTJISOZ,X,O,O,O,X
LTJIZSO,O,O,O,X,X
LTJIZOS,O,O,X,X,X
LTJIOSZ,X,X,O,O,X
