sequence,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlBliB5oB3mBys?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeT/IvhFOlB/nBaoB5oB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOEJvhFXgBynB5oB1rB0n?BzpB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhF/nBaoB5oBTkB1r?B0pB,v115@BhB8GeB8HeA8FeA8BeF8KeOFJvhFliB5oBTkB3mBys?B0pB
TLJOIZS,O,X,O,X,X
TLJOSIZ,X,X,O,O,X
TLJOSZI,X,X,O,O,X
TLJOZIS,O,X,O,X,X
TLJOZSI,O,X,O,X,X
TLSIJZO,O,O,O,O,X
TLSIJOZ,X,O,O,O,X
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,O,X,O,X
TLSIOJZ,X,O,O,O,X
TLSIOZJ,X,O,O,O,X
TLSJIZO,O,O,O,O,X
TLSJIOZ,X,O,O,O,X
TLSJZIO,O,O,O,O,X
TLSJZOI,O,O,X,O,X
TLSJOIZ,X,O,O,O,X
TLSJOZI,X,O,X,O,X
TLSZIJO,O,O,O,O,X
TLSZIOJ,O,O,X,O,X
TLSZJIO,O,O,O,O,X
TLSZJOI,O,O,X,O,X
TLSZOIJ,O,O,X,O,X
TLSZOJI,O,O,X,O,X
TLSOIJZ,X,O,O,O,X
TLSOIZJ,X,O,O,O,X
TLSOJIZ,X,O,O,O,X
TLSOJZI,X,O,O,O,X
TLSOZIJ,X,O,O,O,X
TLSOZJI,X,O,O,O,X
TLZIJSO,O,O,O,X,X
TLZIJOS,O,O,X,X,X
TLZISJO,O,O,O,X,X
TLZISOJ,O,O,X,X,X
TLZIOJS,O,O,O,X,X
TLZIOSJ,O,O,O,X,X
TLZJISO,O,O,O,X,X
TLZJIOS,O,O,X,X,X
TLZJSIO,O,O,O,X,X
TLZJSOI,O,O,X,X,X
TLZJOIS,O,O,X,X,X
TLZJOSI,O,O,X,X,X
TLZSIJO,O,O,O,X,X
TLZSIOJ,O,O,X,X,X
TLZSJIO,O,O,O,X,X
TLZSJOI,O,O,X,X,X
TLZSOIJ,O,O,X,X,X
TLZSOJI,O,O,X,X,X
TLZOIJS,O,O,O,X,X
TLZOISJ,O,O,O,X,X
TLZOJIS,O,O,O,X,X
TLZOJSI,O,O,O,X,X
TLZOSIJ,O,O,O,X,X
TLZOSJI,O,O,O,X,X
TLOIJSZ,X,X,O,O,X
TLOIJZS,O,X,O,X,X
TLOISJZ,X,X,O,O,X
TLOISZJ,X,X,O,O,X
TLOIZJS,O,X,O,X,X
TLOIZSJ,O,X,O,X,X
TLOJISZ,X,X,O,O,X
TLOJIZS,O,X,O,X,X
TLOJSIZ,X,X,O,O,X
TLOJSZI,X,X,O,O,X
TLOJZIS,O,X,O,X,X
TLOJZSI,O,X,O,X,X
TLOSIJZ,X,X,O,O,X
TLOSIZJ,X,X,O,O,X
TLOSJIZ,X,X,O,O,X
TLOSJZI,X,X,O,O,X
TLOSZIJ,X,X,O,O,X
TLOSZJI,X,X,O,O,X
TLOZIJS,O,X,O,X,X
TLOZISJ,O,X,O,X,X
TLOZJIS,O,X,O,X,X
TLOZJSI,O,X,O,X,X
TLOZSIJ,O,X,O,X,X
TLOZSJI,O,X,O,X,X
TJILSZO,O,O,O,O,X
TJILSOZ,X,O,O,O,X
TJILZSO,O,O,O,X,X
TJILZOS,O,O,X,X,X
TJILOSZ,X,X,O,O,X
TJILOZS,O,X,O,X,X
TJISLZO,O,O,O,O,O
TJISLOZ,O,O,O,O,O
TJISZLO,O,O,O,O,X
TJISZOL,O,O,X,O,X
TJISOLZ,X,O,O,O,O
TJISOZL,O,O,X,O,X
TJIZLSO,O,O,O,X,X
TJIZLOS,O,O,X,X,X
TJIZSLO,O,O,O,O,X
TJIZSOL,O,O,X,O,X
TJIZOLS,O,O,X,X,X
TJIZOSL,O,O,X,O,X
TJIOLSZ,X,X,O,O,X
TJIOLZS,X,X,O,X,X
TJIOSLZ,X,O,O,O,O
TJIOSZL,X,O,O,O,X
TJIOZLS,X,O,O,X,X
TJIOZSL,X,O,O,O,X
TJLISZO,O,O,O,O,X
TJLISOZ,X,O,O,O,X
TJLIZSO,O,O,O,X,X
TJLIZOS,O,O,X,X,X
TJLIOSZ,X,X,O,O,X
TJLIOZS,O,X,O,X,X
TJLSIZO,O,O,O,O,X
TJLSIOZ,X,O,O,O,X
TJLSZIO,O,O,O,O,X
TJLSZOI,O,O,X,O,X
TJLSOIZ,X,O,O,O,X
TJLSOZI,X,O,X,O,X
TJLZISO,O,O,O,X,X
TJLZIOS,O,O,X,X,X
TJLZSIO,O,O,O,X,X
TJLZSOI,O,O,X,X,X
TJLZOIS,O,O,X,X,X
TJLZOSI,O,O,X,X,X
TJLOISZ,X,X,O,O,X
TJLOIZS,O,X,O,X,X
TJLOSIZ,X,X,O,O,X
TJLOSZI,X,X,O,O,X
TJLOZIS,O,X,O,X,X
TJLOZSI,O,X,O,X,X
TJSILZO,O,O,O,O,O
TJSILOZ,O,O,O,O,O
TJSIZLO,O,O,O,O,X
TJSIZOL,O,O,X,O,X
TJSIOLZ,X,O,O,O,O
TJSIOZL,O,O,X,O,X
TJSLIZO,O,O,O,O,O
TJSLIOZ,O,O,O,O,O
TJSLZIO,O,O,O,O,O
TJSLZOI,O,O,X,O,O
TJSLOIZ,O,O,O,O,O
TJSLOZI,O,O,X,O,O
TJSZILO,O,O,O,O,X
TJSZIOL,O,O,X,O,X
TJSZLIO,O,O,O,O,X
TJSZLOI,O,O,X,O,X
TJSZOIL,O,O,X,O,X
TJSZOLI,O,O,X,O,X
TJSOILZ,X,O,O,O,O
TJSOIZL,O,O,X,O,X
TJSOLIZ,X,O,O,O,O
TJSOLZI,X,O,X,O,O
TJSOZIL,O,O,X,O,X
TJSOZLI,O,O,X,O,X
TJZILSO,O,O,O,X,X
TJZILOS,O,O,X,X,X
TJZISLO,O,O,O,O,X
TJZISOL,O,O,X,O,X
TJZIOLS,O,O,X,X,X
TJZIOSL,O,O,X,O,X
TJZLISO,O,O,O,X,X
TJZLIOS,O,O,X,X,X
TJZLSIO,O,O,O,X,X
TJZLSOI,O,O,X,X,X
TJZLOIS,O,O,X,X,X
TJZLOSI,O,O,X,X,X
TJZSILO,O,O,O,O,X
TJZSIOL,O,O,X,O,X
TJZSLIO,O,O,O,O,X
TJZSLOI,O,O,X,O,X
TJZSOIL,O,O,X,O,X
TJZSOLI,O,O,X,O,X
TJZOILS,O,O,X,X,X
TJZOISL,O,O,X,O,X
TJZOLIS,O,O,X,X,X
TJZOLSI,O,O,X,X,X
TJZOSIL,O,O,X,O,X
TJZOSLI,O,O,X,O,X
TJOILSZ,X,X,O,O,X
TJOILZS,X,X,O,X,X
TJOISLZ,X,O,O,O,O
TJOISZL,X,O,O,O,X
TJOIZLS,X,O,O,X,X
TJOIZSL,X,O,O,O,X
TJOLISZ,X,X,O,O,X
TJOLIZS,X,X,O,X,X
TJOLSIZ,X,X,O,O,X
TJOLSZI,X,X,O,O,X
TJOLZIS,X,X,O,X,X
TJOLZSI,X,X,O,X,X
TJOSILZ,X,O,O,O,O
TJOSIZL,X,O,O,O,X
TJOSLIZ,X,O,O,O,O
TJOSLZI,X,O,O,O,O
TJOSZIL,X,O,O,O,X
TJOSZLI,X,O,O,O,X
TJOZILS,X,O,O,X,X
TJOZISL,X,O,O,O,X
TJOZLIS,X,O,O,X,X
TJOZLSI,X,O,O,X,X
TJOZSIL,X,O,O,O,X
TJOZSLI,X,O,O,O,X
TSILJZO,O,O,O,O,O
TSILJOZ,O,O,O,O,O
TSILZJO,O,O,O,O,O
TSILZOJ,O,O,X,O,O
TSILOJZ,O,O,O,O,O
TSILOZJ,O,O,O,O,O
TSIJLZO,O,O,O,O,O
TSIJLOZ,O,O,O,O,O
TSIJZLO,O,O,O,O,X
TSIJZOL,O,O,X,O,X
