sequence,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFVlBRhB3iB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBikBU?nBzpBWxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFXgBliBRmB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBmkBz?mB0pBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhB8mBunBi?kBzpBVxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhFRiB/pBFlB6?sBzrBmpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhF3iBxkBzmBm?pBSxBlpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeKEJvhFUhBRiBFlBG?sBXsBzpB
TILJSZO,O,O,O,X,O,X,X,X
TILJSOZ,O,O,O,X,X,X,X,X
TILJZSO,O,X,O,X,O,X,X,X
TILJZOS,O,X,X,X,O,X,X,X
TILJOSZ,O,X,O,X,X,X,X,X
TILJOZS,X,X,O,X,O,X,X,X
TILSJZO,O,O,O,O,O,X,X,X
TILSJOZ,O,O,O,O,X,X,X,X
TILSZJO,O,O,O,O,O,X,O,X
TILSZOJ,O,X,X,O,O,X,O,X
TILSOJZ,O,O,O,O,X,X,X,X
TILSOZJ,X,X,O,O,X,X,X,X
TILZJSO,O,X,O,O,O,X,X,X
TILZJOS,O,X,X,O,O,X,X,X
TILZSJO,O,O,O,O,O,X,O,X
TILZSOJ,O,X,X,O,O,X,O,X
TILZOJS,O,X,O,X,O,X,X,X
TILZOSJ,O,X,O,X,O,X,X,X
TILOJSZ,O,X,O,X,X,X,X,X
TILOJZS,X,X,O,X,O,X,X,X
TILOSJZ,O,O,O,X,X,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X
TILOZJS,X,X,O,X,O,X,X,X
TILOZSJ,X,X,O,X,O,X,X,X
TIJLSZO,O,X,O,X,O,X,X,X
TIJLSOZ,O,X,O,X,X,X,X,X
TIJLZSO,O,X,O,X,O,X,X,X
TIJLZOS,O,X,X,X,O,X,X,X
TIJLOSZ,O,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,X,X
TIJSLZO,O,X,O,X,X,X,X,X
TIJSLOZ,O,X,O,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,X,X
TIJSZOL,O,X,O,X,X,X,X,X
TIJSOLZ,O,X,O,X,X,X,X,X
