sequence,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhBTiB6?oBVrBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFFgB8lB+mBT?iB6oBXsB,v115@IhA8FeA8BeB8EeA8BeD8BeC8JeZEJvhFUgBGhB6oBV?rBTnBXsB
TLZOSIJ,X,X,X
TLZOSJI,X,X,X
TLOIJSZ,X,X,X
TLOIJZS,X,X,O
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,X,X,O
TLOIZSJ,X,X,X
TLOJISZ,X,X,X
TLOJIZS,X,X,O
TLOJSIZ,X,X,X
TLOJSZI,X,X,X
TLOJZIS,X,X,O
TLOJZSI,X,X,X
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,X,X,O
TLOZISJ,X,X,X
TLOZJIS,X,X,O
TLOZJSI,X,X,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,O,X,X
TJILSOZ,O,X,X
TJILZSO,O,X,X
TJILZOS,X,X,O
TJILOSZ,X,X,X
TJILOZS,X,X,O
TJISLZO,O,X,X
TJISLOZ,O,X,X
TJISZLO,O,X,X
TJISZOL,O,X,X
TJISOLZ,O,X,X
TJISOZL,O,X,X
TJIZLSO,O,X,X
TJIZLOS,X,X,O
TJIZSLO,O,X,X
TJIZSOL,O,X,X
TJIZOLS,X,X,O
TJIZOSL,X,X,X
TJIOLSZ,X,X,X
TJIOLZS,X,X,O
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,X,X,O
TJIOZSL,X,X,X
TJLISZO,O,X,X
TJLISOZ,O,X,X
TJLIZSO,O,X,X
TJLIZOS,X,X,O
TJLIOSZ,X,X,X
TJLIOZS,X,X,O
TJLSIZO,O,X,X
TJLSIOZ,O,X,X
TJLSZIO,O,X,X
TJLSZOI,O,X,X
TJLSOIZ,O,X,X
TJLSOZI,O,X,X
TJLZISO,O,X,X
TJLZIOS,X,X,O
TJLZSIO,O,X,X
TJLZSOI,O,X,X
TJLZOIS,X,X,O
TJLZOSI,X,X,X
TJLOISZ,X,X,X
TJLOIZS,X,X,O
TJLOSIZ,X,X,X
TJLOSZI,X,X,X
TJLOZIS,X,X,O
TJLOZSI,X,X,X
TJSILZO,O,X,X
TJSILOZ,O,X,X
TJSIZLO,O,X,X
TJSIZOL,O,X,X
TJSIOLZ,O,X,X
TJSIOZL,O,X,X
TJSLIZO,O,X,X
TJSLIOZ,O,X,X
TJSLZIO,O,X,X
TJSLZOI,O,X,X
TJSLOIZ,O,X,X
TJSLOZI,O,X,X
TJSZILO,O,X,X
TJSZIOL,O,X,X
TJSZLIO,O,X,X
TJSZLOI,O,X,X
TJSZOIL,O,X,X
TJSZOLI,O,X,X
TJSOILZ,O,X,X
TJSOIZL,O,X,X
TJSOLIZ,O,X,X
TJSOLZI,O,X,X
TJSOZIL,O,X,X
TJSOZLI,O,X,X
TJZILSO,O,X,X
TJZILOS,X,X,O
TJZISLO,O,X,X
TJZISOL,O,X,X
TJZIOLS,X,X,O
TJZIOSL,X,X,X
TJZLISO,O,X,X
TJZLIOS,X,X,O
TJZLSIO,O,X,X
TJZLSOI,O,X,X
TJZLOIS,X,X,O
TJZLOSI,X,X,X
TJZSILO,O,X,X
TJZSIOL,O,X,X
TJZSLIO,O,X,X
TJZSLOI,O,X,X
TJZSOIL,O,X,X
TJZSOLI,O,X,X
TJZOILS,X,X,O
TJZOISL,X,X,X
TJZOLIS,X,X,O
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,X,X,X
TJOILZS,X,X,O
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,X,X,O
TJOIZSL,X,X,X
TJOLISZ,X,X,X
TJOLIZS,X,X,O
TJOLSIZ,X,X,X
TJOLSZI,X,X,X
TJOLZIS,X,X,O
TJOLZSI,X,X,X
TJOSILZ,X,X,X
TJOSIZL,X,X,X
TJOSLIZ,X,X,X
TJOSLZI,X,X,X
TJOSZIL,X,X,X
TJOSZLI,X,X,X
TJOZILS,X,X,O
TJOZISL,X,X,X
TJOZLIS,X,X,O
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,O,X,X
TSILJOZ,O,X,X
TSILZJO,O,O,X
TSILZOJ,O,X,X
TSILOJZ,O,X,X
TSILOZJ,O,X,X
TSIJLZO,O,X,X
TSIJLOZ,O,X,X
TSIJZLO,O,X,X
TSIJZOL,O,X,X
TSIJOLZ,O,X,X
TSIJOZL,O,X,X
TSIZLJO,O,O,X
TSIZLOJ,O,X,X
TSIZJLO,O,O,X
TSIZJOL,O,O,X
TSIZOLJ,O,X,X
TSIZOJL,O,X,X
TSIOLJZ,O,X,X
TSIOLZJ,O,X,X
TSIOJLZ,O,X,X
TSIOJZL,O,X,X
TSIOZLJ,O,X,X
TSIOZJL,O,X,X
TSLIJZO,O,X,X
TSLIJOZ,O,X,X
TSLIZJO,O,O,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,X
TSLIOZJ,O,X,X
TSLJIZO,O,X,X
TSLJIOZ,O,X,X
TSLJZIO,O,X,X
TSLJZOI,O,X,X
TSLJOIZ,O,X,X
TSLJOZI,O,X,X
TSLZIJO,O,O,X
TSLZIOJ,O,X,X
TSLZJIO,O,O,X
TSLZJOI,O,O,X
TSLZOIJ,O,X,X
TSLZOJI,O,X,X
TSLOIJZ,O,X,X
TSLOIZJ,O,X,X
TSLOJIZ,O,X,X
TSLOJZI,O,X,X
TSLOZIJ,O,X,X
TSLOZJI,O,X,X
TSJILZO,O,X,X
TSJILOZ,O,X,X
TSJIZLO,O,X,X
TSJIZOL,O,X,X
TSJIOLZ,O,X,X
TSJIOZL,O,X,X
TSJLIZO,O,X,X
TSJLIOZ,O,X,X
TSJLZIO,O,X,X
TSJLZOI,O,X,X
TSJLOIZ,O,X,X
TSJLOZI,O,X,X
TSJZILO,O,X,X
TSJZIOL,O,X,X
TSJZLIO,O,X,X
TSJZLOI,O,X,X
TSJZOIL,O,X,X
TSJZOLI,O,X,X
TSJOILZ,O,X,X
TSJOIZL,O,X,X
TSJOLIZ,O,X,X
TSJOLZI,O,X,X
TSJOZIL,O,X,X
TSJOZLI,O,X,X
TSZILJO,O,O,X
TSZILOJ,O,X,X
TSZIJLO,O,O,X
TSZIJOL,O,O,X
TSZIOLJ,O,X,X
TSZIOJL,O,X,X
TSZLIJO,O,O,X
TSZLIOJ,O,X,X
TSZLJIO,O,O,X
TSZLJOI,O,O,X
TSZLOIJ,O,X,X
TSZLOJI,O,X,X
TSZJILO,O,O,X
TSZJIOL,O,O,X
TSZJLIO,O,O,X
TSZJLOI,O,O,X
TSZJOIL,O,O,X
TSZJOLI,O,O,X
TSZOILJ,O,X,X
TSZOIJL,O,X,X
TSZOLIJ,O,X,X
TSZOLJI,O,X,X
TSZOJIL,O,X,X
TSZOJLI,O,X,X
TSOILJZ,O,X,X
TSOILZJ,O,X,X
TSOIJLZ,O,X,X
TSOIJZL,O,X,X
TSOIZLJ,O,X,X
TSOIZJL,O,X,X
TSOLIJZ,O,X,X
TSOLIZJ,O,X,X
TSOLJIZ,O,X,X
TSOLJZI,O,X,X
TSOLZIJ,O,X,X
TSOLZJI,O,X,X
TSOJILZ,O,X,X
TSOJIZL,O,X,X
TSOJLIZ,O,X,X
TSOJLZI,O,X,X
TSOJZIL,O,X,X
TSOJZLI,O,X,X
TSOZILJ,O,X,X
TSOZIJL,O,X,X
TSOZLIJ,O,X,X
TSOZLJI,O,X,X
TSOZJIL,O,X,X
TSOZJLI,O,X,X
TZILJSO,O,O,X
TZILJOS,X,X,O
TZILSJO,O,O,X
TZILSOJ,O,X,X
TZILOJS,X,X,O
TZILOSJ,X,X,X
TZIJLSO,O,O,X
TZIJLOS,X,X,O
TZIJSLO,O,O,X
TZIJSOL,O,O,X
TZIJOLS,X,X,O
TZIJOSL,X,X,X
TZISLJO,O,O,X
TZISLOJ,O,X,X
TZISJLO,O,O,X
TZISJOL,O,O,X
TZISOLJ,O,X,X
TZISOJL,O,X,X
TZIOLJS,X,X,O
TZIOLSJ,X,X,X
TZIOJLS,X,X,O
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,O,O,X
TZLIJOS,X,X,O
TZLISJO,O,O,X
TZLISOJ,O,X,X
TZLIOJS,X,X,O
TZLIOSJ,X,X,X
TZLJISO,O,O,X
TZLJIOS,X,X,O
TZLJSIO,O,O,X
TZLJSOI,O,O,X
TZLJOIS,X,X,O
TZLJOSI,X,X,X
TZLSIJO,O,O,X
TZLSIOJ,O,X,X
TZLSJIO,O,O,X
TZLSJOI,O,O,X
TZLSOIJ,O,X,X
TZLSOJI,O,X,X
TZLOIJS,X,X,O
TZLOISJ,X,X,X
TZLOJIS,X,X,O
TZLOJSI,X,X,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,O,O,X
TZJILOS,X,X,O
TZJISLO,O,O,X
TZJISOL,O,O,X
TZJIOLS,X,X,O
TZJIOSL,X,X,X
TZJLISO,O,O,X
TZJLIOS,X,X,O
TZJLSIO,O,O,X
TZJLSOI,O,O,X
TZJLOIS,X,X,O
TZJLOSI,X,X,X
TZJSILO,O,O,X
TZJSIOL,O,O,X
TZJSLIO,O,O,X
TZJSLOI,O,O,X
TZJSOIL,O,O,X
TZJSOLI,O,O,X
TZJOILS,X,X,O
TZJOISL,X,X,X
