sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TLJOIZS,O,X,O,X,X
TLJOSIZ,O,X,O,O,O
TLJOSZI,O,X,O,O,O
TLJOZIS,O,X,O,X,X
TLJOZSI,O,X,O,X,X
TLSIJZO,O,O,O,O,O
TLSIJOZ,O,O,O,O,O
TLSIZJO,O,O,X,O,O
TLSIZOJ,O,O,X,O,O
TLSIOJZ,O,O,O,O,O
TLSIOZJ,O,O,X,O,O
TLSJIZO,O,O,O,O,O
TLSJIOZ,O,O,O,O,O
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,O,O,O
TLSJOZI,O,O,O,O,O
TLSZIJO,O,O,X,O,O
TLSZIOJ,O,O,X,O,O
TLSZJIO,O,O,X,O,O
TLSZJOI,O,O,X,O,O
TLSZOIJ,O,O,X,O,O
TLSZOJI,O,O,X,O,O
TLSOIJZ,O,O,O,O,O
TLSOIZJ,O,O,X,O,O
TLSOJIZ,O,O,O,O,O
TLSOJZI,O,O,O,O,O
TLSOZIJ,O,O,X,O,O
TLSOZJI,O,O,X,O,O
TLZIJSO,O,O,O,X,X
TLZIJOS,O,O,O,X,X
TLZISJO,O,O,X,O,O
TLZISOJ,O,O,X,O,O
TLZIOJS,O,O,O,X,X
TLZIOSJ,O,O,X,O,O
TLZJISO,O,O,O,X,X
TLZJIOS,O,O,O,X,X
TLZJSIO,O,O,O,X,X
TLZJSOI,O,O,O,X,X
TLZJOIS,O,O,O,X,X
TLZJOSI,O,O,O,X,X
TLZSIJO,O,O,X,O,O
TLZSIOJ,O,O,X,O,O
TLZSJIO,O,O,X,O,O
TLZSJOI,O,O,X,O,O
TLZSOIJ,O,O,X,O,O
TLZSOJI,O,O,X,O,O
TLZOIJS,O,O,O,X,X
TLZOISJ,O,O,X,O,O
TLZOJIS,O,O,O,X,X
TLZOJSI,O,O,O,X,X
TLZOSIJ,O,O,X,O,O
TLZOSJI,O,O,X,O,O
TLOIJSZ,O,X,O,O,O
TLOIJZS,O,X,O,X,X
TLOISJZ,O,O,O,O,O
TLOISZJ,O,O,X,O,O
TLOIZJS,O,O,O,X,X
TLOIZSJ,O,O,X,O,O
TLOJISZ,O,X,O,O,O
TLOJIZS,O,X,O,X,X
TLOJSIZ,O,X,O,O,O
TLOJSZI,O,X,O,O,O
TLOJZIS,O,X,O,X,X
TLOJZSI,O,X,O,X,X
TLOSIJZ,O,O,O,O,O
TLOSIZJ,O,O,X,O,O
TLOSJIZ,O,O,O,O,O
TLOSJZI,O,O,O,O,O
TLOSZIJ,O,O,X,O,O
TLOSZJI,O,O,X,O,O
TLOZIJS,O,O,O,X,X
TLOZISJ,O,O,X,O,O
TLOZJIS,O,O,O,X,X
TLOZJSI,O,O,O,X,X
TLOZSIJ,O,O,X,O,O
TLOZSJI,O,O,X,O,O
TJILSZO,O,X,O,O,X
TJILSOZ,O,X,O,O,X
TJILZSO,O,X,O,X,X
TJILZOS,O,X,O,X,X
TJILOSZ,O,X,O,O,X
TJILOZS,O,X,O,X,X
TJISLZO,O,O,O,O,X
TJISLOZ,O,X,O,O,O
TJISZLO,O,O,O,O,X
TJISZOL,O,O,O,O,O
TJISOLZ,O,X,O,O,O
TJISOZL,O,O,O,O,O
TJIZLSO,O,X,O,X,X
TJIZLOS,O,X,O,X,X
TJIZSLO,O,O,O,X,X
TJIZSOL,O,O,O,X,X
TJIZOLS,O,X,O,X,X
TJIZOSL,O,O,O,X,X
TJIOLSZ,O,X,O,O,X
TJIOLZS,O,X,O,X,X
TJIOSLZ,O,X,O,O,O
TJIOSZL,O,X,O,O,O
TJIOZLS,O,X,O,X,X
TJIOZSL,O,X,O,X,X
TJLISZO,O,O,O,O,O
TJLISOZ,O,O,O,O,O
TJLIZSO,O,O,O,X,X
TJLIZOS,O,O,O,X,X
TJLIOSZ,O,X,O,O,O
TJLIOZS,O,X,O,X,X
TJLSIZO,O,O,O,O,O
TJLSIOZ,O,O,O,O,O
TJLSZIO,O,O,O,O,O
TJLSZOI,O,O,O,O,O
TJLSOIZ,O,O,O,O,O
TJLSOZI,O,O,O,O,O
TJLZISO,O,O,O,X,X
TJLZIOS,O,O,O,X,X
TJLZSIO,O,O,O,X,X
TJLZSOI,O,O,O,X,X
TJLZOIS,O,O,O,X,X
TJLZOSI,O,O,O,X,X
TJLOISZ,O,X,O,O,O
TJLOIZS,O,X,O,X,X
TJLOSIZ,O,X,O,O,O
TJLOSZI,O,X,O,O,O
TJLOZIS,O,X,O,X,X
TJLOZSI,O,X,O,X,X
TJSILZO,O,O,O,O,O
TJSILOZ,O,O,O,O,O
TJSIZLO,O,O,O,O,X
TJSIZOL,O,O,O,O,O
TJSIOLZ,O,X,O,O,O
TJSIOZL,O,O,O,O,O
TJSLIZO,O,O,O,O,O
TJSLIOZ,O,O,O,O,O
TJSLZIO,O,O,O,O,O
TJSLZOI,O,O,O,O,O
TJSLOIZ,O,O,O,O,O
TJSLOZI,O,O,O,O,O
TJSZILO,O,O,O,O,X
TJSZIOL,O,O,O,O,O
TJSZLIO,O,O,O,O,O
TJSZLOI,O,O,O,O,O
TJSZOIL,O,O,O,O,O
TJSZOLI,O,O,O,O,O
TJSOILZ,O,X,O,O,O
TJSOIZL,O,O,O,O,O
TJSOLIZ,O,O,O,O,O
TJSOLZI,O,O,O,O,O
TJSOZIL,O,O,O,O,O
TJSOZLI,O,O,O,O,O
TJZILSO,O,X,O,X,X
TJZILOS,O,X,O,X,X
TJZISLO,O,O,O,X,X
TJZISOL,O,O,O,X,X
TJZIOLS,O,X,O,X,X
TJZIOSL,O,O,O,X,X
TJZLISO,O,O,O,X,X
TJZLIOS,O,O,O,X,X
TJZLSIO,O,O,O,X,X
TJZLSOI,O,O,O,X,X
TJZLOIS,O,O,O,X,X
TJZLOSI,O,O,O,X,X
TJZSILO,O,O,O,X,X
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,O,X,X
TJZSLOI,O,O,O,X,X
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,O,X,X
TJZOILS,O,X,O,X,X
TJZOISL,O,O,O,X,X
TJZOLIS,O,O,O,X,X
TJZOLSI,O,O,O,X,X
TJZOSIL,O,O,O,X,X
TJZOSLI,O,O,O,X,X
TJOILSZ,O,X,O,O,X
TJOILZS,O,X,O,X,X
TJOISLZ,O,X,O,O,O
TJOISZL,O,X,O,O,O
TJOIZLS,O,X,O,X,X
TJOIZSL,O,X,O,X,X
TJOLISZ,O,X,O,O,O
TJOLIZS,O,X,O,X,X
TJOLSIZ,O,X,O,O,O
TJOLSZI,O,X,O,O,O
TJOLZIS,O,X,O,X,X
TJOLZSI,O,X,O,X,X
TJOSILZ,O,X,O,O,O
TJOSIZL,O,X,O,O,O
TJOSLIZ,O,X,O,O,O
TJOSLZI,O,X,O,O,O
TJOSZIL,O,X,O,O,O
TJOSZLI,O,X,O,O,O
TJOZILS,O,X,O,X,X
TJOZISL,O,X,O,X,X
TJOZLIS,O,X,O,X,X
TJOZLSI,O,X,O,X,X
TJOZSIL,O,X,O,X,X
TJOZSLI,O,X,O,X,X
TSILJZO,O,O,O,O,O
TSILJOZ,O,O,O,O,O
TSILZJO,O,O,X,O,O
TSILZOJ,O,O,X,O,O
TSILOJZ,O,O,O,O,O
TSILOZJ,O,O,X,O,O
TSIJLZO,O,O,O,O,O
TSIJLOZ,O,O,O,O,O
TSIJZLO,O,O,O,O,X
TSIJZOL,O,O,O,O,O
TSIJOLZ,O,X,O,O,O
TSIJOZL,O,O,O,O,O
TSIZLJO,O,O,X,O,X
TSIZLOJ,O,O,X,O,X
TSIZJLO,O,O,X,O,X
TSIZJOL,O,O,X,O,O
TSIZOLJ,O,O,X,O,X
TSIZOJL,O,O,X,O,O
TSIOLJZ,O,X,O,O,O
TSIOLZJ,O,X,X,O,O
TSIOJLZ,O,X,O,O,O
TSIOJZL,O,O,O,O,O
TSIOZLJ,O,O,X,O,X
TSIOZJL,O,O,X,O,O
TSLIJZO,O,O,O,O,O
TSLIJOZ,O,O,O,O,O
TSLIZJO,O,O,X,O,O
TSLIZOJ,O,O,X,O,O
TSLIOJZ,O,O,O,O,O
TSLIOZJ,O,O,X,O,O
TSLJIZO,O,O,O,O,O
TSLJIOZ,O,O,O,O,O
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,O,O
TSLJOIZ,O,O,O,O,O
TSLJOZI,O,O,O,O,O
TSLZIJO,O,O,X,O,O
TSLZIOJ,O,O,X,O,O
TSLZJIO,O,O,X,O,O
TSLZJOI,O,O,X,O,O
TSLZOIJ,O,O,X,O,O
TSLZOJI,O,O,X,O,O
TSLOIJZ,O,O,O,O,O
TSLOIZJ,O,O,X,O,O
TSLOJIZ,O,O,O,O,O
TSLOJZI,O,O,O,O,O
TSLOZIJ,O,O,X,O,O
TSLOZJI,O,O,X,O,O
TSJILZO,O,O,O,O,O
TSJILOZ,O,O,O,O,O
TSJIZLO,O,O,O,O,X
TSJIZOL,O,O,O,O,O
TSJIOLZ,O,X,O,O,O
TSJIOZL,O,O,O,O,O
TSJLIZO,O,O,O,O,O
TSJLIOZ,O,O,O,O,O
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,O,O,O
TSJLOIZ,O,O,O,O,O
TSJLOZI,O,O,O,O,O
TSJZILO,O,O,O,O,X
TSJZIOL,O,O,O,O,O
TSJZLIO,O,O,O,O,O
TSJZLOI,O,O,O,O,O
TSJZOIL,O,O,O,O,O
