sequence,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBGjBqsB/tBlrB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBfoB6oBlrBWyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBTjBFnB0nBGrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB/tBCsB0sB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCjBlrBGtBXtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB8rBqsB/tB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBWoBXoBlrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBSoBUnBGrBTtBlsB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCoBlrBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBzlB8rBCoBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lB3mBGoBlsBCsBTtB
TILJSZO,X,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,X,O,O,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,O,X,X,X,X
TILJZOS,X,X,O,X,X,X,O,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,O,X,X,X,X
TILSJZO,O,X,X,O,X,O,X,X,X,X,X
TILSJOZ,O,X,O,O,X,O,X,X,X,X,X
TILSZJO,O,X,X,O,X,O,X,X,X,X,X
TILSZOJ,O,X,O,X,X,O,X,X,X,X,X
TILSOJZ,O,X,O,O,X,O,X,X,X,X,X
TILSOZJ,O,X,O,X,X,O,X,X,X,X,X
TILZJSO,O,X,X,X,X,O,O,X,X,X,X
TILZJOS,O,X,X,X,X,X,O,X,X,X,X
TILZSJO,O,X,X,O,X,O,O,X,X,X,X
TILZSOJ,O,X,O,X,X,O,O,X,X,X,X
TILZOJS,O,X,X,X,X,X,O,X,X,X,X
TILZOSJ,O,X,O,X,X,O,O,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,O,X,X,X,X
TILOSJZ,O,X,O,O,X,O,X,X,X,X,X
TILOSZJ,O,X,O,X,X,O,X,X,X,X,X
TILOZJS,O,X,X,X,X,O,O,X,X,X,X
TILOZSJ,O,X,O,X,X,O,O,X,X,X,X
TIJLSZO,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,O,X,X,X,X,X,X
TIJLZOS,X,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,O,X,X,X,X,X,X
TIJSLZO,X,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,X,X,X,X
TIJSZLO,X,O,O,X,X,X,X,X,X,X,O
TIJSZOL,X,O,X,X,X,X,X,O,X,X,O
TIJSOLZ,X,O,O,X,X,X,X,O,X,X,X
TIJSOZL,X,O,X,X,X,X,X,O,X,X,X
TIJZLSO,X,O,O,X,O,X,X,X,X,X,X
TIJZLOS,X,O,O,X,O,X,X,X,X,X,X
TIJZSLO,X,O,O,X,O,X,X,X,X,X,X
TIJZSOL,X,O,X,X,O,X,X,O,X,X,X
TIJZOLS,X,O,X,X,O,X,X,O,X,X,X
TIJZOSL,X,O,X,X,O,X,X,O,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,O,X,X,X
TIJOLZS,X,X,O,X,O,X,X,O,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,O,X,X,X
TIJOSZL,X,O,X,X,X,X,X,O,X,X,X
TIJOZLS,X,O,X,X,O,X,X,O,X,X,X
TIJOZSL,X,O,X,X,O,X,X,O,X,X,X
TISLJZO,O,X,X,O,X,O,X,X,X,X,X
TISLJOZ,O,X,O,O,X,O,X,X,X,X,X
TISLZJO,O,X,X,O,X,O,X,X,O,X,X
TISLZOJ,O,X,O,X,X,O,X,X,O,X,X
TISLOJZ,O,X,O,O,X,O,X,X,X,X,X
TISLOZJ,O,X,O,X,X,O,X,X,O,O,X
TISJLZO,O,X,X,O,X,O,X,X,X,X,X
TISJLOZ,X,X,O,O,X,O,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,O
TISJZOL,X,X,X,X,X,X,X,X,X,X,O
TISJOLZ,X,X,X,O,X,O,X,X,X,X,X
TISJOZL,X,X,X,O,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,O,X,O
TISZLOJ,O,X,O,X,X,X,X,X,O,X,X
TISZJLO,O,X,X,X,X,X,X,X,O,X,O
TISZJOL,X,X,X,X,X,X,X,X,O,X,O
TISZOLJ,O,X,X,X,X,X,X,X,O,X,X
TISZOJL,X,X,X,X,X,X,X,X,O,X,O
TISOLJZ,X,X,O,O,X,O,X,X,X,X,X
TISOLZJ,X,X,O,O,X,O,X,X,O,O,X
