sequence,v115@OhB8GeE8DeE8JeKEJvhFflBzhBGjBUmBllBRvB,v115@OhB8GeE8DeE8Jex/IvhFKmBzhBGjB/pB0qBFqB,v115@OhB8GeE8DeE8Je0/IvhFlgBzhBGjB/pBxqByvB,v115@OhB8GeE8DeE8JeKEJvhFzfB8mBGjB3lBFmBRvB,v115@OhB8GeE8DeE8Je3AJvhFzhBGjB0kBVrBikBRvB,v115@OhB8GeE8DeE8JeRAJvhFzhBGjBypBUmB1vB/pB
TIZJOLS,O,X,X,X,O,O
TIZJOSL,X,X,O,X,O,X
TIZSLJO,X,X,O,O,O,X
TIZSLOJ,X,X,O,O,O,X
TIZSJLO,X,X,O,O,O,X
TIZSJOL,X,X,O,X,O,X
TIZSOLJ,X,X,O,X,O,X
TIZSOJL,X,X,O,X,O,X
TIZOLJS,O,X,X,X,O,O
TIZOLSJ,O,X,X,X,O,O
TIZOJLS,O,X,X,X,O,O
TIZOJSL,X,X,O,X,O,X
TIZOSLJ,X,X,O,X,O,X
TIZOSJL,X,X,O,X,O,X
TIOLJSZ,O,X,O,X,O,X
TIOLJZS,O,X,X,X,O,X
TIOLSJZ,O,X,O,X,O,X
TIOLSZJ,O,X,O,X,O,X
TIOLZJS,O,X,X,X,O,X
TIOLZSJ,O,X,X,X,O,X
TIOJLSZ,O,X,O,X,O,X
TIOJLZS,O,X,X,X,O,X
TIOJSLZ,X,X,O,X,O,X
TIOJSZL,X,X,O,X,O,X
TIOJZLS,O,X,X,X,O,X
TIOJZSL,X,X,O,X,O,X
TIOSLJZ,X,X,O,X,O,X
TIOSLZJ,X,X,O,X,O,X
TIOSJLZ,X,X,O,X,O,X
TIOSJZL,X,X,O,X,O,X
TIOSZLJ,X,X,O,X,O,X
TIOSZJL,X,X,O,X,O,X
TIOZLJS,O,X,X,X,O,X
TIOZLSJ,O,X,X,X,O,X
TIOZJLS,O,X,X,X,O,X
TIOZJSL,X,X,O,X,O,X
TIOZSLJ,X,X,O,X,O,X
TIOZSJL,X,X,O,X,O,X
TLIJSZO,X,X,X,X,O,X
TLIJSOZ,X,X,X,X,O,X
TLIJZSO,X,X,X,X,O,O
TLIJZOS,X,X,X,X,O,O
TLIJOSZ,X,X,X,X,O,X
TLIJOZS,X,X,X,X,O,X
TLISJZO,X,X,X,X,O,X
TLISJOZ,X,X,X,X,O,X
TLISZJO,X,X,X,X,O,X
TLISZOJ,X,X,X,X,O,X
TLISOJZ,X,X,X,X,O,X
TLISOZJ,X,X,X,X,O,X
TLIZJSO,X,X,X,X,O,O
TLIZJOS,X,X,X,X,O,O
TLIZSJO,X,X,X,X,O,O
TLIZSOJ,X,X,X,X,O,O
TLIZOJS,X,X,X,X,O,O
TLIZOSJ,X,X,X,X,O,O
TLIOJSZ,X,X,X,X,O,X
TLIOJZS,X,X,X,X,O,X
TLIOSJZ,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,O,X
TLIOZJS,X,X,X,X,O,X
TLIOZSJ,X,X,X,X,O,X
TLJISZO,O,X,X,O,O,X
TLJISOZ,O,X,X,O,O,X
TLJIZSO,O,X,X,O,O,O
TLJIZOS,O,X,X,O,O,O
TLJIOSZ,O,X,X,O,O,X
TLJIOZS,O,X,X,O,O,X
TLJSIZO,O,X,X,X,O,X
TLJSIOZ,O,O,X,X,O,X
TLJSZIO,X,O,X,X,X,O
TLJSZOI,O,O,X,X,X,O
TLJSOIZ,O,O,X,X,O,X
