sequence,v115@QhB8EeE8BeA8BeD8Je/EJvhFRgBUiBFjBeqBCmBTrB,v115@QhB8EeE8BeA8BeD8JeT/IvhFylBUiBFjB+rBRqBXqB,v115@QhB8EeE8BeA8BeD8JeUBJvhFFiBXjBxkBCqBTrBmpB,v115@QhB8EeE8BeA8BeD8JeyEJvhFzgBFiBXjB+rBRqB0pB,v115@QhB8EeE8BeA8BeD8JeT/IvhFUiBFjB6rBRqBXqBmqB,v115@QhB8EeE8BeA8BeD8Jem/IvhFzgBFjBCnBRqB0pB3rB
TOJZSIL,O,O,O,X,X,X
TOJZSLI,O,X,O,X,X,X
TOSILJZ,X,O,O,X,X,X
TOSILZJ,O,X,O,X,X,X
TOSIJLZ,O,O,X,X,X,X
TOSIJZL,O,O,O,X,X,X
TOSIZLJ,O,X,O,X,X,X
TOSIZJL,O,X,O,X,X,X
TOSLIJZ,X,X,O,X,X,X
TOSLIZJ,O,X,O,X,X,X
TOSLJIZ,O,X,O,O,X,X
TOSLJZI,O,X,O,X,X,X
TOSLZIJ,O,X,O,X,X,X
TOSLZJI,O,X,O,X,X,X
TOSJILZ,O,O,X,O,X,X
TOSJIZL,O,O,O,O,X,X
TOSJLIZ,O,X,O,O,X,X
TOSJLZI,O,X,O,X,X,X
TOSJZIL,O,O,O,X,X,X
TOSJZLI,O,X,O,X,X,X
TOSZILJ,O,X,O,X,X,X
TOSZIJL,O,X,O,X,X,X
TOSZLIJ,O,X,O,X,X,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,X,O,X,X,X
TOZILJS,O,O,O,X,X,X
TOZILSJ,X,X,O,X,X,X
TOZIJLS,O,O,X,X,X,X
TOZIJSL,O,O,O,X,X,X
TOZISLJ,O,X,O,X,X,X
TOZISJL,O,X,O,X,X,X
TOZLIJS,O,X,O,X,X,X
TOZLISJ,X,X,O,X,O,X
TOZLJIS,O,O,O,X,X,X
TOZLJSI,O,X,O,X,X,X
TOZLSIJ,O,X,O,X,X,X
TOZLSJI,O,X,O,X,X,X
TOZJILS,O,O,X,X,X,X
TOZJISL,O,O,O,X,X,X
TOZJLIS,O,O,O,X,X,X
TOZJLSI,O,X,O,X,X,X
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,X,O,X,X,X
TOZSILJ,O,X,O,X,X,X
TOZSIJL,O,X,O,X,X,X
TOZSLIJ,O,X,O,X,X,X
TOZSLJI,O,X,O,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,X,O,X,X,X
ITLJSZO,O,O,X,O,O,X
ITLJSOZ,O,O,X,O,O,X
ITLJZSO,O,O,X,O,O,O
ITLJZOS,X,O,X,O,X,O
ITLJOSZ,X,O,X,O,X,X
ITLJOZS,X,O,X,O,X,O
ITLSJZO,X,O,X,O,O,X
ITLSJOZ,X,O,X,O,O,X
ITLSZJO,X,X,X,X,O,O
ITLSZOJ,X,X,X,X,O,O
ITLSOJZ,X,O,O,O,O,X
ITLSOZJ,X,X,O,X,O,O
ITLZJSO,O,O,X,X,O,O
ITLZJOS,X,O,X,X,X,O
ITLZSJO,X,X,X,X,O,O
ITLZSOJ,X,X,X,X,O,O
ITLZOJS,X,O,X,X,X,O
ITLZOSJ,X,X,X,X,O,O
ITLOJSZ,X,O,O,O,X,X
ITLOJZS,X,O,O,O,X,O
ITLOSJZ,X,O,O,O,O,X
ITLOSZJ,X,X,O,X,O,O
ITLOZJS,X,O,O,X,X,O
ITLOZSJ,X,X,O,X,O,O
ITJLSZO,O,O,X,O,O,X
ITJLSOZ,O,O,X,O,O,X
ITJLZSO,O,O,X,O,O,X
ITJLZOS,X,O,X,O,X,X
ITJLOSZ,X,O,X,O,X,X
ITJLOZS,X,O,X,O,X,X
ITJSLZO,O,O,X,O,X,X
ITJSLOZ,O,O,X,O,X,X
ITJSZLO,O,O,X,O,X,X
ITJSZOL,O,O,X,O,X,X
ITJSOLZ,O,O,X,O,X,X
ITJSOZL,O,O,X,O,X,X
ITJZLSO,O,O,X,O,X,X
ITJZLOS,X,O,X,O,X,X
ITJZSLO,O,O,X,O,X,X
ITJZSOL,O,O,X,O,X,X
ITJZOLS,O,O,X,O,X,X
ITJZOSL,O,O,X,O,X,X
ITJOLSZ,O,O,X,O,X,X
ITJOLZS,O,O,X,O,X,O
ITJOSLZ,O,O,X,O,X,X
ITJOSZL,O,O,X,O,X,X
ITJOZLS,O,O,X,O,X,X
ITJOZSL,O,O,X,O,X,X
ITSLJZO,O,O,X,O,O,X
ITSLJOZ,O,O,X,O,O,X
ITSLZJO,O,X,X,X,O,X
ITSLZOJ,O,X,X,X,O,X
ITSLOJZ,X,O,O,O,O,X
ITSLOZJ,X,X,O,X,O,X
ITSJLZO,O,O,X,O,X,X
ITSJLOZ,O,O,X,O,X,X
ITSJZLO,O,O,X,O,X,X
ITSJZOL,O,O,X,O,X,X
ITSJOLZ,O,O,X,O,X,X
ITSJOZL,O,O,X,O,X,X
ITSZLJO,O,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X
ITSZJLO,O,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X
ITSOLJZ,X,O,O,O,X,X
ITSOLZJ,O,X,O,X,X,O
ITSOJLZ,O,O,X,O,X,X
ITSOJZL,O,O,O,O,X,X
ITSOZLJ,O,X,O,X,X,X
ITSOZJL,O,X,O,X,X,X
ITZLJSO,O,O,X,X,O,X
ITZLJOS,X,O,X,X,X,X
ITZLSJO,X,X,X,X,O,X
ITZLSOJ,X,X,X,X,O,X
ITZLOJS,X,O,X,X,X,X
ITZLOSJ,X,X,X,X,O,X
ITZJLSO,O,O,X,X,X,X
ITZJLOS,X,O,X,X,X,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,O,X,X,X,X
ITZJOSL,O,O,X,X,X,X
ITZSLJO,O,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X
ITZSJLO,O,X,X,X,X,X
ITZSJOL,O,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X
ITZSOJL,O,X,X,X,X,X
ITZOLJS,O,O,X,X,X,O
ITZOLSJ,X,X,X,X,X,O
ITZOJLS,O,O,X,X,X,X
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,O,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X
ITOLJSZ,O,O,O,O,X,X
ITOLJZS,O,O,O,O,X,O
ITOLSJZ,X,O,O,O,O,X
ITOLSZJ,X,X,O,X,O,O
ITOLZJS,O,O,O,X,X,O
ITOLZSJ,X,X,O,X,O,O
ITOJLSZ,O,O,X,O,X,X
ITOJLZS,O,O,X,O,X,O
ITOJSLZ,O,O,X,O,X,X
ITOJSZL,O,O,O,O,X,X
ITOJZLS,O,O,X,O,X,X
ITOJZSL,O,O,O,O,X,X
ITOSLJZ,X,O,O,O,X,X
ITOSLZJ,O,X,O,X,X,O
ITOSJLZ,O,O,X,O,X,X
ITOSJZL,O,O,O,O,X,X
ITOSZLJ,O,X,O,X,X,X
ITOSZJL,O,X,O,X,X,X
ITOZLJS,O,O,O,X,X,O
ITOZLSJ,X,X,O,X,X,O
ITOZJLS,O,O,X,X,X,X
ITOZJSL,O,O,O,X,X,X
ITOZSLJ,O,X,O,X,X,X
ITOZSJL,O,X,O,X,X,X
ILTJSZO,O,O,X,O,O,X
ILTJSOZ,O,O,X,O,O,X
ILTJZSO,O,O,X,O,O,O
ILTJZOS,X,O,X,O,X,O
ILTJOSZ,X,O,X,O,X,X
ILTJOZS,X,O,X,O,X,O
ILTSJZO,X,O,X,O,O,X
ILTSJOZ,X,O,X,O,O,X
ILTSZJO,X,X,X,X,O,O
ILTSZOJ,X,X,X,X,O,O
ILTSOJZ,X,O,O,O,O,X
ILTSOZJ,X,X,O,X,O,O
ILTZJSO,O,O,X,X,O,O
ILTZJOS,X,O,X,X,X,O
ILTZSJO,X,X,X,X,O,O
ILTZSOJ,X,X,X,X,O,O
ILTZOJS,X,O,X,X,X,O
ILTZOSJ,X,X,X,X,O,O
ILTOJSZ,X,O,O,O,X,X
ILTOJZS,X,O,O,O,X,O
ILTOSJZ,X,O,O,O,O,X
ILTOSZJ,X,X,O,X,O,O
ILTOZJS,X,O,O,X,X,O
ILTOZSJ,X,X,O,X,O,O
ILJTSZO,O,O,X,O,O,X
ILJTSOZ,O,O,X,O,O,X
ILJTZSO,O,O,X,O,O,O
ILJTZOS,X,O,X,O,X,O
ILJTOSZ,X,O,X,O,X,X
ILJTOZS,X,O,X,O,X,O
ILJSTZO,O,O,X,O,O,X
ILJSTOZ,O,O,X,O,O,X
ILJSZTO,O,O,X,O,O,X
ILJSZOT,O,O,X,O,O,X
ILJSOTZ,O,O,O,O,O,X
ILJSOZT,O,O,O,O,O,X
ILJZTSO,O,O,X,O,O,O
ILJZTOS,X,O,X,O,X,O
ILJZSTO,O,O,X,O,O,O
ILJZSOT,O,O,X,O,O,O
ILJZOTS,X,O,X,O,X,O
ILJZOST,X,O,X,O,X,O
ILJOTSZ,X,O,O,O,X,X
ILJOTZS,X,O,O,O,X,O
ILJOSTZ,X,O,O,O,X,X
ILJOSZT,X,O,O,O,X,X
ILJOZTS,X,O,O,O,X,O
ILJOZST,X,O,O,O,X,O
ILSTJZO,X,O,X,O,O,X
ILSTJOZ,X,O,X,O,O,X
ILSTZJO,X,X,X,X,O,O
ILSTZOJ,X,X,X,X,O,O
ILSTOJZ,X,O,O,O,O,X
ILSTOZJ,X,X,O,X,O,O
ILSJTZO,X,O,X,O,O,X
ILSJTOZ,X,O,X,O,O,X
ILSJZTO,X,O,X,O,O,X
ILSJZOT,X,O,X,O,O,X
ILSJOTZ,X,O,O,O,O,X
ILSJOZT,X,O,O,O,O,X
ILSZTJO,X,X,X,X,O,O
ILSZTOJ,X,X,X,X,O,O
ILSZJTO,X,X,X,O,O,O
ILSZJOT,X,X,X,O,O,O
ILSZOTJ,X,X,O,X,O,O
ILSZOJT,X,X,O,O,O,O
ILSOTJZ,X,O,O,O,O,X
ILSOTZJ,X,X,O,X,O,O
ILSOJTZ,X,O,O,O,O,X
ILSOJZT,X,O,O,O,O,X
ILSOZTJ,X,X,O,X,O,O
ILSOZJT,X,X,O,O,O,O
ILZTJSO,O,O,X,X,O,O
ILZTJOS,X,O,X,X,X,O
ILZTSJO,X,X,X,X,O,O
ILZTSOJ,X,X,X,X,O,O
ILZTOJS,X,O,X,X,X,O
ILZTOSJ,X,X,X,X,O,O
ILZJTSO,O,O,X,O,O,O
ILZJTOS,X,O,X,O,X,O
ILZJSTO,O,O,X,O,O,O
ILZJSOT,O,O,X,O,O,O
ILZJOTS,X,O,X,O,X,O
ILZJOST,X,O,X,O,X,O
ILZSTJO,X,X,X,X,O,O
ILZSTOJ,X,X,X,X,O,O
ILZSJTO,X,X,X,O,O,O
ILZSJOT,X,X,X,O,O,O
ILZSOTJ,X,X,O,X,O,O
ILZSOJT,X,X,O,O,O,O
ILZOTJS,X,O,O,X,X,O
ILZOTSJ,X,X,O,X,O,O
ILZOJTS,X,O,O,O,X,O
ILZOJST,X,O,O,O,X,O
ILZOSTJ,X,X,O,X,O,O
ILZOSJT,X,X,O,O,O,O
ILOTJSZ,X,O,O,O,X,X
ILOTJZS,X,O,O,O,X,O
ILOTSJZ,X,O,O,O,O,X
ILOTSZJ,X,X,O,X,O,O
ILOTZJS,X,O,O,X,X,O
ILOTZSJ,X,X,O,X,O,O
ILOJTSZ,X,O,O,O,X,X
ILOJTZS,X,O,O,O,X,O
ILOJSTZ,X,O,O,O,X,X
ILOJSZT,X,O,O,O,X,X
ILOJZTS,X,O,O,O,X,O
ILOJZST,X,O,O,O,X,O
ILOSTJZ,X,O,O,O,O,X
ILOSTZJ,X,X,O,X,O,O
ILOSJTZ,X,O,O,O,O,X
ILOSJZT,X,O,O,O,O,X
ILOSZTJ,X,X,O,X,O,O
ILOSZJT,X,X,O,O,O,O
ILOZTJS,X,O,O,X,X,O
ILOZTSJ,X,X,O,X,O,O
ILOZJTS,X,O,O,O,X,O
ILOZJST,X,O,O,O,X,O
ILOZSTJ,X,X,O,X,O,O
ILOZSJT,X,X,O,O,O,O
IJTLSZO,O,O,X,O,O,X
IJTLSOZ,O,O,X,O,O,X
IJTLZSO,O,O,X,O,O,X
IJTLZOS,X,O,X,O,X,X
IJTLOSZ,X,O,X,O,X,X
IJTLOZS,X,O,X,O,X,X
IJTSLZO,O,O,X,O,X,X
IJTSLOZ,O,O,X,O,X,X
IJTSZLO,O,O,X,O,X,X
IJTSZOL,O,O,X,O,X,X
IJTSOLZ,O,O,X,O,X,X
IJTSOZL,O,O,X,O,X,X
IJTZLSO,O,O,X,O,X,X
IJTZLOS,X,O,X,O,X,X
IJTZSLO,O,O,X,O,X,X
IJTZSOL,O,O,X,O,X,X
IJTZOLS,O,O,X,O,X,X
IJTZOSL,O,O,X,O,X,X
IJTOLSZ,O,O,X,O,X,X
IJTOLZS,O,O,X,O,X,O
IJTOSLZ,O,O,X,O,X,X
IJTOSZL,O,O,X,O,X,X
IJTOZLS,O,O,X,O,X,X
IJTOZSL,O,O,X,O,X,X
IJLTSZO,O,O,X,O,O,X
IJLTSOZ,O,O,X,O,O,X
IJLTZSO,O,O,X,O,O,O
IJLTZOS,X,O,X,O,X,O
IJLTOSZ,X,O,X,O,X,X
IJLTOZS,X,O,X,O,X,O
IJLSTZO,O,O,X,O,O,X
IJLSTOZ,O,O,X,O,O,X
IJLSZTO,O,O,X,O,O,X
IJLSZOT,O,O,X,O,O,X
IJLSOTZ,O,O,O,O,O,X
IJLSOZT,O,O,O,O,O,X
IJLZTSO,O,O,X,O,O,O
IJLZTOS,X,O,X,O,X,O
IJLZSTO,O,O,X,O,O,O
IJLZSOT,O,O,X,O,O,O
IJLZOTS,X,O,X,O,X,O
IJLZOST,X,O,X,O,X,O
IJLOTSZ,X,O,O,O,X,X
IJLOTZS,X,O,O,O,X,O
IJLOSTZ,X,O,O,O,X,X
IJLOSZT,X,O,O,O,X,X
IJLOZTS,X,O,O,O,X,O
IJLOZST,X,O,O,O,X,O
IJSTLZO,O,O,X,O,X,X
IJSTLOZ,O,O,X,O,X,X
IJSTZLO,O,O,X,O,X,X
IJSTZOL,O,O,X,O,X,X
IJSTOLZ,O,O,X,O,X,X
IJSTOZL,O,O,X,O,X,X
IJSLTZO,O,O,X,O,X,X
IJSLTOZ,O,O,X,O,X,X
IJSLZTO,O,O,X,O,X,X
IJSLZOT,O,O,X,O,X,X
IJSLOTZ,O,O,O,O,X,X
IJSLOZT,O,O,O,O,X,X
IJSZTLO,O,O,X,O,X,X
IJSZTOL,O,O,X,O,X,X
IJSZLTO,O,O,X,O,X,X
IJSZLOT,O,O,X,O,X,X
IJSZOTL,O,O,X,O,X,X
IJSZOLT,O,O,X,O,X,X
IJSOTLZ,O,O,X,O,X,X
IJSOTZL,O,O,O,O,X,X
IJSOLTZ,O,O,X,O,X,X
IJSOLZT,O,O,X,O,X,X
IJSOZTL,O,O,O,O,X,X
IJSOZLT,O,O,X,O,X,X
IJZTLSO,O,O,X,O,X,X
IJZTLOS,X,O,X,O,X,X
IJZTSLO,O,O,X,O,X,X
IJZTSOL,O,O,X,O,X,X
IJZTOLS,O,O,X,O,X,X
IJZTOSL,O,O,X,O,X,X
IJZLTSO,O,O,X,O,X,X
IJZLTOS,X,O,X,O,X,X
IJZLSTO,O,O,X,O,X,X
IJZLSOT,O,O,X,O,X,X
IJZLOTS,X,O,X,O,X,X
IJZLOST,X,O,X,O,X,X
IJZSTLO,O,O,X,O,X,X
IJZSTOL,O,O,X,O,X,X
IJZSLTO,O,O,X,O,X,X
IJZSLOT,O,O,X,O,X,X
IJZSOTL,O,O,X,O,X,X
IJZSOLT,O,O,X,O,X,X
IJZOTLS,O,O,X,O,X,X
IJZOTSL,O,O,X,O,X,X
IJZOLTS,O,O,X,O,X,X
IJZOLST,O,O,X,O,X,X
IJZOSTL,O,O,X,O,X,X
IJZOSLT,O,O,X,O,X,X
IJOTLSZ,O,O,X,O,X,X
IJOTLZS,O,O,X,O,X,O
IJOTSLZ,O,O,X,O,X,X
IJOTSZL,O,O,O,O,X,X
IJOTZLS,O,O,X,O,X,X
IJOTZSL,O,O,O,O,X,X
IJOLTSZ,O,O,X,O,X,X
IJOLTZS,O,O,X,O,X,O
IJOLSTZ,O,O,X,O,X,X
IJOLSZT,O,O,X,O,X,X
IJOLZTS,O,O,X,O,X,O
IJOLZST,O,O,X,O,X,O
IJOSTLZ,O,O,X,O,X,X
IJOSTZL,O,O,O,O,X,X
IJOSLTZ,O,O,X,O,X,X
IJOSLZT,O,O,X,O,X,X
IJOSZTL,O,O,O,O,X,X
IJOSZLT,O,O,X,O,X,X
IJOZTLS,O,O,X,O,X,X
IJOZTSL,O,O,O,O,X,X
IJOZLTS,O,O,X,O,X,X
IJOZLST,O,O,X,O,X,X
IJOZSTL,O,O,O,O,X,X
IJOZSLT,O,O,X,O,X,X
ISTLJZO,O,O,X,O,O,X
ISTLJOZ,O,O,X,O,O,X
ISTLZJO,O,X,X,X,O,X
ISTLZOJ,O,X,X,X,O,X
ISTLOJZ,X,O,O,O,O,X
ISTLOZJ,X,X,O,X,O,X
ISTJLZO,O,O,X,O,X,X
ISTJLOZ,O,O,X,O,X,X
ISTJZLO,O,O,X,O,X,X
ISTJZOL,O,O,X,O,X,X
ISTJOLZ,O,O,X,O,X,X
ISTJOZL,O,O,X,O,X,X
ISTZLJO,O,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X
ISTZJLO,O,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X
ISTOLJZ,X,O,O,O,X,X
ISTOLZJ,O,X,O,X,X,O
ISTOJLZ,O,O,X,O,X,X
ISTOJZL,O,O,O,O,X,X
ISTOZLJ,O,X,O,X,X,X
ISTOZJL,O,X,O,X,X,X
ISLTJZO,O,O,X,O,O,X
ISLTJOZ,O,O,X,O,O,X
ISLTZJO,O,X,X,X,O,O
ISLTZOJ,O,X,X,X,O,O
ISLTOJZ,X,O,O,O,O,X
ISLTOZJ,X,X,O,X,O,O
ISLJTZO,O,O,X,O,O,X
ISLJTOZ,O,O,X,O,O,X
ISLJZTO,O,O,X,O,O,X
ISLJZOT,O,O,X,O,O,X
ISLJOTZ,O,O,O,O,O,X
ISLJOZT,O,O,O,O,O,X
ISLZTJO,O,X,X,X,O,O
ISLZTOJ,O,X,X,X,O,O
ISLZJTO,X,X,X,O,O,O
ISLZJOT,X,X,X,O,O,O
ISLZOTJ,X,X,O,X,O,O
ISLZOJT,X,X,O,O,O,O
ISLOTJZ,X,O,O,O,O,X
ISLOTZJ,X,X,O,X,O,O
ISLOJTZ,X,O,O,O,O,X
ISLOJZT,X,O,O,O,O,X
ISLOZTJ,X,X,O,X,O,O
ISLOZJT,X,X,O,O,O,O
ISJTLZO,O,O,X,O,X,X
ISJTLOZ,O,O,X,O,X,X
ISJTZLO,O,O,X,O,X,X
ISJTZOL,O,O,X,O,X,X
ISJTOLZ,O,O,X,O,X,X
ISJTOZL,O,O,X,O,X,X
ISJLTZO,O,O,X,O,X,X
ISJLTOZ,O,O,X,O,X,X
ISJLZTO,O,O,X,O,X,X
ISJLZOT,O,O,X,O,X,X
ISJLOTZ,O,O,O,O,X,X
ISJLOZT,O,O,O,O,X,X
ISJZTLO,O,O,X,O,X,X
ISJZTOL,O,O,X,O,X,X
ISJZLTO,O,O,X,O,X,X
ISJZLOT,O,O,X,O,X,X
ISJZOTL,O,O,X,O,X,X
ISJZOLT,O,O,X,O,X,X
ISJOTLZ,O,O,X,O,X,X
ISJOTZL,O,O,O,O,X,X
ISJOLTZ,O,O,X,O,X,X
ISJOLZT,O,O,X,O,X,X
ISJOZTL,O,O,O,O,X,X
ISJOZLT,O,O,X,O,X,X
ISZTLJO,O,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X
ISZTOLJ,O,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X
ISZLJTO,X,X,X,O,X,X
ISZLJOT,X,X,X,O,X,X
ISZLOTJ,X,X,O,X,X,X
ISZLOJT,X,X,O,O,X,X
ISZJTLO,O,X,X,O,X,X
ISZJTOL,O,X,X,O,X,X
ISZJLTO,O,X,X,O,X,X
ISZJLOT,O,X,X,O,X,X
ISZJOTL,O,X,X,O,X,X
ISZJOLT,O,X,X,O,X,X
ISZOTLJ,O,X,O,X,X,X
ISZOTJL,O,X,O,X,X,X
ISZOLTJ,O,X,O,X,X,X
ISZOLJT,X,X,X,O,X,X
ISZOJTL,O,X,O,O,X,X
ISZOJLT,O,X,X,O,X,X
ISOTLJZ,X,O,O,O,X,X
ISOTLZJ,O,X,O,X,X,O
ISOTJLZ,O,O,X,O,X,X
ISOTJZL,O,O,O,O,X,X
ISOTZLJ,O,X,O,X,X,X
ISOTZJL,O,X,O,X,X,X
ISOLTJZ,X,O,O,O,X,X
ISOLTZJ,O,X,O,X,X,O
ISOLJTZ,X,O,O,O,X,X
ISOLJZT,X,O,O,O,X,X
ISOLZTJ,O,X,O,X,X,O
ISOLZJT,X,X,O,O,X,O
ISOJTLZ,O,O,X,O,X,X
ISOJTZL,O,O,O,O,X,X
ISOJLTZ,O,O,X,O,X,X
ISOJLZT,O,O,X,O,X,X
ISOJZTL,O,O,O,O,X,X
ISOJZLT,O,O,X,O,X,X
ISOZTLJ,O,X,O,X,X,X
ISOZTJL,O,X,O,X,X,X
ISOZLTJ,O,X,O,X,X,X
ISOZLJT,X,X,O,O,X,X
ISOZJTL,O,X,O,O,X,X
ISOZJLT,O,X,X,O,X,X
IZTLJSO,O,O,X,X,O,X
IZTLJOS,X,O,X,X,X,X
IZTLSJO,X,X,X,X,O,X
IZTLSOJ,X,X,X,X,O,X
IZTLOJS,X,O,X,X,X,X
IZTLOSJ,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X
IZTJLOS,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,O,X,X,X,X
IZTJOSL,O,O,X,X,X,X
IZTSLJO,O,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X
IZTSJOL,O,X,X,X,X,X
IZTSOLJ,O,X,X,X,X,X
IZTSOJL,O,X,X,X,X,X
IZTOLJS,O,O,X,X,X,O
IZTOLSJ,X,X,X,X,X,O
IZTOJLS,O,O,X,X,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,O,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X
IZLTJSO,O,O,X,X,O,O
IZLTJOS,X,O,X,X,X,O
IZLTSJO,X,X,X,X,O,O
IZLTSOJ,X,X,X,X,O,O
IZLTOJS,X,O,X,X,X,O
IZLTOSJ,X,X,X,X,O,O
IZLJTSO,O,O,X,O,O,O
IZLJTOS,X,O,X,O,X,O
IZLJSTO,O,O,X,O,O,O
IZLJSOT,O,O,X,O,O,O
IZLJOTS,X,O,X,O,X,O
IZLJOST,X,O,X,O,X,O
IZLSTJO,X,X,X,X,O,O
IZLSTOJ,X,X,X,X,O,O
IZLSJTO,X,X,X,O,O,O
IZLSJOT,X,X,X,O,O,O
IZLSOTJ,X,X,O,X,O,O
IZLSOJT,X,X,O,O,O,O
IZLOTJS,X,O,O,X,X,O
IZLOTSJ,X,X,O,X,O,O
IZLOJTS,X,O,O,O,X,O
IZLOJST,X,O,O,O,X,O
IZLOSTJ,X,X,O,X,O,O
IZLOSJT,X,X,O,O,O,O
IZJTLSO,O,O,X,O,X,X
IZJTLOS,X,O,X,O,X,X
IZJTSLO,O,O,X,O,X,X
IZJTSOL,O,O,X,O,X,X
IZJTOLS,O,O,X,O,X,X
IZJTOSL,O,O,X,O,X,X
IZJLTSO,O,O,X,O,X,X
IZJLTOS,X,O,X,O,X,X
IZJLSTO,O,O,X,O,X,X
IZJLSOT,O,O,X,O,X,X
IZJLOTS,X,O,X,O,X,X
IZJLOST,X,O,X,O,X,X
IZJSTLO,O,O,X,O,X,X
IZJSTOL,O,O,X,O,X,X
IZJSLTO,O,O,X,O,X,X
IZJSLOT,O,O,X,O,X,X
IZJSOTL,O,O,X,O,X,X
IZJSOLT,O,O,X,O,X,X
IZJOTLS,O,O,X,O,X,X
IZJOTSL,O,O,X,O,X,X
IZJOLTS,O,O,X,O,X,X
IZJOLST,O,O,X,O,X,X
IZJOSTL,O,O,X,O,X,X
IZJOSLT,O,O,X,O,X,X
IZSTLJO,O,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X
IZSLJTO,X,X,X,O,X,X
IZSLJOT,X,X,X,O,X,X
IZSLOTJ,X,X,O,X,X,X
IZSLOJT,X,X,O,O,X,X
IZSJTLO,O,X,X,O,X,X
IZSJTOL,O,X,X,O,X,X
IZSJLTO,O,X,X,O,X,X
IZSJLOT,O,X,X,O,X,X
IZSJOTL,O,X,X,O,X,X
IZSJOLT,O,X,X,O,X,X
IZSOTLJ,O,X,O,X,X,X
IZSOTJL,O,X,O,X,X,X
IZSOLTJ,O,X,O,X,X,X
IZSOLJT,X,X,X,O,X,X
IZSOJTL,O,X,O,O,X,X
IZSOJLT,O,X,X,O,X,X
IZOTLJS,O,O,X,X,X,O
IZOTLSJ,X,X,O,X,X,O
IZOTJLS,O,O,X,X,X,X
IZOTJSL,O,O,O,X,X,X
IZOTSLJ,O,X,O,X,X,X
IZOTSJL,O,X,O,X,X,X
IZOLTJS,O,O,X,X,X,O
IZOLTSJ,X,X,O,X,X,O
IZOLJTS,O,O,X,O,X,O
IZOLJST,O,O,X,O,X,O
IZOLSTJ,X,X,O,X,X,O
IZOLSJT,X,X,X,O,X,O
IZOJTLS,O,O,X,O,X,X
IZOJTSL,O,O,O,O,X,X
IZOJLTS,O,O,X,O,X,X
IZOJLST,O,O,X,O,X,X
IZOJSTL,O,O,O,O,X,X
IZOJSLT,O,O,X,O,X,X
IZOSTLJ,O,X,O,X,X,X
IZOSTJL,O,X,O,X,X,X
IZOSLTJ,O,X,O,X,X,X
IZOSLJT,X,X,X,O,X,X
IZOSJTL,O,X,O,O,X,X
IZOSJLT,O,X,X,O,X,X
IOTLJSZ,O,O,O,O,X,X
IOTLJZS,O,O,O,O,X,O
IOTLSJZ,X,O,O,O,O,X
IOTLSZJ,X,X,O,X,O,O
IOTLZJS,O,O,O,X,X,O
IOTLZSJ,X,X,O,X,O,O
IOTJLSZ,O,O,X,O,X,X
IOTJLZS,O,O,X,O,X,O
IOTJSLZ,O,O,X,O,X,X
IOTJSZL,O,O,O,O,X,X
IOTJZLS,O,O,X,O,X,X
IOTJZSL,O,O,O,O,X,X
IOTSLJZ,X,O,O,O,X,X
IOTSLZJ,O,X,O,X,X,O
IOTSJLZ,O,O,X,O,X,X
IOTSJZL,O,O,O,O,X,X
IOTSZLJ,O,X,O,X,X,X
IOTSZJL,O,X,O,X,X,X
IOTZLJS,O,O,O,X,X,O
IOTZLSJ,X,X,O,X,X,O
IOTZJLS,O,O,X,X,X,X
IOTZJSL,O,O,O,X,X,X
IOTZSLJ,O,X,O,X,X,X
IOTZSJL,O,X,O,X,X,X
IOLTJSZ,O,O,O,O,X,X
IOLTJZS,O,O,O,O,X,O
