sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TLJOIZS,X,X,O,X,X
TLJOSIZ,O,X,X,X,X
TLJOSZI,X,X,X,X,X
TLJOZIS,X,X,O,X,X
TLJOZSI,X,X,X,X,X
TLSIJZO,X,O,X,X,X
TLSIJOZ,O,X,X,X,O
TLSIZJO,X,O,X,X,X
TLSIZOJ,X,O,X,O,X
TLSIOJZ,O,X,X,X,O
TLSIOZJ,X,X,X,O,X
TLSJIZO,X,O,X,X,X
TLSJIOZ,O,X,X,X,O
TLSJZIO,X,O,X,X,O
TLSJZOI,X,O,X,X,O
TLSJOIZ,O,X,X,X,O
TLSJOZI,X,X,X,X,O
TLSZIJO,X,O,X,X,O
TLSZIOJ,X,O,X,O,O
TLSZJIO,X,O,X,X,O
TLSZJOI,X,O,X,X,O
TLSZOIJ,X,O,X,O,O
TLSZOJI,X,O,X,X,O
TLSOIJZ,O,X,X,X,O
TLSOIZJ,X,X,X,O,X
TLSOJIZ,O,X,X,X,O
TLSOJZI,X,X,X,X,O
TLSOZIJ,X,X,X,O,O
TLSOZJI,X,X,X,X,O
TLZIJSO,X,X,X,X,X
TLZIJOS,X,X,X,X,X
TLZISJO,X,O,X,X,X
TLZISOJ,X,O,X,X,X
TLZIOJS,X,X,X,X,X
TLZIOSJ,X,O,X,X,X
TLZJISO,X,X,X,X,X
TLZJIOS,X,X,X,X,X
TLZJSIO,X,X,X,X,X
TLZJSOI,X,X,X,X,X
TLZJOIS,X,X,X,X,X
TLZJOSI,X,X,X,X,X
TLZSIJO,X,O,X,X,X
TLZSIOJ,X,O,X,X,X
TLZSJIO,X,O,X,X,X
TLZSJOI,X,O,X,X,X
TLZSOIJ,X,O,X,X,X
TLZSOJI,X,O,X,X,X
TLZOIJS,X,X,X,X,X
TLZOISJ,X,O,X,X,X
TLZOJIS,X,X,X,X,X
TLZOJSI,X,X,X,X,X
TLZOSIJ,X,O,X,X,X
TLZOSJI,X,O,X,X,X
TLOIJSZ,O,X,X,X,X
TLOIJZS,X,X,O,X,X
TLOISJZ,O,X,X,X,O
TLOISZJ,X,X,X,O,X
TLOIZJS,X,X,X,X,X
TLOIZSJ,X,X,X,X,X
TLOJISZ,O,X,X,X,X
TLOJIZS,X,X,O,X,X
TLOJSIZ,O,X,X,X,X
TLOJSZI,X,X,X,X,X
TLOJZIS,X,X,O,X,X
TLOJZSI,X,X,X,X,X
TLOSIJZ,O,X,X,X,O
TLOSIZJ,X,X,X,O,X
TLOSJIZ,O,X,X,X,O
TLOSJZI,X,X,X,X,O
TLOSZIJ,X,X,X,O,O
TLOSZJI,X,X,X,X,O
TLOZIJS,X,X,X,X,X
TLOZISJ,X,X,X,X,X
TLOZJIS,X,X,X,X,X
TLOZJSI,X,X,X,X,X
TLOZSIJ,X,X,X,X,X
TLOZSJI,X,X,X,X,X
TJILSZO,X,X,X,X,X
TJILSOZ,O,X,X,X,X
TJILZSO,X,X,X,X,X
TJILZOS,X,X,O,X,X
TJILOSZ,O,X,X,X,X
TJILOZS,X,X,O,X,X
TJISLZO,X,X,X,X,X
TJISLOZ,O,X,X,X,X
TJISZLO,X,X,X,X,X
TJISZOL,X,X,X,X,X
TJISOLZ,O,X,X,X,X
TJISOZL,X,X,X,X,X
TJIZLSO,X,X,X,X,X
TJIZLOS,X,X,O,X,X
TJIZSLO,X,X,X,X,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,O,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,O,X,X,X,X
TJIOLZS,X,X,O,X,X
TJIOSLZ,O,X,X,X,X
