sequence,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeTAJvhFihBGjB/tB0?qBxrBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeUCJvhFGjBxlB/tBi?lBzqBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KexAJvhFXiBTlBerBU?oBFsB6tB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeTAJvhFKmBmiB5oB1?sB0qBfsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeFBJvhF8mBziB5oBm?qBisB/qB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke0AJvhFxhBTjB/qBi?rBGtBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeTAJvhFGjBxmB/tBi?mB0qBFsB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke2FJvhFiiB5oBfsBz?nBFmB0qB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KexAJvhFXiB2qBUoBF?sB6tBzqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeOFJvhFVmBxiB0nB6?tBfsBzqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke/HJvhFaoB5oBTlBm?rBcrBlqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8Ke3BJvhFeoB5oBTlBi?rBcsBlqB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeKGJvhFmiB5oBTlB1?sBfsB0qB,v115@9gB8HeB8HeB8HeC8BeA8AeB8KeiBJvhFGjBTlB/tBx?rBFsB0qB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJOZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILSJZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILSZJO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TILSZOJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TILZSOJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOJZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X
