sequence,v115@OhA8IeC8AeC8AeE8JeZEJvhFqkB/lBFhBOnBTjBcrB,v115@OhA8IeC8AeC8AeE8JeZEJvhFUgBFhBXiBTjBWqBirB,v115@OhA8IeC8AeC8AeE8JeZEJvhFCgBXhBOnBTjBVqBcrB
TIOJZLS,X,X,O
TIOJZSL,X,X,O
TIOSLJZ,X,X,X
TIOSLZJ,X,X,X
TIOSJLZ,X,X,X
TIOSJZL,X,X,X
TIOSZLJ,X,X,X
TIOSZJL,X,X,X
TIOZLJS,X,X,O
TIOZLSJ,X,X,O
TIOZJLS,X,X,O
TIOZJSL,X,X,O
TIOZSLJ,X,X,O
TIOZSJL,X,X,O
TLIJSZO,X,X,X
TLIJSOZ,X,X,X
TLIJZSO,X,X,O
TLIJZOS,X,X,O
TLIJOSZ,X,X,X
TLIJOZS,X,X,O
TLISJZO,X,X,X
TLISJOZ,X,X,X
TLISZJO,X,X,X
TLISZOJ,X,X,X
TLISOJZ,X,X,X
TLISOZJ,X,X,X
TLIZJSO,X,X,O
TLIZJOS,X,X,O
TLIZSJO,X,X,O
TLIZSOJ,X,X,O
TLIZOJS,X,X,O
TLIZOSJ,X,X,O
TLIOJSZ,X,X,X
TLIOJZS,X,X,O
TLIOSJZ,X,X,X
TLIOSZJ,X,X,X
TLIOZJS,X,X,O
TLIOZSJ,X,X,O
TLJISZO,X,X,X
TLJISOZ,X,X,X
TLJIZSO,X,X,O
TLJIZOS,X,X,O
TLJIOSZ,X,X,X
TLJIOZS,X,X,O
TLJSIZO,X,X,X
TLJSIOZ,X,X,X
TLJSZIO,X,X,X
TLJSZOI,X,X,X
TLJSOIZ,X,X,X
TLJSOZI,X,X,X
TLJZISO,X,X,O
TLJZIOS,X,X,O
TLJZSIO,X,X,O
TLJZSOI,X,X,O
TLJZOIS,X,X,O
TLJZOSI,X,X,O
TLJOISZ,X,X,X
TLJOIZS,X,X,O
TLJOSIZ,X,X,X
TLJOSZI,X,X,X
TLJOZIS,X,X,O
TLJOZSI,X,X,O
TLSIJZO,X,X,X
TLSIJOZ,X,X,X
TLSIZJO,X,X,X
TLSIZOJ,X,X,X
TLSIOJZ,X,X,X
TLSIOZJ,X,X,X
TLSJIZO,X,X,X
TLSJIOZ,X,X,X
TLSJZIO,X,X,X
TLSJZOI,X,X,X
TLSJOIZ,X,X,X
TLSJOZI,X,X,X
TLSZIJO,X,X,X
TLSZIOJ,X,X,X
TLSZJIO,X,X,X
TLSZJOI,X,X,X
TLSZOIJ,X,X,X
TLSZOJI,X,X,X
TLSOIJZ,X,X,X
TLSOIZJ,X,X,X
TLSOJIZ,X,X,X
TLSOJZI,X,X,X
TLSOZIJ,X,X,X
TLSOZJI,X,X,X
TLZIJSO,X,X,O
TLZIJOS,X,X,O
TLZISJO,X,X,O
TLZISOJ,X,X,O
TLZIOJS,X,X,O
TLZIOSJ,X,X,O
TLZJISO,X,X,O
TLZJIOS,X,X,O
TLZJSIO,X,X,O
TLZJSOI,X,X,O
TLZJOIS,X,X,O
TLZJOSI,X,X,O
TLZSIJO,X,X,O
TLZSIOJ,X,X,O
TLZSJIO,X,X,O
TLZSJOI,X,X,O
TLZSOIJ,X,X,O
TLZSOJI,X,X,O
TLZOIJS,X,X,O
TLZOISJ,X,X,O
TLZOJIS,X,X,O
TLZOJSI,X,X,O
TLZOSIJ,X,X,O
TLZOSJI,X,X,O
TLOIJSZ,X,X,X
TLOIJZS,X,X,O
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,X,X,O
TLOIZSJ,X,X,O
TLOJISZ,X,X,X
TLOJIZS,X,X,O
TLOJSIZ,X,X,X
TLOJSZI,X,X,X
TLOJZIS,X,X,O
TLOJZSI,X,X,O
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,X,X,O
TLOZISJ,X,X,O
TLOZJIS,X,X,O
TLOZJSI,X,X,O
TLOZSIJ,X,X,O
TLOZSJI,X,X,O
TJILSZO,X,X,X
TJILSOZ,X,X,X
TJILZSO,X,X,O
TJILZOS,X,X,O
TJILOSZ,X,X,X
TJILOZS,X,X,O
TJISLZO,X,X,X
TJISLOZ,X,X,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,X,X,O
TJIZLOS,X,X,O
TJIZSLO,X,X,O
TJIZSOL,X,X,O
TJIZOLS,X,X,O
TJIZOSL,X,X,O
TJIOLSZ,X,X,X
TJIOLZS,X,X,O
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,X,X,O
TJIOZSL,X,X,O
TJLISZO,X,X,X
TJLISOZ,X,X,X
TJLIZSO,X,X,O
TJLIZOS,X,X,O
TJLIOSZ,X,X,X
TJLIOZS,X,X,O
TJLSIZO,X,X,X
TJLSIOZ,X,X,X
TJLSZIO,X,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,X,X
TJLSOZI,X,X,X
TJLZISO,X,X,O
TJLZIOS,X,X,O
TJLZSIO,X,X,O
TJLZSOI,X,X,O
TJLZOIS,X,X,O
TJLZOSI,X,X,O
TJLOISZ,X,X,X
TJLOIZS,X,X,O
TJLOSIZ,X,X,X
TJLOSZI,X,X,X
TJLOZIS,X,X,O
TJLOZSI,X,X,O
TJSILZO,X,X,X
TJSILOZ,X,X,X
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,X,X
TJSIOZL,X,X,X
TJSLIZO,X,X,X
TJSLIOZ,X,X,X
TJSLZIO,X,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,X,X
TJSLOZI,X,X,X
TJSZILO,X,X,X
TJSZIOL,X,X,X
TJSZLIO,X,X,X
TJSZLOI,X,X,X
TJSZOIL,X,X,X
TJSZOLI,X,X,X
TJSOILZ,X,X,X
TJSOIZL,X,X,X
TJSOLIZ,X,X,X
TJSOLZI,X,X,X
TJSOZIL,X,X,X
TJSOZLI,X,X,X
TJZILSO,X,X,O
TJZILOS,X,X,O
TJZISLO,X,X,O
TJZISOL,X,X,O
TJZIOLS,X,X,O
TJZIOSL,X,X,O
TJZLISO,X,X,O
TJZLIOS,X,X,O
TJZLSIO,X,X,O
TJZLSOI,X,X,O
TJZLOIS,X,X,O
TJZLOSI,X,X,O
TJZSILO,X,X,O
TJZSIOL,X,X,O
TJZSLIO,X,X,O
TJZSLOI,X,X,O
TJZSOIL,X,X,O
TJZSOLI,X,X,O
TJZOILS,X,X,O
TJZOISL,X,X,O
TJZOLIS,X,X,O
TJZOLSI,X,X,O
TJZOSIL,X,X,O
TJZOSLI,X,X,O
TJOILSZ,X,X,X
TJOILZS,X,X,O
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,X,X,O
TJOIZSL,X,X,O
TJOLISZ,X,X,X
TJOLIZS,X,X,O
TJOLSIZ,X,X,X
TJOLSZI,X,X,X
TJOLZIS,X,X,O
TJOLZSI,X,X,O
