sequence,v115@BhB8IeB8IeA8DeF8BeA8JeZEJvhFFgB6nBTjBWqBUm?BXtB,v115@BhB8IeB8IeA8DeF8BeA8JeZEJvhFukBclB6nBTjBVr?BXtB,v115@BhB8IeB8IeA8DeF8BeA8JeZEJvhFWlB0iB6oBVrBXl?BzsB,v115@BhB8IeB8IeA8DeF8BeA8JeZEJvhFukBclB6nBVrBTo?BXtB,v115@BhB8IeB8IeA8DeF8BeA8JeZEJvhFFgB6nBWqBUmBTo?BXtB
TILJSZO,O,O,O,X,X
TILJSOZ,O,O,X,X,X
TILJZSO,O,O,O,O,X
TILJZOS,X,O,O,O,X
TILJOSZ,O,X,O,X,X
TILJOZS,X,X,O,O,X
TILSJZO,O,O,O,X,X
TILSJOZ,O,O,X,X,X
TILSZJO,O,O,O,O,X
TILSZOJ,O,O,X,O,X
TILSOJZ,O,O,X,X,X
TILSOZJ,O,O,X,O,X
TILZJSO,O,O,O,O,O
TILZJOS,O,O,O,O,O
TILZSJO,O,O,O,O,X
TILZSOJ,O,O,X,O,X
TILZOJS,X,O,O,O,O
TILZOSJ,O,O,X,O,X
TILOJSZ,X,X,O,X,X
TILOJZS,X,X,O,O,X
TILOSJZ,X,O,O,X,X
TILOSZJ,X,O,O,O,X
TILOZJS,X,O,O,O,O
TILOZSJ,X,O,O,O,X
TIJLSZO,O,O,O,X,X
TIJLSOZ,O,O,X,X,X
TIJLZSO,O,O,O,O,X
TIJLZOS,X,O,O,O,X
TIJLOSZ,O,X,O,X,X
TIJLOZS,X,X,O,O,X
TIJSLZO,O,O,O,X,X
TIJSLOZ,O,O,X,X,X
TIJSZLO,O,O,O,X,X
TIJSZOL,O,O,X,X,X
TIJSOLZ,O,O,O,X,X
TIJSOZL,O,O,O,X,X
TIJZLSO,O,O,O,O,X
TIJZLOS,X,O,O,O,X
TIJZSLO,O,O,O,O,X
TIJZSOL,O,O,X,O,X
TIJZOLS,X,O,O,O,X
TIJZOSL,X,O,O,O,X
TIJOLSZ,O,X,O,X,X
TIJOLZS,X,X,O,O,X
TIJOSLZ,O,X,O,X,X
