sequence,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeFBJvhFxiBfqB0lBG?nBToBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8Je3AJvhFUiBFjBWqBT?mBStBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFFjBfqBxlBS?tBuqBTrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBfqBxlBV?tBzlBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeRBJvhFGjBzkBCnBV?tB3qBUrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBClBTmBV?tB3lBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeSFJvhFxhBTjBVrBW?tBUqB3rB
TILJSZO,X,O,X,O,O,X,X
TILJSOZ,X,O,X,O,O,O,X
TILJZSO,X,O,X,O,O,X,X
TILJZOS,X,O,X,X,O,O,X
TILJOSZ,X,O,X,X,O,O,X
TILJOZS,X,O,X,X,O,O,X
TILSJZO,X,O,X,O,O,X,X
TILSJOZ,X,O,X,O,O,O,X
TILSZJO,X,O,X,O,O,X,X
TILSZOJ,X,O,X,O,X,X,X
TILSOJZ,X,O,X,O,O,O,X
TILSOZJ,X,O,X,O,X,O,X
TILZJSO,X,O,X,O,O,X,X
TILZJOS,X,O,X,X,O,O,X
TILZSJO,X,O,X,O,X,X,X
TILZSOJ,X,O,X,O,X,X,X
TILZOJS,X,O,X,X,X,O,X
TILZOSJ,X,O,X,X,X,O,X
TILOJSZ,X,O,X,X,O,O,X
TILOJZS,X,O,X,X,O,O,X
TILOSJZ,X,O,X,X,O,O,X
TILOSZJ,X,O,X,X,O,O,X
TILOZJS,X,O,X,X,O,O,X
TILOZSJ,X,O,X,X,X,O,X
TIJLSZO,X,O,X,O,O,X,X
TIJLSOZ,X,O,X,O,O,O,X
TIJLZSO,X,O,X,O,O,X,X
TIJLZOS,X,O,X,X,O,O,X
TIJLOSZ,X,O,X,X,O,O,X
TIJLOZS,X,O,X,X,O,O,X
TIJSLZO,X,O,X,O,X,X,X
TIJSLOZ,X,O,X,O,X,O,X
TIJSZLO,X,O,X,O,X,X,X
TIJSZOL,X,O,X,O,X,O,X
TIJSOLZ,X,X,X,X,X,O,X
TIJSOZL,X,X,X,O,X,O,X
TIJZLSO,X,O,X,O,X,X,X
TIJZLOS,X,O,X,X,X,O,X
TIJZSLO,X,O,X,O,X,X,X
TIJZSOL,X,O,X,O,X,O,X
TIJZOLS,X,X,X,X,X,O,X
TIJZOSL,X,O,X,X,X,O,X
TIJOLSZ,X,O,X,X,O,O,X
TIJOLZS,X,O,X,X,O,O,X
TIJOSLZ,X,O,X,X,X,O,X
TIJOSZL,X,O,X,X,X,O,X
TIJOZLS,X,O,X,X,X,O,X
TIJOZSL,X,O,X,X,X,O,X
TISLJZO,X,X,X,O,O,X,X
TISLJOZ,X,X,X,O,O,O,X
TISLZJO,X,X,X,O,O,X,X
TISLZOJ,X,X,X,O,X,X,X
TISLOJZ,X,X,X,O,O,O,X
TISLOZJ,X,X,X,O,X,O,X
TISJLZO,X,X,X,O,X,X,X
TISJLOZ,X,X,X,O,X,O,X
TISJZLO,X,X,X,O,X,X,X
TISJZOL,X,X,X,O,X,O,X
TISJOLZ,X,X,X,X,X,O,X
TISJOZL,X,X,X,O,X,O,X
TISZLJO,X,X,X,O,X,X,X
TISZLOJ,X,X,X,O,X,X,X
TISZJLO,X,X,X,O,X,X,X
TISZJOL,X,X,X,O,X,O,X
TISZOLJ,X,X,X,X,X,O,X
TISZOJL,X,X,X,O,X,O,X
TISOLJZ,X,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,O,X
TISOJLZ,X,X,X,X,X,O,X
TISOJZL,X,X,X,O,X,O,X
TISOZLJ,X,X,X,X,X,O,X
TISOZJL,X,X,X,O,X,O,X
TIZLJSO,X,O,X,O,X,X,X
TIZLJOS,X,O,X,X,X,O,X
TIZLSJO,X,O,X,O,X,X,X
TIZLSOJ,X,O,X,O,X,X,X
TIZLOJS,X,O,X,X,X,O,X
TIZLOSJ,X,O,X,X,X,O,X
TIZJLSO,X,O,X,O,X,X,X
TIZJLOS,X,O,X,X,X,O,X
TIZJSLO,X,O,X,O,X,X,X
TIZJSOL,X,O,X,O,X,O,X
TIZJOLS,X,O,X,X,X,O,X
TIZJOSL,X,O,X,X,X,O,X
TIZSLJO,X,X,X,O,X,X,X
TIZSLOJ,X,X,X,O,X,X,X
TIZSJLO,X,O,X,O,X,X,X
TIZSJOL,X,O,X,O,X,O,X
TIZSOLJ,X,O,X,X,X,O,X
TIZSOJL,X,O,X,O,X,O,X
TIZOLJS,X,O,X,X,X,O,X
TIZOLSJ,X,O,X,X,X,O,X
TIZOJLS,X,O,X,X,X,O,X
TIZOJSL,X,O,X,X,X,O,X
TIZOSLJ,X,O,X,X,X,O,X
TIZOSJL,X,O,X,X,X,O,X
TIOLJSZ,X,O,X,X,O,O,X
TIOLJZS,X,O,X,X,O,O,X
TIOLSJZ,X,O,X,X,O,O,X
TIOLSZJ,X,O,X,X,O,O,X
TIOLZJS,X,O,X,X,O,O,X
TIOLZSJ,X,O,X,X,X,O,X
TIOJLSZ,X,O,X,X,O,O,X
TIOJLZS,X,O,X,X,O,O,X
TIOJSLZ,X,O,X,X,X,O,X
