sequence,v115@FhB8IeA8HeE8CeD8Jei/IvhFzgB3kBRnBGnB0qBlrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFflBxgB0iBVsBzqBGrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFzfB+lB0iBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8Jex/IvhFCiBTkB2qBlnB3rB8qB,v115@FhB8IeA8HeE8CeD8JeOEJvhF6lB0iBzkBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8JeT/IvhFCiB2rBlnBxpB/qBUrB,v115@FhB8IeA8HeE8CeD8Je1FJvhFxhB0kBurB3nBikBzqB,v115@FhB8IeA8HeE8CeD8JeOEJvhF8kBXhBRnB1qBTnBSwB
TILJSZO,X,X,O,X,X,O,X,X
TILJSOZ,X,X,O,X,X,O,X,X
TILJZSO,X,X,O,X,X,O,X,X
TILJZOS,X,X,O,X,X,O,X,X
TILJOSZ,X,X,O,X,X,O,X,X
TILJOZS,X,X,O,X,X,O,X,X
TILSJZO,O,O,X,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,X,X,X
TILZJOS,X,X,O,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,O,X,X
TILOJZS,X,X,O,X,X,O,X,X
TILOSJZ,O,O,X,O,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,O,X,X
TIJLSOZ,X,X,O,X,X,O,X,X
TIJLZSO,X,X,O,X,X,O,X,X
TIJLZOS,X,X,O,X,X,O,X,X
TIJLOSZ,X,X,O,X,X,O,X,X
TIJLOZS,X,X,O,X,X,O,X,X
TIJSLZO,O,X,X,X,X,O,X,X
TIJSLOZ,O,X,X,O,X,O,X,X
TIJSZLO,O,X,X,X,X,O,X,O
TIJSZOL,O,X,X,X,X,O,X,O
TIJSOLZ,O,X,X,O,X,O,X,X
TIJSOZL,X,X,X,O,X,O,X,X
TIJZLSO,X,X,O,X,X,O,X,X
TIJZLOS,X,X,O,X,X,O,X,X
TIJZSLO,O,X,X,X,X,O,X,O
TIJZSOL,O,X,X,X,X,O,X,O
TIJZOLS,X,X,X,X,O,O,X,X
TIJZOSL,O,X,X,X,X,O,X,X
TIJOLSZ,X,X,X,X,O,O,X,X
TIJOLZS,X,X,X,X,O,O,X,X
TIJOSLZ,O,X,X,O,X,O,X,X
TIJOSZL,X,X,X,O,X,O,X,X
TIJOZLS,X,X,X,X,O,O,X,X
TIJOZSL,X,X,X,X,X,O,X,X
TISLJZO,O,X,X,X,X,X,X,X
TISLJOZ,O,X,X,O,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X
TISLOJZ,O,X,X,O,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,O,X,X
TISJLOZ,O,X,X,O,X,O,X,X
TISJZLO,O,X,X,X,X,O,X,O
TISJZOL,O,X,X,X,X,O,X,O
TISJOLZ,O,X,X,O,X,O,X,X
TISJOZL,X,X,X,O,X,O,X,X
TISZLJO,O,X,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,O
TISZJOL,O,X,X,X,X,X,X,O
TISZOLJ,O,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,O,X,O,X,X
TISOJZL,X,X,X,O,X,O,X,X
TISOZLJ,O,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X
TIZLJSO,X,X,O,X,X,X,X,X
TIZLJOS,X,X,O,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,O,X,X
TIZJLOS,X,X,O,X,X,O,X,X
TIZJSLO,O,X,X,X,X,O,X,O
TIZJSOL,O,X,X,X,X,O,X,O
TIZJOLS,X,X,X,X,O,O,X,X
TIZJOSL,O,X,X,X,X,O,X,X
TIZSLJO,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,O
TIZSJOL,O,X,X,X,X,X,X,O
TIZSOLJ,O,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,O,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X
TIZOJLS,X,X,X,X,O,O,X,X
TIZOJSL,O,X,X,X,X,O,X,X
TIZOSLJ,O,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,X,X
TIOLJZS,X,X,X,X,O,O,X,X
TIOLSJZ,O,O,X,O,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,O,O,X,X
TIOJLZS,X,X,X,X,O,O,X,X
TIOJSLZ,O,X,X,O,X,O,X,X
TIOJSZL,X,X,X,O,X,O,X,X
TIOJZLS,X,X,X,X,O,O,X,X
TIOJZSL,X,X,X,X,X,O,X,X
TIOSLJZ,O,X,X,O,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,O,X,X
TIOSJZL,X,X,X,O,X,O,X,X
TIOSZLJ,O,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,X,X,X,X,O,O,X,X
TIOZJSL,O,X,X,X,X,O,X,X
TIOZSLJ,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,O,X,X
TLIJSOZ,X,X,O,X,X,O,X,X
TLIJZSO,X,X,O,X,X,O,X,X
TLIJZOS,X,X,O,X,X,O,X,X
TLIJOSZ,X,X,O,X,X,O,X,X
TLIJOZS,X,X,O,X,X,O,X,X
TLISJZO,O,O,X,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X
TLIZJSO,X,X,O,X,X,X,X,X
TLIZJOS,X,X,O,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,O,X,X
TLIOJZS,X,X,O,X,X,O,X,X
TLIOSJZ,O,O,X,O,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,O,X,X
TLJISOZ,X,X,O,X,X,O,X,X
TLJIZSO,X,X,O,X,X,O,X,X
TLJIZOS,X,X,O,X,X,O,X,X
TLJIOSZ,X,X,O,X,X,O,X,X
TLJIOZS,X,X,O,X,X,O,X,X
TLJSIZO,X,O,X,X,X,O,X,X
TLJSIOZ,X,X,X,O,X,O,X,X
TLJSZIO,X,O,X,X,X,X,X,X
TLJSZOI,X,O,X,O,X,X,X,X
TLJSOIZ,X,O,X,O,X,X,X,X
TLJSOZI,X,O,X,O,X,X,X,X
TLJZISO,X,X,O,X,X,O,X,X
TLJZIOS,X,X,O,X,X,O,X,X
TLJZSIO,X,O,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X
TLJZOIS,X,X,O,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,O,X,X
TLJOIZS,X,X,O,X,X,O,X,X
TLJOSIZ,X,O,X,O,X,X,X,X
TLJOSZI,X,O,X,O,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X
TLSJIZO,O,O,X,X,X,O,X,X
TLSJIOZ,O,X,X,O,X,O,X,X
TLSJZIO,O,O,X,X,X,X,X,X
TLSJZOI,O,O,X,O,X,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X
TLSJOZI,X,O,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X
TLSZJOI,O,O,X,O,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,X
TLSOIJZ,O,O,X,O,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,X
TLSOJZI,X,O,X,O,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X
TLZIJSO,X,X,O,X,X,X,X,X
TLZIJOS,X,X,O,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X
TLZIOJS,X,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X
TLZJISO,X,X,O,X,X,O,X,X
TLZJIOS,X,X,O,X,X,O,X,X
TLZJSIO,X,O,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,X,X,X
TLZJOIS,X,X,O,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,X
TLZOIJS,X,X,O,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X
TLZOJIS,X,X,O,X,X,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,O,X,X
TLOJIZS,X,X,O,X,X,O,X,X
TLOJSIZ,X,O,X,O,X,X,X,X
TLOJSZI,X,O,X,O,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,X,X
TLOSJZI,X,O,X,O,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X
TLOSZJI,X,O,X,O,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,X
TLOZISJ,X,O,X,X,X,X,X,X
TLOZJIS,X,X,O,X,X,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X
TLOZSIJ,X,O,X,X,X,X,X,X
TLOZSJI,X,O,X,O,X,X,X,X
TJILSZO,X,X,O,X,X,O,X,X
TJILSOZ,X,X,O,X,X,O,X,X
TJILZSO,X,X,O,X,X,O,X,X
TJILZOS,X,X,O,X,X,O,X,X
TJILOSZ,X,X,O,X,X,O,X,X
TJILOZS,X,X,O,X,X,O,X,X
TJISLZO,O,X,X,X,X,O,X,X
TJISLOZ,O,X,X,O,X,O,X,X
TJISZLO,O,X,X,X,X,O,X,O
TJISZOL,O,X,X,X,X,O,X,O
TJISOLZ,O,X,X,O,X,O,X,X
TJISOZL,X,X,X,O,X,O,X,X
