sequence,v115@9gB8HeB8HeA8GeA8AeD8CeB8KeeFJvhFChB8mBziB5?oBdrBXsB,v115@9gB8HeB8HeA8GeA8AeD8CeB8KeeFJvhFChBXiB8nB5?oBdrBzrB,v115@9gB8HeB8HeA8GeA8AeD8CeB8KeyFJvhFumBziB5oBN?sBXlBUrB,v115@9gB8HeB8HeA8GeA8AeD8CeB8KeeFJvhFtlBXiB8nB5?oBTmBywB
ILTJSOZ,O,O,X,X
ILTJZSO,X,O,X,O
ILTJZOS,X,O,X,O
ILTJOSZ,O,O,X,X
ILTJOZS,X,O,X,O
ILTSJZO,O,X,X,X
ILTSJOZ,O,X,X,X
ILTSZJO,O,X,X,X
ILTSZOJ,O,X,X,X
ILTSOJZ,O,X,X,X
ILTSOZJ,O,X,X,X
ILTZJSO,X,O,O,O
ILTZJOS,X,O,O,O
ILTZSJO,X,O,O,O
ILTZSOJ,X,X,O,X
ILTZOJS,X,O,O,X
ILTZOSJ,X,O,O,X
ILTOJSZ,O,O,X,X
ILTOJZS,X,O,X,X
ILTOSJZ,O,X,X,X
ILTOSZJ,O,X,X,X
ILTOZJS,X,O,O,X
ILTOZSJ,X,O,O,X
ILJTSZO,O,O,X,O
ILJTSOZ,O,O,X,X
ILJTZSO,X,O,X,O
ILJTZOS,X,O,X,O
ILJTOSZ,O,O,X,X
ILJTOZS,X,O,X,O
ILJSTZO,O,X,X,O
ILJSTOZ,O,X,X,X
ILJSZTO,O,X,X,O
ILJSZOT,O,X,X,O
ILJSOTZ,O,X,X,X
ILJSOZT,O,X,X,X
ILJZTSO,X,O,X,O
ILJZTOS,X,O,X,O
ILJZSTO,X,O,X,O
ILJZSOT,X,X,X,O
ILJZOTS,X,O,X,O
ILJZOST,X,O,X,O
ILJOTSZ,O,O,X,X
ILJOTZS,X,O,X,O
ILJOSTZ,O,X,X,X
ILJOSZT,O,X,X,X
ILJOZTS,X,O,X,O
ILJOZST,X,O,X,O
ILSTJZO,O,X,X,X
ILSTJOZ,O,X,X,X
ILSTZJO,O,X,X,X
ILSTZOJ,O,X,X,X
ILSTOJZ,O,X,X,X
ILSTOZJ,O,X,X,X
ILSJTZO,O,X,X,O
ILSJTOZ,O,X,X,X
ILSJZTO,O,X,X,O
ILSJZOT,O,X,X,O
ILSJOTZ,O,X,X,X
ILSJOZT,O,X,X,X
ILSZTJO,O,X,X,O
ILSZTOJ,O,X,X,X
ILSZJTO,O,X,X,O
ILSZJOT,O,X,X,O
ILSZOTJ,O,X,X,X
ILSZOJT,O,X,X,O
ILSOTJZ,O,X,X,X
ILSOTZJ,O,X,X,X
ILSOJTZ,O,X,X,X
ILSOJZT,O,X,X,X
ILSOZTJ,O,X,X,X
ILSOZJT,O,X,X,X
ILZTJSO,X,O,O,O
ILZTJOS,X,O,O,O
ILZTSJO,X,O,O,O
ILZTSOJ,X,X,O,X
ILZTOJS,X,O,O,X
ILZTOSJ,X,O,O,X
ILZJTSO,X,O,O,O
ILZJTOS,X,O,O,O
ILZJSTO,X,O,X,O
ILZJSOT,X,X,X,O
ILZJOTS,X,O,O,O
ILZJOST,X,O,X,O
ILZSTJO,X,O,O,O
ILZSTOJ,X,X,O,X
ILZSJTO,X,O,X,O
ILZSJOT,X,X,X,O
ILZSOTJ,X,X,O,X
ILZSOJT,X,X,X,O
ILZOTJS,X,O,O,X
ILZOTSJ,X,O,O,X
ILZOJTS,X,O,O,O
ILZOJST,X,O,X,O
ILZOSTJ,X,O,O,X
ILZOSJT,X,O,X,O
ILOTJSZ,O,O,X,X
ILOTJZS,X,O,X,X
ILOTSJZ,O,X,X,X
ILOTSZJ,O,X,X,X
ILOTZJS,X,O,O,X
ILOTZSJ,X,O,O,X
ILOJTSZ,O,O,X,X
ILOJTZS,X,O,X,O
ILOJSTZ,O,X,X,X
ILOJSZT,O,X,X,X
ILOJZTS,X,O,X,O
ILOJZST,X,O,X,O
ILOSTJZ,O,X,X,X
ILOSTZJ,O,X,X,X
ILOSJTZ,O,X,X,X
ILOSJZT,O,X,X,X
ILOSZTJ,O,X,X,X
ILOSZJT,O,X,X,X
ILOZTJS,X,O,O,X
ILOZTSJ,X,O,O,X
ILOZJTS,X,O,O,O
ILOZJST,X,O,X,O
ILOZSTJ,X,O,O,X
ILOZSJT,X,O,X,O
IJTLSZO,O,O,X,O
IJTLSOZ,O,O,X,X
IJTLZSO,X,O,X,O
IJTLZOS,X,O,X,O
IJTLOSZ,O,O,X,X
IJTLOZS,X,O,X,O
IJTSLZO,O,O,X,O
IJTSLOZ,O,O,X,X
IJTSZLO,O,O,X,O
IJTSZOL,O,O,X,O
IJTSOLZ,O,O,X,X
IJTSOZL,O,O,X,X
IJTZLSO,X,O,O,O
IJTZLOS,X,O,O,O
IJTZSLO,O,O,O,O
IJTZSOL,O,O,O,O
IJTZOLS,X,O,O,O
IJTZOSL,O,O,O,O
IJTOLSZ,O,O,X,X
IJTOLZS,X,O,X,O
IJTOSLZ,O,O,X,X
IJTOSZL,O,O,X,X
IJTOZLS,X,O,O,O
IJTOZSL,O,O,O,O
IJLTSZO,O,O,X,O
IJLTSOZ,O,O,X,X
IJLTZSO,X,O,X,O
IJLTZOS,X,O,X,O
IJLTOSZ,O,O,X,X
IJLTOZS,X,O,X,O
IJLSTZO,O,X,X,O
IJLSTOZ,O,X,X,X
IJLSZTO,O,X,X,O
IJLSZOT,O,X,X,O
IJLSOTZ,O,X,X,X
IJLSOZT,O,X,X,X
IJLZTSO,X,O,X,O
IJLZTOS,X,O,X,O
IJLZSTO,X,O,X,O
IJLZSOT,X,X,X,O
IJLZOTS,X,O,X,O
IJLZOST,X,O,X,O
IJLOTSZ,O,O,X,X
IJLOTZS,X,O,X,O
IJLOSTZ,O,X,X,X
IJLOSZT,O,X,X,X
IJLOZTS,X,O,X,O
IJLOZST,X,O,X,O
IJSTLZO,O,O,X,O
IJSTLOZ,O,O,X,X
IJSTZLO,O,O,X,O
IJSTZOL,O,O,X,O
IJSTOLZ,O,O,X,X
IJSTOZL,O,O,X,X
IJSLTZO,O,X,X,O
IJSLTOZ,O,X,X,X
IJSLZTO,O,X,X,O
IJSLZOT,O,X,X,O
IJSLOTZ,O,X,X,X
IJSLOZT,O,X,X,X
IJSZTLO,O,O,X,O
IJSZTOL,O,O,X,O
IJSZLTO,O,O,X,O
IJSZLOT,O,X,X,O
IJSZOTL,O,O,X,O
IJSZOLT,O,O,X,O
IJSOTLZ,O,O,X,X
IJSOTZL,O,O,X,X
IJSOLTZ,O,X,X,X
IJSOLZT,O,X,X,X
IJSOZTL,O,O,X,X
IJSOZLT,O,O,X,X
IJZTLSO,X,O,O,O
IJZTLOS,X,O,O,O
IJZTSLO,O,O,O,O
IJZTSOL,O,O,O,O
IJZTOLS,X,O,O,O
IJZTOSL,O,O,O,O
IJZLTSO,X,O,O,O
IJZLTOS,X,O,O,O
IJZLSTO,X,O,X,O
IJZLSOT,X,X,X,O
IJZLOTS,X,O,O,O
IJZLOST,X,O,X,O
IJZSTLO,O,O,X,O
IJZSTOL,O,O,X,O
IJZSLTO,O,O,X,O
IJZSLOT,O,X,X,O
IJZSOTL,O,O,X,O
IJZSOLT,O,O,X,O
IJZOTLS,X,O,O,O
IJZOTSL,O,O,O,O
IJZOLTS,X,O,O,O
IJZOLST,X,O,X,O
IJZOSTL,O,O,X,O
IJZOSLT,O,O,X,O
IJOTLSZ,O,O,X,X
IJOTLZS,X,O,X,O
IJOTSLZ,O,O,X,X
IJOTSZL,O,O,X,X
IJOTZLS,X,O,O,O
IJOTZSL,O,O,O,O
IJOLTSZ,O,O,X,X
IJOLTZS,X,O,X,O
IJOLSTZ,O,X,X,X
IJOLSZT,O,X,X,X
IJOLZTS,X,O,X,O
IJOLZST,X,O,X,O
IJOSTLZ,O,O,X,X
IJOSTZL,O,O,X,X
IJOSLTZ,O,X,X,X
IJOSLZT,O,X,X,X
IJOSZTL,O,O,X,X
IJOSZLT,O,O,X,X
IJOZTLS,X,O,O,O
IJOZTSL,O,O,O,O
IJOZLTS,X,O,O,O
IJOZLST,X,O,X,O
IJOZSTL,O,O,X,O
IJOZSLT,O,O,X,O
ISTLJZO,O,X,X,X
ISTLJOZ,O,X,X,X
ISTLZJO,O,X,X,X
ISTLZOJ,O,X,X,X
ISTLOJZ,O,X,X,X
ISTLOZJ,O,X,X,X
ISTJLZO,O,O,X,X
ISTJLOZ,O,O,X,X
ISTJZLO,O,O,X,X
ISTJZOL,O,O,X,X
ISTJOLZ,O,O,X,X
ISTJOZL,O,O,X,X
ISTZLJO,O,O,O,X
ISTZLOJ,O,X,O,X
ISTZJLO,O,O,O,X
ISTZJOL,O,O,O,X
ISTZOLJ,O,O,O,X
ISTZOJL,O,O,O,X
ISTOLJZ,O,X,X,X
ISTOLZJ,O,X,X,X
ISTOJLZ,O,O,X,X
ISTOJZL,O,O,X,X
ISTOZLJ,O,O,O,X
ISTOZJL,O,O,O,X
ISLTJZO,O,X,X,X
ISLTJOZ,O,X,X,X
ISLTZJO,O,X,X,X
ISLTZOJ,O,X,X,X
ISLTOJZ,O,X,X,X
ISLTOZJ,O,X,X,X
ISLJTZO,O,X,X,O
ISLJTOZ,O,X,X,X
ISLJZTO,O,X,X,O
ISLJZOT,O,X,X,O
ISLJOTZ,O,X,X,X
ISLJOZT,O,X,X,X
ISLZTJO,O,X,X,O
ISLZTOJ,O,X,X,X
ISLZJTO,O,X,X,O
ISLZJOT,O,X,X,O
ISLZOTJ,O,X,X,X
ISLZOJT,O,X,X,O
ISLOTJZ,O,X,X,X
ISLOTZJ,O,X,X,X
ISLOJTZ,O,X,X,X
ISLOJZT,O,X,X,X
ISLOZTJ,O,X,X,X
ISLOZJT,O,X,X,X
ISJTLZO,O,O,X,O
ISJTLOZ,O,O,X,X
ISJTZLO,O,O,X,O
ISJTZOL,O,O,X,O
ISJTOLZ,O,O,X,X
ISJTOZL,O,O,X,X
ISJLTZO,O,X,X,O
ISJLTOZ,O,X,X,X
ISJLZTO,O,X,X,O
ISJLZOT,O,X,X,O
ISJLOTZ,O,X,X,X
ISJLOZT,O,X,X,X
ISJZTLO,O,O,X,O
ISJZTOL,O,O,X,O
ISJZLTO,O,O,X,O
ISJZLOT,O,X,X,O
ISJZOTL,O,O,X,O
ISJZOLT,O,O,X,O
ISJOTLZ,O,O,X,X
ISJOTZL,O,O,X,X
ISJOLTZ,O,X,X,X
ISJOLZT,O,X,X,X
ISJOZTL,O,O,X,X
ISJOZLT,O,O,X,X
ISZTLJO,O,O,O,O
ISZTLOJ,O,X,O,X
ISZTJLO,O,O,O,O
ISZTJOL,O,O,O,O
ISZTOLJ,O,O,O,X
ISZTOJL,O,O,O,X
ISZLTJO,O,O,O,O
ISZLTOJ,O,X,O,X
ISZLJTO,O,O,X,O
ISZLJOT,O,X,X,O
ISZLOTJ,O,X,O,X
ISZLOJT,O,X,X,O
ISZJTLO,O,O,X,O
ISZJTOL,O,O,X,O
ISZJLTO,O,O,X,O
ISZJLOT,O,X,X,O
ISZJOTL,O,O,X,O
ISZJOLT,O,O,X,O
ISZOTLJ,O,O,O,X
ISZOTJL,O,O,O,X
ISZOLTJ,O,O,O,X
ISZOLJT,O,O,X,O
ISZOJTL,O,O,X,O
ISZOJLT,O,O,X,O
ISOTLJZ,O,X,X,X
ISOTLZJ,O,X,X,X
ISOTJLZ,O,O,X,X
ISOTJZL,O,O,X,X
ISOTZLJ,O,O,O,X
ISOTZJL,O,O,O,X
ISOLTJZ,O,X,X,X
ISOLTZJ,O,X,X,X
ISOLJTZ,O,X,X,X
ISOLJZT,O,X,X,X
ISOLZTJ,O,X,X,X
ISOLZJT,O,X,X,X
ISOJTLZ,O,O,X,X
ISOJTZL,O,O,X,X
ISOJLTZ,O,X,X,X
ISOJLZT,O,X,X,X
ISOJZTL,O,O,X,X
ISOJZLT,O,O,X,X
ISOZTLJ,O,O,O,X
ISOZTJL,O,O,O,X
ISOZLTJ,O,O,O,X
ISOZLJT,O,O,X,X
ISOZJTL,O,O,X,X
ISOZJLT,O,O,X,X
IZTLJSO,X,O,O,O
IZTLJOS,X,O,O,O
IZTLSJO,X,O,O,O
IZTLSOJ,X,X,O,X
IZTLOJS,X,O,O,X
IZTLOSJ,X,O,O,X
IZTJLSO,X,O,O,O
IZTJLOS,X,O,O,O
IZTJSLO,O,O,O,O
IZTJSOL,O,O,O,O
IZTJOLS,X,O,O,O
IZTJOSL,O,O,O,O
IZTSLJO,O,O,O,O
IZTSLOJ,O,X,O,X
IZTSJLO,O,O,O,O
IZTSJOL,O,O,O,O
IZTSOLJ,O,O,O,X
IZTSOJL,O,O,O,X
IZTOLJS,X,O,O,X
IZTOLSJ,X,O,O,X
IZTOJLS,X,O,O,X
IZTOJSL,O,O,O,X
IZTOSLJ,O,O,O,X
IZTOSJL,O,O,O,X
IZLTJSO,X,O,O,O
IZLTJOS,X,O,O,O
IZLTSJO,X,O,O,O
IZLTSOJ,X,X,O,X
IZLTOJS,X,O,O,X
IZLTOSJ,X,O,O,X
IZLJTSO,X,O,O,O
IZLJTOS,X,O,O,O
IZLJSTO,X,O,X,O
IZLJSOT,X,X,X,O
IZLJOTS,X,O,O,O
IZLJOST,X,O,X,O
IZLSTJO,X,O,O,O
IZLSTOJ,X,X,O,X
IZLSJTO,X,O,X,O
IZLSJOT,X,X,X,O
IZLSOTJ,X,X,O,X
IZLSOJT,X,X,X,O
IZLOTJS,X,O,O,X
IZLOTSJ,X,O,O,X
IZLOJTS,X,O,O,O
IZLOJST,X,O,X,O
IZLOSTJ,X,O,O,X
IZLOSJT,X,O,X,O
IZJTLSO,X,O,O,O
IZJTLOS,X,O,O,O
IZJTSLO,O,O,O,O
IZJTSOL,O,O,O,O
IZJTOLS,X,O,O,O
IZJTOSL,O,O,O,O
IZJLTSO,X,O,O,O
IZJLTOS,X,O,O,O
IZJLSTO,X,O,X,O
IZJLSOT,X,X,X,O
IZJLOTS,X,O,O,O
IZJLOST,X,O,X,O
IZJSTLO,O,O,X,O
IZJSTOL,O,O,X,O
IZJSLTO,O,O,X,O
IZJSLOT,O,X,X,O
IZJSOTL,O,O,X,O
IZJSOLT,O,O,X,O
IZJOTLS,X,O,O,O
IZJOTSL,O,O,O,O
IZJOLTS,X,O,O,O
IZJOLST,X,O,X,O
IZJOSTL,O,O,X,O
IZJOSLT,O,O,X,O
IZSTLJO,O,O,O,O
IZSTLOJ,O,X,O,X
IZSTJLO,O,O,O,O
IZSTJOL,O,O,O,O
IZSTOLJ,O,O,O,X
IZSTOJL,O,O,O,X
IZSLTJO,O,O,O,O
IZSLTOJ,O,X,O,X
IZSLJTO,O,O,X,O
IZSLJOT,O,X,X,O
IZSLOTJ,O,X,O,X
IZSLOJT,O,X,X,O
IZSJTLO,O,O,X,O
IZSJTOL,O,O,X,O
IZSJLTO,O,O,X,O
IZSJLOT,O,X,X,O
IZSJOTL,O,O,X,O
IZSJOLT,O,O,X,O
IZSOTLJ,O,O,O,X
IZSOTJL,O,O,O,X
IZSOLTJ,O,O,O,X
IZSOLJT,O,O,X,O
IZSOJTL,O,O,X,O
IZSOJLT,O,O,X,O
IZOTLJS,X,O,O,X
IZOTLSJ,X,O,O,X
IZOTJLS,X,O,O,X
IZOTJSL,O,O,O,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,O,O,X
IZOLTJS,X,O,O,X
IZOLTSJ,X,O,O,X
IZOLJTS,X,O,O,O
IZOLJST,X,O,X,O
IZOLSTJ,X,O,O,X
IZOLSJT,X,O,X,O
IZOJTLS,X,O,O,O
IZOJTSL,O,O,O,O
IZOJLTS,X,O,O,O
IZOJLST,X,O,X,O
IZOJSTL,O,O,X,O
IZOJSLT,O,O,X,O
IZOSTLJ,O,O,O,X
IZOSTJL,O,O,O,X
IZOSLTJ,O,O,O,X
IZOSLJT,O,O,X,O
IZOSJTL,O,O,X,O
IZOSJLT,O,O,X,O
IOTLJSZ,O,O,X,X
IOTLJZS,X,O,X,X
IOTLSJZ,O,X,X,X
IOTLSZJ,O,X,X,X
IOTLZJS,X,O,O,X
IOTLZSJ,X,O,O,X
IOTJLSZ,O,O,X,X
IOTJLZS,X,O,X,X
IOTJSLZ,O,O,X,X
IOTJSZL,O,O,X,X
IOTJZLS,X,O,O,X
IOTJZSL,O,O,O,X
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,X,X
IOTSJLZ,O,O,X,X
IOTSJZL,O,O,X,X
IOTSZLJ,O,O,O,X
IOTSZJL,O,O,O,X
IOTZLJS,X,O,O,X
IOTZLSJ,X,O,O,X
IOTZJLS,X,O,O,X
IOTZJSL,O,O,O,X
IOTZSLJ,O,O,O,X
IOTZSJL,O,O,O,X
IOLTJSZ,O,O,X,X
IOLTJZS,X,O,X,X
IOLTSJZ,O,X,X,X
IOLTSZJ,O,X,X,X
IOLTZJS,X,O,O,X
IOLTZSJ,X,O,O,X
IOLJTSZ,O,O,X,X
IOLJTZS,X,O,X,O
IOLJSTZ,O,X,X,X
IOLJSZT,O,X,X,X
IOLJZTS,X,O,X,O
IOLJZST,X,O,X,O
IOLSTJZ,O,X,X,X
IOLSTZJ,O,X,X,X
IOLSJTZ,O,X,X,X
IOLSJZT,O,X,X,X
IOLSZTJ,O,X,X,X
IOLSZJT,O,X,X,X
IOLZTJS,X,O,O,X
IOLZTSJ,X,O,O,X
IOLZJTS,X,O,O,O
IOLZJST,X,O,X,O
IOLZSTJ,X,O,O,X
IOLZSJT,X,O,X,O
IOJTLSZ,O,O,X,X
IOJTLZS,X,O,X,O
IOJTSLZ,O,O,X,X
IOJTSZL,O,O,X,X
IOJTZLS,X,O,O,O
IOJTZSL,O,O,O,O
IOJLTSZ,O,O,X,X
IOJLTZS,X,O,X,O
IOJLSTZ,O,X,X,X
IOJLSZT,O,X,X,X
IOJLZTS,X,O,X,O
IOJLZST,X,O,X,O
IOJSTLZ,O,O,X,X
IOJSTZL,O,O,X,X
IOJSLTZ,O,X,X,X
IOJSLZT,O,X,X,X
IOJSZTL,O,O,X,X
IOJSZLT,O,O,X,X
IOJZTLS,X,O,O,O
IOJZTSL,O,O,O,O
IOJZLTS,X,O,O,O
IOJZLST,X,O,X,O
IOJZSTL,O,O,X,O
IOJZSLT,O,O,X,O
IOSTLJZ,O,X,X,X
IOSTLZJ,O,X,X,X
IOSTJLZ,O,O,X,X
IOSTJZL,O,O,X,X
IOSTZLJ,O,O,O,X
IOSTZJL,O,O,O,X
IOSLTJZ,O,X,X,X
IOSLTZJ,O,X,X,X
IOSLJTZ,O,X,X,X
IOSLJZT,O,X,X,X
IOSLZTJ,O,X,X,X
IOSLZJT,O,X,X,X
IOSJTLZ,O,O,X,X
IOSJTZL,O,O,X,X
IOSJLTZ,O,X,X,X
IOSJLZT,O,X,X,X
IOSJZTL,O,O,X,X
IOSJZLT,O,O,X,X
IOSZTLJ,O,O,O,X
IOSZTJL,O,O,O,X
IOSZLTJ,O,O,O,X
IOSZLJT,O,O,X,X
IOSZJTL,O,O,X,X
IOSZJLT,O,O,X,X
IOZTLJS,X,O,O,X
IOZTLSJ,X,O,O,X
IOZTJLS,X,O,O,X
IOZTJSL,O,O,O,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,O,O,X
IOZLTJS,X,O,O,X
IOZLTSJ,X,O,O,X
IOZLJTS,X,O,O,O
IOZLJST,X,O,X,O
IOZLSTJ,X,O,O,X
IOZLSJT,X,O,X,O
IOZJTLS,X,O,O,O
IOZJTSL,O,O,O,O
IOZJLTS,X,O,O,O
IOZJLST,X,O,X,O
IOZJSTL,O,O,X,O
IOZJSLT,O,O,X,O
IOZSTLJ,O,O,O,X
IOZSTJL,O,O,O,X
IOZSLTJ,O,O,O,X
IOZSLJT,O,O,X,O
IOZSJTL,O,O,X,O
IOZSJLT,O,O,X,O
LTIJSZO,O,O,X,O
LTIJSOZ,O,O,X,X
LTIJZSO,X,O,X,O
LTIJZOS,X,O,X,O
LTIJOSZ,O,O,X,X
LTIJOZS,X,O,X,O
LTISJZO,O,X,X,X
LTISJOZ,O,X,X,X
LTISZJO,O,X,X,X
LTISZOJ,O,X,X,X
LTISOJZ,O,X,X,X
LTISOZJ,O,X,X,X
LTIZJSO,X,O,O,O
LTIZJOS,X,O,O,O
LTIZSJO,X,O,O,O
LTIZSOJ,X,X,O,X
LTIZOJS,X,O,O,X
LTIZOSJ,X,O,O,X
LTIOJSZ,O,O,X,X
LTIOJZS,X,O,X,X
LTIOSJZ,O,X,X,X
LTIOSZJ,O,X,X,X
LTIOZJS,X,O,O,X
LTIOZSJ,X,O,O,X
LTJISZO,O,O,X,O
LTJISOZ,O,O,X,X
LTJIZSO,X,O,X,O
LTJIZOS,X,O,X,O
LTJIOSZ,O,O,X,X
LTJIOZS,X,O,X,O
LTJSIZO,O,O,X,O
LTJSIOZ,O,O,X,X
LTJSZIO,O,O,X,O
LTJSZOI,O,O,X,O
LTJSOIZ,O,O,X,X
LTJSOZI,O,O,X,X
LTJZISO,X,O,X,O
LTJZIOS,X,O,X,O
LTJZSIO,X,O,X,O
LTJZSOI,X,O,X,O
LTJZOIS,X,O,X,O
LTJZOSI,X,O,X,O
LTJOISZ,O,O,X,X
LTJOIZS,X,O,X,O
LTJOSIZ,O,O,X,X
LTJOSZI,O,O,X,X
LTJOZIS,X,O,X,O
LTJOZSI,X,O,X,O
LTSIJZO,O,X,X,X
LTSIJOZ,O,X,X,X
LTSIZJO,O,X,X,X
LTSIZOJ,O,X,X,X
LTSIOJZ,O,X,X,X
LTSIOZJ,O,X,X,X
LTSJIZO,O,X,X,X
LTSJIOZ,O,X,X,X
LTSJZIO,O,X,X,X
LTSJZOI,O,X,X,X
LTSJOIZ,O,X,X,X
LTSJOZI,O,X,X,X
LTSZIJO,O,X,X,X
LTSZIOJ,O,X,X,X
LTSZJIO,O,X,X,X
LTSZJOI,O,X,X,X
LTSZOIJ,O,X,X,X
LTSZOJI,O,X,X,X
LTSOIJZ,O,X,X,X
LTSOIZJ,O,X,X,X
LTSOJIZ,O,X,X,X
LTSOJZI,O,X,X,X
LTSOZIJ,O,X,X,X
LTSOZJI,O,X,X,X
LTZIJSO,X,O,O,O
LTZIJOS,X,O,O,O
LTZISJO,X,O,O,O
LTZISOJ,X,X,O,X
LTZIOJS,X,O,O,X
LTZIOSJ,X,O,O,X
LTZJISO,X,O,O,O
LTZJIOS,X,O,O,O
LTZJSIO,X,O,O,O
LTZJSOI,X,O,O,O
LTZJOIS,X,O,O,O
LTZJOSI,X,O,O,O
LTZSIJO,X,O,O,O
LTZSIOJ,X,X,O,X
LTZSJIO,X,O,O,O
LTZSJOI,X,O,O,O
LTZSOIJ,X,X,O,X
LTZSOJI,X,X,O,X
LTZOIJS,X,O,O,X
LTZOISJ,X,O,O,X
LTZOJIS,X,O,O,X
LTZOJSI,X,O,O,X
LTZOSIJ,X,O,O,X
LTZOSJI,X,O,O,X
LTOIJSZ,O,O,X,X
LTOIJZS,X,O,X,X
LTOISJZ,O,X,X,X
LTOISZJ,O,X,X,X
LTOIZJS,X,O,O,X
LTOIZSJ,X,O,O,X
LTOJISZ,O,O,X,X
LTOJIZS,X,O,X,X
LTOJSIZ,O,O,X,X
LTOJSZI,O,O,X,X
LTOJZIS,X,O,X,X
LTOJZSI,X,O,X,X
LTOSIJZ,O,X,X,X
LTOSIZJ,O,X,X,X
LTOSJIZ,O,X,X,X
LTOSJZI,O,X,X,X
LTOSZIJ,O,X,X,X
LTOSZJI,O,X,X,X
LTOZIJS,X,O,O,X
LTOZISJ,X,O,O,X
LTOZJIS,X,O,O,X
LTOZJSI,X,O,O,X
LTOZSIJ,X,O,O,X
LTOZSJI,X,O,O,X
LITJSZO,O,O,X,O
LITJSOZ,O,O,X,X
LITJZSO,X,O,X,O
LITJZOS,X,O,X,O
LITJOSZ,O,O,X,X
LITJOZS,X,O,X,O
LITSJZO,O,X,X,X
LITSJOZ,O,X,X,X
LITSZJO,O,X,X,X
LITSZOJ,O,X,X,X
LITSOJZ,O,X,X,X
LITSOZJ,O,X,X,X
LITZJSO,X,O,O,O
LITZJOS,X,O,O,O
LITZSJO,X,O,O,O
LITZSOJ,X,X,O,X
LITZOJS,X,O,O,X
LITZOSJ,X,O,O,X
LITOJSZ,O,O,X,X
LITOJZS,X,O,X,X
LITOSJZ,O,X,X,X
LITOSZJ,O,X,X,X
LITOZJS,X,O,O,X
LITOZSJ,X,O,O,X
LIJTSZO,O,O,X,O
LIJTSOZ,O,O,X,X
LIJTZSO,X,O,X,O
LIJTZOS,X,O,X,O
LIJTOSZ,O,O,X,X
LIJTOZS,X,O,X,O
LIJSTZO,O,X,X,O
LIJSTOZ,O,X,X,X
LIJSZTO,O,X,X,O
LIJSZOT,O,X,X,O
LIJSOTZ,O,X,X,X
LIJSOZT,O,X,X,X
LIJZTSO,X,O,X,O
LIJZTOS,X,O,X,O
LIJZSTO,X,O,X,O
LIJZSOT,X,X,X,O
LIJZOTS,X,O,X,O
LIJZOST,X,O,X,O
LIJOTSZ,O,O,X,X
LIJOTZS,X,O,X,O
LIJOSTZ,O,X,X,X
LIJOSZT,O,X,X,X
LIJOZTS,X,O,X,O
LIJOZST,X,O,X,O
LISTJZO,O,X,X,X
LISTJOZ,O,X,X,X
LISTZJO,O,X,X,X
LISTZOJ,O,X,X,X
LISTOJZ,O,X,X,X
LISTOZJ,O,X,X,X
LISJTZO,O,X,X,O
LISJTOZ,O,X,X,X
LISJZTO,O,X,X,O
LISJZOT,O,X,X,O
LISJOTZ,O,X,X,X
LISJOZT,O,X,X,X
LISZTJO,O,X,X,O
LISZTOJ,O,X,X,X
LISZJTO,O,X,X,O
LISZJOT,O,X,X,O
LISZOTJ,O,X,X,X
LISZOJT,O,X,X,O
LISOTJZ,O,X,X,X
LISOTZJ,O,X,X,X
LISOJTZ,O,X,X,X
LISOJZT,O,X,X,X
LISOZTJ,O,X,X,X
LISOZJT,O,X,X,X
LIZTJSO,X,O,O,O
LIZTJOS,X,O,O,O
LIZTSJO,X,O,O,O
LIZTSOJ,X,X,O,X
LIZTOJS,X,O,O,X
LIZTOSJ,X,O,O,X
LIZJTSO,X,O,O,O
LIZJTOS,X,O,O,O
LIZJSTO,X,O,X,O
LIZJSOT,X,X,X,O
LIZJOTS,X,O,O,O
LIZJOST,X,O,X,O
LIZSTJO,X,O,O,O
LIZSTOJ,X,X,O,X
LIZSJTO,X,O,X,O
LIZSJOT,X,X,X,O
LIZSOTJ,X,X,O,X
LIZSOJT,X,X,X,O
LIZOTJS,X,O,O,X
LIZOTSJ,X,O,O,X
LIZOJTS,X,O,O,O
LIZOJST,X,O,X,O
LIZOSTJ,X,O,O,X
LIZOSJT,X,O,X,O
LIOTJSZ,O,O,X,X
LIOTJZS,X,O,X,X
LIOTSJZ,O,X,X,X
LIOTSZJ,O,X,X,X
LIOTZJS,X,O,O,X
LIOTZSJ,X,O,O,X
LIOJTSZ,O,O,X,X
LIOJTZS,X,O,X,O
LIOJSTZ,O,X,X,X
LIOJSZT,O,X,X,X
LIOJZTS,X,O,X,O
LIOJZST,X,O,X,O
LIOSTJZ,O,X,X,X
LIOSTZJ,O,X,X,X
LIOSJTZ,O,X,X,X
LIOSJZT,O,X,X,X
LIOSZTJ,O,X,X,X
LIOSZJT,O,X,X,X
LIOZTJS,X,O,O,X
LIOZTSJ,X,O,O,X
LIOZJTS,X,O,O,O
LIOZJST,X,O,X,O
LIOZSTJ,X,O,O,X
LIOZSJT,X,O,X,O
LJTISZO,O,O,X,O
LJTISOZ,O,O,X,X
LJTIZSO,X,O,X,O
LJTIZOS,X,O,X,O
LJTIOSZ,O,O,X,X
LJTIOZS,X,O,X,O
LJTSIZO,O,O,X,O
LJTSIOZ,O,O,X,X
LJTSZIO,O,O,X,O
LJTSZOI,O,O,X,O
