sequence,v115@PhA8AeB8FeA8AeE8AeC8KeT/IvhF0gBlhB3iB5oB2q?BCsB,v115@PhA8AeB8FeA8AeE8AeC8KeT/IvhFigB3hBunB5oB1q?B8rB,v115@PhA8AeB8FeA8AeE8AeC8KeT/IvhFKlBfmBlhBunB5o?B8rB
TJSOLIZ,O,O,X
TJSOLZI,O,O,X
TJSOZIL,O,O,X
TJSOZLI,O,O,X
TJZILSO,O,O,O
TJZILOS,O,O,O
TJZISLO,O,O,O
TJZISOL,O,O,O
TJZIOLS,O,O,O
TJZIOSL,O,O,O
TJZLISO,O,O,O
TJZLIOS,O,O,O
TJZLSIO,O,O,O
TJZLSOI,O,O,O
TJZLOIS,O,O,O
TJZLOSI,O,O,O
TJZSILO,O,O,O
TJZSIOL,O,O,O
TJZSLIO,O,O,O
TJZSLOI,O,O,O
TJZSOIL,O,O,O
TJZSOLI,O,O,O
TJZOILS,O,O,O
TJZOISL,O,O,O
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,O,O
TJZOSLI,O,O,O
TJOILSZ,O,O,O
TJOILZS,O,O,O
TJOISLZ,O,O,X
TJOISZL,O,O,X
TJOIZLS,O,O,O
TJOIZSL,O,O,X
TJOLISZ,O,O,O
TJOLIZS,O,O,O
TJOLSIZ,O,O,O
TJOLSZI,O,O,O
TJOLZIS,O,O,O
TJOLZSI,O,O,O
TJOSILZ,O,O,X
TJOSIZL,O,O,X
TJOSLIZ,O,O,X
TJOSLZI,O,O,X
TJOSZIL,O,O,X
TJOSZLI,O,O,X
TJOZILS,O,O,O
TJOZISL,O,O,X
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,O,X
TJOZSLI,O,O,X
TSILJZO,O,O,O
TSILJOZ,O,O,O
TSILZJO,O,O,O
TSILZOJ,O,O,O
TSILOJZ,O,O,O
TSILOZJ,O,O,O
TSIJLZO,O,O,O
TSIJLOZ,O,O,O
TSIJZLO,O,O,O
TSIJZOL,O,O,O
TSIJOLZ,O,O,X
TSIJOZL,O,O,X
TSIZLJO,X,O,O
TSIZLOJ,X,O,O
TSIZJLO,O,O,O
TSIZJOL,O,O,O
TSIZOLJ,X,O,O
TSIZOJL,O,O,O
TSIOLJZ,O,O,X
TSIOLZJ,O,O,X
TSIOJLZ,O,O,X
TSIOJZL,O,O,X
TSIOZLJ,X,O,X
TSIOZJL,O,O,X
TSLIJZO,O,O,O
TSLIJOZ,O,O,O
TSLIZJO,O,O,O
TSLIZOJ,O,O,O
TSLIOJZ,O,O,O
TSLIOZJ,O,O,O
TSLJIZO,O,O,O
TSLJIOZ,O,O,O
TSLJZIO,O,O,O
TSLJZOI,O,O,O
TSLJOIZ,O,O,O
TSLJOZI,O,O,O
TSLZIJO,O,O,O
TSLZIOJ,O,O,O
TSLZJIO,O,O,O
TSLZJOI,O,O,O
TSLZOIJ,O,O,O
TSLZOJI,O,O,O
TSLOIJZ,O,O,O
TSLOIZJ,O,O,O
TSLOJIZ,O,O,O
TSLOJZI,O,O,O
TSLOZIJ,O,O,O
TSLOZJI,O,O,O
TSJILZO,O,O,O
TSJILOZ,O,O,O
TSJIZLO,O,O,O
TSJIZOL,O,O,O
TSJIOLZ,O,O,X
TSJIOZL,O,O,X
TSJLIZO,O,O,O
TSJLIOZ,O,O,O
TSJLZIO,O,O,O
TSJLZOI,O,O,O
TSJLOIZ,O,O,O
TSJLOZI,O,O,O
TSJZILO,O,O,O
TSJZIOL,O,O,O
TSJZLIO,O,O,O
TSJZLOI,O,O,O
TSJZOIL,O,O,O
TSJZOLI,O,O,O
TSJOILZ,O,O,X
TSJOIZL,O,O,X
TSJOLIZ,O,O,X
TSJOLZI,O,O,X
TSJOZIL,O,O,X
TSJOZLI,O,O,X
TSZILJO,X,O,O
TSZILOJ,X,O,O
TSZIJLO,O,O,O
TSZIJOL,O,O,O
TSZIOLJ,X,O,O
TSZIOJL,O,O,O
TSZLIJO,X,O,O
TSZLIOJ,X,O,O
TSZLJIO,X,O,O
TSZLJOI,X,O,O
TSZLOIJ,X,O,O
TSZLOJI,X,O,O
TSZJILO,O,O,O
TSZJIOL,O,O,O
TSZJLIO,O,O,O
TSZJLOI,O,O,O
TSZJOIL,O,O,O
TSZJOLI,O,O,O
TSZOILJ,X,O,O
TSZOIJL,O,O,O
TSZOLIJ,X,O,O
TSZOLJI,X,O,O
TSZOJIL,O,O,O
TSZOJLI,O,O,O
TSOILJZ,O,O,X
TSOILZJ,O,O,X
TSOIJLZ,O,O,X
TSOIJZL,O,O,X
TSOIZLJ,X,O,X
TSOIZJL,O,O,X
TSOLIJZ,O,O,X
TSOLIZJ,O,O,X
TSOLJIZ,O,O,X
TSOLJZI,O,O,X
TSOLZIJ,O,O,X
TSOLZJI,O,O,X
TSOJILZ,O,O,X
TSOJIZL,O,O,X
TSOJLIZ,O,O,X
TSOJLZI,O,O,X
TSOJZIL,O,O,X
TSOJZLI,O,O,X
TSOZILJ,X,O,X
TSOZIJL,O,O,X
TSOZLIJ,X,O,X
TSOZLJI,X,O,X
TSOZJIL,O,O,X
TSOZJLI,O,O,X
TZILJSO,X,O,O
TZILJOS,X,O,O
TZILSJO,X,O,O
TZILSOJ,X,O,O
TZILOJS,X,O,O
TZILOSJ,X,O,O
TZIJLSO,X,O,O
TZIJLOS,X,O,O
TZIJSLO,X,O,O
TZIJSOL,X,O,O
TZIJOLS,X,O,O
TZIJOSL,X,O,O
TZISLJO,X,O,O
TZISLOJ,X,O,O
TZISJLO,X,O,O
TZISJOL,X,O,O
TZISOLJ,X,O,O
TZISOJL,X,O,O
TZIOLJS,X,O,O
TZIOLSJ,X,O,O
TZIOJLS,X,O,O
TZIOJSL,X,O,O
TZIOSLJ,X,O,O
TZIOSJL,X,O,O
TZLIJSO,X,O,O
TZLIJOS,X,O,O
TZLISJO,X,O,O
TZLISOJ,X,O,O
TZLIOJS,X,O,O
TZLIOSJ,X,O,O
TZLJISO,X,O,O
TZLJIOS,X,O,O
TZLJSIO,X,O,O
TZLJSOI,X,O,O
TZLJOIS,X,O,O
TZLJOSI,X,O,O
TZLSIJO,X,O,O
TZLSIOJ,X,O,O
TZLSJIO,X,O,O
TZLSJOI,X,O,O
TZLSOIJ,X,O,O
TZLSOJI,X,O,O
TZLOIJS,X,O,O
TZLOISJ,X,O,O
TZLOJIS,X,O,O
TZLOJSI,X,O,O
TZLOSIJ,X,O,O
TZLOSJI,X,O,O
TZJILSO,X,O,O
TZJILOS,X,O,O
TZJISLO,X,O,O
TZJISOL,X,O,O
TZJIOLS,X,O,O
TZJIOSL,X,O,O
TZJLISO,X,O,O
TZJLIOS,X,O,O
TZJLSIO,X,O,O
TZJLSOI,X,O,O
TZJLOIS,X,O,O
TZJLOSI,X,O,O
TZJSILO,X,O,O
TZJSIOL,X,O,O
TZJSLIO,X,O,O
TZJSLOI,X,O,O
TZJSOIL,X,O,O
TZJSOLI,X,O,O
TZJOILS,X,O,O
TZJOISL,X,O,O
TZJOLIS,X,O,O
TZJOLSI,X,O,O
TZJOSIL,X,O,O
TZJOSLI,X,O,O
TZSILJO,X,O,O
TZSILOJ,X,O,O
TZSIJLO,X,O,O
TZSIJOL,X,O,O
TZSIOLJ,X,O,O
TZSIOJL,X,O,O
TZSLIJO,X,O,O
TZSLIOJ,X,O,O
TZSLJIO,X,O,O
TZSLJOI,X,O,O
TZSLOIJ,X,O,O
TZSLOJI,X,O,O
TZSJILO,X,O,O
TZSJIOL,X,O,O
TZSJLIO,X,O,O
TZSJLOI,X,O,O
TZSJOIL,X,O,O
TZSJOLI,X,O,O
TZSOILJ,X,O,O
TZSOIJL,X,O,O
TZSOLIJ,X,O,O
TZSOLJI,X,O,O
TZSOJIL,X,O,O
TZSOJLI,X,O,O
TZOILJS,X,O,O
TZOILSJ,X,O,O
TZOIJLS,X,O,O
TZOIJSL,X,O,O
TZOISLJ,X,O,O
TZOISJL,X,O,O
TZOLIJS,X,O,O
TZOLISJ,X,O,O
TZOLJIS,X,O,O
TZOLJSI,X,O,O
TZOLSIJ,X,O,O
TZOLSJI,X,O,O
TZOJILS,X,O,O
TZOJISL,X,O,O
TZOJLIS,X,O,O
TZOJLSI,X,O,O
TZOJSIL,X,O,O
TZOJSLI,X,O,O
TZOSILJ,X,O,O
TZOSIJL,X,O,O
TZOSLIJ,X,O,O
TZOSLJI,X,O,O
TZOSJIL,X,O,O
TZOSJLI,X,O,O
TOILJSZ,O,O,O
TOILJZS,O,O,O
TOILSJZ,O,O,O
TOILSZJ,O,O,O
TOILZJS,O,O,O
TOILZSJ,O,O,O
TOIJLSZ,O,O,O
TOIJLZS,O,O,O
TOIJSLZ,O,O,X
TOIJSZL,O,O,X
TOIJZLS,O,O,O
TOIJZSL,O,O,X
TOISLJZ,O,O,X
TOISLZJ,O,O,X
TOISJLZ,O,O,X
TOISJZL,O,O,X
TOISZLJ,X,O,X
TOISZJL,O,O,X
TOIZLJS,X,O,O
TOIZLSJ,X,O,O
TOIZJLS,X,O,O
TOIZJSL,X,O,X
TOIZSLJ,X,O,X
TOIZSJL,X,O,X
TOLIJSZ,O,O,O
TOLIJZS,O,O,O
TOLISJZ,O,O,O
TOLISZJ,O,O,O
TOLIZJS,O,O,O
TOLIZSJ,O,O,O
