sequence,v115@QhA8BeA8EeH8BeB8Jem/IvhFChBxiBTkBXmBlnBUsB,v115@QhA8BeA8EeH8BeB8Jex/IvhF/mBanBFjBTkB0lB+sB,v115@QhA8BeA8EeH8BeB8JeOEJvhF8kBqlBThBxiBVsB3sB,v115@QhA8BeA8EeH8BeB8Jex/IvhF0hBXjBTkBllB6sBmrB,v115@QhA8BeA8EeH8BeB8JeKEJvhFzfBFhBxiBWrB3nBUsB,v115@QhA8BeA8EeH8BeB8Jei/IvhFzgBFjB3kBGnBRrBUsB,v115@QhA8BeA8EeH8BeB8JeOEJvhF8kBRhBzlBfsBlnBCtB
TILJSZO,O,X,X,X,X,O,X
TILJSOZ,O,X,X,X,O,O,X
TILJZSO,X,X,O,X,X,X,X
TILJZOS,X,X,O,X,O,X,X
TILJOSZ,X,X,X,X,O,O,X
TILJOZS,X,X,O,X,O,X,X
TILSJZO,O,X,X,X,O,O,X
TILSJOZ,O,X,X,X,O,O,X
TILSZJO,O,X,O,X,X,O,X
TILSZOJ,O,X,O,X,X,O,X
TILSOJZ,O,X,X,X,O,O,X
TILSOZJ,O,X,O,X,X,O,X
TILZJSO,X,X,O,X,X,X,X
TILZJOS,X,X,O,X,X,X,X
TILZSJO,X,X,O,X,X,X,X
TILZSOJ,X,X,O,X,X,X,X
TILZOJS,X,X,O,X,X,X,X
TILZOSJ,X,X,O,X,X,X,X
TILOJSZ,O,X,X,X,O,O,X
TILOJZS,X,X,O,X,O,X,X
TILOSJZ,O,X,X,X,O,O,X
TILOSZJ,O,X,O,X,X,O,X
TILOZJS,X,X,O,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X
TIJLSZO,O,X,X,X,X,O,X
TIJLSOZ,O,O,X,X,O,O,X
TIJLZSO,X,X,O,X,X,X,X
TIJLZOS,X,X,O,X,O,X,X
TIJLOSZ,X,O,X,X,O,O,X
TIJLOZS,X,X,O,X,O,X,X
TIJSLZO,O,X,X,X,X,O,X
TIJSLOZ,O,O,X,X,O,O,X
TIJSZLO,O,X,X,X,X,O,X
TIJSZOL,X,X,X,O,X,O,X
TIJSOLZ,O,O,X,O,X,O,X
TIJSOZL,O,O,X,O,X,O,X
TIJZLSO,X,O,O,X,X,X,X
TIJZLOS,X,X,O,X,O,X,X
TIJZSLO,O,O,O,X,X,O,X
TIJZSOL,X,O,X,O,X,O,X
TIJZOLS,X,O,O,O,X,X,X
TIJZOSL,X,O,X,O,X,O,X
TIJOLSZ,O,O,X,O,O,O,X
TIJOLZS,X,O,O,O,O,X,X
TIJOSLZ,O,O,X,O,X,O,X
TIJOSZL,O,O,X,O,X,O,X
TIJOZLS,X,O,X,O,X,X,X
TIJOZSL,O,O,X,O,X,O,X
TISLJZO,O,X,X,X,O,O,X
