sequence,v115@MhA8HeB8EeI8Je0/IvhFxgBOnB6oBNpB3qBzsB,v115@MhA8HeB8EeI8Jex/IvhFXhBOnB6oBNpBUqBzsB,v115@MhA8HeB8EeI8Je0/IvhFxgBKnBziB+oBNpB3qB
TLOIJZS,O,X,X
TLOISJZ,X,O,X
TLOISZJ,X,X,X
TLOIZJS,O,X,X
TLOIZSJ,X,X,X
TLOJISZ,X,O,X
TLOJIZS,O,X,X
TLOJSIZ,O,O,X
TLOJSZI,O,O,X
TLOJZIS,O,O,X
TLOJZSI,O,O,X
TLOSIJZ,O,O,X
TLOSIZJ,O,X,X
TLOSJIZ,O,O,X
TLOSJZI,O,O,X
TLOSZIJ,O,O,X
TLOSZJI,O,O,X
TLOZIJS,O,O,X
TLOZISJ,X,O,X
TLOZJIS,O,O,X
TLOZJSI,O,O,X
TLOZSIJ,O,O,X
TLOZSJI,O,O,X
TJILSZO,X,O,X
TJILSOZ,X,O,X
TJILZSO,O,X,X
TJILZOS,O,X,O
TJILOSZ,X,X,X
TJILOZS,X,X,O
TJISLZO,X,O,X
TJISLOZ,X,O,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,O,X
TJISOZL,X,X,X
TJIZLSO,O,X,X
TJIZLOS,O,X,O
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,O,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,O,X
TJIOLZS,O,X,X
TJIOSLZ,X,O,X
TJIOSZL,X,X,X
TJIOZLS,O,X,X
TJIOZSL,X,X,X
TJLISZO,X,O,X
TJLISOZ,X,O,X
TJLIZSO,O,X,X
TJLIZOS,O,X,O
TJLIOSZ,X,X,X
TJLIOZS,X,X,O
TJLSIZO,O,O,O
TJLSIOZ,X,O,O
TJLSZIO,O,O,O
TJLSZOI,X,X,O
TJLSOIZ,X,X,O
TJLSOZI,X,X,O
TJLZISO,O,O,X
TJLZIOS,O,X,O
TJLZSIO,O,O,O
TJLZSOI,X,X,O
TJLZOIS,X,X,O
TJLZOSI,X,X,O
TJLOISZ,X,X,X
TJLOIZS,X,X,O
TJLOSIZ,X,X,O
TJLOSZI,X,X,O
TJLOZIS,X,X,O
TJLOZSI,X,X,O
TJSILZO,O,O,O
TJSILOZ,X,O,O
TJSIZLO,O,X,O
TJSIZOL,O,X,X
TJSIOLZ,O,O,X
TJSIOZL,O,X,X
TJSLIZO,O,O,O
TJSLIOZ,X,O,O
TJSLZIO,O,O,O
TJSLZOI,X,X,O
TJSLOIZ,X,X,O
TJSLOZI,X,X,O
TJSZILO,O,O,O
TJSZIOL,O,O,X
TJSZLIO,O,O,O
TJSZLOI,X,X,O
TJSZOIL,O,O,X
TJSZOLI,O,O,O
TJSOILZ,O,O,X
TJSOIZL,O,X,X
TJSOLIZ,O,O,O
TJSOLZI,O,O,O
TJSOZIL,O,O,X
TJSOZLI,O,O,O
TJZILSO,O,O,X
TJZILOS,O,X,O
TJZISLO,X,O,X
TJZISOL,X,O,X
TJZIOLS,O,O,X
TJZIOSL,X,O,X
TJZLISO,O,O,X
TJZLIOS,O,X,O
TJZLSIO,O,O,O
TJZLSOI,X,X,O
TJZLOIS,X,X,O
TJZLOSI,X,X,O
TJZSILO,O,O,O
TJZSIOL,O,O,X
TJZSLIO,O,O,O
TJZSLOI,X,X,O
TJZSOIL,O,O,X
TJZSOLI,O,O,O
TJZOILS,O,O,X
TJZOISL,X,O,X
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,O,X
TJZOSLI,O,O,O
TJOILSZ,X,O,X
TJOILZS,O,X,X
TJOISLZ,X,O,X
TJOISZL,X,X,X
TJOIZLS,O,X,X
TJOIZSL,X,X,X
TJOLISZ,X,O,X
TJOLIZS,O,X,O
TJOLSIZ,O,O,O
TJOLSZI,O,O,O
TJOLZIS,O,O,O
TJOLZSI,O,O,O
TJOSILZ,O,O,X
TJOSIZL,O,X,X
TJOSLIZ,O,O,O
TJOSLZI,O,O,O
TJOSZIL,O,O,X
TJOSZLI,O,O,O
TJOZILS,O,O,X
TJOZISL,X,O,X
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,O,X
TJOZSLI,O,O,O
TSILJZO,O,O,O
TSILJOZ,X,O,O
TSILZJO,O,X,O
TSILZOJ,O,X,X
TSILOJZ,O,O,X
TSILOZJ,O,X,X
TSIJLZO,O,O,O
TSIJLOZ,X,O,O
TSIJZLO,O,X,O
TSIJZOL,O,X,X
TSIJOLZ,O,O,X
TSIJOZL,O,X,X
TSIZLJO,O,X,O
TSIZLOJ,O,X,X
TSIZJLO,O,X,O
TSIZJOL,O,X,X
TSIZOLJ,O,X,X
TSIZOJL,O,X,X
TSIOLJZ,O,O,X
TSIOLZJ,O,X,X
TSIOJLZ,O,O,X
TSIOJZL,O,X,X
TSIOZLJ,O,X,X
TSIOZJL,O,X,X
TSLIJZO,O,O,O
TSLIJOZ,X,O,O
TSLIZJO,O,X,O
TSLIZOJ,O,X,X
TSLIOJZ,O,O,X
TSLIOZJ,O,X,X
TSLJIZO,O,O,O
TSLJIOZ,X,O,O
TSLJZIO,O,O,O
TSLJZOI,X,X,O
TSLJOIZ,X,X,O
TSLJOZI,X,X,O
TSLZIJO,O,O,O
TSLZIOJ,O,O,X
TSLZJIO,O,O,O
TSLZJOI,X,X,O
TSLZOIJ,O,O,X
TSLZOJI,O,O,X
TSLOIJZ,O,O,X
TSLOIZJ,O,X,X
TSLOJIZ,O,O,X
TSLOJZI,O,O,X
TSLOZIJ,O,O,X
TSLOZJI,O,O,X
TSJILZO,O,O,O
TSJILOZ,X,O,O
TSJIZLO,O,X,O
TSJIZOL,O,X,X
TSJIOLZ,O,O,X
TSJIOZL,O,X,X
TSJLIZO,O,O,O
TSJLIOZ,X,O,O
TSJLZIO,O,O,O
TSJLZOI,X,X,O
TSJLOIZ,X,X,O
TSJLOZI,X,X,O
TSJZILO,O,O,O
TSJZIOL,O,O,X
TSJZLIO,O,O,O
TSJZLOI,X,X,O
TSJZOIL,O,O,X
TSJZOLI,O,O,O
TSJOILZ,O,O,X
TSJOIZL,O,X,X
TSJOLIZ,O,O,O
TSJOLZI,O,O,O
TSJOZIL,O,O,X
TSJOZLI,O,O,O
TSZILJO,O,O,O
TSZILOJ,O,O,X
TSZIJLO,O,O,O
TSZIJOL,O,O,X
TSZIOLJ,O,O,X
TSZIOJL,O,O,X
TSZLIJO,O,O,O
TSZLIOJ,O,O,X
TSZLJIO,O,O,O
TSZLJOI,X,X,O
TSZLOIJ,O,O,X
TSZLOJI,O,O,X
TSZJILO,O,O,O
TSZJIOL,O,O,X
TSZJLIO,O,O,O
TSZJLOI,X,X,O
TSZJOIL,O,O,X
TSZJOLI,O,O,O
TSZOILJ,O,O,X
TSZOIJL,O,O,X
TSZOLIJ,O,O,X
TSZOLJI,O,O,X
TSZOJIL,O,O,X
TSZOJLI,O,O,X
TSOILJZ,O,O,X
TSOILZJ,O,X,X
TSOIJLZ,O,O,X
TSOIJZL,O,X,X
TSOIZLJ,O,X,X
TSOIZJL,O,X,X
TSOLIJZ,O,O,X
TSOLIZJ,O,X,X
TSOLJIZ,O,O,X
TSOLJZI,O,O,X
TSOLZIJ,O,O,X
TSOLZJI,O,O,X
TSOJILZ,O,O,X
TSOJIZL,O,X,X
TSOJLIZ,O,O,X
TSOJLZI,O,O,X
TSOJZIL,O,O,X
TSOJZLI,O,O,X
TSOZILJ,O,O,X
TSOZIJL,O,O,X
TSOZLIJ,O,O,X
TSOZLJI,O,O,X
TSOZJIL,O,O,X
TSOZJLI,O,O,X
TZILJSO,O,O,X
TZILJOS,O,X,O
TZILSJO,X,O,X
TZILSOJ,X,O,X
TZILOJS,O,O,X
TZILOSJ,X,O,X
TZIJLSO,O,O,X
TZIJLOS,O,X,O
TZIJSLO,X,O,X
TZIJSOL,X,O,X
TZIJOLS,O,O,X
TZIJOSL,X,O,X
TZISLJO,X,O,X
TZISLOJ,X,O,X
TZISJLO,X,O,X
TZISJOL,X,O,X
TZISOLJ,X,O,X
TZISOJL,X,O,X
TZIOLJS,O,O,X
TZIOLSJ,X,O,X
TZIOJLS,O,O,X
TZIOJSL,X,O,X
TZIOSLJ,X,O,X
TZIOSJL,X,O,X
TZLIJSO,O,O,X
TZLIJOS,O,X,O
TZLISJO,X,O,X
TZLISOJ,X,O,X
TZLIOJS,O,O,X
TZLIOSJ,X,O,X
TZLJISO,O,O,X
TZLJIOS,O,X,O
TZLJSIO,O,O,O
TZLJSOI,X,X,O
TZLJOIS,X,X,O
TZLJOSI,X,X,O
TZLSIJO,O,O,O
TZLSIOJ,O,O,X
TZLSJIO,O,O,O
TZLSJOI,X,X,O
TZLSOIJ,O,O,X
TZLSOJI,O,O,X
TZLOIJS,O,O,X
TZLOISJ,X,O,X
TZLOJIS,O,O,X
TZLOJSI,O,O,X
TZLOSIJ,O,O,X
TZLOSJI,O,O,X
TZJILSO,O,O,X
TZJILOS,O,X,O
TZJISLO,X,O,X
TZJISOL,X,O,X
TZJIOLS,O,O,X
TZJIOSL,X,O,X
TZJLISO,O,O,X
TZJLIOS,O,X,O
TZJLSIO,O,O,O
TZJLSOI,X,X,O
TZJLOIS,X,X,O
TZJLOSI,X,X,O
TZJSILO,O,O,O
TZJSIOL,O,O,X
TZJSLIO,O,O,O
TZJSLOI,X,X,O
TZJSOIL,O,O,X
TZJSOLI,O,O,O
TZJOILS,O,O,X
TZJOISL,X,O,X
TZJOLIS,O,O,O
TZJOLSI,O,O,O
TZJOSIL,O,O,X
TZJOSLI,O,O,O
TZSILJO,O,O,O
TZSILOJ,O,O,X
TZSIJLO,O,O,O
TZSIJOL,O,O,X
TZSIOLJ,O,O,X
TZSIOJL,O,O,X
TZSLIJO,O,O,O
TZSLIOJ,O,O,X
TZSLJIO,O,O,O
TZSLJOI,X,X,O
TZSLOIJ,O,O,X
TZSLOJI,O,O,X
TZSJILO,O,O,O
TZSJIOL,O,O,X
TZSJLIO,O,O,O
TZSJLOI,X,X,O
TZSJOIL,O,O,X
TZSJOLI,O,O,O
TZSOILJ,O,O,X
TZSOIJL,O,O,X
TZSOLIJ,O,O,X
TZSOLJI,O,O,X
TZSOJIL,O,O,X
TZSOJLI,O,O,X
TZOILJS,O,O,X
TZOILSJ,X,O,X
TZOIJLS,O,O,X
TZOIJSL,X,O,X
TZOISLJ,X,O,X
TZOISJL,X,O,X
TZOLIJS,O,O,X
TZOLISJ,X,O,X
TZOLJIS,O,O,X
TZOLJSI,O,O,X
TZOLSIJ,O,O,X
TZOLSJI,O,O,X
TZOJILS,O,O,X
TZOJISL,X,O,X
TZOJLIS,O,O,X
TZOJLSI,O,O,X
TZOJSIL,O,O,X
TZOJSLI,O,O,X
TZOSILJ,O,O,X
TZOSIJL,O,O,X
TZOSLIJ,O,O,X
TZOSLJI,O,O,X
TZOSJIL,O,O,X
TZOSJLI,O,O,X
TOILJSZ,X,O,X
TOILJZS,O,X,X
TOILSJZ,X,O,X
TOILSZJ,X,X,X
TOILZJS,O,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,O,X
