sequence,v115@RhC8DeE8DeD8Jei/IvhFRhBcnBTjBGrBFqBXrB,v115@RhC8DeE8DeD8Jei/IvhFcnBTjBRlBFrBurB3qB,v115@RhC8DeE8DeD8Jex/IvhFlhBcnBTjBqqB/rBmpB,v115@RhC8DeE8DeD8Jei/IvhFxhBTjBFnBGrBfrBUqB,v115@RhC8DeE8DeD8Je2EJvhFxhBTjBXnBUrBCrBFqB,v115@RhC8DeE8DeD8Jex/IvhF8lBCiBTjBXnBVwBmpB,v115@RhC8DeE8DeD8Je2EJvhFSnBTjBRrBfrBUqBlrB
TLZSJIO,X,O,O,X,X,O,X
TLZSJOI,X,O,O,X,X,O,X
TLZSOIJ,X,O,O,X,X,O,X
TLZSOJI,X,O,O,X,X,O,X
TLZOIJS,O,O,X,X,X,X,X
TLZOISJ,X,O,O,X,X,O,X
TLZOJIS,O,O,X,O,X,X,X
TLZOJSI,O,O,X,O,X,X,X
TLZOSIJ,X,O,O,X,X,O,X
TLZOSJI,X,O,O,X,X,O,X
TLOIJSZ,X,X,X,O,X,X,O
TLOIJZS,X,O,X,O,X,X,X
TLOISJZ,X,X,X,X,X,X,O
TLOISZJ,X,O,O,X,X,X,X
TLOIZJS,X,O,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X
TLOJISZ,X,X,X,O,X,X,O
TLOJIZS,X,O,X,O,X,X,X
TLOJSIZ,X,X,X,O,X,X,X
TLOJSZI,X,X,X,O,X,X,X
TLOJZIS,O,O,X,O,X,X,X
TLOJZSI,O,O,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,O,X
TLOSJIZ,X,X,X,O,X,X,X
TLOSJZI,X,X,X,O,X,O,X
TLOSZIJ,X,O,O,X,X,O,X
TLOSZJI,X,O,O,X,X,O,X
TLOZIJS,O,O,X,X,X,X,X
TLOZISJ,X,O,O,X,X,O,X
TLOZJIS,O,O,X,O,X,X,X
TLOZJSI,O,O,X,O,X,X,X
TLOZSIJ,X,O,O,X,X,O,X
TLOZSJI,X,O,O,X,X,O,X
TJILSZO,X,X,X,O,X,X,X
TJILSOZ,X,X,X,O,X,X,O
TJILZSO,X,O,X,O,X,X,X
TJILZOS,X,O,X,O,X,X,X
TJILOSZ,X,X,X,O,X,X,O
TJILOZS,X,O,X,O,X,X,X
TJISLZO,X,X,X,O,X,X,X
TJISLOZ,X,X,X,O,X,X,O
TJISZLO,X,X,X,O,X,X,X
TJISZOL,X,X,X,O,X,X,X
TJISOLZ,X,X,X,O,X,X,O
TJISOZL,X,X,X,O,X,X,X
TJIZLSO,X,O,X,O,X,X,X
TJIZLOS,X,O,X,O,X,X,X
TJIZSLO,X,O,X,O,X,X,X
TJIZSOL,X,O,X,O,X,X,X
TJIZOLS,X,O,X,O,X,X,X
TJIZOSL,X,O,X,O,X,X,X
TJIOLSZ,X,X,X,O,X,X,O
TJIOLZS,X,O,X,O,X,X,X
TJIOSLZ,X,X,X,O,X,X,O
TJIOSZL,X,X,X,O,X,X,X
TJIOZLS,X,O,X,O,X,X,X
TJIOZSL,X,O,X,O,X,X,X
TJLISZO,X,X,X,O,X,X,X
TJLISOZ,X,X,X,O,X,X,O
TJLIZSO,X,O,X,O,X,X,X
TJLIZOS,X,O,X,O,X,X,X
TJLIOSZ,X,X,X,O,X,X,O
TJLIOZS,X,O,X,O,X,X,X
TJLSIZO,X,X,X,O,X,X,X
TJLSIOZ,X,X,X,O,X,X,X
TJLSZIO,X,X,X,O,X,X,X
TJLSZOI,X,X,X,O,X,X,X
TJLSOIZ,X,X,X,O,X,X,X
TJLSOZI,X,X,X,O,X,X,X
TJLZISO,O,O,X,O,X,X,X
TJLZIOS,O,O,X,O,X,X,X
TJLZSIO,O,O,X,O,X,X,X
TJLZSOI,O,O,X,O,X,X,X
TJLZOIS,O,O,X,O,X,X,X
TJLZOSI,O,O,X,O,X,X,X
TJLOISZ,X,X,X,O,X,X,O
TJLOIZS,X,O,X,O,X,X,X
TJLOSIZ,X,X,X,O,X,X,X
TJLOSZI,X,X,X,O,X,X,X
TJLOZIS,O,O,X,O,X,X,X
TJLOZSI,O,O,X,O,X,X,X
TJSILZO,X,X,X,O,X,X,X
TJSILOZ,X,X,X,O,X,X,X
TJSIZLO,X,X,X,O,X,X,X
TJSIZOL,X,X,X,O,X,X,X
TJSIOLZ,X,X,X,O,X,X,X
TJSIOZL,X,X,X,O,X,X,X
TJSLIZO,X,X,X,O,X,X,X
TJSLIOZ,X,X,X,O,X,X,X
TJSLZIO,X,X,X,O,X,O,X
TJSLZOI,X,X,X,O,X,O,X
TJSLOIZ,X,X,X,O,X,X,X
TJSLOZI,X,X,X,O,X,O,X
TJSZILO,X,X,X,O,O,O,X
TJSZIOL,X,X,X,O,O,O,X
TJSZLIO,X,X,X,O,O,O,X
TJSZLOI,X,X,X,O,O,O,X
TJSZOIL,X,X,X,O,O,O,X
TJSZOLI,X,X,X,O,O,O,X
TJSOILZ,X,X,X,O,X,X,X
TJSOIZL,X,X,X,O,X,X,X
TJSOLIZ,X,X,X,O,X,X,X
TJSOLZI,X,X,X,O,X,O,X
TJSOZIL,X,X,X,O,O,O,X
TJSOZLI,X,X,X,O,O,O,X
TJZILSO,O,O,X,O,X,X,X
TJZILOS,O,O,X,O,X,X,X
TJZISLO,O,O,X,O,X,O,X
TJZISOL,O,O,X,O,X,O,X
TJZIOLS,O,O,X,O,X,X,X
TJZIOSL,O,O,X,O,X,O,X
TJZLISO,O,O,X,O,X,X,X
TJZLIOS,O,O,X,O,X,X,X
TJZLSIO,O,O,X,O,X,X,X
TJZLSOI,O,O,X,O,X,X,X
TJZLOIS,O,O,X,O,X,X,X
TJZLOSI,O,O,X,O,X,X,X
TJZSILO,O,O,X,O,O,O,X
TJZSIOL,O,O,X,O,O,O,X
TJZSLIO,O,O,X,O,O,O,X
TJZSLOI,O,O,X,O,O,O,X
TJZSOIL,O,O,X,O,O,O,X
TJZSOLI,O,O,X,O,O,O,X
TJZOILS,O,O,X,O,X,X,X
TJZOISL,O,O,X,O,X,O,X
TJZOLIS,O,O,X,O,X,X,X
TJZOLSI,O,O,X,O,X,X,X
TJZOSIL,O,O,X,O,O,O,X
TJZOSLI,O,O,X,O,O,O,X
TJOILSZ,X,X,X,O,X,X,O
TJOILZS,X,O,X,O,X,X,X
TJOISLZ,X,X,X,O,X,X,O
TJOISZL,X,X,X,O,X,X,X
TJOIZLS,X,O,X,O,X,X,X
TJOIZSL,X,O,X,O,X,X,X
TJOLISZ,X,X,X,O,X,X,O
TJOLIZS,X,O,X,O,X,X,X
TJOLSIZ,X,X,X,O,X,X,X
TJOLSZI,X,X,X,O,X,X,X
TJOLZIS,O,O,X,O,X,X,X
TJOLZSI,O,O,X,O,X,X,X
TJOSILZ,X,X,X,O,X,X,X
TJOSIZL,X,X,X,O,X,X,X
TJOSLIZ,X,X,X,O,X,X,X
TJOSLZI,X,X,X,O,X,O,X
TJOSZIL,X,X,X,O,O,O,X
TJOSZLI,X,X,X,O,O,O,X
TJOZILS,O,O,X,O,X,X,X
TJOZISL,O,O,X,O,X,O,X
TJOZLIS,O,O,X,O,X,X,X
TJOZLSI,O,O,X,O,X,X,X
TJOZSIL,O,O,X,O,O,O,X
TJOZSLI,O,O,X,O,O,O,X
TSILJZO,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X
TSILZJO,X,O,X,X,X,O,X
TSILZOJ,X,O,X,X,X,O,X
TSILOJZ,X,X,X,X,X,X,X
TSILOZJ,X,O,X,X,X,O,X
TSIJLZO,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X
TSIZLJO,X,O,X,X,O,O,X
TSIZLOJ,X,O,X,X,O,O,X
TSIZJLO,X,O,X,X,O,O,X
TSIZJOL,X,O,X,X,O,O,X
TSIZOLJ,X,O,X,X,O,O,X
TSIZOJL,X,O,X,X,O,O,X
TSIOLJZ,X,X,X,X,X,X,X
TSIOLZJ,X,O,X,X,X,O,X
TSIOJLZ,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,X,O,O,X
TSIOZJL,X,O,X,X,O,O,X
TSLIJZO,X,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X
TSLIZJO,X,O,O,X,X,O,X
TSLIZOJ,X,O,O,X,X,O,X
TSLIOJZ,X,X,X,X,X,X,X
TSLIOZJ,X,O,O,X,X,O,X
TSLJIZO,X,X,X,O,X,X,X
TSLJIOZ,X,X,X,O,X,X,X
TSLJZIO,X,X,X,O,X,O,X
TSLJZOI,X,X,X,O,X,O,X
TSLJOIZ,X,X,X,O,X,X,X
TSLJOZI,X,X,X,O,X,O,X
TSLZIJO,X,O,O,X,X,O,X
TSLZIOJ,X,O,O,X,X,O,X
TSLZJIO,X,O,O,X,X,O,X
TSLZJOI,X,O,O,X,X,O,X
TSLZOIJ,X,O,O,X,X,O,X
TSLZOJI,X,O,O,X,X,O,X
TSLOIJZ,X,X,X,X,X,X,X
TSLOIZJ,X,O,O,X,X,O,X
TSLOJIZ,X,X,X,O,X,X,X
TSLOJZI,X,X,X,O,X,O,X
TSLOZIJ,X,O,O,X,X,O,X
TSLOZJI,X,O,O,X,X,O,X
TSJILZO,X,X,X,O,X,X,X
TSJILOZ,X,X,X,O,X,X,X
TSJIZLO,X,X,X,O,X,X,X
TSJIZOL,X,X,X,O,X,X,X
TSJIOLZ,X,X,X,O,X,X,X
TSJIOZL,X,X,X,O,X,X,X
TSJLIZO,X,X,X,O,X,X,X
TSJLIOZ,X,X,X,O,X,X,X
TSJLZIO,X,X,X,O,X,O,X
TSJLZOI,X,X,X,O,X,O,X
TSJLOIZ,X,X,X,O,X,X,X
TSJLOZI,X,X,X,O,X,O,X
TSJZILO,X,X,X,O,O,O,X
TSJZIOL,X,X,X,O,O,O,X
TSJZLIO,X,X,X,O,O,O,X
TSJZLOI,X,X,X,O,O,O,X
TSJZOIL,X,X,X,O,O,O,X
TSJZOLI,X,X,X,O,O,O,X
TSJOILZ,X,X,X,O,X,X,X
TSJOIZL,X,X,X,O,X,X,X
TSJOLIZ,X,X,X,O,X,X,X
TSJOLZI,X,X,X,O,X,O,X
TSJOZIL,X,X,X,O,O,O,X
TSJOZLI,X,X,X,O,O,O,X
TSZILJO,X,O,O,X,O,O,X
TSZILOJ,X,O,O,X,O,O,X
TSZIJLO,X,O,X,X,O,O,X
TSZIJOL,X,O,X,X,O,O,X
TSZIOLJ,X,O,O,X,O,O,X
TSZIOJL,X,O,X,X,O,O,X
TSZLIJO,X,O,O,X,O,O,X
TSZLIOJ,X,O,O,X,O,O,X
TSZLJIO,X,O,O,X,O,O,X
TSZLJOI,X,O,O,X,O,O,X
TSZLOIJ,X,O,O,X,O,O,X
TSZLOJI,X,O,O,X,O,O,X
TSZJILO,X,O,X,X,O,O,X
TSZJIOL,X,O,X,X,O,O,X
TSZJLIO,X,O,O,X,O,O,X
TSZJLOI,X,O,O,X,O,O,X
TSZJOIL,X,O,X,X,O,O,X
TSZJOLI,X,O,O,X,O,O,X
TSZOILJ,X,O,O,X,O,O,X
TSZOIJL,X,O,X,X,O,O,X
TSZOLIJ,X,O,O,X,O,O,X
TSZOLJI,X,O,O,X,O,O,X
TSZOJIL,X,O,X,X,O,O,X
TSZOJLI,X,O,O,X,O,O,X
TSOILJZ,X,X,X,X,X,X,X
TSOILZJ,X,O,X,X,X,O,X
TSOIJLZ,X,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X,X
TSOIZLJ,X,O,X,X,O,O,X
TSOIZJL,X,O,X,X,O,O,X
TSOLIJZ,X,X,X,X,X,X,X
TSOLIZJ,X,O,O,X,X,O,X
TSOLJIZ,X,X,X,O,X,X,X
TSOLJZI,X,X,X,O,X,O,X
TSOLZIJ,X,O,O,X,X,O,X
TSOLZJI,X,O,O,X,X,O,X
TSOJILZ,X,X,X,O,X,X,X
TSOJIZL,X,X,X,O,X,X,X
TSOJLIZ,X,X,X,O,X,X,X
TSOJLZI,X,X,X,O,X,O,X
TSOJZIL,X,X,X,O,O,O,X
TSOJZLI,X,X,X,O,O,O,X
TSOZILJ,X,O,O,X,O,O,X
TSOZIJL,X,O,X,X,O,O,X
TSOZLIJ,X,O,O,X,O,O,X
TSOZLJI,X,O,O,X,O,O,X
TSOZJIL,X,O,X,X,O,O,X
TSOZJLI,X,O,O,X,O,O,X
TZILJSO,X,O,X,X,X,X,X
TZILJOS,X,O,X,X,X,X,X
TZILSJO,X,O,X,X,X,O,X
TZILSOJ,X,O,X,X,X,O,X
TZILOJS,O,O,X,X,X,X,X
TZILOSJ,X,O,X,X,X,O,X
TZIJLSO,O,O,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X
TZIJSLO,O,O,X,X,X,O,X
TZIJSOL,O,O,X,X,X,O,X
TZIJOLS,O,O,X,X,X,X,X
TZIJOSL,O,O,X,X,X,O,X
TZISLJO,X,O,O,X,X,O,X
TZISLOJ,X,O,O,X,X,O,X
TZISJLO,X,O,X,X,X,O,X
TZISJOL,X,O,X,X,X,O,X
TZISOLJ,X,O,O,X,X,O,X
TZISOJL,X,O,X,X,X,O,X
TZIOLJS,O,O,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,O,X
TZIOJLS,O,O,X,X,X,X,X
TZIOJSL,O,O,X,X,X,O,X
TZIOSLJ,X,O,O,X,X,O,X
TZIOSJL,X,O,X,X,X,O,X
TZLIJSO,X,O,X,X,X,X,X
TZLIJOS,X,O,X,X,X,X,X
TZLISJO,X,O,O,X,X,O,X
TZLISOJ,X,O,O,X,X,O,X
TZLIOJS,O,O,X,X,X,X,X
TZLIOSJ,X,O,O,X,X,O,X
TZLJISO,O,O,X,O,X,X,X
TZLJIOS,O,O,X,O,X,X,X
TZLJSIO,O,O,X,O,X,X,X
TZLJSOI,O,O,X,O,X,X,X
TZLJOIS,O,O,X,O,X,X,X
TZLJOSI,O,O,X,O,X,X,X
TZLSIJO,X,O,O,X,X,O,X
TZLSIOJ,X,O,O,X,X,O,X
TZLSJIO,X,O,O,X,X,O,X
TZLSJOI,X,O,O,X,X,O,X
TZLSOIJ,X,O,O,X,X,O,X
TZLSOJI,X,O,O,X,X,O,X
TZLOIJS,O,O,X,X,X,X,X
TZLOISJ,X,O,O,X,X,O,X
TZLOJIS,O,O,X,O,X,X,X
TZLOJSI,O,O,X,O,X,X,X
TZLOSIJ,X,O,O,X,X,O,X
TZLOSJI,X,O,O,X,X,O,X
TZJILSO,O,O,X,O,X,X,X
TZJILOS,O,O,X,O,X,X,X
TZJISLO,O,O,X,O,X,O,X
TZJISOL,O,O,X,O,X,O,X
TZJIOLS,O,O,X,O,X,X,X
TZJIOSL,O,O,X,O,X,O,X
TZJLISO,O,O,X,O,X,X,X
TZJLIOS,O,O,X,O,X,X,X
TZJLSIO,O,O,X,O,X,X,X
TZJLSOI,O,O,X,O,X,X,X
TZJLOIS,O,O,X,O,X,X,X
TZJLOSI,O,O,X,O,X,X,X
TZJSILO,O,O,X,O,O,O,X
TZJSIOL,O,O,X,O,O,O,X
TZJSLIO,O,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,O,X
TZJSOIL,O,O,X,O,O,O,X
TZJSOLI,O,O,O,O,O,O,X
TZJOILS,O,O,X,O,X,X,X
TZJOISL,O,O,X,O,X,O,X
TZJOLIS,O,O,X,O,X,X,X
TZJOLSI,O,O,X,O,X,X,X
TZJOSIL,O,O,X,O,O,O,X
TZJOSLI,O,O,O,O,O,O,X
TZSILJO,X,O,O,X,O,O,X
TZSILOJ,X,O,O,X,O,O,X
TZSIJLO,X,O,X,X,O,O,X
TZSIJOL,X,O,X,X,O,O,X
TZSIOLJ,X,O,O,X,O,O,X
TZSIOJL,X,O,X,X,O,O,X
TZSLIJO,X,O,O,X,O,O,X
TZSLIOJ,X,O,O,X,O,O,X
TZSLJIO,X,O,O,X,O,O,X
TZSLJOI,X,O,O,X,O,O,X
TZSLOIJ,X,O,O,X,O,O,X
TZSLOJI,X,O,O,X,O,O,X
TZSJILO,X,O,X,X,O,O,X
TZSJIOL,X,O,X,X,O,O,X
TZSJLIO,X,O,O,X,O,O,X
TZSJLOI,X,O,O,X,O,O,X
TZSJOIL,X,O,X,X,O,O,X
TZSJOLI,X,O,O,X,O,O,X
TZSOILJ,X,O,O,X,O,O,X
TZSOIJL,X,O,X,X,O,O,X
TZSOLIJ,X,O,O,X,O,O,X
TZSOLJI,X,O,O,X,O,O,X
TZSOJIL,X,O,X,X,O,O,X
TZSOJLI,X,O,O,X,O,O,X
TZOILJS,O,O,X,X,X,X,X
TZOILSJ,X,O,X,X,X,O,X
TZOIJLS,O,O,X,X,X,X,X
TZOIJSL,O,O,X,X,X,O,X
TZOISLJ,X,O,O,X,X,O,X
TZOISJL,X,O,X,X,X,O,X
TZOLIJS,O,O,X,X,X,X,X
TZOLISJ,X,O,O,X,X,O,X
TZOLJIS,O,O,X,O,X,X,X
TZOLJSI,O,O,X,O,X,X,X
TZOLSIJ,X,O,O,X,X,O,X
TZOLSJI,X,O,O,X,X,O,X
TZOJILS,O,O,X,O,X,X,X
TZOJISL,O,O,X,O,X,O,X
TZOJLIS,O,O,X,O,X,X,X
TZOJLSI,O,O,X,O,X,X,X
TZOJSIL,O,O,X,O,O,O,X
TZOJSLI,O,O,O,O,O,O,X
TZOSILJ,X,O,O,X,O,O,X
TZOSIJL,X,O,X,X,O,O,X
TZOSLIJ,X,O,O,X,O,O,X
TZOSLJI,X,O,O,X,O,O,X
TZOSJIL,X,O,X,X,O,O,X
TZOSJLI,X,O,O,X,O,O,X
TOILJSZ,X,X,X,O,X,X,O
TOILJZS,X,O,X,O,X,X,X
TOILSJZ,X,X,X,X,X,X,O
TOILSZJ,X,O,X,X,X,X,X
TOILZJS,X,O,X,X,X,X,X
TOILZSJ,X,O,X,X,X,X,X
TOIJLSZ,X,X,X,O,X,X,O
