sequence,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Jei/IvhF5l?BlhBziBcpBeqB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8JeZEJvhFuk?BclBlhBziBSvB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Jex/IvhFlh?BziB0kB6qB2uB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Je0/IvhF6l?BlhB2pBznB3sBxuB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8JeZEJvhFuk?BclBlhBznBSvB3sB,v115@GhA8DeA8AeA8BeA8DeC8BeA8DeB8BeB8Je5FJvhFlh?BziBmkB0pB3sBipB
TILJSZO,O,O,O,O,X,X
TILJSOZ,O,O,O,O,X,X
TILJZSO,O,O,O,O,O,X
TILJZOS,O,O,O,O,O,X
TILJOSZ,X,X,O,O,X,X
TILJOZS,X,X,X,O,O,X
TILSJZO,O,O,O,O,X,X
TILSJOZ,O,O,O,O,X,X
TILSZJO,X,O,X,X,O,O
TILSZOJ,X,O,O,X,O,O
TILSOJZ,O,O,O,O,X,X
TILSOZJ,X,O,O,X,O,O
TILZJSO,X,O,X,O,O,O
TILZJOS,X,O,X,O,O,X
TILZSJO,X,O,X,X,O,O
TILZSOJ,X,O,O,X,O,O
TILZOJS,X,O,X,O,O,X
TILZOSJ,X,O,X,X,O,X
TILOJSZ,X,X,X,O,X,X
TILOJZS,X,X,X,O,O,X
TILOSJZ,X,O,O,O,X,X
TILOSZJ,X,O,O,X,O,X
TILOZJS,X,O,X,O,O,X
TILOZSJ,X,O,X,X,O,X
TIJLSZO,O,O,O,O,X,X
TIJLSOZ,O,O,O,O,X,X
TIJLZSO,O,O,O,O,O,X
TIJLZOS,O,O,O,O,O,X
TIJLOSZ,X,X,O,O,X,X
TIJLOZS,X,X,X,O,O,X
TIJSLZO,O,O,O,O,X,X
TIJSLOZ,O,O,O,O,X,X
TIJSZLO,O,X,O,O,X,O
TIJSZOL,O,X,O,O,X,O
TIJSOLZ,O,O,O,O,X,X
TIJSOZL,O,X,O,O,X,O
TIJZLSO,O,X,O,O,X,O
TIJZLOS,O,X,O,O,X,X
TIJZSLO,O,X,O,O,X,O
TIJZSOL,O,X,O,O,X,O
TIJZOLS,O,X,X,O,X,X
TIJZOSL,O,X,O,O,X,O
TIJOLSZ,X,X,X,O,X,X
TIJOLZS,X,X,X,O,O,X
TIJOSLZ,O,X,X,O,X,X
TIJOSZL,O,X,X,O,X,X
TIJOZLS,O,X,X,O,X,X
TIJOZSL,O,X,X,O,X,X
TISLJZO,O,O,O,O,X,X
TISLJOZ,O,O,O,O,X,X
TISLZJO,X,O,X,X,O,O
TISLZOJ,X,O,O,X,O,O
TISLOJZ,O,O,O,O,X,X
TISLOZJ,X,O,O,X,O,O
TISJLZO,O,O,O,O,X,X
TISJLOZ,O,O,O,O,X,X
TISJZLO,O,X,O,O,X,O
TISJZOL,O,X,O,O,X,O
TISJOLZ,O,O,O,O,X,X
TISJOZL,O,X,O,O,X,O
TISZLJO,O,O,X,X,X,O
TISZLOJ,O,O,X,X,X,O
TISZJLO,O,X,X,X,X,O
TISZJOL,O,X,X,X,X,O
TISZOLJ,O,O,X,X,X,O
TISZOJL,O,X,X,X,X,O
TISOLJZ,O,O,O,O,X,X
TISOLZJ,X,O,O,X,O,O
TISOJLZ,O,O,O,O,X,X
TISOJZL,O,X,O,O,X,O
TISOZLJ,O,O,X,X,X,O
TISOZJL,O,X,X,X,X,O
TIZLJSO,O,O,X,O,O,O
TIZLJOS,O,O,X,O,O,X
TIZLSJO,O,O,X,X,O,O
TIZLSOJ,O,O,X,X,O,O
TIZLOJS,X,O,X,O,O,X
TIZLOSJ,X,O,X,X,O,X
TIZJLSO,O,X,X,O,X,O
TIZJLOS,O,X,X,O,X,X
TIZJSLO,O,X,X,O,X,O
TIZJSOL,O,X,X,O,X,O
TIZJOLS,O,X,X,O,X,X
TIZJOSL,O,X,X,O,X,O
TIZSLJO,O,O,X,X,X,O
TIZSLOJ,O,O,X,X,X,O
TIZSJLO,O,X,X,X,X,O
TIZSJOL,O,X,X,X,X,O
TIZSOLJ,O,O,X,X,X,O
TIZSOJL,O,X,X,X,X,O
TIZOLJS,X,X,X,O,O,X
TIZOLSJ,X,X,X,X,O,X
TIZOJLS,X,X,X,O,X,X
TIZOJSL,X,X,X,O,X,O
TIZOSLJ,X,X,X,X,X,O
TIZOSJL,X,X,X,X,X,O
TIOLJSZ,X,X,X,O,X,X
TIOLJZS,X,X,X,O,O,X
TIOLSJZ,X,O,X,O,X,X
TIOLSZJ,X,O,X,X,O,X
TIOLZJS,X,O,X,O,O,X
TIOLZSJ,X,O,X,X,O,X
TIOJLSZ,X,X,X,O,X,X
