sequence,v115@GhA8IeA8EeA8CeB8BeG8Jei/IvhFRhBziBFlBXmB2s?B0pB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhF0hBmiB/pBaqBzq?B1xB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhFlhB3iBmkBzlBys?B0pB,v115@GhA8IeA8EeA8CeB8BeG8Jex/IvhF0hBmiBTkByqB1s?BXqB,v115@GhA8IeA8EeA8CeB8BeG8JeOEJvhF0gBlhB3iBysBRq?BzpB,v115@GhA8IeA8EeA8CeB8BeG8Jem/IvhFfmBlhBaoBTnBxp?B0pB,v115@GhA8IeA8EeA8CeB8BeG8JeKEJvhFRhBcnBeoBFlBXm?BzpB
TZOLSIJ,O,O,O,O,X,O,X
TZOLSJI,O,O,O,O,X,X,X
TZOJILS,O,O,O,O,X,X,X
TZOJISL,O,O,O,O,X,X,X
TZOJLIS,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,X,X,X
TZOJSIL,O,O,O,O,X,X,X
TZOJSLI,O,O,O,O,X,X,X
TZOSILJ,O,O,O,X,X,O,X
TZOSIJL,O,O,X,O,X,O,X
TZOSLIJ,O,O,O,O,X,O,X
TZOSLJI,O,O,O,O,X,X,X
TZOSJIL,O,O,O,O,X,X,X
TZOSJLI,O,O,O,O,X,X,X
TOILJSZ,X,X,O,O,O,O,X
TOILJZS,X,O,X,O,O,X,X
TOILSJZ,X,X,O,O,O,O,X
TOILSZJ,X,X,O,O,O,O,X
TOILZJS,X,O,O,O,O,X,X
TOILZSJ,X,X,O,O,O,X,X
TOIJLSZ,X,X,O,O,O,O,X
TOIJLZS,X,O,X,O,O,X,X
TOIJSLZ,X,O,X,O,X,O,X
TOIJSZL,X,O,X,O,X,O,X
TOIJZLS,X,O,X,O,O,X,X
TOIJZSL,X,O,X,O,X,X,X
TOISLJZ,X,O,O,O,X,O,X
TOISLZJ,X,O,O,O,X,O,X
TOISJLZ,X,O,X,O,X,O,X
TOISJZL,X,O,X,O,X,O,X
TOISZLJ,X,O,X,X,X,O,X
TOISZJL,X,O,X,O,X,O,X
TOIZLJS,X,O,O,O,O,X,X
TOIZLSJ,X,X,O,O,O,X,X
TOIZJLS,X,O,O,O,O,X,X
TOIZJSL,X,O,O,O,X,X,X
TOIZSLJ,X,O,O,X,X,X,X
TOIZSJL,X,O,X,O,X,X,X
TOLIJSZ,X,X,O,O,O,O,X
TOLIJZS,X,O,X,O,O,X,X
TOLISJZ,X,X,O,O,O,O,X
TOLISZJ,X,X,O,O,O,O,X
TOLIZJS,X,O,O,O,O,X,X
TOLIZSJ,X,X,O,O,O,X,X
TOLJISZ,X,X,O,O,O,X,X
TOLJIZS,X,O,X,O,O,X,X
TOLJSIZ,X,O,O,O,O,O,X
TOLJSZI,X,O,O,O,X,X,X
TOLJZIS,X,O,O,O,X,X,X
TOLJZSI,X,O,O,O,X,X,X
TOLSIJZ,X,O,O,O,O,O,X
TOLSIZJ,X,O,O,O,O,O,X
TOLSJIZ,X,O,O,O,O,O,X
TOLSJZI,X,O,O,O,X,X,X
TOLSZIJ,X,O,O,O,X,O,X
TOLSZJI,X,O,O,O,X,X,X
TOLZIJS,X,O,O,O,X,X,X
TOLZISJ,X,X,O,O,X,X,X
TOLZJIS,X,O,O,O,X,X,X
TOLZJSI,X,O,O,O,X,X,X
TOLZSIJ,X,O,O,O,X,O,X
TOLZSJI,X,O,O,O,X,X,X
TOJILSZ,X,X,O,O,O,X,X
TOJILZS,X,O,X,O,O,X,X
TOJISLZ,X,O,X,O,X,X,X
TOJISZL,X,O,X,O,X,X,X
TOJIZLS,X,O,X,O,O,X,X
TOJIZSL,X,O,X,O,X,X,X
TOJLISZ,X,X,O,O,O,X,X
TOJLIZS,X,O,X,O,O,X,X
TOJLSIZ,X,O,O,O,O,O,X
TOJLSZI,X,O,O,O,X,X,X
TOJLZIS,X,O,O,O,X,X,X
TOJLZSI,X,O,O,O,X,X,X
TOJSILZ,X,O,X,O,X,O,X
TOJSIZL,X,O,X,O,X,O,X
TOJSLIZ,X,O,X,O,X,O,X
TOJSLZI,X,O,X,O,X,X,X
TOJSZIL,X,O,X,O,X,X,X
TOJSZLI,X,O,X,O,X,X,X
TOJZILS,X,O,O,O,X,X,X
TOJZISL,X,O,O,O,X,X,X
TOJZLIS,X,O,O,O,X,X,X
TOJZLSI,X,O,O,O,X,X,X
TOJZSIL,X,O,O,O,X,X,X
TOJZSLI,X,O,O,O,X,X,X
TOSILJZ,X,O,O,O,X,O,X
TOSILZJ,X,O,O,O,X,O,X
TOSIJLZ,X,O,X,O,X,O,X
TOSIJZL,X,O,X,O,X,O,X
TOSIZLJ,X,O,X,X,X,O,X
TOSIZJL,X,O,X,O,X,O,X
TOSLIJZ,X,O,O,O,X,O,X
TOSLIZJ,X,O,O,O,X,O,X
TOSLJIZ,X,O,O,O,X,O,X
TOSLJZI,X,O,O,O,X,X,X
TOSLZIJ,X,O,O,O,X,O,X
TOSLZJI,X,O,O,O,X,X,X
TOSJILZ,X,O,X,O,X,O,X
TOSJIZL,X,O,X,O,X,O,X
TOSJLIZ,X,O,X,O,X,O,X
TOSJLZI,X,O,X,O,X,X,X
TOSJZIL,X,O,X,O,X,X,X
TOSJZLI,X,O,X,O,X,X,X
TOSZILJ,X,O,O,X,X,O,X
TOSZIJL,X,O,X,O,X,O,X
TOSZLIJ,X,O,O,O,X,O,X
TOSZLJI,X,O,O,O,X,X,X
TOSZJIL,X,O,O,O,X,X,X
TOSZJLI,X,O,O,O,X,X,X
TOZILJS,X,O,O,O,X,X,X
TOZILSJ,X,X,O,O,X,X,X
TOZIJLS,X,O,O,O,X,X,X
TOZIJSL,X,O,O,O,X,X,X
TOZISLJ,X,O,O,X,X,X,X
TOZISJL,X,O,X,O,X,X,X
TOZLIJS,X,O,O,O,X,X,X
TOZLISJ,X,X,O,O,X,X,X
TOZLJIS,X,O,O,O,X,X,X
TOZLJSI,X,O,O,O,X,X,X
TOZLSIJ,X,O,O,O,X,O,X
TOZLSJI,X,O,O,O,X,X,X
TOZJILS,X,O,O,O,X,X,X
TOZJISL,X,O,O,O,X,X,X
TOZJLIS,X,O,O,O,X,X,X
TOZJLSI,X,O,O,O,X,X,X
TOZJSIL,X,O,O,O,X,X,X
TOZJSLI,X,O,O,O,X,X,X
TOZSILJ,X,O,O,X,X,O,X
TOZSIJL,X,O,X,O,X,O,X
TOZSLIJ,X,O,O,O,X,O,X
TOZSLJI,X,O,O,O,X,X,X
TOZSJIL,X,O,O,O,X,X,X
TOZSJLI,X,O,O,O,X,X,X
ITLJSZO,X,X,X,X,O,O,X
ITLJSOZ,X,X,X,X,O,O,X
ITLJZSO,X,X,X,X,O,X,X
ITLJZOS,X,X,X,O,O,X,X
ITLJOSZ,X,X,X,O,O,X,X
ITLJOZS,X,X,X,O,O,X,X
ITLSJZO,X,X,X,X,O,O,X
ITLSJOZ,X,X,X,X,O,O,X
ITLSZJO,X,X,O,X,O,O,X
ITLSZOJ,X,X,O,X,O,X,X
ITLSOJZ,X,X,O,X,O,O,X
ITLSOZJ,X,X,O,X,O,X,X
ITLZJSO,X,X,O,X,O,X,X
ITLZJOS,X,X,O,O,O,X,X
ITLZSJO,X,X,O,X,O,X,X
ITLZSOJ,X,X,O,X,O,X,X
ITLZOJS,X,X,O,O,O,X,X
ITLZOSJ,X,X,O,O,O,X,X
ITLOJSZ,X,X,O,O,O,X,X
ITLOJZS,X,X,X,O,O,X,X
ITLOSJZ,X,X,O,O,O,X,X
ITLOSZJ,X,X,O,O,O,X,X
ITLOZJS,X,X,O,O,O,X,X
ITLOZSJ,X,X,O,O,O,X,X
ITJLSZO,X,X,X,X,O,O,X
ITJLSOZ,X,X,X,X,O,O,X
ITJLZSO,X,X,X,X,O,X,X
ITJLZOS,X,X,X,O,O,X,X
ITJLOSZ,X,X,X,O,O,X,X
ITJLOZS,X,X,X,O,O,X,X
ITJSLZO,X,O,X,X,O,O,X
ITJSLOZ,X,O,X,X,O,O,X
ITJSZLO,X,O,X,X,O,O,X
ITJSZOL,X,O,X,X,X,O,X
ITJSOLZ,X,O,X,X,X,O,X
ITJSOZL,X,O,X,X,X,O,X
ITJZLSO,X,X,X,X,O,X,X
ITJZLOS,X,X,X,O,O,X,X
ITJZSLO,X,O,X,X,O,X,X
ITJZSOL,X,O,X,X,X,X,X
ITJZOLS,X,O,X,O,O,X,X
ITJZOSL,X,O,X,O,X,X,X
ITJOLSZ,X,X,X,O,O,O,X
ITJOLZS,X,O,X,O,O,X,X
ITJOSLZ,X,O,X,O,X,O,X
ITJOSZL,X,O,X,O,X,O,X
ITJOZLS,X,O,X,O,O,X,X
ITJOZSL,X,O,X,O,X,X,X
ITSLJZO,X,O,X,X,O,O,X
ITSLJOZ,X,O,X,X,O,O,X
ITSLZJO,X,O,X,X,O,O,X
ITSLZOJ,X,O,X,X,O,X,X
ITSLOJZ,X,O,X,X,O,O,X
ITSLOZJ,X,O,X,X,O,O,X
ITSJLZO,X,O,X,X,O,O,X
ITSJLOZ,X,O,X,X,O,O,X
ITSJZLO,X,O,X,X,O,O,X
ITSJZOL,X,O,X,X,X,O,X
ITSJOLZ,X,O,X,X,X,O,X
ITSJOZL,X,O,X,X,X,O,X
ITSZLJO,X,O,X,X,O,O,X
ITSZLOJ,X,O,X,X,O,X,X
ITSZJLO,X,O,X,X,O,O,X
ITSZJOL,X,O,X,X,X,O,X
ITSZOLJ,X,O,X,X,X,O,X
ITSZOJL,X,O,X,X,X,O,X
ITSOLJZ,X,O,X,X,X,O,X
ITSOLZJ,X,O,X,X,X,O,X
ITSOJLZ,X,O,X,X,X,O,X
ITSOJZL,X,O,X,X,X,O,X
ITSOZLJ,X,O,X,X,X,O,X
ITSOZJL,X,O,X,X,X,O,X
ITZLJSO,X,X,O,X,O,X,X
ITZLJOS,X,X,O,O,O,X,X
ITZLSJO,X,X,O,X,O,X,X
ITZLSOJ,X,X,O,X,O,X,X
ITZLOJS,X,X,O,O,O,X,X
ITZLOSJ,X,X,O,O,O,X,X
ITZJLSO,X,X,O,X,O,X,X
ITZJLOS,X,X,O,O,O,X,X
ITZJSLO,X,O,O,X,O,X,X
ITZJSOL,X,O,X,X,X,X,X
ITZJOLS,X,O,O,O,O,X,X
ITZJOSL,X,O,X,O,X,X,X
ITZSLJO,X,O,X,X,O,X,X
ITZSLOJ,X,O,X,X,O,X,X
ITZSJLO,X,O,X,X,O,X,X
ITZSJOL,X,O,X,X,X,X,X
ITZSOLJ,X,O,X,X,X,X,X
ITZSOJL,X,O,X,X,X,X,X
ITZOLJS,X,O,O,O,O,X,X
ITZOLSJ,X,X,O,O,O,X,X
ITZOJLS,X,O,O,O,O,X,X
ITZOJSL,X,O,O,O,X,X,X
ITZOSLJ,X,O,O,X,X,X,X
ITZOSJL,X,O,X,O,X,X,X
ITOLJSZ,X,X,O,O,O,O,X
ITOLJZS,X,O,X,O,O,X,X
ITOLSJZ,X,X,O,O,O,O,X
ITOLSZJ,X,X,O,O,O,O,X
ITOLZJS,X,O,O,O,O,X,X
ITOLZSJ,X,X,O,O,O,X,X
ITOJLSZ,X,X,O,O,O,O,X
ITOJLZS,X,O,X,O,O,X,X
ITOJSLZ,X,O,X,O,X,O,X
ITOJSZL,X,O,X,O,X,O,X
ITOJZLS,X,O,X,O,O,X,X
ITOJZSL,X,O,X,O,X,X,X
ITOSLJZ,X,O,O,O,X,O,X
ITOSLZJ,X,O,O,O,X,O,X
ITOSJLZ,X,O,X,O,X,O,X
ITOSJZL,X,O,X,O,X,O,X
ITOSZLJ,X,O,X,X,X,O,X
ITOSZJL,X,O,X,O,X,O,X
ITOZLJS,X,O,O,O,O,X,X
ITOZLSJ,X,X,O,O,O,X,X
ITOZJLS,X,O,O,O,O,X,X
ITOZJSL,X,O,O,O,X,X,X
ITOZSLJ,X,O,O,X,X,X,X
ITOZSJL,X,O,X,O,X,X,X
ILTJSZO,X,X,X,X,O,O,O
ILTJSOZ,X,X,X,X,O,O,X
ILTJZSO,X,X,X,X,O,X,O
ILTJZOS,X,X,X,O,O,X,X
ILTJOSZ,X,X,X,O,O,X,X
ILTJOZS,X,X,X,O,O,X,X
ILTSJZO,X,X,X,X,O,O,O
ILTSJOZ,X,X,X,X,O,O,X
ILTSZJO,X,X,O,X,O,O,X
ILTSZOJ,X,X,O,X,O,X,X
ILTSOJZ,X,X,O,X,O,O,X
ILTSOZJ,X,X,O,X,O,X,X
ILTZJSO,X,X,O,X,O,X,X
ILTZJOS,X,X,O,O,O,X,X
ILTZSJO,X,X,O,X,O,X,X
ILTZSOJ,X,X,O,X,O,X,X
ILTZOJS,X,X,O,O,O,X,X
ILTZOSJ,X,X,O,O,O,X,X
ILTOJSZ,X,X,O,O,O,X,X
ILTOJZS,X,X,X,O,O,X,X
ILTOSJZ,X,X,O,O,O,X,X
ILTOSZJ,X,X,O,O,O,X,X
ILTOZJS,X,X,O,O,O,X,X
ILTOZSJ,X,X,O,O,O,X,X
ILJTSZO,X,X,X,X,O,O,O
ILJTSOZ,X,X,X,X,O,O,X
ILJTZSO,X,X,X,X,O,X,O
ILJTZOS,X,X,X,X,O,X,X
ILJTOSZ,X,X,X,X,O,X,X
ILJTOZS,X,X,X,X,O,X,X
ILJSTZO,X,X,X,X,O,O,O
ILJSTOZ,X,X,X,X,O,O,X
ILJSZTO,X,X,X,X,O,O,O
ILJSZOT,X,X,X,X,O,X,O
ILJSOTZ,X,X,X,X,O,O,X
ILJSOZT,X,X,X,X,O,O,X
ILJZTSO,X,X,X,X,O,X,O
ILJZTOS,X,X,X,X,O,X,X
ILJZSTO,X,X,X,X,O,O,O
ILJZSOT,X,X,X,X,O,X,O
ILJZOTS,X,X,X,X,O,X,X
ILJZOST,X,X,X,X,O,X,O
ILJOTSZ,X,X,X,X,O,O,X
ILJOTZS,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,O,O,X
ILJOSZT,X,X,X,X,O,O,X
ILJOZTS,X,X,X,X,O,X,X
ILJOZST,X,X,X,X,O,O,X
ILSTJZO,X,X,X,X,O,O,O
ILSTJOZ,X,X,X,X,O,O,X
ILSTZJO,X,X,O,X,O,O,X
ILSTZOJ,X,X,O,X,O,X,X
ILSTOJZ,X,X,O,X,O,O,X
ILSTOZJ,X,X,O,X,O,O,X
ILSJTZO,X,X,X,X,O,O,O
ILSJTOZ,X,X,X,X,O,O,X
ILSJZTO,X,X,X,X,O,O,O
ILSJZOT,X,X,X,X,O,X,O
ILSJOTZ,X,X,X,X,O,O,X
ILSJOZT,X,X,X,X,O,O,X
ILSZTJO,X,X,O,X,O,O,X
ILSZTOJ,X,X,O,X,O,X,X
ILSZJTO,X,X,O,X,O,O,X
ILSZJOT,X,X,O,X,O,X,X
ILSZOTJ,X,X,O,X,O,X,X
ILSZOJT,X,X,O,X,O,X,X
ILSOTJZ,X,X,O,X,O,O,X
ILSOTZJ,X,X,O,X,O,O,X
ILSOJTZ,X,X,O,X,O,O,X
ILSOJZT,X,X,X,X,O,O,X
ILSOZTJ,X,X,O,X,O,O,X
ILSOZJT,X,X,O,X,O,O,X
ILZTJSO,X,X,O,X,O,X,X
ILZTJOS,X,X,O,O,O,X,X
ILZTSJO,X,X,O,X,O,X,X
ILZTSOJ,X,X,O,X,O,X,X
ILZTOJS,X,X,O,O,O,X,X
ILZTOSJ,X,X,O,O,O,X,X
ILZJTSO,X,X,O,X,O,X,X
ILZJTOS,X,X,O,X,O,X,X
ILZJSTO,X,X,O,X,O,O,X
ILZJSOT,X,X,O,X,O,X,X
ILZJOTS,X,X,O,X,O,X,X
ILZJOST,X,X,O,X,O,X,X
ILZSTJO,X,X,O,X,O,O,X
ILZSTOJ,X,X,O,X,O,X,X
ILZSJTO,X,X,O,X,O,O,X
ILZSJOT,X,X,O,X,O,X,X
ILZSOTJ,X,X,O,X,O,X,X
ILZSOJT,X,X,O,X,O,X,X
ILZOTJS,X,X,O,O,O,X,X
ILZOTSJ,X,X,O,O,O,X,X
ILZOJTS,X,X,O,O,O,X,X
ILZOJST,X,X,O,X,O,X,X
ILZOSTJ,X,X,O,O,O,X,X
ILZOSJT,X,X,O,X,O,X,X
ILOTJSZ,X,X,O,O,O,O,X
ILOTJZS,X,X,X,O,O,X,X
ILOTSJZ,X,X,O,O,O,O,X
ILOTSZJ,X,X,O,O,O,O,X
ILOTZJS,X,X,O,O,O,X,X
ILOTZSJ,X,X,O,O,O,X,X
ILOJTSZ,X,X,O,O,O,O,X
ILOJTZS,X,X,X,O,O,X,X
ILOJSTZ,X,X,O,X,O,O,X
ILOJSZT,X,X,X,X,O,O,X
ILOJZTS,X,X,X,O,O,X,X
ILOJZST,X,X,X,X,O,O,X
ILOSTJZ,X,X,O,O,O,O,X
ILOSTZJ,X,X,O,O,O,O,X
ILOSJTZ,X,X,O,X,O,O,X
ILOSJZT,X,X,X,X,O,O,X
ILOSZTJ,X,X,O,O,O,O,X
ILOSZJT,X,X,O,X,O,O,X
ILOZTJS,X,X,O,O,O,X,X
ILOZTSJ,X,X,O,O,O,X,X
ILOZJTS,X,X,O,O,O,X,X
ILOZJST,X,X,O,X,O,O,X
ILOZSTJ,X,X,O,O,O,O,X
ILOZSJT,X,X,O,X,O,O,X
IJTLSZO,X,X,X,X,O,O,X
IJTLSOZ,X,X,X,X,O,O,X
IJTLZSO,X,X,X,X,O,X,X
IJTLZOS,X,X,X,X,O,X,X
IJTLOSZ,X,X,X,X,O,X,X
IJTLOZS,X,X,X,X,O,X,X
IJTSLZO,O,X,X,X,O,O,X
IJTSLOZ,O,X,X,X,O,O,X
IJTSZLO,O,X,X,X,O,O,X
IJTSZOL,O,X,X,X,X,O,X
IJTSOLZ,O,X,X,X,X,O,X
IJTSOZL,O,X,X,X,X,O,X
IJTZLSO,O,X,X,X,O,X,X
IJTZLOS,O,X,X,X,O,X,X
IJTZSLO,O,X,X,X,O,X,X
IJTZSOL,O,X,X,X,X,X,X
IJTZOLS,O,X,X,X,O,X,X
IJTZOSL,O,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,O,O,X
IJTOLZS,X,X,X,X,O,X,X
IJTOSLZ,O,X,X,X,X,O,X
IJTOSZL,O,X,X,X,X,O,X
IJTOZLS,O,X,X,X,O,X,X
IJTOZSL,O,X,X,X,X,X,X
IJLTSZO,X,X,X,X,O,O,O
IJLTSOZ,X,X,X,X,O,O,X
IJLTZSO,X,X,X,X,O,X,O
IJLTZOS,X,X,X,X,O,X,X
IJLTOSZ,X,X,X,X,O,X,X
IJLTOZS,X,X,X,X,O,X,X
IJLSTZO,O,X,X,X,O,O,O
IJLSTOZ,O,X,X,X,O,O,X
IJLSZTO,O,X,X,X,O,O,O
IJLSZOT,O,X,X,X,O,X,O
IJLSOTZ,O,X,X,X,O,O,X
IJLSOZT,O,X,X,X,O,O,X
IJLZTSO,O,X,X,X,O,X,O
IJLZTOS,O,X,X,X,O,X,X
IJLZSTO,O,X,X,X,O,O,O
IJLZSOT,O,X,X,X,O,X,O
IJLZOTS,O,X,X,X,O,X,X
IJLZOST,O,X,X,X,O,X,O
IJLOTSZ,X,X,X,X,O,O,X
IJLOTZS,X,X,X,X,O,X,X
IJLOSTZ,O,X,X,X,O,O,X
IJLOSZT,O,X,X,X,O,O,X
IJLOZTS,O,X,X,X,O,X,X
IJLOZST,O,X,X,X,O,O,X
IJSTLZO,O,X,X,X,O,O,X
IJSTLOZ,O,X,X,X,O,O,X
IJSTZLO,O,X,X,X,O,O,X
IJSTZOL,O,X,X,X,X,O,X
IJSTOLZ,O,X,X,X,X,O,X
IJSTOZL,O,X,X,X,X,O,X
IJSLTZO,O,X,X,X,O,O,O
IJSLTOZ,O,X,X,X,O,O,X
IJSLZTO,O,X,X,X,O,O,O
IJSLZOT,O,X,X,X,O,X,O
IJSLOTZ,O,X,X,X,O,O,X
IJSLOZT,O,X,X,X,O,O,X
IJSZTLO,O,X,X,X,O,O,O
IJSZTOL,O,X,X,X,X,O,X
IJSZLTO,O,X,X,X,O,O,O
IJSZLOT,O,X,X,X,O,X,O
IJSZOTL,O,X,X,X,X,O,X
IJSZOLT,O,X,X,X,X,O,O
IJSOTLZ,O,X,X,X,X,O,X
IJSOTZL,O,X,X,X,X,O,X
IJSOLTZ,O,X,X,X,X,O,X
IJSOLZT,O,X,X,X,X,O,X
IJSOZTL,O,X,X,X,X,O,X
IJSOZLT,O,X,X,X,X,O,X
IJZTLSO,O,X,X,X,O,X,O
IJZTLOS,O,X,X,X,O,X,X
IJZTSLO,O,X,X,X,O,X,O
IJZTSOL,O,X,X,X,X,X,X
IJZTOLS,O,X,X,X,O,X,X
IJZTOSL,O,X,X,X,X,X,X
IJZLTSO,O,X,X,X,O,X,O
IJZLTOS,O,X,X,X,O,X,X
IJZLSTO,O,X,X,X,O,O,O
IJZLSOT,O,X,X,X,O,X,O
IJZLOTS,O,X,X,X,O,X,X
IJZLOST,O,X,X,X,O,X,O
IJZSTLO,O,X,X,X,O,O,O
IJZSTOL,O,X,X,X,X,O,X
IJZSLTO,O,X,X,X,O,O,O
IJZSLOT,O,X,X,X,O,X,O
IJZSOTL,O,X,X,X,X,O,X
IJZSOLT,O,X,X,X,X,O,O
IJZOTLS,O,X,X,X,O,X,X
IJZOTSL,O,X,X,X,X,X,X
IJZOLTS,O,X,X,X,O,X,X
IJZOLST,O,X,X,X,O,O,O
IJZOSTL,O,X,X,X,X,O,X
IJZOSLT,O,X,X,X,X,O,O
IJOTLSZ,X,X,X,X,O,O,X
IJOTLZS,X,X,X,X,O,X,X
IJOTSLZ,O,X,X,X,X,O,X
IJOTSZL,O,X,X,X,X,O,X
IJOTZLS,O,X,X,X,O,X,X
IJOTZSL,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,O,O,X
IJOLTZS,X,X,X,X,O,X,X
IJOLSTZ,O,X,X,X,O,O,X
IJOLSZT,O,X,X,X,O,O,X
IJOLZTS,O,X,X,X,O,X,X
IJOLZST,O,X,X,X,O,O,X
IJOSTLZ,O,X,X,X,X,O,X
IJOSTZL,O,X,X,X,X,O,X
IJOSLTZ,O,X,X,X,X,O,X
IJOSLZT,O,X,X,X,X,O,X
IJOSZTL,O,X,X,X,X,O,X
IJOSZLT,O,X,X,X,X,O,X
IJOZTLS,O,X,X,X,O,X,X
IJOZTSL,O,X,X,X,X,X,X
IJOZLTS,O,X,X,X,O,X,X
IJOZLST,O,X,X,X,O,O,X
IJOZSTL,O,X,X,X,X,O,X
IJOZSLT,O,X,X,X,X,O,X
ISTLJZO,O,O,X,X,O,O,X
ISTLJOZ,O,O,X,X,O,O,X
ISTLZJO,O,O,X,X,O,O,X
ISTLZOJ,X,O,X,X,O,X,X
ISTLOJZ,O,O,X,X,O,O,X
ISTLOZJ,X,O,X,X,O,O,X
ISTJLZO,O,O,X,X,O,O,X
ISTJLOZ,O,O,X,X,O,O,X
ISTJZLO,O,O,X,X,O,O,X
ISTJZOL,O,O,X,X,X,O,X
ISTJOLZ,O,O,X,X,X,O,X
ISTJOZL,O,O,X,X,X,O,X
ISTZLJO,O,O,X,X,O,O,X
ISTZLOJ,O,O,X,X,O,X,X
ISTZJLO,O,O,X,X,O,O,X
ISTZJOL,O,O,X,X,X,O,X
ISTZOLJ,O,O,X,X,X,O,X
ISTZOJL,O,O,X,X,X,O,X
ISTOLJZ,O,O,X,X,X,O,X
ISTOLZJ,X,O,X,X,X,O,X
ISTOJLZ,O,O,X,X,X,O,X
ISTOJZL,O,O,X,X,X,O,X
ISTOZLJ,X,O,X,X,X,O,X
ISTOZJL,X,O,X,X,X,O,X
ISLTJZO,O,O,X,X,O,O,O
ISLTJOZ,O,O,X,X,O,O,X
ISLTZJO,O,O,X,X,O,O,X
ISLTZOJ,X,O,X,X,O,X,X
ISLTOJZ,O,O,X,X,O,O,X
ISLTOZJ,X,O,X,X,O,O,X
ISLJTZO,O,O,X,X,O,O,O
ISLJTOZ,O,O,X,X,O,O,X
ISLJZTO,O,O,X,X,O,O,O
ISLJZOT,O,X,X,X,O,X,O
ISLJOTZ,O,X,X,X,O,O,X
ISLJOZT,O,X,X,X,O,O,X
ISLZTJO,O,O,X,X,O,O,X
ISLZTOJ,O,O,X,X,O,X,X
ISLZJTO,O,O,X,X,O,O,X
ISLZJOT,O,X,X,X,O,X,X
ISLZOTJ,X,O,X,X,O,X,X
ISLZOJT,O,X,X,X,O,X,X
ISLOTJZ,X,O,X,X,O,O,X
ISLOTZJ,X,O,X,X,O,O,X
ISLOJTZ,X,O,X,X,O,O,X
ISLOJZT,X,O,X,X,O,O,X
ISLOZTJ,X,O,X,X,O,O,X
ISLOZJT,X,O,X,X,O,O,X
ISJTLZO,O,O,X,X,O,O,X
ISJTLOZ,O,X,X,X,O,O,X
ISJTZLO,O,O,X,X,O,O,X
ISJTZOL,O,O,X,X,X,O,X
ISJTOLZ,O,X,X,X,X,O,X
ISJTOZL,O,O,X,X,X,O,X
ISJLTZO,O,X,X,X,O,O,O
ISJLTOZ,O,X,X,X,O,O,X
ISJLZTO,O,X,X,X,O,O,O
ISJLZOT,O,X,X,X,O,X,O
ISJLOTZ,O,X,X,X,O,O,X
ISJLOZT,O,X,X,X,O,O,X
ISJZTLO,O,O,X,X,O,O,O
ISJZTOL,O,O,X,X,X,O,X
ISJZLTO,O,X,X,X,O,O,O
ISJZLOT,O,X,X,X,O,X,O
ISJZOTL,O,X,X,X,X,O,X
ISJZOLT,O,X,X,X,X,O,O
ISJOTLZ,O,X,X,X,X,O,X
ISJOTZL,O,X,X,X,X,O,X
ISJOLTZ,O,X,X,X,X,O,X
ISJOLZT,O,X,X,X,X,O,X
ISJOZTL,O,X,X,X,X,O,X
ISJOZLT,O,X,X,X,X,O,X
ISZTLJO,O,O,X,X,O,O,X
ISZTLOJ,O,O,X,X,O,X,X
ISZTJLO,O,O,X,X,O,O,X
ISZTJOL,O,O,X,X,X,O,X
ISZTOLJ,O,O,X,X,X,O,X
ISZTOJL,O,O,X,X,X,O,X
ISZLTJO,O,O,X,X,O,O,X
ISZLTOJ,O,O,X,X,O,X,X
ISZLJTO,O,O,X,X,O,O,X
ISZLJOT,O,X,X,X,O,X,X
ISZLOTJ,X,O,X,X,O,X,X
ISZLOJT,O,X,X,X,O,X,X
ISZJTLO,O,O,X,X,O,O,X
ISZJTOL,O,O,X,X,X,O,X
ISZJLTO,O,X,X,X,O,O,X
ISZJLOT,O,X,X,X,O,X,X
ISZJOTL,O,X,X,X,X,O,X
ISZJOLT,O,X,X,X,X,O,X
ISZOTLJ,O,O,X,X,X,O,X
ISZOTJL,O,O,X,X,X,O,X
ISZOLTJ,X,O,X,X,X,O,X
ISZOLJT,O,O,X,X,X,O,X
ISZOJTL,O,O,X,X,X,O,X
ISZOJLT,O,X,X,X,X,O,X
ISOTLJZ,O,O,X,X,X,O,X
ISOTLZJ,X,O,X,X,X,O,X
ISOTJLZ,O,O,X,X,X,O,X
ISOTJZL,O,O,X,X,X,O,X
ISOTZLJ,X,O,X,X,X,O,X
ISOTZJL,X,O,X,X,X,O,X
ISOLTJZ,X,O,X,X,X,O,X
ISOLTZJ,X,O,X,X,X,O,X
ISOLJTZ,X,O,X,X,X,O,X
ISOLJZT,X,O,X,X,X,O,X
ISOLZTJ,X,O,X,X,X,O,X
ISOLZJT,X,O,X,X,X,O,X
ISOJTLZ,O,O,X,X,X,O,X
ISOJTZL,O,O,X,X,X,O,X
ISOJLTZ,O,X,X,X,X,O,X
ISOJLZT,O,X,X,X,X,O,X
ISOJZTL,O,O,X,X,X,O,X
ISOJZLT,O,X,X,X,X,O,X
ISOZTLJ,O,O,X,X,X,O,X
ISOZTJL,O,O,X,X,X,O,X
ISOZLTJ,X,O,X,X,X,O,X
ISOZLJT,O,O,X,X,X,O,X
