sequence,v115@FhB8HeB8HeC8BeB8BeC8Je0/IvhFlgB/pBxmBGnBiq?BzrB,v115@FhB8HeB8HeC8BeB8BeC8JeFBJvhFXiBxkBcsBikBzp?BGrB,v115@FhB8HeB8HeC8BeB8BeC8JeT/IvhFxgBXiBcsBlpBGr?BiqB,v115@FhB8HeB8HeC8BeB8BeC8Je0/IvhFxgBTiB/pBiqBFs?BGrB,v115@FhB8HeB8HeC8BeB8BeC8JeT/IvhF8lBCiBlpBxrBOq?BXsB,v115@FhB8HeB8HeC8BeB8BeC8Jem/IvhFfmBTiBxpBFsB6r?B0pB,v115@FhB8HeB8HeC8BeB8BeC8JeOEJvhFTgBFiBqpBcsBxq?B/rB,v115@FhB8HeB8HeC8BeB8BeC8Jel/IvhFThB6nB/pBesBxq?BcqB,v115@FhB8HeB8HeC8BeB8BeC8JelAJvhFTkB2qBxmBCnBXs?B0pB,v115@FhB8HeB8HeC8BeB8BeC8JeFBJvhFxkBSrBTnBmkB0p?BXsB,v115@FhB8HeB8HeC8BeB8BeC8JeRAJvhF1mB6nB0lBmpBzr?B/pB
TILJSZO,X,X,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,O,X,O,X,X,X,X
TILJZOS,X,X,X,X,O,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,O,X,X,X,X
TILSJZO,X,X,X,O,X,O,X,X,X,X,X
TILSJOZ,X,X,X,O,X,O,X,X,X,X,X
TILSZJO,X,X,X,O,O,O,X,X,X,X,X
TILSZOJ,X,X,X,O,O,O,X,X,X,X,X
TILSOJZ,X,X,X,O,X,O,X,X,X,X,X
TILSOZJ,X,X,X,O,O,O,X,X,X,X,X
TILZJSO,X,X,X,X,O,X,O,X,X,X,X
TILZJOS,X,X,X,X,O,X,O,X,X,X,X
TILZSJO,X,X,X,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,O,X,O,X,X,X,X
TILZOSJ,X,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,O,X,X,X,X
TILOSJZ,X,X,X,O,X,O,X,X,X,X,X
TILOSZJ,X,X,X,O,O,O,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,O,X,X,X,X
TILOZSJ,X,X,X,X,O,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,O,X,O,X,X,X
TIJLSOZ,X,X,X,X,X,O,X,O,X,X,X
TIJLZSO,X,X,X,X,O,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,X,O,X,X,X
TIJLOZS,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X,O,X,X,X
TIJSLOZ,X,X,X,X,X,O,X,O,X,X,X
TIJSZLO,X,X,X,X,X,O,X,X,X,X,X
TIJSZOL,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,O,X,O,X,X,X
TIJSOZL,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,X,X,O,X,O,X,X,X,X,X,X
TIJZLOS,X,X,O,X,O,X,X,X,X,X,X
TIJZSLO,X,X,O,X,O,O,X,X,X,X,X
TIJZSOL,X,X,O,X,O,O,X,X,X,X,X
TIJZOLS,X,X,O,X,O,X,X,X,X,X,X
TIJZOSL,X,X,O,X,O,O,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,X,O,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,O,X,O,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X,X,X
TIJOZLS,X,X,O,X,O,X,X,X,X,X,X
TIJOZSL,X,X,O,X,O,O,X,X,X,X,X
TISLJZO,X,X,X,O,X,O,X,X,X,X,X
TISLJOZ,X,X,X,O,X,O,X,X,X,X,X
TISLZJO,X,X,X,O,O,O,X,X,X,X,X
TISLZOJ,X,X,X,O,O,O,X,X,X,X,X
TISLOJZ,X,X,X,O,X,O,X,X,X,X,X
TISLOZJ,X,X,X,O,O,O,X,X,X,X,X
TISJLZO,X,X,X,X,X,O,X,O,X,X,X
TISJLOZ,X,X,X,X,X,O,X,O,X,X,X
TISJZLO,X,X,X,X,X,O,X,X,X,X,X
TISJZOL,X,X,X,X,X,O,X,X,X,X,X
TISJOLZ,X,X,X,X,X,O,X,O,X,X,X
TISJOZL,X,X,X,X,X,O,X,X,X,X,X
TISZLJO,X,X,X,O,O,O,X,X,X,X,X
TISZLOJ,X,X,X,O,O,O,X,X,X,X,X
TISZJLO,X,X,X,O,O,O,X,X,X,X,X
TISZJOL,X,X,X,X,O,O,X,X,X,X,X
TISZOLJ,X,X,X,O,O,O,X,X,X,X,X
TISZOJL,X,X,X,X,O,O,X,X,X,X,X
TISOLJZ,X,X,X,O,X,O,X,X,X,X,X
TISOLZJ,X,X,X,O,O,O,X,X,X,X,X
TISOJLZ,X,X,X,X,X,O,X,O,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,X,X,X
TISOZLJ,X,X,X,X,O,O,X,X,X,X,X
TISOZJL,X,X,X,X,O,O,X,X,X,X,X
TIZLJSO,X,X,X,X,O,X,O,X,X,X,X
TIZLJOS,X,X,X,X,O,X,O,X,X,X,X
TIZLSJO,X,X,X,X,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,O,X,X,X,X,X,X
TIZLOJS,X,X,X,X,O,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,O,X,X,X,X,X,X
TIZJLSO,X,X,O,X,O,X,X,X,X,X,X
TIZJLOS,X,X,O,X,O,X,X,X,X,X,X
TIZJSLO,X,X,O,X,O,O,X,X,X,X,X
TIZJSOL,X,X,O,X,O,O,X,X,X,X,X
TIZJOLS,X,X,O,X,O,X,X,X,X,X,X
TIZJOSL,X,X,O,X,O,O,X,X,X,X,X
TIZSLJO,X,X,O,X,O,O,X,X,X,X,X
TIZSLOJ,X,X,X,X,O,O,X,X,X,X,X
TIZSJLO,X,X,O,X,O,O,X,X,X,X,X
TIZSJOL,X,X,O,X,O,O,X,X,X,X,X
TIZSOLJ,X,X,X,X,O,O,X,X,X,X,X
TIZSOJL,X,X,O,X,O,O,X,X,X,X,X
TIZOLJS,X,X,X,X,O,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,O,X,X,X,X,X,X
TIZOJLS,X,X,O,X,O,X,X,X,X,X,X
TIZOJSL,X,X,O,X,O,O,X,X,X,X,X
TIZOSLJ,X,X,X,X,O,O,X,X,X,X,X
TIZOSJL,X,X,X,X,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,O,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,O,X,X,X,X
TIOLSJZ,X,X,X,O,X,O,X,X,X,X,X
TIOLSZJ,X,X,X,O,O,O,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,O,X,X,X,X
TIOLZSJ,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,O,X,O,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,O,X,O,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X,X,X
TIOJZLS,X,X,O,X,O,X,X,X,X,X,X
TIOJZSL,X,X,O,X,O,O,X,X,X,X,X
TIOSLJZ,X,X,X,O,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,O,O,O,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,O,X,O,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,X,X,X
TIOSZLJ,X,X,X,X,O,O,X,X,X,X,X
TIOSZJL,X,X,X,X,O,O,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X,O,X,X,X,X
TIOZLSJ,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,X,X,O,X,O,X,X,X,X,X,X
TIOZJSL,X,X,O,X,O,O,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,O,X,X,X,X,X
TIOZSJL,X,X,X,X,O,O,X,X,X,X,X
TLIJSZO,O,X,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,X,O,X,O,X,X,X,X
TLIJZOS,X,X,X,X,O,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,O,X,X,O,X
TLISJZO,O,X,X,O,X,O,X,X,X,X,X
TLISJOZ,X,X,X,O,X,O,X,X,X,X,X
TLISZJO,O,X,X,O,O,O,X,X,X,X,X
TLISZOJ,O,X,X,O,O,O,X,X,X,X,X
TLISOJZ,O,X,X,O,X,O,X,X,X,X,X
TLISOZJ,O,X,X,O,O,O,X,X,X,O,X
TLIZJSO,X,X,X,X,O,X,O,X,X,X,X
TLIZJOS,X,X,X,X,O,X,O,X,X,O,X
TLIZSJO,O,X,X,X,O,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,O,X,X,X,X,O,X
TLIZOJS,X,X,X,X,O,X,O,X,X,O,X
TLIZOSJ,X,X,X,X,O,X,X,X,X,O,X
TLIOJSZ,O,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,O,X,X,O,X
TLIOSJZ,O,X,X,O,X,O,X,X,X,X,X
TLIOSZJ,O,X,X,O,O,O,X,X,X,O,X
TLIOZJS,X,X,X,X,O,X,O,X,X,O,X
TLIOZSJ,O,X,X,X,O,X,X,X,X,O,X
TLJISZO,O,X,X,X,X,X,X,O,X,X,X
TLJISOZ,X,X,X,X,X,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X,O,X,X,X,X
TLJIZOS,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,X,X,X
TLJIOZS,X,X,X,X,X,X,O,X,X,O,X
TLJSIZO,O,X,X,O,X,X,X,O,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,O,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,X,X,X,X
TLJSOZI,O,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,X,O,X,X,X,X
TLJZIOS,X,X,O,X,X,X,O,X,X,O,X
TLJZSIO,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,X,X,O,X,X,X,X,X,X,X,X
TLJZOIS,X,X,O,X,X,X,X,X,X,O,X
TLJZOSI,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,O,O
TLJOSIZ,O,X,X,O,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X,X,X,O
TLJOZIS,X,X,O,X,X,X,X,X,X,O,O
TLJOZSI,X,X,O,X,X,X,X,X,X,X,O
TLSIJZO,O,X,X,O,X,O,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,X,O,X,X,X,X,X
TLSIZOJ,O,X,X,O,X,O,X,X,X,X,X
TLSIOJZ,O,X,X,O,X,O,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,O,X,X,X,O,X
TLSJIZO,O,X,X,O,X,X,X,O,X,X,X
