sequence,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhFzgBRiB3kBGnBlq?BUsB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhBunBTkB/qBUm?BKsB,v115@GhA8HeB8HeE8AeB8BeB8JeOEJvhF8kBzgBRiBfsB6s?BlqB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhB3iBikBUmBGq?BTsB,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhF3gBRiB1pB8qBzm?B+sB
TLIJSOZ,X,O,X,X,O
TLIJZSO,X,O,X,X,O
TLIJZOS,X,O,X,X,O
TLIJOSZ,X,O,X,X,O
TLIJOZS,X,O,X,X,O
TLISJZO,X,O,X,O,O
TLISJOZ,O,O,X,O,O
TLISZJO,X,O,X,O,O
TLISZOJ,O,X,X,O,O
TLISOJZ,O,O,X,O,X
TLISOZJ,O,O,X,O,X
TLIZJSO,X,O,X,O,O
TLIZJOS,X,O,O,X,O
TLIZSJO,X,O,X,O,O
TLIZSOJ,X,O,X,O,O
TLIZOJS,X,O,O,O,X
TLIZOSJ,X,O,X,O,O
TLIOJSZ,X,O,X,X,O
TLIOJZS,X,O,X,X,O
TLIOSJZ,O,O,X,O,X
TLIOSZJ,O,O,X,O,X
TLIOZJS,X,O,O,O,X
TLIOZSJ,X,O,X,O,O
TLJISZO,X,O,X,O,O
TLJISOZ,X,O,X,O,O
TLJIZSO,X,O,X,O,O
TLJIZOS,X,O,X,O,O
TLJIOSZ,X,O,X,O,O
TLJIOZS,X,O,X,O,O
TLJSIZO,X,O,X,O,O
TLJSIOZ,X,O,X,O,O
TLJSZIO,X,O,X,O,O
TLJSZOI,X,O,X,O,O
TLJSOIZ,X,O,X,O,O
TLJSOZI,X,O,X,X,O
TLJZISO,X,O,X,O,O
TLJZIOS,X,O,X,O,O
TLJZSIO,X,O,X,O,O
TLJZSOI,X,O,X,O,O
TLJZOIS,X,O,X,O,O
TLJZOSI,X,O,X,O,O
TLJOISZ,X,O,X,O,O
TLJOIZS,X,O,X,O,O
TLJOSIZ,X,O,X,O,O
TLJOSZI,X,O,X,O,O
TLJOZIS,X,O,X,O,O
TLJOZSI,X,O,X,O,O
TLSIJZO,X,O,O,O,O
TLSIJOZ,O,O,O,O,O
TLSIZJO,O,O,O,O,O
TLSIZOJ,O,O,O,O,O
TLSIOJZ,O,O,O,O,X
TLSIOZJ,O,O,O,O,X
TLSJIZO,X,O,O,O,O
TLSJIOZ,O,O,O,O,O
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,O,O,O
TLSJOZI,O,O,O,X,O
TLSZIJO,O,O,O,O,O
TLSZIOJ,O,O,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,O,O,O,X
TLSOIZJ,O,O,O,O,X
TLSOJIZ,O,O,O,X,X
TLSOJZI,O,O,O,X,X
TLSOZIJ,O,O,O,X,X
TLSOZJI,O,O,O,X,X
TLZIJSO,O,O,X,O,O
TLZIJOS,O,O,O,X,O
TLZISJO,O,O,X,O,O
TLZISOJ,O,O,X,O,O
TLZIOJS,X,O,O,O,X
TLZIOSJ,O,O,X,O,O
TLZJISO,O,O,X,O,O
TLZJIOS,O,O,O,X,O
TLZJSIO,O,O,O,O,O
TLZJSOI,O,O,O,O,O
TLZJOIS,O,O,O,X,O
TLZJOSI,O,O,O,X,O
TLZSIJO,O,O,O,O,O
TLZSIOJ,O,O,O,O,O
TLZSJIO,O,O,O,O,O
TLZSJOI,O,O,O,O,O
TLZSOIJ,O,O,O,O,O
TLZSOJI,O,O,O,O,O
TLZOIJS,X,O,O,O,X
TLZOISJ,O,O,X,O,O
TLZOJIS,O,O,O,O,O
TLZOJSI,O,O,O,O,O
TLZOSIJ,O,O,O,O,O
TLZOSJI,O,O,O,O,O
TLOIJSZ,X,O,X,X,O
TLOIJZS,X,O,X,X,O
TLOISJZ,O,O,X,O,X
TLOISZJ,O,O,X,O,X
TLOIZJS,X,O,O,O,X
TLOIZSJ,X,O,X,O,O
TLOJISZ,X,O,X,O,O
TLOJIZS,X,O,X,O,O
TLOJSIZ,X,O,X,O,O
TLOJSZI,X,O,X,O,O
TLOJZIS,X,O,X,O,O
TLOJZSI,X,O,X,O,O
TLOSIJZ,O,O,O,O,X
TLOSIZJ,O,O,O,O,X
TLOSJIZ,O,O,O,O,X
TLOSJZI,O,O,O,O,X
TLOSZIJ,O,O,O,O,X
TLOSZJI,O,O,O,O,X
TLOZIJS,X,O,O,O,X
TLOZISJ,O,O,X,O,O
TLOZJIS,O,O,O,O,O
TLOZJSI,O,O,O,O,O
TLOZSIJ,O,O,O,O,O
TLOZSJI,O,O,O,O,O
TJILSZO,X,X,X,X,O
TJILSOZ,X,X,X,X,O
TJILZSO,X,X,X,X,O
TJILZOS,X,X,X,X,O
TJILOSZ,X,X,X,X,O
TJILOZS,X,X,X,X,O
TJISLZO,X,X,X,X,O
TJISLOZ,O,X,X,X,O
TJISZLO,X,X,O,X,O
TJISZOL,X,X,O,X,O
TJISOLZ,O,X,X,X,O
TJISOZL,X,X,X,X,O
TJIZLSO,X,X,X,X,O
TJIZLOS,X,X,O,X,O
TJIZSLO,X,X,O,X,O
TJIZSOL,X,X,O,X,O
TJIZOLS,X,X,O,X,O
TJIZOSL,X,X,O,X,O
TJIOLSZ,X,X,X,X,O
TJIOLZS,X,X,X,X,O
TJIOSLZ,O,X,X,X,O
TJIOSZL,X,X,X,X,O
TJIOZLS,X,X,O,X,O
TJIOZSL,X,X,O,X,O
TJLISZO,X,O,X,O,O
TJLISOZ,X,O,X,O,O
TJLIZSO,X,O,X,O,O
TJLIZOS,X,O,X,O,O
TJLIOSZ,X,O,X,O,O
TJLIOZS,X,O,X,O,O
TJLSIZO,X,O,X,O,O
TJLSIOZ,X,O,X,O,O
TJLSZIO,X,O,X,O,O
TJLSZOI,X,O,X,O,O
TJLSOIZ,X,O,X,O,O
TJLSOZI,X,O,X,X,O
TJLZISO,X,O,X,O,O
TJLZIOS,X,O,X,O,O
TJLZSIO,X,O,X,O,O
TJLZSOI,X,O,X,O,O
TJLZOIS,X,O,X,O,O
TJLZOSI,X,O,X,O,O
TJLOISZ,X,O,X,O,O
TJLOIZS,X,O,X,O,O
TJLOSIZ,X,O,X,O,O
TJLOSZI,X,O,X,O,O
TJLOZIS,X,O,X,O,O
TJLOZSI,X,O,X,O,O
TJSILZO,X,O,X,O,O
TJSILOZ,O,O,X,O,O
TJSIZLO,X,O,O,X,O
TJSIZOL,X,X,O,X,O
TJSIOLZ,O,X,X,X,O
TJSIOZL,X,X,O,X,O
TJSLIZO,X,O,O,O,O
TJSLIOZ,O,O,O,O,O
TJSLZIO,O,O,O,O,O
TJSLZOI,O,O,O,O,O
TJSLOIZ,O,O,O,O,O
TJSLOZI,O,O,O,X,O
TJSZILO,O,O,O,O,O
TJSZIOL,O,X,O,O,O
TJSZLIO,O,O,O,O,O
TJSZLOI,O,O,O,O,O
TJSZOIL,O,O,O,O,O
TJSZOLI,O,O,O,O,O
TJSOILZ,O,O,X,X,O
TJSOIZL,X,O,O,X,O
TJSOLIZ,O,O,O,O,O
TJSOLZI,O,O,O,X,O
TJSOZIL,O,O,O,X,O
TJSOZLI,O,O,O,X,O
TJZILSO,O,X,X,O,O
TJZILOS,O,X,O,O,O
