sequence,v115@KhB8EeA8BeB8EeF8CeA8Je/EJvhFalBRhBFjBzmB+s?BctB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhBSnBTjB0kBFs?BXtB,v115@KhB8EeA8BeB8EeF8CeA8Jei/IvhFRhBGjBzkBfsBVt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBFjBfsBSt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBfsBlnBct?BCtB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhB0kBzmBStB3s?BFtB,v115@KhB8EeA8BeB8EeF8CeA8JeyEJvhFRhB+oBfsBlnB0k?BzsB
TILJSZO,X,O,O,X,X,X,O
TILJSOZ,X,O,O,O,X,X,O
TILJZSO,X,O,O,X,X,X,X
TILJZOS,X,O,O,O,X,X,X
TILJOSZ,X,X,O,O,X,X,X
TILJOZS,X,X,O,O,X,X,X
TILSJZO,X,O,O,X,X,X,O
TILSJOZ,X,O,O,O,X,X,O
TILSZJO,X,O,O,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X
TILSOJZ,X,O,O,X,X,X,X
TILSOZJ,X,O,X,X,X,X,X
TILZJSO,X,O,O,X,X,X,X
TILZJOS,X,O,O,O,X,X,X
TILZSJO,X,O,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X
TILOJSZ,X,X,O,O,X,X,X
TILOJZS,X,X,O,O,X,X,X
TILOSJZ,X,O,O,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X
TILOZJS,X,O,O,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X
TIJLSZO,X,O,O,X,X,X,O
TIJLSOZ,X,O,O,O,X,X,O
TIJLZSO,X,O,O,X,X,X,X
TIJLZOS,X,O,O,O,X,X,X
TIJLOSZ,X,X,O,O,X,X,X
TIJLOZS,X,X,O,O,X,X,X
TIJSLZO,O,O,O,O,X,X,O
TIJSLOZ,X,O,O,O,X,X,O
TIJSZLO,O,O,O,X,O,X,O
TIJSZOL,O,O,O,X,O,X,X
TIJSOLZ,X,O,O,O,X,X,O
TIJSOZL,X,O,O,X,O,X,X
TIJZLSO,O,O,O,X,X,X,X
TIJZLOS,X,O,O,X,X,X,X
TIJZSLO,O,O,X,X,O,X,X
TIJZSOL,O,O,X,X,O,X,X
TIJZOLS,X,O,O,X,X,X,X
TIJZOSL,O,O,X,X,O,X,X
TIJOLSZ,X,X,O,O,X,X,X
TIJOLZS,X,X,O,O,X,X,X
TIJOSLZ,X,X,O,O,X,X,X
TIJOSZL,X,X,O,X,O,X,X
TIJOZLS,X,X,O,X,X,X,X
TIJOZSL,X,X,X,X,O,X,X
TISLJZO,O,O,O,O,X,X,O
TISLJOZ,X,O,O,O,X,X,O
TISLZJO,O,O,O,O,X,X,X
TISLZOJ,O,O,X,X,X,X,X
TISLOJZ,O,O,O,O,X,X,X
TISLOZJ,O,O,O,X,X,X,X
TISJLZO,O,O,O,O,X,X,O
TISJLOZ,X,O,O,O,X,X,O
TISJZLO,O,O,O,X,O,X,O
TISJZOL,O,O,O,X,O,X,X
TISJOLZ,X,O,O,O,X,X,O
TISJOZL,X,O,O,X,O,X,X
TISZLJO,O,O,O,X,O,X,X
TISZLOJ,O,O,X,X,X,X,X
TISZJLO,O,O,O,X,O,X,X
TISZJOL,O,O,O,X,O,X,X
TISZOLJ,O,O,O,X,X,X,X
TISZOJL,X,O,O,X,O,X,X
TISOLJZ,O,O,O,X,X,X,X
TISOLZJ,O,O,O,X,X,X,X
TISOJLZ,O,O,O,X,X,X,X
TISOJZL,O,O,O,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X
TISOZJL,O,O,O,X,X,X,X
TIZLJSO,X,O,O,X,X,X,X
TIZLJOS,X,O,O,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X
TIZJLOS,X,O,O,X,X,X,X
TIZJSLO,O,O,X,X,O,X,X
TIZJSOL,O,O,X,X,O,X,X
TIZJOLS,X,O,O,X,X,O,X
TIZJOSL,O,O,X,X,O,X,X
TIZSLJO,O,O,X,X,O,X,X
TIZSLOJ,O,O,X,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X
TIZSJOL,O,O,X,X,O,X,X
TIZSOLJ,O,O,X,X,X,X,X
TIZSOJL,X,O,X,X,O,X,X
TIZOLJS,X,O,O,X,X,O,X
TIZOLSJ,X,O,X,X,X,O,X
TIZOJLS,X,O,O,X,X,O,X
TIZOJSL,X,O,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X
TIOLSJZ,X,O,O,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X
TIOLZJS,X,O,O,X,X,O,X
TIOLZSJ,X,O,X,X,X,O,X
TIOJLSZ,X,X,O,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X
TIOJSLZ,O,X,O,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X
TIOZLJS,X,O,O,X,X,O,X
TIOZLSJ,X,O,X,X,X,O,X
TIOZJLS,O,O,O,X,X,O,X
TIOZJSL,O,O,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X
TLIJSZO,X,O,O,O,X,X,O
TLIJSOZ,X,O,O,O,X,X,O
TLIJZSO,X,O,O,X,X,X,X
TLIJZOS,X,O,O,O,X,X,X
TLIJOSZ,X,X,O,O,X,X,X
TLIJOZS,X,X,O,O,X,X,X
TLISJZO,X,O,O,O,X,X,O
TLISJOZ,X,O,O,O,X,X,O
TLISZJO,X,O,O,O,X,X,X
TLISZOJ,X,O,X,X,X,X,X
TLISOJZ,X,O,O,O,X,X,X
TLISOZJ,X,O,X,X,X,X,X
TLIZJSO,X,O,O,X,X,X,X
TLIZJOS,X,O,O,O,X,X,X
TLIZSJO,X,O,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X
TLIZOSJ,X,O,X,X,X,X,X
TLIOJSZ,X,X,O,O,X,X,X
TLIOJZS,X,X,O,O,X,X,X
TLIOSJZ,X,O,O,O,X,X,X
TLIOSZJ,X,O,X,X,X,X,X
TLIOZJS,X,O,O,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X
TLJISZO,X,O,O,O,X,X,O
TLJISOZ,X,O,O,O,X,X,O
TLJIZSO,X,O,O,X,X,X,X
TLJIZOS,X,O,O,O,X,X,X
TLJIOSZ,X,X,O,O,X,X,X
TLJIOZS,X,X,O,O,X,X,X
TLJSIZO,X,O,O,O,X,X,O
TLJSIOZ,X,O,O,O,X,X,O
TLJSZIO,X,O,O,O,X,X,O
TLJSZOI,X,O,X,O,X,X,O
TLJSOIZ,X,O,O,O,X,X,O
TLJSOZI,X,O,O,O,X,X,O
TLJZISO,X,O,O,X,X,X,X
TLJZIOS,X,O,O,O,X,X,X
TLJZSIO,X,O,O,O,X,X,X
TLJZSOI,X,O,X,O,X,X,X
TLJZOIS,X,O,X,O,X,X,X
TLJZOSI,X,O,X,O,X,X,X
TLJOISZ,X,X,O,O,X,X,X
TLJOIZS,X,X,O,O,X,X,X
TLJOSIZ,X,X,O,O,X,X,X
TLJOSZI,X,X,O,O,X,X,X
TLJOZIS,X,X,O,O,X,X,X
TLJOZSI,X,X,O,O,X,X,X
TLSIJZO,X,O,O,O,X,X,O
TLSIJOZ,X,O,O,O,X,X,O
TLSIZJO,X,O,O,O,X,X,X
TLSIZOJ,X,O,X,X,X,X,X
TLSIOJZ,X,O,O,O,X,X,X
TLSIOZJ,X,O,O,X,X,X,X
TLSJIZO,X,O,O,O,X,X,O
TLSJIOZ,X,O,O,O,X,X,O
TLSJZIO,X,O,O,O,X,X,O
TLSJZOI,X,O,X,O,X,X,O
TLSJOIZ,X,O,O,O,X,X,O
TLSJOZI,X,O,O,O,X,X,O
TLSZIJO,X,O,O,O,X,X,X
TLSZIOJ,X,O,X,X,X,X,X
TLSZJIO,X,O,O,O,X,X,X
TLSZJOI,X,O,X,O,X,X,X
TLSZOIJ,X,O,X,X,X,X,X
TLSZOJI,X,O,X,O,X,X,X
TLSOIJZ,X,O,O,O,X,X,X
TLSOIZJ,X,O,O,X,X,X,X
TLSOJIZ,X,O,O,O,X,X,X
TLSOJZI,X,O,O,O,X,X,X
TLSOZIJ,X,O,O,X,X,X,X
TLSOZJI,X,O,O,O,X,X,X
TLZIJSO,X,O,O,X,X,X,X
TLZIJOS,X,O,O,O,X,X,X
TLZISJO,X,O,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,X
TLZJISO,X,O,O,X,X,X,X
TLZJIOS,X,O,O,O,X,X,X
TLZJSIO,X,O,O,O,X,X,X
TLZJSOI,X,O,X,O,X,X,X
TLZJOIS,X,O,X,O,X,O,X
TLZJOSI,X,O,X,O,X,O,X
TLZSIJO,X,O,O,O,X,X,X
TLZSIOJ,X,O,X,X,X,X,X
TLZSJIO,X,O,O,O,X,X,X
TLZSJOI,X,O,X,O,X,X,X
TLZSOIJ,X,O,X,X,X,X,X
TLZSOJI,X,O,X,O,X,X,X
TLZOIJS,X,O,X,X,X,O,X
TLZOISJ,X,O,X,X,X,O,X
TLZOJIS,X,O,X,O,X,O,X
TLZOJSI,X,O,X,O,X,O,X
TLZOSIJ,X,O,X,X,X,O,X
TLZOSJI,X,O,X,O,X,O,X
TLOIJSZ,X,X,O,O,X,X,X
TLOIJZS,X,X,O,O,X,X,X
TLOISJZ,X,O,O,O,X,X,X
TLOISZJ,X,O,O,X,X,X,X
TLOIZJS,X,O,O,X,X,O,X
TLOIZSJ,X,O,X,X,X,O,X
TLOJISZ,X,X,O,O,X,X,X
TLOJIZS,X,X,O,O,X,X,X
TLOJSIZ,X,X,O,O,X,X,X
TLOJSZI,X,X,O,O,X,X,X
TLOJZIS,X,X,O,O,X,X,X
TLOJZSI,X,X,O,O,X,X,X
TLOSIJZ,X,O,O,O,X,X,X
TLOSIZJ,X,O,O,X,X,X,X
TLOSJIZ,X,O,O,O,X,X,X
TLOSJZI,X,O,O,O,X,X,X
TLOSZIJ,X,O,O,X,X,X,X
TLOSZJI,X,O,O,O,X,X,X
TLOZIJS,X,O,O,X,X,O,X
TLOZISJ,X,O,X,X,X,O,X
TLOZJIS,X,O,O,O,X,O,X
TLOZJSI,X,O,O,O,X,O,X
TLOZSIJ,X,O,O,X,X,O,X
TLOZSJI,X,O,O,O,X,O,X
TJILSZO,X,O,O,X,X,X,O
TJILSOZ,X,O,O,O,X,X,O
TJILZSO,X,O,O,X,X,X,X
TJILZOS,X,O,O,O,X,X,X
TJILOSZ,X,X,O,O,X,X,X
TJILOZS,X,X,O,O,X,X,X
TJISLZO,O,O,O,O,X,X,O
TJISLOZ,X,O,O,O,X,X,O
TJISZLO,O,O,O,X,O,X,O
TJISZOL,O,O,O,X,O,X,X
TJISOLZ,X,O,O,O,X,X,O
TJISOZL,X,O,O,X,O,X,X
TJIZLSO,O,O,O,X,X,X,X
TJIZLOS,X,O,O,X,X,X,X
TJIZSLO,O,O,X,X,O,X,X
TJIZSOL,O,O,X,X,O,X,X
TJIZOLS,X,O,O,X,X,X,X
TJIZOSL,O,O,X,X,O,X,X
TJIOLSZ,X,X,O,O,X,X,X
TJIOLZS,X,X,O,O,X,X,X
TJIOSLZ,X,X,O,O,X,X,X
TJIOSZL,X,X,O,X,O,X,X
TJIOZLS,X,X,O,X,X,X,X
TJIOZSL,X,X,X,X,O,X,X
TJLISZO,X,O,O,O,X,X,O
TJLISOZ,X,O,O,O,X,X,O
TJLIZSO,X,O,O,X,X,X,X
TJLIZOS,X,O,O,O,X,X,X
TJLIOSZ,X,X,O,O,X,X,X
TJLIOZS,X,X,O,O,X,X,X
TJLSIZO,X,O,O,O,X,X,O
TJLSIOZ,X,O,O,O,X,X,O
TJLSZIO,X,O,O,O,X,X,O
TJLSZOI,X,O,X,O,X,X,O
TJLSOIZ,X,O,O,O,X,X,O
TJLSOZI,X,O,O,O,X,X,O
TJLZISO,X,O,O,X,X,X,X
TJLZIOS,X,O,O,O,X,X,X
TJLZSIO,X,O,O,O,X,X,X
TJLZSOI,X,O,X,O,X,X,X
TJLZOIS,X,O,X,O,X,X,X
TJLZOSI,X,O,X,O,X,X,X
TJLOISZ,X,X,O,O,X,X,X
TJLOIZS,X,X,O,O,X,X,X
TJLOSIZ,X,X,O,O,X,X,X
TJLOSZI,X,X,O,O,X,X,X
TJLOZIS,X,X,O,O,X,X,X
TJLOZSI,X,X,O,O,X,X,X
TJSILZO,O,O,O,O,X,X,O
TJSILOZ,X,O,O,O,X,X,O
TJSIZLO,O,O,O,X,O,X,O
TJSIZOL,O,O,O,X,O,X,X
TJSIOLZ,X,O,O,O,X,X,O
TJSIOZL,X,O,O,X,O,X,X
TJSLIZO,O,O,O,O,X,X,O
TJSLIOZ,X,O,O,O,X,X,O
TJSLZIO,O,O,O,O,X,X,O
TJSLZOI,O,O,X,O,X,X,O
TJSLOIZ,O,O,O,O,X,X,O
TJSLOZI,O,O,O,O,X,X,O
TJSZILO,O,O,O,X,O,X,O
TJSZIOL,O,O,O,X,O,X,X
TJSZLIO,O,O,O,X,O,X,O
TJSZLOI,O,O,X,X,O,X,O
TJSZOIL,O,O,O,X,O,X,X
TJSZOLI,O,O,O,X,O,X,X
TJSOILZ,O,O,O,O,X,X,O
TJSOIZL,O,O,O,X,O,X,X
TJSOLIZ,O,O,O,O,X,X,O
TJSOLZI,O,O,O,O,X,X,O
TJSOZIL,O,O,O,X,O,X,X
TJSOZLI,O,O,O,X,O,X,X
TJZILSO,O,O,O,X,X,X,X
TJZILOS,X,O,O,X,X,X,X
TJZISLO,O,O,X,X,O,X,X
TJZISOL,O,O,X,X,O,X,X
TJZIOLS,O,O,O,X,X,X,X
TJZIOSL,O,O,X,X,O,X,X
TJZLISO,O,O,O,X,X,X,X
TJZLIOS,X,O,O,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,X,X,X,X,X
TJZLOIS,O,O,X,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X
TJZSILO,O,O,O,X,O,X,X
TJZSIOL,O,O,O,X,O,X,X
TJZSLIO,O,O,O,X,O,X,X
TJZSLOI,O,O,X,X,O,X,X
TJZSOIL,O,O,O,X,O,X,X
TJZSOLI,O,O,O,X,O,X,X
TJZOILS,O,O,O,X,X,X,X
TJZOISL,O,O,X,X,O,X,X
TJZOLIS,O,O,O,X,X,X,X
TJZOLSI,O,O,O,X,X,X,X
TJZOSIL,O,O,O,X,O,X,X
TJZOSLI,O,O,O,X,O,X,X
TJOILSZ,X,X,O,O,X,X,X
TJOILZS,X,X,O,O,X,X,X
TJOISLZ,O,X,O,O,X,X,X
TJOISZL,O,X,O,X,O,X,X
TJOIZLS,O,X,O,X,X,X,X
TJOIZSL,O,X,X,X,O,X,X
TJOLISZ,X,X,O,O,X,X,X
TJOLIZS,X,X,O,O,X,X,X
TJOLSIZ,X,X,O,O,X,X,X
TJOLSZI,X,X,O,O,X,X,X
TJOLZIS,X,X,O,O,X,X,X
TJOLZSI,X,X,O,O,X,X,X
TJOSILZ,O,X,O,O,X,X,X
TJOSIZL,O,X,O,X,O,X,X
TJOSLIZ,O,X,O,O,X,X,X
TJOSLZI,O,X,O,O,X,X,X
TJOSZIL,O,X,O,X,O,X,X
TJOSZLI,O,X,O,X,O,X,X
TJOZILS,O,X,O,X,X,X,X
TJOZISL,O,X,X,X,O,X,X
TJOZLIS,O,X,O,X,X,X,X
TJOZLSI,O,X,O,X,X,X,X
TJOZSIL,O,X,O,X,O,X,X
TJOZSLI,O,X,O,X,O,X,X
TSILJZO,O,O,O,O,X,X,O
TSILJOZ,X,O,O,O,X,X,O
TSILZJO,O,O,O,O,X,X,X
TSILZOJ,O,O,X,X,X,X,X
TSILOJZ,O,O,O,O,X,X,X
TSILOZJ,O,O,O,X,X,X,X
TSIJLZO,O,O,O,O,X,X,O
TSIJLOZ,X,O,O,O,X,X,O
TSIJZLO,O,O,O,X,O,X,O
TSIJZOL,O,O,O,X,O,X,X
TSIJOLZ,X,O,O,O,X,X,O
TSIJOZL,X,O,O,X,O,X,X
TSIZLJO,O,O,O,X,O,X,X
