sequence,v115@QhB8EeA8BeC8BeF8Jei/IvhFRhBFjBzkBGmB0nB3qB,v115@QhB8EeA8BeC8BeF8Jem/IvhFChBxiB0kBlmBznB3qB,v115@QhB8EeA8BeC8BeF8Je/EJvhFRgBumBFjBKqBzqB0sB,v115@QhB8EeA8BeC8BeF8JeT/IvhFigBumBFjB0nBRqB3qB
TISZJLO,X,O,O,X
TISZJOL,X,O,O,X
TISZOLJ,X,O,X,X
TISZOJL,X,O,X,X
TISOLJZ,O,O,O,O
TISOLZJ,X,O,X,X
TISOJLZ,O,O,O,O
TISOJZL,O,O,O,X
TISOZLJ,X,O,X,X
TISOZJL,X,O,X,X
TIZLJSO,X,O,X,O
TIZLJOS,X,O,X,O
TIZLSJO,X,O,X,O
TIZLSOJ,X,O,X,O
TIZLOJS,X,O,X,O
TIZLOSJ,X,O,X,O
TIZJLSO,X,O,X,O
TIZJLOS,X,O,X,O
TIZJSLO,X,O,X,O
TIZJSOL,X,O,X,O
TIZJOLS,X,O,X,O
TIZJOSL,X,O,X,O
TIZSLJO,X,O,X,O
TIZSLOJ,X,O,X,O
TIZSJLO,X,O,X,O
TIZSJOL,X,O,X,O
TIZSOLJ,X,O,X,O
TIZSOJL,X,O,X,O
TIZOLJS,X,O,X,O
TIZOLSJ,X,O,X,O
TIZOJLS,X,O,X,O
TIZOJSL,X,O,X,O
TIZOSLJ,X,O,X,O
TIZOSJL,X,O,X,O
TIOLJSZ,O,O,O,O
TIOLJZS,O,O,X,O
TIOLSJZ,X,O,O,O
TIOLSZJ,X,O,O,X
TIOLZJS,X,O,X,O
TIOLZSJ,X,O,X,O
TIOJLSZ,O,O,O,O
TIOJLZS,O,O,X,O
TIOJSLZ,O,O,X,O
TIOJSZL,X,O,X,X
TIOJZLS,O,O,X,O
TIOJZSL,X,O,X,O
TIOSLJZ,X,O,X,O
TIOSLZJ,X,O,X,X
TIOSJLZ,X,O,X,O
TIOSJZL,X,O,X,X
TIOSZLJ,X,O,X,X
