sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB
TILJSZO,O,O,O,O,X,X,O,O,O,O,X,X,X
TILJSOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TILJZSO,O,X,O,O,O,X,O,O,O,X,O,O,X
TILJZOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TILJOSZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TILJOZS,O,X,O,O,O,O,O,O,O,X,O,X,X
TILSJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
TILSJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
TILSZJO,O,O,X,O,O,X,X,O,X,O,O,O,X
TILSZOJ,O,O,X,O,O,X,X,O,X,O,O,X,X
TILSOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
TILSOZJ,O,X,X,O,O,X,X,O,X,O,O,X,X
TILZJSO,X,X,O,O,O,X,O,X,O,X,O,O,X
TILZJOS,X,X,O,O,O,X,O,X,O,X,O,O,X
TILZSJO,X,X,O,O,O,X,O,X,X,X,O,O,X
TILZSOJ,X,X,O,O,O,X,O,X,X,X,O,X,X
TILZOJS,X,X,X,X,O,X,O,X,O,X,O,O,X
TILZOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
TILOJSZ,O,X,O,X,O,O,O,O,O,O,X,X,X
TILOJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
TILOSJZ,X,X,O,X,O,O,X,O,O,O,X,X,X
TILOSZJ,O,X,O,X,O,X,X,O,X,O,O,O,X
TILOZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
TILOZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
TIJLSZO,O,O,O,O,X,O,O,O,O,O,X,X,X
TIJLSOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TIJLZSO,O,O,O,O,X,X,O,O,O,X,O,O,X
TIJLZOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TIJLOSZ,O,X,O,O,O,O,O,O,O,O,X,X,X
TIJLOZS,O,X,O,O,O,O,O,O,O,X,O,X,X
TIJSLZO,O,O,O,O,X,O,O,O,X,O,X,X,X
TIJSLOZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TIJSZLO,O,O,O,O,X,O,O,X,X,O,X,X,X
TIJSZOL,O,O,O,O,X,O,X,X,X,O,X,X,X
TIJSOLZ,O,X,O,O,X,O,O,O,X,O,X,X,X
TIJSOZL,O,X,O,O,X,O,O,X,X,O,X,X,X
TIJZLSO,O,O,O,O,O,X,O,O,O,X,O,O,X
TIJZLOS,O,X,O,O,O,O,O,O,O,X,O,O,X
TIJZSLO,O,O,O,O,X,O,O,X,X,O,O,O,X
TIJZSOL,O,O,O,O,X,O,O,X,O,O,O,X,X
TIJZOLS,O,X,O,O,O,O,O,O,O,X,O,O,X
TIJZOSL,O,O,O,O,X,O,O,X,O,O,O,X,X
TIJOLSZ,O,X,O,O,O,O,O,O,O,O,X,X,O
TIJOLZS,O,X,O,O,O,O,O,O,O,X,O,X,X
TIJOSLZ,O,O,O,O,X,O,O,O,X,O,X,X,O
TIJOSZL,O,O,O,O,X,O,O,X,X,O,X,X,O
TIJOZLS,O,O,O,O,O,O,O,O,O,X,O,X,X
TIJOZSL,O,O,O,O,X,O,O,X,O,O,O,X,X
TISLJZO,O,O,X,O,X,O,X,X,X,O,X,X,X
TISLJOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TISLZJO,O,O,X,O,X,X,X,X,X,O,O,O,X
TISLZOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TISLOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TISLOZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
TISJLZO,O,O,X,O,X,O,X,X,X,O,X,X,X
TISJLOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TISJZLO,O,O,X,O,X,O,X,X,X,O,X,X,X
TISJZOL,O,O,X,O,X,O,X,X,X,O,X,X,X
TISJOLZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TISJOZL,O,X,X,O,X,O,X,X,X,O,X,X,X
TISZLJO,O,O,X,O,X,X,X,X,X,O,O,O,X
TISZLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
TISZJLO,O,O,X,O,X,X,X,X,X,O,O,O,X
