sequence,v115@vhGZEJXhB8mBzkB+tBSvB2wB,v115@vhG5DJ2kBaoB3lBTpB0rBWyB,v115@vhGSDJZkBupB3lBToB0rBWyB,v115@vhG+/I5jBaoB/qBUmBTpBWyB,v115@vhG/CJTjBxkBipBUrB2xBGtB,v115@vhG/CJOoBxkB+tBipBUrBTsB,v115@vhGT5IOoBKpBUmB/sB+tBRwB,v115@vhGT5I5oBOpB8pBCmBXnB2wB,v115@vhGT5I5oBOpB8pBfrB6rBOsB,v115@vhGaGJ8mB5oB/pBznBWwB2xB,v115@vhG3/I6oBRnBTpB2vBmrBUtB
comments,J-01/Hold S,J-02/SZ Bridge,J-02-1/SZ Bridge Alt,J-03/SZ Chair,J-04/JJ Box,J-04-1/JJ Box Alt,J-05/JJ Box TKI,J-06/STSD,J-06-1/STSD Alt,J-07/JJ Train,J-08/JJ Chain
TILJSZO,O,X,X,X,X,X,O,X,X,O,X
TILJSOZ,O,X,X,X,X,X,O,X,X,O,X
TILJZSO,O,X,X,X,X,X,O,X,X,O,X
TILJZOS,O,X,X,X,X,X,O,X,X,O,X
TILJOSZ,O,X,X,X,X,X,O,X,X,O,X
TILJOZS,O,X,X,X,X,X,O,X,X,O,X
TILSJZO,O,X,X,X,X,X,O,X,X,O,X
TILSJOZ,O,X,X,X,X,X,O,X,X,O,X
TILSZJO,O,X,X,X,X,X,O,O,O,O,X
TILSZOJ,O,X,X,O,X,X,X,O,O,X,X
TILSOJZ,O,X,X,O,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,O,O,X,X
TILZJSO,O,X,X,X,X,X,O,O,X,O,X
TILZJOS,O,X,X,X,X,X,O,O,X,O,X
TILZSJO,O,X,X,X,X,X,O,O,X,O,X
TILZSOJ,O,O,X,X,X,X,X,O,X,X,X
TILZOJS,O,O,X,X,X,X,X,O,X,X,X
TILZOSJ,O,O,X,X,X,X,X,O,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,X,O,O,X,X
TILOZJS,O,O,X,X,X,X,X,O,X,X,X
TILOZSJ,O,O,X,X,X,X,X,O,X,X,X
TIJLSZO,O,X,X,X,X,X,O,X,X,O,X
TIJLSOZ,O,X,X,X,X,X,O,X,X,O,X
TIJLZSO,O,X,X,X,X,X,O,X,X,O,X
TIJLZOS,O,X,X,X,X,X,O,X,X,O,X
TIJLOSZ,O,X,X,X,X,X,O,X,X,O,X
TIJLOZS,O,X,X,X,X,X,O,X,X,O,X
TIJSLZO,O,X,X,X,X,X,O,X,X,O,X
TIJSLOZ,O,X,X,X,X,X,O,X,X,O,X
TIJSZLO,O,X,X,X,X,X,O,O,X,O,X
TIJSZOL,X,X,X,X,X,X,O,O,X,O,X
TIJSOLZ,X,X,X,X,X,X,O,X,X,O,X
TIJSOZL,X,X,X,X,X,X,O,O,X,O,X
TIJZLSO,O,X,X,X,X,X,O,O,X,O,X
TIJZLOS,O,X,X,X,X,X,O,O,X,O,X
TIJZSLO,O,X,X,X,X,X,O,O,O,O,X
TIJZSOL,X,X,O,X,X,X,O,O,O,O,X
TIJZOLS,X,X,O,X,X,X,O,O,X,O,X
TIJZOSL,X,X,O,X,X,X,O,O,O,O,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,O,X
TIJOLZS,X,X,O,X,X,X,O,X,X,O,X
TIJOSLZ,X,X,X,X,X,X,O,X,X,O,X
TIJOSZL,X,X,X,X,X,X,O,O,X,O,X
TIJOZLS,X,X,O,X,X,X,O,O,X,O,X
TIJOZSL,X,X,O,X,X,X,O,O,O,O,X
TISLJZO,O,X,X,X,X,X,O,X,X,O,X
TISLJOZ,O,X,X,X,X,X,O,X,X,O,X
TISLZJO,O,X,X,X,X,X,O,O,O,O,X
TISLZOJ,O,X,X,O,X,X,X,O,O,X,X
TISLOJZ,O,X,X,O,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,X,X,X,O,O,X,X
TISJLZO,O,X,X,X,X,X,O,X,X,O,X
TISJLOZ,O,X,X,X,X,X,O,X,X,O,X
TISJZLO,O,X,X,X,X,X,O,O,X,O,X
TISJZOL,X,X,X,X,X,X,O,O,X,O,X
TISJOLZ,X,X,X,X,X,X,O,X,X,O,X
TISJOZL,X,X,X,X,X,X,O,O,X,O,X
TISZLJO,O,X,X,X,X,X,O,O,O,O,X
TISZLOJ,O,X,X,O,X,X,X,O,O,X,X
TISZJLO,O,X,X,X,X,X,O,O,O,O,X
TISZJOL,X,X,X,X,X,X,O,O,O,O,X
TISZOLJ,X,X,X,O,X,X,X,O,O,X,X
TISZOJL,X,X,X,O,X,X,X,O,O,O,X
TISOLJZ,X,X,X,O,X,X,X,X,X,X,X
TISOLZJ,X,X,X,O,X,X,X,O,O,X,X
TISOJLZ,X,X,X,O,X,X,X,X,X,O,X
TISOJZL,X,X,X,O,X,X,X,O,X,O,X
TISOZLJ,X,X,X,O,X,X,X,O,O,X,X
TISOZJL,X,X,X,O,X,X,X,O,O,O,X
TIZLJSO,O,X,X,X,X,X,O,O,X,O,X
TIZLJOS,O,X,X,X,X,X,O,O,X,O,X
TIZLSJO,O,X,X,X,X,X,O,O,X,O,X
TIZLSOJ,O,O,X,X,X,X,X,O,X,X,X
TIZLOJS,O,O,X,X,X,X,X,O,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,O,X,X,X
TIZJLSO,O,X,X,X,X,X,O,O,X,O,X
TIZJLOS,O,X,X,X,X,X,O,O,X,O,X
TIZJSLO,O,X,X,X,X,X,O,O,O,O,X
TIZJSOL,X,X,O,X,X,X,O,O,O,O,X
TIZJOLS,X,X,O,X,X,X,O,O,X,O,X
TIZJOSL,X,X,O,X,X,X,O,O,O,O,X
TIZSLJO,O,X,X,X,X,X,O,O,O,O,X
TIZSLOJ,O,O,X,X,X,X,X,O,O,X,X
TIZSJLO,O,X,X,X,X,X,O,O,O,O,X
TIZSJOL,X,X,O,X,X,X,O,O,O,O,X
TIZSOLJ,X,O,O,X,X,X,X,O,O,X,X
TIZSOJL,X,O,O,X,X,X,X,O,O,O,X
TIZOLJS,X,O,O,X,X,X,X,O,X,X,X
TIZOLSJ,X,O,O,X,X,X,X,O,X,X,X
TIZOJLS,X,O,O,X,X,X,X,O,X,O,X
TIZOJSL,X,O,O,X,X,X,X,O,O,O,X
TIZOSLJ,X,O,O,X,X,X,X,O,O,X,X
TIZOSJL,X,O,O,X,X,X,X,O,O,O,X
TIOLJSZ,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,X,O,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,O,X,X,X,O,O,X,X
TIOLZJS,X,O,O,X,X,X,X,O,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,X,X,O,X
TIOJLZS,X,O,O,X,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,O,X,X,X,X,X,O,X
TIOJSZL,X,X,X,O,X,X,X,O,X,O,X
TIOJZLS,X,O,O,X,X,X,X,O,X,O,X
TIOJZSL,X,O,O,X,X,X,X,O,O,O,X
TIOSLJZ,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,X,X,O,O,X,X
TIOSJLZ,X,X,X,O,X,X,X,X,X,O,X
TIOSJZL,X,X,X,O,X,X,X,O,X,O,X
TIOSZLJ,X,X,X,O,X,X,X,O,O,X,X
TIOSZJL,X,X,X,O,X,X,X,O,O,O,X
TIOZLJS,X,O,O,X,X,X,X,O,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,O,X,X,X
TIOZJLS,X,O,O,X,X,X,X,O,X,O,X
TIOZJSL,X,O,O,X,X,X,X,O,O,O,X
TIOZSLJ,X,O,O,X,X,X,X,O,O,X,X
TIOZSJL,X,O,O,X,X,X,X,O,O,O,X
TLIJSZO,O,X,X,X,O,X,O,X,X,O,X
TLIJSOZ,O,X,X,X,O,X,O,X,X,O,X
TLIJZSO,O,X,X,X,O,X,O,X,X,O,X
TLIJZOS,O,X,X,X,O,O,O,X,X,O,X
TLIJOSZ,O,X,X,X,O,O,O,X,X,O,X
TLIJOZS,O,X,X,X,O,O,O,X,X,O,X
TLISJZO,O,X,X,X,O,X,O,X,X,O,X
TLISJOZ,O,X,X,X,O,X,O,X,X,O,X
TLISZJO,O,X,X,X,X,X,O,O,O,O,X
TLISZOJ,O,X,X,O,X,X,X,O,O,X,X
TLISOJZ,O,X,X,O,O,X,X,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,O,O,X,X
TLIZJSO,O,X,X,X,O,X,O,O,X,O,X
TLIZJOS,O,X,X,X,O,O,O,O,X,O,X
TLIZSJO,O,X,X,X,X,X,O,O,X,O,X
TLIZSOJ,O,O,X,X,X,X,X,O,X,X,X
TLIZOJS,O,O,X,X,O,O,X,O,X,X,X
TLIZOSJ,O,O,X,X,X,O,X,O,X,X,X
TLIOJSZ,O,X,X,O,O,O,X,X,X,X,X
TLIOJZS,O,O,X,X,O,O,X,X,X,X,X
TLIOSJZ,O,X,X,O,O,O,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,O,X,O,O,X,X
TLIOZJS,O,O,X,X,O,O,X,O,X,X,X
TLIOZSJ,O,O,X,X,X,O,X,O,X,X,X
TLJISZO,O,X,X,X,O,X,O,X,X,O,X
TLJISOZ,O,X,X,X,O,X,O,X,X,O,X
TLJIZSO,O,X,X,X,O,X,O,X,X,O,X
TLJIZOS,O,X,X,X,O,O,O,X,X,O,X
TLJIOSZ,O,X,X,X,O,O,O,X,X,O,X
TLJIOZS,O,X,X,X,O,O,O,X,X,O,X
TLJSIZO,O,X,X,X,O,X,O,X,X,O,X
TLJSIOZ,O,X,X,X,O,X,O,X,X,O,X
TLJSZIO,O,X,X,X,O,X,X,X,X,O,X
TLJSZOI,O,X,X,X,O,X,X,X,X,O,X
TLJSOIZ,O,X,X,X,O,X,O,X,X,O,X
TLJSOZI,O,X,X,X,O,X,X,X,X,O,X
TLJZISO,O,X,X,X,O,X,X,X,X,O,X
TLJZIOS,O,X,X,X,O,O,X,X,X,O,X
TLJZSIO,O,X,X,X,O,X,X,X,X,O,X
TLJZSOI,O,X,X,X,O,X,X,X,X,O,X
TLJZOIS,O,X,X,X,O,O,X,X,X,O,X
TLJZOSI,O,X,X,X,O,O,X,X,X,O,X
TLJOISZ,O,X,X,X,O,O,O,X,X,O,X
TLJOIZS,O,X,X,X,O,O,O,X,X,O,X
TLJOSIZ,O,X,X,X,O,O,O,X,X,O,X
TLJOSZI,O,X,X,X,O,O,X,X,X,O,X
TLJOZIS,O,X,X,X,O,O,X,X,X,O,X
TLJOZSI,O,X,X,X,O,O,X,X,X,O,X
TLSIJZO,O,X,X,X,O,X,O,X,X,O,X
TLSIJOZ,O,X,X,X,O,X,O,X,X,O,X
TLSIZJO,O,X,X,X,X,X,O,O,O,O,X
TLSIZOJ,O,X,X,O,X,X,X,O,O,X,X
TLSIOJZ,O,X,X,O,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,O,O,X,X
TLSJIZO,O,X,X,X,O,X,O,X,X,O,X
TLSJIOZ,O,X,X,X,O,X,O,X,X,O,X
TLSJZIO,O,X,X,X,O,X,X,X,X,O,X
TLSJZOI,O,X,X,X,O,X,X,X,X,O,X
TLSJOIZ,O,X,X,X,O,X,O,X,X,O,X
TLSJOZI,O,X,X,X,O,X,X,X,X,O,X
TLSZIJO,O,X,X,X,X,X,X,O,O,O,X
TLSZIOJ,O,X,X,O,X,X,X,O,O,X,X
TLSZJIO,O,X,X,X,X,X,X,O,O,O,X
TLSZJOI,O,X,X,X,X,X,X,X,X,O,X
TLSZOIJ,O,X,X,O,X,X,X,X,X,X,X
TLSZOJI,O,X,X,O,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,O,O,X,X,X,X,X,X
TLSOJZI,O,X,X,O,O,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,X,X,X,X
TLSOZJI,O,X,X,O,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,O,X,X,O,X,O,X
TLZIJOS,O,X,X,X,O,O,X,O,X,O,X
TLZISJO,O,X,X,X,X,X,X,O,X,O,X
TLZISOJ,O,O,X,X,X,X,X,O,X,X,X
TLZIOJS,O,O,X,X,O,O,X,O,X,X,X
TLZIOSJ,O,O,X,X,X,O,X,O,X,X,X
TLZJISO,O,X,X,X,O,X,X,O,X,O,X
TLZJIOS,O,X,X,X,O,O,X,O,X,O,X
TLZJSIO,O,X,X,X,O,X,X,O,X,O,X
TLZJSOI,O,X,X,X,O,X,X,X,X,O,X
TLZJOIS,O,X,X,X,O,O,X,X,X,O,X
TLZJOSI,O,X,X,X,O,O,X,X,X,O,X
TLZSIJO,O,X,X,X,X,X,X,O,X,O,X
TLZSIOJ,O,O,X,X,X,X,X,O,X,X,X
TLZSJIO,O,X,X,X,X,X,X,O,X,O,X
TLZSJOI,O,X,X,X,X,X,X,X,X,O,X
TLZSOIJ,O,O,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,O,O,X,X,X,X,X
TLZOISJ,O,O,X,X,X,O,X,X,X,X,X
TLZOJIS,O,O,X,X,O,O,X,X,X,X,X
TLZOJSI,O,O,X,X,O,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,O,X,X,X,X,X
TLZOSJI,O,O,X,X,X,O,X,X,X,X,X
TLOIJSZ,O,X,X,O,O,O,X,X,X,X,X
TLOIJZS,O,O,X,X,O,O,X,X,X,X,X
TLOISJZ,O,X,X,O,O,O,X,X,X,X,X
TLOISZJ,O,X,X,O,X,O,X,X,X,X,X
TLOIZJS,O,O,X,X,O,O,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,O,X,X,X,X,X
TLOJISZ,O,X,X,O,O,O,X,X,X,X,X
TLOJIZS,O,O,X,X,O,O,X,X,X,X,X
TLOJSIZ,O,X,X,O,O,O,X,X,X,X,X
TLOJSZI,O,X,X,O,O,O,X,X,X,X,X
TLOJZIS,O,O,X,X,O,O,X,X,X,X,X
TLOJZSI,O,O,X,X,O,O,X,X,X,X,X
TLOSIJZ,O,X,X,O,O,O,X,X,X,X,X
TLOSIZJ,O,X,X,O,X,O,X,X,X,X,X
TLOSJIZ,O,X,X,O,O,O,X,X,X,X,X
TLOSJZI,O,X,X,O,O,O,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,O,X,X,X,X,X
TLOSZJI,O,X,X,O,X,O,X,X,X,X,X
TLOZIJS,O,O,X,X,O,O,X,X,X,X,X
TLOZISJ,O,O,X,X,X,O,X,X,X,X,X
TLOZJIS,O,O,X,X,O,O,X,X,X,X,X
TLOZJSI,O,O,X,X,O,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,O,X,X,X,X,X
TLOZSJI,O,O,X,X,X,O,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,O,X,X,O,X
TJILSOZ,O,X,X,X,X,X,O,X,X,O,X
TJILZSO,O,X,X,X,X,X,O,X,X,O,X
TJILZOS,O,X,X,X,X,X,O,X,X,O,X
TJILOSZ,O,X,X,X,X,X,O,X,X,O,X
TJILOZS,O,X,X,X,X,X,O,X,X,O,X
TJISLZO,O,X,X,X,X,X,O,X,X,O,X
TJISLOZ,O,X,X,X,X,X,O,X,X,O,X
TJISZLO,O,X,X,X,X,X,O,O,X,O,X
TJISZOL,X,X,X,X,X,X,O,O,X,O,X
TJISOLZ,X,X,X,X,X,X,O,X,X,O,X
TJISOZL,X,X,X,X,X,X,O,O,X,O,X
TJIZLSO,O,X,X,X,X,X,O,O,X,O,X
TJIZLOS,O,X,X,X,X,X,O,O,X,O,X
TJIZSLO,O,X,X,X,X,X,O,O,O,O,X
TJIZSOL,X,X,O,X,X,X,O,O,O,O,X
TJIZOLS,X,X,O,X,X,X,O,O,X,O,X
TJIZOSL,X,X,O,X,X,X,O,O,O,O,X
TJIOLSZ,X,X,X,X,X,X,O,X,X,O,X
TJIOLZS,X,X,O,X,X,X,O,X,X,O,X
TJIOSLZ,X,X,X,X,X,X,O,X,X,O,X
TJIOSZL,X,X,X,X,X,X,O,O,X,O,X
TJIOZLS,X,X,O,X,X,X,O,O,X,O,X
TJIOZSL,X,X,O,X,X,X,O,O,O,O,X
TJLISZO,O,X,X,X,O,X,O,X,X,O,X
TJLISOZ,O,X,X,X,O,X,O,X,X,O,X
TJLIZSO,O,X,X,X,O,X,O,X,X,O,X
TJLIZOS,O,X,X,X,O,O,O,X,X,O,X
TJLIOSZ,O,X,X,X,O,O,O,X,X,O,X
TJLIOZS,O,X,X,X,O,O,O,X,X,O,X
TJLSIZO,O,X,X,X,O,X,O,X,X,O,X
TJLSIOZ,O,X,X,X,O,X,O,X,X,O,X
TJLSZIO,O,X,X,X,O,X,X,X,X,O,X
TJLSZOI,O,X,X,X,O,X,X,X,X,O,X
TJLSOIZ,O,X,X,X,O,X,O,X,X,O,X
TJLSOZI,O,X,X,X,O,X,X,X,X,O,X
TJLZISO,O,X,X,X,O,X,X,X,X,O,X
TJLZIOS,O,X,X,X,O,O,X,X,X,O,X
TJLZSIO,O,X,X,X,O,X,X,X,X,O,X
TJLZSOI,O,X,X,X,O,X,X,X,X,O,X
TJLZOIS,O,X,X,X,O,O,X,X,X,O,X
TJLZOSI,O,X,X,X,O,O,X,X,X,O,X
TJLOISZ,O,X,X,X,O,O,O,X,X,O,X
TJLOIZS,O,X,X,X,O,O,O,X,X,O,X
TJLOSIZ,O,X,X,X,O,O,O,X,X,O,X
TJLOSZI,O,X,X,X,O,O,X,X,X,O,X
TJLOZIS,O,X,X,X,O,O,X,X,X,O,X
TJLOZSI,O,X,X,X,O,O,X,X,X,O,X
TJSILZO,O,X,X,X,X,X,O,X,X,O,X
TJSILOZ,O,X,X,X,X,X,O,X,X,O,X
TJSIZLO,O,X,X,X,X,X,O,O,X,O,X
TJSIZOL,X,X,X,X,X,X,O,O,X,O,X
TJSIOLZ,X,X,X,X,X,X,O,X,X,O,X
TJSIOZL,X,X,X,X,X,X,O,O,X,O,X
TJSLIZO,O,X,X,X,O,X,O,X,X,O,X
TJSLIOZ,O,X,X,X,O,X,O,X,X,O,X
TJSLZIO,O,X,X,X,O,X,X,X,X,O,X
TJSLZOI,O,X,X,X,O,X,X,X,X,O,X
TJSLOIZ,O,X,X,X,O,X,O,X,X,O,X
TJSLOZI,O,X,X,X,O,X,X,X,X,O,X
TJSZILO,O,X,X,X,X,X,X,O,X,O,X
TJSZIOL,X,X,X,X,X,X,X,O,X,O,X
TJSZLIO,O,X,X,X,O,X,X,O,X,O,X
TJSZLOI,O,X,X,X,O,X,X,X,X,O,X
TJSZOIL,X,X,X,X,X,X,X,X,X,O,X
TJSZOLI,X,X,X,X,O,X,X,X,X,O,X
TJSOILZ,X,X,X,X,X,X,O,X,X,O,X
TJSOIZL,X,X,X,X,X,X,O,X,X,O,X
TJSOLIZ,X,X,X,X,O,X,O,X,X,O,X
TJSOLZI,X,X,X,X,O,X,X,X,X,O,X
TJSOZIL,X,X,X,X,X,X,X,X,X,O,X
TJSOZLI,X,X,X,X,O,X,X,X,X,O,X
TJZILSO,O,X,X,X,X,X,X,O,X,O,X
TJZILOS,O,X,X,X,X,X,X,O,X,O,O
TJZISLO,O,X,X,X,X,X,X,O,O,O,X
TJZISOL,X,X,O,X,X,X,X,O,O,O,X
TJZIOLS,X,X,O,X,X,X,X,O,X,O,O
TJZIOSL,X,X,O,X,X,X,X,O,O,O,O
TJZLISO,O,X,X,X,O,X,X,O,X,O,X
TJZLIOS,O,X,X,X,O,O,X,O,X,O,O
TJZLSIO,O,X,X,X,O,X,X,O,X,O,X
TJZLSOI,O,X,X,X,O,X,X,X,X,O,X
TJZLOIS,O,X,X,X,O,O,X,X,X,O,O
TJZLOSI,O,X,X,X,O,O,X,X,X,O,O
TJZSILO,O,X,X,X,X,X,X,O,O,O,X
TJZSIOL,X,X,O,X,X,X,X,O,O,O,X
TJZSLIO,O,X,X,X,O,X,X,O,O,O,X
TJZSLOI,O,X,X,X,O,X,X,X,X,O,X
TJZSOIL,X,X,O,X,X,X,X,X,X,O,X
TJZSOLI,X,X,O,X,O,X,X,X,X,O,X
TJZOILS,X,X,O,X,X,X,X,X,X,O,O
TJZOISL,X,X,O,X,X,X,X,X,X,O,O
TJZOLIS,X,X,O,X,O,O,X,X,X,O,O
TJZOLSI,X,X,O,X,O,O,X,X,X,O,O
TJZOSIL,X,X,O,X,X,X,X,X,X,O,O
TJZOSLI,X,X,O,X,O,O,X,X,X,O,O
TJOILSZ,X,X,X,X,X,X,O,X,X,O,X
TJOILZS,X,X,O,X,X,X,O,X,X,O,X
