sequence,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBunBcoB/pBKqBzqB,v115@MhB8HeB8BeB8CeF8JeT/IvhF2lBRhBCjBXoB0pBlqB,v115@MhB8HeB8BeB8CeF8Jei/IvhFRhBGjB1pB8qBznBXqB,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBqnBTjB2pB8qBXqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFqnBTjB/pBFlB8qBmpB,v115@MhB8HeB8BeB8CeF8JeRBJvhFCjB2pBzlBXoBUqBlpB,v115@MhB8HeB8BeB8CeF8JeKEJvhFRhBWoBFlB8qBXoBzpB
TILJSZO,X,O,O,X,X,X,X
TILJSOZ,X,O,O,O,X,X,X
TILJZSO,X,O,O,X,X,X,O
TILJZOS,X,O,O,O,X,X,O
TILJOSZ,X,X,O,O,X,X,X
TILJOZS,X,X,O,O,X,X,X
TILSJZO,O,O,O,X,X,X,X
TILSJOZ,X,O,O,X,X,X,X
TILSZJO,O,O,X,X,O,X,X
TILSZOJ,O,O,X,X,O,X,X
TILSOJZ,X,O,O,X,X,X,X
TILSOZJ,O,O,X,X,O,X,X
TILZJSO,O,O,O,O,X,X,O
TILZJOS,X,O,O,O,X,X,O
TILZSJO,O,O,O,X,O,X,O
TILZSOJ,O,O,O,X,O,X,X
TILZOJS,X,O,O,O,X,X,O
TILZOSJ,X,O,O,X,O,X,X
TILOJSZ,X,X,O,O,X,X,X
TILOJZS,X,X,O,O,X,X,X
TILOSJZ,X,X,O,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X
TILOZJS,X,X,O,O,X,X,X
TILOZSJ,X,X,O,X,O,X,X
TIJLSZO,X,O,O,X,X,X,X
TIJLSOZ,X,O,O,O,X,X,X
TIJLZSO,X,O,O,X,X,X,O
TIJLZOS,X,O,O,O,X,X,O
TIJLOSZ,X,X,O,O,X,X,X
TIJLOZS,X,X,O,O,X,X,X
TIJSLZO,X,O,O,X,X,X,X
TIJSLOZ,X,O,O,O,X,X,X
TIJSZLO,X,O,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X
TIJZLSO,X,O,O,X,X,X,O
TIJZLOS,X,O,O,O,X,X,O
TIJZSLO,X,O,O,X,X,X,X
TIJZSOL,X,O,X,X,X,X,X
TIJZOLS,X,O,O,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X
TIJOLSZ,X,X,O,O,X,X,X
TIJOLZS,X,X,O,O,X,X,X
TIJOSLZ,X,O,O,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X
TIJOZLS,X,O,O,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,X
TISLJOZ,X,O,O,X,X,X,X
TISLZJO,O,O,X,X,O,X,X
TISLZOJ,O,O,X,X,O,X,X
TISLOJZ,X,O,O,X,X,O,X
TISLOZJ,O,O,X,X,O,X,X
TISJLZO,X,O,O,X,X,X,X
TISJLOZ,X,O,O,X,X,X,X
TISJZLO,O,O,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X
TISZLJO,O,O,X,X,O,X,X
TISZLOJ,O,O,X,X,O,X,X
TISZJLO,O,O,X,X,O,X,X
TISZJOL,O,O,X,X,X,X,X
TISZOLJ,X,O,X,X,O,X,X
TISZOJL,O,O,X,X,X,X,X
TISOLJZ,X,O,O,X,X,O,X
TISOLZJ,X,O,X,X,X,X,X
TISOJLZ,X,O,O,X,X,O,X
TISOJZL,X,O,X,X,X,O,X
TISOZLJ,X,O,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X
TIZLJSO,O,O,O,O,X,X,O
TIZLJOS,X,O,O,O,X,X,O
TIZLSJO,O,O,O,X,O,X,O
TIZLSOJ,O,O,O,X,O,X,X
TIZLOJS,X,O,O,O,X,X,O
TIZLOSJ,X,O,O,X,O,X,X
TIZJLSO,O,O,O,O,X,X,O
TIZJLOS,X,O,O,O,X,X,O
TIZJSLO,O,O,O,O,X,X,X
TIZJSOL,O,O,X,X,X,X,X
TIZJOLS,O,O,O,O,X,X,X
TIZJOSL,O,O,O,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X
TIZSLOJ,O,O,O,X,O,X,X
TIZSJLO,O,O,O,X,O,X,X
TIZSJOL,O,O,X,X,X,X,X
TIZSOLJ,X,O,O,X,O,X,X
TIZSOJL,O,O,O,X,X,X,X
TIZOLJS,O,O,O,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X
TIZOJSL,O,O,O,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,X
TIOLZJS,O,X,O,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X
