sequence,v115@VhA8AeB8CeI8JeZEJvhFupBFmB8rBftB6tBTqB,v115@VhA8AeB8CeI8JeZEJvhFClBXmB8rBznB+tBVvB,v115@VhA8AeB8CeI8Je/FJvhFFhBxiBOpBCsBTtB0pB,v115@VhA8AeB8CeI8Je/FJvhFRhBCjB0kBlmBToBOpB,v115@VhA8AeB8CeI8JeZEJvhFFlBXmB8rBCoBWvBTtB,v115@VhA8AeB8CeI8JeZEJvhFqpB/qBFmB8rBznB+tB
TILJSZO,X,O,X,X,O,O
TILJSOZ,X,O,O,X,X,O
TILJZSO,X,O,X,X,O,O
TILJZOS,X,O,X,X,O,O
TILJOSZ,X,O,O,X,X,O
TILJOZS,X,O,O,X,O,O
TILSJZO,X,O,X,X,X,O
TILSJOZ,X,O,O,X,X,O
TILSZJO,X,O,X,X,X,O
TILSZOJ,X,O,X,O,X,O
TILSOJZ,X,X,O,O,X,X
TILSOZJ,X,X,O,O,X,X
TILZJSO,X,O,X,X,O,O
TILZJOS,X,O,X,X,O,O
TILZSJO,X,O,X,X,O,O
TILZSOJ,X,O,X,X,O,O
TILZOJS,X,O,X,X,X,X
TILZOSJ,X,O,X,X,X,X
TILOJSZ,X,O,O,O,X,X
TILOJZS,X,O,O,X,X,X
TILOSJZ,X,X,O,O,X,X
TILOSZJ,X,X,O,O,X,X
TILOZJS,X,O,O,X,X,X
TILOZSJ,X,O,O,O,X,X
TIJLSZO,X,O,X,X,O,O
TIJLSOZ,X,O,O,X,X,O
TIJLZSO,X,O,X,X,O,O
TIJLZOS,X,O,X,X,O,O
TIJLOSZ,X,O,O,X,O,O
TIJLOZS,X,O,O,X,O,O
TIJSLZO,O,O,X,X,O,X
TIJSLOZ,X,O,O,X,X,X
TIJSZLO,O,O,X,X,O,X
TIJSZOL,O,O,X,O,O,X
TIJSOLZ,X,O,X,O,O,X
TIJSOZL,X,O,X,O,O,X
TIJZLSO,O,O,X,X,O,O
TIJZLOS,X,O,X,X,O,O
TIJZSLO,O,O,X,X,O,X
TIJZSOL,O,O,X,X,O,X
TIJZOLS,X,O,X,X,O,O
TIJZOSL,O,O,X,X,O,X
TIJOLSZ,X,O,X,O,O,O
TIJOLZS,X,O,X,X,O,O
TIJOSLZ,X,O,X,O,O,X
