sequence,v115@QhA8DeB8CeA8AeG8AeA8JeZEJvhFzfBUhBFiBXjBSq?BmsB,v115@QhA8DeB8CeA8AeG8AeA8JeZEJvhFukBUhBanBFjBTl?BftB
TJIZOLS,O,X
TJIZOSL,O,X
TJIOLSZ,O,X
TJIOLZS,O,X
TJIOSLZ,O,X
TJIOSZL,O,X
TJIOZLS,O,X
TJIOZSL,O,X
TJLISZO,O,O
TJLISOZ,O,O
TJLIZSO,O,O
TJLIZOS,O,X
TJLIOSZ,O,X
TJLIOZS,O,X
TJLSIZO,O,O
TJLSIOZ,O,O
TJLSZIO,O,O
TJLSZOI,O,O
TJLSOIZ,O,O
TJLSOZI,O,O
TJLZISO,O,O
TJLZIOS,O,X
TJLZSIO,O,O
TJLZSOI,O,O
TJLZOIS,O,X
TJLZOSI,O,X
TJLOISZ,O,X
TJLOIZS,O,X
TJLOSIZ,O,X
TJLOSZI,O,X
TJLOZIS,O,X
TJLOZSI,O,X
TJSILZO,O,O
TJSILOZ,O,O
TJSIZLO,O,O
TJSIZOL,O,O
TJSIOLZ,O,O
TJSIOZL,O,O
TJSLIZO,O,O
TJSLIOZ,O,O
TJSLZIO,O,O
TJSLZOI,O,O
TJSLOIZ,O,O
TJSLOZI,O,O
TJSZILO,O,O
TJSZIOL,O,O
TJSZLIO,O,O
TJSZLOI,O,O
TJSZOIL,O,O
TJSZOLI,O,O
TJSOILZ,O,O
TJSOIZL,O,O
TJSOLIZ,O,O
TJSOLZI,O,O
TJSOZIL,O,O
TJSOZLI,O,O
TJZILSO,O,O
TJZILOS,O,X
TJZISLO,O,O
TJZISOL,O,O
TJZIOLS,O,X
TJZIOSL,O,X
TJZLISO,O,O
TJZLIOS,O,X
TJZLSIO,O,O
TJZLSOI,O,O
TJZLOIS,O,X
TJZLOSI,O,X
TJZSILO,O,O
TJZSIOL,O,O
TJZSLIO,O,O
TJZSLOI,O,O
TJZSOIL,O,O
TJZSOLI,O,O
TJZOILS,O,X
TJZOISL,O,X
TJZOLIS,O,X
TJZOLSI,O,X
TJZOSIL,O,X
TJZOSLI,O,X
TJOILSZ,O,X
TJOILZS,O,X
TJOISLZ,O,X
TJOISZL,O,X
TJOIZLS,O,X
TJOIZSL,O,X
TJOLISZ,O,X
TJOLIZS,O,X
TJOLSIZ,O,X
TJOLSZI,O,X
TJOLZIS,O,X
TJOLZSI,O,X
TJOSILZ,O,X
TJOSIZL,O,X
TJOSLIZ,O,X
TJOSLZI,O,X
TJOSZIL,O,X
TJOSZLI,O,X
TJOZILS,O,X
TJOZISL,O,X
TJOZLIS,O,X
TJOZLSI,O,X
TJOZSIL,O,X
TJOZSLI,O,X
TSILJZO,O,O
TSILJOZ,O,O
TSILZJO,O,O
TSILZOJ,O,O
TSILOJZ,O,O
TSILOZJ,O,O
TSIJLZO,O,O
TSIJLOZ,O,O
TSIJZLO,O,O
TSIJZOL,O,O
TSIJOLZ,O,O
TSIJOZL,O,O
TSIZLJO,O,O
TSIZLOJ,O,O
TSIZJLO,O,O
TSIZJOL,O,O
TSIZOLJ,O,O
TSIZOJL,X,O
TSIOLJZ,O,O
TSIOLZJ,O,O
TSIOJLZ,X,O
TSIOJZL,X,O
TSIOZLJ,O,O
TSIOZJL,X,O
TSLIJZO,O,O
TSLIJOZ,O,O
TSLIZJO,O,O
TSLIZOJ,O,O
TSLIOJZ,O,O
TSLIOZJ,O,O
TSLJIZO,O,O
TSLJIOZ,O,O
TSLJZIO,O,O
TSLJZOI,O,O
TSLJOIZ,O,O
TSLJOZI,O,O
TSLZIJO,O,O
TSLZIOJ,O,O
TSLZJIO,O,O
TSLZJOI,O,O
TSLZOIJ,O,O
TSLZOJI,O,O
TSLOIJZ,O,O
TSLOIZJ,O,O
TSLOJIZ,O,O
TSLOJZI,O,O
TSLOZIJ,O,O
TSLOZJI,O,O
TSJILZO,O,O
TSJILOZ,O,O
TSJIZLO,O,O
TSJIZOL,O,O
TSJIOLZ,O,O
TSJIOZL,O,O
TSJLIZO,O,O
TSJLIOZ,O,O
TSJLZIO,O,O
TSJLZOI,O,O
TSJLOIZ,O,O
TSJLOZI,O,O
TSJZILO,O,O
TSJZIOL,O,O
TSJZLIO,O,O
TSJZLOI,O,O
TSJZOIL,O,O
TSJZOLI,O,O
TSJOILZ,O,O
TSJOIZL,O,O
TSJOLIZ,O,O
TSJOLZI,O,O
TSJOZIL,O,O
TSJOZLI,O,O
TSZILJO,O,O
TSZILOJ,O,O
TSZIJLO,O,O
TSZIJOL,O,O
TSZIOLJ,O,O
TSZIOJL,X,O
TSZLIJO,O,O
TSZLIOJ,O,O
TSZLJIO,O,O
TSZLJOI,O,O
TSZLOIJ,O,O
TSZLOJI,O,O
TSZJILO,O,O
TSZJIOL,O,O
TSZJLIO,O,O
TSZJLOI,O,O
TSZJOIL,O,O
TSZJOLI,O,O
TSZOILJ,O,O
TSZOIJL,X,O
TSZOLIJ,O,O
TSZOLJI,O,O
TSZOJIL,X,O
TSZOJLI,X,O
TSOILJZ,O,O
TSOILZJ,O,O
TSOIJLZ,X,O
TSOIJZL,X,O
TSOIZLJ,O,O
TSOIZJL,X,O
TSOLIJZ,O,O
TSOLIZJ,O,O
TSOLJIZ,O,O
TSOLJZI,O,O
TSOLZIJ,O,O
TSOLZJI,O,O
TSOJILZ,X,O
TSOJIZL,X,O
TSOJLIZ,X,O
TSOJLZI,X,O
TSOJZIL,X,O
TSOJZLI,X,O
TSOZILJ,O,O
TSOZIJL,X,O
TSOZLIJ,O,O
TSOZLJI,O,O
TSOZJIL,X,O
TSOZJLI,X,O
TZILJSO,O,O
TZILJOS,O,X
TZILSJO,O,O
TZILSOJ,O,O
TZILOJS,O,O
TZILOSJ,O,O
TZIJLSO,O,O
TZIJLOS,O,X
TZIJSLO,O,O
TZIJSOL,O,O
TZIJOLS,O,X
TZIJOSL,O,X
TZISLJO,O,O
TZISLOJ,O,O
TZISJLO,O,O
TZISJOL,O,O
TZISOLJ,O,O
TZISOJL,X,O
TZIOLJS,O,O
TZIOLSJ,O,O
TZIOJLS,O,O
TZIOJSL,O,O
TZIOSLJ,O,O
TZIOSJL,X,O
TZLIJSO,O,O
TZLIJOS,O,X
TZLISJO,O,O
TZLISOJ,O,O
TZLIOJS,O,O
TZLIOSJ,O,O
TZLJISO,O,O
TZLJIOS,O,X
TZLJSIO,O,O
TZLJSOI,O,O
TZLJOIS,O,X
TZLJOSI,O,X
TZLSIJO,O,O
TZLSIOJ,O,O
TZLSJIO,O,O
TZLSJOI,O,O
TZLSOIJ,O,O
TZLSOJI,O,O
TZLOIJS,O,O
TZLOISJ,O,O
TZLOJIS,O,O
TZLOJSI,O,O
TZLOSIJ,O,O
TZLOSJI,O,O
TZJILSO,O,O
TZJILOS,O,X
TZJISLO,O,O
TZJISOL,O,O
TZJIOLS,O,X
TZJIOSL,O,X
TZJLISO,O,O
TZJLIOS,O,X
TZJLSIO,O,O
TZJLSOI,O,O
TZJLOIS,O,X
TZJLOSI,O,X
TZJSILO,O,O
TZJSIOL,O,O
TZJSLIO,O,O
TZJSLOI,O,O
TZJSOIL,O,O
TZJSOLI,O,O
TZJOILS,O,X
TZJOISL,O,X
TZJOLIS,O,X
TZJOLSI,O,X
TZJOSIL,O,X
TZJOSLI,O,X
TZSILJO,O,O
TZSILOJ,O,O
TZSIJLO,O,O
TZSIJOL,O,O
TZSIOLJ,O,O
TZSIOJL,X,O
TZSLIJO,O,O
TZSLIOJ,O,O
TZSLJIO,O,O
TZSLJOI,O,O
TZSLOIJ,O,O
TZSLOJI,O,O
TZSJILO,O,O
TZSJIOL,O,O
TZSJLIO,O,O
TZSJLOI,O,O
TZSJOIL,O,O
TZSJOLI,O,O
TZSOILJ,O,O
TZSOIJL,X,O
TZSOLIJ,O,O
TZSOLJI,O,O
TZSOJIL,X,O
TZSOJLI,X,O
TZOILJS,O,O
TZOILSJ,O,O
TZOIJLS,O,O
TZOIJSL,O,O
TZOISLJ,O,O
TZOISJL,X,O
TZOLIJS,O,O
TZOLISJ,O,O
TZOLJIS,O,O
TZOLJSI,O,O
TZOLSIJ,O,O
TZOLSJI,O,O
TZOJILS,O,O
TZOJISL,O,O
TZOJLIS,O,O
TZOJLSI,O,O
TZOJSIL,O,O
TZOJSLI,O,O
TZOSILJ,O,O
TZOSIJL,X,O
TZOSLIJ,O,O
TZOSLJI,O,O
TZOSJIL,X,O
TZOSJLI,X,O
TOILJSZ,X,O
TOILJZS,X,O
TOILSJZ,X,O
TOILSZJ,X,O
TOILZJS,X,O
TOILZSJ,X,O
TOIJLSZ,X,O
TOIJLZS,X,O
TOIJSLZ,X,O
TOIJSZL,X,O
TOIJZLS,X,O
TOIJZSL,X,O
TOISLJZ,X,O
TOISLZJ,X,O
TOISJLZ,X,O
TOISJZL,X,O
TOISZLJ,X,O
TOISZJL,X,O
TOIZLJS,X,O
TOIZLSJ,X,O
TOIZJLS,X,O
TOIZJSL,X,O
TOIZSLJ,X,O
TOIZSJL,X,O
TOLIJSZ,X,O
TOLIJZS,X,O
TOLISJZ,X,O
TOLISZJ,X,O
TOLIZJS,X,O
TOLIZSJ,X,O
TOLJISZ,X,O
TOLJIZS,X,O
TOLJSIZ,X,O
TOLJSZI,X,O
TOLJZIS,X,O
TOLJZSI,X,O
TOLSIJZ,X,O
TOLSIZJ,X,O
TOLSJIZ,X,O
TOLSJZI,X,O
TOLSZIJ,X,O
TOLSZJI,X,O
TOLZIJS,X,O
TOLZISJ,X,O
TOLZJIS,X,O
TOLZJSI,X,O
TOLZSIJ,X,O
TOLZSJI,X,O
TOJILSZ,X,O
TOJILZS,X,O
TOJISLZ,X,O
TOJISZL,X,O
TOJIZLS,X,O
TOJIZSL,X,O
TOJLISZ,X,O
TOJLIZS,X,O
TOJLSIZ,X,O
TOJLSZI,X,O
TOJLZIS,X,O
TOJLZSI,X,O
TOJSILZ,X,O
TOJSIZL,X,O
TOJSLIZ,X,O
TOJSLZI,X,O
TOJSZIL,X,O
TOJSZLI,X,O
TOJZILS,X,O
TOJZISL,X,O
TOJZLIS,X,O
TOJZLSI,X,O
TOJZSIL,X,O
TOJZSLI,X,O
TOSILJZ,X,O
TOSILZJ,X,O
TOSIJLZ,X,O
TOSIJZL,X,O
TOSIZLJ,X,O
TOSIZJL,X,O
TOSLIJZ,X,O
TOSLIZJ,X,O
TOSLJIZ,X,O
TOSLJZI,X,O
TOSLZIJ,X,O
TOSLZJI,X,O
TOSJILZ,X,O
TOSJIZL,X,O
TOSJLIZ,X,O
TOSJLZI,X,O
TOSJZIL,X,O
TOSJZLI,X,O
TOSZILJ,X,O
TOSZIJL,X,O
TOSZLIJ,X,O
TOSZLJI,X,O
TOSZJIL,X,O
TOSZJLI,X,O
TOZILJS,X,O
TOZILSJ,X,O
TOZIJLS,X,O
TOZIJSL,X,O
TOZISLJ,X,O
TOZISJL,X,O
TOZLIJS,X,O
TOZLISJ,X,O
TOZLJIS,X,O
TOZLJSI,X,O
TOZLSIJ,X,O
TOZLSJI,X,O
TOZJILS,X,O
TOZJISL,X,O
TOZJLIS,X,O
TOZJLSI,X,O
TOZJSIL,X,O
TOZJSLI,X,O
TOZSILJ,X,O
TOZSIJL,X,O
TOZSLIJ,X,O
TOZSLJI,X,O
TOZSJIL,X,O
TOZSJLI,X,O
ITLJSZO,O,O
ITLJSOZ,O,O
ITLJZSO,O,O
ITLJZOS,O,X
ITLJOSZ,O,X
ITLJOZS,O,X
ITLSJZO,O,O
ITLSJOZ,O,O
ITLSZJO,O,O
ITLSZOJ,O,O
ITLSOJZ,O,O
ITLSOZJ,O,O
ITLZJSO,O,O
ITLZJOS,O,X
ITLZSJO,O,O
ITLZSOJ,O,O
ITLZOJS,O,O
ITLZOSJ,O,O
ITLOJSZ,O,O
ITLOJZS,O,O
ITLOSJZ,O,O
ITLOSZJ,O,O
ITLOZJS,O,O
ITLOZSJ,O,O
ITJLSZO,O,O
ITJLSOZ,O,O
ITJLZSO,O,O
ITJLZOS,O,X
ITJLOSZ,O,X
ITJLOZS,O,X
ITJSLZO,O,O
ITJSLOZ,O,O
ITJSZLO,O,O
ITJSZOL,O,O
ITJSOLZ,O,O
ITJSOZL,O,O
ITJZLSO,O,O
ITJZLOS,O,X
ITJZSLO,O,O
ITJZSOL,O,O
ITJZOLS,O,X
ITJZOSL,O,X
ITJOLSZ,O,X
ITJOLZS,O,X
ITJOSLZ,O,X
ITJOSZL,O,X
ITJOZLS,O,X
ITJOZSL,O,X
ITSLJZO,O,O
