sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB
ITLOZSJ,O,O,O,X,X
ITJLSZO,O,O,O,O,O
ITJLSOZ,O,O,O,O,O
ITJLZSO,O,X,O,X,O
ITJLZOS,O,X,O,X,O
ITJLOSZ,O,O,X,X,O
ITJLOZS,O,X,X,X,O
ITJSLZO,O,O,O,O,O
ITJSLOZ,O,O,O,O,O
ITJSZLO,O,O,O,O,O
ITJSZOL,O,O,O,O,O
ITJSOLZ,O,O,O,O,O
ITJSOZL,O,O,O,O,O
ITJZLSO,O,X,O,X,O
ITJZLOS,O,X,O,X,O
ITJZSLO,O,X,O,O,O
ITJZSOL,O,X,O,O,O
ITJZOLS,O,X,O,X,O
ITJZOSL,O,X,O,X,O
ITJOLSZ,O,O,X,X,O
ITJOLZS,O,X,X,X,O
ITJOSLZ,O,O,O,X,O
ITJOSZL,O,O,O,X,O
ITJOZLS,O,X,X,X,O
ITJOZSL,O,X,O,X,O
ITSLJZO,O,O,O,O,O
ITSLJOZ,O,O,O,O,O
ITSLZJO,O,O,O,O,X
ITSLZOJ,O,O,O,O,X
ITSLOJZ,O,O,O,O,X
ITSLOZJ,O,O,O,X,X
ITSJLZO,O,O,O,O,O
ITSJLOZ,O,O,O,O,O
ITSJZLO,O,O,O,O,O
ITSJZOL,O,O,O,O,O
ITSJOLZ,O,O,O,O,O
ITSJOZL,O,O,O,O,O
ITSZLJO,O,O,O,O,X
ITSZLOJ,O,O,O,O,X
ITSZJLO,O,O,O,O,X
ITSZJOL,O,O,O,O,X
ITSZOLJ,O,O,O,X,X
ITSZOJL,O,O,O,O,X
ITSOLJZ,O,O,O,O,X
ITSOLZJ,O,O,O,X,X
ITSOJLZ,O,O,O,O,X
ITSOJZL,O,O,O,O,X
ITSOZLJ,O,O,O,X,X
ITSOZJL,O,O,O,X,X
ITZLJSO,O,X,O,O,O
ITZLJOS,O,X,O,X,O
ITZLSJO,O,O,O,O,X
ITZLSOJ,O,O,O,O,X
ITZLOJS,O,X,O,X,X
ITZLOSJ,O,O,O,O,X
ITZJLSO,O,X,O,X,O
ITZJLOS,O,X,O,X,O
ITZJSLO,O,X,O,O,O
ITZJSOL,O,X,O,O,O
ITZJOLS,O,X,O,X,O
ITZJOSL,O,X,O,X,O
ITZSLJO,O,O,O,O,X
ITZSLOJ,O,O,O,O,X
ITZSJLO,O,O,O,O,X
ITZSJOL,O,O,O,O,X
ITZSOLJ,O,O,O,X,X
ITZSOJL,O,O,O,O,X
ITZOLJS,O,X,O,X,X
ITZOLSJ,O,O,O,X,X
ITZOJLS,O,X,O,X,X
ITZOJSL,O,X,O,X,X
ITZOSLJ,O,O,O,X,X
ITZOSJL,O,O,O,O,X
ITOLJSZ,O,O,X,X,O
ITOLJZS,O,X,X,X,O
ITOLSJZ,O,O,O,O,X
ITOLSZJ,O,O,O,X,X
ITOLZJS,O,X,O,X,X
ITOLZSJ,O,O,O,X,X
ITOJLSZ,O,O,X,X,O
ITOJLZS,O,X,X,X,O
ITOJSLZ,O,O,O,X,O
ITOJSZL,O,O,O,X,O
ITOJZLS,O,X,X,X,O
ITOJZSL,O,X,O,X,O
ITOSLJZ,O,O,O,O,X
ITOSLZJ,O,O,O,X,X
ITOSJLZ,O,O,O,O,X
ITOSJZL,O,O,O,O,X
ITOSZLJ,O,O,O,X,X
ITOSZJL,O,O,O,X,X
ITOZLJS,O,X,O,X,X
ITOZLSJ,O,O,O,X,X
ITOZJLS,O,X,O,X,X
ITOZJSL,O,X,O,X,X
ITOZSLJ,O,O,O,X,X
ITOZSJL,O,O,O,O,X
ILTJSZO,O,O,O,O,O
ILTJSOZ,O,O,O,O,O
ILTJZSO,O,X,O,X,O
ILTJZOS,O,X,O,X,O
ILTJOSZ,O,O,X,X,O
ILTJOZS,O,X,X,X,O
ILTSJZO,O,O,O,O,O
ILTSJOZ,O,O,O,O,O
ILTSZJO,O,O,O,O,X
ILTSZOJ,O,O,O,O,X
ILTSOJZ,O,O,O,O,X
ILTSOZJ,O,O,O,X,X
ILTZJSO,O,X,O,O,O
ILTZJOS,O,X,O,X,O
ILTZSJO,O,O,O,O,X
ILTZSOJ,O,O,O,O,X
ILTZOJS,O,X,O,X,X
ILTZOSJ,O,O,O,O,X
ILTOJSZ,O,O,X,X,O
ILTOJZS,O,X,X,X,O
ILTOSJZ,O,O,O,O,X
ILTOSZJ,O,O,O,X,X
ILTOZJS,O,X,O,X,X
ILTOZSJ,O,O,O,X,X
ILJTSZO,O,O,O,X,O
ILJTSOZ,O,O,O,X,O
ILJTZSO,O,X,O,X,O
ILJTZOS,O,X,O,X,O
ILJTOSZ,O,O,X,X,O
ILJTOZS,O,X,X,X,O
ILJSTZO,O,X,O,X,O
ILJSTOZ,O,X,O,X,O
ILJSZTO,X,X,O,X,O
ILJSZOT,X,X,O,X,O
ILJSOTZ,O,X,X,X,O
ILJSOZT,X,X,X,X,O
ILJZTSO,O,X,O,X,O
ILJZTOS,O,X,O,X,O
ILJZSTO,O,X,O,X,O
ILJZSOT,X,X,O,X,O
ILJZOTS,O,X,O,X,O
ILJZOST,X,X,O,X,O
ILJOTSZ,O,X,X,X,O
ILJOTZS,O,X,X,X,O
ILJOSTZ,O,X,X,X,O
ILJOSZT,O,X,X,X,O
ILJOZTS,O,X,X,X,O
ILJOZST,O,X,X,X,O
ILSTJZO,O,O,O,O,O
ILSTJOZ,O,O,O,O,O
ILSTZJO,O,O,O,O,X
ILSTZOJ,O,O,O,O,X
ILSTOJZ,O,O,O,O,X
ILSTOZJ,O,O,O,X,X
ILSJTZO,O,X,O,O,O
ILSJTOZ,O,X,O,O,O
ILSJZTO,X,X,O,O,O
ILSJZOT,X,X,O,X,O
ILSJOTZ,O,X,X,O,O
ILSJOZT,X,X,X,O,O
ILSZTJO,X,O,O,O,X
ILSZTOJ,X,O,O,O,X
ILSZJTO,X,O,O,O,X
ILSZJOT,X,O,O,X,X
ILSZOTJ,X,O,O,X,X
ILSZOJT,X,O,O,X,X
ILSOTJZ,O,O,O,O,X
ILSOTZJ,O,O,O,O,X
ILSOJTZ,O,X,X,O,X
ILSOJZT,X,X,X,O,X
ILSOZTJ,X,O,O,O,X
ILSOZJT,X,O,O,O,X
ILZTJSO,O,X,O,O,O
ILZTJOS,O,X,O,X,O
ILZTSJO,O,O,O,O,X
ILZTSOJ,O,O,O,O,X
ILZTOJS,O,X,O,X,X
ILZTOSJ,O,O,O,O,X
ILZJTSO,O,X,O,X,O
ILZJTOS,O,X,O,X,O
ILZJSTO,O,X,O,X,O
ILZJSOT,X,X,O,X,O
ILZJOTS,O,X,O,X,O
ILZJOST,X,X,O,X,O
ILZSTJO,O,X,O,O,X
ILZSTOJ,O,X,O,O,X
ILZSJTO,O,X,O,O,X
ILZSJOT,X,X,O,X,X
ILZSOTJ,X,X,O,X,X
ILZSOJT,X,X,O,X,X
ILZOTJS,O,X,O,X,X
ILZOTSJ,O,X,O,X,X
ILZOJTS,O,X,O,X,X
ILZOJST,O,X,O,X,X
ILZOSTJ,O,X,O,X,X
ILZOSJT,O,X,O,X,X
ILOTJSZ,O,O,X,O,O
ILOTJZS,O,X,X,X,O
ILOTSJZ,O,O,O,O,X
ILOTSZJ,O,O,O,O,X
ILOTZJS,O,X,O,O,X
ILOTZSJ,O,O,O,O,X
ILOJTSZ,O,X,X,X,O
ILOJTZS,O,X,X,X,O
ILOJSTZ,O,X,X,X,O
ILOJSZT,O,X,X,X,O
ILOJZTS,O,X,X,X,O
ILOJZST,O,X,X,X,O
ILOSTJZ,O,X,O,O,X
ILOSTZJ,O,X,O,O,X
ILOSJTZ,O,X,X,O,X
ILOSJZT,O,X,X,O,X
ILOSZTJ,O,X,O,O,X
ILOSZJT,O,X,O,O,X
ILOZTJS,O,X,O,O,X
ILOZTSJ,O,X,O,O,X
ILOZJTS,O,X,O,X,X
ILOZJST,O,X,O,X,X
ILOZSTJ,O,X,O,O,X
ILOZSJT,O,X,O,O,X
IJTLSZO,O,O,O,X,O
IJTLSOZ,O,O,O,X,O
IJTLZSO,O,X,O,X,O
IJTLZOS,O,X,O,X,O
IJTLOSZ,O,O,X,X,O
IJTLOZS,O,X,X,X,O
IJTSLZO,O,O,O,X,O
IJTSLOZ,O,O,O,X,O
IJTSZLO,O,O,O,X,O
IJTSZOL,O,O,O,X,O
IJTSOLZ,O,O,O,X,O
IJTSOZL,O,O,O,X,O
IJTZLSO,O,X,O,X,O
IJTZLOS,O,X,O,X,O
IJTZSLO,O,X,O,X,O
IJTZSOL,O,X,O,X,O
IJTZOLS,O,X,O,X,O
IJTZOSL,O,X,O,X,O
IJTOLSZ,O,O,X,X,O
IJTOLZS,O,X,X,X,O
IJTOSLZ,O,O,O,X,O
IJTOSZL,O,O,O,X,O
IJTOZLS,O,X,X,X,O
IJTOZSL,O,X,O,X,O
IJLTSZO,O,O,O,X,O
IJLTSOZ,O,O,O,X,O
IJLTZSO,O,X,O,X,O
IJLTZOS,O,X,O,X,O
IJLTOSZ,O,O,X,X,O
IJLTOZS,O,X,X,X,O
IJLSTZO,O,X,O,X,O
IJLSTOZ,O,X,O,X,O
IJLSZTO,X,X,O,X,O
IJLSZOT,X,X,O,X,O
IJLSOTZ,O,X,X,X,O
IJLSOZT,X,X,X,X,O
IJLZTSO,O,X,O,X,O
IJLZTOS,O,X,O,X,O
IJLZSTO,O,X,O,X,O
IJLZSOT,X,X,O,X,O
IJLZOTS,O,X,O,X,O
IJLZOST,X,X,O,X,O
IJLOTSZ,O,X,X,X,O
IJLOTZS,O,X,X,X,O
IJLOSTZ,O,X,X,X,O
IJLOSZT,O,X,X,X,O
IJLOZTS,O,X,X,X,O
IJLOZST,O,X,X,X,O
IJSTLZO,O,O,O,X,O
IJSTLOZ,O,O,O,X,O
IJSTZLO,O,O,O,X,O
IJSTZOL,O,O,O,X,O
IJSTOLZ,O,O,O,X,O
IJSTOZL,O,O,O,X,O
IJSLTZO,O,X,O,X,O
IJSLTOZ,O,X,O,X,O
IJSLZTO,X,X,O,X,O
IJSLZOT,X,X,O,X,O
IJSLOTZ,O,X,X,X,O
IJSLOZT,X,X,X,X,O
IJSZTLO,O,O,O,X,O
IJSZTOL,O,O,O,X,O
IJSZLTO,O,O,O,X,O
IJSZLOT,X,O,O,X,O
IJSZOTL,O,O,X,X,O
IJSZOLT,X,O,X,X,O
IJSOTLZ,O,O,X,X,O
IJSOTZL,O,O,X,X,O
IJSOLTZ,O,X,X,X,O
IJSOLZT,O,X,X,X,O
IJSOZTL,O,O,X,X,O
IJSOZLT,O,O,X,X,O
IJZTLSO,O,X,O,X,O
IJZTLOS,O,X,O,X,O
IJZTSLO,O,X,O,X,O
IJZTSOL,O,X,O,X,O
IJZTOLS,O,X,O,X,O
IJZTOSL,O,X,O,X,O
IJZLTSO,O,X,O,X,O
IJZLTOS,O,X,O,X,O
IJZLSTO,O,X,O,X,O
IJZLSOT,X,X,O,X,O
IJZLOTS,O,X,O,X,O
IJZLOST,X,X,O,X,O
IJZSTLO,O,X,O,X,O
IJZSTOL,O,X,O,X,O
IJZSLTO,O,X,O,X,O
IJZSLOT,X,X,O,X,O
IJZSOTL,O,X,X,X,O
IJZSOLT,X,X,X,X,O
IJZOTLS,O,X,O,X,O
IJZOTSL,O,X,X,X,O
IJZOLTS,O,X,O,X,O
IJZOLST,O,X,O,X,O
IJZOSTL,O,X,X,X,O
IJZOSLT,O,X,X,X,O
IJOTLSZ,O,X,X,X,O
IJOTLZS,O,X,X,X,O
IJOTSLZ,O,X,X,X,O
IJOTSZL,O,X,X,X,O
IJOTZLS,O,X,X,X,O
IJOTZSL,O,X,X,X,O
IJOLTSZ,O,X,X,X,O
IJOLTZS,O,X,X,X,O
IJOLSTZ,O,X,X,X,O
IJOLSZT,O,X,X,X,O
IJOLZTS,O,X,X,X,O
IJOLZST,O,X,X,X,O
IJOSTLZ,O,X,X,X,O
IJOSTZL,O,X,X,X,O
IJOSLTZ,O,X,X,X,O
IJOSLZT,O,X,X,X,O
IJOSZTL,O,X,X,X,O
IJOSZLT,O,X,X,X,O
IJOZTLS,O,X,X,X,O
IJOZTSL,O,X,X,X,O
IJOZLTS,O,X,X,X,O
IJOZLST,O,X,X,X,O
IJOZSTL,O,X,X,X,O
IJOZSLT,O,X,X,X,O
ISTLJZO,O,O,O,O,O
ISTLJOZ,O,O,O,O,O
ISTLZJO,O,O,O,O,X
ISTLZOJ,O,O,O,O,X
ISTLOJZ,O,O,O,O,X
ISTLOZJ,O,O,O,X,X
ISTJLZO,O,O,O,O,O
ISTJLOZ,O,O,O,O,O
ISTJZLO,O,O,O,O,O
ISTJZOL,O,O,O,O,O
ISTJOLZ,O,O,O,O,O
ISTJOZL,O,O,O,O,O
ISTZLJO,O,O,O,O,X
ISTZLOJ,O,O,O,O,X
ISTZJLO,O,O,O,O,X
ISTZJOL,O,O,O,O,X
ISTZOLJ,O,O,O,X,X
ISTZOJL,O,O,O,O,X
ISTOLJZ,O,O,O,O,X
ISTOLZJ,O,O,O,X,X
ISTOJLZ,O,O,O,O,X
ISTOJZL,O,O,O,O,X
ISTOZLJ,O,O,O,X,X
ISTOZJL,O,O,O,X,X
ISLTJZO,O,O,O,O,O
ISLTJOZ,O,O,O,O,O
ISLTZJO,O,O,O,O,X
ISLTZOJ,O,O,O,O,X
ISLTOJZ,O,O,O,O,X
ISLTOZJ,O,O,O,X,X
ISLJTZO,O,X,O,O,O
ISLJTOZ,O,X,O,O,O
ISLJZTO,X,X,O,O,O
ISLJZOT,X,X,O,X,O
ISLJOTZ,O,X,X,O,O
ISLJOZT,X,X,X,O,O
ISLZTJO,X,O,O,O,X
ISLZTOJ,X,O,O,O,X
ISLZJTO,X,O,O,O,X
ISLZJOT,X,O,O,X,X
ISLZOTJ,X,O,O,X,X
ISLZOJT,X,O,O,X,X
ISLOTJZ,O,O,O,O,X
ISLOTZJ,O,O,O,O,X
ISLOJTZ,O,X,X,O,X
ISLOJZT,X,X,X,O,X
ISLOZTJ,X,O,O,O,X
ISLOZJT,X,O,O,O,X
ISJTLZO,O,O,O,O,O
ISJTLOZ,O,O,O,O,O
ISJTZLO,O,O,O,O,O
ISJTZOL,O,O,O,O,O
ISJTOLZ,O,O,O,O,O
ISJTOZL,O,O,O,O,O
ISJLTZO,O,X,O,O,O
ISJLTOZ,O,X,O,O,O
ISJLZTO,X,X,O,O,O
ISJLZOT,X,X,O,X,O
ISJLOTZ,O,X,X,O,O
ISJLOZT,X,X,X,O,O
ISJZTLO,O,O,O,O,O
ISJZTOL,O,O,O,O,O
ISJZLTO,O,O,O,X,O
ISJZLOT,X,O,O,X,O
ISJZOTL,O,O,X,X,O
ISJZOLT,X,O,X,X,O
ISJOTLZ,O,O,X,O,O
ISJOTZL,O,O,X,O,O
ISJOLTZ,O,X,X,O,O
ISJOLZT,O,X,X,O,O
ISJOZTL,O,O,X,O,O
ISJOZLT,O,O,X,X,O
ISZTLJO,O,O,O,O,X
ISZTLOJ,O,O,O,O,X
ISZTJLO,O,O,O,O,X
ISZTJOL,O,O,O,O,X
ISZTOLJ,O,O,O,X,X
ISZTOJL,O,O,O,O,X
ISZLTJO,O,O,O,O,X
ISZLTOJ,O,O,O,O,X
ISZLJTO,O,O,O,O,X
ISZLJOT,X,O,O,X,X
ISZLOTJ,X,O,O,X,X
ISZLOJT,X,O,O,X,X
ISZJTLO,O,O,O,O,X
ISZJTOL,O,O,O,O,X
ISZJLTO,O,O,O,X,X
ISZJLOT,X,O,O,X,X
ISZJOTL,O,O,X,X,X
ISZJOLT,X,O,X,X,X
ISZOTLJ,O,O,O,X,X
ISZOTJL,O,O,O,X,X
ISZOLTJ,O,O,O,X,X
ISZOLJT,O,O,O,X,X
ISZOJTL,O,O,X,X,X
ISZOJLT,O,O,X,X,X
ISOTLJZ,O,O,O,O,X
ISOTLZJ,O,O,O,O,X
ISOTJLZ,O,O,O,O,X
ISOTJZL,O,O,O,O,X
ISOTZLJ,O,O,O,O,X
ISOTZJL,O,O,O,O,X
ISOLTJZ,O,O,O,O,X
ISOLTZJ,O,O,O,O,X
ISOLJTZ,O,X,X,O,X
ISOLJZT,O,X,X,O,X
ISOLZTJ,O,O,O,O,X
ISOLZJT,O,O,O,O,X
ISOJTLZ,O,O,X,O,X
ISOJTZL,O,O,X,O,X
ISOJLTZ,O,X,X,O,X
ISOJLZT,O,X,X,O,X
ISOJZTL,O,O,X,O,X
ISOJZLT,O,O,X,X,X
ISOZTLJ,O,O,O,O,X
ISOZTJL,O,O,O,O,X
ISOZLTJ,O,O,O,O,X
ISOZLJT,O,O,O,O,X
ISOZJTL,O,O,X,O,X
ISOZJLT,O,O,X,X,X
IZTLJSO,O,X,O,O,O
IZTLJOS,O,X,O,X,O
IZTLSJO,O,O,O,O,X
IZTLSOJ,O,O,O,O,X
IZTLOJS,O,X,O,X,X
IZTLOSJ,O,O,O,O,X
IZTJLSO,O,X,O,X,O
IZTJLOS,O,X,O,X,O
IZTJSLO,O,X,O,O,O
IZTJSOL,O,X,O,O,O
IZTJOLS,O,X,O,X,O
IZTJOSL,O,X,O,X,O
IZTSLJO,O,O,O,O,X
IZTSLOJ,O,O,O,O,X
IZTSJLO,O,O,O,O,X
IZTSJOL,O,O,O,O,X
IZTSOLJ,O,O,O,X,X
IZTSOJL,O,O,O,O,X
IZTOLJS,O,X,O,X,X
IZTOLSJ,O,O,O,X,X
IZTOJLS,O,X,O,X,X
IZTOJSL,O,X,O,X,X
IZTOSLJ,O,O,O,X,X
IZTOSJL,O,O,O,O,X
IZLTJSO,O,X,O,O,O
IZLTJOS,O,X,O,X,O
IZLTSJO,O,O,O,O,X
IZLTSOJ,O,O,O,O,X
IZLTOJS,O,X,O,X,X
IZLTOSJ,O,O,O,O,X
IZLJTSO,O,X,O,X,O
IZLJTOS,O,X,O,X,O
IZLJSTO,O,X,O,X,O
IZLJSOT,X,X,O,X,O
IZLJOTS,O,X,O,X,O
IZLJOST,X,X,O,X,O
IZLSTJO,O,X,O,O,X
IZLSTOJ,O,X,O,O,X
IZLSJTO,O,X,O,O,X
IZLSJOT,X,X,O,X,X
IZLSOTJ,X,X,O,X,X
IZLSOJT,X,X,O,X,X
IZLOTJS,O,X,O,X,X
IZLOTSJ,O,X,O,X,X
IZLOJTS,O,X,O,X,X
IZLOJST,O,X,O,X,X
IZLOSTJ,O,X,O,X,X
IZLOSJT,O,X,O,X,X
IZJTLSO,O,X,O,X,O
IZJTLOS,O,X,O,X,O
IZJTSLO,O,X,O,X,O
IZJTSOL,O,X,O,X,O
IZJTOLS,O,X,O,X,O
IZJTOSL,O,X,O,X,O
IZJLTSO,O,X,O,X,O
IZJLTOS,O,X,O,X,O
IZJLSTO,O,X,O,X,O
IZJLSOT,X,X,O,X,O
IZJLOTS,O,X,O,X,O
IZJLOST,X,X,O,X,O
IZJSTLO,O,X,O,X,O
IZJSTOL,O,X,O,X,O
IZJSLTO,O,X,O,X,O
IZJSLOT,X,X,O,X,O
IZJSOTL,O,X,X,X,O
IZJSOLT,X,X,X,X,O
IZJOTLS,O,X,O,X,O
IZJOTSL,O,X,X,X,O
IZJOLTS,O,X,O,X,O
IZJOLST,O,X,O,X,O
IZJOSTL,O,X,X,X,O
IZJOSLT,O,X,X,X,O
IZSTLJO,O,O,O,O,X
IZSTLOJ,O,O,O,O,X
IZSTJLO,O,O,O,O,X
IZSTJOL,O,O,O,O,X
IZSTOLJ,O,O,O,X,X
IZSTOJL,O,O,O,O,X
IZSLTJO,O,O,O,O,X
IZSLTOJ,O,O,O,O,X
IZSLJTO,O,O,O,O,X
IZSLJOT,X,O,O,X,X
IZSLOTJ,X,O,O,X,X
IZSLOJT,X,O,O,X,X
IZSJTLO,O,O,O,O,X
IZSJTOL,O,O,O,O,X
IZSJLTO,O,O,O,X,X
IZSJLOT,X,O,O,X,X
IZSJOTL,O,O,X,X,X
IZSJOLT,X,O,X,X,X
IZSOTLJ,O,O,O,X,X
IZSOTJL,O,O,O,X,X
IZSOLTJ,O,O,O,X,X
IZSOLJT,O,O,O,X,X
IZSOJTL,O,O,X,X,X
IZSOJLT,O,O,X,X,X
IZOTLJS,O,X,O,X,X
IZOTLSJ,O,X,O,X,X
IZOTJLS,O,X,O,X,X
IZOTJSL,O,X,O,X,X
IZOTSLJ,O,X,O,X,X
IZOTSJL,O,X,O,X,X
IZOLTJS,O,X,O,X,X
IZOLTSJ,O,X,O,X,X
IZOLJTS,O,X,O,X,X
IZOLJST,O,X,O,X,X
IZOLSTJ,O,X,O,X,X
IZOLSJT,O,X,O,X,X
IZOJTLS,O,X,O,X,X
IZOJTSL,O,X,X,X,X
IZOJLTS,O,X,O,X,X
IZOJLST,O,X,O,X,X
IZOJSTL,O,X,X,X,X
IZOJSLT,O,X,X,X,X
IZOSTLJ,O,X,O,X,X
IZOSTJL,O,X,O,X,X
IZOSLTJ,O,X,O,X,X
IZOSLJT,O,X,O,X,X
IZOSJTL,O,X,X,X,X
IZOSJLT,O,X,X,X,X
IOTLJSZ,O,O,X,O,O
IOTLJZS,O,X,X,X,O
IOTLSJZ,O,O,O,O,X
IOTLSZJ,O,O,O,O,X
IOTLZJS,O,X,O,O,X
IOTLZSJ,O,O,O,O,X
IOTJLSZ,O,O,X,O,O
IOTJLZS,O,X,X,X,O
IOTJSLZ,O,O,O,O,O
IOTJSZL,O,O,O,O,O
IOTJZLS,O,X,X,X,O
IOTJZSL,O,X,O,O,O
IOTSLJZ,O,O,O,O,X
IOTSLZJ,O,O,O,O,X
IOTSJLZ,O,O,O,O,X
IOTSJZL,O,O,O,O,X
IOTSZLJ,O,O,O,O,X
IOTSZJL,O,O,O,O,X
IOTZLJS,O,X,O,O,X
IOTZLSJ,O,O,O,O,X
IOTZJLS,O,X,O,X,X
IOTZJSL,O,X,O,O,X
IOTZSLJ,O,O,O,O,X
IOTZSJL,O,O,O,O,X
IOLTJSZ,O,O,X,O,O
IOLTJZS,O,X,X,X,O
IOLTSJZ,O,O,O,O,X
IOLTSZJ,O,O,O,O,X
IOLTZJS,O,X,O,O,X
IOLTZSJ,O,O,O,O,X
IOLJTSZ,O,X,X,X,O
IOLJTZS,O,X,X,X,O
IOLJSTZ,O,X,X,X,O
IOLJSZT,O,X,X,X,O
IOLJZTS,O,X,X,X,O
IOLJZST,O,X,X,X,O
IOLSTJZ,O,X,O,O,X
IOLSTZJ,O,X,O,O,X
IOLSJTZ,O,X,X,O,X
IOLSJZT,O,X,X,O,X
IOLSZTJ,O,X,O,O,X
IOLSZJT,O,X,O,O,X
IOLZTJS,O,X,O,O,X
IOLZTSJ,O,X,O,O,X
IOLZJTS,O,X,O,X,X
IOLZJST,O,X,O,X,X
IOLZSTJ,O,X,O,O,X
IOLZSJT,O,X,O,O,X
IOJTLSZ,O,X,X,X,O
IOJTLZS,O,X,X,X,O
IOJTSLZ,O,X,X,X,O
IOJTSZL,O,X,X,X,O
IOJTZLS,O,X,X,X,O
IOJTZSL,O,X,X,X,O
IOJLTSZ,O,X,X,X,O
IOJLTZS,O,X,X,X,O
IOJLSTZ,O,X,X,X,O
IOJLSZT,O,X,X,X,O
IOJLZTS,O,X,X,X,O
IOJLZST,O,X,X,X,O
IOJSTLZ,O,X,X,X,O
IOJSTZL,O,X,X,X,O
IOJSLTZ,O,X,X,X,O
IOJSLZT,O,X,X,X,O
IOJSZTL,O,X,X,X,O
IOJSZLT,O,X,X,X,O
IOJZTLS,O,X,X,X,O
IOJZTSL,O,X,X,X,O
IOJZLTS,O,X,X,X,O
IOJZLST,O,X,X,X,O
IOJZSTL,O,X,X,X,O
IOJZSLT,O,X,X,X,O
IOSTLJZ,O,O,O,O,X
IOSTLZJ,O,O,O,O,X
IOSTJLZ,O,O,O,O,X
IOSTJZL,O,O,O,O,X
IOSTZLJ,O,O,O,O,X
IOSTZJL,O,O,O,O,X
IOSLTJZ,O,O,O,O,X
IOSLTZJ,O,O,O,O,X
IOSLJTZ,O,X,X,O,X
IOSLJZT,O,X,X,O,X
IOSLZTJ,O,O,O,O,X
IOSLZJT,O,O,O,O,X
IOSJTLZ,O,O,X,O,X
IOSJTZL,O,O,X,O,X
IOSJLTZ,O,X,X,O,X
IOSJLZT,O,X,X,O,X
IOSJZTL,O,O,X,O,X
IOSJZLT,O,O,X,X,X
IOSZTLJ,O,O,O,O,X
IOSZTJL,O,O,O,O,X
IOSZLTJ,O,O,O,O,X
IOSZLJT,O,O,O,O,X
IOSZJTL,O,O,X,O,X
IOSZJLT,O,O,X,X,X
IOZTLJS,O,X,O,O,X
IOZTLSJ,O,X,O,O,X
IOZTJLS,O,X,O,X,X
IOZTJSL,O,X,O,O,X
IOZTSLJ,O,X,O,O,X
IOZTSJL,O,X,O,O,X
IOZLTJS,O,X,O,O,X
IOZLTSJ,O,X,O,O,X
IOZLJTS,O,X,O,X,X
IOZLJST,O,X,O,X,X
IOZLSTJ,O,X,O,O,X
IOZLSJT,O,X,O,O,X
IOZJTLS,O,X,O,X,X
IOZJTSL,O,X,X,X,X
IOZJLTS,O,X,O,X,X
IOZJLST,O,X,O,X,X
IOZJSTL,O,X,X,X,X
IOZJSLT,O,X,X,X,X
IOZSTLJ,O,X,O,O,X
IOZSTJL,O,X,O,O,X
IOZSLTJ,O,X,O,O,X
IOZSLJT,O,X,O,O,X
IOZSJTL,O,X,X,O,X
IOZSJLT,O,X,X,X,X
LTIJSZO,O,O,O,O,O
LTIJSOZ,O,O,O,O,O
LTIJZSO,O,X,O,X,O
LTIJZOS,O,X,O,X,O
LTIJOSZ,O,O,X,X,O
LTIJOZS,O,X,X,X,O
LTISJZO,O,O,O,O,O
LTISJOZ,O,O,O,O,O
LTISZJO,O,O,O,O,X
LTISZOJ,O,O,O,O,X
LTISOJZ,O,O,O,O,X
LTISOZJ,O,O,O,X,X
LTIZJSO,O,X,O,O,O
LTIZJOS,O,X,O,X,O
LTIZSJO,O,O,O,O,X
LTIZSOJ,O,O,O,O,X
LTIZOJS,O,X,O,X,X
LTIZOSJ,O,O,O,O,X
LTIOJSZ,O,O,X,X,O
LTIOJZS,O,X,X,X,O
LTIOSJZ,O,O,O,O,X
LTIOSZJ,O,O,O,X,X
LTIOZJS,O,X,O,X,X
LTIOZSJ,O,O,O,X,X
LTJISZO,O,O,O,O,O
LTJISOZ,O,O,O,O,O
LTJIZSO,O,X,O,X,O
LTJIZOS,O,X,O,X,O
LTJIOSZ,O,O,X,X,O
LTJIOZS,O,X,X,X,O
LTJSIZO,O,O,O,O,O
LTJSIOZ,O,O,O,O,O
LTJSZIO,O,O,O,O,O
LTJSZOI,O,O,O,O,O
LTJSOIZ,O,O,O,O,O
LTJSOZI,O,O,O,O,O
LTJZISO,O,X,O,O,O
LTJZIOS,O,X,O,X,O
LTJZSIO,O,X,O,O,O
LTJZSOI,O,X,O,O,O
LTJZOIS,O,X,O,X,O
LTJZOSI,O,X,O,X,O
LTJOISZ,O,O,X,X,O
LTJOIZS,O,X,X,X,O
LTJOSIZ,O,O,X,X,O
LTJOSZI,O,O,X,X,O
LTJOZIS,O,X,X,X,O
LTJOZSI,O,X,X,X,O
LTSIJZO,O,O,O,O,O
LTSIJOZ,O,O,O,O,O
LTSIZJO,O,O,O,O,X
LTSIZOJ,O,O,O,O,X
LTSIOJZ,O,O,O,O,X
