sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB
TJOZLIS,O,O,O,X,O,X,O
TJOZLSI,O,O,O,X,O,X,O
TJOZSIL,O,O,O,X,O,O,O
TJOZSLI,O,O,O,X,O,X,O
TSILJZO,O,O,O,O,X,X,X
TSILJOZ,O,O,O,O,X,O,X
TSILZJO,O,O,O,O,O,X,O
TSILZOJ,O,O,O,O,O,X,O
TSILOJZ,O,O,O,O,X,O,X
TSILOZJ,O,O,O,O,O,X,O
TSIJLZO,O,O,O,O,X,X,X
TSIJLOZ,O,O,O,O,X,O,X
TSIJZLO,O,O,O,O,X,X,X
TSIJZOL,O,O,O,O,X,O,X
TSIJOLZ,O,O,O,O,X,O,X
TSIJOZL,O,O,O,O,X,O,X
TSIZLJO,O,O,O,O,O,X,O
TSIZLOJ,O,O,O,O,O,X,O
TSIZJLO,O,O,O,O,O,X,O
TSIZJOL,O,O,O,O,O,O,O
TSIZOLJ,O,O,O,O,O,X,O
TSIZOJL,O,O,O,O,O,O,O
TSIOLJZ,O,O,O,O,X,O,X
TSIOLZJ,O,O,O,O,O,X,O
TSIOJLZ,O,O,O,O,X,O,X
TSIOJZL,O,O,O,O,X,O,X
TSIOZLJ,O,O,O,O,O,X,O
TSIOZJL,O,O,O,O,O,O,O
TSLIJZO,O,O,O,O,X,X,X
TSLIJOZ,O,O,O,O,X,O,X
TSLIZJO,O,O,O,O,O,X,O
TSLIZOJ,O,O,O,O,O,X,O
TSLIOJZ,O,O,O,O,X,O,X
TSLIOZJ,O,O,O,O,O,X,O
TSLJIZO,O,O,O,O,X,X,X
TSLJIOZ,O,O,O,O,X,O,X
TSLJZIO,O,O,O,O,X,X,O
TSLJZOI,O,O,O,O,X,X,O
TSLJOIZ,O,O,O,O,X,O,X
TSLJOZI,O,O,O,O,X,X,O
TSLZIJO,O,O,O,O,O,X,O
TSLZIOJ,O,O,O,O,O,X,O
TSLZJIO,O,O,O,O,O,X,O
TSLZJOI,O,O,O,O,O,X,O
TSLZOIJ,O,O,O,O,O,X,O
TSLZOJI,O,O,O,O,O,X,O
TSLOIJZ,O,O,O,O,X,O,X
TSLOIZJ,O,O,O,O,O,X,O
TSLOJIZ,O,O,O,O,X,O,X
TSLOJZI,O,O,O,O,X,X,O
TSLOZIJ,O,O,O,O,O,X,O
TSLOZJI,O,O,O,O,O,X,O
TSJILZO,O,O,O,O,X,X,X
TSJILOZ,O,O,O,O,X,O,X
TSJIZLO,O,O,O,O,X,X,X
TSJIZOL,O,O,O,O,X,O,X
TSJIOLZ,O,O,O,O,X,O,X
TSJIOZL,O,O,O,O,X,O,X
TSJLIZO,O,O,O,O,X,X,X
TSJLIOZ,O,O,O,O,X,O,X
TSJLZIO,O,O,O,O,X,X,O
TSJLZOI,O,O,O,O,X,X,O
TSJLOIZ,O,O,O,O,X,O,X
TSJLOZI,O,O,O,O,X,X,O
TSJZILO,O,O,O,O,X,X,O
TSJZIOL,O,O,O,O,X,O,O
TSJZLIO,O,O,O,O,X,X,O
TSJZLOI,O,O,O,O,X,X,O
TSJZOIL,O,O,O,O,X,O,O
TSJZOLI,O,O,O,O,X,X,O
TSJOILZ,O,O,O,O,X,O,X
TSJOIZL,O,O,O,O,X,O,X
TSJOLIZ,O,O,O,O,X,O,X
TSJOLZI,O,O,O,O,X,X,O
TSJOZIL,O,O,O,O,X,O,O
TSJOZLI,O,O,O,O,X,X,O
TSZILJO,O,O,O,O,O,X,O
TSZILOJ,O,O,O,O,O,X,O
TSZIJLO,O,O,O,O,O,X,O
TSZIJOL,O,O,O,O,O,O,O
TSZIOLJ,O,O,O,O,O,X,O
TSZIOJL,O,O,O,O,O,O,O
TSZLIJO,O,O,O,O,O,X,O
TSZLIOJ,O,O,O,O,O,X,O
TSZLJIO,O,O,O,O,O,X,O
TSZLJOI,O,O,O,O,O,X,O
TSZLOIJ,O,O,O,O,O,X,O
TSZLOJI,O,O,O,O,O,X,O
TSZJILO,O,O,O,O,O,X,O
TSZJIOL,O,O,O,O,O,O,O
TSZJLIO,O,O,O,O,O,X,O
TSZJLOI,O,O,O,O,O,X,O
TSZJOIL,O,O,O,O,O,O,O
TSZJOLI,O,O,O,O,O,X,O
TSZOILJ,O,O,O,O,O,X,O
TSZOIJL,O,O,O,O,O,O,O
TSZOLIJ,O,O,O,O,O,X,O
TSZOLJI,O,O,O,O,O,X,O
TSZOJIL,O,O,O,O,O,O,O
TSZOJLI,O,O,O,O,O,X,O
TSOILJZ,O,O,O,O,X,O,X
TSOILZJ,O,O,O,O,O,X,O
TSOIJLZ,O,O,O,O,X,O,X
TSOIJZL,O,O,O,O,X,O,X
TSOIZLJ,O,O,O,O,O,X,O
TSOIZJL,O,O,O,O,O,O,O
TSOLIJZ,O,O,O,O,X,O,X
TSOLIZJ,O,O,O,O,O,X,O
TSOLJIZ,O,O,O,O,X,O,X
TSOLJZI,O,O,O,O,X,X,O
TSOLZIJ,O,O,O,O,O,X,O
TSOLZJI,O,O,O,O,O,X,O
TSOJILZ,O,O,O,O,X,O,X
TSOJIZL,O,O,O,O,X,O,X
TSOJLIZ,O,O,O,O,X,O,X
TSOJLZI,O,O,O,O,X,X,O
TSOJZIL,O,O,O,O,X,O,O
TSOJZLI,O,O,O,O,X,X,O
TSOZILJ,O,O,O,O,O,X,O
TSOZIJL,O,O,O,O,O,O,O
TSOZLIJ,O,O,O,O,O,X,O
TSOZLJI,O,O,O,O,O,X,O
TSOZJIL,O,O,O,O,O,O,O
TSOZJLI,O,O,O,O,O,X,O
TZILJSO,O,O,O,O,O,X,O
TZILJOS,O,O,O,X,O,X,O
TZILSJO,O,O,O,O,O,X,O
TZILSOJ,O,O,O,O,O,X,O
TZILOJS,O,O,O,X,O,X,O
TZILOSJ,O,O,O,X,O,X,O
TZIJLSO,O,O,O,O,O,X,O
TZIJLOS,O,O,O,X,O,X,O
TZIJSLO,O,O,O,O,O,X,O
TZIJSOL,O,O,O,O,O,O,O
TZIJOLS,O,O,O,X,O,X,O
TZIJOSL,O,O,O,X,O,O,O
TZISLJO,O,O,O,O,O,X,O
TZISLOJ,O,O,O,O,O,X,O
TZISJLO,O,O,O,O,O,X,O
TZISJOL,O,O,O,O,O,O,O
TZISOLJ,O,O,O,O,O,X,O
TZISOJL,O,O,O,O,O,O,O
TZIOLJS,O,O,O,X,O,X,O
TZIOLSJ,O,O,O,X,O,X,O
TZIOJLS,O,O,O,X,O,X,O
TZIOJSL,O,O,O,X,O,O,O
TZIOSLJ,O,O,O,X,O,X,O
TZIOSJL,O,O,O,X,O,O,O
TZLIJSO,O,O,O,O,O,X,O
TZLIJOS,O,O,O,X,O,X,O
TZLISJO,O,O,O,O,O,X,O
TZLISOJ,O,O,O,O,O,X,O
TZLIOJS,O,O,O,X,O,X,O
TZLIOSJ,O,O,O,X,O,X,O
TZLJISO,O,O,O,O,O,X,O
TZLJIOS,O,O,O,X,O,X,O
TZLJSIO,O,O,O,O,O,X,O
TZLJSOI,O,O,O,O,O,X,O
TZLJOIS,O,O,O,X,O,X,O
TZLJOSI,O,O,O,X,O,X,O
TZLSIJO,O,O,O,O,O,X,O
TZLSIOJ,O,O,O,O,O,X,O
TZLSJIO,O,O,O,O,O,X,O
TZLSJOI,O,O,O,O,O,X,O
TZLSOIJ,O,O,O,O,O,X,O
TZLSOJI,O,O,O,O,O,X,O
TZLOIJS,O,O,O,X,O,X,O
TZLOISJ,O,O,O,X,O,X,O
TZLOJIS,O,O,O,X,O,X,O
TZLOJSI,O,O,O,X,O,X,O
TZLOSIJ,O,O,O,X,O,X,O
TZLOSJI,O,O,O,X,O,X,O
TZJILSO,O,O,O,O,O,X,O
TZJILOS,O,O,O,X,O,X,O
TZJISLO,O,O,O,O,O,X,O
TZJISOL,O,O,O,O,O,O,O
TZJIOLS,O,O,O,X,O,X,O
TZJIOSL,O,O,O,X,O,O,O
TZJLISO,O,O,O,O,O,X,O
TZJLIOS,O,O,O,X,O,X,O
TZJLSIO,O,O,O,O,O,X,O
TZJLSOI,O,O,O,O,O,X,O
TZJLOIS,O,O,O,X,O,X,O
TZJLOSI,O,O,O,X,O,X,O
TZJSILO,O,O,O,O,O,X,O
TZJSIOL,O,O,O,O,O,O,O
TZJSLIO,O,O,O,O,O,X,O
TZJSLOI,O,O,O,O,O,X,O
TZJSOIL,O,O,O,O,O,O,O
TZJSOLI,O,O,O,O,O,X,O
TZJOILS,O,O,O,X,O,X,O
TZJOISL,O,O,O,X,O,O,O
TZJOLIS,O,O,O,X,O,X,O
TZJOLSI,O,O,O,X,O,X,O
TZJOSIL,O,O,O,X,O,O,O
TZJOSLI,O,O,O,X,O,X,O
TZSILJO,O,O,O,O,O,X,O
TZSILOJ,O,O,O,O,O,X,O
TZSIJLO,O,O,O,O,O,X,O
TZSIJOL,O,O,O,O,O,O,O
TZSIOLJ,O,O,O,O,O,X,O
