sequence,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem6IvhFzbB/iB?ajB5jB0fBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Je//IvhFagBzbB?mdB5jB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbBxdB?XgB0iB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFmbByiB?5jBXgB0iBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8JeT6IvhFygBmdB?5jB0iBXgBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jem7IvhFTdBxfB?XjB0fB6oBlsB,v115@4gA8IeA8DeA8BeD8CeF8DeG8AeB8Jex6IvhFygB/iB?0fBTjBGoBlsB
TZOIJLS,O,O,O,X,O,X,O
TZOIJSL,O,O,O,X,O,O,O
TZOISLJ,O,O,O,X,O,X,O
TZOISJL,O,O,O,X,O,O,O
TZOLIJS,O,O,O,X,O,X,O
TZOLISJ,O,O,O,X,O,X,O
TZOLJIS,O,O,O,X,O,X,O
TZOLJSI,O,O,O,X,O,X,O
TZOLSIJ,O,O,O,X,O,X,O
TZOLSJI,O,O,O,X,O,X,O
TZOJILS,O,O,O,X,O,X,O
TZOJISL,O,O,O,X,O,O,O
TZOJLIS,O,O,O,X,O,X,O
TZOJLSI,O,O,O,X,O,X,O
TZOJSIL,O,O,O,X,O,O,O
TZOJSLI,O,O,O,X,O,X,O
TZOSILJ,O,O,O,X,O,X,O
TZOSIJL,O,O,O,X,O,O,O
TZOSLIJ,O,O,O,X,O,X,O
TZOSLJI,O,O,O,X,O,X,O
TZOSJIL,O,O,O,X,O,O,O
TZOSJLI,O,O,O,X,O,X,O
TOILJSZ,X,X,O,O,X,O,X
TOILJZS,X,X,O,X,O,X,X
TOILSJZ,O,O,O,O,X,O,X
TOILSZJ,O,O,X,O,O,X,O
TOILZJS,O,O,O,X,O,X,O
TOILZSJ,O,O,O,X,O,X,O
TOIJLSZ,X,X,O,O,X,O,X
TOIJLZS,X,X,O,X,O,X,X
TOIJSLZ,O,O,X,O,X,O,X
TOIJSZL,O,O,X,O,X,O,X
TOIJZLS,O,O,O,X,O,X,X
TOIJZSL,O,O,O,X,O,O,X
TOISLJZ,O,O,X,O,X,O,X
TOISLZJ,O,O,X,O,O,X,O
TOISJLZ,O,O,X,O,X,O,X
TOISJZL,O,O,X,O,X,O,X
TOISZLJ,O,O,X,O,O,X,O
TOISZJL,O,O,X,O,O,O,O
TOIZLJS,O,O,O,X,O,X,O
TOIZLSJ,O,O,O,X,O,X,O
TOIZJLS,O,O,O,X,O,X,O
TOIZJSL,O,O,O,X,O,O,O
TOIZSLJ,O,O,X,X,O,X,O
TOIZSJL,O,O,O,X,O,O,O
TOLIJSZ,X,X,O,O,X,O,X
TOLIJZS,X,X,O,X,O,X,X
TOLISJZ,O,O,O,O,X,O,X
TOLISZJ,O,O,O,O,O,X,O
TOLIZJS,O,O,O,X,O,X,O
TOLIZSJ,O,O,O,X,O,X,O
TOLJISZ,X,X,O,O,X,O,X
TOLJIZS,X,X,O,X,O,X,X
TOLJSIZ,X,X,O,O,X,O,X
TOLJSZI,X,X,O,O,X,X,O
TOLJZIS,X,X,O,X,O,X,O
TOLJZSI,X,X,O,X,O,X,O
TOLSIJZ,O,O,O,O,X,O,X
TOLSIZJ,O,O,O,O,O,X,O
TOLSJIZ,O,O,O,O,X,O,X
TOLSJZI,O,O,O,O,X,X,O
TOLSZIJ,O,O,O,O,O,X,O
TOLSZJI,O,O,O,O,O,X,O
TOLZIJS,O,O,O,X,O,X,O
TOLZISJ,O,O,O,X,O,X,O
TOLZJIS,O,O,O,X,O,X,O
TOLZJSI,O,O,O,X,O,X,O
TOLZSIJ,O,O,O,X,O,X,O
TOLZSJI,O,O,O,X,O,X,O
TOJILSZ,X,X,O,O,X,O,X
TOJILZS,X,X,O,X,O,X,X
TOJISLZ,O,O,X,O,X,O,X
TOJISZL,O,O,X,O,X,O,X
TOJIZLS,O,O,O,X,O,X,X
TOJIZSL,O,O,O,X,O,O,X
TOJLISZ,X,X,O,O,X,O,X
TOJLIZS,X,X,O,X,O,X,X
TOJLSIZ,X,X,O,O,X,O,X
TOJLSZI,X,X,O,O,X,X,O
TOJLZIS,X,X,O,X,O,X,O
TOJLZSI,X,X,O,X,O,X,O
TOJSILZ,O,O,O,O,X,O,X
TOJSIZL,O,O,O,O,X,O,X
TOJSLIZ,O,O,O,O,X,O,X
TOJSLZI,O,O,O,O,X,X,O
TOJSZIL,O,O,O,O,X,O,O
TOJSZLI,O,O,O,O,X,X,O
TOJZILS,O,O,O,X,O,X,O
TOJZISL,O,O,O,X,O,O,O
TOJZLIS,O,O,O,X,O,X,O
TOJZLSI,O,O,O,X,O,X,O
TOJZSIL,O,O,O,X,O,O,O
TOJZSLI,O,O,O,X,O,X,O
TOSILJZ,O,O,O,O,X,O,X
TOSILZJ,O,O,O,O,O,X,O
TOSIJLZ,O,O,O,O,X,O,X
TOSIJZL,O,O,O,O,X,O,X
TOSIZLJ,O,O,O,O,O,X,O
TOSIZJL,O,O,O,O,O,O,O
TOSLIJZ,O,O,O,O,X,O,X
TOSLIZJ,O,O,O,O,O,X,O
TOSLJIZ,O,O,O,O,X,O,X
TOSLJZI,O,O,O,O,X,X,O
TOSLZIJ,O,O,O,O,O,X,O
TOSLZJI,O,O,O,O,O,X,O
TOSJILZ,O,O,O,O,X,O,X
TOSJIZL,O,O,O,O,X,O,X
TOSJLIZ,O,O,O,O,X,O,X
TOSJLZI,O,O,O,O,X,X,O
TOSJZIL,O,O,O,O,X,O,O
TOSJZLI,O,O,O,O,X,X,O
TOSZILJ,O,O,O,O,O,X,O
TOSZIJL,O,O,O,O,O,O,O
TOSZLIJ,O,O,O,O,O,X,O
TOSZLJI,O,O,O,O,O,X,O
TOSZJIL,O,O,O,O,O,O,O
TOSZJLI,O,O,O,O,O,X,O
TOZILJS,O,O,O,X,O,X,O
TOZILSJ,O,O,O,X,O,X,O
TOZIJLS,O,O,O,X,O,X,O
TOZIJSL,O,O,O,X,O,O,O
TOZISLJ,O,O,O,X,O,X,O
TOZISJL,O,O,O,X,O,O,O
TOZLIJS,O,O,O,X,O,X,O
TOZLISJ,O,O,O,X,O,X,O
TOZLJIS,O,O,O,X,O,X,O
TOZLJSI,O,O,O,X,O,X,O
TOZLSIJ,O,O,O,X,O,X,O
TOZLSJI,O,O,O,X,O,X,O
TOZJILS,O,O,O,X,O,X,O
TOZJISL,O,O,O,X,O,O,O
TOZJLIS,O,O,O,X,O,X,O
TOZJLSI,O,O,O,X,O,X,O
TOZJSIL,O,O,O,X,O,O,O
TOZJSLI,O,O,O,X,O,X,O
TOZSILJ,O,O,O,X,O,X,O
TOZSIJL,O,O,O,X,O,O,O
TOZSLIJ,O,O,O,X,O,X,O
TOZSLJI,O,O,O,X,O,X,O
TOZSJIL,O,O,O,X,O,O,O
TOZSJLI,O,O,O,X,O,X,O
ITLJSZO,X,X,O,O,X,X,X
ITLJSOZ,X,X,O,O,X,O,X
ITLJZSO,X,X,O,O,O,X,X
ITLJZOS,X,X,O,X,O,X,X
ITLJOSZ,X,X,O,O,X,O,X
ITLJOZS,X,X,O,X,O,X,X
ITLSJZO,O,O,O,O,X,X,X
ITLSJOZ,O,O,O,O,X,O,X
ITLSZJO,O,O,O,O,O,X,O
ITLSZOJ,O,O,O,O,O,X,O
ITLSOJZ,O,O,O,O,X,O,X
ITLSOZJ,O,O,O,O,O,X,O
ITLZJSO,O,O,O,O,O,X,O
ITLZJOS,O,O,O,X,O,X,O
ITLZSJO,O,O,O,O,O,X,O
ITLZSOJ,O,O,O,O,O,X,O
ITLZOJS,O,O,O,X,O,X,O
ITLZOSJ,O,O,O,X,O,X,O
ITLOJSZ,X,X,O,O,X,O,X
ITLOJZS,X,X,O,X,O,X,X
ITLOSJZ,O,O,O,O,X,O,X
ITLOSZJ,O,O,O,O,O,X,O
ITLOZJS,O,O,O,X,O,X,O
ITLOZSJ,O,O,O,X,O,X,O
ITJLSZO,X,X,O,O,X,X,X
ITJLSOZ,X,X,O,O,X,O,X
ITJLZSO,X,X,O,O,O,X,X
ITJLZOS,X,X,O,X,O,X,X
ITJLOSZ,X,X,O,O,X,O,X
ITJLOZS,X,X,O,X,O,X,X
ITJSLZO,O,O,O,O,X,X,X
ITJSLOZ,O,O,O,O,X,O,X
ITJSZLO,O,O,O,O,X,X,X
ITJSZOL,O,O,O,O,X,O,X
ITJSOLZ,O,O,O,O,X,O,X
ITJSOZL,O,O,O,O,X,O,X
ITJZLSO,O,O,O,O,O,X,X
ITJZLOS,O,O,O,X,O,X,X
ITJZSLO,O,O,O,O,O,X,X
ITJZSOL,O,O,O,O,O,O,X
ITJZOLS,O,O,O,X,O,X,X
ITJZOSL,O,O,O,X,O,O,X
ITJOLSZ,X,X,O,O,X,O,X
ITJOLZS,X,X,O,X,O,X,X
ITJOSLZ,O,O,X,O,X,O,X
ITJOSZL,O,O,X,O,X,O,X
ITJOZLS,O,O,O,X,O,X,X
ITJOZSL,O,O,O,X,O,O,X
ITSLJZO,O,O,O,O,X,X,X
ITSLJOZ,O,O,O,O,X,O,X
ITSLZJO,O,O,O,O,O,X,O
ITSLZOJ,O,O,O,O,O,X,O
ITSLOJZ,O,O,O,O,X,O,X
ITSLOZJ,O,O,O,O,O,X,O
ITSJLZO,O,O,O,O,X,X,X
ITSJLOZ,O,O,O,O,X,O,X
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,O,O,X,O,X
ITSJOLZ,O,O,O,O,X,O,X
ITSJOZL,O,O,O,O,X,O,X
ITSZLJO,O,O,O,O,O,X,O
ITSZLOJ,O,O,O,O,O,X,O
ITSZJLO,O,O,O,O,O,X,O
ITSZJOL,O,O,O,O,O,O,O
ITSZOLJ,O,O,O,O,O,X,O
ITSZOJL,O,O,O,O,O,O,O
ITSOLJZ,O,O,O,O,X,O,X
ITSOLZJ,O,O,O,O,O,X,O
ITSOJLZ,O,O,O,O,X,O,X
ITSOJZL,O,O,O,O,X,O,X
ITSOZLJ,O,O,O,O,O,X,O
ITSOZJL,O,O,O,O,O,O,O
ITZLJSO,O,O,O,O,O,X,O
ITZLJOS,O,O,O,X,O,X,O
ITZLSJO,O,O,O,O,O,X,O
ITZLSOJ,O,O,O,O,O,X,O
ITZLOJS,O,O,O,X,O,X,O
ITZLOSJ,O,O,O,X,O,X,O
ITZJLSO,O,O,O,O,O,X,O
ITZJLOS,O,O,O,X,O,X,O
ITZJSLO,O,O,O,O,O,X,O
ITZJSOL,O,O,O,O,O,O,O
ITZJOLS,O,O,O,X,O,X,O
ITZJOSL,O,O,O,X,O,O,O
ITZSLJO,O,O,O,O,O,X,O
ITZSLOJ,O,O,O,O,O,X,O
ITZSJLO,O,O,O,O,O,X,O
ITZSJOL,O,O,O,O,O,O,O
ITZSOLJ,O,O,O,O,O,X,O
ITZSOJL,O,O,O,O,O,O,O
ITZOLJS,O,O,O,X,O,X,O
ITZOLSJ,O,O,O,X,O,X,O
ITZOJLS,O,O,O,X,O,X,O
ITZOJSL,O,O,O,X,O,O,O
ITZOSLJ,O,O,O,X,O,X,O
ITZOSJL,O,O,O,X,O,O,O
ITOLJSZ,X,X,O,O,X,O,X
ITOLJZS,X,X,O,X,O,X,X
ITOLSJZ,O,O,O,O,X,O,X
ITOLSZJ,O,O,X,O,O,X,O
ITOLZJS,O,O,O,X,O,X,O
ITOLZSJ,O,O,O,X,O,X,O
ITOJLSZ,X,X,O,O,X,O,X
ITOJLZS,X,X,O,X,O,X,X
ITOJSLZ,O,O,X,O,X,O,X
ITOJSZL,O,O,X,O,X,O,X
ITOJZLS,O,O,O,X,O,X,X
ITOJZSL,O,O,O,X,O,O,X
ITOSLJZ,O,O,X,O,X,O,X
ITOSLZJ,O,O,X,O,O,X,O
ITOSJLZ,O,O,X,O,X,O,X
ITOSJZL,O,O,X,O,X,O,X
ITOSZLJ,O,O,X,O,O,X,O
ITOSZJL,O,O,X,O,O,O,O
ITOZLJS,O,O,O,X,O,X,O
ITOZLSJ,O,O,O,X,O,X,O
ITOZJLS,O,O,O,X,O,X,O
ITOZJSL,O,O,O,X,O,O,O
ITOZSLJ,O,O,X,X,O,X,O
ITOZSJL,O,O,O,X,O,O,O
ILTJSZO,X,X,X,O,X,X,X
ILTJSOZ,X,X,O,O,X,O,X
ILTJZSO,X,X,X,O,O,X,X
ILTJZOS,X,X,X,X,O,X,X
ILTJOSZ,X,X,O,O,X,O,X
ILTJOZS,X,X,O,X,O,X,X
ILTSJZO,O,O,X,O,X,X,X
ILTSJOZ,O,O,O,O,X,O,X
ILTSZJO,O,O,X,O,O,X,O
ILTSZOJ,O,O,X,O,O,X,O
ILTSOJZ,O,O,O,O,X,O,X
ILTSOZJ,O,O,X,O,O,X,O
ILTZJSO,O,O,X,O,O,X,O
ILTZJOS,O,O,X,X,O,X,O
ILTZSJO,O,O,X,O,O,X,O
ILTZSOJ,O,O,X,O,O,X,O
ILTZOJS,O,O,X,X,O,X,O
ILTZOSJ,O,O,X,X,O,X,O
ILTOJSZ,X,X,O,O,X,O,X
ILTOJZS,X,X,O,X,O,X,X
ILTOSJZ,O,O,X,O,X,O,X
ILTOSZJ,O,O,X,O,O,X,O
ILTOZJS,O,O,X,X,O,X,O
ILTOZSJ,O,O,X,X,O,X,O
ILJTSZO,X,X,X,O,X,X,X
ILJTSOZ,X,X,O,O,X,O,X
ILJTZSO,X,X,X,O,O,X,X
ILJTZOS,X,X,X,X,O,X,X
ILJTOSZ,X,X,O,O,X,O,X
ILJTOZS,X,X,O,X,O,X,X
ILJSTZO,X,X,X,O,X,X,X
ILJSTOZ,X,X,O,O,X,X,X
ILJSZTO,X,X,O,X,X,X,X
ILJSZOT,X,X,O,O,X,X,X
ILJSOTZ,X,X,O,O,X,X,X
ILJSOZT,X,X,O,O,X,X,X
ILJZTSO,X,X,O,X,X,X,X
ILJZTOS,X,X,O,X,O,X,X
ILJZSTO,X,X,O,X,X,X,X
ILJZSOT,X,X,O,O,O,X,X
ILJZOTS,X,X,O,X,O,X,X
ILJZOST,X,X,O,X,O,X,X
ILJOTSZ,X,X,O,X,X,O,X
ILJOTZS,X,X,O,X,O,X,X
ILJOSTZ,X,X,O,O,X,X,X
ILJOSZT,X,X,O,O,X,X,X
ILJOZTS,X,X,O,X,O,X,X
ILJOZST,X,X,O,X,O,X,X
ILSTJZO,X,O,X,O,X,X,X
ILSTJOZ,X,O,O,O,X,X,X
ILSTZJO,O,O,X,O,O,X,O
ILSTZOJ,O,O,X,O,O,X,O
ILSTOJZ,X,O,O,O,X,X,X
ILSTOZJ,O,O,X,O,O,X,O
ILSJTZO,X,O,X,O,X,X,X
ILSJTOZ,X,O,O,O,X,X,X
ILSJZTO,O,O,O,X,X,X,X
ILSJZOT,O,O,O,O,X,X,X
ILSJOTZ,X,O,O,O,X,X,X
ILSJOZT,O,O,O,O,X,X,X
ILSZTJO,O,O,O,X,X,X,O
ILSZTOJ,O,O,O,X,X,X,O
ILSZJTO,O,O,O,X,X,X,O
ILSZJOT,O,O,O,O,O,X,X
ILSZOTJ,O,O,O,X,X,X,O
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,X,O,O,O,X,X,X
ILSOTZJ,O,O,X,O,O,X,X
ILSOJTZ,X,O,O,O,X,X,X
ILSOJZT,O,O,O,O,X,X,X
ILSOZTJ,O,O,O,X,X,X,X
ILSOZJT,O,O,O,O,O,X,X
ILZTJSO,O,X,O,X,O,X,O
ILZTJOS,O,X,O,X,O,X,O
ILZTSJO,O,X,O,X,O,X,O
ILZTSOJ,O,X,O,X,O,X,O
ILZTOJS,O,X,O,X,O,X,O
ILZTOSJ,O,X,X,X,O,X,O
ILZJTSO,O,X,O,X,X,X,O
ILZJTOS,O,X,O,X,O,X,O
ILZJSTO,O,O,O,X,X,X,O
ILZJSOT,O,O,O,O,O,X,X
ILZJOTS,O,X,O,X,O,X,X
ILZJOST,O,O,O,X,O,X,X
ILZSTJO,O,O,O,X,X,X,O
ILZSTOJ,O,O,O,X,X,X,O
ILZSJTO,O,O,O,X,X,X,O
ILZSJOT,O,O,O,O,O,X,X
ILZSOTJ,O,O,O,X,X,X,O
ILZSOJT,O,O,O,O,O,X,X
ILZOTJS,O,X,O,X,O,X,O
ILZOTSJ,O,X,X,X,O,X,O
ILZOJTS,O,X,O,X,O,X,X
ILZOJST,O,O,O,X,O,X,X
ILZOSTJ,O,O,O,X,X,X,O
ILZOSJT,O,O,O,X,O,X,X
ILOTJSZ,X,X,O,X,X,O,X
ILOTJZS,X,X,O,X,O,X,X
ILOTSJZ,O,O,X,X,X,O,X
ILOTSZJ,O,O,X,X,O,X,X
ILOTZJS,O,O,X,X,O,X,X
ILOTZSJ,O,O,X,X,O,X,X
ILOJTSZ,X,X,O,X,X,O,X
ILOJTZS,X,X,O,X,O,X,X
ILOJSTZ,X,X,O,O,X,X,X
ILOJSZT,X,X,O,O,X,X,X
ILOJZTS,X,X,O,X,O,X,X
ILOJZST,X,X,O,X,O,X,X
ILOSTJZ,X,O,O,O,X,X,X
ILOSTZJ,O,O,X,X,O,X,X
ILOSJTZ,X,O,O,O,X,X,X
ILOSJZT,O,O,O,O,X,X,X
ILOSZTJ,O,O,X,X,X,X,X
ILOSZJT,O,O,O,O,O,X,X
ILOZTJS,O,X,O,X,O,X,X
ILOZTSJ,O,X,X,X,O,X,X
ILOZJTS,O,X,O,X,O,X,X
ILOZJST,O,O,O,X,O,X,X
ILOZSTJ,O,O,X,X,X,X,X
ILOZSJT,O,O,O,X,O,X,X
IJTLSZO,X,X,O,O,X,X,X
IJTLSOZ,X,X,O,O,X,O,X
IJTLZSO,X,X,O,O,O,X,X
IJTLZOS,X,X,O,X,O,X,X
IJTLOSZ,X,X,O,O,X,O,X
IJTLOZS,X,X,O,X,O,X,X
IJTSLZO,O,O,O,O,X,X,X
IJTSLOZ,O,O,O,O,X,O,X
IJTSZLO,O,O,O,O,X,X,X
IJTSZOL,O,O,O,O,X,O,X
IJTSOLZ,O,O,O,O,X,O,X
IJTSOZL,O,O,O,O,X,O,X
IJTZLSO,O,O,O,O,O,X,X
IJTZLOS,O,O,O,X,O,X,X
IJTZSLO,O,O,O,O,O,X,X
IJTZSOL,O,O,O,O,O,O,X
IJTZOLS,O,O,O,X,O,X,X
IJTZOSL,O,O,O,X,O,O,X
IJTOLSZ,X,X,O,O,X,O,X
IJTOLZS,X,X,O,X,O,X,X
IJTOSLZ,O,O,X,O,X,O,X
IJTOSZL,O,O,X,O,X,O,X
IJTOZLS,O,O,O,X,O,X,X
IJTOZSL,O,O,O,X,O,O,X
IJLTSZO,X,X,X,O,X,X,X
IJLTSOZ,X,X,O,O,X,O,X
IJLTZSO,X,X,X,O,O,X,X
IJLTZOS,X,X,X,X,O,X,X
IJLTOSZ,X,X,O,O,X,O,X
IJLTOZS,X,X,O,X,O,X,X
IJLSTZO,X,X,X,O,X,X,X
IJLSTOZ,X,X,O,O,X,X,X
IJLSZTO,X,X,O,X,X,X,X
IJLSZOT,X,X,O,O,X,X,X
IJLSOTZ,X,X,O,O,X,X,X
IJLSOZT,X,X,O,O,X,X,X
IJLZTSO,X,X,O,X,X,X,X
IJLZTOS,X,X,O,X,O,X,X
IJLZSTO,X,X,O,X,X,X,X
IJLZSOT,X,X,O,O,O,X,X
IJLZOTS,X,X,O,X,O,X,X
IJLZOST,X,X,O,X,O,X,X
IJLOTSZ,X,X,O,X,X,O,X
IJLOTZS,X,X,O,X,O,X,X
IJLOSTZ,X,X,O,O,X,X,X
IJLOSZT,X,X,O,O,X,X,X
IJLOZTS,X,X,O,X,O,X,X
IJLOZST,X,X,O,X,O,X,X
IJSTLZO,X,O,O,O,X,X,X
IJSTLOZ,X,O,O,O,X,O,X
IJSTZLO,X,O,O,O,X,X,X
IJSTZOL,X,O,O,O,X,O,X
IJSTOLZ,X,O,O,O,X,O,X
IJSTOZL,X,O,O,O,X,O,X
IJSLTZO,X,O,X,O,X,X,X
IJSLTOZ,X,O,O,O,X,X,X
IJSLZTO,O,O,O,X,X,X,X
IJSLZOT,O,O,O,O,X,X,X
IJSLOTZ,X,O,O,O,X,X,X
IJSLOZT,O,O,O,O,X,X,X
IJSZTLO,O,O,X,O,X,X,X
IJSZTOL,O,O,O,O,X,X,X
IJSZLTO,O,O,O,X,X,X,X
IJSZLOT,O,O,O,O,X,X,X
IJSZOTL,O,O,O,O,X,X,X
IJSZOLT,O,O,O,O,X,X,X
IJSOTLZ,X,O,O,O,X,O,X
IJSOTZL,X,O,O,O,X,O,X
IJSOLTZ,X,O,O,O,X,X,X
IJSOLZT,O,O,O,O,X,X,X
IJSOZTL,O,O,O,O,X,X,X
IJSOZLT,O,O,O,O,X,X,X
IJZTLSO,O,X,X,O,X,X,X
IJZTLOS,O,X,X,X,O,X,X
IJZTSLO,O,O,X,O,X,X,X
IJZTSOL,O,O,O,O,X,O,X
IJZTOLS,O,X,O,X,O,X,X
IJZTOSL,O,O,O,X,X,O,X
IJZLTSO,O,X,O,X,X,X,X
IJZLTOS,O,X,O,X,O,X,X
IJZLSTO,O,O,O,X,X,X,X
IJZLSOT,O,O,O,O,O,X,X
IJZLOTS,O,X,O,X,O,X,X
IJZLOST,O,O,O,X,O,X,X
IJZSTLO,O,O,X,O,X,X,X
IJZSTOL,O,O,O,O,X,X,X
IJZSLTO,O,O,O,X,X,X,X
IJZSLOT,O,O,O,O,O,X,X
IJZSOTL,O,O,O,O,X,X,X
IJZSOLT,O,O,O,O,O,X,X
IJZOTLS,O,X,O,X,O,X,X
IJZOTSL,O,O,O,X,X,O,X
IJZOLTS,O,X,O,X,O,X,X
IJZOLST,O,O,O,X,O,X,X
IJZOSTL,O,O,O,X,X,X,X
IJZOSLT,O,O,O,X,O,X,X
IJOTLSZ,X,X,O,O,X,O,X
IJOTLZS,X,X,O,X,O,X,X
IJOTSLZ,O,O,X,O,X,O,X
IJOTSZL,O,O,X,O,X,O,X
IJOTZLS,O,O,O,X,O,X,X
IJOTZSL,O,O,O,X,O,O,X
IJOLTSZ,X,X,O,X,X,O,X
IJOLTZS,X,X,O,X,O,X,X
IJOLSTZ,X,X,O,O,X,X,X
IJOLSZT,X,X,O,O,X,X,X
IJOLZTS,X,X,O,X,O,X,X
IJOLZST,X,X,O,X,O,X,X
IJOSTLZ,X,O,X,O,X,O,X
IJOSTZL,X,O,X,O,X,O,X
IJOSLTZ,X,O,X,O,X,X,X
IJOSLZT,O,O,X,O,X,X,X
IJOSZTL,O,O,X,O,X,X,X
IJOSZLT,O,O,X,O,X,X,X
IJOZTLS,O,X,O,X,O,X,X
IJOZTSL,O,O,O,X,X,O,X
IJOZLTS,O,X,O,X,O,X,X
IJOZLST,O,O,O,X,O,X,X
IJOZSTL,O,O,O,X,X,X,X
IJOZSLT,O,O,O,X,O,X,X
ISTLJZO,O,O,O,O,X,X,X
ISTLJOZ,O,O,O,O,X,O,X
ISTLZJO,O,O,O,O,O,X,O
ISTLZOJ,O,O,O,O,O,X,O
ISTLOJZ,O,O,O,O,X,O,X
ISTLOZJ,O,O,O,O,O,X,O
ISTJLZO,O,O,O,O,X,X,X
ISTJLOZ,O,O,O,O,X,O,X
ISTJZLO,O,O,O,O,X,X,X
ISTJZOL,O,O,O,O,X,O,X
ISTJOLZ,O,O,O,O,X,O,X
ISTJOZL,O,O,O,O,X,O,X
ISTZLJO,O,O,O,O,O,X,O
ISTZLOJ,O,O,O,O,O,X,O
ISTZJLO,O,O,O,O,O,X,O
ISTZJOL,O,O,O,O,O,O,O
ISTZOLJ,O,O,O,O,O,X,O
ISTZOJL,O,O,O,O,O,O,O
ISTOLJZ,O,O,O,O,X,O,X
ISTOLZJ,O,O,O,O,O,X,O
ISTOJLZ,O,O,O,O,X,O,X
ISTOJZL,O,O,O,O,X,O,X
ISTOZLJ,O,O,O,O,O,X,O
ISTOZJL,O,O,O,O,O,O,O
ISLTJZO,X,O,X,O,X,X,X
ISLTJOZ,X,O,O,O,X,X,X
ISLTZJO,O,O,X,O,O,X,O
ISLTZOJ,O,O,X,O,O,X,O
ISLTOJZ,X,O,O,O,X,X,X
ISLTOZJ,O,O,X,O,O,X,O
ISLJTZO,X,O,X,O,X,X,X
ISLJTOZ,X,O,O,O,X,X,X
ISLJZTO,O,O,O,X,X,X,X
ISLJZOT,O,O,O,O,X,X,X
ISLJOTZ,X,O,O,O,X,X,X
ISLJOZT,O,O,O,O,X,X,X
ISLZTJO,O,O,O,X,X,X,O
ISLZTOJ,O,O,O,X,X,X,O
ISLZJTO,O,O,O,X,X,X,O
ISLZJOT,O,O,O,O,O,X,X
ISLZOTJ,O,O,O,X,X,X,O
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,X,O,O,O,X,X,X
ISLOTZJ,O,O,X,O,O,X,X
ISLOJTZ,X,O,O,O,X,X,X
ISLOJZT,O,O,O,O,X,X,X
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,O,O,O,O,X,X
ISJTLZO,X,O,O,O,X,X,X
ISJTLOZ,X,O,O,O,X,O,X
ISJTZLO,X,O,O,O,X,X,X
ISJTZOL,X,O,O,O,X,O,X
ISJTOLZ,X,O,O,O,X,O,X
ISJTOZL,X,O,O,O,X,O,X
ISJLTZO,X,O,X,O,X,X,X
ISJLTOZ,X,O,O,O,X,X,X
ISJLZTO,O,O,O,X,X,X,X
ISJLZOT,O,O,O,O,X,X,X
ISJLOTZ,X,O,O,O,X,X,X
ISJLOZT,O,O,O,O,X,X,X
ISJZTLO,O,O,X,O,X,X,X
ISJZTOL,O,O,O,O,X,X,X
ISJZLTO,O,O,O,X,X,X,X
ISJZLOT,O,O,O,O,X,X,X
ISJZOTL,O,O,O,O,X,X,X
ISJZOLT,O,O,O,O,X,X,X
ISJOTLZ,X,O,O,O,X,O,X
ISJOTZL,X,O,O,O,X,O,X
ISJOLTZ,X,O,O,O,X,X,X
ISJOLZT,O,O,O,O,X,X,X
ISJOZTL,O,O,O,O,X,X,X
ISJOZLT,O,O,O,O,X,X,X
ISZTLJO,O,O,X,O,X,X,O
ISZTLOJ,O,O,X,O,X,X,O
ISZTJLO,O,O,X,O,X,X,O
ISZTJOL,O,O,O,O,X,X,O
ISZTOLJ,O,O,X,O,X,X,O
ISZTOJL,O,O,O,O,X,X,O
ISZLTJO,O,O,O,X,X,X,O
ISZLTOJ,O,O,O,X,X,X,O
ISZLJTO,O,O,O,X,X,X,O
ISZLJOT,O,O,O,O,O,X,X
ISZLOTJ,O,O,O,X,X,X,O
ISZLOJT,O,O,O,O,O,X,X
ISZJTLO,O,O,X,O,X,X,O
ISZJTOL,O,O,O,O,X,X,O
ISZJLTO,O,O,O,X,X,X,O
ISZJLOT,O,O,O,O,O,X,X
ISZJOTL,O,O,O,O,X,X,X
ISZJOLT,O,O,O,O,O,X,X
ISZOTLJ,O,O,X,O,X,X,O
ISZOTJL,O,O,O,O,X,X,O
ISZOLTJ,O,O,O,X,X,X,O
ISZOLJT,O,O,O,O,O,X,X
ISZOJTL,O,O,O,O,X,X,X
ISZOJLT,O,O,O,O,O,X,X
ISOTLJZ,O,O,O,O,X,O,X
ISOTLZJ,O,O,O,O,O,X,X
ISOTJLZ,O,O,O,O,X,O,X
ISOTJZL,O,O,O,O,X,O,X
ISOTZLJ,O,O,O,O,O,X,X
ISOTZJL,O,O,O,O,O,O,X
ISOLTJZ,X,O,O,O,X,X,X
ISOLTZJ,O,O,X,O,O,X,X
ISOLJTZ,X,O,O,O,X,X,X
ISOLJZT,O,O,O,O,X,X,X
ISOLZTJ,O,O,O,X,X,X,X
ISOLZJT,O,O,O,O,O,X,X
