sequence,v115@UhA8EeB8BeB8BeC8JeOEJvhGXgBdmB5mBiiBcoBcsB?zpB,v115@UhA8EeB8BeB8BeC8Jex/IvhGXhBdnBunBcoBikBzpB?0rB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUhBRiBSoBXlB2sB0rB?zpB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUgBRhBCjBmmBXoBzpB?0rB,v115@UhA8EeB8BeB8BeC8Je0/IvhGdmBRiBcoB/pBqrBTnB?OqB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBamBRiBcoBWsB0pB?XsB,v115@UhA8EeB8BeB8BeC8JeXAJvhGdmBRiBcoB2pBSsBzrB?0pB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBCjBmmBXoB0pB?0rB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBunBcoB/rBasB?0pB
ZTILJSZO,O,O,O,X,X,O,X,O,X
ZTILJSOZ,X,X,O,X,X,X,O,O,X
ZTILJZSO,O,O,O,X,X,O,X,O,X
ZTILJZOS,O,O,O,X,X,O,X,O,O
ZTILJOSZ,X,X,O,X,X,X,O,X,X
ZTILJOZS,X,X,O,X,X,O,O,X,X
ZTILSJZO,O,O,O,O,X,X,X,O,X
ZTILSJOZ,X,X,O,X,X,X,O,O,X
ZTILSZJO,O,O,O,O,X,X,X,O,O
ZTILSZOJ,O,O,X,O,O,O,X,O,O
ZTILSOJZ,X,X,X,X,O,X,X,O,X
ZTILSOZJ,X,O,X,O,O,X,X,O,O
ZTILZJSO,O,O,O,O,X,O,X,O,X
ZTILZJOS,O,O,O,X,X,O,X,O,O
ZTILZSJO,O,O,O,O,X,X,X,O,X
ZTILZSOJ,O,O,X,O,X,O,X,O,X
ZTILZOJS,O,O,X,X,X,O,X,O,O
ZTILZOSJ,O,O,X,X,X,O,X,O,X
ZTILOJSZ,O,X,X,X,O,X,X,X,X
ZTILOJZS,O,X,X,X,X,O,X,X,X
ZTILOSJZ,O,X,X,X,O,X,X,O,X
ZTILOSZJ,O,O,X,X,O,X,X,O,O
ZTILOZJS,O,O,X,X,X,O,X,O,O
ZTILOZSJ,O,O,X,X,O,O,X,O,X
ZTIJLSZO,O,X,O,O,X,O,X,O,X
ZTIJLSOZ,X,X,O,O,X,X,O,O,X
ZTIJLZSO,O,X,O,O,X,O,X,O,X
ZTIJLZOS,O,X,O,X,X,O,X,O,O
ZTIJLOSZ,X,X,O,X,X,X,O,X,X
ZTIJLOZS,X,X,O,X,X,O,O,X,X
ZTIJSLZO,O,X,O,O,X,O,X,O,O
ZTIJSLOZ,X,X,O,O,X,X,O,O,O
ZTIJSZLO,O,X,O,O,X,O,X,O,O
ZTIJSZOL,O,X,O,O,X,O,X,O,O
ZTIJSOLZ,X,X,O,O,X,X,X,O,X
ZTIJSOZL,O,X,O,O,X,X,X,O,O
ZTIJZLSO,O,X,O,O,X,O,X,O,X
ZTIJZLOS,O,X,O,X,X,O,X,O,O
ZTIJZSLO,O,X,O,O,X,O,X,O,O
ZTIJZSOL,O,X,O,O,X,O,X,O,O
ZTIJZOLS,O,X,O,X,X,O,X,O,O
ZTIJZOSL,O,X,O,O,X,O,X,O,O
ZTIJOLSZ,O,X,O,X,X,X,X,X,X
ZTIJOLZS,O,X,O,X,X,O,X,X,X
ZTIJOSLZ,O,X,O,O,X,X,X,O,X
ZTIJOSZL,O,X,O,O,X,X,X,O,O
ZTIJOZLS,O,X,O,X,X,O,X,O,O
ZTIJOZSL,O,X,O,O,X,O,X,O,O
ZTISLJZO,O,O,O,O,X,X,X,O,O
ZTISLJOZ,X,X,O,O,X,X,O,O,O
ZTISLZJO,O,O,O,O,X,X,X,O,O
ZTISLZOJ,O,O,X,O,O,O,X,O,O
ZTISLOJZ,X,X,X,X,O,X,X,O,O
ZTISLOZJ,X,O,X,O,O,X,X,O,O
ZTISJLZO,O,X,O,O,X,O,X,O,O
ZTISJLOZ,X,X,O,O,X,X,O,O,O
ZTISJZLO,O,O,O,O,X,O,X,O,O
ZTISJZOL,O,O,O,O,X,O,X,O,O
ZTISJOLZ,X,X,O,O,X,X,X,O,X
ZTISJOZL,O,X,O,O,X,X,X,O,O
ZTISZLJO,O,O,O,O,X,X,X,O,O
ZTISZLOJ,O,O,X,O,O,O,X,O,O
ZTISZJLO,O,O,O,O,X,O,X,O,O
ZTISZJOL,O,O,O,O,X,O,X,O,O
ZTISZOLJ,O,O,X,O,X,O,X,O,O
ZTISZOJL,O,O,X,X,X,O,X,O,O
ZTISOLJZ,O,O,X,X,X,X,X,O,O
ZTISOLZJ,O,O,X,O,X,X,X,O,O
ZTISOJLZ,O,X,X,X,X,X,X,O,X
ZTISOJZL,O,O,X,X,X,X,X,X,O
ZTISOZLJ,O,O,X,X,X,X,X,O,O
ZTISOZJL,O,O,X,X,X,X,X,O,O
ZTIZLJSO,O,O,O,O,X,O,X,O,X
ZTIZLJOS,O,O,O,X,X,O,X,O,O
ZTIZLSJO,O,O,O,O,X,X,X,O,X
ZTIZLSOJ,O,O,X,O,X,O,X,O,X
ZTIZLOJS,O,O,X,X,X,O,X,O,O
ZTIZLOSJ,O,O,X,X,X,O,X,O,X
ZTIZJLSO,O,O,O,O,X,O,X,O,X
ZTIZJLOS,O,O,O,X,X,O,X,O,O
ZTIZJSLO,O,O,O,O,X,O,X,O,O
ZTIZJSOL,O,O,O,O,X,O,X,O,O
ZTIZJOLS,O,O,O,X,X,O,X,O,O
ZTIZJOSL,O,O,O,O,X,O,X,O,O
ZTIZSLJO,O,O,O,O,X,X,X,O,O
ZTIZSLOJ,O,O,X,O,X,O,X,O,O
ZTIZSJLO,O,O,O,O,X,O,X,O,O
ZTIZSJOL,O,O,O,O,X,O,X,O,O
ZTIZSOLJ,O,O,X,O,X,O,X,O,O
ZTIZSOJL,O,O,X,X,X,O,X,O,O
ZTIZOLJS,O,O,X,X,X,O,X,O,O
ZTIZOLSJ,O,O,X,X,X,O,X,O,X
ZTIZOJLS,O,O,X,X,X,O,X,O,O
ZTIZOJSL,O,O,X,O,X,O,X,O,O
ZTIZOSLJ,O,O,X,O,X,O,X,O,O
ZTIZOSJL,O,O,X,X,X,O,X,O,O
ZTIOLJSZ,O,O,X,X,X,X,X,X,X
ZTIOLJZS,O,O,X,X,X,O,X,X,X
ZTIOLSJZ,O,O,X,X,X,X,X,O,X
ZTIOLSZJ,O,O,X,X,X,X,X,O,O
ZTIOLZJS,O,O,X,X,X,O,X,O,O
ZTIOLZSJ,O,O,X,X,X,O,X,O,X
ZTIOJLSZ,O,X,X,X,X,X,X,X,X
ZTIOJLZS,O,X,X,X,X,O,X,X,X
ZTIOJSLZ,O,X,X,X,X,X,X,O,X
ZTIOJSZL,O,X,X,X,X,X,X,O,O
ZTIOJZLS,O,X,X,X,X,O,X,O,O
ZTIOJZSL,O,X,X,X,X,O,X,O,O
ZTIOSLJZ,O,O,X,X,X,X,X,O,O
ZTIOSLZJ,O,O,X,O,X,X,X,O,O
ZTIOSJLZ,O,X,X,X,X,X,X,O,X
ZTIOSJZL,O,O,X,X,X,X,X,X,O
ZTIOSZLJ,O,O,X,X,X,X,X,O,O
ZTIOSZJL,O,O,X,X,X,X,X,O,O
ZTIOZLJS,O,O,X,X,X,O,X,O,O
ZTIOZLSJ,O,O,X,X,X,O,X,O,X
ZTIOZJLS,O,O,X,X,X,O,X,O,O
ZTIOZJSL,O,O,X,O,X,O,X,O,O
ZTIOZSLJ,O,O,X,O,X,O,X,O,O
ZTIOZSJL,O,O,X,X,X,O,X,O,O
ZTLIJSZO,O,O,O,X,X,O,X,O,X
ZTLIJSOZ,X,X,O,X,X,X,O,O,X
ZTLIJZSO,O,O,O,X,X,O,X,O,X
ZTLIJZOS,O,O,O,X,X,O,X,O,O
ZTLIJOSZ,X,X,O,X,X,X,O,X,X
ZTLIJOZS,X,X,O,X,X,O,O,X,X
ZTLISJZO,O,O,O,O,X,X,X,O,X
ZTLISJOZ,X,X,O,X,X,X,O,O,X
ZTLISZJO,O,O,O,O,X,X,X,O,O
ZTLISZOJ,O,O,X,O,O,O,X,O,O
ZTLISOJZ,X,X,X,X,O,X,X,O,X
ZTLISOZJ,X,O,X,O,O,X,X,O,O
ZTLIZJSO,O,O,O,O,X,O,X,O,X
ZTLIZJOS,O,O,O,X,X,O,X,O,O
ZTLIZSJO,O,O,O,O,X,X,X,O,X
ZTLIZSOJ,O,O,X,O,X,O,X,O,X
ZTLIZOJS,O,O,X,X,X,O,X,O,O
ZTLIZOSJ,O,O,X,X,X,O,X,O,X
ZTLIOJSZ,O,X,X,X,O,X,X,X,X
ZTLIOJZS,O,X,X,X,X,O,X,X,X
ZTLIOSJZ,O,X,X,X,O,X,X,O,X
ZTLIOSZJ,O,O,X,X,O,X,X,O,O
ZTLIOZJS,O,O,X,X,X,O,X,O,O
ZTLIOZSJ,O,O,X,X,O,O,X,O,X
ZTLJISZO,O,O,O,O,X,O,X,O,X
ZTLJISOZ,X,X,O,O,X,X,O,O,X
ZTLJIZSO,O,O,O,O,X,O,X,O,X
ZTLJIZOS,O,O,O,X,X,O,X,O,O
ZTLJIOSZ,X,X,O,X,X,X,O,X,X
ZTLJIOZS,X,X,O,X,X,O,O,X,X
ZTLJSIZO,O,O,O,O,X,O,X,O,O
ZTLJSIOZ,X,X,O,O,X,X,O,O,O
ZTLJSZIO,O,O,O,O,X,O,X,O,O
ZTLJSZOI,O,O,O,O,O,O,O,O,O
ZTLJSOIZ,X,X,O,O,O,X,O,O,O
ZTLJSOZI,X,X,O,O,O,O,O,O,O
ZTLJZISO,O,O,O,O,X,O,X,O,X
ZTLJZIOS,O,O,O,X,X,O,X,O,O
ZTLJZSIO,O,O,O,O,X,O,X,O,O
ZTLJZSOI,O,O,O,O,X,O,O,O,O
ZTLJZOIS,O,O,O,X,X,O,O,O,O
ZTLJZOSI,O,O,O,X,X,O,O,O,O
ZTLJOISZ,X,X,O,X,O,X,O,X,X
ZTLJOIZS,X,X,O,X,X,O,O,X,X
ZTLJOSIZ,X,X,O,X,O,X,O,X,X
ZTLJOSZI,X,X,O,X,O,O,O,X,X
ZTLJOZIS,X,X,O,X,X,O,O,X,X
ZTLJOZSI,X,X,O,X,X,O,O,X,X
ZTLSIJZO,O,O,O,O,X,X,X,O,O
ZTLSIJOZ,X,X,O,O,X,X,O,O,O
ZTLSIZJO,O,O,O,O,X,X,X,O,O
ZTLSIZOJ,O,O,X,O,O,O,X,O,O
ZTLSIOJZ,X,X,X,X,O,X,X,O,O
ZTLSIOZJ,X,O,X,O,O,X,X,O,O
ZTLSJIZO,O,O,O,O,X,O,X,O,O
ZTLSJIOZ,X,X,O,O,X,X,O,O,O
ZTLSJZIO,O,O,O,O,X,O,X,O,O
ZTLSJZOI,O,O,O,O,O,O,O,O,O
ZTLSJOIZ,X,X,O,O,O,X,O,O,O
ZTLSJOZI,X,X,O,O,O,O,O,O,O
ZTLSZIJO,O,O,O,O,X,X,X,O,O
ZTLSZIOJ,O,O,X,O,O,O,X,O,O
ZTLSZJIO,O,O,O,O,X,O,X,O,O
ZTLSZJOI,O,O,O,O,O,O,O,O,O
ZTLSZOIJ,O,O,X,O,O,O,X,O,O
ZTLSZOJI,O,O,O,O,O,O,X,O,O
ZTLSOIJZ,X,O,X,X,O,X,X,O,O
ZTLSOIZJ,X,O,X,O,O,X,X,O,O
ZTLSOJIZ,X,O,O,O,O,X,O,O,O
ZTLSOJZI,X,O,O,O,O,O,O,O,O
ZTLSOZIJ,X,O,X,O,O,O,X,O,O
ZTLSOZJI,X,O,O,O,O,O,X,O,O
ZTLZIJSO,O,O,O,O,X,O,X,O,X
ZTLZIJOS,O,O,O,X,X,O,X,O,O
ZTLZISJO,O,O,O,O,X,X,X,O,X
ZTLZISOJ,O,O,X,O,X,O,X,O,X
ZTLZIOJS,O,O,X,X,X,O,X,O,O
ZTLZIOSJ,O,O,X,X,X,O,X,O,X
ZTLZJISO,O,O,O,O,X,O,X,O,X
ZTLZJIOS,O,O,O,X,X,O,X,O,O
ZTLZJSIO,O,O,O,O,X,O,X,O,O
ZTLZJSOI,O,O,O,O,X,O,O,O,O
ZTLZJOIS,O,O,O,X,X,O,O,O,O
ZTLZJOSI,O,O,O,X,X,O,O,O,O
ZTLZSIJO,O,O,O,O,X,X,X,O,O
ZTLZSIOJ,O,O,X,O,O,O,X,O,O
ZTLZSJIO,O,O,O,O,X,O,X,O,O
ZTLZSJOI,O,O,O,O,O,O,O,O,O
ZTLZSOIJ,O,O,X,O,O,O,X,O,O
ZTLZSOJI,O,O,O,O,O,O,X,O,O
ZTLZOIJS,O,O,X,X,X,O,X,O,O
ZTLZOISJ,O,O,X,X,O,O,X,O,X
ZTLZOJIS,O,O,O,X,X,O,X,O,O
ZTLZOJSI,O,O,O,X,X,O,X,O,O
ZTLZOSIJ,O,O,X,X,O,O,X,O,O
ZTLZOSJI,O,O,O,X,O,O,X,O,O
ZTLOIJSZ,O,O,X,X,O,X,X,X,X
ZTLOIJZS,O,O,X,X,X,O,X,X,X
ZTLOISJZ,O,O,X,X,O,X,X,O,X
ZTLOISZJ,O,O,X,X,O,X,X,O,O
ZTLOIZJS,O,O,X,X,X,O,X,O,O
ZTLOIZSJ,O,O,X,X,O,O,X,O,X
ZTLOJISZ,O,O,O,X,O,X,O,X,X
ZTLOJIZS,O,O,O,X,X,O,O,X,X
ZTLOJSIZ,O,O,O,X,O,X,O,X,X
ZTLOJSZI,O,O,O,X,O,O,O,X,X
ZTLOJZIS,O,O,O,X,X,O,O,X,X
ZTLOJZSI,O,O,O,X,X,O,O,X,X
ZTLOSIJZ,O,O,X,X,O,X,X,O,O
ZTLOSIZJ,O,O,X,X,O,X,X,O,O
ZTLOSJIZ,O,O,O,X,O,X,O,O,O
ZTLOSJZI,O,O,O,X,O,O,O,O,O
ZTLOSZIJ,O,O,X,X,O,O,X,O,O
ZTLOSZJI,O,O,O,X,O,O,X,O,O
ZTLOZIJS,O,O,X,X,X,O,X,O,O
ZTLOZISJ,O,O,X,X,O,O,X,O,X
ZTLOZJIS,O,O,O,X,X,O,X,O,O
ZTLOZJSI,O,O,O,X,X,O,X,O,O
ZTLOZSIJ,O,O,X,X,O,O,X,O,O
ZTLOZSJI,O,O,O,X,O,O,X,O,O
ZTJILSZO,O,X,O,O,X,O,X,O,X
ZTJILSOZ,X,X,O,O,X,X,O,O,X
ZTJILZSO,O,X,O,O,X,O,X,O,X
ZTJILZOS,O,X,O,X,X,O,X,O,O
ZTJILOSZ,X,X,O,X,X,X,O,X,X
ZTJILOZS,X,X,O,X,X,O,O,X,X
ZTJISLZO,O,X,O,O,X,O,X,O,O
ZTJISLOZ,X,X,O,O,X,X,O,O,O
ZTJISZLO,O,X,O,O,X,O,X,O,O
ZTJISZOL,O,X,O,O,X,O,X,O,O
ZTJISOLZ,X,X,O,O,X,X,X,O,X
ZTJISOZL,O,X,O,O,X,X,X,O,O
ZTJIZLSO,O,X,O,O,X,O,X,O,X
ZTJIZLOS,O,X,O,X,X,O,X,O,O
ZTJIZSLO,O,X,O,O,X,O,X,O,O
ZTJIZSOL,O,X,O,O,X,O,X,O,O
ZTJIZOLS,O,X,O,X,X,O,X,O,O
ZTJIZOSL,O,X,O,O,X,O,X,O,O
ZTJIOLSZ,O,X,O,O,X,X,X,X,X
ZTJIOLZS,O,X,O,O,X,O,X,X,X
ZTJIOSLZ,O,X,O,O,X,X,X,O,X
ZTJIOSZL,O,X,O,O,X,X,X,O,O
