sequence,v115@QhB8FeE8CeE8Je/EJvhFUgBGhBxiBNrBinBTqB,v115@QhB8FeE8CeE8JeT/IvhF/lBGhBxiBNrBinBUqB,v115@QhB8FeE8CeE8Je/EJvhFUgB9mBxiBinBzlB2vB,v115@QhB8FeE8CeE8JeT/IvhF9mBOnBXjBRqB0qBiqB,v115@QhB8FeE8CeE8Jem/IvhFtlBxhBXjB0kBzmByvB,v115@QhB8FeE8CeE8Je3AJvhF9mBxiB0kBinBzqBmpB
TILJSZO,O,X,O,O,X,X
TILJSOZ,O,X,O,O,X,X
TILJZSO,O,O,O,O,X,X
TILJZOS,O,O,X,O,X,X
TILJOSZ,O,X,O,O,X,O
TILJOZS,O,O,X,O,X,O
TILSJZO,O,X,O,O,X,X
TILSJOZ,O,X,O,O,X,X
TILSZJO,O,O,O,X,X,X
TILSZOJ,O,O,O,X,X,X
TILSOJZ,O,X,O,O,X,O
TILSOZJ,O,O,O,X,X,O
TILZJSO,O,O,O,X,X,X
TILZJOS,O,O,X,X,X,X
TILZSJO,O,O,O,X,X,X
TILZSOJ,O,O,O,X,X,X
TILZOJS,O,O,X,X,X,O
TILZOSJ,O,O,X,X,X,O
TILOJSZ,O,X,O,O,X,O
TILOJZS,O,O,X,O,X,O
TILOSJZ,O,X,O,O,X,O
TILOSZJ,O,O,O,X,X,O
TILOZJS,O,O,X,X,X,O
TILOZSJ,O,O,X,X,X,O
TIJLSZO,O,X,O,O,X,X
TIJLSOZ,O,X,O,O,X,X
TIJLZSO,O,X,O,O,X,X
TIJLZOS,O,X,X,O,X,X
TIJLOSZ,O,X,O,O,X,X
TIJLOZS,O,X,X,O,X,X
TIJSLZO,O,X,O,O,X,X
TIJSLOZ,O,X,O,O,X,X
TIJSZLO,O,X,O,O,X,X
TIJSZOL,O,X,X,O,X,X
TIJSOLZ,O,X,X,O,X,X
TIJSOZL,O,X,X,O,X,X
TIJZLSO,X,X,X,O,X,X
TIJZLOS,X,X,X,O,X,X
TIJZSLO,O,O,X,O,X,X
TIJZSOL,O,O,X,O,X,X
TIJZOLS,X,X,X,O,X,X
TIJZOSL,O,O,X,O,X,X
TIJOLSZ,O,X,X,O,X,X
TIJOLZS,O,X,X,O,X,X
TIJOSLZ,O,X,X,O,X,X
TIJOSZL,O,X,X,O,X,X
TIJOZLS,X,X,X,O,X,X
TIJOZSL,O,O,X,O,X,X
TISLJZO,O,X,O,O,X,X
TISLJOZ,O,X,O,O,X,X
TISLZJO,O,X,O,X,X,X
TISLZOJ,O,X,O,X,X,X
TISLOJZ,O,X,O,O,X,X
TISLOZJ,O,X,O,X,X,X
TISJLZO,O,X,O,O,X,X
TISJLOZ,O,X,O,O,X,X
TISJZLO,O,X,O,O,X,X
TISJZOL,O,X,X,O,X,X
TISJOLZ,O,X,X,O,X,X
TISJOZL,O,X,X,O,X,X
TISZLJO,O,O,O,X,X,X
TISZLOJ,O,O,O,X,X,X
TISZJLO,O,O,O,O,X,X
TISZJOL,O,O,X,O,X,X
TISZOLJ,O,O,X,X,X,X
TISZOJL,O,O,X,O,X,X
TISOLJZ,O,X,X,O,X,X
TISOLZJ,O,X,X,X,X,X
TISOJLZ,O,X,X,O,X,X
TISOJZL,O,X,X,O,X,X
TISOZLJ,O,O,X,X,X,X
TISOZJL,O,O,X,O,X,X
TIZLJSO,X,O,X,X,X,X
TIZLJOS,X,O,X,X,X,X
TIZLSJO,X,O,X,X,X,X
TIZLSOJ,X,O,X,X,X,X
TIZLOJS,X,O,X,X,X,O
TIZLOSJ,X,O,X,X,X,O
TIZJLSO,X,X,X,O,X,X
TIZJLOS,X,X,X,O,X,X
TIZJSLO,O,O,X,O,X,X
TIZJSOL,O,O,X,O,X,X
TIZJOLS,X,X,X,O,X,X
TIZJOSL,O,O,X,O,X,X
TIZSLJO,O,O,X,X,X,X
TIZSLOJ,X,O,X,X,X,X
TIZSJLO,O,O,X,O,X,X
TIZSJOL,O,O,X,O,X,X
TIZSOLJ,O,O,X,X,X,X
TIZSOJL,O,O,X,O,X,X
TIZOLJS,X,O,X,X,X,O
TIZOLSJ,X,O,X,X,X,O
TIZOJLS,X,X,X,O,X,X
TIZOJSL,O,O,X,O,X,X
TIZOSLJ,O,O,X,X,X,X
TIZOSJL,O,O,X,O,X,X
TIOLJSZ,O,X,X,O,X,O
TIOLJZS,O,O,X,O,X,O
TIOLSJZ,O,X,X,O,X,O
TIOLSZJ,O,O,X,X,X,O
TIOLZJS,O,O,X,X,X,O
TIOLZSJ,O,O,X,X,X,O
TIOJLSZ,O,X,X,O,X,X
TIOJLZS,O,X,X,O,X,X
TIOJSLZ,O,X,X,O,X,X
TIOJSZL,O,X,X,O,X,X
TIOJZLS,X,X,X,O,X,X
TIOJZSL,O,O,X,O,X,X
TIOSLJZ,O,X,X,O,X,O
TIOSLZJ,O,X,X,X,X,O
TIOSJLZ,O,X,X,O,X,X
TIOSJZL,O,X,X,O,X,X
TIOSZLJ,O,O,X,X,X,O
TIOSZJL,O,O,X,O,X,X
TIOZLJS,X,O,X,X,X,O
TIOZLSJ,X,O,X,X,X,O
TIOZJLS,X,X,X,O,X,X
TIOZJSL,O,O,X,O,X,X
TIOZSLJ,O,O,X,X,X,O
TIOZSJL,O,O,X,O,X,X
TLIJSZO,O,X,O,O,O,X
TLIJSOZ,O,X,O,O,X,X
TLIJZSO,O,O,O,O,O,X
TLIJZOS,O,O,X,O,O,X
TLIJOSZ,O,X,O,O,X,O
TLIJOZS,O,O,X,O,X,O
TLISJZO,O,X,O,O,O,X
TLISJOZ,O,X,O,O,X,X
TLISZJO,O,O,O,X,O,X
TLISZOJ,O,O,O,X,O,X
TLISOJZ,O,X,O,O,O,O
TLISOZJ,O,O,O,X,O,O
TLIZJSO,O,O,O,X,O,X
TLIZJOS,O,O,X,X,O,X
TLIZSJO,O,O,O,X,O,X
TLIZSOJ,O,O,O,X,O,X
TLIZOJS,O,O,X,X,O,O
TLIZOSJ,O,O,X,X,O,O
TLIOJSZ,O,X,O,O,O,O
TLIOJZS,O,O,X,O,O,O
TLIOSJZ,O,X,O,O,O,O
TLIOSZJ,O,O,O,X,O,O
TLIOZJS,O,O,X,X,O,O
TLIOZSJ,O,O,X,X,O,O
TLJISZO,O,X,O,O,O,X
TLJISOZ,O,X,O,O,X,X
TLJIZSO,O,O,O,O,O,X
TLJIZOS,O,O,X,O,O,X
TLJIOSZ,O,X,O,O,X,O
TLJIOZS,O,O,X,O,X,O
TLJSIZO,O,X,O,O,O,X
TLJSIOZ,O,X,O,O,X,X
TLJSZIO,O,X,O,X,O,X
TLJSZOI,O,X,O,X,O,X
TLJSOIZ,O,X,O,O,O,X
TLJSOZI,O,X,O,X,O,X
TLJZISO,O,O,O,X,O,X
TLJZIOS,O,O,X,X,O,X
TLJZSIO,O,O,O,X,O,X
TLJZSOI,O,O,O,X,O,X
TLJZOIS,O,O,X,X,O,X
TLJZOSI,O,O,X,X,O,X
TLJOISZ,O,X,O,O,O,O
TLJOIZS,O,O,X,O,O,O
TLJOSIZ,O,X,O,O,O,O
TLJOSZI,O,X,O,X,O,O
TLJOZIS,O,O,X,X,O,O
TLJOZSI,O,O,X,X,O,O
TLSIJZO,O,X,O,O,O,X
TLSIJOZ,O,X,O,O,X,X
TLSIZJO,O,O,O,X,O,X
TLSIZOJ,O,O,O,X,O,X
TLSIOJZ,O,X,O,O,O,O
TLSIOZJ,O,O,O,X,O,O
TLSJIZO,O,X,O,O,O,X
TLSJIOZ,O,X,O,O,X,X
TLSJZIO,O,X,O,X,O,X
TLSJZOI,O,X,O,X,O,X
TLSJOIZ,O,X,O,O,O,X
TLSJOZI,O,X,O,X,O,X
TLSZIJO,O,O,O,X,O,X
TLSZIOJ,O,O,O,X,O,X
TLSZJIO,O,O,O,X,O,X
TLSZJOI,O,O,O,X,O,X
TLSZOIJ,O,O,O,X,O,X
TLSZOJI,O,O,O,X,O,X
TLSOIJZ,O,X,O,O,O,O
TLSOIZJ,O,O,O,X,O,O
TLSOJIZ,O,X,O,O,O,O
TLSOJZI,O,X,O,X,O,O
TLSOZIJ,O,O,O,X,O,O
TLSOZJI,O,O,O,X,O,O
TLZIJSO,O,O,O,X,O,X
TLZIJOS,O,O,X,X,O,X
TLZISJO,O,O,O,X,O,X
TLZISOJ,O,O,O,X,O,X
TLZIOJS,O,O,X,X,O,O
TLZIOSJ,O,O,X,X,O,O
TLZJISO,O,O,O,X,O,X
TLZJIOS,O,O,X,X,O,X
TLZJSIO,O,O,O,X,O,X
TLZJSOI,O,O,O,X,O,X
TLZJOIS,O,O,X,X,O,X
TLZJOSI,O,O,X,X,O,X
TLZSIJO,O,O,O,X,O,X
TLZSIOJ,O,O,O,X,O,X
TLZSJIO,O,O,O,X,O,X
TLZSJOI,O,O,O,X,O,X
TLZSOIJ,O,O,O,X,O,X
TLZSOJI,O,O,O,X,O,X
TLZOIJS,O,O,X,X,O,O
TLZOISJ,O,O,X,X,O,O
TLZOJIS,O,O,X,X,O,O
TLZOJSI,O,O,X,X,O,O
TLZOSIJ,O,O,X,X,O,O
TLZOSJI,O,O,X,X,O,O
TLOIJSZ,O,X,O,O,O,O
TLOIJZS,O,O,X,O,O,O
TLOISJZ,O,X,O,O,O,O
TLOISZJ,O,O,O,X,O,O
TLOIZJS,O,O,X,X,O,O
TLOIZSJ,O,O,X,X,O,O
TLOJISZ,O,X,O,O,O,O
TLOJIZS,O,O,X,O,O,O
TLOJSIZ,O,X,O,O,O,O
TLOJSZI,O,X,O,X,O,O
TLOJZIS,O,O,X,X,O,O
TLOJZSI,O,O,X,X,O,O
TLOSIJZ,O,X,O,O,O,O
TLOSIZJ,O,O,O,X,O,O
TLOSJIZ,O,X,O,O,O,O
TLOSJZI,O,X,O,X,O,O
TLOSZIJ,O,O,O,X,O,O
TLOSZJI,O,O,O,X,O,O
TLOZIJS,O,O,X,X,O,O
TLOZISJ,O,O,X,X,O,O
TLOZJIS,O,O,X,X,O,O
TLOZJSI,O,O,X,X,O,O
TLOZSIJ,O,O,X,X,O,O
TLOZSJI,O,O,X,X,O,O
TJILSZO,O,X,O,O,X,X
TJILSOZ,O,X,O,O,X,X
TJILZSO,O,X,O,O,X,X
TJILZOS,O,X,X,O,X,X
TJILOSZ,O,X,O,O,X,X
TJILOZS,O,X,X,O,X,X
TJISLZO,O,X,O,O,X,X
TJISLOZ,O,X,O,O,X,X
TJISZLO,O,X,O,O,X,X
TJISZOL,O,X,X,O,X,X
TJISOLZ,O,X,X,O,X,X
TJISOZL,O,X,X,O,X,X
TJIZLSO,X,X,X,O,X,X
TJIZLOS,X,X,X,O,X,X
TJIZSLO,O,O,X,O,X,X
TJIZSOL,O,O,X,O,X,X
TJIZOLS,X,X,X,O,X,X
TJIZOSL,O,O,X,O,X,X
TJIOLSZ,O,X,X,O,X,X
TJIOLZS,O,X,X,O,X,X
TJIOSLZ,O,X,X,O,X,X
TJIOSZL,O,X,X,O,X,X
TJIOZLS,X,X,X,O,X,X
TJIOZSL,O,O,X,O,X,X
TJLISZO,O,X,O,O,X,X
TJLISOZ,O,X,O,O,X,X
TJLIZSO,O,O,O,O,X,X
TJLIZOS,O,O,X,O,X,X
TJLIOSZ,O,X,O,O,X,O
TJLIOZS,O,O,X,O,X,O
