sequence,v115@vhGfGJ0hB5oBKpBznBSwB2xB,v115@vhGZ/IukBSoBUnByuBXrBTtB,v115@vhG2/I5oBTkBUnBatByuBXrB,v115@vhGZ/IKjBukB3mBcsByuBTtB,v115@vhGcAJTfBxnBipBSvB3rBGtB,v115@vhGcAJ6kBKpBxnBTqB3rBGtB,v115@vhGT1I6kBKpBcqB3mB+tBRwB,v115@vhGT1IZkB0lBmmBftB6tBSwB,v115@vhGT1IZkB6qBOrB8rBftB6tB,v115@vhGZEJfmBumBzkBctBSvBywB,v115@vhGOEJUjBRlB3pBCrBSxBTtB
comments,L-01/Hold Z,L-02/SZ Bridge,L-02-1/SZ Bridge Alt,L-03/SZ Chair,L-04/LL Box,L-04-1/LL Box Alt,L-05/LL Box TKI,L-06/STSD,L-06-1/STSD Alt,L-07/LL Train,L-08/LL Chain
TILJSZO,O,X,X,X,X,X,O,X,X,O,X
TILJSOZ,O,X,X,X,X,X,O,X,X,O,X
TILJZSO,O,X,X,X,X,X,O,X,X,O,X
TILJZOS,O,X,X,X,X,X,O,X,X,O,X
TILJOSZ,O,X,X,X,X,X,O,X,X,O,X
TILJOZS,O,X,X,X,X,X,O,X,X,O,X
TILSJZO,O,X,X,X,X,X,O,O,X,O,X
TILSJOZ,O,X,X,X,X,X,O,O,X,O,X
TILSZJO,O,X,X,X,X,X,O,O,O,O,X
TILSZOJ,X,X,O,X,X,X,O,O,O,O,X
TILSOJZ,X,X,O,X,X,X,O,O,X,O,X
TILSOZJ,X,X,O,X,X,X,O,O,O,O,X
TILZJSO,O,X,X,X,X,X,O,X,X,O,X
TILZJOS,O,X,X,X,X,X,O,X,X,O,X
TILZSJO,O,X,X,X,X,X,O,O,X,O,X
TILZSOJ,X,X,X,X,X,X,O,O,X,O,X
TILZOJS,X,X,X,X,X,X,O,X,X,O,X
TILZOSJ,X,X,X,X,X,X,O,O,X,O,X
TILOJSZ,X,X,O,X,X,X,O,X,X,O,X
TILOJZS,X,X,X,X,X,X,O,X,X,O,X
TILOSJZ,X,X,O,X,X,X,O,O,X,O,X
TILOSZJ,X,X,O,X,X,X,O,O,O,O,X
TILOZJS,X,X,X,X,X,X,O,X,X,O,X
TILOZSJ,X,X,X,X,X,X,O,O,X,O,X
TIJLSZO,O,X,X,X,X,X,O,X,X,O,X
TIJLSOZ,O,X,X,X,X,X,O,X,X,O,X
TIJLZSO,O,X,X,X,X,X,O,X,X,O,X
TIJLZOS,O,X,X,X,X,X,O,X,X,O,X
TIJLOSZ,O,X,X,X,X,X,O,X,X,O,X
TIJLOZS,O,X,X,X,X,X,O,X,X,O,X
TIJSLZO,O,X,X,X,X,X,O,O,X,O,X
TIJSLOZ,O,X,X,X,X,X,O,O,X,O,X
TIJSZLO,O,X,X,X,X,X,O,O,X,O,X
TIJSZOL,O,O,X,X,X,X,X,O,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,O,X,X,X
TIJSOZL,O,O,X,X,X,X,X,O,X,X,X
TIJZLSO,O,X,X,X,X,X,O,X,X,O,X
TIJZLOS,O,X,X,X,X,X,O,X,X,O,X
TIJZSLO,O,X,X,X,X,X,O,O,O,O,X
TIJZSOL,O,X,X,O,X,X,X,O,O,X,X
TIJZOLS,O,X,X,O,X,X,X,X,X,X,X
TIJZOSL,O,X,X,O,X,X,X,O,O,X,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,X,X,O,X,X,X
TIJOSZL,O,O,X,X,X,X,X,O,X,X,X
TIJOZLS,O,X,X,O,X,X,X,X,X,X,X
TIJOZSL,O,X,X,O,X,X,X,O,O,X,X
TISLJZO,O,X,X,X,X,X,O,O,X,O,X
TISLJOZ,O,X,X,X,X,X,O,O,X,O,X
TISLZJO,O,X,X,X,X,X,O,O,O,O,X
TISLZOJ,X,X,O,X,X,X,O,O,O,O,X
TISLOJZ,X,X,O,X,X,X,O,O,X,O,X
TISLOZJ,X,X,O,X,X,X,O,O,O,O,X
TISJLZO,O,X,X,X,X,X,O,O,X,O,X
TISJLOZ,O,X,X,X,X,X,O,O,X,O,X
TISJZLO,O,X,X,X,X,X,O,O,X,O,X
TISJZOL,O,O,X,X,X,X,X,O,X,X,X
TISJOLZ,O,O,X,X,X,X,X,O,X,X,X
TISJOZL,O,O,X,X,X,X,X,O,X,X,X
TISZLJO,O,X,X,X,X,X,O,O,O,O,X
TISZLOJ,X,X,O,X,X,X,O,O,O,O,X
TISZJLO,O,X,X,X,X,X,O,O,O,O,X
TISZJOL,O,O,X,X,X,X,X,O,O,X,X
TISZOLJ,X,O,O,X,X,X,X,O,O,O,X
TISZOJL,X,O,O,X,X,X,X,O,O,X,X
TISOLJZ,X,O,O,X,X,X,X,O,X,O,X
TISOLZJ,X,O,O,X,X,X,X,O,O,O,X
TISOJLZ,X,O,O,X,X,X,X,O,X,X,X
TISOJZL,X,O,O,X,X,X,X,O,X,X,X
TISOZLJ,X,O,O,X,X,X,X,O,O,O,X
TISOZJL,X,O,O,X,X,X,X,O,O,X,X
TIZLJSO,O,X,X,X,X,X,O,X,X,O,X
TIZLJOS,O,X,X,X,X,X,O,X,X,O,X
TIZLSJO,O,X,X,X,X,X,O,O,X,O,X
TIZLSOJ,X,X,X,X,X,X,O,O,X,O,X
TIZLOJS,X,X,X,X,X,X,O,X,X,O,X
TIZLOSJ,X,X,X,X,X,X,O,O,X,O,X
TIZJLSO,O,X,X,X,X,X,O,X,X,O,X
TIZJLOS,O,X,X,X,X,X,O,X,X,O,X
TIZJSLO,O,X,X,X,X,X,O,O,O,O,X
TIZJSOL,O,X,X,O,X,X,X,O,O,X,X
TIZJOLS,O,X,X,O,X,X,X,X,X,X,X
TIZJOSL,O,X,X,O,X,X,X,O,O,X,X
TIZSLJO,O,X,X,X,X,X,O,O,O,O,X
TIZSLOJ,X,X,X,X,X,X,O,O,O,O,X
TIZSJLO,O,X,X,X,X,X,O,O,O,O,X
TIZSJOL,O,X,X,O,X,X,X,O,O,X,X
TIZSOLJ,X,X,X,O,X,X,X,O,O,O,X
TIZSOJL,X,X,X,O,X,X,X,O,O,X,X
TIZOLJS,X,X,X,O,X,X,X,X,X,O,X
TIZOLSJ,X,X,X,O,X,X,X,O,X,O,X
TIZOJLS,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,O,X,X,X,O,O,X,X
TIZOSLJ,X,X,X,O,X,X,X,O,O,O,X
TIZOSJL,X,X,X,O,X,X,X,O,O,X,X
TIOLJSZ,X,O,O,X,X,X,X,X,X,O,X
