sequence,v115@ThB8EeF8AeD8Jem/IvhFRhB3iBcoBTkBFmBCsB,v115@ThB8EeF8AeD8Jem/IvhFfmB0hBxiBTkBFoBCsB,v115@ThB8EeF8AeD8Jex/IvhFlhB3iBcoBTkBmlBCsB,v115@ThB8EeF8AeD8Jex/IvhFlhBCjBTkBmlB8rBXtB,v115@ThB8EeF8AeD8Je2EJvhFqnBTjBRmB3kBFmB8rB,v115@ThB8EeF8AeD8Jei/IvhFWmBxhBTjB3kB0nBlrB,v115@ThB8EeF8AeD8Jei/IvhFzgBRiBcoB3kBGnBlrB,v115@ThB8EeF8AeD8JeOEJvhF8kBzgBCiBxnBXoBlrB
TJZISLO,X,X,X,X,X,O,O,X
TJZISOL,O,X,X,X,X,O,O,X
TJZIOLS,X,X,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,O,O,X
TJZLISO,O,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,O,O,X
TJZSIOL,O,X,X,X,X,O,O,X
TJZSLIO,X,X,X,X,X,O,O,X
TJZSLOI,X,X,X,X,X,O,O,X
TJZSOIL,X,X,X,X,X,O,O,X
TJZSOLI,X,X,X,X,X,O,O,X
TJZOILS,X,X,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,O,O,X
TJZOLIS,X,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,O,O,X
TJZOSLI,X,X,X,X,X,O,O,X
TJOILSZ,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,O,X,X
TJOISZL,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,O,X,X
TJOSIZL,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,O,X,X
TJOSLZI,X,X,X,X,X,X,O,X
TJOSZIL,X,X,X,X,X,X,O,X
TJOSZLI,X,X,X,X,X,X,O,X
TJOZILS,X,X,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X,O,X
TJOZLIS,X,X,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,O,X
TJOZSLI,X,X,X,X,X,X,O,X
TSILJZO,X,O,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X
TSILZJO,X,O,X,X,X,X,X,X
TSILZOJ,X,O,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,X,X,X
TSILOZJ,X,O,X,X,X,X,X,X
TSIJLZO,X,O,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X,X,X
TSIZJOL,X,O,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,X
TSIOLZJ,X,O,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X
TSIOZJL,X,O,X,X,X,X,X,X
TSLIJZO,X,O,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,X
TSLIZJO,X,O,X,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,X,X,X
TSLJIZO,X,O,X,X,X,O,X,X
TSLJIOZ,X,X,X,X,X,O,X,X
TSLJZIO,X,O,X,X,X,O,O,X
TSLJZOI,X,X,X,X,X,O,O,X
TSLJOIZ,X,X,X,X,X,O,X,X
TSLJOZI,X,X,X,X,X,X,O,X
TSLZIJO,X,O,X,X,X,O,O,X
TSLZIOJ,X,O,X,X,X,O,O,X
TSLZJIO,X,O,X,X,X,O,O,X
TSLZJOI,X,X,X,X,X,O,O,X
TSLZOIJ,X,O,X,X,X,O,O,X
TSLZOJI,X,O,X,X,X,O,O,X
TSLOIJZ,X,O,X,X,X,X,X,X
TSLOIZJ,X,O,X,X,X,X,X,X
TSLOJIZ,X,O,X,X,X,O,X,X
TSLOJZI,X,O,X,X,X,X,O,X
TSLOZIJ,X,O,X,X,X,X,O,X
TSLOZJI,X,O,X,X,X,X,O,X
TSJILZO,X,O,X,X,X,O,X,X
TSJILOZ,X,X,X,X,X,O,X,X
TSJIZLO,X,X,X,X,X,O,X,X
TSJIZOL,X,O,X,X,X,O,X,X
TSJIOLZ,X,X,X,X,X,O,X,X
TSJIOZL,X,X,X,X,X,X,X,X
TSJLIZO,X,O,X,X,X,O,X,X
TSJLIOZ,X,X,X,X,X,O,X,X
TSJLZIO,X,O,X,X,X,O,O,X
TSJLZOI,X,X,X,X,X,O,O,X
TSJLOIZ,X,X,X,X,X,O,X,X
TSJLOZI,X,X,X,X,X,X,O,X
TSJZILO,X,X,X,X,X,O,O,X
TSJZIOL,X,O,X,X,X,O,O,X
TSJZLIO,X,X,X,X,X,O,O,X
TSJZLOI,X,X,X,X,X,O,O,X
TSJZOIL,X,X,X,X,X,O,O,X
TSJZOLI,X,X,X,X,X,O,O,X
TSJOILZ,X,X,X,X,X,O,X,X
TSJOIZL,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,O,X,X
TSJOLZI,X,X,X,X,X,X,O,X
TSJOZIL,X,X,X,X,X,X,O,X
TSJOZLI,X,X,X,X,X,X,O,X
TSZILJO,X,X,X,X,X,O,O,X
TSZILOJ,X,X,X,X,X,O,O,X
TSZIJLO,X,X,X,X,X,O,O,X
TSZIJOL,X,O,X,X,X,O,O,X
TSZIOLJ,X,X,X,X,X,O,O,X
TSZIOJL,X,O,X,X,X,O,X,X
TSZLIJO,X,X,X,X,X,O,O,X
TSZLIOJ,X,X,X,X,X,O,O,X
TSZLJIO,X,X,X,X,X,O,O,X
TSZLJOI,X,X,X,X,X,O,O,X
TSZLOIJ,X,X,X,X,X,O,O,X
TSZLOJI,X,X,X,X,X,O,O,X
TSZJILO,X,X,X,X,X,O,O,X
TSZJIOL,X,O,X,X,X,O,O,X
TSZJLIO,X,X,X,X,X,O,O,X
TSZJLOI,X,X,X,X,X,O,O,X
TSZJOIL,X,X,X,X,X,O,O,X
TSZJOLI,X,X,X,X,X,O,O,X
TSZOILJ,X,X,X,X,X,O,O,X
TSZOIJL,X,O,X,X,X,O,X,X
TSZOLIJ,X,X,X,X,X,O,O,X
TSZOLJI,X,X,X,X,X,O,O,X
TSZOJIL,X,O,X,X,X,O,O,X
TSZOJLI,X,X,X,X,X,O,O,X
TSOILJZ,X,O,X,X,X,X,X,X
TSOILZJ,X,O,X,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X
TSOIZJL,X,O,X,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,X,X
TSOLIZJ,X,O,X,X,X,X,X,X
TSOLJIZ,X,O,X,X,X,O,X,X
TSOLJZI,X,O,X,X,X,X,O,X
TSOLZIJ,X,O,X,X,X,X,O,X
TSOLZJI,X,O,X,X,X,X,O,X
TSOJILZ,X,O,X,X,X,O,X,X
TSOJIZL,X,O,X,X,X,X,X,X
TSOJLIZ,X,O,X,X,X,O,X,X
TSOJLZI,X,O,X,X,X,X,O,X
TSOJZIL,X,O,X,X,X,X,O,X
TSOJZLI,X,X,X,X,X,X,O,X
TSOZILJ,X,X,X,X,X,X,O,X
TSOZIJL,X,O,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,X,X,O,X
TSOZLJI,X,X,X,X,X,X,O,X
TSOZJIL,X,O,X,X,X,X,O,X
TSOZJLI,X,X,X,X,X,X,O,X
TZILJSO,X,X,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X,X,O
TZILSJO,X,X,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X,X,O
TZILOSJ,X,X,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X,X,O
TZIJSLO,X,X,X,X,X,O,O,X
TZIJSOL,O,X,X,X,X,O,O,X
TZIJOLS,X,X,X,X,X,X,X,O
TZIJOSL,X,X,X,X,X,O,O,X
TZISLJO,X,X,X,X,X,O,O,X
TZISLOJ,X,X,X,X,X,O,O,X
TZISJLO,X,X,X,X,X,O,O,X
TZISJOL,O,X,X,X,X,O,O,X
TZISOLJ,X,X,X,X,X,O,O,X
TZISOJL,O,X,X,X,X,O,X,X
TZIOLJS,X,X,X,X,X,X,X,O
TZIOLSJ,X,X,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X,X,O
TZIOJSL,O,X,X,X,X,O,X,X
TZIOSLJ,X,X,X,X,X,O,O,X
TZIOSJL,O,X,X,X,X,O,X,X
TZLIJSO,O,X,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X,X,O
TZLISJO,O,X,X,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X,X,X
TZLIOJS,O,X,X,X,X,X,X,O
TZLIOSJ,O,X,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X,X,X
TZLJIOS,X,X,X,X,X,X,X,O
TZLJSIO,O,X,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,X,X,O
TZLJOSI,X,X,X,X,X,X,X,X
TZLSIJO,O,X,X,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X,X,X
TZLSJIO,O,X,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X,X,X
TZLSOJI,O,X,X,X,X,X,X,X
TZLOIJS,O,X,X,X,X,X,X,O
TZLOISJ,O,X,X,X,X,X,X,X
TZLOJIS,O,X,X,X,X,X,X,O
TZLOJSI,O,X,X,X,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X
TZLOSJI,O,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,X,X,X
TZJILOS,X,X,X,X,X,X,X,O
TZJISLO,X,X,X,X,X,O,O,X
TZJISOL,O,X,X,X,X,O,O,X
TZJIOLS,X,X,X,X,X,X,X,O
TZJIOSL,X,X,X,X,X,O,O,X
TZJLISO,O,X,X,X,X,X,X,X
TZJLIOS,X,X,X,X,X,X,X,O
TZJLSIO,O,X,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X,X,X
TZJLOIS,X,X,X,X,X,X,X,O
TZJLOSI,X,X,X,X,X,X,X,X
TZJSILO,X,X,X,X,X,O,O,X
TZJSIOL,O,X,X,X,X,O,O,X
TZJSLIO,X,X,X,X,X,O,O,X
TZJSLOI,X,X,X,X,X,O,O,X
TZJSOIL,X,X,X,X,X,O,O,X
TZJSOLI,X,X,X,X,X,O,O,X
TZJOILS,X,X,X,X,X,X,X,O
TZJOISL,X,X,X,X,X,O,O,X
TZJOLIS,X,X,X,X,X,X,X,O
TZJOLSI,X,X,X,X,X,X,X,X
TZJOSIL,X,X,X,X,X,O,O,X
TZJOSLI,X,X,X,X,X,O,O,X
TZSILJO,X,X,X,X,X,O,O,X
