sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
ITZSLJO,O,X,O,X
ITZSLOJ,O,X,O,X
ITZSJLO,O,X,O,X
ITZSJOL,O,X,X,X
ITZSOLJ,O,X,X,X
ITZSOJL,O,X,X,X
ITZOLJS,O,O,O,X
ITZOLSJ,O,X,O,X
ITZOJLS,O,O,O,X
ITZOJSL,O,O,X,X
ITZOSLJ,O,X,X,X
ITZOSJL,O,X,X,X
ITOLJSZ,X,O,X,O
ITOLJZS,O,O,X,O
ITOLSJZ,X,O,O,X
ITOLSZJ,O,X,O,X
ITOLZJS,O,O,O,X
ITOLZSJ,O,X,O,X
ITOJLSZ,X,O,X,O
ITOJLZS,O,O,X,O
ITOJSLZ,X,O,X,O
ITOJSZL,X,O,X,O
ITOJZLS,O,O,X,O
ITOJZSL,O,O,X,O
ITOSLJZ,X,O,X,X
ITOSLZJ,O,X,X,X
ITOSJLZ,X,O,X,X
ITOSJZL,X,O,X,X
ITOSZLJ,O,X,X,X
ITOSZJL,O,X,X,X
ITOZLJS,O,O,O,X
ITOZLSJ,O,X,O,X
ITOZJLS,O,O,O,X
ITOZJSL,O,O,X,X
ITOZSLJ,O,X,X,X
ITOZSJL,O,X,X,X
ILTJSZO,X,O,O,O
ILTJSOZ,X,O,O,O
ILTJZSO,O,O,O,O
ILTJZOS,O,O,O,O
ILTJOSZ,X,O,X,O
ILTJOZS,O,O,X,O
ILTSJZO,X,O,O,O
ILTSJOZ,X,O,O,O
ILTSZJO,O,X,O,X
ILTSZOJ,O,X,O,X
ILTSOJZ,X,O,O,X
ILTSOZJ,O,X,O,X
ILTZJSO,O,O,O,O
ILTZJOS,O,O,O,O
ILTZSJO,O,X,O,X
ILTZSOJ,O,X,O,X
ILTZOJS,O,O,O,X
ILTZOSJ,O,X,O,X
ILTOJSZ,X,O,X,O
ILTOJZS,O,O,X,O
ILTOSJZ,X,O,O,X
ILTOSZJ,O,X,O,X
ILTOZJS,O,O,O,X
ILTOZSJ,O,X,O,X
ILJTSZO,X,O,O,O
ILJTSOZ,X,O,O,O
ILJTZSO,O,O,O,O
ILJTZOS,O,O,O,O
ILJTOSZ,X,O,X,O
ILJTOZS,O,O,X,O
ILJSTZO,X,O,O,O
ILJSTOZ,X,O,O,O
ILJSZTO,X,O,O,O
ILJSZOT,X,O,O,O
ILJSOTZ,X,O,O,O
ILJSOZT,X,O,O,O
ILJZTSO,O,O,O,O
ILJZTOS,O,O,O,O
ILJZSTO,O,O,O,O
ILJZSOT,O,O,O,O
ILJZOTS,O,O,O,O
ILJZOST,O,O,O,O
ILJOTSZ,X,O,X,O
ILJOTZS,O,O,X,O
ILJOSTZ,X,O,X,O
ILJOSZT,X,O,X,O
ILJOZTS,O,O,X,O
ILJOZST,O,O,X,O
ILSTJZO,X,O,O,O
ILSTJOZ,X,O,O,O
ILSTZJO,O,X,O,X
ILSTZOJ,O,X,O,X
ILSTOJZ,X,O,O,X
ILSTOZJ,O,X,O,X
ILSJTZO,X,O,O,O
ILSJTOZ,X,O,O,O
ILSJZTO,X,O,O,O
ILSJZOT,X,O,O,O
ILSJOTZ,X,O,O,O
ILSJOZT,X,O,O,O
ILSZTJO,O,X,O,X
ILSZTOJ,O,X,O,X
ILSZJTO,O,X,O,X
ILSZJOT,O,X,O,X
ILSZOTJ,O,X,O,X
ILSZOJT,O,X,O,X
ILSOTJZ,X,O,O,X
ILSOTZJ,O,X,O,X
ILSOJTZ,X,O,O,X
ILSOJZT,X,O,O,X
ILSOZTJ,O,X,O,X
ILSOZJT,O,X,O,X
ILZTJSO,O,O,O,O
ILZTJOS,O,O,O,O
ILZTSJO,O,X,O,X
ILZTSOJ,O,X,O,X
ILZTOJS,O,O,O,X
ILZTOSJ,O,X,O,X
ILZJTSO,O,O,O,O
ILZJTOS,O,O,O,O
ILZJSTO,O,O,O,O
ILZJSOT,O,O,O,O
ILZJOTS,O,O,O,O
ILZJOST,O,O,O,O
ILZSTJO,O,X,O,X
ILZSTOJ,O,X,O,X
ILZSJTO,O,X,O,X
ILZSJOT,O,X,O,X
ILZSOTJ,O,X,O,X
ILZSOJT,O,X,O,X
ILZOTJS,O,O,O,X
ILZOTSJ,O,X,O,X
ILZOJTS,O,O,O,X
ILZOJST,O,O,O,X
ILZOSTJ,O,X,O,X
ILZOSJT,O,X,O,X
ILOTJSZ,X,O,X,O
ILOTJZS,O,O,X,O
ILOTSJZ,X,O,O,X
ILOTSZJ,O,X,O,X
ILOTZJS,O,O,O,X
ILOTZSJ,O,X,O,X
ILOJTSZ,X,O,X,O
ILOJTZS,O,O,X,O
ILOJSTZ,X,O,X,O
ILOJSZT,X,O,X,O
ILOJZTS,O,O,X,O
ILOJZST,O,O,X,O
ILOSTJZ,X,O,O,X
ILOSTZJ,O,X,O,X
ILOSJTZ,X,O,O,X
ILOSJZT,X,O,O,X
ILOSZTJ,O,X,O,X
ILOSZJT,O,X,O,X
ILOZTJS,O,O,O,X
ILOZTSJ,O,X,O,X
ILOZJTS,O,O,O,X
ILOZJST,O,O,O,X
ILOZSTJ,O,X,O,X
ILOZSJT,O,X,O,X
IJTLSZO,X,O,O,O
IJTLSOZ,X,O,O,O
IJTLZSO,O,O,O,O
IJTLZOS,O,O,O,O
IJTLOSZ,X,O,X,O
IJTLOZS,O,O,X,O
IJTSLZO,X,O,X,O
IJTSLOZ,X,O,X,O
IJTSZLO,X,O,X,O
IJTSZOL,X,O,X,O
IJTSOLZ,X,O,X,O
IJTSOZL,X,O,X,O
IJTZLSO,O,O,O,O
IJTZLOS,O,O,O,O
IJTZSLO,O,O,O,O
IJTZSOL,O,O,X,O
IJTZOLS,O,O,O,O
IJTZOSL,O,O,X,O
IJTOLSZ,X,O,X,O
IJTOLZS,O,O,X,O
IJTOSLZ,X,O,X,O
IJTOSZL,X,O,X,O
IJTOZLS,O,O,X,O
IJTOZSL,O,O,X,O
IJLTSZO,X,O,O,O
IJLTSOZ,X,O,O,O
IJLTZSO,O,O,O,O
IJLTZOS,O,O,O,O
IJLTOSZ,X,O,X,O
IJLTOZS,O,O,X,O
IJLSTZO,X,O,O,O
IJLSTOZ,X,O,O,O
IJLSZTO,X,O,O,O
IJLSZOT,X,O,O,O
IJLSOTZ,X,O,O,O
IJLSOZT,X,O,O,O
IJLZTSO,O,O,O,O
IJLZTOS,O,O,O,O
IJLZSTO,O,O,O,O
IJLZSOT,O,O,O,O
IJLZOTS,O,O,O,O
IJLZOST,O,O,O,O
IJLOTSZ,X,O,X,O
IJLOTZS,O,O,X,O
IJLOSTZ,X,O,X,O
IJLOSZT,X,O,X,O
IJLOZTS,O,O,X,O
IJLOZST,O,O,X,O
IJSTLZO,X,O,X,O
IJSTLOZ,X,O,X,O
IJSTZLO,X,O,X,O
IJSTZOL,X,O,X,O
IJSTOLZ,X,O,X,O
IJSTOZL,X,O,X,O
IJSLTZO,X,O,X,O
IJSLTOZ,X,O,X,O
IJSLZTO,X,O,X,O
IJSLZOT,X,O,X,O
IJSLOTZ,X,O,X,O
IJSLOZT,X,O,X,O
IJSZTLO,X,O,X,O
IJSZTOL,X,O,X,O
IJSZLTO,X,O,X,O
IJSZLOT,X,O,X,O
IJSZOTL,X,O,X,O
IJSZOLT,X,O,X,O
IJSOTLZ,X,O,X,O
IJSOTZL,X,O,X,O
IJSOLTZ,X,O,X,O
IJSOLZT,X,O,X,O
IJSOZTL,X,O,X,O
IJSOZLT,X,O,X,O
IJZTLSO,O,O,O,O
IJZTLOS,O,O,O,O
IJZTSLO,O,O,O,O
IJZTSOL,O,O,X,O
IJZTOLS,O,O,O,O
IJZTOSL,O,O,X,O
IJZLTSO,O,O,O,O
IJZLTOS,O,O,O,O
IJZLSTO,O,O,O,O
IJZLSOT,O,O,O,O
IJZLOTS,O,O,O,O
IJZLOST,O,O,O,O
IJZSTLO,O,O,O,O
IJZSTOL,O,O,X,O
IJZSLTO,O,O,O,O
IJZSLOT,O,O,O,O
IJZSOTL,O,O,X,O
IJZSOLT,O,O,X,O
IJZOTLS,O,O,O,O
IJZOTSL,O,O,X,O
IJZOLTS,O,O,O,O
IJZOLST,O,O,O,O
IJZOSTL,O,O,X,O
IJZOSLT,O,O,X,O
IJOTLSZ,X,O,X,O
IJOTLZS,O,O,X,O
IJOTSLZ,X,O,X,O
IJOTSZL,X,O,X,O
IJOTZLS,O,O,X,O
IJOTZSL,O,O,X,O
IJOLTSZ,X,O,X,O
IJOLTZS,O,O,X,O
IJOLSTZ,X,O,X,O
IJOLSZT,X,O,X,O
IJOLZTS,O,O,X,O
IJOLZST,O,O,X,O
IJOSTLZ,X,O,X,O
IJOSTZL,X,O,X,O
IJOSLTZ,X,O,X,O
IJOSLZT,X,O,X,O
IJOSZTL,X,O,X,O
IJOSZLT,X,O,X,O
IJOZTLS,O,O,X,O
IJOZTSL,O,O,X,O
IJOZLTS,O,O,X,O
IJOZLST,O,O,X,O
IJOZSTL,O,O,X,O
IJOZSLT,O,O,X,O
ISTLJZO,X,O,O,O
ISTLJOZ,X,O,O,O
ISTLZJO,O,X,O,X
ISTLZOJ,O,X,O,X
ISTLOJZ,X,O,O,X
ISTLOZJ,O,X,O,X
ISTJLZO,X,O,X,O
ISTJLOZ,X,O,X,O
ISTJZLO,X,O,X,O
ISTJZOL,X,O,X,O
ISTJOLZ,X,O,X,O
ISTJOZL,X,O,X,O
ISTZLJO,O,X,O,X
ISTZLOJ,O,X,O,X
ISTZJLO,O,X,O,X
ISTZJOL,O,X,X,X
ISTZOLJ,O,X,X,X
ISTZOJL,O,X,X,X
ISTOLJZ,X,O,X,X
ISTOLZJ,O,X,X,X
ISTOJLZ,X,O,X,X
ISTOJZL,X,O,X,X
ISTOZLJ,O,X,X,X
ISTOZJL,O,X,X,X
ISLTJZO,X,O,O,O
ISLTJOZ,X,O,O,O
ISLTZJO,O,X,O,X
ISLTZOJ,O,X,O,X
ISLTOJZ,X,O,O,X
ISLTOZJ,O,X,O,X
ISLJTZO,X,O,O,O
ISLJTOZ,X,O,O,O
ISLJZTO,X,O,O,O
ISLJZOT,X,O,O,O
ISLJOTZ,X,O,O,O
ISLJOZT,X,O,O,O
ISLZTJO,O,X,O,X
ISLZTOJ,O,X,O,X
ISLZJTO,O,X,O,X
ISLZJOT,O,X,O,X
ISLZOTJ,O,X,O,X
ISLZOJT,O,X,O,X
ISLOTJZ,X,O,O,X
ISLOTZJ,O,X,O,X
ISLOJTZ,X,O,O,X
ISLOJZT,X,O,O,X
ISLOZTJ,O,X,O,X
ISLOZJT,O,X,O,X
ISJTLZO,X,O,X,O
ISJTLOZ,X,O,X,O
ISJTZLO,X,O,X,O
ISJTZOL,X,O,X,O
ISJTOLZ,X,O,X,O
ISJTOZL,X,O,X,O
ISJLTZO,X,O,X,O
ISJLTOZ,X,O,X,O
ISJLZTO,X,O,X,O
ISJLZOT,X,O,X,O
ISJLOTZ,X,O,X,O
ISJLOZT,X,O,X,O
ISJZTLO,X,O,X,O
ISJZTOL,X,O,X,O
ISJZLTO,X,O,X,O
ISJZLOT,X,O,X,O
ISJZOTL,X,O,X,O
ISJZOLT,X,O,X,O
ISJOTLZ,X,O,X,O
ISJOTZL,X,O,X,O
ISJOLTZ,X,O,X,O
ISJOLZT,X,O,X,O
ISJOZTL,X,O,X,O
ISJOZLT,X,O,X,O
ISZTLJO,O,X,O,X
ISZTLOJ,O,X,O,X
ISZTJLO,O,X,O,X
ISZTJOL,O,X,X,X
ISZTOLJ,O,X,X,X
ISZTOJL,O,X,X,X
ISZLTJO,O,X,O,X
ISZLTOJ,O,X,O,X
ISZLJTO,O,X,O,X
ISZLJOT,O,X,O,X
ISZLOTJ,O,X,O,X
ISZLOJT,O,X,O,X
ISZJTLO,O,X,O,X
ISZJTOL,O,X,X,X
ISZJLTO,O,X,O,X
ISZJLOT,O,X,O,X
ISZJOTL,O,X,X,X
ISZJOLT,O,X,X,X
ISZOTLJ,O,X,X,X
ISZOTJL,O,X,X,X
ISZOLTJ,O,X,X,X
ISZOLJT,O,X,X,X
ISZOJTL,O,X,X,X
ISZOJLT,O,X,X,X
ISOTLJZ,X,O,X,X
ISOTLZJ,O,X,X,X
ISOTJLZ,X,O,X,X
ISOTJZL,X,O,X,X
ISOTZLJ,O,X,X,X
ISOTZJL,O,X,X,X
ISOLTJZ,X,O,X,X
ISOLTZJ,O,X,X,X
ISOLJTZ,X,O,X,X
ISOLJZT,X,O,X,X
ISOLZTJ,O,X,X,X
ISOLZJT,O,X,X,X
ISOJTLZ,X,O,X,X
ISOJTZL,X,O,X,X
ISOJLTZ,X,O,X,X
ISOJLZT,X,O,X,X
ISOJZTL,X,O,X,X
ISOJZLT,X,O,X,X
ISOZTLJ,O,X,X,X
ISOZTJL,O,X,X,X
ISOZLTJ,O,X,X,X
ISOZLJT,O,X,X,X
ISOZJTL,O,X,X,X
ISOZJLT,O,X,X,X
IZTLJSO,O,O,O,O
IZTLJOS,O,O,O,O
IZTLSJO,O,X,O,X
IZTLSOJ,O,X,O,X
IZTLOJS,O,O,O,X
IZTLOSJ,O,X,O,X
IZTJLSO,O,O,O,O
IZTJLOS,O,O,O,O
IZTJSLO,O,O,O,O
IZTJSOL,O,O,X,O
IZTJOLS,O,O,O,O
IZTJOSL,O,O,X,O
IZTSLJO,O,X,O,X
IZTSLOJ,O,X,O,X
IZTSJLO,O,X,O,X
IZTSJOL,O,X,X,X
IZTSOLJ,O,X,X,X
IZTSOJL,O,X,X,X
IZTOLJS,O,O,O,X
IZTOLSJ,O,X,O,X
IZTOJLS,O,O,O,X
IZTOJSL,O,O,X,X
IZTOSLJ,O,X,X,X
IZTOSJL,O,X,X,X
IZLTJSO,O,O,O,O
IZLTJOS,O,O,O,O
IZLTSJO,O,X,O,X
IZLTSOJ,O,X,O,X
IZLTOJS,O,O,O,X
IZLTOSJ,O,X,O,X
IZLJTSO,O,O,O,O
IZLJTOS,O,O,O,O
IZLJSTO,O,O,O,O
IZLJSOT,O,O,O,O
IZLJOTS,O,O,O,O
IZLJOST,O,O,O,O
IZLSTJO,O,X,O,X
IZLSTOJ,O,X,O,X
IZLSJTO,O,X,O,X
IZLSJOT,O,X,O,X
IZLSOTJ,O,X,O,X
IZLSOJT,O,X,O,X
IZLOTJS,O,O,O,X
IZLOTSJ,O,X,O,X
IZLOJTS,O,O,O,X
IZLOJST,O,O,O,X
IZLOSTJ,O,X,O,X
IZLOSJT,O,X,O,X
IZJTLSO,O,O,O,O
IZJTLOS,O,O,O,O
IZJTSLO,O,O,O,O
IZJTSOL,O,O,X,O
IZJTOLS,O,O,O,O
IZJTOSL,O,O,X,O
IZJLTSO,O,O,O,O
IZJLTOS,O,O,O,O
IZJLSTO,O,O,O,O
IZJLSOT,O,O,O,O
IZJLOTS,O,O,O,O
IZJLOST,O,O,O,O
IZJSTLO,O,O,O,O
IZJSTOL,O,O,X,O
IZJSLTO,O,O,O,O
IZJSLOT,O,O,O,O
IZJSOTL,O,O,X,O
IZJSOLT,O,O,X,O
IZJOTLS,O,O,O,O
IZJOTSL,O,O,X,O
IZJOLTS,O,O,O,O
IZJOLST,O,O,O,O
IZJOSTL,O,O,X,O
IZJOSLT,O,O,X,O
IZSTLJO,O,X,O,X
IZSTLOJ,O,X,O,X
IZSTJLO,O,X,O,X
IZSTJOL,O,X,X,X
IZSTOLJ,O,X,X,X
IZSTOJL,O,X,X,X
IZSLTJO,O,X,O,X
IZSLTOJ,O,X,O,X
IZSLJTO,O,X,O,X
IZSLJOT,O,X,O,X
IZSLOTJ,O,X,O,X
IZSLOJT,O,X,O,X
IZSJTLO,O,X,O,X
IZSJTOL,O,X,X,X
IZSJLTO,O,X,O,X
IZSJLOT,O,X,O,X
IZSJOTL,O,X,X,X
IZSJOLT,O,X,X,X
IZSOTLJ,O,X,X,X
IZSOTJL,O,X,X,X
IZSOLTJ,O,X,X,X
IZSOLJT,O,X,X,X
IZSOJTL,O,X,X,X
IZSOJLT,O,X,X,X
IZOTLJS,O,O,O,X
IZOTLSJ,O,X,O,X
IZOTJLS,O,O,O,X
IZOTJSL,O,O,X,X
IZOTSLJ,O,X,X,X
IZOTSJL,O,X,X,X
IZOLTJS,O,O,O,X
IZOLTSJ,O,X,O,X
IZOLJTS,O,O,O,X
IZOLJST,O,O,O,X
IZOLSTJ,O,X,O,X
IZOLSJT,O,X,O,X
IZOJTLS,O,O,O,X
IZOJTSL,O,O,X,X
IZOJLTS,O,O,O,X
IZOJLST,O,O,O,X
IZOJSTL,O,O,X,X
IZOJSLT,O,O,X,X
IZOSTLJ,O,X,X,X
IZOSTJL,O,X,X,X
IZOSLTJ,O,X,X,X
IZOSLJT,O,X,X,X
IZOSJTL,O,X,X,X
IZOSJLT,O,X,X,X
IOTLJSZ,X,O,X,O
IOTLJZS,O,O,X,O
IOTLSJZ,X,O,O,X
IOTLSZJ,O,X,O,X
IOTLZJS,O,O,O,X
IOTLZSJ,O,X,O,X
IOTJLSZ,X,O,X,O
IOTJLZS,O,O,X,O
IOTJSLZ,X,O,X,O
IOTJSZL,X,O,X,O
IOTJZLS,O,O,X,O
IOTJZSL,O,O,X,O
IOTSLJZ,X,O,X,X
IOTSLZJ,O,X,X,X
IOTSJLZ,X,O,X,X
IOTSJZL,X,O,X,X
IOTSZLJ,O,X,X,X
IOTSZJL,O,X,X,X
IOTZLJS,O,O,O,X
IOTZLSJ,O,X,O,X
IOTZJLS,O,O,O,X
IOTZJSL,O,O,X,X
IOTZSLJ,O,X,X,X
IOTZSJL,O,X,X,X
IOLTJSZ,X,O,X,O
IOLTJZS,O,O,X,O
IOLTSJZ,X,O,O,X
IOLTSZJ,O,X,O,X
IOLTZJS,O,O,O,X
IOLTZSJ,O,X,O,X
IOLJTSZ,X,O,X,O
IOLJTZS,O,O,X,O
IOLJSTZ,X,O,X,O
IOLJSZT,X,O,X,O
IOLJZTS,O,O,X,O
IOLJZST,O,O,X,O
IOLSTJZ,X,O,O,X
IOLSTZJ,O,X,O,X
IOLSJTZ,X,O,O,X
IOLSJZT,X,O,O,X
IOLSZTJ,O,X,O,X
IOLSZJT,O,X,O,X
IOLZTJS,O,O,O,X
IOLZTSJ,O,X,O,X
IOLZJTS,O,O,O,X
IOLZJST,O,O,O,X
IOLZSTJ,O,X,O,X
IOLZSJT,O,X,O,X
IOJTLSZ,X,O,X,O
IOJTLZS,O,O,X,O
IOJTSLZ,X,O,X,O
IOJTSZL,X,O,X,O
IOJTZLS,O,O,X,O
IOJTZSL,O,O,X,O
IOJLTSZ,X,O,X,O
IOJLTZS,O,O,X,O
IOJLSTZ,X,O,X,O
IOJLSZT,X,O,X,O
IOJLZTS,O,O,X,O
IOJLZST,O,O,X,O
IOJSTLZ,X,O,X,O
IOJSTZL,X,O,X,O
IOJSLTZ,X,O,X,O
IOJSLZT,X,O,X,O
IOJSZTL,X,O,X,O
IOJSZLT,X,O,X,O
IOJZTLS,O,O,X,O
IOJZTSL,O,O,X,O
IOJZLTS,O,O,X,O
IOJZLST,O,O,X,O
IOJZSTL,O,O,X,O
IOJZSLT,O,O,X,O
IOSTLJZ,X,O,X,X
IOSTLZJ,O,X,X,X
IOSTJLZ,X,O,X,X
IOSTJZL,X,O,X,X
IOSTZLJ,O,X,X,X
IOSTZJL,O,X,X,X
IOSLTJZ,X,O,X,X
IOSLTZJ,O,X,X,X
IOSLJTZ,X,O,X,X
IOSLJZT,X,O,X,X
IOSLZTJ,O,X,X,X
IOSLZJT,O,X,X,X
IOSJTLZ,X,O,X,X
IOSJTZL,X,O,X,X
IOSJLTZ,X,O,X,X
IOSJLZT,X,O,X,X
IOSJZTL,X,O,X,X
IOSJZLT,X,O,X,X
IOSZTLJ,O,X,X,X
IOSZTJL,O,X,X,X
IOSZLTJ,O,X,X,X
IOSZLJT,O,X,X,X
IOSZJTL,O,X,X,X
IOSZJLT,O,X,X,X
IOZTLJS,O,O,O,X
IOZTLSJ,O,X,O,X
IOZTJLS,O,O,O,X
IOZTJSL,O,O,X,X
IOZTSLJ,O,X,X,X
IOZTSJL,O,X,X,X
IOZLTJS,O,O,O,X
IOZLTSJ,O,X,O,X
IOZLJTS,O,O,O,X
IOZLJST,O,O,O,X
IOZLSTJ,O,X,O,X
IOZLSJT,O,X,O,X
IOZJTLS,O,O,O,X
IOZJTSL,O,O,X,X
IOZJLTS,O,O,O,X
IOZJLST,O,O,O,X
IOZJSTL,O,O,X,X
IOZJSLT,O,O,X,X
IOZSTLJ,O,X,X,X
IOZSTJL,O,X,X,X
IOZSLTJ,O,X,X,X
IOZSLJT,O,X,X,X
IOZSJTL,O,X,X,X
IOZSJLT,O,X,X,X
LTIJSZO,X,O,O,O
LTIJSOZ,X,O,O,O
LTIJZSO,O,O,O,O
LTIJZOS,O,O,O,O
LTIJOSZ,X,O,X,O
LTIJOZS,O,O,X,O
LTISJZO,X,O,O,O
LTISJOZ,X,O,O,O
LTISZJO,O,X,O,X
LTISZOJ,O,X,O,X
LTISOJZ,X,O,O,X
LTISOZJ,O,X,O,X
LTIZJSO,O,O,O,O
LTIZJOS,O,O,O,O
LTIZSJO,O,X,O,X
LTIZSOJ,O,X,O,X
LTIZOJS,O,O,O,X
LTIZOSJ,O,X,O,X
LTIOJSZ,X,O,X,O
LTIOJZS,O,O,X,O
LTIOSJZ,X,O,O,X
LTIOSZJ,O,X,O,X
LTIOZJS,O,O,O,X
LTIOZSJ,O,X,O,X
LTJISZO,X,O,O,O
LTJISOZ,X,O,O,O
LTJIZSO,O,O,O,O
LTJIZOS,O,O,O,O
LTJIOSZ,X,O,X,O
LTJIOZS,O,O,X,O
LTJSIZO,X,O,O,O
LTJSIOZ,X,O,O,O
LTJSZIO,X,O,O,O
LTJSZOI,X,O,O,O
LTJSOIZ,X,O,O,O
LTJSOZI,X,O,O,O
LTJZISO,O,O,O,O
LTJZIOS,O,O,O,O
LTJZSIO,O,O,O,O
LTJZSOI,O,O,O,O
LTJZOIS,O,O,O,O
LTJZOSI,O,O,O,O
LTJOISZ,X,O,X,O
LTJOIZS,O,O,X,O
LTJOSIZ,X,O,X,O
LTJOSZI,X,O,X,O
LTJOZIS,O,O,X,O
LTJOZSI,O,O,X,O
LTSIJZO,X,O,O,O
LTSIJOZ,X,O,O,O
LTSIZJO,O,X,O,X
LTSIZOJ,O,X,O,X
LTSIOJZ,X,O,O,X
LTSIOZJ,O,X,O,X
LTSJIZO,X,O,O,O
LTSJIOZ,X,O,O,O
LTSJZIO,X,O,O,O
LTSJZOI,X,O,O,O
LTSJOIZ,X,O,O,O
LTSJOZI,X,O,O,O
LTSZIJO,O,X,O,X
LTSZIOJ,O,X,O,X
LTSZJIO,O,X,O,X
LTSZJOI,O,X,O,X
LTSZOIJ,O,X,O,X
LTSZOJI,O,X,O,X
LTSOIJZ,X,O,O,X
LTSOIZJ,O,X,O,X
LTSOJIZ,X,O,O,X
LTSOJZI,X,O,O,X
LTSOZIJ,O,X,O,X
LTSOZJI,O,X,O,X
LTZIJSO,O,O,O,O
LTZIJOS,O,O,O,O
LTZISJO,O,X,O,X
LTZISOJ,O,X,O,X
LTZIOJS,O,O,O,X
LTZIOSJ,O,X,O,X
LTZJISO,O,O,O,O
LTZJIOS,O,O,O,O
LTZJSIO,O,O,O,O
LTZJSOI,O,O,O,O
LTZJOIS,O,O,O,O
LTZJOSI,O,O,O,O
LTZSIJO,O,X,O,X
LTZSIOJ,O,X,O,X
LTZSJIO,O,X,O,X
LTZSJOI,O,X,O,X
LTZSOIJ,O,X,O,X
LTZSOJI,O,X,O,X
LTZOIJS,O,O,O,X
LTZOISJ,O,X,O,X
LTZOJIS,O,O,O,X
LTZOJSI,O,O,O,X
LTZOSIJ,O,X,O,X
LTZOSJI,O,X,O,X
LTOIJSZ,X,O,X,O
LTOIJZS,O,O,X,O
LTOISJZ,X,O,O,X
LTOISZJ,O,X,O,X
LTOIZJS,O,O,O,X
LTOIZSJ,O,X,O,X
LTOJISZ,X,O,X,O
LTOJIZS,O,O,X,O
LTOJSIZ,X,O,X,O
LTOJSZI,X,O,X,O
LTOJZIS,O,O,X,O
LTOJZSI,O,O,X,O
LTOSIJZ,X,O,O,X
LTOSIZJ,O,X,O,X
LTOSJIZ,X,O,O,X
LTOSJZI,X,O,O,X
LTOSZIJ,O,X,O,X
LTOSZJI,O,X,O,X
LTOZIJS,O,O,O,X
LTOZISJ,O,X,O,X
LTOZJIS,O,O,O,X
LTOZJSI,O,O,O,X
LTOZSIJ,O,X,O,X
LTOZSJI,O,X,O,X
LITJSZO,X,O,O,O
LITJSOZ,X,O,O,O
LITJZSO,O,O,O,O
LITJZOS,O,O,O,O
LITJOSZ,X,O,X,O
LITJOZS,O,O,X,O
LITSJZO,X,O,O,O
LITSJOZ,X,O,O,O
LITSZJO,O,X,O,X
LITSZOJ,O,X,O,X
LITSOJZ,X,O,O,X
LITSOZJ,O,X,O,X
LITZJSO,O,O,O,O
LITZJOS,O,O,O,O
LITZSJO,O,X,O,X
LITZSOJ,O,X,O,X
LITZOJS,O,O,O,X
LITZOSJ,O,X,O,X
LITOJSZ,X,O,X,O
LITOJZS,O,O,X,O
LITOSJZ,X,O,O,X
LITOSZJ,O,X,O,X
LITOZJS,O,O,O,X
LITOZSJ,O,X,O,X
LIJTSZO,X,O,O,O
LIJTSOZ,X,O,O,O
LIJTZSO,O,O,O,O
LIJTZOS,O,O,O,O
LIJTOSZ,X,O,X,O
LIJTOZS,O,O,X,O
LIJSTZO,X,O,O,O
LIJSTOZ,X,O,O,O
LIJSZTO,X,O,O,O
LIJSZOT,X,O,O,O
LIJSOTZ,X,O,O,O
LIJSOZT,X,O,O,O
LIJZTSO,O,O,O,O
LIJZTOS,O,O,O,O
LIJZSTO,O,O,O,O
LIJZSOT,O,O,O,O
LIJZOTS,O,O,O,O
LIJZOST,O,O,O,O
LIJOTSZ,X,O,X,O
LIJOTZS,O,O,X,O
LIJOSTZ,X,O,X,O
LIJOSZT,X,O,X,O
LIJOZTS,O,O,X,O
LIJOZST,O,O,X,O
LISTJZO,X,O,O,O
LISTJOZ,X,O,O,O
LISTZJO,O,X,O,X
LISTZOJ,O,X,O,X
LISTOJZ,X,O,O,X
LISTOZJ,O,X,O,X
LISJTZO,X,O,O,O
LISJTOZ,X,O,O,O
LISJZTO,X,O,O,O
LISJZOT,X,O,O,O
LISJOTZ,X,O,O,O
LISJOZT,X,O,O,O
LISZTJO,O,X,O,X
LISZTOJ,O,X,O,X
LISZJTO,O,X,O,X
LISZJOT,O,X,O,X
LISZOTJ,O,X,O,X
LISZOJT,O,X,O,X
LISOTJZ,X,O,O,X
LISOTZJ,O,X,O,X
LISOJTZ,X,O,O,X
LISOJZT,X,O,O,X
LISOZTJ,O,X,O,X
LISOZJT,O,X,O,X
LIZTJSO,O,O,O,O
LIZTJOS,O,O,O,O
LIZTSJO,O,X,O,X
LIZTSOJ,O,X,O,X
LIZTOJS,O,O,O,X
LIZTOSJ,O,X,O,X
LIZJTSO,O,O,O,O
LIZJTOS,O,O,O,O
LIZJSTO,O,O,O,O
LIZJSOT,O,O,O,O
LIZJOTS,O,O,O,O
LIZJOST,O,O,O,O
LIZSTJO,O,X,O,X
LIZSTOJ,O,X,O,X
LIZSJTO,O,X,O,X
LIZSJOT,O,X,O,X
LIZSOTJ,O,X,O,X
LIZSOJT,O,X,O,X
LIZOTJS,O,O,O,X
LIZOTSJ,O,X,O,X
LIZOJTS,O,O,O,X
