sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
TLSOIJZ,X,O,O,X
TLSOIZJ,O,X,O,X
TLSOJIZ,X,O,O,X
TLSOJZI,X,O,O,X
TLSOZIJ,O,X,O,X
TLSOZJI,O,X,O,X
TLZIJSO,O,O,O,O
TLZIJOS,O,O,O,O
TLZISJO,O,X,O,X
TLZISOJ,O,X,O,X
TLZIOJS,O,O,O,X
TLZIOSJ,O,X,O,X
TLZJISO,O,O,O,O
TLZJIOS,O,O,O,O
TLZJSIO,O,O,O,O
TLZJSOI,O,O,O,O
TLZJOIS,O,O,O,O
TLZJOSI,O,O,O,O
TLZSIJO,O,X,O,X
TLZSIOJ,O,X,O,X
TLZSJIO,O,X,O,X
TLZSJOI,O,X,O,X
TLZSOIJ,O,X,O,X
TLZSOJI,O,X,O,X
TLZOIJS,O,O,O,X
TLZOISJ,O,X,O,X
TLZOJIS,O,O,O,X
TLZOJSI,O,O,O,X
TLZOSIJ,O,X,O,X
TLZOSJI,O,X,O,X
TLOIJSZ,X,O,X,O
TLOIJZS,O,O,X,O
TLOISJZ,X,O,O,X
TLOISZJ,O,X,O,X
TLOIZJS,O,O,O,X
TLOIZSJ,O,X,O,X
TLOJISZ,X,O,X,O
TLOJIZS,O,O,X,O
TLOJSIZ,X,O,X,O
TLOJSZI,X,O,X,O
TLOJZIS,O,O,X,O
TLOJZSI,O,O,X,O
TLOSIJZ,X,O,O,X
TLOSIZJ,O,X,O,X
TLOSJIZ,X,O,O,X
TLOSJZI,X,O,O,X
TLOSZIJ,O,X,O,X
TLOSZJI,O,X,O,X
TLOZIJS,O,O,O,X
TLOZISJ,O,X,O,X
TLOZJIS,O,O,O,X
TLOZJSI,O,O,O,X
TLOZSIJ,O,X,O,X
TLOZSJI,O,X,O,X
TJILSZO,X,O,O,O
TJILSOZ,X,O,O,O
TJILZSO,O,O,O,O
TJILZOS,O,O,O,O
TJILOSZ,X,O,X,O
TJILOZS,O,O,X,O
TJISLZO,X,O,X,O
TJISLOZ,X,O,X,O
TJISZLO,X,O,X,O
TJISZOL,X,O,X,O
TJISOLZ,X,O,X,O
TJISOZL,X,O,X,O
TJIZLSO,O,O,O,O
TJIZLOS,O,O,O,O
TJIZSLO,O,O,O,O
TJIZSOL,O,O,X,O
TJIZOLS,O,O,O,O
TJIZOSL,O,O,X,O
TJIOLSZ,X,O,X,O
TJIOLZS,O,O,X,O
TJIOSLZ,X,O,X,O
TJIOSZL,X,O,X,O
TJIOZLS,O,O,X,O
TJIOZSL,O,O,X,O
TJLISZO,X,O,O,O
TJLISOZ,X,O,O,O
TJLIZSO,O,O,O,O
TJLIZOS,O,O,O,O
TJLIOSZ,X,O,X,O
TJLIOZS,O,O,X,O
TJLSIZO,X,O,O,O
TJLSIOZ,X,O,O,O
TJLSZIO,X,O,O,O
TJLSZOI,X,O,O,O
TJLSOIZ,X,O,O,O
TJLSOZI,X,O,O,O
TJLZISO,O,O,O,O
TJLZIOS,O,O,O,O
TJLZSIO,O,O,O,O
TJLZSOI,O,O,O,O
TJLZOIS,O,O,O,O
TJLZOSI,O,O,O,O
TJLOISZ,X,O,X,O
TJLOIZS,O,O,X,O
TJLOSIZ,X,O,X,O
TJLOSZI,X,O,X,O
TJLOZIS,O,O,X,O
TJLOZSI,O,O,X,O
TJSILZO,X,O,X,O
TJSILOZ,X,O,X,O
TJSIZLO,X,O,X,O
TJSIZOL,X,O,X,O
TJSIOLZ,X,O,X,O
TJSIOZL,X,O,X,O
TJSLIZO,X,O,X,O
TJSLIOZ,X,O,X,O
TJSLZIO,X,O,X,O
TJSLZOI,X,O,X,O
TJSLOIZ,X,O,X,O
TJSLOZI,X,O,X,O
TJSZILO,X,O,X,O
TJSZIOL,X,O,X,O
TJSZLIO,X,O,X,O
TJSZLOI,X,O,X,O
TJSZOIL,X,O,X,O
TJSZOLI,X,O,X,O
TJSOILZ,X,O,X,O
TJSOIZL,X,O,X,O
TJSOLIZ,X,O,X,O
TJSOLZI,X,O,X,O
TJSOZIL,X,O,X,O
TJSOZLI,X,O,X,O
TJZILSO,O,O,O,O
TJZILOS,O,O,O,O
TJZISLO,O,O,O,O
TJZISOL,O,O,X,O
TJZIOLS,O,O,O,O
TJZIOSL,O,O,X,O
TJZLISO,O,O,O,O
TJZLIOS,O,O,O,O
TJZLSIO,O,O,O,O
TJZLSOI,O,O,O,O
TJZLOIS,O,O,O,O
TJZLOSI,O,O,O,O
TJZSILO,O,O,O,O
TJZSIOL,O,O,X,O
TJZSLIO,O,O,O,O
TJZSLOI,O,O,O,O
TJZSOIL,O,O,X,O
TJZSOLI,O,O,X,O
TJZOILS,O,O,O,O
TJZOISL,O,O,X,O
TJZOLIS,O,O,O,O
TJZOLSI,O,O,O,O
TJZOSIL,O,O,X,O
TJZOSLI,O,O,X,O
TJOILSZ,X,O,X,O
TJOILZS,O,O,X,O
TJOISLZ,X,O,X,O
TJOISZL,X,O,X,O
TJOIZLS,O,O,X,O
TJOIZSL,O,O,X,O
TJOLISZ,X,O,X,O
TJOLIZS,O,O,X,O
TJOLSIZ,X,O,X,O
TJOLSZI,X,O,X,O
TJOLZIS,O,O,X,O
TJOLZSI,O,O,X,O
TJOSILZ,X,O,X,O
TJOSIZL,X,O,X,O
TJOSLIZ,X,O,X,O
TJOSLZI,X,O,X,O
TJOSZIL,X,O,X,O
TJOSZLI,X,O,X,O
TJOZILS,O,O,X,O
TJOZISL,O,O,X,O
TJOZLIS,O,O,X,O
TJOZLSI,O,O,X,O
TJOZSIL,O,O,X,O
TJOZSLI,O,O,X,O
TSILJZO,X,O,O,O
TSILJOZ,X,O,O,O
TSILZJO,O,X,O,X
TSILZOJ,O,X,O,X
TSILOJZ,X,O,O,X
TSILOZJ,O,X,O,X
TSIJLZO,X,O,X,O
TSIJLOZ,X,O,X,O
TSIJZLO,X,O,X,O
TSIJZOL,X,O,X,O
TSIJOLZ,X,O,X,O
TSIJOZL,X,O,X,O
TSIZLJO,O,X,O,X
TSIZLOJ,O,X,O,X
TSIZJLO,O,X,O,X
TSIZJOL,O,X,X,X
TSIZOLJ,O,X,X,X
TSIZOJL,O,X,X,X
TSIOLJZ,X,O,X,X
TSIOLZJ,O,X,X,X
TSIOJLZ,X,O,X,X
TSIOJZL,X,O,X,X
TSIOZLJ,O,X,X,X
TSIOZJL,O,X,X,X
TSLIJZO,X,O,O,O
TSLIJOZ,X,O,O,O
TSLIZJO,O,X,O,X
TSLIZOJ,O,X,O,X
TSLIOJZ,X,O,O,X
TSLIOZJ,O,X,O,X
TSLJIZO,X,O,O,O
TSLJIOZ,X,O,O,O
TSLJZIO,X,O,O,O
TSLJZOI,X,O,O,O
TSLJOIZ,X,O,O,O
TSLJOZI,X,O,O,O
TSLZIJO,O,X,O,X
TSLZIOJ,O,X,O,X
TSLZJIO,O,X,O,X
TSLZJOI,O,X,O,X
TSLZOIJ,O,X,O,X
TSLZOJI,O,X,O,X
TSLOIJZ,X,O,O,X
TSLOIZJ,O,X,O,X
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,O,X
TSLOZIJ,O,X,O,X
TSLOZJI,O,X,O,X
TSJILZO,X,O,X,O
TSJILOZ,X,O,X,O
TSJIZLO,X,O,X,O
TSJIZOL,X,O,X,O
TSJIOLZ,X,O,X,O
TSJIOZL,X,O,X,O
TSJLIZO,X,O,X,O
TSJLIOZ,X,O,X,O
TSJLZIO,X,O,X,O
TSJLZOI,X,O,X,O
TSJLOIZ,X,O,X,O
TSJLOZI,X,O,X,O
TSJZILO,X,O,X,O
TSJZIOL,X,O,X,O
TSJZLIO,X,O,X,O
TSJZLOI,X,O,X,O
TSJZOIL,X,O,X,O
TSJZOLI,X,O,X,O
TSJOILZ,X,O,X,O
TSJOIZL,X,O,X,O
TSJOLIZ,X,O,X,O
TSJOLZI,X,O,X,O
TSJOZIL,X,O,X,O
TSJOZLI,X,O,X,O
TSZILJO,O,X,O,X
TSZILOJ,O,X,O,X
TSZIJLO,O,X,O,X
TSZIJOL,O,X,X,X
TSZIOLJ,O,X,X,X
TSZIOJL,O,X,X,X
TSZLIJO,O,X,O,X
TSZLIOJ,O,X,O,X
TSZLJIO,O,X,O,X
TSZLJOI,O,X,O,X
TSZLOIJ,O,X,O,X
TSZLOJI,O,X,O,X
TSZJILO,O,X,O,X
TSZJIOL,O,X,X,X
TSZJLIO,O,X,O,X
TSZJLOI,O,X,O,X
TSZJOIL,O,X,X,X
TSZJOLI,O,X,X,X
TSZOILJ,O,X,X,X
TSZOIJL,O,X,X,X
