sequence,v115@ShA8EeC8AeC8AeE8JeZEJvhFflBumBcnBTjBarBlqB,v115@ShA8EeC8AeC8AeE8JeZEJvhFflB0gBSnBTjBmmBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFWlB3hBcnBTjBilBFrB,v115@ShA8EeC8AeC8AeE8Je3BJvhFcnBTjBxkBOpBilBFrB
TILJSZO,X,O,X,X
TILJSOZ,X,O,X,X
TILJZSO,X,X,O,X
TILJZOS,X,X,O,X
TILJOSZ,X,O,X,X
TILJOZS,X,X,O,X
TILSJZO,X,O,X,X
TILSJOZ,X,O,X,X
TILSZJO,O,O,X,X
TILSZOJ,O,O,X,X
TILSOJZ,X,O,X,X
TILSOZJ,O,O,X,X
TILZJSO,O,X,O,X
TILZJOS,O,X,O,X
TILZSJO,O,O,O,X
TILZSOJ,O,O,O,O
TILZOJS,O,X,O,X
TILZOSJ,O,O,O,O
TILOJSZ,X,O,X,X
TILOJZS,X,X,O,X
TILOSJZ,X,O,X,X
TILOSZJ,O,O,X,X
TILOZJS,O,X,O,X
TILOZSJ,O,O,O,O
TIJLSZO,X,O,X,X
TIJLSOZ,X,O,X,X
TIJLZSO,X,X,O,X
TIJLZOS,X,X,O,X
TIJLOSZ,X,O,X,X
TIJLOZS,X,X,O,X
TIJSLZO,X,O,X,X
TIJSLOZ,X,O,X,X
TIJSZLO,X,O,O,X
TIJSZOL,X,O,O,X
TIJSOLZ,X,O,X,X
TIJSOZL,X,O,O,X
TIJZLSO,X,X,O,X
TIJZLOS,X,X,O,X
TIJZSLO,X,X,O,X
TIJZSOL,X,X,O,O
TIJZOLS,X,X,O,X
TIJZOSL,X,X,O,O
TIJOLSZ,X,O,X,X
TIJOLZS,X,X,O,X
TIJOSLZ,X,O,X,X
TIJOSZL,X,O,O,X
TIJOZLS,X,X,O,X
TIJOZSL,X,X,O,O
TISLJZO,X,O,X,X
TISLJOZ,X,O,X,X
TISLZJO,O,O,X,X
TISLZOJ,O,O,X,X
TISLOJZ,X,O,X,X
TISLOZJ,O,O,X,X
TISJLZO,X,O,X,X
TISJLOZ,X,O,X,X
TISJZLO,X,O,O,X
TISJZOL,X,O,O,X
TISJOLZ,X,O,X,X
TISJOZL,X,O,O,X
TISZLJO,O,O,O,X
TISZLOJ,O,O,O,O
TISZJLO,O,O,O,X
TISZJOL,O,O,O,O
TISZOLJ,O,O,O,O
TISZOJL,O,O,O,O
TISOLJZ,X,O,X,X
TISOLZJ,O,O,X,X
TISOJLZ,X,O,X,X
TISOJZL,X,O,O,X
TISOZLJ,O,O,O,O
TISOZJL,O,O,O,O
TIZLJSO,O,X,O,X
TIZLJOS,O,X,O,X
TIZLSJO,O,O,O,X
TIZLSOJ,O,O,O,O
TIZLOJS,O,X,O,X
TIZLOSJ,O,O,O,O
TIZJLSO,O,X,O,X
TIZJLOS,O,X,O,X
TIZJSLO,O,X,O,X
TIZJSOL,O,X,O,O
TIZJOLS,O,X,O,X
TIZJOSL,O,X,O,O
TIZSLJO,O,O,O,X
TIZSLOJ,O,O,O,O
TIZSJLO,O,O,O,X
TIZSJOL,O,O,O,O
TIZSOLJ,O,O,O,O
TIZSOJL,O,O,O,O
TIZOLJS,O,X,O,X
TIZOLSJ,O,O,O,O
TIZOJLS,O,X,O,X
TIZOJSL,O,X,O,O
TIZOSLJ,O,O,O,O
TIZOSJL,O,O,O,O
TIOLJSZ,X,O,X,X
TIOLJZS,X,X,O,X
TIOLSJZ,X,O,X,X
TIOLSZJ,O,O,X,X
TIOLZJS,O,X,O,X
TIOLZSJ,O,O,O,O
TIOJLSZ,X,O,X,X
TIOJLZS,X,X,O,X
TIOJSLZ,X,O,X,X
TIOJSZL,X,O,O,X
TIOJZLS,X,X,O,X
TIOJZSL,X,X,O,O
TIOSLJZ,X,O,X,X
TIOSLZJ,O,O,X,X
TIOSJLZ,X,O,X,X
TIOSJZL,X,O,O,X
TIOSZLJ,O,O,O,O
TIOSZJL,O,O,O,O
TIOZLJS,O,X,O,X
TIOZLSJ,O,O,O,O
TIOZJLS,O,X,O,X
TIOZJSL,O,X,O,O
TIOZSLJ,O,O,O,O
TIOZSJL,O,O,O,O
TLIJSZO,X,O,X,X
TLIJSOZ,X,O,X,X
TLIJZSO,X,X,O,X
TLIJZOS,X,X,O,X
TLIJOSZ,X,O,X,X
TLIJOZS,X,X,O,X
TLISJZO,X,O,X,X
TLISJOZ,X,O,X,X
TLISZJO,O,O,X,X
TLISZOJ,O,O,X,X
TLISOJZ,X,O,X,X
TLISOZJ,O,O,X,X
TLIZJSO,O,X,O,X
TLIZJOS,O,X,O,X
TLIZSJO,O,O,O,X
TLIZSOJ,O,O,O,O
TLIZOJS,O,X,O,X
TLIZOSJ,O,O,O,O
TLIOJSZ,X,O,X,X
TLIOJZS,X,X,O,X
TLIOSJZ,X,O,X,X
TLIOSZJ,O,O,X,X
TLIOZJS,O,X,O,X
TLIOZSJ,O,O,O,O
TLJISZO,X,O,X,X
TLJISOZ,X,O,X,X
TLJIZSO,X,X,O,X
TLJIZOS,X,X,O,X
TLJIOSZ,X,O,X,X
TLJIOZS,X,X,O,X
TLJSIZO,X,O,X,X
TLJSIOZ,X,O,X,X
TLJSZIO,X,O,X,X
TLJSZOI,X,O,X,X
TLJSOIZ,X,O,X,X
TLJSOZI,X,O,X,X
TLJZISO,X,X,O,X
TLJZIOS,X,X,O,X
TLJZSIO,X,X,O,X
TLJZSOI,X,X,O,X
TLJZOIS,X,X,O,X
TLJZOSI,X,X,O,X
TLJOISZ,X,O,X,X
TLJOIZS,X,X,O,X
TLJOSIZ,X,O,X,X
TLJOSZI,X,O,X,X
TLJOZIS,X,X,O,X
TLJOZSI,X,X,O,X
TLSIJZO,X,O,X,X
TLSIJOZ,X,O,X,X
TLSIZJO,O,O,X,X
TLSIZOJ,O,O,X,X
TLSIOJZ,X,O,X,X
TLSIOZJ,O,O,X,X
TLSJIZO,X,O,X,X
TLSJIOZ,X,O,X,X
TLSJZIO,X,O,X,X
TLSJZOI,X,O,X,X
TLSJOIZ,X,O,X,X
TLSJOZI,X,O,X,X
TLSZIJO,O,O,X,X
TLSZIOJ,O,O,X,X
TLSZJIO,O,O,X,X
TLSZJOI,O,O,X,X
TLSZOIJ,O,O,X,X
TLSZOJI,O,O,X,X
TLSOIJZ,X,O,X,X
TLSOIZJ,O,O,X,X
TLSOJIZ,X,O,X,X
TLSOJZI,X,O,X,X
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,X
TLZIJSO,O,X,O,X
TLZIJOS,O,X,O,X
TLZISJO,O,O,O,X
TLZISOJ,O,O,O,O
TLZIOJS,O,X,O,X
TLZIOSJ,O,O,O,O
TLZJISO,O,X,O,X
TLZJIOS,O,X,O,X
TLZJSIO,O,X,O,X
TLZJSOI,O,X,O,X
TLZJOIS,O,X,O,X
TLZJOSI,O,X,O,X
TLZSIJO,O,O,O,X
TLZSIOJ,O,O,O,O
TLZSJIO,O,O,O,X
TLZSJOI,O,O,O,X
TLZSOIJ,O,O,O,O
TLZSOJI,O,O,O,X
TLZOIJS,O,X,O,X
TLZOISJ,O,O,O,O
TLZOJIS,O,X,O,X
TLZOJSI,O,X,O,X
TLZOSIJ,O,O,O,O
TLZOSJI,O,O,O,X
TLOIJSZ,X,O,X,X
TLOIJZS,X,X,O,X
TLOISJZ,X,O,X,X
TLOISZJ,O,O,X,X
TLOIZJS,O,X,O,X
TLOIZSJ,O,O,O,O
TLOJISZ,X,O,X,X
TLOJIZS,X,X,O,X
TLOJSIZ,X,O,X,X
TLOJSZI,X,O,X,X
TLOJZIS,X,X,O,X
TLOJZSI,X,X,O,X
TLOSIJZ,X,O,X,X
TLOSIZJ,O,O,X,X
TLOSJIZ,X,O,X,X
TLOSJZI,X,O,X,X
TLOSZIJ,O,O,X,X
TLOSZJI,O,O,X,X
TLOZIJS,O,X,O,X
TLOZISJ,O,O,O,O
TLOZJIS,O,X,O,X
TLOZJSI,O,X,O,X
TLOZSIJ,O,O,O,O
TLOZSJI,O,O,O,X
TJILSZO,X,O,X,X
TJILSOZ,X,O,X,X
