sequence,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeRAJvhFUiBGjBzkBf?rB6rBVyB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeCAJvhFxhBTjBXlBl?mBWtBUrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhF3gBUiBFjBS?tBxqBTrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhFUiBFjBxlBS?tB3lBTrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8Jez/IvhFFiBXjBGmBS?tBRqBUrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8Je/GJvhFFlBxnBClBG?nBToBUrB
TILJSZO,X,O,O,X,O,X
TILJSOZ,X,O,O,X,O,X
TILJZSO,O,X,O,X,O,X
TILJZOS,O,X,O,X,O,X
TILJOSZ,X,O,O,X,O,X
TILJOZS,O,X,O,X,O,X
TILSJZO,X,O,O,X,O,X
TILSJOZ,X,O,O,X,O,X
TILSZJO,X,O,O,X,O,X
TILSZOJ,X,X,O,X,O,X
TILSOJZ,X,O,O,X,O,X
TILSOZJ,X,X,O,X,O,X
TILZJSO,O,X,O,X,O,X
TILZJOS,O,X,O,X,O,X
TILZSJO,O,X,O,X,O,O
TILZSOJ,O,X,O,X,O,O
TILZOJS,O,X,O,X,O,X
TILZOSJ,O,X,O,X,O,X
TILOJSZ,X,X,O,X,O,X
TILOJZS,O,X,O,X,O,X
TILOSJZ,X,X,O,X,O,X
TILOSZJ,X,X,O,X,O,X
TILOZJS,O,X,O,X,O,X
TILOZSJ,O,X,O,X,O,X
TIJLSZO,X,O,O,X,O,X
TIJLSOZ,X,O,O,X,O,X
TIJLZSO,O,X,O,X,O,X
TIJLZOS,O,X,O,X,O,X
TIJLOSZ,X,O,O,X,O,X
TIJLOZS,O,X,O,X,O,X
TIJSLZO,O,O,O,X,O,X
TIJSLOZ,O,O,O,X,O,X
TIJSZLO,O,O,O,X,X,X
TIJSZOL,O,O,O,X,X,X
TIJSOLZ,O,O,X,X,O,X
TIJSOZL,O,O,X,X,X,X
TIJZLSO,O,X,O,X,O,X
TIJZLOS,O,X,O,X,O,X
TIJZSLO,O,O,O,X,X,O
TIJZSOL,O,O,O,X,X,O
TIJZOLS,O,X,X,X,O,X
TIJZOSL,O,O,O,X,X,X
TIJOLSZ,O,O,X,X,O,X
TIJOLZS,O,X,X,X,O,X
TIJOSLZ,O,O,X,X,O,X
TIJOSZL,O,O,X,X,X,X
TIJOZLS,O,X,X,X,O,X
TIJOZSL,O,O,X,X,X,X
TISLJZO,O,O,O,X,O,X
TISLJOZ,O,O,O,X,O,X
TISLZJO,O,O,O,X,O,X
TISLZOJ,O,X,O,X,O,X
TISLOJZ,O,O,O,X,O,X
TISLOZJ,O,X,O,X,O,X
TISJLZO,O,O,O,X,O,X
TISJLOZ,O,O,O,X,O,X
TISJZLO,O,O,O,X,X,X
TISJZOL,O,O,O,X,X,X
TISJOLZ,O,O,X,X,O,X
TISJOZL,O,O,X,X,X,X
TISZLJO,O,O,O,X,X,O
TISZLOJ,X,X,O,X,X,O
TISZJLO,O,O,O,X,X,O
TISZJOL,O,O,O,X,X,O
TISZOLJ,O,X,X,X,X,O
TISZOJL,O,X,O,X,X,O
