sequence,v115@vhGfDJ5jBcpBeqBzqBCsBVyB,v115@vhGZEJXiBzkBUmBSvBVxBGtB,v115@vhG0AJ5oB3mBznBipB1vB2xB,v115@vhGZEJukB/oBcrBTnBVvByxB,v115@vhGcEJaoB5oBTlB/rBWvB1xB,v115@vhG5DJ6mBcpBTnBXqB2wBVyB,v115@vhGZ/IOmBTlB/tB1uBSwB0sB
TZIJLSO,O,O,O,O,X,O,X
TZIJLOS,O,O,O,O,X,O,X
TZIJSLO,O,O,O,X,X,O,X
TZIJSOL,O,X,O,X,X,O,X
TZIJOLS,O,X,O,X,X,O,X
TZIJOSL,O,X,O,X,X,O,X
TZISLJO,O,O,O,X,X,X,O
TZISLOJ,O,O,X,X,X,X,O
TZISJLO,O,O,O,X,X,O,X
TZISJOL,O,X,O,X,X,O,X
TZISOLJ,O,X,X,X,X,X,O
TZISOJL,O,X,X,X,X,O,X
TZIOLJS,O,X,X,X,X,X,O
TZIOLSJ,O,X,X,X,X,X,O
TZIOJLS,O,X,X,X,X,O,X
TZIOJSL,O,X,X,X,X,O,X
TZIOSLJ,O,X,X,X,X,X,O
TZIOSJL,O,X,X,X,X,O,X
TZLIJSO,O,O,O,O,X,X,O
TZLIJOS,O,O,O,O,X,X,O
TZLISJO,O,O,O,O,X,X,O
TZLISOJ,O,O,X,O,X,X,O
TZLIOJS,O,O,X,O,X,X,O
TZLIOSJ,O,O,X,O,X,X,O
TZLJISO,O,O,O,O,X,X,O
TZLJIOS,O,O,O,O,X,X,O
TZLJSIO,O,O,O,O,X,X,O
TZLJSOI,O,O,O,O,X,X,O
TZLJOIS,O,O,O,O,X,X,O
TZLJOSI,O,O,O,O,X,X,O
TZLSIJO,O,O,O,O,X,X,O
TZLSIOJ,O,O,X,O,X,X,O
TZLSJIO,O,O,O,O,X,X,O
TZLSJOI,O,O,O,O,X,X,O
TZLSOIJ,O,O,X,O,X,X,O
TZLSOJI,O,O,X,O,X,X,O
TZLOIJS,O,O,X,O,X,X,O
TZLOISJ,O,O,X,O,X,X,O
TZLOJIS,O,O,X,O,X,X,O
TZLOJSI,O,O,X,O,X,X,O
TZLOSIJ,O,O,X,O,X,X,O
TZLOSJI,O,O,X,O,X,X,O
TZJILSO,O,O,O,O,X,O,X
TZJILOS,O,O,O,O,X,O,X
TZJISLO,O,O,O,X,X,O,X
TZJISOL,O,X,O,X,X,O,X
TZJIOLS,O,X,O,X,X,O,X
TZJIOSL,O,X,O,X,X,O,X
TZJLISO,O,O,O,O,X,O,X
TZJLIOS,O,O,O,O,X,O,X
TZJLSIO,O,O,O,O,X,O,X
TZJLSOI,O,O,O,O,X,O,X
TZJLOIS,O,O,O,O,X,O,X
TZJLOSI,O,O,O,O,X,O,X
TZJSILO,O,O,O,X,X,O,X
TZJSIOL,O,X,O,X,X,O,X
TZJSLIO,O,O,O,X,X,O,X
TZJSLOI,O,O,O,X,X,O,X
TZJSOIL,O,X,O,X,X,O,X
TZJSOLI,O,X,O,X,X,O,X
TZJOILS,O,X,O,X,X,O,X
TZJOISL,O,X,O,X,X,O,X
TZJOLIS,O,X,O,X,X,O,X
TZJOLSI,O,X,O,X,X,O,X
TZJOSIL,O,X,O,X,X,O,X
TZJOSLI,O,X,O,X,X,O,X
TZSILJO,O,O,O,X,X,X,O
TZSILOJ,O,O,X,X,X,X,O
TZSIJLO,O,O,O,X,X,O,X
TZSIJOL,O,X,O,X,X,O,X
TZSIOLJ,O,X,X,X,X,X,O
TZSIOJL,O,X,X,X,X,O,X
TZSLIJO,O,O,O,X,X,X,O
TZSLIOJ,O,O,X,X,X,X,O
TZSLJIO,O,O,O,X,X,X,O
TZSLJOI,O,O,O,X,X,X,O
TZSLOIJ,O,O,X,X,X,X,O
TZSLOJI,O,O,X,X,X,X,O
TZSJILO,O,O,O,X,X,O,X
TZSJIOL,O,X,O,X,X,O,X
TZSJLIO,O,O,O,X,X,O,X
TZSJLOI,O,O,O,X,X,O,X
TZSJOIL,O,X,O,X,X,O,X
TZSJOLI,O,X,O,X,X,O,X
TZSOILJ,O,X,X,X,X,X,O
TZSOIJL,O,X,X,X,X,O,X
TZSOLIJ,O,X,X,X,X,X,O
TZSOLJI,O,X,X,X,X,X,O
TZSOJIL,O,X,X,X,X,O,X
TZSOJLI,O,X,X,X,X,O,X
TZOILJS,O,X,X,X,X,X,O
TZOILSJ,O,X,X,X,X,X,O
TZOIJLS,O,X,X,X,X,O,X
TZOIJSL,O,X,X,X,X,O,X
TZOISLJ,O,X,X,X,X,X,O
TZOISJL,O,X,X,X,X,O,X
TZOLIJS,O,X,X,X,X,X,O
TZOLISJ,O,X,X,X,X,X,O
TZOLJIS,O,X,X,X,X,X,O
TZOLJSI,O,X,X,X,X,X,O
TZOLSIJ,O,X,X,X,X,X,O
TZOLSJI,O,X,X,X,X,X,O
TZOJILS,O,X,X,X,X,O,X
TZOJISL,O,X,X,X,X,O,X
TZOJLIS,O,X,X,X,X,O,X
TZOJLSI,O,X,X,X,X,O,X
TZOJSIL,O,X,X,X,X,O,X
TZOJSLI,O,X,X,X,X,O,X
TZOSILJ,O,X,X,X,X,X,O
TZOSIJL,O,X,X,X,X,O,X
TZOSLIJ,O,X,X,X,X,X,O
TZOSLJI,O,X,X,X,X,X,O
TZOSJIL,O,X,X,X,X,O,X
TZOSJLI,O,X,X,X,X,O,X
TOILJSZ,O,X,X,X,X,X,O
TOILJZS,O,X,X,X,X,X,O
TOILSJZ,O,X,X,X,X,X,O
TOILSZJ,O,X,X,X,X,X,O
TOILZJS,O,X,X,X,X,X,O
TOILZSJ,O,X,X,X,X,X,O
TOIJLSZ,O,X,X,X,X,O,X
TOIJLZS,O,X,X,X,X,O,X
TOIJSLZ,O,X,X,X,X,O,X
TOIJSZL,O,X,X,X,X,O,X
TOIJZLS,O,X,X,X,X,O,X
TOIJZSL,O,X,X,X,X,O,X
TOISLJZ,O,X,X,X,X,X,O
