sequence,v115@vhGfDJ5jBcpBeqBzqBCsBVyB,v115@vhGZEJXiBzkBUmBSvBVxBGtB,v115@vhG0AJ5oB3mBznBipB1vB2xB,v115@vhGZEJukB/oBcrBTnBVvByxB,v115@vhGcEJaoB5oBTlB/rBWvB1xB,v115@vhG5DJ6mBcpBTnBXqB2wBVyB,v115@vhGZ/IOmBTlB/tB1uBSwB0sB
TOISLZJ,O,X,X,X,X,X,O
TOISJLZ,O,X,X,X,X,O,X
TOISJZL,O,X,X,X,X,O,X
TOISZLJ,O,X,X,X,X,X,O
TOISZJL,O,X,X,X,X,O,X
TOIZLJS,O,X,X,X,X,X,O
TOIZLSJ,O,X,X,X,X,X,O
TOIZJLS,O,X,X,X,X,O,X
TOIZJSL,O,X,X,X,X,O,X
TOIZSLJ,O,X,X,X,X,X,O
TOIZSJL,O,X,X,X,X,O,X
TOLIJSZ,O,X,X,X,X,X,O
TOLIJZS,O,X,X,X,X,X,O
TOLISJZ,O,X,X,X,X,X,O
TOLISZJ,O,X,X,X,X,X,O
TOLIZJS,O,X,X,X,X,X,O
TOLIZSJ,O,X,X,X,X,X,O
TOLJISZ,O,X,X,X,X,X,O
TOLJIZS,O,X,X,X,X,X,O
TOLJSIZ,O,X,X,X,X,X,O
TOLJSZI,O,X,X,X,X,X,O
TOLJZIS,O,X,X,X,X,X,O
TOLJZSI,O,X,X,X,X,X,O
TOLSIJZ,O,X,X,X,X,X,O
TOLSIZJ,O,X,X,X,X,X,O
TOLSJIZ,O,X,X,X,X,X,O
TOLSJZI,O,X,X,X,X,X,O
TOLSZIJ,O,X,X,X,X,X,O
TOLSZJI,O,X,X,X,X,X,O
TOLZIJS,O,X,X,X,X,X,O
TOLZISJ,O,X,X,X,X,X,O
TOLZJIS,O,X,X,X,X,X,O
TOLZJSI,O,X,X,X,X,X,O
TOLZSIJ,O,X,X,X,X,X,O
TOLZSJI,O,X,X,X,X,X,O
TOJILSZ,O,X,X,X,X,O,X
TOJILZS,O,X,X,X,X,O,X
TOJISLZ,O,X,X,X,X,O,X
TOJISZL,O,X,X,X,X,O,X
TOJIZLS,O,X,X,X,X,O,X
TOJIZSL,O,X,X,X,X,O,X
TOJLISZ,O,X,X,X,X,O,X
TOJLIZS,O,X,X,X,X,O,X
TOJLSIZ,O,X,X,X,X,O,X
TOJLSZI,O,X,X,X,X,O,X
TOJLZIS,O,X,X,X,X,O,X
TOJLZSI,O,X,X,X,X,O,X
TOJSILZ,O,X,X,X,X,O,X
TOJSIZL,O,X,X,X,X,O,X
TOJSLIZ,O,X,X,X,X,O,X
TOJSLZI,O,X,X,X,X,O,X
TOJSZIL,O,X,X,X,X,O,X
TOJSZLI,O,X,X,X,X,O,X
TOJZILS,O,X,X,X,X,O,X
TOJZISL,O,X,X,X,X,O,X
TOJZLIS,O,X,X,X,X,O,X
TOJZLSI,O,X,X,X,X,O,X
TOJZSIL,O,X,X,X,X,O,X
TOJZSLI,O,X,X,X,X,O,X
TOSILJZ,O,X,X,X,X,X,O
TOSILZJ,O,X,X,X,X,X,O
TOSIJLZ,O,X,X,X,X,O,X
TOSIJZL,O,X,X,X,X,O,X
TOSIZLJ,O,X,X,X,X,X,O
TOSIZJL,O,X,X,X,X,O,X
TOSLIJZ,O,X,X,X,X,X,O
TOSLIZJ,O,X,X,X,X,X,O
TOSLJIZ,O,X,X,X,X,X,O
TOSLJZI,O,X,X,X,X,X,O
TOSLZIJ,O,X,X,X,X,X,O
TOSLZJI,O,X,X,X,X,X,O
TOSJILZ,O,X,X,X,X,O,X
TOSJIZL,O,X,X,X,X,O,X
TOSJLIZ,O,X,X,X,X,O,X
TOSJLZI,O,X,X,X,X,O,X
TOSJZIL,O,X,X,X,X,O,X
TOSJZLI,O,X,X,X,X,O,X
TOSZILJ,O,X,X,X,X,X,O
TOSZIJL,O,X,X,X,X,O,X
TOSZLIJ,O,X,X,X,X,X,O
TOSZLJI,O,X,X,X,X,X,O
TOSZJIL,O,X,X,X,X,O,X
TOSZJLI,O,X,X,X,X,O,X
TOZILJS,O,X,X,X,X,X,O
TOZILSJ,O,X,X,X,X,X,O
TOZIJLS,O,X,X,X,X,O,X
TOZIJSL,O,X,X,X,X,O,X
TOZISLJ,O,X,X,X,X,X,O
TOZISJL,O,X,X,X,X,O,X
TOZLIJS,O,X,X,X,X,X,O
TOZLISJ,O,X,X,X,X,X,O
TOZLJIS,O,X,X,X,X,X,O
TOZLJSI,O,X,X,X,X,X,O
TOZLSIJ,O,X,X,X,X,X,O
TOZLSJI,O,X,X,X,X,X,O
TOZJILS,O,X,X,X,X,O,X
TOZJISL,O,X,X,X,X,O,X
TOZJLIS,O,X,X,X,X,O,X
TOZJLSI,O,X,X,X,X,O,X
TOZJSIL,O,X,X,X,X,O,X
TOZJSLI,O,X,X,X,X,O,X
TOZSILJ,O,X,X,X,X,X,O
TOZSIJL,O,X,X,X,X,O,X
TOZSLIJ,O,X,X,X,X,X,O
TOZSLJI,O,X,X,X,X,X,O
TOZSJIL,O,X,X,X,X,O,X
TOZSJLI,O,X,X,X,X,O,X
ITLJSZO,O,O,O,O,O,X,O
ITLJSOZ,O,O,O,O,O,X,O
ITLJZSO,O,O,O,O,O,X,O
ITLJZOS,O,O,O,O,O,X,O
ITLJOSZ,O,O,O,O,O,X,O
ITLJOZS,O,O,O,O,O,X,O
ITLSJZO,O,O,O,O,O,X,O
ITLSJOZ,O,O,O,O,O,X,O
ITLSZJO,O,O,O,O,X,X,O
ITLSZOJ,O,O,X,O,X,X,O
ITLSOJZ,O,O,X,O,X,X,O
ITLSOZJ,O,O,X,O,X,X,O
ITLZJSO,O,O,O,O,X,X,O
ITLZJOS,O,O,O,O,X,X,O
ITLZSJO,O,O,O,O,X,X,O
ITLZSOJ,O,O,X,O,X,X,O
ITLZOJS,O,O,X,O,X,X,O
ITLZOSJ,O,O,X,O,X,X,O
ITLOJSZ,O,O,X,O,X,X,O
