sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB
TZOISJL,O,O,O,O,O,X,O
TZOLIJS,O,O,O,O,X,O,X
TZOLISJ,O,O,O,O,X,O,X
TZOLJIS,O,O,O,O,X,O,X
TZOLJSI,O,O,O,O,X,X,O
TZOLSIJ,O,O,O,O,X,O,O
TZOLSJI,O,O,O,O,X,X,O
TZOJILS,O,O,O,O,X,O,X
TZOJISL,O,O,O,O,O,X,O
TZOJLIS,O,O,O,O,X,O,X
TZOJLSI,O,O,O,O,X,X,O
TZOJSIL,O,O,O,O,O,X,O
TZOJSLI,O,O,O,O,O,X,O
TZOSILJ,O,O,O,O,O,O,O
TZOSIJL,O,O,O,O,O,X,O
TZOSLIJ,O,O,O,O,O,O,O
TZOSLJI,O,O,O,O,O,X,O
TZOSJIL,O,O,O,O,O,X,O
TZOSJLI,O,O,O,O,O,X,O
TOILJSZ,X,X,O,X,O,X,X
TOILJZS,X,X,O,O,X,O,X
TOILSJZ,O,O,O,X,O,X,X
TOILSZJ,O,O,O,X,O,O,X
TOILZJS,O,O,X,O,X,O,X
TOILZSJ,O,O,X,O,X,O,X
TOIJLSZ,X,X,O,X,O,X,X
TOIJLZS,X,X,O,O,X,O,X
TOIJSLZ,O,O,O,X,O,X,O
TOIJSZL,O,O,O,X,O,X,O
TOIJZLS,O,O,O,O,X,O,X
TOIJZSL,O,O,X,O,O,X,O
TOISLJZ,O,O,O,X,O,X,O
TOISLZJ,O,O,O,X,O,O,O
TOISJLZ,O,O,O,X,O,X,O
TOISJZL,O,O,O,X,O,X,O
TOISZLJ,O,O,O,X,O,O,O
TOISZJL,O,O,X,X,O,X,O
TOIZLJS,O,O,X,O,X,O,X
TOIZLSJ,O,O,X,O,X,O,X
TOIZJLS,O,O,X,O,X,O,X
TOIZJSL,O,O,X,O,O,X,O
TOIZSLJ,O,O,X,O,O,O,O
TOIZSJL,O,O,X,O,O,X,O
TOLIJSZ,X,X,O,X,O,X,X
TOLIJZS,X,X,O,O,X,O,X
TOLISJZ,O,O,O,X,O,X,X
TOLISZJ,O,O,O,X,O,O,X
TOLIZJS,O,O,X,O,X,O,X
TOLIZSJ,O,O,X,O,X,O,X
TOLJISZ,X,X,O,X,O,X,X
TOLJIZS,X,X,O,O,X,O,X
TOLJSIZ,X,X,O,X,O,X,O
TOLJSZI,X,X,O,X,O,X,O
TOLJZIS,X,X,O,O,X,O,X
TOLJZSI,X,X,O,O,X,X,O
TOLSIJZ,O,O,O,X,O,X,O
TOLSIZJ,O,O,O,X,O,O,O
TOLSJIZ,O,O,O,X,O,X,O
TOLSJZI,O,O,O,X,O,X,O
TOLSZIJ,O,O,O,X,O,O,O
TOLSZJI,O,O,O,X,O,X,O
TOLZIJS,O,O,O,O,X,O,X
TOLZISJ,O,O,O,O,X,O,X
TOLZJIS,O,O,O,O,X,O,X
TOLZJSI,O,O,O,O,X,X,O
TOLZSIJ,O,O,O,O,X,O,O
TOLZSJI,O,O,O,O,X,X,O
TOJILSZ,X,X,O,X,O,X,X
TOJILZS,X,X,O,O,X,O,X
TOJISLZ,O,O,O,X,O,X,O
TOJISZL,O,O,O,X,O,X,O
TOJIZLS,O,O,O,O,X,O,X
TOJIZSL,O,O,O,O,O,X,O
TOJLISZ,X,X,O,X,O,X,X
TOJLIZS,X,X,O,O,X,O,X
TOJLSIZ,X,X,O,X,O,X,O
TOJLSZI,X,X,O,X,O,X,O
TOJLZIS,X,X,O,O,X,O,X
TOJLZSI,X,X,O,O,X,X,O
TOJSILZ,O,O,O,X,O,X,O
TOJSIZL,O,O,O,X,O,X,O
TOJSLIZ,O,O,O,X,O,X,O
TOJSLZI,O,O,O,X,O,X,O
TOJSZIL,O,O,O,X,O,X,O
TOJSZLI,O,O,O,X,O,X,O
TOJZILS,O,O,O,O,X,O,X
TOJZISL,O,O,O,O,O,X,O
TOJZLIS,O,O,O,O,X,O,X
TOJZLSI,O,O,O,O,X,X,O
TOJZSIL,O,O,O,O,O,X,O
TOJZSLI,O,O,O,O,O,X,O
TOSILJZ,O,O,O,X,O,X,O
TOSILZJ,O,O,O,X,O,O,O
TOSIJLZ,O,O,O,X,O,X,O
TOSIJZL,O,O,O,X,O,X,O
TOSIZLJ,O,O,O,X,O,O,O
TOSIZJL,O,O,O,X,O,X,O
TOSLIJZ,O,O,O,X,O,X,O
TOSLIZJ,O,O,O,X,O,O,O
TOSLJIZ,O,O,O,X,O,X,O
TOSLJZI,O,O,O,X,O,X,O
TOSLZIJ,O,O,O,X,O,O,O
TOSLZJI,O,O,O,X,O,X,O
TOSJILZ,O,O,O,X,O,X,O
TOSJIZL,O,O,O,X,O,X,O
TOSJLIZ,O,O,O,X,O,X,O
TOSJLZI,O,O,O,X,O,X,O
TOSJZIL,O,O,O,X,O,X,O
TOSJZLI,O,O,O,X,O,X,O
TOSZILJ,O,O,O,X,O,O,O
TOSZIJL,O,O,O,X,O,X,O
TOSZLIJ,O,O,O,X,O,O,O
TOSZLJI,O,O,O,X,O,X,O
TOSZJIL,O,O,O,X,O,X,O
TOSZJLI,O,O,O,X,O,X,O
TOZILJS,O,O,O,O,X,O,X
TOZILSJ,O,O,O,O,X,O,X
TOZIJLS,O,O,O,O,X,O,X
TOZIJSL,O,O,O,O,O,X,O
TOZISLJ,O,O,O,O,O,O,O
TOZISJL,O,O,O,O,O,X,O
TOZLIJS,O,O,O,O,X,O,X
TOZLISJ,O,O,O,O,X,O,X
TOZLJIS,O,O,O,O,X,O,X
TOZLJSI,O,O,O,O,X,X,O
TOZLSIJ,O,O,O,O,X,O,O
TOZLSJI,O,O,O,O,X,X,O
TOZJILS,O,O,O,O,X,O,X
TOZJISL,O,O,O,O,O,X,O
TOZJLIS,O,O,O,O,X,O,X
TOZJLSI,O,O,O,O,X,X,O
TOZJSIL,O,O,O,O,O,X,O
TOZJSLI,O,O,O,O,O,X,O
TOZSILJ,O,O,O,O,O,O,O
TOZSIJL,O,O,O,O,O,X,O
TOZSLIJ,O,O,O,O,O,O,O
TOZSLJI,O,O,O,O,O,X,O
TOZSJIL,O,O,O,O,O,X,O
TOZSJLI,O,O,O,O,O,X,O
ITLJSZO,X,X,O,O,O,X,X
ITLJSOZ,X,X,O,X,O,X,X
ITLJZSO,X,X,O,O,X,X,X
ITLJZOS,X,X,O,O,X,O,X
ITLJOSZ,X,X,O,X,O,X,X
ITLJOZS,X,X,O,O,X,O,X
ITLSJZO,O,O,O,O,O,X,X
ITLSJOZ,O,O,O,X,O,X,X
ITLSZJO,O,O,O,O,O,X,X
ITLSZOJ,O,O,O,O,O,O,X
ITLSOJZ,O,O,O,X,O,X,X
ITLSOZJ,O,O,O,X,O,O,X
ITLZJSO,O,O,O,O,X,X,X
ITLZJOS,O,O,O,O,X,O,X
ITLZSJO,O,O,O,O,X,X,X
ITLZSOJ,O,O,O,O,X,O,X
ITLZOJS,O,O,O,O,X,O,X
ITLZOSJ,O,O,O,O,X,O,X
ITLOJSZ,X,X,O,X,O,X,X
ITLOJZS,X,X,O,O,X,O,X
ITLOSJZ,O,O,O,X,O,X,X
ITLOSZJ,O,O,O,X,O,O,X
ITLOZJS,O,O,X,O,X,O,X
ITLOZSJ,O,O,X,O,X,O,X
ITJLSZO,X,X,O,O,O,X,X
ITJLSOZ,X,X,O,X,O,X,X
ITJLZSO,X,X,O,O,X,X,X
ITJLZOS,X,X,O,O,X,O,X
ITJLOSZ,X,X,O,X,O,X,X
ITJLOZS,X,X,O,O,X,O,X
ITJSLZO,O,O,O,O,O,X,O
ITJSLOZ,O,O,O,X,O,X,O
ITJSZLO,O,O,O,O,O,X,O
ITJSZOL,O,O,O,O,O,X,O
ITJSOLZ,O,O,O,X,O,X,O
ITJSOZL,O,O,O,X,O,X,O
ITJZLSO,O,O,O,O,X,X,X
ITJZLOS,O,O,O,O,X,O,X
ITJZSLO,O,O,O,O,O,X,O
ITJZSOL,O,O,O,O,O,X,O
ITJZOLS,O,O,O,O,X,O,X
ITJZOSL,O,O,O,O,O,X,O
ITJOLSZ,X,X,O,X,O,X,X
ITJOLZS,X,X,O,O,X,O,X
ITJOSLZ,O,O,O,X,O,X,O
ITJOSZL,O,O,O,X,O,X,O
ITJOZLS,O,O,O,O,X,O,X
ITJOZSL,O,O,O,O,O,X,O
ITSLJZO,O,O,O,O,O,X,O
ITSLJOZ,O,O,O,X,O,X,O
ITSLZJO,O,O,O,O,O,X,O
ITSLZOJ,O,O,O,O,O,O,O
ITSLOJZ,O,O,O,X,O,X,O
ITSLOZJ,O,O,O,X,O,O,O
ITSJLZO,O,O,O,O,O,X,O
ITSJLOZ,O,O,O,X,O,X,O
ITSJZLO,O,O,O,O,O,X,O
ITSJZOL,O,O,O,O,O,X,O
ITSJOLZ,O,O,O,X,O,X,O
ITSJOZL,O,O,O,X,O,X,O
ITSZLJO,O,O,O,O,O,X,O
ITSZLOJ,O,O,O,O,O,O,O
ITSZJLO,O,O,O,O,O,X,O
ITSZJOL,O,O,O,O,O,X,O
ITSZOLJ,O,O,O,O,O,O,O
ITSZOJL,O,O,O,O,O,X,O
ITSOLJZ,O,O,O,X,O,X,O
ITSOLZJ,O,O,O,X,O,O,O
ITSOJLZ,O,O,O,X,O,X,O
ITSOJZL,O,O,O,X,O,X,O
ITSOZLJ,O,O,O,X,O,O,O
ITSOZJL,O,O,O,X,O,X,O
ITZLJSO,O,O,O,O,X,X,X
ITZLJOS,O,O,O,O,X,O,X
ITZLSJO,O,O,O,O,X,X,X
ITZLSOJ,O,O,O,O,X,O,X
ITZLOJS,O,O,O,O,X,O,X
ITZLOSJ,O,O,O,O,X,O,X
ITZJLSO,O,O,O,O,X,X,X
ITZJLOS,O,O,O,O,X,O,X
ITZJSLO,O,O,O,O,O,X,O
ITZJSOL,O,O,O,O,O,X,O
ITZJOLS,O,O,O,O,X,O,X
ITZJOSL,O,O,O,O,O,X,O
ITZSLJO,O,O,O,O,O,X,O
ITZSLOJ,O,O,O,O,O,O,O
ITZSJLO,O,O,O,O,O,X,O
ITZSJOL,O,O,O,O,O,X,O
ITZSOLJ,O,O,O,O,O,O,O
ITZSOJL,O,O,O,O,O,X,O
ITZOLJS,O,O,O,O,X,O,X
ITZOLSJ,O,O,O,O,X,O,X
ITZOJLS,O,O,O,O,X,O,X
ITZOJSL,O,O,O,O,O,X,O
ITZOSLJ,O,O,O,O,O,O,O
ITZOSJL,O,O,O,O,O,X,O
ITOLJSZ,X,X,O,X,O,X,X
ITOLJZS,X,X,O,O,X,O,X
ITOLSJZ,O,O,O,X,O,X,X
ITOLSZJ,O,O,O,X,O,O,X
ITOLZJS,O,O,X,O,X,O,X
ITOLZSJ,O,O,X,O,X,O,X
ITOJLSZ,X,X,O,X,O,X,X
ITOJLZS,X,X,O,O,X,O,X
ITOJSLZ,O,O,O,X,O,X,O
ITOJSZL,O,O,O,X,O,X,O
ITOJZLS,O,O,O,O,X,O,X
ITOJZSL,O,O,X,O,O,X,O
ITOSLJZ,O,O,O,X,O,X,O
ITOSLZJ,O,O,O,X,O,O,O
ITOSJLZ,O,O,O,X,O,X,O
ITOSJZL,O,O,O,X,O,X,O
ITOSZLJ,O,O,O,X,O,O,O
ITOSZJL,O,O,X,X,O,X,O
ITOZLJS,O,O,X,O,X,O,X
ITOZLSJ,O,O,X,O,X,O,X
ITOZJLS,O,O,X,O,X,O,X
ITOZJSL,O,O,X,O,O,X,O
ITOZSLJ,O,O,X,O,O,O,O
ITOZSJL,O,O,X,O,O,X,O
ILTJSZO,X,X,O,O,O,X,X
ILTJSOZ,X,X,O,X,O,X,X
ILTJZSO,X,X,O,O,X,X,X
ILTJZOS,X,X,O,O,X,O,X
ILTJOSZ,X,X,O,X,O,X,X
ILTJOZS,X,X,O,O,X,O,X
ILTSJZO,O,O,O,O,O,X,X
ILTSJOZ,O,O,O,X,O,X,X
ILTSZJO,O,O,O,O,O,X,X
ILTSZOJ,O,O,O,O,O,O,X
ILTSOJZ,O,O,O,X,O,X,X
ILTSOZJ,O,O,O,X,O,O,X
ILTZJSO,O,O,O,O,X,X,X
ILTZJOS,O,O,O,O,X,O,X
ILTZSJO,O,O,O,O,X,X,X
ILTZSOJ,O,O,O,O,X,O,X
ILTZOJS,O,O,O,O,X,O,X
ILTZOSJ,O,O,O,O,X,O,X
ILTOJSZ,X,X,O,X,O,X,X
ILTOJZS,X,X,O,O,X,O,X
ILTOSJZ,O,O,O,X,O,X,X
ILTOSZJ,O,O,O,X,O,O,X
ILTOZJS,O,O,X,O,X,O,X
ILTOZSJ,O,O,X,O,X,O,X
ILJTSZO,X,X,X,O,O,X,X
ILJTSOZ,X,X,X,X,O,X,X
ILJTZSO,X,X,X,O,X,X,X
ILJTZOS,X,X,O,O,X,O,X
ILJTOSZ,X,X,O,X,O,X,X
ILJTOZS,X,X,O,O,X,O,X
ILJSTZO,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,O,X,X
ILJSZTO,X,X,O,X,X,X,X
ILJSZOT,X,X,O,O,O,X,X
ILJSOTZ,X,X,O,X,O,X,X
ILJSOZT,X,X,O,X,O,X,X
ILJZTSO,X,X,X,O,X,X,X
ILJZTOS,X,X,O,O,X,X,X
ILJZSTO,X,X,O,X,X,X,X
ILJZSOT,X,X,O,O,X,X,X
ILJZOTS,X,X,O,O,X,X,X
ILJZOST,X,X,O,O,X,X,X
ILJOTSZ,X,X,O,X,O,X,X
ILJOTZS,X,X,O,X,X,O,X
ILJOSTZ,X,X,O,X,O,X,X
ILJOSZT,X,X,O,X,O,X,X
ILJOZTS,X,X,O,O,X,X,X
ILJOZST,X,X,O,O,X,X,X
ILSTJZO,O,X,X,O,X,X,X
ILSTJOZ,O,X,X,X,O,X,X
ILSTZJO,O,O,X,O,X,X,X
ILSTZOJ,O,O,O,O,X,O,X
ILSTOJZ,O,X,O,X,O,X,X
ILSTOZJ,O,O,O,X,X,O,X
ILSJTZO,O,X,O,X,X,X,X
ILSJTOZ,O,X,O,X,O,X,X
ILSJZTO,O,O,O,X,X,X,X
ILSJZOT,O,O,O,O,O,X,X
ILSJOTZ,O,X,O,X,O,X,X
ILSJOZT,O,O,O,X,O,X,X
ILSZTJO,O,O,X,O,X,X,X
ILSZTOJ,O,O,O,O,X,X,X
ILSZJTO,O,O,O,X,X,X,X
ILSZJOT,O,O,O,O,O,X,X
ILSZOTJ,O,O,O,O,X,X,X
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,O,X,O,X,O,X,X
ILSOTZJ,O,O,O,X,X,O,X
ILSOJTZ,O,X,O,X,O,X,X
ILSOJZT,O,O,O,X,O,X,X
ILSOZTJ,O,O,O,X,X,X,X
ILSOZJT,O,O,O,X,O,X,X
ILZTJSO,X,O,O,O,X,X,X
ILZTJOS,X,O,O,O,X,O,X
ILZTSJO,X,O,O,O,X,X,X
ILZTSOJ,X,O,O,O,X,O,X
ILZTOJS,X,O,O,O,X,O,X
ILZTOSJ,X,O,O,O,X,O,X
ILZJTSO,X,O,X,O,X,X,X
ILZJTOS,X,O,O,O,X,X,X
ILZJSTO,O,O,O,X,X,X,X
ILZJSOT,O,O,O,O,X,X,X
ILZJOTS,X,O,O,O,X,X,X
ILZJOST,O,O,O,O,X,X,X
ILZSTJO,O,O,X,O,X,X,X
ILZSTOJ,O,O,O,O,X,X,X
ILZSJTO,O,O,O,X,X,X,X
ILZSJOT,O,O,O,O,X,X,X
ILZSOTJ,O,O,O,O,X,X,X
ILZSOJT,O,O,O,O,X,X,X
ILZOTJS,X,O,O,O,X,O,X
ILZOTSJ,X,O,O,O,X,O,X
ILZOJTS,X,O,O,O,X,X,X
ILZOJST,O,O,O,O,X,X,X
ILZOSTJ,O,O,O,O,X,X,X
ILZOSJT,O,O,O,O,X,X,X
ILOTJSZ,X,X,O,X,O,X,X
ILOTJZS,X,X,O,O,X,O,X
ILOTSJZ,O,O,O,X,O,X,X
ILOTSZJ,O,O,O,X,O,O,X
ILOTZJS,O,O,X,O,X,O,X
ILOTZSJ,O,O,X,O,X,O,X
ILOJTSZ,X,X,O,X,O,X,X
ILOJTZS,X,X,O,X,X,O,X
ILOJSTZ,X,X,O,X,O,X,X
ILOJSZT,X,X,O,X,O,X,X
ILOJZTS,X,X,O,O,X,X,X
ILOJZST,X,X,O,O,X,X,X
ILOSTJZ,O,X,O,X,O,X,X
ILOSTZJ,O,O,O,X,X,O,X
ILOSJTZ,O,X,O,X,O,X,X
ILOSJZT,O,O,O,X,O,X,X
ILOSZTJ,O,O,O,X,X,X,X
ILOSZJT,O,O,O,X,O,X,X
ILOZTJS,X,O,X,O,X,O,X
ILOZTSJ,X,O,X,O,X,O,X
ILOZJTS,X,O,X,O,X,X,X
ILOZJST,O,O,X,O,X,X,X
ILOZSTJ,O,O,X,O,X,X,X
ILOZSJT,O,O,X,O,X,X,X
IJTLSZO,X,X,X,O,O,X,X
IJTLSOZ,X,X,X,X,O,X,X
IJTLZSO,X,X,X,O,X,X,X
IJTLZOS,X,X,O,O,X,O,X
IJTLOSZ,X,X,O,X,O,X,X
IJTLOZS,X,X,O,O,X,O,X
IJTSLZO,O,O,X,O,O,X,O
IJTSLOZ,O,O,X,X,O,X,O
IJTSZLO,O,O,X,O,O,X,O
IJTSZOL,O,O,X,O,O,X,O
IJTSOLZ,O,O,X,X,O,X,O
IJTSOZL,O,O,X,X,O,X,O
IJTZLSO,O,O,X,O,X,X,X
IJTZLOS,O,O,O,O,X,O,X
IJTZSLO,O,O,X,O,O,X,O
IJTZSOL,O,O,X,O,O,X,O
IJTZOLS,O,O,O,O,X,O,X
IJTZOSL,O,O,X,O,O,X,O
IJTOLSZ,X,X,O,X,O,X,X
IJTOLZS,X,X,O,O,X,O,X
IJTOSLZ,O,O,X,X,O,X,O
IJTOSZL,O,O,X,X,O,X,O
IJTOZLS,O,O,X,O,X,O,X
IJTOZSL,O,O,X,O,O,X,O
IJLTSZO,X,X,X,O,O,X,X
IJLTSOZ,X,X,X,X,O,X,X
IJLTZSO,X,X,X,O,X,X,X
IJLTZOS,X,X,O,O,X,O,X
IJLTOSZ,X,X,O,X,O,X,X
IJLTOZS,X,X,O,O,X,O,X
IJLSTZO,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,X,O,X,X
IJLSZTO,X,X,O,X,X,X,X
IJLSZOT,X,X,O,O,O,X,X
IJLSOTZ,X,X,O,X,O,X,X
IJLSOZT,X,X,O,X,O,X,X
IJLZTSO,X,X,X,O,X,X,X
IJLZTOS,X,X,O,O,X,X,X
IJLZSTO,X,X,O,X,X,X,X
IJLZSOT,X,X,O,O,X,X,X
IJLZOTS,X,X,O,O,X,X,X
IJLZOST,X,X,O,O,X,X,X
IJLOTSZ,X,X,O,X,O,X,X
IJLOTZS,X,X,O,X,X,O,X
IJLOSTZ,X,X,O,X,O,X,X
IJLOSZT,X,X,O,X,O,X,X
IJLOZTS,X,X,O,O,X,X,X
IJLOZST,X,X,O,O,X,X,X
IJSTLZO,O,X,O,X,O,X,O
IJSTLOZ,O,X,O,X,O,X,O
IJSTZLO,O,X,O,X,O,X,O
IJSTZOL,O,X,O,X,O,X,O
IJSTOLZ,O,X,O,X,O,X,O
IJSTOZL,O,X,X,X,O,X,O
IJSLTZO,O,X,O,X,X,X,O
IJSLTOZ,O,X,O,X,O,X,O
IJSLZTO,O,O,O,X,X,X,O
IJSLZOT,O,O,O,O,O,X,X
IJSLOTZ,O,X,O,X,O,X,X
IJSLOZT,O,O,O,X,O,X,X
IJSZTLO,O,O,O,X,X,X,O
IJSZTOL,O,O,O,X,X,X,O
IJSZLTO,O,O,O,X,X,X,O
IJSZLOT,O,O,O,O,O,X,X
IJSZOTL,O,O,O,X,X,X,O
IJSZOLT,O,O,O,O,O,X,X
IJSOTLZ,O,X,O,X,O,X,O
IJSOTZL,O,X,X,X,O,X,O
IJSOLTZ,O,X,O,X,O,X,X
IJSOLZT,O,O,O,X,O,X,X
IJSOZTL,O,O,O,X,X,X,O
IJSOZLT,O,O,O,X,O,X,X
IJZTLSO,X,O,X,O,X,X,X
IJZTLOS,X,O,O,O,X,X,X
IJZTSLO,O,O,X,O,O,X,O
IJZTSOL,O,O,X,O,O,X,O
IJZTOLS,X,O,O,O,X,X,X
IJZTOSL,O,O,X,O,O,X,O
IJZLTSO,X,O,X,O,X,X,X
IJZLTOS,X,O,O,O,X,X,X
IJZLSTO,O,O,O,X,X,X,X
IJZLSOT,O,O,O,O,X,X,X
IJZLOTS,X,O,O,O,X,X,X
IJZLOST,O,O,O,O,X,X,X
IJZSTLO,O,O,O,X,X,X,O
IJZSTOL,O,O,O,X,X,X,O
IJZSLTO,O,O,O,X,X,X,O
IJZSLOT,O,O,O,O,O,X,X
IJZSOTL,O,O,O,X,X,X,O
IJZSOLT,O,O,O,O,O,X,X
IJZOTLS,X,O,O,O,X,X,X
IJZOTSL,O,O,X,O,O,X,X
IJZOLTS,X,O,O,O,X,X,X
IJZOLST,O,O,O,O,X,X,X
IJZOSTL,O,O,O,X,X,X,X
IJZOSLT,O,O,O,O,O,X,X
IJOTLSZ,X,X,O,X,O,X,X
IJOTLZS,X,X,O,X,X,O,X
IJOTSLZ,O,O,X,X,O,X,X
IJOTSZL,O,O,X,X,O,X,X
IJOTZLS,O,O,X,X,X,O,X
IJOTZSL,O,O,X,X,O,X,X
IJOLTSZ,X,X,O,X,O,X,X
IJOLTZS,X,X,O,X,X,O,X
IJOLSTZ,X,X,O,X,O,X,X
IJOLSZT,X,X,O,X,O,X,X
IJOLZTS,X,X,O,O,X,X,X
IJOLZST,X,X,O,O,X,X,X
IJOSTLZ,O,X,O,X,O,X,X
IJOSTZL,O,X,X,X,O,X,X
IJOSLTZ,O,X,O,X,O,X,X
IJOSLZT,O,O,O,X,O,X,X
IJOSZTL,O,O,X,X,X,X,X
IJOSZLT,O,O,O,X,O,X,X
IJOZTLS,X,O,O,O,X,X,X
IJOZTSL,O,O,X,X,O,X,X
IJOZLTS,X,O,O,O,X,X,X
IJOZLST,O,O,O,O,X,X,X
IJOZSTL,O,O,X,X,X,X,X
IJOZSLT,O,O,O,O,O,X,X
ISTLJZO,O,O,X,O,O,X,O
ISTLJOZ,O,O,X,X,O,X,O
ISTLZJO,O,O,X,O,O,X,O
ISTLZOJ,O,O,O,O,O,O,O
ISTLOJZ,O,O,O,X,O,X,O
ISTLOZJ,O,O,O,X,O,O,O
ISTJLZO,O,O,X,O,O,X,O
ISTJLOZ,O,O,X,X,O,X,O
ISTJZLO,O,O,X,O,O,X,O
ISTJZOL,O,O,X,O,O,X,O
ISTJOLZ,O,O,X,X,O,X,O
ISTJOZL,O,O,X,X,O,X,O
ISTZLJO,O,O,X,O,O,X,O
ISTZLOJ,O,O,O,O,O,O,O
ISTZJLO,O,O,X,O,O,X,O
ISTZJOL,O,O,X,O,O,X,O
ISTZOLJ,O,O,O,O,O,O,O
ISTZOJL,O,O,X,O,O,X,O
ISTOLJZ,O,O,O,X,O,X,O
ISTOLZJ,O,O,O,X,O,O,O
ISTOJLZ,O,O,X,X,O,X,O
ISTOJZL,O,O,X,X,O,X,O
ISTOZLJ,O,O,X,X,O,O,O
ISTOZJL,O,O,X,X,O,X,O
ISLTJZO,O,X,X,O,X,X,O
ISLTJOZ,O,X,X,X,O,X,O
ISLTZJO,O,O,X,O,X,X,O
ISLTZOJ,O,O,O,O,X,O,O
ISLTOJZ,O,X,O,X,O,X,O
ISLTOZJ,O,O,O,X,X,O,O
ISLJTZO,O,X,O,X,X,X,O
ISLJTOZ,O,X,O,X,O,X,O
ISLJZTO,O,O,O,X,X,X,O
ISLJZOT,O,O,O,O,O,X,X
ISLJOTZ,O,X,O,X,O,X,X
ISLJOZT,O,O,O,X,O,X,X
ISLZTJO,O,O,X,O,X,X,O
ISLZTOJ,O,O,O,O,X,X,O
ISLZJTO,O,O,O,X,X,X,O
ISLZJOT,O,O,O,O,O,X,X
ISLZOTJ,O,O,O,O,X,X,X
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,O,X,O,X,O,X,X
ISLOTZJ,O,O,O,X,X,O,X
ISLOJTZ,O,X,O,X,O,X,X
ISLOJZT,O,O,O,X,O,X,X
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,O,O,X,O,X,X
ISJTLZO,O,X,O,X,O,X,O
ISJTLOZ,O,X,O,X,O,X,O
ISJTZLO,O,X,O,X,O,X,O
ISJTZOL,O,X,O,X,O,X,O
ISJTOLZ,O,X,O,X,O,X,O
ISJTOZL,O,X,X,X,O,X,O
ISJLTZO,O,X,O,X,X,X,O
ISJLTOZ,O,X,O,X,O,X,O
ISJLZTO,O,O,O,X,X,X,O
ISJLZOT,O,O,O,O,O,X,X
ISJLOTZ,O,X,O,X,O,X,X
ISJLOZT,O,O,O,X,O,X,X
ISJZTLO,O,O,O,X,X,X,O
ISJZTOL,O,O,O,X,X,X,O
ISJZLTO,O,O,O,X,X,X,O
ISJZLOT,O,O,O,O,O,X,X
ISJZOTL,O,O,O,X,X,X,O
ISJZOLT,O,O,O,O,O,X,X
ISJOTLZ,O,X,O,X,O,X,O
ISJOTZL,O,X,X,X,O,X,O
ISJOLTZ,O,X,O,X,O,X,X
ISJOLZT,O,O,O,X,O,X,X
ISJOZTL,O,O,O,X,X,X,O
ISJOZLT,O,O,O,X,O,X,X
ISZTLJO,O,O,X,O,X,X,O
ISZTLOJ,O,O,O,O,X,X,O
ISZTJLO,O,O,X,O,X,X,O
ISZTJOL,O,O,X,O,X,X,O
ISZTOLJ,O,O,O,O,X,X,O
ISZTOJL,O,O,X,O,X,X,O
ISZLTJO,O,O,X,O,X,X,O
ISZLTOJ,O,O,O,O,X,X,O
ISZLJTO,O,O,O,X,X,X,O
ISZLJOT,O,O,O,O,O,X,X
ISZLOTJ,O,O,O,O,X,X,X
ISZLOJT,O,O,O,O,O,X,X
ISZJTLO,O,O,O,X,X,X,O
ISZJTOL,O,O,O,X,X,X,O
ISZJLTO,O,O,O,X,X,X,O
ISZJLOT,O,O,O,O,O,X,X
ISZJOTL,O,O,O,X,X,X,O
ISZJOLT,O,O,O,O,O,X,X
ISZOTLJ,O,O,O,O,X,X,O
ISZOTJL,O,O,X,O,X,X,O
ISZOLTJ,O,O,O,O,X,X,X
ISZOLJT,O,O,O,O,O,X,X
ISZOJTL,O,O,O,X,X,X,O
ISZOJLT,O,O,O,O,O,X,X
ISOTLJZ,O,O,O,X,O,X,O
ISOTLZJ,O,O,O,X,O,O,O
ISOTJLZ,O,O,X,X,O,X,O
ISOTJZL,O,O,X,X,O,X,O
ISOTZLJ,O,O,X,X,O,O,O
ISOTZJL,O,O,X,X,O,X,O
ISOLTJZ,O,X,O,X,O,X,X
ISOLTZJ,O,O,O,X,X,O,X
ISOLJTZ,O,X,O,X,O,X,X
ISOLJZT,O,O,O,X,O,X,X
ISOLZTJ,O,O,O,X,X,X,X
ISOLZJT,O,O,O,X,O,X,X
ISOJTLZ,O,X,O,X,O,X,O
ISOJTZL,O,X,X,X,O,X,O
ISOJLTZ,O,X,O,X,O,X,X
ISOJLZT,O,O,O,X,O,X,X
