sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB
TLZJOSI,O,O,O,O,X,X,O
TLZSIJO,O,O,O,O,X,X,O
TLZSIOJ,O,O,O,O,X,O,O
TLZSJIO,O,O,O,O,X,X,O
TLZSJOI,O,O,O,O,X,X,O
TLZSOIJ,O,O,O,O,X,O,O
TLZSOJI,O,O,O,O,X,X,O
TLZOIJS,O,O,O,O,X,O,X
TLZOISJ,O,O,O,O,X,O,X
TLZOJIS,O,O,O,O,X,O,X
TLZOJSI,O,O,O,O,X,X,O
TLZOSIJ,O,O,O,O,X,O,O
TLZOSJI,O,O,O,O,X,X,O
TLOIJSZ,X,X,O,X,O,X,X
TLOIJZS,X,X,O,O,X,O,X
TLOISJZ,O,O,O,X,O,X,X
TLOISZJ,O,O,O,X,O,O,X
TLOIZJS,O,O,X,O,X,O,X
TLOIZSJ,O,O,X,O,X,O,X
TLOJISZ,X,X,O,X,O,X,X
TLOJIZS,X,X,O,O,X,O,X
TLOJSIZ,X,X,O,X,O,X,O
TLOJSZI,X,X,O,X,O,X,O
TLOJZIS,X,X,O,O,X,O,X
TLOJZSI,X,X,O,O,X,X,O
TLOSIJZ,O,O,O,X,O,X,O
TLOSIZJ,O,O,O,X,O,O,O
TLOSJIZ,O,O,O,X,O,X,O
TLOSJZI,O,O,O,X,O,X,O
TLOSZIJ,O,O,O,X,O,O,O
TLOSZJI,O,O,O,X,O,X,O
TLOZIJS,O,O,O,O,X,O,X
TLOZISJ,O,O,O,O,X,O,X
TLOZJIS,O,O,O,O,X,O,X
TLOZJSI,O,O,O,O,X,X,O
TLOZSIJ,O,O,O,O,X,O,O
TLOZSJI,O,O,O,O,X,X,O
TJILSZO,X,X,O,O,O,X,X
TJILSOZ,X,X,O,X,O,X,X
TJILZSO,X,X,O,O,X,X,X
TJILZOS,X,X,O,O,X,O,X
TJILOSZ,X,X,O,X,O,X,X
TJILOZS,X,X,O,O,X,O,X
TJISLZO,O,O,O,O,O,X,O
TJISLOZ,O,O,O,X,O,X,O
TJISZLO,O,O,O,O,O,X,O
TJISZOL,O,O,O,O,O,X,O
TJISOLZ,O,O,O,X,O,X,O
TJISOZL,O,O,O,X,O,X,O
TJIZLSO,O,O,O,O,X,X,X
TJIZLOS,O,O,O,O,X,O,X
TJIZSLO,O,O,O,O,O,X,O
TJIZSOL,O,O,O,O,O,X,O
TJIZOLS,O,O,O,O,X,O,X
TJIZOSL,O,O,O,O,O,X,O
TJIOLSZ,X,X,O,X,O,X,X
TJIOLZS,X,X,O,O,X,O,X
TJIOSLZ,O,O,O,X,O,X,O
TJIOSZL,O,O,O,X,O,X,O
TJIOZLS,O,O,O,O,X,O,X
TJIOZSL,O,O,O,O,O,X,O
TJLISZO,X,X,O,O,O,X,X
TJLISOZ,X,X,O,X,O,X,X
TJLIZSO,X,X,O,O,X,X,X
TJLIZOS,X,X,O,O,X,O,X
TJLIOSZ,X,X,O,X,O,X,X
TJLIOZS,X,X,O,O,X,O,X
TJLSIZO,X,X,O,O,O,X,O
TJLSIOZ,X,X,O,X,O,X,O
TJLSZIO,X,X,O,O,O,X,O
TJLSZOI,X,X,O,O,O,X,O
TJLSOIZ,X,X,O,X,O,X,O
TJLSOZI,X,X,O,X,O,X,O
TJLZISO,X,X,O,O,X,X,X
