sequence,v115@VhA8AeB8CeI8JeZEJvhFupBFmB8rBftB6tBTqB,v115@VhA8AeB8CeI8JeZEJvhFClBXmB8rBznB+tBVvB,v115@VhA8AeB8CeI8Je/FJvhFFhBxiBOpBCsBTtB0pB,v115@VhA8AeB8CeI8Je/FJvhFRhBCjB0kBlmBToBOpB,v115@VhA8AeB8CeI8JeZEJvhFFlBXmB8rBCoBWvBTtB,v115@VhA8AeB8CeI8JeZEJvhFqpB/qBFmB8rBznB+tB
TJLOIZS,X,O,X,X,X,X
TJLOSIZ,X,X,O,X,X,X
TJLOSZI,X,X,O,X,X,X
TJLOZIS,X,O,X,X,X,X
TJLOZSI,X,O,X,X,X,X
TJSILZO,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X
TJSLOZI,X,X,O,X,X,X
TJSZILO,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X
TJZILSO,X,O,X,X,X,X
TJZILOS,X,O,X,X,X,X
TJZISLO,X,O,X,X,X,X
TJZISOL,X,O,X,X,X,X
TJZIOLS,X,O,X,X,X,X
TJZIOSL,X,O,X,X,X,X
TJZLISO,X,O,X,X,X,X
TJZLIOS,X,O,X,X,X,X
TJZLSIO,X,O,X,X,X,X
TJZLSOI,X,O,X,X,X,X
TJZLOIS,X,O,X,X,X,X
TJZLOSI,X,O,X,X,X,X
TJZSILO,X,O,X,X,X,X
TJZSIOL,X,O,X,X,X,X
TJZSLIO,X,O,X,X,X,X
TJZSLOI,X,O,X,X,X,X
TJZSOIL,X,O,X,X,X,X
TJZSOLI,X,O,X,X,X,X
TJZOILS,X,O,X,X,X,X
TJZOISL,X,O,X,X,X,X
TJZOLIS,X,O,X,X,X,X
TJZOLSI,X,O,X,X,X,X
TJZOSIL,X,O,X,X,X,X
TJZOSLI,X,O,X,X,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,X
TJOISLZ,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X
TJOIZSL,X,O,X,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,O,X,X,X,X
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,O,X,X,X,X
TJOLZSI,X,O,X,X,X,X
