sequence,v115@vhG8/IZkBasBGoBzpBXrBzsB,v115@vhGfDJ5oBikBuqBzpB0rBzsB,v115@vhGc/I5oB6rBTnBetBTpB3qB,v115@vhG/DJZkBqpBTlBOrBUsBTtB,v115@vhGT/IihBcqB3mB+tBTpBRwB,v115@vhGGBJTjBKpBUmB/sBTtBRwB,v115@vhGT/IXhB8mB+tBTpBiqBRwB,v115@vhGfGJ0hBTjBKpBGsBTtBRwB,v115@vhGz/IihBcqB3mB+tBTpBRwB,v115@vhGGBJziBKpBUmB/sBTtBRwB,v115@vhGz/IXhB8mB+tBTpBiqBRwB,v115@vhGfGJ0hBziBKpBGsBTtBRwB,v115@vhGSDJxkB/rB8sB+tBTpBTqB,v115@vhG2/IKpBfqBcrBxnBTsBTtB
comments,O-01/OOJ,O-01M/OOL,O-02/OJO,O-02M/OLO,O-03/TKI stacked,O-03M/TKI stacked,O-03-1/TKI stacked,O-03-1M/TKI stacked,O-04/TKI slanted,O-04M/TKI slanted,O-04-1/TKI slanted,O-04-1M/TKI slanted,O-05/butter,O-05M/butter
TILJSZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TILJSOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
TILJZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TILJZOS,X,O,O,O,X,X,O,O,X,X,O,O,X,X
TILJOSZ,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TILJOZS,O,O,O,O,X,X,O,O,X,X,O,O,X,O
TILSJZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TILSJOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,O
TILSZJO,X,X,O,O,X,O,O,O,X,O,O,O,X,X
TILSZOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
TILSOJZ,O,X,X,O,X,X,O,O,X,X,O,O,X,O
TILSOZJ,O,X,X,O,X,O,O,X,X,O,O,X,X,O
TILZJSO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TILZJOS,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TILZSJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TILZSOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
TILZOJS,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TILZOSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TILOJSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TILOJZS,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TILOSJZ,O,O,X,O,X,X,O,O,X,X,O,O,X,O
TILOSZJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TILOZJS,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TILOZSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,O
TIJLSZO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TIJLSOZ,O,X,O,O,X,X,O,O,X,X,O,O,X,X
TIJLZSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TIJLZOS,X,O,O,O,X,X,O,O,X,X,O,O,O,X
TIJLOSZ,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TIJLOZS,O,O,O,O,X,X,O,O,X,X,O,O,O,X
TIJSLZO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TIJSLOZ,O,X,O,O,O,X,X,O,X,X,X,O,X,X
TIJSZLO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TIJSZOL,X,O,O,X,O,X,X,O,O,X,X,O,X,X
TIJSOLZ,O,O,O,X,O,X,X,O,X,X,X,O,X,X
TIJSOZL,O,O,O,X,O,X,X,O,X,X,X,O,X,X
TIJZLSO,X,X,O,O,X,X,O,O,X,X,O,O,X,X
TIJZLOS,X,O,O,O,X,X,O,O,X,X,O,O,O,X
TIJZSLO,X,X,O,O,O,X,O,O,O,X,O,O,X,X
TIJZSOL,X,O,O,X,O,X,X,O,O,X,X,O,X,X
TIJZOLS,X,O,O,X,X,X,O,O,X,X,O,O,O,X
TIJZOSL,X,O,O,X,O,X,X,O,O,X,X,O,O,X
TIJOLSZ,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TIJOLZS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TIJOSLZ,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TIJOSZL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TIJOZLS,O,O,O,X,X,X,O,O,X,X,O,O,O,X
TIJOZSL,O,O,O,X,O,X,X,O,X,X,X,O,O,X
TISLJZO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TISLJOZ,O,X,O,O,O,X,X,O,X,X,X,O,X,X
TISLZJO,X,X,O,O,O,O,X,O,O,O,X,O,X,X
TISLZOJ,O,X,X,O,O,O,X,X,O,O,X,X,X,X
TISLOJZ,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TISLOZJ,O,X,X,O,O,O,X,X,X,O,X,X,X,X
TISJLZO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TISJLOZ,O,X,O,O,O,X,X,O,X,X,X,O,X,X
TISJZLO,X,X,O,O,O,X,X,O,O,X,X,O,X,X
TISJZOL,X,O,O,X,O,X,X,O,O,X,X,O,X,X
TISJOLZ,O,O,O,X,O,X,X,O,X,X,X,O,X,X
TISJOZL,O,O,O,X,O,X,X,O,X,X,X,O,X,X
TISZLJO,X,X,O,O,O,O,X,O,O,O,X,O,X,X
TISZLOJ,O,X,X,O,O,O,X,X,O,O,X,X,X,X
TISZJLO,X,X,O,O,O,O,X,O,O,O,X,O,X,X
TISZJOL,X,O,O,X,O,O,X,O,O,O,X,O,X,X
TISZOLJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X
TISZOJL,O,O,X,X,O,O,X,X,O,O,X,X,X,X
TISOLJZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X
TISOLZJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TISOJLZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X
TISOJZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X
TISOZLJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TISOZJL,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TIZLJSO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TIZLJOS,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TIZLSJO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TIZLSOJ,O,X,X,O,X,O,O,X,X,O,O,X,X,X
TIZLOJS,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TIZLOSJ,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TIZJLSO,X,X,O,O,X,O,O,X,X,O,O,X,X,X
TIZJLOS,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TIZJSLO,X,X,O,O,O,O,O,X,O,O,O,X,X,X
TIZJSOL,X,O,O,X,O,O,X,X,O,O,X,X,X,X
TIZJOLS,X,O,O,X,X,O,O,X,X,X,O,X,X,X
TIZJOSL,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TIZSLJO,X,X,O,O,O,O,O,X,O,O,O,X,X,X
TIZSLOJ,O,X,X,O,O,O,O,X,O,O,O,X,X,X
TIZSJLO,X,X,O,O,O,O,O,X,O,O,O,X,X,X
TIZSJOL,X,O,O,X,O,O,X,X,O,O,X,X,X,X
TIZSOLJ,O,O,X,X,O,O,X,X,O,O,X,X,X,X
TIZSOJL,O,O,X,X,O,O,X,X,O,O,X,X,X,X
TIZOLJS,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZOLSJ,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZOJLS,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZOJSL,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TIZOSLJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TIZOSJL,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,O,O,X,X,O,O,X,O
TIOLJZS,O,O,X,X,X,X,O,O,X,X,O,O,X,O
TIOLSJZ,O,O,X,X,X,X,O,O,X,X,O,O,X,O
TIOLSZJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
TIOLZJS,O,O,X,X,X,O,O,X,X,X,O,X,X,O
TIOLZSJ,O,O,X,X,X,O,O,X,X,X,O,X,X,O
TIOJLSZ,O,O,X,X,X,X,O,O,X,X,O,O,O,X
TIOJLZS,O,O,X,X,X,X,O,O,X,X,O,O,O,X
TIOJSLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X
TIOJSZL,O,O,X,X,O,X,X,O,X,X,X,O,O,X
